ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;NieuwePersonenautoS_28;NieuweVrachtautoS_29;NieuweAanhangwagensEnOpleggers_30;GebruiktePersonenautoS_31;GebruikteVrachtautoS_32;GebruikteAanhangwagensEnOpleggers_33;AccessoiresEnOnderdelen_34;MotorbrandstoffenEnOlie_35;Banden_36;OverigeHandelsactiviteiten_37;ReparatiesInclGebruikteOnderdelen_38;Verhuur_39;OperationalLease_40;UitbesteedWerk_41;OverigeDienstverlening_42;OntvangstenVoorUitleenEnSubsidie_43;TotaalPersoneelskosten_44;BrutoLonenEnSalarissen_45;SocialeLasten_46;Pensioenpremies_47;KostenUitzendkrachten_48;KostenIngeleendPersoneel_49;OverigePersoneelskosten_50;TotaalOverigeBedrijfslasten_51;TotaalHuisvestingskosten_52;BetaaldeHurenPachtenEDVanLeasing_53;OnroerendeZaakbelastingMilieuheffing_54;Energiekosten_55;ReparatieEnOnderhoudskosten_56;Verzekeringen_57;OverigeHuisvestingskosten_58;TotaalInventarisEnMachinekosten_59;BetaaldeHurenEnKostenVanOperLease_60;Onderhoudskosten_61;OverigeInventarisEnMachinekosten_62;TotaalAutokosten_63;BetaaldeHurenEnKostenVanOperLease_64;Brandstof_65;OverigeAutokosten_66;TotaalVerkoopkosten_67;ReclameEnAdvertentiekosten_68;ReisVerblijfsEnRepresentatiekosten_69;OverigeVerkoopkosten_70;TotaalAndereKosten_71;AccountantsEnAdviesdiensten_72;KantoorbenodigdhDrukwerkVakliteratuur_73;OverigeVerzekeringen_74;OverigeKostprijsverhogendeBelastingen_75;Communicatiekosten_76;Beheerskosten_77;OverigeAutomatiseringskosten_78;NogNietEerderGenoemdeBedrijfskosten_79;TotaalAantalWerkzamePersonen_80;WerknemersOpDeLoonlijst_81;WerknemersNietOpLoonlijst_82;OverigPersoneel_83;AantalVte_84;TotaalInvesteringen_85;TotaalMaterieleVasteActiva_86;Bedrijfsruimten_87;Vervoermiddelen_88;Computers_89;OverigeMachinesApparatenED_90;OverigeMaterieleVasteActiva_91;TotaalImmaterieleVasteActiva_92
10;250 000 tot 500 000 euro;1998;16.0;569;566;165;401;3;516;79.6;7.7;2.1;10.6;55;19;2;6;8;20;53;-7;46;27.4;8.2;8.0;3.6;;;566;7.3;1.1;0.0;57.1;0.5;0;2.3;2.0;0.4;0.2;27.8;0.4;0.0;0.8;0.2;1.5;40;80.6;12.1;3.9;0.0;0.0;4.8;55;19;;;;;;;2;;;;6;;;;8;;;;20;;;;;;;;;41;62.3;37.7;0.0;38;20;85.5;11.6;9.2;1.0;43.1;20.6;14.5
11;250 000 tot 500 000 euro;1999;16.9;727;723;181;542;4;649;82.3;5.3;2.3;10.1;66;22;4;7;11;22;78;-6;72;26.2;9.8;10.0;2.7;;;723;5.8;1.4;0.0;60.1;0.6;0;3.8;1.1;0.1;2.0;24.4;0.1;0.0;0.0;1.1;2.4;34;82.9;11.8;2.4;0.0;1.3;4.0;66;22;;;;;;;4;;;;7;;;;11;;;;22;;;;;;;;;39;44.3;54.9;0.8;37;19;99.7;12.6;19.7;1.4;19.3;46.8;0.3
12;500 000 tot 1 500 000 euro;1996;26.8;2535;2527;420;2107;8;2403;84.9;7.3;1.3;6.5;155;39;10;17;31;59;132;-28;104;19.2;4.0;4.1;1.6;231.0;23.4;2527;21.2;0.0;0.0;48.5;0.0;0;7.7;4.3;0.2;1.4;13.6;0.3;0.0;1.0;1.7;0.9;176;83.7;7.6;2.8;0.4;1.9;4.4;155;39;50.1;4.2;23.7;14.3;2.5;5.2;10;8.2;49.6;42.2;17;32.8;32.8;52.3;31;81.0;7.6;11.4;59;21.6;9.1;17.0;5.6;9.7;7.8;1.9;27.4;121;70.8;28.2;1.0;109;41;99.9;38.3;19.8;3.2;25.5;13.1;0.1
13;500 000 tot 1 500 000 euro;1997;26.5;2286;2277;441;1836;9;2157;85.0;6.9;1.5;6.6;141;37;9;17;28;50;129;-24;105;19.5;4.5;4.6;2.8;238.5;23.4;2277;18.9;0.1;0.0;49.8;0.0;0;4.9;4.3;1.5;1.1;17.4;0.3;0.0;0.7;0.9;1.5;149;84.8;9.0;3.3;0.7;0.2;3.5;141;37;45.6;5.3;24.8;14.7;3.6;6.0;9;8.4;42.2;49.3;17;30.4;30.4;47.1;28;78.8;10.0;11.1;50;20.7;10.2;15.9;2.3;10.4;13.1;2.1;25.4;107;70.7;29.3;0.0;95;64;99.7;23.2;8.7;3.1;24.6;40.2;0.3
14;500 000 tot 1 500 000 euro;1998;27.5;2411;2403;432;1971;8;2282;84.0;7.4;1.5;7.1;161;43;9;19;31;59;129;5;134;20.2;4.4;5.6;2.2;;;2403;18.6;0.0;0.0;52.5;0.0;0;5.4;4.1;0.9;0.5;16.1;0.3;0.0;0.7;0.8;1.8;170;82.9;10.2;4.7;0.5;0.2;3.2;161;43;;;;;;;9;;;;19;;;;31;;;;59;;;;;;;;;110;71.8;28.1;0.1;98;52;96.5;33.1;10.0;2.4;30.7;20.3;3.5
15;500 000 tot 1 500 000 euro;1999;26.0;2721;2715;438;2277;6;2570;85.1;7.0;1.5;6.5;167;50;8;20;33;55;152;4;156;19.5;4.8;5.7;1.8;;;2715;19.4;0.8;0.0;52.3;0.7;0;4.8;4.2;0.8;0.7;14.8;0.0;0.1;0.0;0.8;1.4;180;80.9;11.5;5.1;0.2;0.1;3.6;167;50;;;;;;;8;;;;20;;;;33;;;;55;;;;;;;;;118;71.2;28.3;0.4;109;48;99.4;20.4;29.0;4.9;28.6;16.4;0.6
16;1 500 000 euro en meer;1996;29.8;17236;17197;2104;15089;39;16928;87.4;6.9;0.9;4.8;819;238;43;67;183;288;308;-155;153;14.0;0.9;0.9;2.2;379.5;26.7;17197;45.1;1.6;0.0;28.9;0.2;0;5.8;5.1;0.4;0.6;9.7;0.5;0.9;0.7;0.3;0.7;1165;84.7;7.3;3.5;0.4;0.5;4.4;819;238;60.5;2.4;17.1;11.1;2.5;6.4;43;6.3;40.6;53.1;67;18.2;18.2;74.0;183;60.8;10.0;29.1;288;12.3;8.8;12.2;5.3;11.5;20.4;7.4;22.1;487;96.2;3.4;0.4;453;376;99.2;19.3;62.2;1.8;9.5;6.3;0.8
17;1 500 000 euro en meer;1997;31.5;18825;18784;2416;16367;41;18471;87.7;6.8;0.9;4.6;858;264;46;71;200;278;354;-137;217;13.8;1.1;1.2;2.4;401.8;27.5;18784;44.8;1.9;0.0;29.8;0.2;0;5.0;4.6;0.3;0.5;10.5;0.4;1.0;0.7;0.3;0.8;1249;84.2;7.0;3.9;0.4;1.0;4.3;858;264;60.4;2.5;17.0;11.4;2.4;6.4;46;7.3;37.7;55.0;71;16.5;16.5;79.4;200;60.9;9.0;30.1;278;14.1;10.4;13.1;0.6;12.6;19.5;7.8;21.8;505;96.9;2.7;0.4;468;454;98.9;16.1;59.9;1.7;9.9;11.4;1.1
18;1 500 000 euro en meer;1998;29.9;21114;21048;2489;18559;66;20726;87.8;6.7;1.0;4.5;939;275;49;77;221;317;389;-128;261;13.6;1.1;1.2;2.0;;;21048;47.0;1.4;0.0;29.0;0.2;0;5.5;4.2;0.3;0.7;9.5;0.4;0.9;0.6;0.3;1.1;1394;81.5;9.7;4.4;0.5;0.5;4.5;939;275;;;;;;;49;;;;77;;;;221;;;;317;;;;;;;;;499;97.8;1.9;0.3;460;419;95.7;12.5;56.7;2.1;11.8;12.6;4.3
19;1 500 000 euro en meer;1999;28.3;23139;23081;2602;20478;58;22668;88.2;6.5;0.9;4.4;991;297;55;82;239;318;471;-156;315;13.3;1.3;1.4;2.3;;;23081;49.0;1.4;0.0;28.4;0.2;0;5.6;3.1;0.3;0.7;9.1;0.0;0.2;0.7;0.6;0.9;1465;79.9;10.8;4.3;0.5;0.8;4.5;991;297;;;;;;;55;;;;82;;;;239;;;;318;;;;;;;;;516;97.1;2.3;0.6;470;534;99.3;8.8;68.1;3.8;10.0;8.6;0.7
