ID;LeeftijdVoertuig;Brandstofsoort;Perioden;TotaalKilometersInNederland_1;KilometersDoorNederlandseVoertuigen_2;KilometersDoorBuitenlandseVoertuigen_3;TotaalKilometers_4;KilometersInNederland_5;KilometersInHetBuitenland_6;TotaalGemiddeldJaarkilometrage_7;GemiddeldJaarkilometrageInNederland_8;GemiddeldJaarkilometrageInBuitenland_9;NederlandseBestelautoSInGebruik_10
93;2 jaar;LPG/overige;2021;57.5;55.2;2.3;57.5;55.2;2.3;18828;18075;753;3052
94;2 jaar;LPG/overige;2022;58.4;56.1;2.3;58.4;56.1;2.3;17897;17181;716;3264
95;2 jaar;LPG/overige;2023;97.1;93.2;3.9;97.1;93.2;3.9;20073;19270;803;4837
96;3 jaar;Totaal;2018;1553.7;1490.0;63.7;1553.7;1490.0;63.7;25279;24242;1036;61462
97;3 jaar;Totaal;2019;1846.9;1769.3;77.6;1846.9;1769.3;77.6;24808;23767;1042;74446
98;3 jaar;Totaal;2020;1839.0;1763.6;75.4;1839.0;1763.6;75.4;23672;22701;971;77688
99;3 jaar;Totaal;2021;2020.6;1939.7;80.8;2020.6;1939.7;80.8;24064;23102;963;83965
100;3 jaar;Totaal;2022;2005.5;1925.3;80.2;2005.5;1925.3;80.2;24365;23390;975;82312
101;3 jaar;Totaal;2023;1570.6;1507.8;62.8;1570.6;1507.8;62.8;24093;23129;964;65191
102;3 jaar;Benzine;2018;5.1;4.9;0.2;5.1;4.9;0.2;10530;10098;432;488
103;3 jaar;Benzine;2019;6.8;6.5;0.3;6.8;6.5;0.3;11093;10627;466;612
104;3 jaar;Benzine;2020;7.2;6.9;0.3;7.2;6.9;0.3;10911;10464;447;658
105;3 jaar;Benzine;2021;10.6;10.1;0.4;10.6;10.1;0.4;11422;10965;457;924
106;3 jaar;Benzine;2022;15.9;15.3;0.6;15.9;15.3;0.6;12572;12069;503;1265
107;3 jaar;Benzine;2023;11.3;10.9;0.5;11.3;10.9;0.5;13707;13158;548;825
108;3 jaar;Diesel;2018;1524.0;1461.5;62.5;1524.0;1461.5;62.5;25504;24459;1046;59756
109;3 jaar;Diesel;2019;1806.7;1730.8;75.9;1806.7;1730.8;75.9;24996;23946;1050;72279
110;3 jaar;Diesel;2020;1787.5;1714.2;73.3;1787.5;1714.2;73.3;23929;22948;981;74699
111;3 jaar;Diesel;2021;1960.2;1881.8;78.4;1960.2;1881.8;78.4;24395;23419;976;80352
112;3 jaar;Diesel;2022;1933.7;1856.4;77.3;1933.7;1856.4;77.3;24813;23820;993;77932
113;3 jaar;Diesel;2023;1499.8;1439.8;60.0;1499.8;1439.8;60.0;24593;23609;984;60983
114;3 jaar;LPG/overige;2018;24.5;23.5;1.0;24.5;23.5;1.0;20128;19303;825;1218
115;3 jaar;LPG/overige;2019;33.4;32.0;1.4;33.4;32.0;1.4;21497;20595;903;1555
116;3 jaar;LPG/overige;2020;44.3;42.5;1.8;44.3;42.5;1.8;19014;18234;780;2331
117;3 jaar;LPG/overige;2021;49.8;47.8;2.0;49.8;47.8;2.0;18530;17789;741;2689
118;3 jaar;LPG/overige;2022;55.9;53.7;2.2;55.9;53.7;2.2;17949;17231;718;3115
119;3 jaar;LPG/overige;2023;59.6;57.2;2.4;59.6;57.2;2.4;17607;16903;704;3383
120;4 jaar;Totaal;2018;1272.4;1220.2;52.2;1272.4;1220.2;52.2;23000;22057;943;55322
121;4 jaar;Totaal;2019;1403.0;1344.1;58.9;1403.0;1344.1;58.9;22489;21545;945;62388
122;4 jaar;Totaal;2020;1634.9;1567.9;67.0;1634.9;1567.9;67.0;21836;20940;895;74873
123;4 jaar;Totaal;2021;1761.6;1691.2;70.5;1761.6;1691.2;70.5;22181;21294;887;79419
124;4 jaar;Totaal;2022;1914.8;1838.2;76.6;1914.8;1838.2;76.6;22379;21484;895;85559
125;4 jaar;Totaal;2023;1852.7;1778.6;74.1;1852.7;1778.6;74.1;22150;21264;886;83643
126;4 jaar;Benzine;2018;4.7;4.5;0.2;4.7;4.5;0.2;10512;10081;431;447
127;4 jaar;Benzine;2019;5.2;5.0;0.2;5.2;5.0;0.2;9924;9507;417;523
128;4 jaar;Benzine;2020;7.1;6.8;0.3;7.1;6.8;0.3;10034;9622;411;703
129;4 jaar;Benzine;2021;7.8;7.5;0.3;7.8;7.5;0.3;10042;9641;402;774
130;4 jaar;Benzine;2022;11.3;10.8;0.5;11.3;10.8;0.5;11075;10632;443;1020
131;4 jaar;Benzine;2023;16.0;15.4;0.6;16.0;15.4;0.6;12169;11682;487;1316
132;4 jaar;Diesel;2018;1236.6;1185.9;50.7;1236.6;1185.9;50.7;23267;22313;954;53146
133;4 jaar;Diesel;2019;1374.3;1316.6;57.7;1374.3;1316.6;57.7;22670;21718;952;60624
134;4 jaar;Diesel;2020;1599.3;1533.8;65.6;1599.3;1533.8;65.6;22025;21122;903;72614
135;4 jaar;Diesel;2021;1713.2;1644.7;68.5;1713.2;1644.7;68.5;22438;21541;898;76352
136;4 jaar;Diesel;2022;1854.9;1780.7;74.2;1854.9;1780.7;74.2;22673;21766;907;81813
137;4 jaar;Diesel;2023;1780.7;1709.5;71.2;1780.7;1709.5;71.2;22517;21617;901;79082
138;4 jaar;LPG/overige;2018;31.1;29.9;1.3;31.1;29.9;1.3;18007;17269;738;1729
139;4 jaar;LPG/overige;2019;23.5;22.5;1.0;23.5;22.5;1.0;18954;18158;796;1241
140;4 jaar;LPG/overige;2020;28.5;27.3;1.2;28.5;27.3;1.2;18314;17563;751;1556
141;4 jaar;LPG/overige;2021;40.6;39.0;1.6;40.6;39.0;1.6;17722;17013;709;2293
142;4 jaar;LPG/overige;2022;48.6;46.6;1.9;48.6;46.6;1.9;17815;17102;713;2726
143;4 jaar;LPG/overige;2023;56.0;53.7;2.2;56.0;53.7;2.2;17251;16561;690;3245
144;5 jaar;Totaal;2018;1118.7;1072.9;45.9;1118.7;1072.9;45.9;21278;20405;872;52578
145;5 jaar;Totaal;2019;1139.5;1091.7;47.9;1139.5;1091.7;47.9;20607;19741;865;55300
146;5 jaar;Totaal;2020;1228.5;1178.2;50.4;1228.5;1178.2;50.4;19879;19064;815;61800
147;5 jaar;Totaal;2021;1555.2;1493.0;62.2;1555.2;1493.0;62.2;20551;19729;822;75678
148;5 jaar;Totaal;2022;1654.4;1588.2;66.2;1654.4;1588.2;66.2;20681;19854;827;79995
149;5 jaar;Totaal;2023;1755.0;1684.8;70.2;1755.0;1684.8;70.2;20386;19570;815;86092
150;5 jaar;Benzine;2018;4.4;4.2;0.2;4.4;4.2;0.2;10231;9811;419;433
151;5 jaar;Benzine;2019;4.9;4.7;0.2;4.9;4.7;0.2;9325;8933;392;527
152;5 jaar;Benzine;2020;5.4;5.2;0.2;5.4;5.2;0.2;8858;8495;363;612
153;5 jaar;Benzine;2021;8.3;8.0;0.3;8.3;8.0;0.3;9680;9293;387;859
154;5 jaar;Benzine;2022;9.3;9.0;0.4;9.3;9.0;0.4;10083;9680;403;925
155;5 jaar;Benzine;2023;13.0;12.5;0.5;13.0;12.5;0.5;10688;10261;428;1218
156;5 jaar;Diesel;2018;1096.2;1051.3;44.9;1096.2;1051.3;44.9;21458;20578;880;51085
157;5 jaar;Diesel;2019;1105.2;1058.8;46.4;1105.2;1058.8;46.4;20816;19942;874;53095
158;5 jaar;Diesel;2020;1201.4;1152.2;49.3;1201.4;1152.2;49.3;20046;19224;822;59934
159;5 jaar;Diesel;2021;1519.8;1459.0;60.8;1519.8;1459.0;60.8;20748;19918;830;73248
160;5 jaar;Diesel;2022;1605.1;1540.9;64.2;1605.1;1540.9;64.2;20910;20074;836;76759
161;5 jaar;Diesel;2023;1695.3;1627.5;67.8;1695.3;1627.5;67.8;20650;19824;826;82100
162;5 jaar;LPG/overige;2018;18.1;17.4;0.7;18.1;17.4;0.7;17080;16380;700;1060
163;5 jaar;LPG/overige;2019;29.4;28.2;1.2;29.4;28.2;1.2;17514;16778;736;1678
164;5 jaar;LPG/overige;2020;21.7;20.8;0.9;21.7;20.8;0.9;17277;16569;708;1254
165;5 jaar;LPG/overige;2021;27.1;26.1;1.1;27.1;26.1;1.1;17278;16587;691;1571
166;5 jaar;LPG/overige;2022;40.0;38.4;1.6;40.0;38.4;1.6;17325;16632;693;2311
167;5 jaar;LPG/overige;2023;46.7;44.8;1.9;46.7;44.8;1.9;16827;16154;673;2774
168;6 jaar;Totaal;2018;1102.2;1057.0;45.2;1102.2;1057.0;45.2;19882;19067;815;55439
169;6 jaar;Totaal;2019;1001.0;958.9;42.0;1001.0;958.9;42.0;19451;18634;817;51462
170;6 jaar;Totaal;2020;1014.3;972.7;41.6;1014.3;972.7;41.6;18853;18080;773;53800
171;6 jaar;Totaal;2021;1183.1;1135.8;47.3;1183.1;1135.8;47.3;19412;18635;776;60947
172;6 jaar;Totaal;2022;1459.0;1400.6;58.4;1459.0;1400.6;58.4;19564;18781;783;74574
173;6 jaar;Totaal;2023;1507.2;1446.9;60.3;1507.2;1446.9;60.3;19091;18327;764;78946
174;6 jaar;Benzine;2018;4.7;4.5;0.2;4.7;4.5;0.2;8967;8599;368;525
175;6 jaar;Benzine;2019;5.1;4.9;0.2;5.1;4.9;0.2;9320;8929;391;546
176;6 jaar;Benzine;2020;5.4;5.2;0.2;5.4;5.2;0.2;8439;8093;346;645
177;6 jaar;Benzine;2021;7.3;7.0;0.3;7.3;7.0;0.3;9217;8849;369;794
178;6 jaar;Benzine;2022;9.8;9.4;0.4;9.8;9.4;0.4;10072;9669;403;972
179;6 jaar;Benzine;2023;10.6;10.1;0.4;10.6;10.1;0.4;9967;9569;399;1061
180;6 jaar;Diesel;2018;1077.4;1033.3;44.2;1077.4;1033.3;44.2;20111;19287;825;53573
181;6 jaar;Diesel;2019;978.6;937.5;41.1;978.6;937.5;41.1;19639;18814;825;49830
182;6 jaar;Diesel;2020;982.3;942.0;40.3;982.3;942.0;40.3;19090;18307;783;51456
183;6 jaar;Diesel;2021;1155.3;1109.1;46.2;1155.3;1109.1;46.2;19608;18824;784;58921
184;6 jaar;Diesel;2022;1421.6;1364.7;56.9;1421.6;1364.7;56.9;19740;18951;790;72015
185;6 jaar;Diesel;2023;1457.0;1398.7;58.3;1457.0;1398.7;58.3;19295;18523;772;75513
186;6 jaar;LPG/overige;2018;20.1;19.3;0.8;20.1;19.3;0.8;14982;14368;614;1341
187;6 jaar;LPG/overige;2019;17.3;16.5;0.7;17.3;16.5;0.7;15892;15224;667;1086
188;6 jaar;LPG/overige;2020;26.6;25.5;1.1;26.6;25.5;1.1;15630;14989;641;1699
189;6 jaar;LPG/overige;2021;20.4;19.6;0.8;20.4;19.6;0.8;16589;15925;664;1232
190;6 jaar;LPG/overige;2022;27.6;26.5;1.1;27.6;26.5;1.1;17377;16682;695;1587
191;6 jaar;LPG/overige;2023;39.6;38.0;1.6;39.6;38.0;1.6;16689;16021;668;2372
192;7 jaar;Totaal;2018;1072.3;1028.3;44.0;1072.3;1028.3;44.0;19070;18288;782;56230
193;7 jaar;Totaal;2019;993.3;951.5;41.7;993.3;951.5;41.7;18511;17734;777;53657
194;7 jaar;Totaal;2020;890.3;853.8;36.5;890.3;853.8;36.5;17925;17190;735;49667
195;7 jaar;Totaal;2021;966.8;928.1;38.7;966.8;928.1;38.7;18425;17688;737;52472
196;7 jaar;Totaal;2022;1114.9;1070.3;44.6;1114.9;1070.3;44.6;18778;18026;751;59375
197;7 jaar;Totaal;2023;1341.6;1288.0;53.7;1341.6;1288.0;53.7;18474;17735;739;72623
198;7 jaar;Benzine;2018;6.4;6.1;0.3;6.4;6.1;0.3;8946;8580;367;713
199;7 jaar;Benzine;2019;5.1;4.8;0.2;5.1;4.8;0.2;9053;8672;380;558
200;7 jaar;Benzine;2020;5.7;5.5;0.2;5.7;5.5;0.2;9389;9004;385;609
201;7 jaar;Benzine;2021;6.9;6.6;0.3;6.9;6.6;0.3;8691;8344;348;794
202;7 jaar;Benzine;2022;8.2;7.9;0.3;8.2;7.9;0.3;9318;8946;373;885
203;7 jaar;Benzine;2023;10.5;10.0;0.4;10.5;10.0;0.4;9991;9592;400;1047
204;7 jaar;Diesel;2018;1050.4;1007.3;43.1;1050.4;1007.3;43.1;19245;18456;789;54579
205;7 jaar;Diesel;2019;968.7;928.0;40.7;968.7;928.0;40.7;18714;17928;786;51762
206;7 jaar;Diesel;2020;869.1;833.4;35.6;869.1;833.4;35.6;18113;17370;743;47981
207;7 jaar;Diesel;2021;934.8;897.4;37.4;934.8;897.4;37.4;18682;17935;747;50034
208;7 jaar;Diesel;2022;1087.0;1043.5;43.5;1087.0;1043.5;43.5;18975;18216;759;57286
209;7 jaar;Diesel;2023;1304.3;1252.1;52.2;1304.3;1252.1;52.2;18639;17894;746;69976
210;7 jaar;LPG/overige;2018;15.5;14.9;0.6;15.5;14.9;0.6;16575;15895;680;938
211;7 jaar;LPG/overige;2019;19.6;18.7;0.8;19.6;18.7;0.8;14623;14009;614;1337
212;7 jaar;LPG/overige;2020;15.5;14.8;0.6;15.5;14.8;0.6;14380;13790;590;1077
213;7 jaar;LPG/overige;2021;25.1;24.1;1.0;25.1;24.1;1.0;15290;14678;612;1644
214;7 jaar;LPG/overige;2022;19.7;18.9;0.8;19.7;18.9;0.8;16337;15684;653;1204
215;7 jaar;LPG/overige;2023;26.9;25.8;1.1;26.9;25.8;1.1;16801;16129;672;1600
216;8 jaar;Totaal;2018;808.4;775.2;33.1;808.4;775.2;33.1;17949;17213;736;45037
217;8 jaar;Totaal;2019;961.6;921.2;40.4;961.6;921.2;40.4;17698;16955;743;54333
218;8 jaar;Totaal;2020;871.3;835.6;35.7;871.3;835.6;35.7;16992;16295;697;51278
219;8 jaar;Totaal;2021;837.5;804.0;33.5;837.5;804.0;33.5;17432;16735;697;48043
220;8 jaar;Totaal;2022;903.7;867.6;36.1;903.7;867.6;36.1;17752;17042;710;50908
221;8 jaar;Totaal;2023;1012.9;972.4;40.5;1012.9;972.4;40.5;17656;16950;706;57370
222;8 jaar;Benzine;2018;6.8;6.5;0.3;6.8;6.5;0.3;8398;8054;344;812
223;8 jaar;Benzine;2019;7.3;7.0;0.3;7.3;7.0;0.3;9169;8784;385;801
224;8 jaar;Benzine;2020;6.2;5.9;0.3;6.2;5.9;0.3;8687;8331;356;708
225;8 jaar;Benzine;2021;6.5;6.2;0.3;6.5;6.2;0.3;9053;8691;362;712
226;8 jaar;Benzine;2022;8.1;7.8;0.3;8.1;7.8;0.3;9274;8903;371;878
227;8 jaar;Benzine;2023;9.2;8.8;0.4;9.2;8.8;0.4;9514;9133;381;962
228;8 jaar;Diesel;2018;789.4;757.0;32.4;789.4;757.0;32.4;18167;17422;745;43452
229;8 jaar;Diesel;2019;939.6;900.1;39.5;939.6;900.1;39.5;17860;17110;750;52606
230;8 jaar;Diesel;2020;849.1;814.3;34.8;849.1;814.3;34.8;17208;16503;706;49343
231;8 jaar;Diesel;2021;816.2;783.6;32.6;816.2;783.6;32.6;17632;16927;705;46290
232;8 jaar;Diesel;2022;871.0;836.2;34.8;871.0;836.2;34.8;17989;17270;720;48419
233;8 jaar;Diesel;2023;984.3;944.9;39.4;984.3;944.9;39.4;17830;17117;713;55204
234;8 jaar;LPG/overige;2018;12.2;11.7;0.5;12.2;11.7;0.5;15738;15093;645;773
235;8 jaar;LPG/overige;2019;14.7;14.1;0.6;14.7;14.1;0.6;15861;15195;666;926
236;8 jaar;LPG/overige;2020;16.0;15.4;0.7;16.0;15.4;0.7;13074;12538;536;1227
237;8 jaar;LPG/overige;2021;14.8;14.2;0.6;14.8;14.2;0.6;14260;13690;570;1041
238;8 jaar;LPG/overige;2022;24.5;23.6;1.0;24.5;23.6;1.0;15234;14625;609;1611
239;8 jaar;LPG/overige;2023;19.5;18.7;0.8;19.5;18.7;0.8;16185;15538;647;1204
240;9 jaar of ouder;Totaal;2018;5787.3;5550.0;237.3;5787.3;5550.0;237.3;13403;12853;550;431804
241;9 jaar of ouder;Totaal;2019;5568.7;5334.9;233.9;5568.7;5334.9;233.9;12982;12437;545;428951
242;9 jaar of ouder;Totaal;2020;5375.6;5155.2;220.4;5375.6;5155.2;220.4;12411;11902;509;433132
243;9 jaar of ouder;Totaal;2021;5589.5;5365.9;223.6;5589.5;5365.9;223.6;12739;12230;510;438758
244;9 jaar of ouder;Totaal;2022;5647.7;5421.8;225.9;5647.7;5421.8;225.9;12778;12267;511;441993
245;9 jaar of ouder;Totaal;2023;5731.6;5502.4;229.3;5731.6;5502.4;229.3;12725;12216;509;450441
246;9 jaar of ouder;Benzine;2018;111.4;106.8;4.6;111.4;106.8;4.6;5107;4898;209;21808
247;9 jaar of ouder;Benzine;2019;115.0;110.2;4.8;115.0;110.2;4.8;5155;4938;217;22305
248;9 jaar of ouder;Benzine;2020;116.4;111.7;4.8;116.4;111.7;4.8;4974;4770;204;23410
249;9 jaar of ouder;Benzine;2021;134.1;128.7;5.4;134.1;128.7;5.4;5335;5122;213;25134
250;9 jaar of ouder;Benzine;2022;141.3;135.7;5.7;141.3;135.7;5.7;5403;5187;216;26159
251;9 jaar of ouder;Benzine;2023;155.9;149.6;6.2;155.9;149.6;6.2;5803;5571;232;26858
252;9 jaar of ouder;Diesel;2018;5580.8;5352.0;228.8;5580.8;5352.0;228.8;13998;13424;574;398694
253;9 jaar of ouder;Diesel;2019;5351.0;5126.3;224.7;5351.0;5126.3;224.7;13563;12993;570;394542
254;9 jaar of ouder;Diesel;2020;5154.7;4943.3;211.3;5154.7;4943.3;211.3;12987;12454;532;396923
