ID;AreasCivilEngineeringWorks;Periods;InputPriceIndices_1;ChangesComparedTo1YearPreviously_2
72;"42112: Road construction; asphalt paving";2005 January;96;
73;"42112: Road construction; asphalt paving";2005 April;98;
74;"42112: Road construction; asphalt paving";2005 July;101;
75;"42112: Road construction; asphalt paving";2005 October;104;
76;"42112: Road construction; asphalt paving";2006 January;104;9.1
77;"42112: Road construction; asphalt paving";2006 April;107;9.0
78;"42112: Road construction; asphalt paving";2006 July;108;7.4
79;"42112: Road construction; asphalt paving";2006 October;106;2.9
80;"42112: Road construction; asphalt paving";2007 January;106;1.6
81;"42112: Road construction; asphalt paving";2007 April;108;0.8
82;"42112: Road construction; asphalt paving";2007 July;111;3.2
83;"42112: Road construction; asphalt paving";2007 October;114;6.9
84;"42112: Road construction; asphalt paving";2008 January;118;11.2
85;"42112: Road construction; asphalt paving";2008 April;119;10.1
86;"42112: Road construction; asphalt paving";2008 July;128;14.8
87;"42112: Road construction; asphalt paving";2008 October;125;9.5
88;"42112: Road construction; asphalt paving";2009 January;114;-3.2
89;"42112: Road construction; asphalt paving";2009 April;113;-4.9
90;"42112: Road construction; asphalt paving";2009 July;116;-9.4
91;"42112: Road construction; asphalt paving";2009 October;117;-6.0
92;"42112: Road construction; asphalt paving";2010 January;118;3.6
93;"42112: Road construction; asphalt paving";2010 April;122;7.3
94;"42112: Road construction; asphalt paving";2010 July;122;5.3
95;"42112: Road construction; asphalt paving";2010 October;122;4.2
96;"42112: Road construction; asphalt paving";2011 January;124;5.2
97;"42112: Road construction; asphalt paving";2011 April;129;5.9
98;"42112: Road construction; asphalt paving";2011 July;129;5.8
99;"42112: Road construction; asphalt paving";2011 October;130;6.2
100;"42112: Road construction; asphalt paving";2012 January;132;6.0
101;"42112: Road construction; asphalt paving";2012 April;135;4.6
102;"42112: Road construction; asphalt paving";2012 July;135;4.7
103;"42112: Road construction; asphalt paving";2012 October;136;5.2
104;"42112: Road construction; asphalt paving";2013 January;136;3.3
105;"42112: Road construction; asphalt paving";2013 April;135;0.2
106;"42112: Road construction; asphalt paving";2013 July;135;-0.3
107;"42112: Road construction; asphalt paving";2013 October;135;-1.1
108;4212: Railways and underground railways;2005 January;99;
109;4212: Railways and underground railways;2005 April;100;
110;4212: Railways and underground railways;2005 July;101;
111;4212: Railways and underground railways;2005 October;100;
112;4212: Railways and underground railways;2006 January;101;2.3
113;4212: Railways and underground railways;2006 April;102;2.7
114;4212: Railways and underground railways;2006 July;105;4.8
115;4212: Railways and underground railways;2006 October;106;5.8
116;4212: Railways and underground railways;2007 January;107;5.8
117;4212: Railways and underground railways;2007 April;108;5.7
118;4212: Railways and underground railways;2007 July;109;3.6
119;4212: Railways and underground railways;2007 October;109;2.4
120;4212: Railways and underground railways;2008 January;110;2.2
121;4212: Railways and underground railways;2008 April;111;3.0
122;4212: Railways and underground railways;2008 July;114;4.2
123;4212: Railways and underground railways;2008 October;113;4.1
124;4212: Railways and underground railways;2009 January;112;2.3
125;4212: Railways and underground railways;2009 April;112;0.2
126;4212: Railways and underground railways;2009 July;112;-1.7
127;4212: Railways and underground railways;2009 October;112;-1.2
128;4212: Railways and underground railways;2010 January;113;1.0
129;4212: Railways and underground railways;2010 April;115;2.9
130;4212: Railways and underground railways;2010 July;116;3.4
131;4212: Railways and underground railways;2010 October;116;3.5
132;4212: Railways and underground railways;2011 January;118;3.7
133;4212: Railways and underground railways;2011 April;118;2.5
134;4212: Railways and underground railways;2011 July;118;1.8
135;4212: Railways and underground railways;2011 October;117;1.0
136;4212: Railways and underground railways;2012 January;118;0.6
137;4212: Railways and underground railways;2012 April;119;1.1
138;4212: Railways and underground railways;2012 July;120;1.9
139;4212: Railways and underground railways;2012 October;120;2.5
140;4212: Railways and underground railways;2013 January;120;1.6
141;4212: Railways and underground railways;2013 April;120;0.8
142;4212: Railways and underground railways;2013 July;119;-0.7
143;4212: Railways and underground railways;2013 October;119;-1.0
144;4213: Bridges and tunnels;2005 January;100;
145;4213: Bridges and tunnels;2005 April;100;
146;4213: Bridges and tunnels;2005 July;100;
147;4213: Bridges and tunnels;2005 October;101;
148;4213: Bridges and tunnels;2006 January;101;1.6
149;4213: Bridges and tunnels;2006 April;102;2.6
150;4213: Bridges and tunnels;2006 July;105;5.0
151;4213: Bridges and tunnels;2006 October;106;4.9
152;4213: Bridges and tunnels;2007 January;107;5.2
153;4213: Bridges and tunnels;2007 April;108;6.0
154;4213: Bridges and tunnels;2007 July;109;4.0
155;4213: Bridges and tunnels;2007 October;107;1.6
156;4213: Bridges and tunnels;2008 January;111;4.4
157;4213: Bridges and tunnels;2008 April;116;6.9
158;4213: Bridges and tunnels;2008 July;122;12.1
159;4213: Bridges and tunnels;2008 October;116;8.2
160;4213: Bridges and tunnels;2009 January;114;2.5
161;4213: Bridges and tunnels;2009 April;112;-3.3
162;4213: Bridges and tunnels;2009 July;112;-8.3
163;4213: Bridges and tunnels;2009 October;112;-4.0
164;4213: Bridges and tunnels;2010 January;112;-1.6
165;4213: Bridges and tunnels;2010 April;116;3.7
166;4213: Bridges and tunnels;2010 July;116;3.4
167;4213: Bridges and tunnels;2010 October;116;3.9
168;4213: Bridges and tunnels;2011 January;119;5.9
169;4213: Bridges and tunnels;2011 April;118;1.7
170;4213: Bridges and tunnels;2011 July;119;2.6
171;4213: Bridges and tunnels;2011 October;119;2.5
172;4213: Bridges and tunnels;2012 January;120;0.8
173;4213: Bridges and tunnels;2012 April;120;1.7
174;4213: Bridges and tunnels;2012 July;121;1.7
175;4213: Bridges and tunnels;2012 October;121;2.1
176;4213: Bridges and tunnels;2013 January;121;1.2
177;4213: Bridges and tunnels;2013 April;121;0.7
178;4213: Bridges and tunnels;2013 July;120;-0.3
179;4213: Bridges and tunnels;2013 October;121;-0.4
180;4221: Constructions for fluids;2005 January;99;
181;4221: Constructions for fluids;2005 April;100;
182;4221: Constructions for fluids;2005 July;101;
183;4221: Constructions for fluids;2005 October;99;
184;4221: Constructions for fluids;2006 January;100;0.5
185;4221: Constructions for fluids;2006 April;101;0.3
186;4221: Constructions for fluids;2006 July;101;-0.4
187;4221: Constructions for fluids;2006 October;100;1.4
188;4221: Constructions for fluids;2007 January;101;1.6
189;4221: Constructions for fluids;2007 April;102;1.3
190;4221: Constructions for fluids;2007 July;104;3.3
191;4221: Constructions for fluids;2007 October;104;3.9
192;4221: Constructions for fluids;2008 January;106;4.1
193;4221: Constructions for fluids;2008 April;107;5.4
194;4221: Constructions for fluids;2008 July;112;7.5
195;4221: Constructions for fluids;2008 October;111;6.4
196;4221: Constructions for fluids;2009 January;110;4.6
197;4221: Constructions for fluids;2009 April;110;2.0
198;4221: Constructions for fluids;2009 July;109;-2.4
199;4221: Constructions for fluids;2009 October;108;-2.4
200;4221: Constructions for fluids;2010 January;109;-1.6
201;4221: Constructions for fluids;2010 April;109;-0.1
202;4221: Constructions for fluids;2010 July;110;0.7
203;4221: Constructions for fluids;2010 October;110;1.4
204;4221: Constructions for fluids;2011 January;111;1.9
205;4221: Constructions for fluids;2011 April;112;2.5
206;4221: Constructions for fluids;2011 July;113;2.7
207;4221: Constructions for fluids;2011 October;113;2.7
208;4221: Constructions for fluids;2012 January;114;2.9
209;4221: Constructions for fluids;2012 April;115;2.2
210;4221: Constructions for fluids;2012 July;115;1.9
211;4221: Constructions for fluids;2012 October;116;2.8
212;4221: Constructions for fluids;2013 January;116;1.5
213;4221: Constructions for fluids;2013 April;116;0.8
214;4221: Constructions for fluids;2013 July;116;1.1
215;4221: Constructions for fluids;2013 October;116;0.0
216;4291: Constructions for water projects;2005 January;97;
217;4291: Constructions for water projects;2005 April;99;
218;4291: Constructions for water projects;2005 July;101;
219;4291: Constructions for water projects;2005 October;103;
220;4291: Constructions for water projects;2006 January;102;5.7
221;4291: Constructions for water projects;2006 April;104;4.2
222;4291: Constructions for water projects;2006 July;104;3.6
223;4291: Constructions for water projects;2006 October;103;0.4
224;4291: Constructions for water projects;2007 January;103;0.6
225;4291: Constructions for water projects;2007 April;104;0.3
226;4291: Constructions for water projects;2007 July;106;1.4
227;4291: Constructions for water projects;2007 October;107;4.0
228;4291: Constructions for water projects;2008 January;109;6.5
229;4291: Constructions for water projects;2008 April;113;8.4
230;4291: Constructions for water projects;2008 July;119;12.0
231;4291: Constructions for water projects;2008 October;115;7.3
232;4291: Constructions for water projects;2009 January;109;0.1
233;4291: Constructions for water projects;2009 April;109;-3.4
234;4291: Constructions for water projects;2009 July;110;-7.1
235;4291: Constructions for water projects;2009 October;111;-3.4
236;4291: Constructions for water projects;2010 January;113;3.0
237;4291: Constructions for water projects;2010 April;116;6.4
238;4291: Constructions for water projects;2010 July;116;5.4
239;4291: Constructions for water projects;2010 October;116;5.0
240;4291: Constructions for water projects;2011 January;120;6.1
241;4291: Constructions for water projects;2011 April;123;6.3
242;4291: Constructions for water projects;2011 July;123;6.0
243;4291: Constructions for water projects;2011 October;123;5.8
244;4291: Constructions for water projects;2012 January;125;4.7
245;4291: Constructions for water projects;2012 April;127;3.2
246;4291: Constructions for water projects;2012 July;126;2.8
247;4291: Constructions for water projects;2012 October;128;3.9
248;4291: Constructions for water projects;2013 January;128;1.9
249;4291: Constructions for water projects;2013 April;127;-0.1
250;4291: Constructions for water projects;2013 July;128;1.1
251;4291: Constructions for water projects;2013 October;127;-0.6
252;4312: Site preparation works;2005 January;97;
253;4312: Site preparation works;2005 April;99;
254;4312: Site preparation works;2005 July;100;
255;4312: Site preparation works;2005 October;103;
256;4312: Site preparation works;2006 January;103;6.4
257;4312: Site preparation works;2006 April;104;4.4
258;4312: Site preparation works;2006 July;104;3.8
259;4312: Site preparation works;2006 October;103;-0.4
260;4312: Site preparation works;2007 January;104;0.6
261;4312: Site preparation works;2007 April;105;1.1
262;4312: Site preparation works;2007 July;106;2.2
263;4312: Site preparation works;2007 October;107;4.0
264;4312: Site preparation works;2008 January;109;5.5
265;4312: Site preparation works;2008 April;111;6.2
266;4312: Site preparation works;2008 July;116;9.1
267;4312: Site preparation works;2008 October;114;6.2
268;4312: Site preparation works;2009 January;112;2.0
269;4312: Site preparation works;2009 April;111;0.2
270;4312: Site preparation works;2009 July;113;-2.6
271;4312: Site preparation works;2009 October;113;-0.4
272;4312: Site preparation works;2010 January;115;3.0
273;4312: Site preparation works;2010 April;117;4.8
274;4312: Site preparation works;2010 July;117;3.4
275;4312: Site preparation works;2010 October;117;3.3
276;4312: Site preparation works;2011 January;120;4.3
277;4312: Site preparation works;2011 April;122;4.6
278;4312: Site preparation works;2011 July;122;4.7
279;4312: Site preparation works;2011 October;123;4.7
280;4312: Site preparation works;2012 January;124;3.5
281;4312: Site preparation works;2012 April;125;2.0
282;4312: Site preparation works;2012 July;124;1.8
283;4312: Site preparation works;2012 October;125;1.9
284;4312: Site preparation works;2013 January;126;1.3
285;4312: Site preparation works;2013 April;124;-0.2
286;4312: Site preparation works;2013 July;125;0.9
287;4312: Site preparation works;2013 October;125;0.0
288;4321: Electrical installation works;2005 January;99;
289;4321: Electrical installation works;2005 April;100;
290;4321: Electrical installation works;2005 July;100;
291;4321: Electrical installation works;2005 October;100;
292;4321: Electrical installation works;2006 January;102;2.4
293;4321: Electrical installation works;2006 April;103;3.2
294;4321: Electrical installation works;2006 July;105;4.7
295;4321: Electrical installation works;2006 October;105;5.0
296;4321: Electrical installation works;2007 January;106;4.1
297;4321: Electrical installation works;2007 April;107;3.7
298;4321: Electrical installation works;2007 July;108;2.9
299;4321: Electrical installation works;2007 October;108;2.1
300;4321: Electrical installation works;2008 January;108;2.2
301;4321: Electrical installation works;2008 April;110;2.7
302;4321: Electrical installation works;2008 July;112;3.6
303;4321: Electrical installation works;2008 October;113;4.9
304;4321: Electrical installation works;2009 January;110;1.9
305;4321: Electrical installation works;2009 April;110;0.5
306;4321: Electrical installation works;2009 July;110;-1.5
307;4321: Electrical installation works;2009 October;110;-2.4
308;4321: Electrical installation works;2010 January;111;0.9
309;4321: Electrical installation works;2010 April;113;2.3
310;4321: Electrical installation works;2010 July;113;2.6
311;4321: Electrical installation works;2010 October;113;2.5
312;4321: Electrical installation works;2011 January;115;3.5
313;4321: Electrical installation works;2011 April;115;2.4
314;4321: Electrical installation works;2011 July;116;2.3
315;4321: Electrical installation works;2011 October;115;1.7
316;4321: Electrical installation works;2012 January;116;0.7
317;4321: Electrical installation works;2012 April;116;0.8
318;4321: Electrical installation works;2012 July;117;0.9
319;4321: Electrical installation works;2012 October;116;1.3
320;4321: Electrical installation works;2013 January;116;0.4
321;4321: Electrical installation works;2013 April;116;-0.2
322;4321: Electrical installation works;2013 July;115;-1.1
323;4321: Electrical installation works;2013 October;115;-1.3
