ID;BewerkingsEnVerwerkingsmethode;Sbi93;Perioden;TotaalBedrijfsafvalstoffen_1;TotaalProcesafhankelijkAfval_2;TotaalOrganisch_3;PapierKarton_4;Hout_5;Kunststoffen_6;OrganischBiologisch_7;OverigOrganisch_8;TotaalAnorganisch_9;FerroMetalen_10;NonFerroMetalen_11;SteenachtigMateriaal_12;OverigAnorganisch_13;TotaalSlib_14;OrganischBiologischSlib_15;AnorganischSlib_16;OverigSlib_17;GevaarlijkAfval_18;OverigGescheiden_19;GemengdAangeboden_20;TotaalProcesonafhankelijkAfval_21;TotaalOrganisch_22;PapierKarton_23;Hout_24;Kunststoffen_25;OverigOrganisch_26;TotaalAnorganisch_27;FerroMetalen_28;NonFerroMetalen_29;SteenachtigMateriaal_30;OverigAnorganisch_31;OverigGescheiden_32;GemengdAangeboden_33;Hergebruik_34;EindverwerkingTotaal_35;Storten_36;Verbranden_37;ScheidenAchteraf_38;Anders_39;Hergebruik_40;EindverwerkingTotaal_41;Storten_42;Verbranden_43;ScheidenAchteraf_44;Anders_45;TotaalBedrijfsafvalstoffen_46;ProcesafhankelijkAfvalTotaal_47;k_19Werknemers_48;k_1019Werknemers_49;k_2049Werknemers_50;k_5099Werknemers_51;k_100199Werknemers_52;k_200499Werknemers_53;k_500OfMeerWerknemers_54;ProcesonafhankelijkAfvalTotaal_55;k_19Werknemers_56;k_1019Werknemers_57;k_2049Werknemers_58;k_5099Werknemers_59;k_100199Werknemers_60;k_200499Werknemers_61;k_500OfMeerWerknemers_62
10;Totaal hergebruik en eindverwerking;C Delfstoffenwinning;2000;203;153;0;0;0;0;0;0;118;0;0;33;85;32;0;32;0;0;0.0;3;50;2.0;0.0;1.0;1.0;0.0;3.0;2.0;0.0;0.0;0.0;43;2;7.0;147.0;125.0;4.0;9.0;9.0;42.0;8.0;1.0;1.0;1.0;5.0;203;153;;1.0;23.0;48.0;28.0;24.0;29.0;50;;0.0;1.0;0.0;7.0;1.0;41.0
11;Totaal hergebruik en eindverwerking;C Delfstoffenwinning;2001;182;147;0;0;0;0;0;0;109;0;0;27;81;34;0;34;0;0;0.0;4;35;2.0;1.0;1.0;1.0;0.0;25.0;3.0;0.0;0.0;22.0;5;3;7.0;140.0;117.0;5.0;9.0;9.0;27.0;8.0;1.0;1.0;1.0;5.0;182;147;;;;;;;;35;;;;;;;
12;Totaal hergebruik en eindverwerking;C Delfstoffenwinning;2002;194;147;0;0;0;0;0;0;71;0;0;16;56;71;0;71;0;0;0.0;4;47;3.0;0.0;2.0;0.0;0.0;38.0;1.0;0.0;0.0;36.0;4;2;82.0;64.0;56.0;3.0;5.0;0.0;39.0;9.0;3.0;2.0;0.0;4.0;194;147;0.0;0.0;2.0;0.0;110.0;23.0;12.0;47;0.0;0.0;1.0;2.0;8.0;1.0;34.0
13;Totaal hergebruik en eindverwerking;C Delfstoffenwinning;2003;303;157;0;0;0;0;0;0;83;0;0;20;63;69;0;69;0;0;0.0;4;147;2.0;0.0;2.0;0.0;0.0;137.0;1.0;0.0;0.0;136.0;4;2;79.0;77.0;51.0;3.0;23.0;0.0;139.0;8.0;2.0;2.0;0.0;4.0;303;157;;;;;;;;147;;;;;;;
14;Totaal hergebruik en eindverwerking;D Industrie;1994;7851;7001;3952;432;312;92;3081;35;1236;457;66;553;571;1169;371;83;716;358;;285;852;211.0;158.0;30.0;22.0;1.0;152.0;95.0;10.0;0.0;48.0;116;370;4804.0;2197.0;1632.0;512.0;39.0;14.0;365.0;484.0;284.0;123.0;76.0;0.0;7851;7001;;354.0;414.0;479.0;918.0;1634.0;3204.0;852;;46.0;86.0;77.0;92.0;152.0;398.0
15;Totaal hergebruik en eindverwerking;D Industrie;1996;8475;7581;3869;444;273;111;3032;9;1467;383;71;649;364;1114;234;17;859;387;;746;894;264.0;178.0;45.0;36.0;4.0;166.0;110.0;5.0;0.0;49.0;114;351;4929.0;2653.0;2037.0;541.0;50.0;25.0;429.0;464.0;236.0;135.0;93.0;0.0;8475;7581;;636.0;648.0;504.0;1139.0;1915.0;2732.0;894;;44.0;106.0;74.0;131.0;127.0;396.0
16;Totaal hergebruik en eindverwerking;D Industrie;1998;9282;8194;3970;496;313;156;2959;40;1727;490;73;752;412;1351;183;238;930;434;112.0;597;1086;286.0;168.0;84.0;28.0;6.0;216.0;85.0;7.0;14.0;110.0;200;367;5396.0;2800.0;2029.0;679.0;84.0;8.0;623.0;466.0;177.0;172.0;117.0;0.0;9282;8194;;612.0;657.0;573.0;1259.0;1877.0;3211.0;1086;;53.0;83.0;100.0;99.0;171.0;581.0
17;Totaal hergebruik en eindverwerking;D Industrie;2000;18651;17801;8751;581;350;208;7594;18;6011;724;73;3123;2085;1565;89;355;1121;655;164.0;656;849;304.0;179.0;77.0;31.0;9.0;188.0;84.0;5.0;4.0;89.0;98;257;15479.0;2324.0;1255.0;784.0;151.0;131.0;464.0;386.0;127.0;149.0;105.0;3.0;18651;17801;;503.0;818.0;1275.0;1658.0;6211.0;7333.0;849;;45.0;103.0;79.0;97.0;141.0;382.0
18;Totaal hergebruik en eindverwerking;D Industrie;2001;18876;18045;9074;617;496;186;7731;40;6033;674;75;3150;2122;1466;92;356;1019;599;152.0;717;835;314.0;192.0;77.0;32.0;9.0;194.0;85.0;5.0;4.0;98.0;19;297;15552.0;2494.0;1192.0;1038.0;175.0;89.0;477.0;352.0;151.0;161.0;37.0;3.0;18876;18045;;;;;;;;835;;;;;;;
19;Totaal hergebruik en eindverwerking;D Industrie;2002;18236;17388;8318;607;410;167;7056;70;6242;731;100;3337;2069;1576;83;286;1197;445;255.0;554;845;352.0;210.0;95.0;38.0;5.0;241.0;85.0;6.0;1.0;143.0;32;217;14650.0;2737.0;1113.0;1438.0;93.0;92.0;565.0;281.0;101.0;133.0;47.0;0.0;18236;17388;490.0;615.0;1041.0;873.0;1440.0;5875.0;7061.0;845;52.0;42.0;80.0;88.0;97.0;184.0;298.0
20;Totaal hergebruik en eindverwerking;D Industrie;2003;17620;16789;8046;602;402;174;6805;63;5874;693;98;3297;1786;1483;83;283;1117;578;264.0;543;831;345.0;206.0;92.0;38.0;9.0;240.0;85.0;9.0;1.0;145.0;32;213;14235.0;2553.0;1051.0;1326.0;90.0;86.0;554.0;276.0;99.0;130.0;47.0;0.0;17620;16789;;;;;;;;831;;;;;;;
21;Totaal hergebruik en eindverwerking;1500b Voedings- en genotmiddelenind.;1994;3999;3717;2986;0;0;0;2977;0;43;3;0;63;341;632;264;57;311;0;;55;283;93.0;75.0;5.0;12.0;1.0;69.0;22.0;2.0;0.0;46.0;9;111;2875.0;842.0;780.0;41.0;7.0;14.0;162.0;120.0;80.0;38.0;3.0;0.0;3999;3717;;134.0;119.0;106.0;560.0;845.0;1953.0;283;;17.0;32.0;26.0;30.0;74.0;104.0
22;Totaal hergebruik en eindverwerking;1500b Voedings- en genotmiddelenind.;1996;3766;3474;2846;0;0;0;2845;1;24;0;0;10;13;547;187;1;357;0;;57;292;118.0;97.0;5.0;13.0;2.0;64.0;38.0;1.0;0.0;24.0;7;103;2660.0;814.0;709.0;88.0;11.0;6.0;183.0;109.0;64.0;42.0;3.0;0.0;3766;3474;;134.0;147.0;158.0;550.0;1101.0;1382.0;292;;14.0;45.0;27.0;59.0;44.0;98.0
23;Totaal hergebruik en eindverwerking;1500b Voedings- en genotmiddelenind.;1998;3902;3649;2847;2;0;0;2829;16;114;0;0;29;85;625;171;7;447;0;0.0;59;251;103.0;67.0;17.0;17.0;2.0;45.0;11.0;6.0;0.0;28.0;1;96;2742.0;906.0;724.0;167.0;15.0;0.0;147.0;108.0;36.0;66.0;6.0;0.0;3902;3649;;79.0;137.0;165.0;466.0;905.0;1895.0;251;;18.0;21.0;31.0;27.0;58.0;95.0
24;Totaal hergebruik en eindverwerking;1500b Voedings- en genotmiddelenind.;2000;10127;9925;7443;2;0;1;7440;0;1711;0;0;16;1675;707;76;3;630;0;3.0;96;200;105.0;76.0;8.0;15.0;3.0;35.0;15.0;4.0;0.0;14.0;10;52;9312.0;611.0;269.0;209.0;7.0;126.0;135.0;68.0;18.0;41.0;6.0;3.0;10127;9925;;99.0;272.0;730.0;693.0;4431.0;3697.0;201;;10.0;37.0;19.0;23.0;32.0;82.0
25;Totaal hergebruik en eindverwerking;1500b Voedings- en genotmiddelenind.;2001;10222;10008;7616;2;0;1;7614;0;1686;0;0;16;1667;596;79;3;516;0;3.0;103;217;113.0;85.0;7.0;15.0;4.0;42.0;15.0;4.0;0.0;23.0;3;56;9289.0;720.0;310.0;320.0;8.0;82.0;143.0;72.0;19.0;43.0;7.0;3.0;10222;10008;;;;;;;;217;;;;;;;
26;Totaal hergebruik en eindverwerking;1500b Voedings- en genotmiddelenind.;2002;9703;9528;6971;2;1;0;6944;24;1621;0;0;26;1595;821;71;32;716;0;0.0;115;174;100.0;74.0;10.0;13.0;3.0;36.0;18.0;4.0;0.0;13.0;0;37;8328.0;1199.0;296.0;803.0;13.0;87.0;137.0;38.0;12.0;24.0;2.0;0.0;9703;9528;139.0;152.0;388.0;341.0;769.0;3988.0;3754.0;174;6.0;6.0;15.0;16.0;21.0;34.0;74.0
27;Totaal hergebruik en eindverwerking;1500b Voedings- en genotmiddelenind.;2003;9123;8952;6709;2;1;0;6683;23;1421;0;0;26;1395;709;70;29;610;0;0.0;112;171;98.0;72.0;10.0;13.0;3.0;35.0;18.0;4.0;0.0;13.0;0;37;7899.0;1053.0;234.0;725.0;13.0;81.0;132.0;39.0;12.0;25.0;2.0;0.0;9123;8952;;;;;;;;171;;;;;;;
28;Totaal hergebruik en eindverwerking;15 Voedingsmiddelen- en drankenindustrie;1994;3967;3698;2973;0;0;0;2972;0;43;3;0;62;340;632;264;57;311;0;;50;269;83.0;66.0;4.0;12.0;1.0;69.0;21.0;2.0;0.0;46.0;9;108;2870.0;828.0;767.0;41.0;7.0;14.0;151.0;117.0;77.0;37.0;3.0;0.0;3967;3698;;134.0;119.0;106.0;560.0;844.0;1936.0;269;;17.0;32.0;26.0;30.0;73.0;91.0
29;Totaal hergebruik en eindverwerking;15 Voedingsmiddelen- en drankenindustrie;1996;3737;3457;2833;0;0;0;2833;0;24;0;0;10;13;547;187;1;357;0;;54;280;108.0;88.0;4.0;13.0;2.0;63.0;38.0;1.0;0.0;24.0;4;102;2651.0;806.0;706.0;88.0;6.0;6.0;173.0;107.0;63.0;41.0;3.0;0.0;3737;3457;;134.0;147.0;158.0;550.0;1101.0;1367.0;280;;14.0;45.0;27.0;59.0;44.0;87.0
30;Totaal hergebruik en eindverwerking;15 Voedingsmiddelen- en drankenindustrie;1998;3880;3640;2841;2;0;0;2821;18;114;0;0;29;85;625;171;7;447;0;0.0;58;239;93.0;58.0;16.0;17.0;2.0;45.0;11.0;6.0;0.0;28.0;1;94;2735.0;904.0;724.0;165.0;15.0;0.0;136.0;106.0;36.0;64.0;6.0;0.0;3880;3640;;79.0;137.0;165.0;466.0;904.0;1887.0;239;;18.0;21.0;31.0;27.0;58.0;83.0
31;Totaal hergebruik en eindverwerking;15 Voedingsmiddelen- en drankenindustrie;2000;10103;9914;7435;2;0;1;7432;0;1711;0;0;16;1675;707;76;3;630;0;3.0;93;188;94.0;67.0;6.0;15.0;3.0;34.0;15.0;4.0;0.0;14.0;10;51;9305.0;606.0;268.0;205.0;7.0;126.0;124.0;67.0;18.0;40.0;6.0;3.0;10103;9914;;99.0;272.0;730.0;693.0;4430.0;3687.0;189;;10.0;37.0;19.0;23.0;32.0;70.0
32;Totaal hergebruik en eindverwerking;15 Voedingsmiddelen- en drankenindustrie;2001;10198;9997;7608;2;0;1;7606;0;1686;0;0;16;1667;596;79;3;516;0;3.0;100;204;102.0;76.0;5.0;15.0;4.0;41.0;15.0;4.0;0.0;23.0;3;55;9282.0;715.0;309.0;316.0;8.0;82.0;132.0;71.0;19.0;42.0;7.0;3.0;10198;9997;;;;;;;;204;;;;;;;
33;Totaal hergebruik en eindverwerking;15 Voedingsmiddelen- en drankenindustrie;2002;9680;9519;6965;2;1;0;6938;24;1621;0;0;26;1595;821;71;32;716;0;0.0;112;161;88.0;63.0;9.0;13.0;3.0;36.0;18.0;4.0;0.0;13.0;0;36;8322.0;1195.0;295.0;800.0;13.0;87.0;124.0;37.0;12.0;23.0;2.0;0.0;9680;9519;139.0;152.0;388.0;341.0;769.0;3986.0;3747.0;161;6.0;6.0;15.0;16.0;21.0;33.0;62.0
34;Totaal hergebruik en eindverwerking;15 Voedingsmiddelen- en drankenindustrie;2003;9102;8943;6703;2;1;0;6677;23;1421;0;0;26;1395;709;70;29;610;0;0.0;109;158;87.0;62.0;9.0;13.0;3.0;35.0;18.0;4.0;0.0;13.0;0;36;7893.0;1050.0;233.0;723.0;13.0;81.0;120.0;38.0;12.0;24.0;2.0;0.0;9102;8943;;;;;;;;158;;;;;;;
35;Totaal hergebruik en eindverwerking;151Slachterijen en vleesverwerkende ind.;1994;800;774;609;0;0;0;602;0;1;0;0;44;164;149;26;0;123;0;;15;26;5.0;5.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2;18;738.0;36.0;26.0;7.0;3.0;0.0;7.0;20.0;16.0;4.0;0.0;0.0;800;774;;100.0;64.0;19.0;203.0;204.0;183.0;26;;3.0;7.0;4.0;4.0;6.0;2.0
36;Totaal hergebruik en eindverwerking;151Slachterijen en vleesverwerkende ind.;1996;670;646;480;0;0;0;480;0;0;0;0;0;0;158;54;0;104;0;;8;25;6.0;5.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;1;16;593.0;53.0;40.0;12.0;1.0;0.0;7.0;17.0;11.0;6.0;0.0;0.0;670;646;;116.0;41.0;71.0;142.0;247.0;28.0;25;;2.0;5.0;4.0;3.0;8.0;3.0
37;Totaal hergebruik en eindverwerking;151Slachterijen en vleesverwerkende ind.;1998;822;791;599;0;0;0;598;1;1;0;0;0;1;173;15;0;158;0;0.0;19;31;7.0;5.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;1;20;663.0;128.0;22.0;101.0;5.0;0.0;11.0;20.0;7.0;12.0;1.0;0.0;822;791;;25.0;75.0;70.0;211.0;273.0;138.0;31;;6.0;4.0;6.0;5.0;6.0;4.0
38;Totaal hergebruik en eindverwerking;151Slachterijen en vleesverwerkende ind.;2000;877;856;617;0;0;0;617;0;2;0;0;0;1;220;44;0;176;0;0.0;18;21;12.0;6.0;0.0;4.0;1.0;1.0;1.0;0.0;0.0;0.0;0;8;620.0;235.0;18.0;154.0;1.0;62.0;9.0;11.0;6.0;5.0;0.0;0.0;877;856;;72.0;51.0;87.0;173.0;380.0;92.0;21;;3.0;8.0;2.0;2.0;4.0;2.0
39;Totaal hergebruik en eindverwerking;151Slachterijen en vleesverwerkende ind.;2001;1271;1247;1037;0;0;0;1037;0;2;0;0;0;1;186;47;0;140;0;0.0;22;25;14.0;8.0;0.0;4.0;1.0;1.0;1.0;0.0;0.0;0.0;0;10;927.0;320.0;19.0;263.0;1.0;37.0;12.0;13.0;7.0;6.0;0.0;0.0;1271;1247;;;;;;;;25;;;;;;;
40;Totaal hergebruik en eindverwerking;151Slachterijen en vleesverwerkende ind.;2002;1188;1163;904;0;1;0;902;1;2;0;0;0;2;234;23;29;182;0;0.0;23;25;13.0;12.0;0.0;1.0;0.0;4.0;4.0;0.0;0.0;0.0;0;8;437.0;726.0;18.0;667.0;2.0;39.0;17.0;8.0;3.0;4.0;1.0;0.0;1188;1163;83.0;113.0;236.0;117.0;202.0;297.0;116.0;25;2.0;3.0;4.0;4.0;2.0;8.0;2.0
41;Totaal hergebruik en eindverwerking;151Slachterijen en vleesverwerkende ind.;2003;1058;1034;797;0;1;0;794;2;2;0;0;0;2;215;22;26;167;0;0.0;21;23;12.0;11.0;0.0;1.0;0.0;4.0;4.0;0.0;0.0;0.0;0;8;391.0;644.0;17.0;590.0;2.0;35.0;15.0;8.0;3.0;4.0;1.0;0.0;1058;1034;;;;;;;;23;;;;;;;
42;Totaal hergebruik en eindverwerking;152 Visverwerkende industrie;1994;63;61;59;0;0;0;66;0;0;0;0;0;1;2;0;0;2;0;;0;2;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;59.0;2.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;63;61;;1.0;35.0;7.0;7.0;12.0;0.0;2;;0.0;1.0;1.0;0.0;0.0;0.0
43;Totaal hergebruik en eindverwerking;152 Visverwerkende industrie;1996;52;50;48;0;0;0;48;0;0;0;0;0;0;1;1;0;0;0;;1;2;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;47.0;3.0;3.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;52;50;;9.0;11.0;16.0;13.0;0.0;0.0;2;;1.0;0.0;0.0;0.0;0.0;0.0
44;Totaal hergebruik en eindverwerking;152 Visverwerkende industrie;1998;44;38;35;0;0;0;35;0;0;0;0;0;0;1;0;0;1;0;0.0;2;5;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;3;36.0;2.0;0.0;2.0;0.0;0.0;3.0;3.0;0.0;3.0;0.0;0.0;44;38;;8.0;7.0;8.0;14.0;1.0;0.0;5;;1.0;3.0;0.0;1.0;0.0;0.0
45;Totaal hergebruik en eindverwerking;152 Visverwerkende industrie;2000;41;37;31;0;0;0;31;0;0;0;0;0;0;4;1;0;4;0;0.0;2;4;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;35.0;2.0;1.0;1.0;0.0;0.0;3.0;2.0;1.0;1.0;0.0;0.0;41;37;;6.0;4.0;13.0;4.0;10.0;0.0;4;;1.0;2.0;0.0;1.0;0.0;0.0
46;Totaal hergebruik en eindverwerking;152 Visverwerkende industrie;2001;42;38;32;0;0;0;32;0;0;0;0;0;0;4;1;0;3;0;0.0;2;4;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;36.0;2.0;1.0;1.0;0.0;0.0;3.0;1.0;0.0;1.0;0.0;0.0;42;38;;;;;;;;4;;;;;;;
47;Totaal hergebruik en eindverwerking;152 Visverwerkende industrie;2002;34;32;24;0;0;0;24;0;0;0;0;0;0;6;0;0;5;0;0.0;2;3;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;28.0;3.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;34;32;3.0;3.0;1.0;4.0;14.0;8.0;0.0;3;0.0;0.0;0.0;0.0;1.0;1.0;0.0
48;Totaal hergebruik en eindverwerking;152 Visverwerkende industrie;2003;27;25;21;0;0;0;21;0;0;0;0;0;0;1;0;0;1;0;0.0;2;2;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;21.0;3.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;27;25;;;;;;;;2;;;;;;;
49;Totaal hergebruik en eindverwerking;1530a Verw.groente,fruit,plant/diervet;1994;885;852;612;0;0;0;587;0;9;0;0;0;18;217;141;50;26;0;;14;33;14.0;12.0;1.0;1.0;0.0;3.0;2.0;0.0;0.0;1.0;0;17;768.0;84.0;69.0;10.0;4.0;0.0;16.0;17.0;12.0;5.0;0.0;0.0;885;852;;25.0;19.0;73.0;323.0;381.0;32.0;33;;0.0;2.0;2.0;8.0;13.0;7.0
50;Totaal hergebruik en eindverwerking;1530a Verw.groente,fruit,plant/diervet;1996;1049;1016;850;0;0;0;850;0;11;0;0;0;11;142;49;0;92;0;;13;33;13.0;10.0;1.0;1.0;1.0;2.0;2.0;0.0;0.0;1.0;0;17;925.0;91.0;73.0;18.0;0.0;0.0;16.0;17.0;10.0;7.0;0.0;0.0;1049;1016;;5.0;78.0;52.0;289.0;573.0;20.0;33;;0.0;3.0;3.0;7.0;14.0;5.0
51;Totaal hergebruik en eindverwerking;1530a Verw.groente,fruit,plant/diervet;1998;961;931;750;0;0;0;749;1;23;0;0;0;23;138;16;2;120;0;0.0;19;30;15.0;9.0;4.0;1.0;1.0;4.0;2.0;1.0;0.0;1.0;0;11;888.0;43.0;31.0;11.0;0.0;1.0;19.0;12.0;5.0;6.0;1.0;0.0;961;931;;4.0;47.0;42.0;191.0;505.0;141.0;30;;1.0;3.0;2.0;4.0;16.0;4.0
52;Totaal hergebruik en eindverwerking;1530a Verw.groente,fruit,plant/diervet;2000;5146;5114;4607;0;0;0;4607;0;296;0;0;6;286;192;3;0;189;0;3.0;19;32;24.0;19.0;2.0;2.0;1.0;4.0;3.0;0.0;0.0;0.0;0;5;5048.0;65.0;32.0;21.0;2.0;10.0;26.0;6.0;2.0;4.0;0.0;0.0;5146;5114;;4.0;205.0;507.0;255.0;3921.0;222.0;32;;1.0;11.0;1.0;4.0;13.0;4.0
53;Totaal hergebruik en eindverwerking;1530a Verw.groente,fruit,plant/diervet;2001;5180;5146;4672;0;0;0;4672;0;307;0;0;6;301;143;3;0;140;0;3.0;20;34;25.0;20.0;2.0;2.0;1.0;4.0;3.0;0.0;0.0;1.0;0;5;5078.0;68.0;33.0;21.0;3.0;11.0;28.0;6.0;2.0;4.0;0.0;0.0;5180;5146;;;;;;;;34;;;;;;;
