ID;HerkomstBestemming;Afvalsoorten;Perioden;Afval_1
109;A-U Alle economische activiteiten;Afgedankt materiaal;2018;253.0
110;A-U Alle economische activiteiten;Afgedankt materiaal;2020;270.0
111;A-U Alle economische activiteiten;Afgedankt materiaal;2022;246.0
112;A-U Alle economische activiteiten;Dierlijk en plantaardig afval;2008;
113;A-U Alle economische activiteiten;Dierlijk en plantaardig afval;2010;
114;A-U Alle economische activiteiten;Dierlijk en plantaardig afval;2012;12289.0
115;A-U Alle economische activiteiten;Dierlijk en plantaardig afval;2014;12336.0
116;A-U Alle economische activiteiten;Dierlijk en plantaardig afval;2016;12939.0
117;A-U Alle economische activiteiten;Dierlijk en plantaardig afval;2018;13320.0
118;A-U Alle economische activiteiten;Dierlijk en plantaardig afval;2020;13165.0
119;A-U Alle economische activiteiten;Dierlijk en plantaardig afval;2022;13018.0
120;A-U Alle economische activiteiten;Gemengd afval;2008;
121;A-U Alle economische activiteiten;Gemengd afval;2010;
122;A-U Alle economische activiteiten;Gemengd afval;2012;4225.0
123;A-U Alle economische activiteiten;Gemengd afval;2014;4395.0
124;A-U Alle economische activiteiten;Gemengd afval;2016;4556.0
125;A-U Alle economische activiteiten;Gemengd afval;2018;4359.0
126;A-U Alle economische activiteiten;Gemengd afval;2020;4406.0
127;A-U Alle economische activiteiten;Gemengd afval;2022;4340.0
128;A-U Alle economische activiteiten;Slib;2008;
129;A-U Alle economische activiteiten;Slib;2010;
130;A-U Alle economische activiteiten;Slib;2012;636.0
131;A-U Alle economische activiteiten;Slib;2014;638.0
132;A-U Alle economische activiteiten;Slib;2016;662.0
133;A-U Alle economische activiteiten;Slib;2018;632.0
134;A-U Alle economische activiteiten;Slib;2020;625.0
135;A-U Alle economische activiteiten;Slib;2022;602.0
136;A-U Alle economische activiteiten;Mineraal afval;2008;
137;A-U Alle economische activiteiten;Mineraal afval;2010;
138;A-U Alle economische activiteiten;Mineraal afval;2012;25350.0
139;A-U Alle economische activiteiten;Mineraal afval;2014;25014.0
140;A-U Alle economische activiteiten;Mineraal afval;2016;25229.0
141;A-U Alle economische activiteiten;Mineraal afval;2018;25681.0
142;A-U Alle economische activiteiten;Mineraal afval;2020;23658.0
143;A-U Alle economische activiteiten;Mineraal afval;2022;23397.0
144;A Landbouw, bosbouw en visserij;Totaal afval;2008;
145;A Landbouw, bosbouw en visserij;Totaal afval;2010;
146;A Landbouw, bosbouw en visserij;Totaal afval;2012;4102.0
147;A Landbouw, bosbouw en visserij;Totaal afval;2014;4177.0
148;A Landbouw, bosbouw en visserij;Totaal afval;2016;4668.0
149;A Landbouw, bosbouw en visserij;Totaal afval;2018;4582.0
150;A Landbouw, bosbouw en visserij;Totaal afval;2020;4630.0
151;A Landbouw, bosbouw en visserij;Totaal afval;2022;4792.0
152;A Landbouw, bosbouw en visserij;Chemisch afval;2008;
153;A Landbouw, bosbouw en visserij;Chemisch afval;2010;
154;A Landbouw, bosbouw en visserij;Chemisch afval;2012;3.0
155;A Landbouw, bosbouw en visserij;Chemisch afval;2014;3.0
156;A Landbouw, bosbouw en visserij;Chemisch afval;2016;2.0
157;A Landbouw, bosbouw en visserij;Chemisch afval;2018;3.0
158;A Landbouw, bosbouw en visserij;Chemisch afval;2020;3.0
159;A Landbouw, bosbouw en visserij;Chemisch afval;2022;6.0
160;A Landbouw, bosbouw en visserij;Totaal recyclebaar afval;2008;
161;A Landbouw, bosbouw en visserij;Totaal recyclebaar afval;2010;
162;A Landbouw, bosbouw en visserij;Totaal recyclebaar afval;2012;41.0
163;A Landbouw, bosbouw en visserij;Totaal recyclebaar afval;2014;27.0
164;A Landbouw, bosbouw en visserij;Totaal recyclebaar afval;2016;54.0
165;A Landbouw, bosbouw en visserij;Totaal recyclebaar afval;2018;53.0
166;A Landbouw, bosbouw en visserij;Totaal recyclebaar afval;2020;57.0
167;A Landbouw, bosbouw en visserij;Totaal recyclebaar afval;2022;42.0
168;A Landbouw, bosbouw en visserij;IJzerafval;2008;
169;A Landbouw, bosbouw en visserij;IJzerafval;2010;
170;A Landbouw, bosbouw en visserij;IJzerafval;2012;0.0
171;A Landbouw, bosbouw en visserij;IJzerafval;2014;1.0
172;A Landbouw, bosbouw en visserij;IJzerafval;2016;1.0
173;A Landbouw, bosbouw en visserij;IJzerafval;2018;2.0
174;A Landbouw, bosbouw en visserij;IJzerafval;2020;1.0
175;A Landbouw, bosbouw en visserij;IJzerafval;2022;4.0
176;A Landbouw, bosbouw en visserij;Ander metaalafval;2008;
177;A Landbouw, bosbouw en visserij;Ander metaalafval;2010;
178;A Landbouw, bosbouw en visserij;Ander metaalafval;2012;0.0
179;A Landbouw, bosbouw en visserij;Ander metaalafval;2014;0.0
180;A Landbouw, bosbouw en visserij;Ander metaalafval;2016;0.0
181;A Landbouw, bosbouw en visserij;Ander metaalafval;2018;0.0
182;A Landbouw, bosbouw en visserij;Ander metaalafval;2020;0.0
183;A Landbouw, bosbouw en visserij;Ander metaalafval;2022;0.0
184;A Landbouw, bosbouw en visserij;Gemengd metaalafval;2008;
185;A Landbouw, bosbouw en visserij;Gemengd metaalafval;2010;
186;A Landbouw, bosbouw en visserij;Gemengd metaalafval;2012;1.0
187;A Landbouw, bosbouw en visserij;Gemengd metaalafval;2014;2.0
188;A Landbouw, bosbouw en visserij;Gemengd metaalafval;2016;2.0
189;A Landbouw, bosbouw en visserij;Gemengd metaalafval;2018;4.0
190;A Landbouw, bosbouw en visserij;Gemengd metaalafval;2020;3.0
191;A Landbouw, bosbouw en visserij;Gemengd metaalafval;2022;3.0
192;A Landbouw, bosbouw en visserij;Glasafval;2008;
193;A Landbouw, bosbouw en visserij;Glasafval;2010;
194;A Landbouw, bosbouw en visserij;Glasafval;2012;0.0
195;A Landbouw, bosbouw en visserij;Glasafval;2014;0.0
196;A Landbouw, bosbouw en visserij;Glasafval;2016;1.0
197;A Landbouw, bosbouw en visserij;Glasafval;2018;1.0
198;A Landbouw, bosbouw en visserij;Glasafval;2020;1.0
199;A Landbouw, bosbouw en visserij;Glasafval;2022;1.0
200;A Landbouw, bosbouw en visserij;Papierafval;2008;
201;A Landbouw, bosbouw en visserij;Papierafval;2010;
202;A Landbouw, bosbouw en visserij;Papierafval;2012;1.0
203;A Landbouw, bosbouw en visserij;Papierafval;2014;0.0
204;A Landbouw, bosbouw en visserij;Papierafval;2016;1.0
205;A Landbouw, bosbouw en visserij;Papierafval;2018;1.0
206;A Landbouw, bosbouw en visserij;Papierafval;2020;1.0
207;A Landbouw, bosbouw en visserij;Papierafval;2022;1.0
208;A Landbouw, bosbouw en visserij;Rubberafval;2008;
209;A Landbouw, bosbouw en visserij;Rubberafval;2010;
210;A Landbouw, bosbouw en visserij;Rubberafval;2012;0.0
211;A Landbouw, bosbouw en visserij;Rubberafval;2014;0.0
212;A Landbouw, bosbouw en visserij;Rubberafval;2016;0.0
213;A Landbouw, bosbouw en visserij;Rubberafval;2018;0.0
214;A Landbouw, bosbouw en visserij;Rubberafval;2020;0.0
215;A Landbouw, bosbouw en visserij;Rubberafval;2022;0.0
216;A Landbouw, bosbouw en visserij;Plasticafval;2008;
217;A Landbouw, bosbouw en visserij;Plasticafval;2010;
218;A Landbouw, bosbouw en visserij;Plasticafval;2012;35.0
219;A Landbouw, bosbouw en visserij;Plasticafval;2014;20.0
220;A Landbouw, bosbouw en visserij;Plasticafval;2016;37.0
221;A Landbouw, bosbouw en visserij;Plasticafval;2018;40.0
222;A Landbouw, bosbouw en visserij;Plasticafval;2020;44.0
223;A Landbouw, bosbouw en visserij;Plasticafval;2022;25.0
224;A Landbouw, bosbouw en visserij;Houtafval;2008;
225;A Landbouw, bosbouw en visserij;Houtafval;2010;
226;A Landbouw, bosbouw en visserij;Houtafval;2012;4.0
227;A Landbouw, bosbouw en visserij;Houtafval;2014;4.0
228;A Landbouw, bosbouw en visserij;Houtafval;2016;11.0
229;A Landbouw, bosbouw en visserij;Houtafval;2018;6.0
230;A Landbouw, bosbouw en visserij;Houtafval;2020;7.0
231;A Landbouw, bosbouw en visserij;Houtafval;2022;6.0
232;A Landbouw, bosbouw en visserij;Textielafval;2008;
233;A Landbouw, bosbouw en visserij;Textielafval;2010;
234;A Landbouw, bosbouw en visserij;Textielafval;2012;0.0
235;A Landbouw, bosbouw en visserij;Textielafval;2014;0.0
236;A Landbouw, bosbouw en visserij;Textielafval;2016;0.0
237;A Landbouw, bosbouw en visserij;Textielafval;2018;0.0
238;A Landbouw, bosbouw en visserij;Textielafval;2020;0.0
239;A Landbouw, bosbouw en visserij;Textielafval;2022;1.0
240;A Landbouw, bosbouw en visserij;Overig recyclebaar afval;2008;
241;A Landbouw, bosbouw en visserij;Overig recyclebaar afval;2010;
242;A Landbouw, bosbouw en visserij;Overig recyclebaar afval;2012;0.0
243;A Landbouw, bosbouw en visserij;Overig recyclebaar afval;2014;0.0
244;A Landbouw, bosbouw en visserij;Overig recyclebaar afval;2016;0.0
245;A Landbouw, bosbouw en visserij;Overig recyclebaar afval;2018;0.0
246;A Landbouw, bosbouw en visserij;Overig recyclebaar afval;2020;0.0
247;A Landbouw, bosbouw en visserij;Overig recyclebaar afval;2022;0.0
248;A Landbouw, bosbouw en visserij;Afgedankt materiaal;2008;
249;A Landbouw, bosbouw en visserij;Afgedankt materiaal;2010;
250;A Landbouw, bosbouw en visserij;Afgedankt materiaal;2012;0.0
251;A Landbouw, bosbouw en visserij;Afgedankt materiaal;2014;0.0
252;A Landbouw, bosbouw en visserij;Afgedankt materiaal;2016;0.0
253;A Landbouw, bosbouw en visserij;Afgedankt materiaal;2018;0.0
254;A Landbouw, bosbouw en visserij;Afgedankt materiaal;2020;0.0
255;A Landbouw, bosbouw en visserij;Afgedankt materiaal;2022;0.0
256;A Landbouw, bosbouw en visserij;Dierlijk en plantaardig afval;2008;
257;A Landbouw, bosbouw en visserij;Dierlijk en plantaardig afval;2010;
258;A Landbouw, bosbouw en visserij;Dierlijk en plantaardig afval;2012;3731.0
259;A Landbouw, bosbouw en visserij;Dierlijk en plantaardig afval;2014;3822.0
260;A Landbouw, bosbouw en visserij;Dierlijk en plantaardig afval;2016;4262.0
261;A Landbouw, bosbouw en visserij;Dierlijk en plantaardig afval;2018;4141.0
262;A Landbouw, bosbouw en visserij;Dierlijk en plantaardig afval;2020;4167.0
263;A Landbouw, bosbouw en visserij;Dierlijk en plantaardig afval;2022;4282.0
264;A Landbouw, bosbouw en visserij;Gemengd afval;2008;
265;A Landbouw, bosbouw en visserij;Gemengd afval;2010;
266;A Landbouw, bosbouw en visserij;Gemengd afval;2012;191.0
267;A Landbouw, bosbouw en visserij;Gemengd afval;2014;184.0
268;A Landbouw, bosbouw en visserij;Gemengd afval;2016;184.0
269;A Landbouw, bosbouw en visserij;Gemengd afval;2018;186.0
270;A Landbouw, bosbouw en visserij;Gemengd afval;2020;203.0
271;A Landbouw, bosbouw en visserij;Gemengd afval;2022;237.0
272;A Landbouw, bosbouw en visserij;Slib;2008;
273;A Landbouw, bosbouw en visserij;Slib;2010;
274;A Landbouw, bosbouw en visserij;Slib;2012;4.0
275;A Landbouw, bosbouw en visserij;Slib;2014;5.0
276;A Landbouw, bosbouw en visserij;Slib;2016;3.0
277;A Landbouw, bosbouw en visserij;Slib;2018;1.0
278;A Landbouw, bosbouw en visserij;Slib;2020;3.0
279;A Landbouw, bosbouw en visserij;Slib;2022;2.0
280;A Landbouw, bosbouw en visserij;Mineraal afval;2008;
281;A Landbouw, bosbouw en visserij;Mineraal afval;2010;
282;A Landbouw, bosbouw en visserij;Mineraal afval;2012;132.0
283;A Landbouw, bosbouw en visserij;Mineraal afval;2014;136.0
284;A Landbouw, bosbouw en visserij;Mineraal afval;2016;162.0
285;A Landbouw, bosbouw en visserij;Mineraal afval;2018;197.0
286;A Landbouw, bosbouw en visserij;Mineraal afval;2020;196.0
287;A Landbouw, bosbouw en visserij;Mineraal afval;2022;223.0
288;B-E Nijverheid (geen bouw) en energie;Totaal afval;2008;
289;B-E Nijverheid (geen bouw) en energie;Totaal afval;2010;
290;B-E Nijverheid (geen bouw) en energie;Totaal afval;2012;16954.0
291;B-E Nijverheid (geen bouw) en energie;Totaal afval;2014;16705.0
292;B-E Nijverheid (geen bouw) en energie;Totaal afval;2016;17396.0
293;B-E Nijverheid (geen bouw) en energie;Totaal afval;2018;17213.0
294;B-E Nijverheid (geen bouw) en energie;Totaal afval;2020;15710.0
295;B-E Nijverheid (geen bouw) en energie;Totaal afval;2022;15801.0
296;B-E Nijverheid (geen bouw) en energie;Chemisch afval;2008;
297;B-E Nijverheid (geen bouw) en energie;Chemisch afval;2010;
298;B-E Nijverheid (geen bouw) en energie;Chemisch afval;2012;1624.0
299;B-E Nijverheid (geen bouw) en energie;Chemisch afval;2014;1619.0
300;B-E Nijverheid (geen bouw) en energie;Chemisch afval;2016;1753.0
301;B-E Nijverheid (geen bouw) en energie;Chemisch afval;2018;1626.0
302;B-E Nijverheid (geen bouw) en energie;Chemisch afval;2020;1520.0
303;B-E Nijverheid (geen bouw) en energie;Chemisch afval;2022;1502.0
304;B-E Nijverheid (geen bouw) en energie;Totaal recyclebaar afval;2008;
305;B-E Nijverheid (geen bouw) en energie;Totaal recyclebaar afval;2010;
306;B-E Nijverheid (geen bouw) en energie;Totaal recyclebaar afval;2012;2021.0
307;B-E Nijverheid (geen bouw) en energie;Totaal recyclebaar afval;2014;1863.0
308;B-E Nijverheid (geen bouw) en energie;Totaal recyclebaar afval;2016;1923.0
309;B-E Nijverheid (geen bouw) en energie;Totaal recyclebaar afval;2018;1967.0
310;B-E Nijverheid (geen bouw) en energie;Totaal recyclebaar afval;2020;2070.0
311;B-E Nijverheid (geen bouw) en energie;Totaal recyclebaar afval;2022;2155.0
312;B-E Nijverheid (geen bouw) en energie;IJzerafval;2008;
313;B-E Nijverheid (geen bouw) en energie;IJzerafval;2010;
314;B-E Nijverheid (geen bouw) en energie;IJzerafval;2012;361.0
315;B-E Nijverheid (geen bouw) en energie;IJzerafval;2014;351.0
316;B-E Nijverheid (geen bouw) en energie;IJzerafval;2016;286.0
317;B-E Nijverheid (geen bouw) en energie;IJzerafval;2018;342.0
318;B-E Nijverheid (geen bouw) en energie;IJzerafval;2020;419.0
319;B-E Nijverheid (geen bouw) en energie;IJzerafval;2022;393.0
320;B-E Nijverheid (geen bouw) en energie;Ander metaalafval;2008;
321;B-E Nijverheid (geen bouw) en energie;Ander metaalafval;2010;
322;B-E Nijverheid (geen bouw) en energie;Ander metaalafval;2012;60.0
323;B-E Nijverheid (geen bouw) en energie;Ander metaalafval;2014;73.0
324;B-E Nijverheid (geen bouw) en energie;Ander metaalafval;2016;89.0
325;B-E Nijverheid (geen bouw) en energie;Ander metaalafval;2018;93.0
326;B-E Nijverheid (geen bouw) en energie;Ander metaalafval;2020;107.0
327;B-E Nijverheid (geen bouw) en energie;Ander metaalafval;2022;107.0
328;B-E Nijverheid (geen bouw) en energie;Gemengd metaalafval;2008;
329;B-E Nijverheid (geen bouw) en energie;Gemengd metaalafval;2010;
330;B-E Nijverheid (geen bouw) en energie;Gemengd metaalafval;2012;276.0
331;B-E Nijverheid (geen bouw) en energie;Gemengd metaalafval;2014;250.0
332;B-E Nijverheid (geen bouw) en energie;Gemengd metaalafval;2016;316.0
333;B-E Nijverheid (geen bouw) en energie;Gemengd metaalafval;2018;293.0
334;B-E Nijverheid (geen bouw) en energie;Gemengd metaalafval;2020;263.0
335;B-E Nijverheid (geen bouw) en energie;Gemengd metaalafval;2022;286.0
336;B-E Nijverheid (geen bouw) en energie;Glasafval;2008;
337;B-E Nijverheid (geen bouw) en energie;Glasafval;2010;
338;B-E Nijverheid (geen bouw) en energie;Glasafval;2012;56.0
339;B-E Nijverheid (geen bouw) en energie;Glasafval;2014;48.0
340;B-E Nijverheid (geen bouw) en energie;Glasafval;2016;53.0
341;B-E Nijverheid (geen bouw) en energie;Glasafval;2018;49.0
342;B-E Nijverheid (geen bouw) en energie;Glasafval;2020;57.0
343;B-E Nijverheid (geen bouw) en energie;Glasafval;2022;64.0
344;B-E Nijverheid (geen bouw) en energie;Papierafval;2008;
345;B-E Nijverheid (geen bouw) en energie;Papierafval;2010;
346;B-E Nijverheid (geen bouw) en energie;Papierafval;2012;596.0
347;B-E Nijverheid (geen bouw) en energie;Papierafval;2014;570.0
348;B-E Nijverheid (geen bouw) en energie;Papierafval;2016;600.0
349;B-E Nijverheid (geen bouw) en energie;Papierafval;2018;564.0
350;B-E Nijverheid (geen bouw) en energie;Papierafval;2020;547.0
351;B-E Nijverheid (geen bouw) en energie;Papierafval;2022;601.0
352;B-E Nijverheid (geen bouw) en energie;Rubberafval;2008;
353;B-E Nijverheid (geen bouw) en energie;Rubberafval;2010;
354;B-E Nijverheid (geen bouw) en energie;Rubberafval;2012;2.0
355;B-E Nijverheid (geen bouw) en energie;Rubberafval;2014;2.0
356;B-E Nijverheid (geen bouw) en energie;Rubberafval;2016;2.0
357;B-E Nijverheid (geen bouw) en energie;Rubberafval;2018;10.0
358;B-E Nijverheid (geen bouw) en energie;Rubberafval;2020;1.0
359;B-E Nijverheid (geen bouw) en energie;Rubberafval;2022;2.0
360;B-E Nijverheid (geen bouw) en energie;Plasticafval;2008;
361;B-E Nijverheid (geen bouw) en energie;Plasticafval;2010;
362;B-E Nijverheid (geen bouw) en energie;Plasticafval;2012;177.0
363;B-E Nijverheid (geen bouw) en energie;Plasticafval;2014;177.0
364;B-E Nijverheid (geen bouw) en energie;Plasticafval;2016;215.0
365;B-E Nijverheid (geen bouw) en energie;Plasticafval;2018;233.0
366;B-E Nijverheid (geen bouw) en energie;Plasticafval;2020;229.0
367;B-E Nijverheid (geen bouw) en energie;Plasticafval;2022;235.0
368;B-E Nijverheid (geen bouw) en energie;Houtafval;2008;
369;B-E Nijverheid (geen bouw) en energie;Houtafval;2010;
370;B-E Nijverheid (geen bouw) en energie;Houtafval;2012;461.0
371;B-E Nijverheid (geen bouw) en energie;Houtafval;2014;374.0
372;B-E Nijverheid (geen bouw) en energie;Houtafval;2016;349.0
373;B-E Nijverheid (geen bouw) en energie;Houtafval;2018;352.0
374;B-E Nijverheid (geen bouw) en energie;Houtafval;2020;410.0
375;B-E Nijverheid (geen bouw) en energie;Houtafval;2022;435.0
376;B-E Nijverheid (geen bouw) en energie;Textielafval;2008;
377;B-E Nijverheid (geen bouw) en energie;Textielafval;2010;
378;B-E Nijverheid (geen bouw) en energie;Textielafval;2012;31.0
379;B-E Nijverheid (geen bouw) en energie;Textielafval;2014;17.0
380;B-E Nijverheid (geen bouw) en energie;Textielafval;2016;13.0
381;B-E Nijverheid (geen bouw) en energie;Textielafval;2018;30.0
382;B-E Nijverheid (geen bouw) en energie;Textielafval;2020;38.0
383;B-E Nijverheid (geen bouw) en energie;Textielafval;2022;32.0
384;B-E Nijverheid (geen bouw) en energie;Overig recyclebaar afval;2008;
385;B-E Nijverheid (geen bouw) en energie;Overig recyclebaar afval;2010;
386;B-E Nijverheid (geen bouw) en energie;Overig recyclebaar afval;2012;0.0
387;B-E Nijverheid (geen bouw) en energie;Overig recyclebaar afval;2014;0.0
388;B-E Nijverheid (geen bouw) en energie;Overig recyclebaar afval;2016;0.0
389;B-E Nijverheid (geen bouw) en energie;Overig recyclebaar afval;2018;0.0
390;B-E Nijverheid (geen bouw) en energie;Overig recyclebaar afval;2020;0.0
391;B-E Nijverheid (geen bouw) en energie;Overig recyclebaar afval;2022;0.0
392;B-E Nijverheid (geen bouw) en energie;Afgedankt materiaal;2008;
393;B-E Nijverheid (geen bouw) en energie;Afgedankt materiaal;2010;
394;B-E Nijverheid (geen bouw) en energie;Afgedankt materiaal;2012;26.0
395;B-E Nijverheid (geen bouw) en energie;Afgedankt materiaal;2014;26.0
396;B-E Nijverheid (geen bouw) en energie;Afgedankt materiaal;2016;24.0
397;B-E Nijverheid (geen bouw) en energie;Afgedankt materiaal;2018;37.0
398;B-E Nijverheid (geen bouw) en energie;Afgedankt materiaal;2020;49.0
399;B-E Nijverheid (geen bouw) en energie;Afgedankt materiaal;2022;61.0
400;B-E Nijverheid (geen bouw) en energie;Dierlijk en plantaardig afval;2008;
401;B-E Nijverheid (geen bouw) en energie;Dierlijk en plantaardig afval;2010;
402;B-E Nijverheid (geen bouw) en energie;Dierlijk en plantaardig afval;2012;6564.0
403;B-E Nijverheid (geen bouw) en energie;Dierlijk en plantaardig afval;2014;6534.0
404;B-E Nijverheid (geen bouw) en energie;Dierlijk en plantaardig afval;2016;6645.0
405;B-E Nijverheid (geen bouw) en energie;Dierlijk en plantaardig afval;2018;6958.0
406;B-E Nijverheid (geen bouw) en energie;Dierlijk en plantaardig afval;2020;6725.0
407;B-E Nijverheid (geen bouw) en energie;Dierlijk en plantaardig afval;2022;6552.0
408;B-E Nijverheid (geen bouw) en energie;Gemengd afval;2008;
409;B-E Nijverheid (geen bouw) en energie;Gemengd afval;2010;
410;B-E Nijverheid (geen bouw) en energie;Gemengd afval;2012;1338.0
411;B-E Nijverheid (geen bouw) en energie;Gemengd afval;2014;1306.0
