ID;CPIWithUnderlyingInflation;Periods;PriceIndex_1;YearOnYearChange_2
222;CPI derived;2012 July;110.64;2.1
223;CPI derived;2012 August;110.78;2.1
224;CPI derived;2012 September;111.23;2.1
225;CPI derived;2012 October;111.1;2.0
226;CPI derived;2012 November;110.64;1.9
227;CPI derived;2012 December;110.5;2.0
228;CPI derived;2013 January;109.88;1.6
229;CPI derived;2013 February;110.71;1.6
230;CPI derived;2013 March;111.88;1.5
231;CPI derived;2013 April;111.95;1.2
232;CPI derived;2013 May;111.98;1.3
233;CPI derived;2013 June;111.56;1.4
234;CPI derived;2013 July;112.5;1.7
235;CPI derived;2013 August;112.36;1.4
236;CPI derived;2013 September;112.43;1.1
237;CPI derived;2013 October;112.1;0.9
238;CPI derived;2013 November;111.56;0.8
239;CPI derived;2013 December;111.62;1.0
240;CPI derived;2014 January;110.97;1.0
241;CPI derived;2014 February;111.44;0.7
242;CPI derived;2014 March;112.38;0.4
243;CPI derived;2014 April;112.9;0.8
244;CPI derived;2014 May;112.51;0.5
245;CPI derived;2014 June;112.24;0.6
246;CPI derived;2014 July;113.16;0.6
247;CPI derived;2014 August;113.09;0.6
248;CPI derived;2014 September;113.07;0.6
249;CPI derived;2014 October;112.94;0.7
250;CPI derived;2014 November;112.27;0.6
251;CPI derived;2014 December;112.04;0.4
252;CPI derived;2015 January;110.85;-0.1
253;CPI derived;2015 February;111.46;0.0
254;CPI derived;2015 March;112.63;0.2
255;CPI derived;2015 April;113.35;0.4
256;CPI derived;2015 May;113.6;1.0
257;CPI derived;2015 June;113.16;0.8
258;CPI derived;2015 July;114.08;0.8
259;CPI derived;2015 August;113.72;0.6
260;CPI derived;2015 September;113.51;0.4
261;CPI derived;2015 October;113.4;0.4
262;CPI derived;2015 November;112.77;0.4
263;CPI derived;2015 December;112.64;0.5
264;Underlying series I;2006 January;98.72;
265;Underlying series I;2006 February;99.25;
266;Underlying series I;2006 March;99.99;
267;Underlying series I;2006 April;100.29;
268;Underlying series I;2006 May;100.33;
269;Underlying series I;2006 June;99.82;
270;Underlying series I;2006 July;99.43;
271;Underlying series I;2006 August;99.95;
272;Underlying series I;2006 September;100.72;
273;Underlying series I;2006 October;100.75;
274;Underlying series I;2006 November;100.61;
275;Underlying series I;2006 December;100.14;
276;Underlying series I;2007 January;99.91;1.2
277;Underlying series I;2007 February;100.41;1.2
278;Underlying series I;2007 March;101.5;1.5
279;Underlying series I;2007 April;101.87;1.6
280;Underlying series I;2007 May;101.82;1.5
281;Underlying series I;2007 June;101.3;1.5
282;Underlying series I;2007 July;100.95;1.5
283;Underlying series I;2007 August;101.21;1.3
284;Underlying series I;2007 September;101.84;1.1
285;Underlying series I;2007 October;102.01;1.3
286;Underlying series I;2007 November;101.98;1.4
287;Underlying series I;2007 December;101.49;1.3
288;Underlying series I;2008 January;101.56;1.7
289;Underlying series I;2008 February;102.39;2.0
290;Underlying series I;2008 March;103.41;1.9
291;Underlying series I;2008 April;103.62;1.7
292;Underlying series I;2008 May;103.79;1.9
293;Underlying series I;2008 June;103.33;2.0
294;Underlying series I;2008 July;103.13;2.2
295;Underlying series I;2008 August;103.54;2.3
296;Underlying series I;2008 September;104.15;2.3
297;Underlying series I;2008 October;104.45;2.4
298;Underlying series I;2008 November;104.54;2.5
299;Underlying series I;2008 December;104.02;2.5
300;Underlying series I;2009 January;103.65;2.1
301;Underlying series I;2009 February;104.42;2.0
302;Underlying series I;2009 March;105.64;2.2
303;Underlying series I;2009 April;105.98;2.3
304;Underlying series I;2009 May;106.0;2.1
305;Underlying series I;2009 June;105.36;2.0
306;Underlying series I;2009 July;105.19;2.0
307;Underlying series I;2009 August;105.38;1.8
308;Underlying series I;2009 September;106.19;2.0
309;Underlying series I;2009 October;106.39;1.9
310;Underlying series I;2009 November;106.17;1.6
311;Underlying series I;2009 December;105.46;1.4
312;Underlying series I;2010 January;105.17;1.5
313;Underlying series I;2010 February;106.02;1.5
314;Underlying series I;2010 March;107.23;1.5
315;Underlying series I;2010 April;107.45;1.4
316;Underlying series I;2010 May;107.47;1.4
317;Underlying series I;2010 June;106.83;1.4
318;Underlying series I;2010 July;106.31;1.1
319;Underlying series I;2010 August;106.43;1.0
320;Underlying series I;2010 September;107.17;0.9
321;Underlying series I;2010 October;107.41;1.0
322;Underlying series I;2010 November;107.21;1.0
323;Underlying series I;2010 December;106.7;1.2
324;Underlying series I;2011 January before recalculation;106.44;1.2
325;Underlying series I;2011 February before recalculation;107.24;1.2
326;Underlying series I;2011 March before recalculation;108.57;1.2
327;Underlying series I;2011 April before recalculation;108.9;1.3
328;Underlying series I;2011 May before recalculation;109.09;1.5
329;Underlying series I;2011 June before recalculation;108.58;1.6
330;Underlying series I;2011 July before recalculation;108.35;1.9
331;Underlying series I;2011 August before recalculation;108.56;2.0
332;Underlying series I;2011 September before recalculation;109.41;2.1
333;Underlying series I;2011 October before recalculation;109.56;2.0
334;Underlying series I;2011 November before recalculation;109.42;2.1
335;Underlying series I;2011 December before recalculation;108.88;2.0
336;Underlying series I;2011 January after recalculation;106.29;
337;Underlying series I;2011 February after recalculation;107.18;
338;Underlying series I;2011 March after recalculation;108.44;
339;Underlying series I;2011 April after recalculation;108.83;
340;Underlying series I;2011 May after recalculation;108.92;
341;Underlying series I;2011 June after recalculation;108.4;
342;Underlying series I;2011 July after recalculation;108.77;
343;Underlying series I;2011 August after recalculation;109.01;
344;Underlying series I;2011 September after recalculation;109.39;
345;Underlying series I;2011 October after recalculation;109.62;
346;Underlying series I;2011 November after recalculation;109.25;
347;Underlying series I;2011 December after recalculation;108.93;
348;Underlying series I;2012 January;108.43;2.0
349;Underlying series I;2012 February;109.2;1.9
350;Underlying series I;2012 March;110.45;1.9
351;Underlying series I;2012 April;110.82;1.8
352;Underlying series I;2012 May;110.76;1.7
353;Underlying series I;2012 June;110.26;1.7
354;Underlying series I;2012 July;111.0;2.1
355;Underlying series I;2012 August;110.97;1.8
356;Underlying series I;2012 September;111.31;1.8
357;Underlying series I;2012 October;112.01;2.2
358;Underlying series I;2012 November;111.67;2.2
359;Underlying series I;2012 December;111.57;2.4
360;Underlying series I;2013 January;111.41;2.7
361;Underlying series I;2013 February;112.28;2.8
362;Underlying series I;2013 March;113.69;2.9
363;Underlying series I;2013 April;113.87;2.8
364;Underlying series I;2013 May;113.95;2.9
365;Underlying series I;2013 June;113.42;2.9
366;Underlying series I;2013 July;114.61;3.3
367;Underlying series I;2013 August;114.42;3.1
368;Underlying series I;2013 September;114.53;2.9
369;Underlying series I;2013 October;114.42;2.2
370;Underlying series I;2013 November;113.9;2.0
371;Underlying series I;2013 December;113.9;2.1
372;Underlying series I;2014 January;113.48;1.9
373;Underlying series I;2014 February;114.08;1.6
374;Underlying series I;2014 March;115.19;1.3
375;Underlying series I;2014 April;115.68;1.6
376;Underlying series I;2014 May;115.24;1.1
377;Underlying series I;2014 June;114.81;1.2
378;Underlying series I;2014 July;116.0;1.2
379;Underlying series I;2014 August;116.03;1.4
380;Underlying series I;2014 September;115.98;1.3
381;Underlying series I;2014 October;116.01;1.4
382;Underlying series I;2014 November;115.32;1.2
383;Underlying series I;2014 December;115.37;1.3
384;Underlying series I;2015 January;114.53;0.9
385;Underlying series I;2015 February;115.16;0.9
386;Underlying series I;2015 March;116.35;1.0
387;Underlying series I;2015 April;117.0;1.1
388;Underlying series I;2015 May;117.15;1.7
389;Underlying series I;2015 June;116.53;1.5
390;Underlying series I;2015 July;117.73;1.5
391;Underlying series I;2015 August;117.42;1.2
392;Underlying series I;2015 September;117.42;1.2
393;Underlying series I;2015 October;117.45;1.2
394;Underlying series I;2015 November;116.69;1.2
395;Underlying series I;2015 December;116.75;1.2
396;Underlying series II;2006 January;98.71;
397;Underlying series II;2006 February;99.16;
398;Underlying series II;2006 March;99.94;
399;Underlying series II;2006 April;100.41;
400;Underlying series II;2006 May;100.42;
401;Underlying series II;2006 June;100.01;
402;Underlying series II;2006 July;99.8;
403;Underlying series II;2006 August;100.24;
404;Underlying series II;2006 September;100.6;
405;Underlying series II;2006 October;100.45;
406;Underlying series II;2006 November;100.31;
407;Underlying series II;2006 December;99.94;
408;Underlying series II;2007 January;99.89;1.2
409;Underlying series II;2007 February;100.43;1.3
410;Underlying series II;2007 March;101.53;1.6
411;Underlying series II;2007 April;102.0;1.6
412;Underlying series II;2007 May;102.03;1.6
413;Underlying series II;2007 June;101.57;1.6
414;Underlying series II;2007 July;101.02;1.2
415;Underlying series II;2007 August;101.14;0.9
416;Underlying series II;2007 September;101.75;1.1
417;Underlying series II;2007 October;101.88;1.4
418;Underlying series II;2007 November;102.04;1.7
