ID;AfzetInvoerEnVerbruik;ProductenPRODCOM;Perioden;ProducentenprijsindexPPI_1;MaandmutatiePPI_2;JaarmutatiePPI_3
198;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 april;;;
199;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 mei;;;
200;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 juni;;;
201;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 juli;;;
202;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 augustus;;;
203;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 september;;;
204;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 oktober;;;
205;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 november;;;
206;Totaal afzetprijzen;05 Steenkool en bruinkool;2015 december;;;
207;Totaal afzetprijzen;05 Steenkool en bruinkool;2015;;;
208;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 januari;;;
209;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 februari;;;
210;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 maart;;;
211;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 april;;;
212;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 mei;;;
213;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 juni;;;
214;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 juli;;;
215;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 augustus;;;
216;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 september;;;
217;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 oktober;;;
218;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 november;;;
219;Totaal afzetprijzen;05 Steenkool en bruinkool;2016 december;;;
220;Totaal afzetprijzen;05 Steenkool en bruinkool;2016;;;
221;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 januari;;;
222;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 februari;;;
223;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 maart;;;
224;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 april;;;
225;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 mei;;;
226;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 juni;;;
227;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 juli;;;
228;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 augustus;;;
229;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 september;;;
230;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 oktober;;;
231;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 november;;;
232;Totaal afzetprijzen;05 Steenkool en bruinkool;2017 december;;;
233;Totaal afzetprijzen;05 Steenkool en bruinkool;2017;;;
