ID;BedrijfstakkenBranchesSBI2008;Perioden;Waarde_1;VoortschrijdendJaargemiddeldeWaarde_2;Prijs_3;VoortschrijdendJaargemiddeldePrijs_4;Volume_5;VoortschrijdendJaargemiddeldeVolume_6;Waarde_7;CumulatieveWaarde_8;Prijs_9;CumulatievePrijs_10;Volume_11;CumulatiefVolume_12
69;I Horeca;1997 februari;;;;;;;;;;;;
70;I Horeca;1997 maart;;;;;;;;;;;;
71;I Horeca;1997 1e kwartaal;65.0;72.0;;;;;7.1;7.1;;;;
72;I Horeca;1997 april;;;;;;;;;;;;
73;I Horeca;1997 mei;;;;;;;;;;;;
74;I Horeca;1997 juni;;;;;;;;;;;;
75;I Horeca;1997 2e kwartaal;81.0;73.0;;;;;6.1;6.6;;;;
76;I Horeca;1997 juli;;;;;;;;;;;;
77;I Horeca;1997 augustus;;;;;;;;;;;;
78;I Horeca;1997 september;;;;;;;;;;;;
79;I Horeca;1997 3e kwartaal;84.0;75.0;;;;;7.7;7.0;;;;
80;I Horeca;1997 oktober;;;;;;;;;;;;
81;I Horeca;1997 november;;;;;;;;;;;;
82;I Horeca;1997 december;;;;;;;;;;;;
83;I Horeca;1997 4e kwartaal;74.0;76.0;;;;;6.1;6.8;;;;
84;I Horeca;1997;76.0;76.0;;;;;6.8;6.8;;;;
85;I Horeca;1998 januari;;;;;;;;;;;;
86;I Horeca;1998 februari;;;;;;;;;;;;
87;I Horeca;1998 maart;;;;;;;;;;;;
88;I Horeca;1998 1e kwartaal;69.0;77.0;;;;;6.9;6.9;;;;
89;I Horeca;1998 april;;;;;;;;;;;;
90;I Horeca;1998 mei;;;;;;;;;;;;
91;I Horeca;1998 juni;;;;;;;;;;;;
92;I Horeca;1998 2e kwartaal;87.0;79.0;;;;;7.2;7.1;;;;
93;I Horeca;1998 juli;;;;;;;;;;;;
94;I Horeca;1998 augustus;;;;;;;;;;;;
95;I Horeca;1998 september;;;;;;;;;;;;
96;I Horeca;1998 3e kwartaal;88.0;80.0;;;;;5.0;6.3;;;;
97;I Horeca;1998 oktober;;;;;;;;;;;;
98;I Horeca;1998 november;;;;;;;;;;;;
99;I Horeca;1998 december;;;;;;;;;;;;
100;I Horeca;1998 4e kwartaal;79.0;81.0;;;;;6.7;6.4;;;;
101;I Horeca;1998;81.0;81.0;;;;;6.4;6.4;;;;
102;I Horeca;1999 januari;;;;;;;;;;;;
103;I Horeca;1999 februari;;;;;;;;;;;;
104;I Horeca;1999 maart;;;;;;;;;;;;
105;I Horeca;1999 1e kwartaal;75.0;82.0;;;;;7.9;7.9;;;;
106;I Horeca;1999 april;;;;;;;;;;;;
107;I Horeca;1999 mei;;;;;;;;;;;;
108;I Horeca;1999 juni;;;;;;;;;;;;
109;I Horeca;1999 2e kwartaal;93.0;84.0;;;;;7.5;7.7;;;;
110;I Horeca;1999 juli;;;;;;;;;;;;
111;I Horeca;1999 augustus;;;;;;;;;;;;
112;I Horeca;1999 september;;;;;;;;;;;;
113;I Horeca;1999 3e kwartaal;96.0;86.0;;;;;8.6;8.0;;;;
114;I Horeca;1999 oktober;;;;;;;;;;;;
115;I Horeca;1999 november;;;;;;;;;;;;
116;I Horeca;1999 december;;;;;;;;;;;;
117;I Horeca;1999 4e kwartaal;85.0;87.0;;;;;7.6;7.9;;;;
118;I Horeca;1999;87.0;87.0;;;;;7.9;7.9;;;;
119;I Horeca;2000 januari;;;;;;;;;;;;
120;I Horeca;2000 februari;;;;;;;;;;;;
121;I Horeca;2000 maart;;;;;;;;;;;;
122;I Horeca;2000 1e kwartaal;81.0;89.0;;;;;7.7;7.7;;;;
123;I Horeca;2000 april;;;;;;;;;;;;
124;I Horeca;2000 mei;;;;;;;;;;;;
125;I Horeca;2000 juni;;;;;;;;;;;;
126;I Horeca;2000 2e kwartaal;100.0;90.0;;;;;7.0;7.3;;;;
127;I Horeca;2000 juli;;;;;;;;;;;;
128;I Horeca;2000 augustus;;;;;;;;;;;;
129;I Horeca;2000 september;;;;;;;;;;;;
130;I Horeca;2000 3e kwartaal;101.0;92.0;;;;;6.1;6.9;;;;
131;I Horeca;2000 oktober;;;;;;;;;;;;
132;I Horeca;2000 november;;;;;;;;;;;;
133;I Horeca;2000 december;;;;;;;;;;;;
134;I Horeca;2000 4e kwartaal;91.0;93.0;;;;;7.2;6.9;;;;
135;I Horeca;2000;93.0;93.0;;;;;6.9;6.9;;;;
136;I Horeca;2001 januari;;;;;;;;;;;;
137;I Horeca;2001 februari;;;;;;;;;;;;
138;I Horeca;2001 maart;;;;;;;;;;;;
139;I Horeca;2001 1e kwartaal;85.0;95.0;;;;;5.5;5.5;;;;
140;I Horeca;2001 april;;;;;;;;;;;;
141;I Horeca;2001 mei;;;;;;;;;;;;
142;I Horeca;2001 juni;;;;;;;;;;;;
143;I Horeca;2001 2e kwartaal;105.0;96.0;;;;;5.0;5.3;;;;
144;I Horeca;2001 juli;;;;;;;;;;;;
145;I Horeca;2001 augustus;;;;;;;;;;;;
146;I Horeca;2001 september;;;;;;;;;;;;
147;I Horeca;2001 3e kwartaal;104.0;96.0;;;;;2.7;4.3;;;;
148;I Horeca;2001 oktober;;;;;;;;;;;;
149;I Horeca;2001 november;;;;;;;;;;;;
150;I Horeca;2001 december;;;;;;;;;;;;
151;I Horeca;2001 4e kwartaal;97.0;98.0;;;;;5.5;4.6;;;;
152;I Horeca;2001;98.0;98.0;;;;;4.6;4.6;;;;
153;I Horeca;2002 januari;;;;;;;;;;;;
154;I Horeca;2002 februari;;;;;;;;;;;;
155;I Horeca;2002 maart;;;;;;;;;;;;
156;I Horeca;2002 1e kwartaal;90.0;99.0;;;;;5.4;5.4;;;;
157;I Horeca;2002 april;;;;;;;;;;;;
158;I Horeca;2002 mei;;;;;;;;;;;;
159;I Horeca;2002 juni;;;;;;;;;;;;
160;I Horeca;2002 2e kwartaal;110.0;100.0;;;;;4.5;4.9;;;;
161;I Horeca;2002 juli;;;;;;;;;;;;
162;I Horeca;2002 augustus;;;;;;;;;;;;
163;I Horeca;2002 september;;;;;;;;;;;;
164;I Horeca;2002 3e kwartaal;108.0;101.0;;;;;4.0;4.6;;;;
165;I Horeca;2002 oktober;;;;;;;;;;;;
166;I Horeca;2002 november;;;;;;;;;;;;
167;I Horeca;2002 december;;;;;;;;;;;;
168;I Horeca;2002 4e kwartaal;95.0;101.0;;;;;-1.1;3.2;;;;
169;I Horeca;2002;101.0;101.0;;;;;3.2;3.2;;;;
170;I Horeca;2003 januari;;;;;;;;;;;;
171;I Horeca;2003 februari;;;;;;;;;;;;
172;I Horeca;2003 maart;;;;;;;;;;;;
173;I Horeca;2003 1e kwartaal;87.0;100.0;;;;;-2.8;-2.8;;;;
174;I Horeca;2003 april;;;;;;;;;;;;
175;I Horeca;2003 mei;;;;;;;;;;;;
176;I Horeca;2003 juni;;;;;;;;;;;;
177;I Horeca;2003 2e kwartaal;108.0;100.0;;;;;-2.0;-2.3;;;;
178;I Horeca;2003 juli;;;;;;;;;;;;
179;I Horeca;2003 augustus;;;;;;;;;;;;
180;I Horeca;2003 september;;;;;;;;;;;;
181;I Horeca;2003 3e kwartaal;106.0;99.0;;;;;-2.4;-2.4;;;;
182;I Horeca;2003 oktober;;;;;;;;;;;;
183;I Horeca;2003 november;;;;;;;;;;;;
184;I Horeca;2003 december;;;;;;;;;;;;
185;I Horeca;2003 4e kwartaal;96.0;99.0;;;;;0.5;-1.7;;;;
186;I Horeca;2003;99.0;99.0;;;;;-1.7;-1.7;;;;
187;I Horeca;2004 januari;;;;;;;;;;;;
188;I Horeca;2004 februari;;;;;;;;;;;;
189;I Horeca;2004 maart;;;;;;;;;;;;
190;I Horeca;2004 1e kwartaal;87.0;99.0;;;;;-0.9;-0.9;;;;
191;I Horeca;2004 april;;;;;;;;;;;;
192;I Horeca;2004 mei;;;;;;;;;;;;
193;I Horeca;2004 juni;;;;;;;;;;;;
194;I Horeca;2004 2e kwartaal;106.0;98.0;;;;;-1.9;-1.5;;;;
195;I Horeca;2004 juli;;;;;;;;;;;;
196;I Horeca;2004 augustus;;;;;;;;;;;;
197;I Horeca;2004 september;;;;;;;;;;;;
198;I Horeca;2004 3e kwartaal;105.0;98.0;;;;;-0.7;-1.2;;;;
199;I Horeca;2004 oktober;;;;;;;;;;;;
200;I Horeca;2004 november;;;;;;;;;;;;
201;I Horeca;2004 december;;;;;;;;;;;;
202;I Horeca;2004 4e kwartaal;97.0;98.0;;;;;0.6;-0.8;;;;
203;I Horeca;2004;98.0;98.0;;;;;-0.8;-0.8;;;;
204;I Horeca;2005 januari;;;;;;;;;;;;
205;I Horeca;2005 februari;;;;;;;;;;;;
206;I Horeca;2005 maart;;;;;;;;;;;;
207;I Horeca;2005 1e kwartaal;87.0;98.0;;;;;0.5;0.5;;;;
208;I Horeca;2005 april;;;;;;;;;;;;
209;I Horeca;2005 mei;;;;;;;;;;;;
210;I Horeca;2005 juni;;;;;;;;;;;;
211;I Horeca;2005 2e kwartaal;106.0;99.0;;;;;0.3;0.4;;;;
212;I Horeca;2005 juli;;;;;;;;;;;;
213;I Horeca;2005 augustus;;;;;;;;;;;;
214;I Horeca;2005 september;;;;;;;;;;;;
215;I Horeca;2005 3e kwartaal;107.0;99.0;;;;;1.9;0.9;;;;
216;I Horeca;2005 oktober;;;;;;;;;;;;
217;I Horeca;2005 november;;;;;;;;;;;;
218;I Horeca;2005 december;;;;;;;;;;;;
219;I Horeca;2005 4e kwartaal;100.0;100.0;;;;;3.8;1.6;;;;
220;I Horeca;2005;100.0;100.0;;;;;1.6;1.6;;;;
221;I Horeca;2006 januari;;;;;;;;;;;;
222;I Horeca;2006 februari;;;;;;;;;;;;
223;I Horeca;2006 maart;;;;;;;;;;;;
224;I Horeca;2006 1e kwartaal;90.0;101.0;;;;;3.5;3.5;;;;
225;I Horeca;2006 april;;;;;;;;;;;;
226;I Horeca;2006 mei;;;;;;;;;;;;
227;I Horeca;2006 juni;;;;;;;;;;;;
228;I Horeca;2006 2e kwartaal;112.0;102.0;;;;;5.4;4.6;;;;
229;I Horeca;2006 juli;;;;;;;;;;;;
230;I Horeca;2006 augustus;;;;;;;;;;;;
231;I Horeca;2006 september;;;;;;;;;;;;
232;I Horeca;2006 3e kwartaal;112.0;104.0;;;;;5.0;4.7;;;;
233;I Horeca;2006 oktober;;;;;;;;;;;;
234;I Horeca;2006 november;;;;;;;;;;;;
235;I Horeca;2006 december;;;;;;;;;;;;
236;I Horeca;2006 4e kwartaal;105.0;105.0;;;;;5.2;4.8;;;;
237;I Horeca;2006;105.0;105.0;;;;;4.8;4.8;;;;
238;I Horeca;2007 januari;;;;;;;;;;;;
239;I Horeca;2007 februari;;;;;;;;;;;;
240;I Horeca;2007 maart;;;;;;;;;;;;
241;I Horeca;2007 1e kwartaal;97.0;107.0;;;;;7.4;7.4;;;;
242;I Horeca;2007 april;;;;;;;;;;;;
243;I Horeca;2007 mei;;;;;;;;;;;;
244;I Horeca;2007 juni;;;;;;;;;;;;
245;I Horeca;2007 2e kwartaal;120.0;109.0;;;;;7.2;7.3;;;;
246;I Horeca;2007 juli;;;;;;;;;;;;
247;I Horeca;2007 augustus;;;;;;;;;;;;
248;I Horeca;2007 september;;;;;;;;;;;;
249;I Horeca;2007 3e kwartaal;116.0;109.0;;;;;3.5;5.9;;;;
250;I Horeca;2007 oktober;;;;;;;;;;;;
251;I Horeca;2007 november;;;;;;;;;;;;
252;I Horeca;2007 december;;;;;;;;;;;;
253;I Horeca;2007 4e kwartaal;110.0;111.0;;;;;4.6;5.6;;;;
254;I Horeca;2007;111.0;111.0;;;;;5.6;5.6;;;;
255;I Horeca;2008 januari;;;;;;;;;;;;
256;I Horeca;2008 februari;;;;;;;;;;;;
257;I Horeca;2008 maart;;;;;;;;;;;;
258;I Horeca;2008 1e kwartaal;101.0;112.0;;;;;4.0;4.0;;;;
259;I Horeca;2008 april;;;;;;;;;;;;
260;I Horeca;2008 mei;;;;;;;;;;;;
261;I Horeca;2008 juni;;;;;;;;;;;;
262;I Horeca;2008 2e kwartaal;121.0;112.0;;;;;0.9;2.3;;;;
263;I Horeca;2008 juli;;;;;;;;;;;;
264;I Horeca;2008 augustus;;;;;;;;;;;;
265;I Horeca;2008 september;;;;;;;;;;;;
266;I Horeca;2008 3e kwartaal;115.0;112.0;;;;;-0.7;1.2;;;;
267;I Horeca;2008 oktober;;;;;;;;;;;;
268;I Horeca;2008 november;;;;;;;;;;;;
269;I Horeca;2008 december;;;;;;;;;;;;
270;I Horeca;2008 4e kwartaal;107.0;111.0;;;;;-2.7;0.2;;;;
271;I Horeca;2008;111.0;111.0;;;;;0.2;0.2;;;;
272;I Horeca;2009 januari;;;;;;;;;;;;
273;I Horeca;2009 februari;;;;;;;;;;;;
274;I Horeca;2009 maart;;;;;;;;;;;;
275;I Horeca;2009 1e kwartaal;96.0;110.0;;;;;-4.9;-4.9;;;;
276;I Horeca;2009 april;;;;;;;;;;;;
277;I Horeca;2009 mei;;;;;;;;;;;;
278;I Horeca;2009 juni;;;;;;;;;;;;
279;I Horeca;2009 2e kwartaal;114.0;108.0;;;;;-5.3;-5.1;;;;
280;I Horeca;2009 juli;;;;;;;;;;;;
281;I Horeca;2009 augustus;;;;;;;;;;;;
282;I Horeca;2009 september;;;;;;;;;;;;
283;I Horeca;2009 3e kwartaal;111.0;107.0;;;;;-3.7;-4.6;;;;
284;I Horeca;2009 oktober;;;;;;;;;;;;
285;I Horeca;2009 november;;;;;;;;;;;;
286;I Horeca;2009 december;;;;;;;;;;;;
287;I Horeca;2009 4e kwartaal;101.0;106.0;;;;;-5.5;-4.8;;;;
288;I Horeca;2009;106.0;106.0;;;;;-4.8;-4.8;;;;
289;I Horeca;2010 januari;;;;;;;;;;;;
290;I Horeca;2010 februari;;;;;;;;;;;;
291;I Horeca;2010 maart;;;;;;;;;;;;
292;I Horeca;2010 1e kwartaal;92.0;105.0;;;;;-4.3;-4.3;;;;
293;I Horeca;2010 april;;;;;;;;;;;;
294;I Horeca;2010 mei;;;;;;;;;;;;
295;I Horeca;2010 juni;;;;;;;;;;;;
296;I Horeca;2010 2e kwartaal;111.0;104.0;;;;;-2.9;-3.5;;;;
297;I Horeca;2010 juli;;;;;;;;;;;;
298;I Horeca;2010 augustus;;;;;;;;;;;;
299;I Horeca;2010 september;;;;;;;;;;;;
300;I Horeca;2010 3e kwartaal;113.0;104.0;;;;;1.7;-1.7;;;;
301;I Horeca;2010 oktober;;;;;;;;;;;;
302;I Horeca;2010 november;;;;;;;;;;;;
303;I Horeca;2010 december;;;;;;;;;;;;
304;I Horeca;2010 4e kwartaal;105.0;105.0;;;;;4.1;-0.3;;;;
305;I Horeca;2010;105.0;105.0;;;;;-0.3;-0.3;;;;
306;I Horeca;2011 januari;;;;;;;;;;;;
307;I Horeca;2011 februari;;;;;;;;;;;;
308;I Horeca;2011 maart;;;;;;;;;;;;
309;I Horeca;2011 1e kwartaal;96.0;106.0;;;;;4.4;4.4;;;;
310;I Horeca;2011 april;;;;;;;;;;;;
311;I Horeca;2011 mei;;;;;;;;;;;;
312;I Horeca;2011 juni;;;;;;;;;;;;
313;I Horeca;2011 2e kwartaal;118.0;108.0;;;;;6.6;5.6;;;;
314;I Horeca;2011 juli;;;;;;;;;;;;
315;I Horeca;2011 augustus;;;;;;;;;;;;
316;I Horeca;2011 september;;;;;;;;;;;;
317;I Horeca;2011 3e kwartaal;116.0;109.0;;;;;2.4;4.4;;;;
318;I Horeca;2011 oktober;;;;;;;;;;;;
319;I Horeca;2011 november;;;;;;;;;;;;
320;I Horeca;2011 december;;;;;;;;;;;;
321;I Horeca;2011 4e kwartaal;108.0;109.0;;;;;2.6;4.0;;;;
322;I Horeca;2011;109.0;109.0;;;;;4.0;4.0;;;;
323;I Horeca;2012 januari;;;;;;;;;;;;
324;I Horeca;2012 februari;;;;;;;;;;;;
325;I Horeca;2012 maart;;;;;;;;;;;;
326;I Horeca;2012 1e kwartaal;98.0;110.0;;;;;2.5;2.5;;;;
327;I Horeca;2012 april;;;;;;;;;;;;
328;I Horeca;2012 mei;;;;;;;;;;;;
329;I Horeca;2012 juni;;;;;;;;;;;;
330;I Horeca;2012 2e kwartaal;120.0;111.0;;;;;1.8;2.1;;;;
331;I Horeca;2012 juli;;;;;;;;;;;;
332;I Horeca;2012 augustus;;;;;;;;;;;;
333;I Horeca;2012 september;;;;;;;;;;;;
334;I Horeca;2012 3e kwartaal;117.0;111.0;;;;;1.0;1.7;;;;
335;I Horeca;2012 oktober;;;;;;;;;;;;
336;I Horeca;2012 november;;;;;;;;;;;;
337;I Horeca;2012 december;;;;;;;;;;;;
338;I Horeca;2012 4e kwartaal;109.0;111.0;;;;;0.3;1.4;;;;
339;I Horeca;2012;111.0;111.0;;;;;1.4;1.4;;;;
340;5510b Traditionele horeca;1993 januari;53.0;;;;;;;;;;;
341;5510b Traditionele horeca;1993 februari;53.0;;;;;;;;;;;
342;5510b Traditionele horeca;1993 maart;58.0;;;;;;;;;;;
343;5510b Traditionele horeca;1993 1e kwartaal;55.0;;;;;;;;;;;
344;5510b Traditionele horeca;1993 april;67.0;;;;;;;;;;;
345;5510b Traditionele horeca;1993 mei;74.0;;;;;;;;;;;
346;5510b Traditionele horeca;1993 juni;72.0;;;;;;;;;;;
347;5510b Traditionele horeca;1993 2e kwartaal;71.0;;;;;;;;;;;
348;5510b Traditionele horeca;1993 juli;71.0;;;;;;;;;;;
349;5510b Traditionele horeca;1993 augustus;70.0;;;;;;;;;;;
350;5510b Traditionele horeca;1993 september;67.0;;;;;;;;;;;
351;5510b Traditionele horeca;1993 3e kwartaal;69.0;;;;;;;;;;;
352;5510b Traditionele horeca;1993 oktober;65.0;;;;;;;;;;;
353;5510b Traditionele horeca;1993 november;59.0;;;;;;;;;;;
354;5510b Traditionele horeca;1993 december;62.0;64.0;;;;;;;;;;
355;5510b Traditionele horeca;1993 4e kwartaal;62.0;64.0;;;;;;;;;;
356;5510b Traditionele horeca;1993;64.0;64.0;;;;;;;;;;
357;5510b Traditionele horeca;1994 januari;56.0;64.0;;;;;5.5;5.5;;;;
358;5510b Traditionele horeca;1994 februari;55.0;65.0;;;;;5.5;5.5;;;;
359;5510b Traditionele horeca;1994 maart;62.0;65.0;;;;;6.1;5.7;;;;
360;5510b Traditionele horeca;1994 1e kwartaal;58.0;65.0;;;;;5.7;5.7;;;;
361;5510b Traditionele horeca;1994 april;70.0;65.0;;;;;4.4;5.3;;;;
362;5510b Traditionele horeca;1994 mei;75.0;65.0;;;;;2.3;4.6;;;;
363;5510b Traditionele horeca;1994 juni;73.0;66.0;;;;;2.1;4.1;;;;
364;5510b Traditionele horeca;1994 2e kwartaal;73.0;66.0;;;;;3.0;4.2;;;;
365;5510b Traditionele horeca;1994 juli;74.0;66.0;;;;;4.6;4.2;;;;
366;5510b Traditionele horeca;1994 augustus;73.0;66.0;;;;;4.6;4.3;;;;
367;5510b Traditionele horeca;1994 september;71.0;66.0;;;;;5.0;4.4;;;;
368;5510b Traditionele horeca;1994 3e kwartaal;73.0;66.0;;;;;4.7;4.4;;;;
369;5510b Traditionele horeca;1994 oktober;68.0;67.0;;;;;3.4;4.3;;;;
370;5510b Traditionele horeca;1994 november;63.0;67.0;;;;;7.2;4.5;;;;
371;5510b Traditionele horeca;1994 december;66.0;67.0;;;;;6.4;4.7;;;;
372;5510b Traditionele horeca;1994 4e kwartaal;66.0;67.0;;;;;5.7;4.7;;;;
373;5510b Traditionele horeca;1994;67.0;67.0;;;;;4.7;4.7;;;;
374;5510b Traditionele horeca;1995 januari;56.0;67.0;;;;;0.4;0.4;;;;
375;5510b Traditionele horeca;1995 februari;57.0;67.0;;;;;3.5;2.0;;;;
376;5510b Traditionele horeca;1995 maart;63.0;67.0;;;;;1.0;1.6;;;;
377;5510b Traditionele horeca;1995 1e kwartaal;59.0;67.0;;;;;1.7;1.7;;;;
378;5510b Traditionele horeca;1995 april;71.0;68.0;;;;;0.9;1.4;;;;
379;5510b Traditionele horeca;1995 mei;76.0;68.0;;;;;1.2;1.4;;;;
380;5510b Traditionele horeca;1995 juni;78.0;68.0;;;;;6.3;2.3;;;;
381;5510b Traditionele horeca;1995 2e kwartaal;75.0;68.0;;;;;2.9;2.4;;;;
382;5510b Traditionele horeca;1995 juli;76.0;68.0;;;;;2.4;2.3;;;;
383;5510b Traditionele horeca;1995 augustus;77.0;68.0;;;;;5.3;2.7;;;;
384;5510b Traditionele horeca;1995 september;73.0;69.0;;;;;2.4;2.7;;;;
385;5510b Traditionele horeca;1995 3e kwartaal;75.0;69.0;;;;;3.4;2.8;;;;
386;5510b Traditionele horeca;1995 oktober;69.0;69.0;;;;;2.7;2.7;;;;
387;5510b Traditionele horeca;1995 november;65.0;69.0;;;;;2.1;2.6;;;;
388;5510b Traditionele horeca;1995 december;67.0;69.0;;;;;1.2;2.5;;;;
389;5510b Traditionele horeca;1995 4e kwartaal;67.0;69.0;;;;;2.1;2.6;;;;
390;5510b Traditionele horeca;1995;69.0;69.0;;;;;2.6;2.6;;;;
391;5510b Traditionele horeca;1996 januari;56.0;69.0;;;;;0.6;0.6;;;;
392;5510b Traditionele horeca;1996 februari;59.0;69.0;;;;;2.9;1.7;;;;
393;5510b Traditionele horeca;1996 maart;66.0;69.0;;;;;4.6;2.8;;;;
394;5510b Traditionele horeca;1996 1e kwartaal;60.0;69.0;;;;;2.9;2.9;;;;
395;5510b Traditionele horeca;1996 april;73.0;70.0;;;;;3.4;3.0;;;;
396;5510b Traditionele horeca;1996 mei;80.0;70.0;;;;;4.3;3.3;;;;
397;5510b Traditionele horeca;1996 juni;81.0;70.0;;;;;3.5;3.3;;;;
398;5510b Traditionele horeca;1996 2e kwartaal;78.0;70.0;;;;;3.9;3.5;;;;
399;5510b Traditionele horeca;1996 juli;76.0;70.0;;;;;0.1;2.8;;;;
400;5510b Traditionele horeca;1996 augustus;80.0;70.0;;;;;3.5;2.9;;;;
401;5510b Traditionele horeca;1996 september;77.0;71.0;;;;;6.2;3.3;;;;
402;5510b Traditionele horeca;1996 3e kwartaal;78.0;71.0;;;;;3.4;3.5;;;;
403;5510b Traditionele horeca;1996 oktober;74.0;71.0;;;;;7.1;3.7;;;;
404;5510b Traditionele horeca;1996 november;70.0;72.0;;;;;7.7;4.0;;;;
405;5510b Traditionele horeca;1996 december;71.0;72.0;;;;;6.7;4.2;;;;
406;5510b Traditionele horeca;1996 4e kwartaal;72.0;72.0;;;;;7.1;4.4;;;;
407;5510b Traditionele horeca;1996;72.0;72.0;;;;;4.4;4.4;;;;
408;5510b Traditionele horeca;1997 januari;60.0;72.0;;;;;5.9;5.9;;;;
409;5510b Traditionele horeca;1997 februari;63.0;73.0;;;;;6.1;6.0;;;;
410;5510b Traditionele horeca;1997 maart;71.0;73.0;;;;;8.5;6.9;;;;
411;5510b Traditionele horeca;1997 1e kwartaal;65.0;73.0;;;;;6.8;6.8;;;;
412;5510b Traditionele horeca;1997 april;76.0;73.0;;;;;3.9;6.0;;;;
413;5510b Traditionele horeca;1997 mei;87.0;74.0;;;;;8.8;6.7;;;;
414;5510b Traditionele horeca;1997 juni;84.0;74.0;;;;;4.4;6.3;;;;
415;5510b Traditionele horeca;1997 2e kwartaal;82.0;74.0;;;;;5.7;6.2;;;;
416;5510b Traditionele horeca;1997 juli;84.0;75.0;;;;;10.1;6.9;;;;
417;5510b Traditionele horeca;1997 augustus;89.0;76.0;;;;;11.8;7.5;;;;
