ID;PersonalCharacteristics;Periods;OnceAWeekOrMore_1;TwiceAMonth_2;OnceAMonth_3;LessThanOnceAMonth_4;HardlyEver_5;EveningsAtHomePerWeek1529Yrs_6;OnceAWeekOrMore_7;OnceInAFortnight_8;LessThanOnceInAFortnight_9;Never_10;OnceAWeekOrMore_11;TwiceAMonth_12;OnceAMonth_13;LessThanOnceAMonth_14;HardlyEver_15;Yes_16;Sometimes_17;No_18;Yes_19;Sometimes_20;No_21;Yes_22;Sometimes_23;No_24;Yes_25;Sometimes_26;No_27;Yes_28;Sometimes_29;No_30;Yes_31;Sometimes_32;No_33;HaveEnoughGirlFriends1217Yrs_34;SometimesBulliedAtSchoolTheStreet_35;OftenBullied_36;NotOften_37;OftenFeelsLonely1217Yrs_38;ExtremelyPleased_39;VeryPleased_40;Pleased_41;RatherPleased_42;NotSoPleased_43;VeryHappy_44;Happy_45;NotHappyNotUnhappy_46;NotVeryHappy_47;Unhappy_48;ExtremelyPleased_49;VeryPleased_50;Pleased_51;RatherPleased_52;NotSoPleased_53;PleasedWithPartner_54;PleasedWithFamily_55;PleasedWithFinancialSituation_56;PleasedWithEducation_57;PleasedWithSociety_58;TotalParticipantsVolunteerWork_59;OrganisedVolunteerWork_60;YouthWork_61;School_62;CareNursing_63;SportsClub_64;HobbyClub_65;CulturalSociety_66;ReligiousPhilosophicalOrganisation_67;LabourOrganisation_68;PoliticalOrganisation_69;OtherOrganisations_70;VolunteerAid_71;Always_72;Usually_73;Sometimes_74;HardlyEver_75;Never_76;More_77;AlrightAsItIs_78;Less_79;Not_80;NotApplicable_81;More_82;AlrightAsItIs_83;Less_84;Not_85;NotApplicable_86;More_87;AlrightAsItIs_88;Less_89;Not_90;NotApplicable_91;NoDenomination_92;RomanCatholic_93;ProtestantChurchOfTheNetherlands_94;DutchReformed_95;Calvinist_96;OtherDenominations_97;OnceAWeekOrMore_98;TwiceOrThreeTimesAMonth_99;OnceAMonth_100;LessThanOnceAMonth_101;HardlyEver_102
10;Total personal characteristics;2007;86.0;6.0;3.0;2.0;2.0;;68.0;10.0;14.0;7.0;81.0;9.0;5.0;2.0;2.0;93.0;5.0;1.0;3.0;7.0;91.0;95.0;4.0;2.0;90.0;7.0;3.0;73.0;5.0;22.0;17.0;20.0;64.0;;;;;;9.0;42.0;42.0;5.0;2.0;21.0;68.0;8.0;2.0;1.0;8.0;35.0;46.0;8.0;3.0;;;;;;57.0;44.0;4.0;9.0;8.0;13.0;5.0;5.0;9.0;2.0;1.0;13.0;28.0;69.0;26.0;4.0;1.0;0.0;;;;;;;;;;;;;;;;43.0;28.0;6.0;9.0;4.0;10.0;11.0;4.0;4.0;8.0;73.0
11;Total personal characteristics;2008;86.0;7.0;4.0;2.0;2.0;;68.0;11.0;15.0;7.0;80.0;9.0;6.0;2.0;3.0;93.0;5.0;1.0;3.0;7.0;91.0;95.0;4.0;2.0;90.0;8.0;2.0;73.0;5.0;22.0;16.0;21.0;63.0;;;;;;9.0;43.0;41.0;4.0;2.0;22.0;67.0;8.0;2.0;1.0;8.0;35.0;45.0;8.0;3.0;;;;;;57.0;42.0;4.0;8.0;7.0;12.0;4.0;4.0;9.0;2.0;1.0;12.0;30.0;71.0;25.0;3.0;1.0;0.0;;;;;;;;;;;;;;;;43.0;29.0;6.0;9.0;4.0;10.0;11.0;4.0;4.0;8.0;72.0
12;Total personal characteristics;2009;86.0;7.0;4.0;2.0;2.0;;68.0;10.0;15.0;6.0;81.0;10.0;5.0;3.0;2.0;92.0;6.0;1.0;2.0;8.0;89.0;94.0;5.0;1.0;88.0;9.0;2.0;72.0;6.0;22.0;15.0;21.0;63.0;;;;;;9.0;40.0;44.0;4.0;2.0;24.0;65.0;7.0;2.0;1.0;10.0;35.0;43.0;8.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.0;27.0;6.0;8.0;3.0;10.0;10.0;4.0;4.0;9.0;73.0
13;Total personal characteristics;2010;;;;;;;71.0;10.0;14.0;6.0;;;;;;93.0;6.0;1.0;2.0;8.0;90.0;94.0;4.0;2.0;88.0;9.0;2.0;72.0;5.0;23.0;14.0;19.0;66.0;;;;;;10.0;42.0;41.0;5.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Total personal characteristics;2011;;;;;;;70.0;10.0;14.0;7.0;;;;;;92.0;6.0;1.0;2.0;7.0;90.0;94.0;4.0;2.0;88.0;9.0;3.0;72.0;6.0;23.0;15.0;21.0;64.0;;;;;;9.0;43.0;41.0;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Men;1997;78.0;11.0;6.0;3.0;2.0;4.0;66.0;11.0;14.0;8.0;77.0;11.0;7.0;3.0;3.0;92.0;7.0;1.0;3.0;7.0;90.0;93.0;5.0;2.0;85.0;12.0;3.0;71.0;5.0;25.0;22.0;18.0;60.0;;;;;;12.0;35.0;45.0;6.0;2.0;21.0;69.0;8.0;2.0;0.0;8.0;32.0;47.0;9.0;3.0;;;;;;60.0;47.0;5.0;4.0;8.0;16.0;7.0;4.0;9.0;6.0;2.0;7.0;28.0;;;;;;;;;;;;;;;;;;;;;42.0;31.0;;13.0;7.0;7.0;13.0;5.0;5.0;10.0;68.0
16;Men;1998;78.0;11.0;6.0;3.0;2.0;;67.0;11.0;15.0;8.0;77.0;10.0;7.0;3.0;2.0;92.0;7.0;1.0;2.0;8.0;90.0;93.0;5.0;2.0;86.0;11.0;3.0;67.0;6.0;27.0;23.0;17.0;61.0;;;;;;11.0;35.0;45.0;7.0;2.0;21.0;69.0;7.0;2.0;0.0;10.0;34.0;46.0;8.0;3.0;9.0;8.0;8.0;7.0;7.0;60.0;45.0;4.0;5.0;2.0;18.0;7.0;6.0;7.0;5.0;2.0;7.0;30.0;;;;;;;;;;;;;;;;;;;;;43.0;30.0;;13.0;7.0;8.0;12.0;5.0;5.0;9.0;69.0
17;Men;1999;78.0;11.0;6.0;3.0;2.0;;67.0;11.0;15.0;7.0;77.0;11.0;7.0;3.0;2.0;92.0;6.0;2.0;2.0;7.0;91.0;93.0;5.0;3.0;85.0;12.0;3.0;69.0;6.0;25.0;22.0;19.0;59.0;;;;;;12.0;35.0;45.0;7.0;2.0;21.0;69.0;8.0;2.0;0.0;9.0;33.0;46.0;9.0;3.0;9.0;8.0;8.0;7.0;7.0;59.0;45.0;4.0;4.0;4.0;18.0;6.0;5.0;8.0;6.0;2.0;7.0;30.0;61.0;32.0;5.0;1.0;2.0;14.0;45.0;4.0;37.0;;16.0;52.0;16.0;15.0;;13.0;63.0;13.0;11.0;;44.0;30.0;;12.0;7.0;8.0;12.0;5.0;5.0;9.0;70.0
18;Men;2000;78.0;10.0;6.0;3.0;2.0;;65.0;11.0;15.0;9.0;77.0;11.0;7.0;3.0;2.0;93.0;6.0;1.0;2.0;9.0;89.0;93.0;5.0;3.0;86.0;11.0;3.0;69.0;7.0;24.0;22.0;20.0;57.0;;;;;;11.0;36.0;43.0;8.0;2.0;21.0;69.0;7.0;2.0;0.0;9.0;34.0;46.0;8.0;3.0;9.0;8.0;8.0;7.0;7.0;60.0;46.0;5.0;6.0;4.0;19.0;6.0;6.0;8.0;5.0;2.0;8.0;32.0;61.0;33.0;5.0;1.0;1.0;15.0;50.0;4.0;32.0;;29.0;46.0;8.0;16.0;;11.0;67.0;12.0;9.0;;44.0;30.0;;12.0;6.0;8.0;11.0;4.0;5.0;9.0;70.0
19;Men;2001;81.0;9.0;5.0;3.0;2.0;4.0;68.0;9.0;15.0;8.0;78.0;11.0;6.0;3.0;2.0;92.0;6.0;1.0;3.0;7.0;90.0;93.0;5.0;2.0;87.0;11.0;3.0;70.0;7.0;23.0;21.0;19.0;60.0;94.0;21.0;2.0;19.0;3.0;11.0;37.0;43.0;7.0;2.0;21.0;70.0;7.0;2.0;0.0;9.0;34.0;47.0;7.0;3.0;9.0;8.0;8.0;7.0;7.0;58.0;44.0;5.0;5.0;4.0;17.0;5.0;5.0;9.0;4.0;2.0;7.0;31.0;58.0;34.0;6.0;1.0;1.0;15.0;48.0;4.0;32.0;;13.0;54.0;17.0;16.0;;13.0;67.0;12.0;9.0;;44.0;29.0;;13.0;6.0;9.0;12.0;4.0;4.0;10.0;70.0
20;Men;2002;81.0;9.0;5.0;2.0;2.0;;68.0;11.0;13.0;7.0;78.0;11.0;6.0;2.0;2.0;93.0;6.0;1.0;3.0;7.0;90.0;93.0;4.0;2.0;86.0;11.0;3.0;70.0;7.0;23.0;21.0;19.0;60.0;;;;;;12.0;37.0;43.0;6.0;2.0;21.0;68.0;8.0;2.0;0.0;8.0;35.0;44.0;8.0;4.0;9.0;8.0;8.0;7.0;7.0;59.0;43.0;5.0;5.0;5.0;17.0;5.0;5.0;8.0;4.0;2.0;8.0;32.0;63.0;31.0;4.0;2.0;1.0;13.0;46.0;5.0;10.0;26.0;12.0;52.0;15.0;3.0;17.0;14.0;68.0;10.0;4.0;4.0;44.0;29.0;;12.0;7.0;9.0;11.0;4.0;5.0;9.0;71.0
21;Men;2003;81.0;10.0;5.0;3.0;2.0;4.0;71.0;11.0;13.0;6.0;79.0;10.0;6.0;3.0;2.0;92.0;6.0;2.0;2.0;8.0;90.0;93.0;5.0;2.0;85.0;12.0;3.0;70.0;6.0;24.0;19.0;21.0;59.0;97.0;19.0;2.0;17.0;4.0;12.0;36.0;42.0;7.0;2.0;21.0;68.0;8.0;3.0;1.0;9.0;34.0;45.0;8.0;3.0;9.0;8.0;8.0;7.0;6.0;59.0;43.0;5.0;5.0;3.0;18.0;6.0;5.0;7.0;4.0;2.0;7.0;33.0;58.0;35.0;5.0;1.0;1.0;12.0;43.0;4.0;10.0;30.0;13.0;49.0;17.0;4.0;18.0;13.0;67.0;11.0;5.0;4.0;44.0;29.0;;13.0;6.0;8.0;11.0;4.0;4.0;8.0;73.0
22;Men;2004;82.0;9.0;5.0;2.0;2.0;;71.0;10.0;13.0;6.0;79.0;10.0;6.0;3.0;2.0;93.0;5.0;2.0;3.0;7.0;90.0;94.0;4.0;2.0;86.0;11.0;3.0;72.0;6.0;23.0;21.0;18.0;60.0;;;;;;12.0;36.0;44.0;6.0;2.0;20.0;69.0;8.0;2.0;1.0;8.0;33.0;48.0;8.0;4.0;9.0;8.0;7.0;7.0;6.0;59.0;43.0;4.0;4.0;4.0;17.0;6.0;5.0;7.0;3.0;1.0;7.0;33.0;63.0;31.0;4.0;1.0;1.0;14.0;40.0;4.0;9.0;33.0;15.0;48.0;16.0;3.0;18.0;14.0;69.0;10.0;4.0;4.0;45.0;29.0;2.0;10.0;5.0;9.0;10.0;4.0;4.0;8.0;74.0
23;Men;2005;83.0;9.0;5.0;2.0;2.0;;72.0;10.0;13.0;6.0;80.0;10.0;6.0;2.0;2.0;93.0;6.0;2.0;3.0;7.0;91.0;93.0;5.0;2.0;86.0;10.0;3.0;72.0;5.0;23.0;20.0;20.0;60.0;;;;;;10.0;37.0;45.0;5.0;3.0;21.0;68.0;8.0;3.0;1.0;8.0;31.0;48.0;8.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.0;28.0;5.0;9.0;4.0;10.0;11.0;4.0;4.0;9.0;72.0
24;Men;2006;83.0;9.0;4.0;2.0;2.0;;71.0;10.0;15.0;5.0;80.0;9.0;6.0;3.0;2.0;94.0;5.0;2.0;3.0;4.0;93.0;94.0;4.0;2.0;89.0;8.0;3.0;71.0;5.0;24.0;20.0;19.0;60.0;;;;;;7.0;42.0;45.0;4.0;2.0;20.0;70.0;7.0;2.0;0.0;7.0;34.0;46.0;8.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.0;29.0;5.0;8.0;4.0;9.0;11.0;3.0;4.0;8.0;73.0
25;Men;2007;83.0;7.0;5.0;2.0;2.0;;69.0;11.0;14.0;6.0;80.0;9.0;6.0;3.0;3.0;92.0;6.0;2.0;3.0;4.0;93.0;94.0;4.0;2.0;89.0;7.0;3.0;71.0;5.0;24.0;20.0;20.0;60.0;;;;;;7.0;44.0;43.0;4.0;2.0;22.0;68.0;7.0;2.0;1.0;8.0;35.0;46.0;8.0;3.0;;;;;;56.0;46.0;5.0;6.0;4.0;17.0;6.0;5.0;9.0;3.0;2.0;14.0;24.0;68.0;27.0;4.0;0.0;1.0;;;;;;;;;;;;;;;;46.0;27.0;5.0;8.0;4.0;10.0;11.0;4.0;3.0;7.0;75.0
26;Men;2008;83.0;8.0;5.0;2.0;2.0;;67.0;12.0;15.0;6.0;78.0;10.0;7.0;3.0;3.0;93.0;5.0;1.0;4.0;4.0;93.0;94.0;4.0;2.0;89.0;7.0;3.0;73.0;5.0;23.0;19.0;21.0;60.0;;;;;;8.0;43.0;43.0;4.0;2.0;23.0;67.0;8.0;2.0;1.0;9.0;35.0;45.0;7.0;4.0;;;;;;56.0;43.0;4.0;4.0;4.0;17.0;5.0;5.0;8.0;2.0;2.0;12.0;27.0;70.0;27.0;3.0;0.0;0.0;;;;;;;;;;;;;;;;45.0;28.0;5.0;8.0;3.0;11.0;10.0;4.0;4.0;8.0;75.0
27;Men;2009;82.0;9.0;5.0;3.0;2.0;;70.0;9.0;15.0;7.0;80.0;10.0;5.0;3.0;2.0;92.0;7.0;2.0;3.0;6.0;91.0;93.0;5.0;2.0;87.0;10.0;2.0;71.0;5.0;23.0;18.0;21.0;61.0;;;;;;8.0;39.0;46.0;4.0;3.0;25.0;66.0;6.0;2.0;1.0;11.0;35.0;42.0;7.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.0;26.0;6.0;7.0;3.0;10.0;9.0;4.0;3.0;9.0;74.0
28;Men;2010;;;;;;;69.0;11.0;15.0;5.0;;;;;;92.0;7.0;2.0;3.0;5.0;92.0;94.0;4.0;2.0;87.0;10.0;2.0;69.0;5.0;26.0;18.0;19.0;63.0;;;;;;9.0;42.0;43.0;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Men;2011;;;;;;;69.0;10.0;15.0;7.0;;;;;;92.0;6.0;2.0;3.0;5.0;92.0;93.0;5.0;2.0;87.0;10.0;3.0;71.0;5.0;23.0;19.0;21.0;60.0;;;;;;7.0;44.0;43.0;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Women;1997;86.0;7.0;3.0;2.0;1.0;5.0;68.0;11.0;14.0;7.0;78.0;11.0;6.0;3.0;3.0;92.0;6.0;2.0;3.0;10.0;87.0;94.0;4.0;2.0;89.0;8.0;3.0;71.0;6.0;23.0;17.0;16.0;67.0;;;;;;12.0;35.0;43.0;8.0;2.0;21.0;67.0;9.0;3.0;0.0;8.0;32.0;46.0;10.0;4.0;;;;;;59.0;44.0;4.0;13.0;7.0;8.0;3.0;5.0;10.0;2.0;1.0;8.0;33.0;;;;;;;;;;;;;;;;;;;;;37.0;32.0;;15.0;8.0;8.0;15.0;6.0;5.0;11.0;63.0
31;Women;1998;86.0;7.0;4.0;2.0;1.0;;66.0;9.0;16.0;8.0;79.0;11.0;6.0;2.0;2.0;93.0;6.0;2.0;3.0;9.0;88.0;95.0;3.0;2.0;90.0;8.0;2.0;70.0;5.0;25.0;17.0;15.0;69.0;;;;;;12.0;38.0;42.0;7.0;2.0;22.0;67.0;9.0;3.0;1.0;10.0;33.0;45.0;9.0;3.0;9.0;8.0;8.0;7.0;7.0;58.0;43.0;4.0;13.0;8.0;10.0;4.0;4.0;10.0;2.0;1.0;8.0;32.0;;;;;;;;;;;;;;;;;;;;;38.0;32.0;;15.0;7.0;8.0;14.0;6.0;6.0;10.0;64.0
32;Women;1999;87.0;7.0;3.0;2.0;1.0;;66.0;11.0;16.0;7.0;79.0;10.0;6.0;2.0;2.0;92.0;6.0;2.0;3.0;10.0;87.0;95.0;4.0;2.0;89.0;8.0;2.0;72.0;5.0;23.0;16.0;15.0;69.0;;;;;;12.0;39.0;39.0;8.0;2.0;21.0;67.0;9.0;3.0;0.0;9.0;32.0;47.0;9.0;4.0;9.0;8.0;8.0;7.0;7.0;61.0;45.0;4.0;14.0;11.0;10.0;4.0;5.0;8.0;2.0;1.0;7.0;35.0;61.0;32.0;5.0;1.0;2.0;16.0;45.0;3.0;36.0;;18.0;46.0;8.0;27.0;;7.0;56.0;32.0;6.0;;39.0;32.0;;14.0;7.0;8.0;13.0;6.0;6.0;10.0;65.0
33;Women;2000;88.0;6.0;3.0;2.0;1.0;;67.0;11.0;14.0;8.0;80.0;10.0;5.0;2.0;2.0;95.0;4.0;1.0;3.0;11.0;87.0;96.0;2.0;1.0;91.0;6.0;2.0;73.0;6.0;22.0;15.0;17.0;68.0;;;;;;13.0;38.0;40.0;6.0;2.0;21.0;67.0;9.0;2.0;0.0;9.0;33.0;46.0;9.0;3.0;9.0;8.0;8.0;7.0;7.0;61.0;44.0;3.0;13.0;10.0;10.0;4.0;4.0;10.0;2.0;1.0;6.0;37.0;59.0;33.0;6.0;1.0;1.0;16.0;47.0;4.0;34.0;;29.0;46.0;6.0;20.0;;7.0;57.0;30.0;6.0;;38.0;32.0;;14.0;7.0;8.0;13.0;6.0;6.0;10.0;65.0
34;Women;2001;88.0;6.0;3.0;2.0;1.0;4.0;67.0;11.0;15.0;7.0;81.0;10.0;5.0;2.0;2.0;92.0;7.0;1.0;2.0;10.0;88.0;95.0;3.0;2.0;90.0;8.0;2.0;72.0;6.0;22.0;15.0;18.0;67.0;95.0;15.0;2.0;14.0;5.0;13.0;37.0;41.0;6.0;2.0;21.0;68.0;9.0;3.0;0.0;8.0;34.0;46.0;9.0;3.0;9.0;8.0;8.0;7.0;7.0;59.0;43.0;4.0;13.0;12.0;10.0;4.0;4.0;9.0;1.0;0.0;6.0;35.0;62.0;31.0;5.0;1.0;0.0;17.0;46.0;4.0;34.0;;15.0;50.0;10.0;25.0;;7.0;58.0;30.0;5.0;;38.0;32.0;;14.0;7.0;9.0;12.0;6.0;5.0;11.0;66.0
