ID;Geslacht;Kenmerken;Perioden;TotaalBaanvinders_1;k_1JaarGeledenGewerkt_2;VoorhScholierStudentSchoolverlater_3;VoorheenWerkzaam_4;VoorheenArbeidsongeschikt_5;Herintreder_6;OverigeBaanvinders_7;Baanwisselaars_8;TotaalOnbenutArbeidsaanbod_9;k_1JaarGeledenGewerkt_10;VoorhScholierStudentSchoolverlater_11;VoorheenWerkzaam_12;VoorheenArbeidsongeschikt_13;Herintreder_14;OverigOnbenutArbeidsaanbod_15
89;Mannen en vrouwen;21590;2012;160.0;53.0;35.0;40.0;5.0;3.0;23.0;46.0;221.0;39.0;30.0;73.0;34.0;16.0;29.0
90;Mannen en vrouwen;21590;2013;159.0;50.0;42.0;39.0;3.0;2.0;22.0;43.0;260.0;46.0;36.0;90.0;34.0;18.0;36.0
91;Mannen en vrouwen;21600;2001;;;;;;;;;;;;;;;
92;Mannen en vrouwen;21600;2002;;;;;;;;;;;;;;;
93;Mannen en vrouwen;21600;2003;24.0;11.0;2.0;3.0;;5.0;3.0;10.0;45.0;6.0;3.0;8.0;6.0;16.0;6.0
94;Mannen en vrouwen;21600;2004;20.0;8.0;;4.0;;4.0;3.0;7.0;55.0;6.0;4.0;12.0;7.0;18.0;8.0
95;Mannen en vrouwen;21600;2005;23.0;8.0;;6.0;;4.0;4.0;7.0;62.0;8.0;4.0;13.0;7.0;19.0;10.0
96;Mannen en vrouwen;21600;2006;27.0;9.0;2.0;6.0;;4.0;4.0;8.0;57.0;7.0;4.0;12.0;8.0;20.0;7.0
97;Mannen en vrouwen;21600;2007;34.0;12.0;2.0;8.0;;7.0;4.0;11.0;53.0;5.0;4.0;11.0;8.0;16.0;8.0
98;Mannen en vrouwen;21600;2008;39.0;16.0;2.0;8.0;2.0;8.0;4.0;14.0;43.0;6.0;4.0;8.0;6.0;14.0;5.0
99;Mannen en vrouwen;21600;2009;35.0;15.0;2.0;7.0;2.0;6.0;3.0;14.0;48.0;9.0;3.0;10.0;6.0;13.0;6.0
100;Mannen en vrouwen;21600;2010;29.0;12.0;;6.0;;5.0;4.0;10.0;52.0;10.0;3.0;14.0;5.0;12.0;7.0
101;Mannen en vrouwen;21600;2011;28.0;11.0;;10.0;;3.0;3.0;10.0;50.0;7.0;3.0;13.0;6.0;14.0;7.0
102;Mannen en vrouwen;21600;2012;25.0;9.0;;7.0;;3.0;4.0;8.0;58.0;9.0;3.0;16.0;8.0;16.0;7.0
103;Mannen en vrouwen;21600;2013;26.0;10.0;;7.0;;3.0;4.0;8.0;75.0;12.0;5.0;24.0;10.0;15.0;9.0
104;Mannen en vrouwen;21610;2001;;;;;;;;;;;;;;;
105;Mannen en vrouwen;21610;2002;;;;;;;;;;;;;;;
106;Mannen en vrouwen;21610;2003;279.0;160.0;9.0;51.0;6.0;30.0;23.0;153.0;265.0;59.0;15.0;47.0;20.0;85.0;39.0
107;Mannen en vrouwen;21610;2004;236.0;131.0;8.0;47.0;5.0;25.0;20.0;121.0;302.0;56.0;16.0;64.0;27.0;97.0;43.0
108;Mannen en vrouwen;21610;2005;235.0;126.0;8.0;51.0;5.0;19.0;25.0;115.0;320.0;54.0;18.0;66.0;26.0;92.0;63.0
109;Mannen en vrouwen;21610;2006;280.0;153.0;9.0;56.0;6.0;28.0;28.0;141.0;287.0;43.0;16.0;66.0;25.0;95.0;42.0
110;Mannen en vrouwen;21610;2007;331.0;183.0;12.0;63.0;8.0;33.0;32.0;173.0;244.0;32.0;13.0;50.0;23.0;87.0;40.0
111;Mannen en vrouwen;21610;2008;347.0;207.0;13.0;56.0;7.0;36.0;29.0;196.0;211.0;32.0;12.0;40.0;18.0;78.0;32.0
112;Mannen en vrouwen;21610;2009;289.0;174.0;10.0;51.0;5.0;27.0;22.0;166.0;232.0;53.0;12.0;48.0;18.0;72.0;30.0
113;Mannen en vrouwen;21610;2010;254.0;137.0;7.0;57.0;4.0;24.0;25.0;123.0;258.0;62.0;13.0;57.0;17.0;77.0;32.0
114;Mannen en vrouwen;21610;2011;256.0;129.0;8.0;69.0;4.0;22.0;25.0;115.0;244.0;52.0;13.0;62.0;20.0;70.0;28.0
115;Mannen en vrouwen;21610;2012;240.0;120.0;6.0;64.0;4.0;20.0;26.0;110.0;273.0;61.0;14.0;72.0;20.0;73.0;34.0
116;Mannen en vrouwen;21610;2013;210.0;100.0;6.0;59.0;4.0;15.0;26.0;87.0;341.0;83.0;16.0;90.0;24.0;86.0;43.0
117;Mannen en vrouwen;118;2001;;;;;;;;;;;;;;;
118;Mannen en vrouwen;118;2002;;;;;;;;;;;;;;;
119;Mannen en vrouwen;118;2003;141.0;87.0;7.0;24.0;2.0;10.0;11.0;84.0;112.0;28.0;12.0;22.0;7.0;27.0;16.0
120;Mannen en vrouwen;118;2004;125.0;72.0;7.0;25.0;2.0;10.0;9.0;67.0;125.0;27.0;12.0;28.0;10.0;30.0;18.0
121;Mannen en vrouwen;118;2005;120.0;64.0;7.0;28.0;2.0;7.0;13.0;59.0;131.0;26.0;14.0;27.0;10.0;26.0;27.0
122;Mannen en vrouwen;118;2006;147.0;84.0;8.0;29.0;2.0;12.0;13.0;79.0;112.0;20.0;13.0;27.0;8.0;28.0;17.0
123;Mannen en vrouwen;118;2007;166.0;98.0;10.0;32.0;2.0;11.0;13.0;93.0;90.0;15.0;10.0;19.0;7.0;23.0;15.0
124;Mannen en vrouwen;118;2008;172.0;107.0;11.0;28.0;2.0;11.0;13.0;102.0;73.0;14.0;10.0;13.0;5.0;19.0;11.0
125;Mannen en vrouwen;118;2009;142.0;88.0;9.0;25.0;2.0;9.0;9.0;85.0;85.0;24.0;9.0;17.0;5.0;19.0;11.0
126;Mannen en vrouwen;118;2010;124.0;69.0;6.0;26.0;;10.0;12.0;63.0;94.0;26.0;11.0;21.0;5.0;20.0;11.0
127;Mannen en vrouwen;118;2011;126.0;64.0;7.0;34.0;;8.0;12.0;57.0;89.0;22.0;11.0;22.0;5.0;20.0;10.0
128;Mannen en vrouwen;118;2012;118.0;61.0;5.0;32.0;;5.0;12.0;57.0;101.0;26.0;11.0;27.0;6.0;18.0;12.0
129;Mannen en vrouwen;118;2013;104.0;53.0;5.0;25.0;2.0;7.0;12.0;46.0;124.0;35.0;13.0;34.0;6.0;21.0;14.0
130;Mannen en vrouwen;119;2001;;;;;;;;;;;;;;;
131;Mannen en vrouwen;119;2002;;;;;;;;;;;;;;;
132;Mannen en vrouwen;119;2003;65.0;35.0;2.0;12.0;;9.0;6.0;33.0;70.0;14.0;3.0;11.0;6.0;27.0;9.0
133;Mannen en vrouwen;119;2004;50.0;26.0;;10.0;;7.0;5.0;24.0;75.0;11.0;3.0;15.0;6.0;30.0;11.0
134;Mannen en vrouwen;119;2005;54.0;29.0;2.0;11.0;;6.0;6.0;27.0;79.0;11.0;4.0;14.0;6.0;29.0;15.0
135;Mannen en vrouwen;119;2006;62.0;33.0;;11.0;2.0;8.0;6.0;31.0;73.0;9.0;2.0;13.0;7.0;32.0;10.0
136;Mannen en vrouwen;119;2007;76.0;39.0;2.0;13.0;3.0;11.0;8.0;37.0;65.0;6.0;2.0;11.0;7.0;29.0;10.0
137;Mannen en vrouwen;119;2008;83.0;49.0;2.0;11.0;2.0;12.0;7.0;46.0;58.0;7.0;2.0;11.0;5.0;26.0;8.0
138;Mannen en vrouwen;119;2009;70.0;42.0;;11.0;;10.0;5.0;40.0;62.0;13.0;3.0;10.0;4.0;24.0;8.0
139;Mannen en vrouwen;119;2010;62.0;31.0;;15.0;;8.0;7.0;28.0;68.0;15.0;2.0;13.0;4.0;26.0;8.0
140;Mannen en vrouwen;119;2011;60.0;30.0;;16.0;;7.0;6.0;27.0;64.0;11.0;2.0;16.0;6.0;21.0;7.0
141;Mannen en vrouwen;119;2012;57.0;28.0;;13.0;;8.0;6.0;25.0;65.0;13.0;2.0;15.0;5.0;23.0;8.0
142;Mannen en vrouwen;119;2013;47.0;21.0;;14.0;;4.0;6.0;19.0;81.0;18.0;2.0;18.0;6.0;25.0;11.0
143;Mannen en vrouwen;120;2001;;;;;;;;;;;;;;;
144;Mannen en vrouwen;120;2002;;;;;;;;;;;;;;;
145;Mannen en vrouwen;120;2003;47.0;24.0;;9.0;2.0;7.0;4.0;23.0;49.0;10.0;;8.0;3.0;19.0;9.0
146;Mannen en vrouwen;120;2004;36.0;19.0;;7.0;;5.0;4.0;18.0;59.0;11.0;;10.0;6.0;22.0;9.0
147;Mannen en vrouwen;120;2005;35.0;19.0;;7.0;;4.0;4.0;17.0;62.0;10.0;;12.0;6.0;22.0;13.0
148;Mannen en vrouwen;120;2006;46.0;23.0;;10.0;;6.0;5.0;21.0;59.0;8.0;;13.0;5.0;23.0;9.0
149;Mannen en vrouwen;120;2007;57.0;30.0;;11.0;;8.0;8.0;27.0;51.0;6.0;;10.0;6.0;21.0;8.0
150;Mannen en vrouwen;120;2008;59.0;33.0;;10.0;;9.0;6.0;31.0;45.0;6.0;;8.0;4.0;20.0;7.0
151;Mannen en vrouwen;120;2009;49.0;28.0;;9.0;2.0;5.0;5.0;27.0;46.0;9.0;;10.0;5.0;16.0;6.0
152;Mannen en vrouwen;120;2010;41.0;22.0;;9.0;;4.0;4.0;20.0;52.0;11.0;;12.0;4.0;19.0;7.0
153;Mannen en vrouwen;120;2011;43.0;21.0;;11.0;;5.0;5.0;18.0;50.0;10.0;;12.0;4.0;17.0;6.0
154;Mannen en vrouwen;120;2012;38.0;18.0;;10.0;;5.0;4.0;17.0;57.0;12.0;;13.0;5.0;18.0;8.0
155;Mannen en vrouwen;120;2013;36.0;15.0;;12.0;;3.0;5.0;13.0;73.0;15.0;;19.0;6.0;23.0;9.0
156;Mannen en vrouwen;121;2001;;;;;;;;;;;;;;;
157;Mannen en vrouwen;121;2002;;;;;;;;;;;;;;;
158;Mannen en vrouwen;121;2003;26.0;14.0;;5.0;;3.0;2.0;12.0;34.0;8.0;;6.0;3.0;12.0;4.0
159;Mannen en vrouwen;121;2004;24.0;13.0;;5.0;;3.0;2.0;12.0;44.0;8.0;;11.0;5.0;14.0;5.0
160;Mannen en vrouwen;121;2005;25.0;14.0;;5.0;;2.0;3.0;13.0;47.0;7.0;;12.0;4.0;15.0;8.0
161;Mannen en vrouwen;121;2006;25.0;12.0;;6.0;;3.0;3.0;11.0;43.0;7.0;;12.0;5.0;13.0;6.0
162;Mannen en vrouwen;121;2007;32.0;16.0;;7.0;;3.0;4.0;15.0;38.0;5.0;;9.0;4.0;13.0;7.0
163;Mannen en vrouwen;121;2008;33.0;18.0;;6.0;;4.0;4.0;17.0;36.0;5.0;;9.0;4.0;12.0;6.0
164;Mannen en vrouwen;121;2009;28.0;16.0;;6.0;;2.0;2.0;15.0;39.0;8.0;;11.0;4.0;12.0;4.0
165;Mannen en vrouwen;121;2010;27.0;15.0;;7.0;;2.0;2.0;12.0;44.0;11.0;;11.0;4.0;12.0;6.0
166;Mannen en vrouwen;121;2011;27.0;14.0;;8.0;;2.0;3.0;13.0;42.0;9.0;;11.0;5.0;11.0;5.0
167;Mannen en vrouwen;121;2012;27.0;12.0;;8.0;;2.0;3.0;11.0;50.0;10.0;;16.0;4.0;14.0;7.0
168;Mannen en vrouwen;121;2013;23.0;10.0;;7.0;;2.0;3.0;9.0;64.0;14.0;;19.0;5.0;17.0;8.0
169;Mannen en vrouwen;21620;2001;;;;;;;;;;;;;;;
170;Mannen en vrouwen;21620;2002;;;;;;;;;;;;;;;
171;Mannen en vrouwen;21620;2003;211.0;110.0;36.0;36.0;3.0;5.0;20.0;103.0;130.0;38.0;14.0;29.0;12.0;13.0;24.0
172;Mannen en vrouwen;21620;2004;193.0;101.0;29.0;34.0;3.0;4.0;23.0;92.0;144.0;38.0;16.0;38.0;12.0;13.0;27.0
173;Mannen en vrouwen;21620;2005;193.0;96.0;29.0;39.0;2.0;4.0;23.0;90.0;150.0;38.0;16.0;42.0;11.0;13.0;30.0
174;Mannen en vrouwen;21620;2006;227.0;116.0;34.0;43.0;2.0;4.0;27.0;109.0;144.0;30.0;13.0;44.0;14.0;14.0;29.0
175;Mannen en vrouwen;21620;2007;261.0;140.0;39.0;45.0;3.0;6.0;27.0;133.0;131.0;22.0;12.0;42.0;14.0;13.0;28.0
176;Mannen en vrouwen;21620;2008;280.0;147.0;43.0;47.0;3.0;7.0;33.0;140.0;117.0;23.0;12.0;32.0;13.0;12.0;24.0
177;Mannen en vrouwen;21620;2009;233.0;124.0;35.0;40.0;3.0;4.0;26.0;118.0;138.0;38.0;14.0;36.0;13.0;12.0;24.0
178;Mannen en vrouwen;21620;2010;216.0;106.0;35.0;43.0;2.0;4.0;25.0;97.0;151.0;45.0;14.0;40.0;14.0;14.0;24.0
179;Mannen en vrouwen;21620;2011;220.0;98.0;40.0;52.0;2.0;4.0;24.0;88.0;154.0;35.0;17.0;48.0;14.0;14.0;24.0
180;Mannen en vrouwen;21620;2012;204.0;87.0;37.0;52.0;3.0;4.0;21.0;78.0;168.0;44.0;15.0;56.0;12.0;15.0;25.0
181;Mannen en vrouwen;21620;2013;190.0;77.0;40.0;45.0;2.0;3.0;22.0;67.0;219.0;55.0;24.0;71.0;19.0;20.0;30.0
182;Mannen en vrouwen;21640;2001;;;;;;;;;;;;;;;
183;Mannen en vrouwen;21640;2002;;;;;;;;;;;;;;;
184;Mannen en vrouwen;21640;2003;47.0;;47.0;;;;;;42.0;;42.0;;;;
185;Mannen en vrouwen;21640;2004;41.0;;40.0;;;;;;46.0;;46.0;;;;
186;Mannen en vrouwen;21640;2005;40.0;;39.0;;;;;;45.0;;45.0;;;;
187;Mannen en vrouwen;21640;2006;41.0;;41.0;;;;;;44.0;;44.0;;;;
188;Mannen en vrouwen;21640;2007;50.0;;50.0;;;;;;45.0;;44.0;;;;
189;Mannen en vrouwen;21640;2008;56.0;;55.0;;;;;;40.0;;40.0;;;;
190;Mannen en vrouwen;21640;2009;43.0;;43.0;;;;;;44.0;;43.0;;;;
191;Mannen en vrouwen;21640;2010;39.0;;39.0;;;;;;44.0;;44.0;;;;
192;Mannen en vrouwen;21640;2011;38.0;;38.0;;;;;;38.0;;37.0;;;;
193;Mannen en vrouwen;21640;2012;36.0;;36.0;;;;;;40.0;;40.0;;;;
194;Mannen en vrouwen;21640;2013;33.0;;33.0;;;;;;51.0;;51.0;;;;
195;Mannen en vrouwen;21630;2001;;;;;;;;;;;;;;;
196;Mannen en vrouwen;21630;2002;;;;;;;;;;;;;;;
197;Mannen en vrouwen;21630;2003;205.0;61.0;106.0;17.0;;;19.0;52.0;93.0;18.0;53.0;8.0;;;12.0
198;Mannen en vrouwen;21630;2004;195.0;50.0;102.0;18.0;;;23.0;44.0;120.0;19.0;68.0;13.0;2.0;;17.0
199;Mannen en vrouwen;21630;2005;205.0;51.0;103.0;22.0;;;27.0;45.0;118.0;16.0;68.0;12.0;2.0;;19.0
200;Mannen en vrouwen;21630;2006;216.0;56.0;110.0;22.0;;;28.0;50.0;107.0;13.0;64.0;10.0;;;18.0
201;Mannen en vrouwen;21630;2007;234.0;58.0;132.0;17.0;;;25.0;52.0;94.0;11.0;62.0;7.0;;;13.0
202;Mannen en vrouwen;21630;2008;240.0;65.0;130.0;18.0;;;27.0;57.0;94.0;12.0;58.0;9.0;2.0;;13.0
