ID;RegioS;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;GeldigeStemmen_4;AVD_5;CDA_6;CU_7;D66_8;Conserv_9;DN_10;GL_11;LN_12;LPF_13;Veldhoen_14;NCPN_15;PvdA_16;PvdT_17;PvdD_18;Ratelband_19;SGP_20;SP_21;VIP_22;VVD_23;AVD_24;CDA_25;CU_26;D66_27;Conserv_28;DN_29;GL_30;LN_31;LPF_32;Veldhoen_33;NCPN_34;PvdA_35;PvdT_36;PvdD_37;Ratelband_38;SGP_39;SP_40;VIP_41;VVD_42;LandsdeelCode_43;ProvincieCode_44;KamerkieskringCode_45;CoropCode_46;GemeenteCode_47
21;Amsterdam;524362;71.8;376563;374775;59.0;36352;2670;26439;138.0;1012.0;41289;1146;21658;;460;143188;553;3211.0;490;237;37127;218.0;58528;0.0;9.7;0.7;7.1;0.0;0.3;11.0;0.3;5.8;;0.1;38.2;0.1;0.9;0.1;0.1;9.9;0.1;15.6;3;27;10;23;0363
22;Andijk;4712;84.4;3976;3975;1.0;1456;193;107;;0.0;158;20;267;;1;753;6;21.0;3;45;236;;708;0.0;36.6;4.9;2.7;;0.0;4.0;0.5;6.7;;0.0;18.9;0.2;0.5;0.1;1.1;5.9;;17.8;3;27;00;18;0364
23;Angerlo;3783;86.7;3280;3271;0.0;1196;6;106;0.0;0.0;113;16;131;;0;885;8;12.0;2;1;181;;614;0.0;36.6;0.2;3.2;0.0;0.0;3.5;0.5;4.0;;0.0;27.1;0.2;0.4;0.1;0.0;5.5;;18.8;2;25;00;15;0199
24;Anna Paulowna;10332;83.0;8575;8571;1.0;2657;88;265;;3.0;270;61;548;;2;1901;14;54.0;5;8;356;;2338;0.0;31.0;1.0;3.1;;0.0;3.2;0.7;6.4;;0.0;22.2;0.2;0.6;0.1;0.1;4.2;;27.3;3;27;00;18;0366
25;Apeldoorn;118653;80.9;96048;95988;8.0;27009;2417;3800;28.0;30.0;4664;413;4191;;31;27715;111;477.0;57;2303;4810;;17924;0.0;28.1;2.5;4.0;0.0;0.0;4.9;0.4;4.4;;0.0;28.9;0.1;0.5;0.1;2.4;5.0;;18.7;2;25;05;13;0200
26;Appingedam;9797;78.6;7701;7699;0.0;1664;212;237;;2.0;254;28;307;;18;3624;10;38.0;1;13;457;;834;0.0;21.6;2.8;3.1;;0.0;3.3;0.4;4.0;;0.2;47.1;0.1;0.5;0.0;0.2;5.9;;10.8;1;20;00;02;0003
27;Arcen en Velden;6636;82.7;5485;5483;;2795;8;138;1.0;0.0;177;24;236;;1;1026;3;21.0;2;0;254;;797;;51.0;0.1;2.5;0.0;0.0;3.2;0.4;4.3;;0.0;18.7;0.1;0.4;0.0;0.0;4.6;;14.5;4;31;00;37;0885
28;Arnhem;106866;75.0;80111;79845;21.0;15041;1079;4054;30.0;145.0;6965;239;3541;;34;27503;111;520.0;203;86;7646;;12627;0.0;18.8;1.4;5.1;0.0;0.2;8.7;0.3;4.4;;0.0;34.4;0.1;0.7;0.3;0.1;9.6;;15.8;2;25;06;15;0202
29;Assen;45672;82.5;37684;37656;;7446;2442;1417;17.0;37.0;2115;104;1297;;13;14440;32;154.0;31;101;2380;;5630;;19.8;6.5;3.8;0.0;0.1;5.6;0.3;3.4;;0.0;38.3;0.1;0.4;0.1;0.3;6.3;;15.0;1;22;00;07;0106
30;Asten;11994;85.0;10192;10166;0.0;4772;22;280;1.0;1.0;340;49;524;;2;1851;32;37.0;8;5;668;1.0;1573;0.0;46.9;0.2;2.8;0.0;0.0;3.3;0.5;5.2;;0.0;18.2;0.3;0.4;0.1;0.0;6.6;0.0;15.5;4;30;00;36;0743
31;Baarle-Nassau;4951;79.9;3954;3953;1.0;1877;8;76;1.0;1.0;110;16;210;;1;704;9;22.0;4;3;214;0.0;696;0.0;47.5;0.2;1.9;0.0;0.0;2.8;0.4;5.3;;0.0;17.8;0.2;0.6;0.1;0.1;5.4;0.0;17.6;4;30;00;34;0744
32;Baarn;18341;84.0;15405;15385;4.0;4119;392;765;7.0;4.0;880;51;792;;5;3476;16;91.0;18;101;828;0.0;3836;0.0;26.8;2.5;5.0;0.0;0.0;5.7;0.3;5.1;;0.0;22.6;0.1;0.6;0.1;0.7;5.4;0.0;24.9;3;26;00;17;0308
33;Barendrecht;26246;85.2;22374;22353;0.0;6245;587;836;11.0;6.0;740;100;2207;4.0;8;4536;19;97.0;38;972;824;6.0;5117;0.0;27.9;2.6;3.7;0.0;0.0;3.3;0.4;9.9;0.0;0.0;20.3;0.1;0.4;0.2;4.3;3.7;0.0;22.9;3;28;14;29;0489
34;Barneveld;34352;88.9;30556;30545;2.0;13322;2110;460;5.0;12.0;539;78;1413;;4;2958;27;63.0;11;5126;654;;3761;0.0;43.6;6.9;1.5;0.0;0.0;1.8;0.3;4.6;;0.0;9.7;0.1;0.2;0.0;16.8;2.1;;12.3;2;25;00;13;0203
35;Bathmen;4095;91.1;3730;3725;;1214;7;148;0.0;;135;9;131;;1;997;13;;1;1;112;;956;;32.6;0.2;4.0;0.0;;3.6;0.2;3.5;;0.0;26.8;0.3;;0.0;0.0;3.0;;25.7;2;23;00;11;0144
36;Bedum;8090;89.0;7200;7197;2.0;2691;716;237;;0.0;301;17;172;;0;1951;4;23.0;2;45;361;;675;0.0;37.4;9.9;3.3;;0.0;4.2;0.2;2.4;;0.0;27.1;0.1;0.3;0.0;0.6;5.0;;9.4;1;20;00;03;0005
37;Beek;13111;80.8;10591;10582;;4366;33;318;1.0;2.0;449;54;537;;3;2539;20;52.0;11;6;570;;1621;;41.3;0.3;3.0;0.0;0.0;4.2;0.5;5.1;;0.0;24.0;0.2;0.5;0.1;0.1;5.4;;15.3;4;31;20;39;0888
38;Beemster;6453;87.0;5617;5602;0.0;1582;18;268;;0.0;237;24;332;;3;1311;4;36.0;3;2;250;;1532;0.0;28.2;0.3;4.8;;0.0;4.2;0.4;5.9;;0.1;23.4;0.1;0.6;0.1;0.0;4.5;;27.3;3;27;00;23;0370
39;Beesel;10141;74.4;7543;7536;;3031;21;197;4.0;0.0;282;33;472;;5;1877;10;61.0;4;3;398;;1138;;40.2;0.3;2.6;0.1;0.0;3.7;0.4;6.3;;0.1;24.9;0.1;0.8;0.1;0.0;5.3;;15.1;4;31;00;37;0889
40;Bellingwedde;7532;79.8;6013;6006;2.0;867;94;138;;0.0;257;23;345;;22;3047;7;45.0;4;12;347;;796;0.0;14.4;1.6;2.3;;0.0;4.3;0.4;5.7;;0.4;50.7;0.1;0.7;0.1;0.2;5.8;;13.3;1;20;00;01;0007
41;Bennebroek;4130;88.1;3638;3637;0.0;1208;18;224;0.0;0.0;160;5;125;;1;599;2;15.0;3;6;106;;1165;0.0;33.2;0.5;6.2;0.0;0.0;4.4;0.1;3.4;;0.0;16.5;0.1;0.4;0.1;0.2;2.9;;32.0;3;27;00;21;0372
42;Bergambacht;6860;89.7;6151;6150;0.0;1638;218;197;1.0;0.0;140;15;383;;2;1512;5;31.0;5;632;159;0.0;1212;0.0;26.6;3.5;3.2;0.0;0.0;2.3;0.2;6.2;;0.0;24.6;0.1;0.5;0.1;10.3;2.6;0.0;19.7;3;28;00;28;0491
43;Bergeijk;13484;84.3;11364;11348;1.0;5462;33;250;3.0;0.0;299;52;617;;2;1916;18;41.0;6;8;653;0.0;1987;0.0;48.1;0.3;2.2;0.0;0.0;2.6;0.5;5.4;;0.0;16.9;0.2;0.4;0.1;0.1;5.8;0.0;17.5;4;30;00;36;1724
44;Bergen;24402;85.5;20873;20856;4.0;5269;74;1250;;1.0;1343;108;1222;;13;4792;19;125.0;18;12;1126;;5480;0.0;25.3;0.4;6.0;;0.0;6.4;0.5;5.9;;0.1;23.0;0.1;0.6;0.1;0.1;5.4;;26.3;3;27;00;19;0373
45;Bergen;10047;77.5;7788;7782;;3637;6;156;4.0;0.0;226;30;413;;0;1763;16;41.0;4;2;427;;1057;;46.7;0.1;2.0;0.1;0.0;2.9;0.4;5.3;;0.0;22.7;0.2;0.5;0.1;0.0;5.5;;13.6;4;31;00;37;0893
46;Bergen op Zoom;48417;75.0;36308;36269;10.0;10117;207;1530;10.0;50.0;1645;185;2687;;18;9267;62;178.0;52;28;2264;8.0;7951;0.0;27.9;0.6;4.2;0.0;0.1;4.5;0.5;7.4;;0.0;25.6;0.2;0.5;0.1;0.1;6.2;0.0;21.9;4;30;00;33;0748
47;Bergh;14069;78.7;11068;11060;2.0;4476;24;266;6.0;1.0;323;38;513;;5;3105;23;45.0;7;8;542;;1676;0.0;40.5;0.2;2.4;0.1;0.0;2.9;0.3;4.6;;0.0;28.1;0.2;0.4;0.1;0.1;4.9;;15.2;2;25;00;14;0207
48;Bergschenhoek;10769;86.0;9261;9254;2.0;2983;280;358;2.0;4.0;282;35;828;;3;1422;10;48.0;17;48;266;5.0;2661;0.0;32.2;3.0;3.9;0.0;0.0;3.0;0.4;8.9;;0.0;15.4;0.1;0.5;0.2;0.5;2.9;0.1;28.8;3;28;00;29;0492
49;Berkel en Rodenrijs;12564;87.4;10985;10977;1.0;4164;708;422;10.0;8.0;375;46;798;;0;1585;10;44.0;17;78;351;1.0;2359;0.0;37.9;6.4;3.8;0.1;0.1;3.4;0.4;7.3;;0.0;14.4;0.1;0.4;0.2;0.7;3.2;0.0;21.5;3;28;00;29;0493
50;Bernheze;21374;82.4;17608;17589;3.0;8041;23;427;6.0;5.0;539;61;633;;4;3111;38;34.0;9;7;1995;1.0;2652;0.0;45.7;0.1;2.4;0.0;0.0;3.1;0.3;3.6;;0.0;17.7;0.2;0.2;0.1;0.0;11.3;0.0;15.1;4;30;00;35;1721
51;Bernisse;9825;84.0;8249;8240;0.0;2488;125;320;3.0;0.0;246;45;768;2.0;1;1746;11;62.0;5;91;339;0.0;1988;0.0;30.2;1.5;3.9;0.0;0.0;3.0;0.5;9.3;0.0;0.0;21.2;0.1;0.8;0.1;1.1;4.1;0.0;24.1;3;28;00;29;0568
52;Best;20768;81.9;17012;16991;2.0;5743;212;676;1.0;16.0;628;76;861;;4;3965;78;61.0;12;22;1070;2.0;3562;0.0;33.8;1.2;4.0;0.0;0.1;3.7;0.4;5.1;;0.0;23.3;0.5;0.4;0.1;0.1;6.3;0.0;21.0;4;30;00;36;0753
53;Beuningen;18609;81.1;15097;15086;;4669;57;585;;6.0;681;66;686;;2;4329;21;54.0;10;11;1068;;2841;;30.9;0.4;3.9;;0.0;4.5;0.4;4.5;;0.0;28.7;0.1;0.4;0.1;0.1;7.1;;18.8;2;25;00;15;0209
54;Beverwijk;27551;77.8;21440;21421;7.0;5185;132;852;7.0;15.0;1095;121;1603;;12;6863;31;165.0;34;19;1448;;3832;0.0;24.2;0.6;4.0;0.0;0.1;5.1;0.6;7.5;;0.1;32.0;0.1;0.8;0.2;0.1;6.8;;17.9;3;27;00;20;0375
55;het Bildt;7965;82.4;6561;6557;0.0;2390;119;121;;0.0;235;35;306;;5;2056;6;40.0;14;10;453;;767;0.0;36.4;1.8;1.8;;0.0;3.6;0.5;4.7;;0.1;31.4;0.1;0.6;0.2;0.2;6.9;;11.7;1;21;00;04;0063
56;De Bilt;32213;88.3;28445;28410;5.0;7201;556;1937;10.0;3.0;1860;69;1212;;4;5713;16;170.0;18;738;1609;2.0;7287;0.0;25.3;2.0;6.8;0.0;0.0;6.5;0.2;4.3;;0.0;20.1;0.1;0.6;0.1;2.6;5.7;0.0;25.6;3;26;00;17;0310
57;Binnenmaas;14997;86.1;12910;12890;1.0;3609;222;451;6.0;0.0;366;47;1079;1.0;1;2852;4;62.0;16;646;491;0.0;3036;0.0;28.0;1.7;3.5;0.0;0.0;2.8;0.4;8.4;0.0;0.0;22.1;0.0;0.5;0.1;5.0;3.8;0.0;23.6;3;28;00;29;0585
58;Bladel;14349;80.7;11583;11570;1.0;5459;25;324;4.0;0.0;366;82;588;;0;2050;34;32.0;6;3;769;1.0;1826;0.0;47.2;0.2;2.8;0.0;0.0;3.2;0.7;5.1;;0.0;17.7;0.3;0.3;0.1;0.0;6.6;0.0;15.8;4;30;00;36;1728
59;Blaricum;7223;90.1;6505;6501;1.0;1697;40;419;2.0;0.0;278;18;281;;1;1187;2;31.0;5;8;284;;2247;0.0;26.1;0.6;6.4;0.0;0.0;4.3;0.3;4.3;;0.0;18.3;0.0;0.5;0.1;0.1;4.4;;34.6;3;27;00;24;0376
60;Bleiswijk;7372;87.8;6473;6469;1.0;2434;213;223;5.0;1.0;171;36;542;;0;945;5;22.0;9;86;179;0.0;1597;0.0;37.6;3.3;3.4;0.1;0.0;2.6;0.6;8.4;;0.0;14.6;0.1;0.3;0.1;1.3;2.8;0.0;24.7;3;28;00;29;0495
61;Bloemendaal;12618;90.8;11461;11455;1.0;2719;74;954;0.0;1.0;634;21;366;;2;1794;14;75.0;9;12;329;;4450;0.0;23.7;0.6;8.3;0.0;0.0;5.5;0.2;3.2;;0.0;15.7;0.1;0.7;0.1;0.1;2.9;;38.8;3;27;11;21;0377
62;Boarnsterhim;14421;87.6;12628;12619;2.0;2724;94;442;;2.0;618;74;362;;2;5180;22;36.0;5;25;688;;2343;0.0;21.6;0.7;3.5;;0.0;4.9;0.6;2.9;;0.0;41.0;0.2;0.3;0.0;0.2;5.5;;18.6;1;21;00;04;0055
63;Bodegraven;14172;84.7;11997;11984;1.0;4549;513;362;4.0;0.0;361;35;649;;5;2141;9;43.0;7;590;454;0.0;2261;0.0;38.0;4.3;3.0;0.0;0.0;3.0;0.3;5.4;;0.0;17.9;0.1;0.4;0.1;4.9;3.8;0.0;18.9;3;28;00;28;0497
64;Boekel;6892;83.3;5743;5734;1.0;3072;8;120;3.0;0.0;143;26;318;;1;866;9;15.0;2;3;491;1.0;655;0.0;53.6;0.1;2.1;0.1;0.0;2.5;0.5;5.5;;0.0;15.1;0.2;0.3;0.0;0.1;8.6;0.0;11.4;4;30;00;35;0755
65;Ten Boer;5241;87.8;4604;4602;0.0;1303;517;155;;0.0;203;14;119;;5;1469;9;15.0;5;64;232;;492;0.0;28.3;11.2;3.4;;0.0;4.4;0.3;2.6;;0.1;31.9;0.2;0.3;0.1;1.4;5.0;;10.7;1;20;00;03;0009
66;Bolsward;7071;83.3;5891;5886;2.0;2233;100;137;;0.0;236;35;201;;2;1826;10;25.0;8;15;401;;655;0.0;37.9;1.7;2.3;;0.0;4.0;0.6;3.4;;0.0;31.0;0.2;0.4;0.1;0.3;6.8;;11.1;1;21;00;05;0064
67;Borculo;7926;88.1;6986;6982;0.0;1861;46;181;5.0;1.0;254;19;190;;2;2302;7;27.0;1;4;309;;1773;0.0;26.7;0.7;2.6;0.1;0.0;3.6;0.3;2.7;;0.0;33.0;0.1;0.4;0.0;0.1;4.4;;25.4;2;25;00;14;0211
68;Borger-Odoorn;20395;82.9;16908;16895;;3645;346;565;0.0;1.0;600;64;684;;9;7121;21;70.0;7;34;868;;2860;;21.6;2.0;3.3;0.0;0.0;3.6;0.4;4.0;;0.1;42.1;0.1;0.4;0.0;0.2;5.1;;16.9;1;22;00;08;1681
69;Borne;15313;86.3;13217;13206;;5384;89;460;4.0;;473;38;378;;4;3598;13;;8;5;656;;2096;;40.8;0.7;3.5;0.0;;3.6;0.3;2.9;;0.0;27.2;0.1;;0.1;0.0;5.0;;15.9;2;23;00;12;0147
70;Borsele;16480;84.2;13878;13862;;5376;290;302;;3.0;420;47;628;;5;2441;17;79.0;10;1772;619;;1853;;38.8;2.1;2.2;;0.0;3.0;0.3;4.5;;0.0;17.6;0.1;0.6;0.1;12.8;4.5;;13.4;3;29;00;32;0654
71;Boskoop;11176;86.2;9629;9623;0.0;3582;266;345;2.0;3.0;386;38;604;;2;1552;7;38.0;7;301;380;0.0;2110;0.0;37.2;2.8;3.6;0.0;0.0;4.0;0.4;6.3;;0.0;16.1;0.1;0.4;0.1;3.1;3.9;0.0;21.9;3;28;00;28;0499
72;Boxmeer;21757;85.1;18512;18485;4.0;7858;53;500;7.0;5.0;666;66;817;;6;3877;17;59.0;5;4;1902;0.0;2639;0.0;42.5;0.3;2.7;0.0;0.0;3.6;0.4;4.4;;0.0;21.0;0.1;0.3;0.0;0.0;10.3;0.0;14.3;4;30;00;35;0756
73;Boxtel;22379;78.1;17476;17463;2.0;5965;56;697;6.0;3.0;828;59;748;;2;4549;41;68.0;16;10;1737;2.0;2674;0.0;34.2;0.3;4.0;0.0;0.0;4.7;0.3;4.3;;0.0;26.0;0.2;0.4;0.1;0.1;9.9;0.0;15.3;4;30;00;35;0757
74;Breda;124996;75.7;94626;94535;16.0;24714;460;4904;30.0;65.0;5568;374;4945;;22;24824;167;441.0;84;81;7503;21.0;20316;0.0;26.1;0.5;5.2;0.0;0.1;5.9;0.4;5.2;;0.0;26.3;0.2;0.5;0.1;0.1;7.9;0.0;21.5;4;30;16;33;0758
75;Breukelen;10726;87.7;9407;9402;1.0;3175;267;460;3.0;0.0;442;29;411;;1;1599;8;44.0;7;436;364;0.0;2155;0.0;33.8;2.8;4.9;0.0;0.0;4.7;0.3;4.4;;0.0;17.0;0.1;0.5;0.1;4.6;3.9;0.0;22.9;3;26;00;17;0311
76;Brielle;12346;82.7;10216;10195;2.0;2271;79;433;10.0;0.0;360;49;965;1.0;6;2507;13;86.0;14;23;512;1.0;2863;0.0;22.3;0.8;4.2;0.1;0.0;3.5;0.5;9.5;0.0;0.1;24.6;0.1;0.8;0.1;0.2;5.0;0.0;28.1;3;28;00;29;0501
77;Brummen;16325;83.7;13656;13645;3.0;3452;81;483;0.0;8.0;564;43;539;;18;4993;17;51.0;11;30;687;;2665;0.0;25.3;0.6;3.5;0.0;0.1;4.1;0.3;4.0;;0.1;36.6;0.1;0.4;0.1;0.2;5.0;;19.5;2;25;00;14;0213
78;Brunssum;23351;72.7;16980;16966;;5071;166;392;5.0;0.0;632;90;997;;15;5733;27;137.0;25;12;1751;;1913;;29.9;1.0;2.3;0.0;0.0;3.7;0.5;5.9;;0.1;33.8;0.2;0.8;0.1;0.1;10.3;;11.3;4;31;21;39;0899
79;Bunnik;10567;91.1;9622;9609;0.0;3216;85;554;1.0;1.0;710;26;367;;2;2045;4;36.0;3;93;493;0.0;1973;0.0;33.5;0.9;5.8;0.0;0.0;7.4;0.3;3.8;;0.0;21.3;0.0;0.4;0.0;1.0;5.1;0.0;20.5;3;26;00;17;0312
80;Bunschoten;13790;89.3;12313;12306;4.0;6455;3100;131;1.0;1.0;152;17;394;;1;716;9;22.0;5;233;166;3.0;896;0.0;52.5;25.2;1.1;0.0;0.0;1.2;0.1;3.2;;0.0;5.8;0.1;0.2;0.0;1.9;1.3;0.0;7.3;3;26;00;17;0313
81;Buren;19467;85.0;16554;16543;;4343;219;591;;1.0;475;55;1016;;7;4536;22;74.0;9;651;628;;3916;;26.3;1.3;3.6;;0.0;2.9;0.3;6.1;;0.0;27.4;0.1;0.4;0.1;3.9;3.8;;23.7;2;25;00;16;0214
82;Bussum;23664;83.8;19837;19814;0.0;4801;223;1449;4.0;4.0;1138;76;936;;7;4387;29;115.0;16;60;1036;;5533;0.0;24.2;1.1;7.3;0.0;0.0;5.7;0.4;4.7;;0.0;22.1;0.1;0.6;0.1;0.3;5.2;;27.9;3;27;00;24;0381
83;Capelle aan den IJssel;49483;78.6;38917;38857;6.0;8565;1013;1497;25.0;11.0;1405;179;4045;;16;10240;40;303.0;55;1862;1866;13.0;7716;0.0;22.0;2.6;3.9;0.1;0.0;3.6;0.5;10.4;;0.0;26.4;0.1;0.8;0.1;4.8;4.8;0.0;19.9;3;28;14;29;0502
84;Castricum;26898;88.2;23733;23719;1.0;6857;113;1474;;1.0;1546;96;1076;;3;5524;25;125.0;28;17;1287;;5546;0.0;28.9;0.5;6.2;;0.0;6.5;0.4;4.5;;0.0;23.3;0.1;0.5;0.1;0.1;5.4;;23.4;3;27;00;20;0383
85;Coevorden;27388;83.7;22918;22898;;6187;272;663;5.0;0.0;740;68;861;;9;8670;25;80.0;11;55;988;;4264;;27.0;1.2;2.9;0.0;0.0;3.2;0.3;3.8;;0.0;37.9;0.1;0.3;0.0;0.2;4.3;;18.6;1;22;00;08;0109
86;Cranendonck;15326;80.1;12282;12266;2.0;5370;49;357;2.0;0.0;296;80;763;;4;2415;39;47.0;3;5;689;1.0;2144;0.0;43.8;0.4;2.9;0.0;0.0;2.4;0.7;6.2;;0.0;19.7;0.3;0.4;0.0;0.0;5.6;0.0;17.5;4;30;00;36;1706
87;Cromstrijen;10069;85.3;8585;8580;0.0;2342;131;253;7.0;0.0;238;33;615;0.0;1;2169;4;48.0;6;448;327;2.0;1956;0.0;27.3;1.5;2.9;0.1;0.0;2.8;0.4;7.2;0.0;0.0;25.3;0.0;0.6;0.1;5.2;3.8;0.0;22.8;3;28;00;29;0611
