ID;Persoonskenmerken;Perioden;EenKeerPerWeekOfVaker_1;TweeKeerPerMaand_2;EenKeerPerMaand_3;MinderDanEenKeerPerMaand_4;ZeldenOfNooit_5;AantalAvondenPerWeekThuis1529Jr_6;EenKeerPerWeekOfVaker_7;EenKeerPerTweeWeken_8;MinderDanEenKeerPerTweeWeken_9;Nooit_10;EenKeerPerWeekOfVaker_11;TweeKeerPerMaand_12;EenKeerPerMaand_13;MinderDanEenKeerPerMaand_14;ZeldenOfNooit_15;Ja_16;Soms_17;Nee_18;Ja_19;Soms_20;Nee_21;Ja_22;Soms_23;Nee_24;Ja_25;Soms_26;Nee_27;Ja_28;Soms_29;Nee_30;Ja_31;Soms_32;Nee_33;HeeftGenoegVriendenInnen1217Jaar_34;WordtWelEensGepestOpSchoolStraat_35;WordtVaakGepest_36;ValtWelMee_37;VoeltZichVaakAlleen1217Jaar_38;BuitengewoonTevreden_39;ZeerTevreden_40;Tevreden_41;TamelijkTevreden_42;NietZoTevreden_43;ErgGelukkig_44;Gelukkig_45;NietGelukkigNietOngelukkig_46;NietZoGelukkig_47;Ongelukkig_48;BuitengewoonTevreden_49;ZeerTevreden_50;Tevreden_51;TamelijkTevreden_52;NietZoTevreden_53;TevredenheidMetPartner_54;TevredenheidMetGezin_55;TevredenheidMetFinancien_56;TevredenheidMetOpleiding_57;TevredenheidMetSamenleving_58;TotaalParticipantenVrijwilligerswerk_59;GeorganiseerdVrijwilligerswerk_60;Jeugdwerk_61;School_62;VerzorgingVerpleging_63;Sportvereniging_64;Hobbyvereniging_65;CultureleVereniging_66;LevensbeschouwelijkeOrganisatie_67;Arbeidsorganisatie_68;PolitiekeOrganisatie_69;AndereOrganisaties_70;InformeleHulp_71;Altijd_72;Meestal_73;Soms_74;Zelden_75;Nooit_76;Meer_77;Evenveel_78;Minder_79;Niet_80;NietVanToepassing_81;Meer_82;Evenveel_83;Minder_84;Niet_85;NietVanToepassing_86;Meer_87;Evenveel_88;Minder_89;Niet_90;NietVanToepassing_91;GeenKerkelijkeGezindte_92;RoomsKatholiek_93;ProtestantseKerkInNederland_94;NederlandsHervormd_95;Gereformeerd_96;OverigeKerkelijkeGezindte_97;EenKeerPerWeekOfVaker_98;TweeTotDrieKeerPerMaand_99;EenKeerPerMaand_100;MinderDanEenKeerPerMaand_101;ZeldenOfNooit_102
10;Totaal persoonskenmerken;2007;86.0;6.0;3.0;2.0;2.0;;68.0;10.0;14.0;7.0;81.0;9.0;5.0;2.0;2.0;93.0;5.0;1.0;3.0;7.0;91.0;95.0;4.0;2.0;90.0;7.0;3.0;73.0;5.0;22.0;17.0;20.0;64.0;;;;;;9.0;42.0;42.0;5.0;2.0;21.0;68.0;8.0;2.0;1.0;8.0;35.0;46.0;8.0;3.0;;;;;;57.0;44.0;4.0;9.0;8.0;13.0;5.0;5.0;9.0;2.0;1.0;13.0;28.0;69.0;26.0;4.0;1.0;0.0;;;;;;;;;;;;;;;;43.0;28.0;6.0;9.0;4.0;10.0;11.0;4.0;4.0;8.0;73.0
11;Totaal persoonskenmerken;2008;86.0;7.0;4.0;2.0;2.0;;68.0;11.0;15.0;7.0;80.0;9.0;6.0;2.0;3.0;93.0;5.0;1.0;3.0;7.0;91.0;95.0;4.0;2.0;90.0;8.0;2.0;73.0;5.0;22.0;16.0;21.0;63.0;;;;;;9.0;43.0;41.0;4.0;2.0;22.0;67.0;8.0;2.0;1.0;8.0;35.0;45.0;8.0;3.0;;;;;;57.0;42.0;4.0;8.0;7.0;12.0;4.0;4.0;9.0;2.0;1.0;12.0;30.0;71.0;25.0;3.0;1.0;0.0;;;;;;;;;;;;;;;;43.0;29.0;6.0;9.0;4.0;10.0;11.0;4.0;4.0;8.0;72.0
12;Totaal persoonskenmerken;2009;86.0;7.0;4.0;2.0;2.0;;68.0;10.0;15.0;6.0;81.0;10.0;5.0;3.0;2.0;92.0;6.0;1.0;2.0;8.0;89.0;94.0;5.0;1.0;88.0;9.0;2.0;72.0;6.0;22.0;15.0;21.0;63.0;;;;;;9.0;40.0;44.0;4.0;2.0;24.0;65.0;7.0;2.0;1.0;10.0;35.0;43.0;8.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.0;27.0;6.0;8.0;3.0;10.0;10.0;4.0;4.0;9.0;73.0
13;Totaal persoonskenmerken;2010;;;;;;;71.0;10.0;14.0;6.0;;;;;;93.0;6.0;1.0;2.0;8.0;90.0;94.0;4.0;2.0;88.0;9.0;2.0;72.0;5.0;23.0;14.0;19.0;66.0;;;;;;10.0;42.0;41.0;5.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Totaal persoonskenmerken;2011;;;;;;;70.0;10.0;14.0;7.0;;;;;;92.0;6.0;1.0;2.0;7.0;90.0;94.0;4.0;2.0;88.0;9.0;3.0;72.0;6.0;23.0;15.0;21.0;64.0;;;;;;9.0;43.0;41.0;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Mannen;1997;78.0;11.0;6.0;3.0;2.0;4.0;66.0;11.0;14.0;8.0;77.0;11.0;7.0;3.0;3.0;92.0;7.0;1.0;3.0;7.0;90.0;93.0;5.0;2.0;85.0;12.0;3.0;71.0;5.0;25.0;22.0;18.0;60.0;;;;;;12.0;35.0;45.0;6.0;2.0;21.0;69.0;8.0;2.0;0.0;8.0;32.0;47.0;9.0;3.0;;;;;;60.0;47.0;5.0;4.0;8.0;16.0;7.0;4.0;9.0;6.0;2.0;7.0;28.0;;;;;;;;;;;;;;;;;;;;;42.0;31.0;;13.0;7.0;7.0;13.0;5.0;5.0;10.0;68.0
16;Mannen;1998;78.0;11.0;6.0;3.0;2.0;;67.0;11.0;15.0;8.0;77.0;10.0;7.0;3.0;2.0;92.0;7.0;1.0;2.0;8.0;90.0;93.0;5.0;2.0;86.0;11.0;3.0;67.0;6.0;27.0;23.0;17.0;61.0;;;;;;11.0;35.0;45.0;7.0;2.0;21.0;69.0;7.0;2.0;0.0;10.0;34.0;46.0;8.0;3.0;9.0;8.0;8.0;7.0;7.0;60.0;45.0;4.0;5.0;2.0;18.0;7.0;6.0;7.0;5.0;2.0;7.0;30.0;;;;;;;;;;;;;;;;;;;;;43.0;30.0;;13.0;7.0;8.0;12.0;5.0;5.0;9.0;69.0
17;Mannen;1999;78.0;11.0;6.0;3.0;2.0;;67.0;11.0;15.0;7.0;77.0;11.0;7.0;3.0;2.0;92.0;6.0;2.0;2.0;7.0;91.0;93.0;5.0;3.0;85.0;12.0;3.0;69.0;6.0;25.0;22.0;19.0;59.0;;;;;;12.0;35.0;45.0;7.0;2.0;21.0;69.0;8.0;2.0;0.0;9.0;33.0;46.0;9.0;3.0;9.0;8.0;8.0;7.0;7.0;59.0;45.0;4.0;4.0;4.0;18.0;6.0;5.0;8.0;6.0;2.0;7.0;30.0;61.0;32.0;5.0;1.0;2.0;14.0;45.0;4.0;37.0;;16.0;52.0;16.0;15.0;;13.0;63.0;13.0;11.0;;44.0;30.0;;12.0;7.0;8.0;12.0;5.0;5.0;9.0;70.0
18;Mannen;2000;78.0;10.0;6.0;3.0;2.0;;65.0;11.0;15.0;9.0;77.0;11.0;7.0;3.0;2.0;93.0;6.0;1.0;2.0;9.0;89.0;93.0;5.0;3.0;86.0;11.0;3.0;69.0;7.0;24.0;22.0;20.0;57.0;;;;;;11.0;36.0;43.0;8.0;2.0;21.0;69.0;7.0;2.0;0.0;9.0;34.0;46.0;8.0;3.0;9.0;8.0;8.0;7.0;7.0;60.0;46.0;5.0;6.0;4.0;19.0;6.0;6.0;8.0;5.0;2.0;8.0;32.0;61.0;33.0;5.0;1.0;1.0;15.0;50.0;4.0;32.0;;29.0;46.0;8.0;16.0;;11.0;67.0;12.0;9.0;;44.0;30.0;;12.0;6.0;8.0;11.0;4.0;5.0;9.0;70.0
19;Mannen;2001;81.0;9.0;5.0;3.0;2.0;4.0;68.0;9.0;15.0;8.0;78.0;11.0;6.0;3.0;2.0;92.0;6.0;1.0;3.0;7.0;90.0;93.0;5.0;2.0;87.0;11.0;3.0;70.0;7.0;23.0;21.0;19.0;60.0;94.0;21.0;2.0;19.0;3.0;11.0;37.0;43.0;7.0;2.0;21.0;70.0;7.0;2.0;0.0;9.0;34.0;47.0;7.0;3.0;9.0;8.0;8.0;7.0;7.0;58.0;44.0;5.0;5.0;4.0;17.0;5.0;5.0;9.0;4.0;2.0;7.0;31.0;58.0;34.0;6.0;1.0;1.0;15.0;48.0;4.0;32.0;;13.0;54.0;17.0;16.0;;13.0;67.0;12.0;9.0;;44.0;29.0;;13.0;6.0;9.0;12.0;4.0;4.0;10.0;70.0
20;Mannen;2002;81.0;9.0;5.0;2.0;2.0;;68.0;11.0;13.0;7.0;78.0;11.0;6.0;2.0;2.0;93.0;6.0;1.0;3.0;7.0;90.0;93.0;4.0;2.0;86.0;11.0;3.0;70.0;7.0;23.0;21.0;19.0;60.0;;;;;;12.0;37.0;43.0;6.0;2.0;21.0;68.0;8.0;2.0;0.0;8.0;35.0;44.0;8.0;4.0;9.0;8.0;8.0;7.0;7.0;59.0;43.0;5.0;5.0;5.0;17.0;5.0;5.0;8.0;4.0;2.0;8.0;32.0;63.0;31.0;4.0;2.0;1.0;13.0;46.0;5.0;10.0;26.0;12.0;52.0;15.0;3.0;17.0;14.0;68.0;10.0;4.0;4.0;44.0;29.0;;12.0;7.0;9.0;11.0;4.0;5.0;9.0;71.0
21;Mannen;2003;81.0;10.0;5.0;3.0;2.0;4.0;71.0;11.0;13.0;6.0;79.0;10.0;6.0;3.0;2.0;92.0;6.0;2.0;2.0;8.0;90.0;93.0;5.0;2.0;85.0;12.0;3.0;70.0;6.0;24.0;19.0;21.0;59.0;97.0;19.0;2.0;17.0;4.0;12.0;36.0;42.0;7.0;2.0;21.0;68.0;8.0;3.0;1.0;9.0;34.0;45.0;8.0;3.0;9.0;8.0;8.0;7.0;6.0;59.0;43.0;5.0;5.0;3.0;18.0;6.0;5.0;7.0;4.0;2.0;7.0;33.0;58.0;35.0;5.0;1.0;1.0;12.0;43.0;4.0;10.0;30.0;13.0;49.0;17.0;4.0;18.0;13.0;67.0;11.0;5.0;4.0;44.0;29.0;;13.0;6.0;8.0;11.0;4.0;4.0;8.0;73.0
22;Mannen;2004;82.0;9.0;5.0;2.0;2.0;;71.0;10.0;13.0;6.0;79.0;10.0;6.0;3.0;2.0;93.0;5.0;2.0;3.0;7.0;90.0;94.0;4.0;2.0;86.0;11.0;3.0;72.0;6.0;23.0;21.0;18.0;60.0;;;;;;12.0;36.0;44.0;6.0;2.0;20.0;69.0;8.0;2.0;1.0;8.0;33.0;48.0;8.0;4.0;9.0;8.0;7.0;7.0;6.0;59.0;43.0;4.0;4.0;4.0;17.0;6.0;5.0;7.0;3.0;1.0;7.0;33.0;63.0;31.0;4.0;1.0;1.0;14.0;40.0;4.0;9.0;33.0;15.0;48.0;16.0;3.0;18.0;14.0;69.0;10.0;4.0;4.0;45.0;29.0;2.0;10.0;5.0;9.0;10.0;4.0;4.0;8.0;74.0
23;Mannen;2005;83.0;9.0;5.0;2.0;2.0;;72.0;10.0;13.0;6.0;80.0;10.0;6.0;2.0;2.0;93.0;6.0;2.0;3.0;7.0;91.0;93.0;5.0;2.0;86.0;10.0;3.0;72.0;5.0;23.0;20.0;20.0;60.0;;;;;;10.0;37.0;45.0;5.0;3.0;21.0;68.0;8.0;3.0;1.0;8.0;31.0;48.0;8.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.0;28.0;5.0;9.0;4.0;10.0;11.0;4.0;4.0;9.0;72.0
24;Mannen;2006;83.0;9.0;4.0;2.0;2.0;;71.0;10.0;15.0;5.0;80.0;9.0;6.0;3.0;2.0;94.0;5.0;2.0;3.0;4.0;93.0;94.0;4.0;2.0;89.0;8.0;3.0;71.0;5.0;24.0;20.0;19.0;60.0;;;;;;7.0;42.0;45.0;4.0;2.0;20.0;70.0;7.0;2.0;0.0;7.0;34.0;46.0;8.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.0;29.0;5.0;8.0;4.0;9.0;11.0;3.0;4.0;8.0;73.0
25;Mannen;2007;83.0;7.0;5.0;2.0;2.0;;69.0;11.0;14.0;6.0;80.0;9.0;6.0;3.0;3.0;92.0;6.0;2.0;3.0;4.0;93.0;94.0;4.0;2.0;89.0;7.0;3.0;71.0;5.0;24.0;20.0;20.0;60.0;;;;;;7.0;44.0;43.0;4.0;2.0;22.0;68.0;7.0;2.0;1.0;8.0;35.0;46.0;8.0;3.0;;;;;;56.0;46.0;5.0;6.0;4.0;17.0;6.0;5.0;9.0;3.0;2.0;14.0;24.0;68.0;27.0;4.0;0.0;1.0;;;;;;;;;;;;;;;;46.0;27.0;5.0;8.0;4.0;10.0;11.0;4.0;3.0;7.0;75.0
26;Mannen;2008;83.0;8.0;5.0;2.0;2.0;;67.0;12.0;15.0;6.0;78.0;10.0;7.0;3.0;3.0;93.0;5.0;1.0;4.0;4.0;93.0;94.0;4.0;2.0;89.0;7.0;3.0;73.0;5.0;23.0;19.0;21.0;60.0;;;;;;8.0;43.0;43.0;4.0;2.0;23.0;67.0;8.0;2.0;1.0;9.0;35.0;45.0;7.0;4.0;;;;;;56.0;43.0;4.0;4.0;4.0;17.0;5.0;5.0;8.0;2.0;2.0;12.0;27.0;70.0;27.0;3.0;0.0;0.0;;;;;;;;;;;;;;;;45.0;28.0;5.0;8.0;3.0;11.0;10.0;4.0;4.0;8.0;75.0
27;Mannen;2009;82.0;9.0;5.0;3.0;2.0;;70.0;9.0;15.0;7.0;80.0;10.0;5.0;3.0;2.0;92.0;7.0;2.0;3.0;6.0;91.0;93.0;5.0;2.0;87.0;10.0;2.0;71.0;5.0;23.0;18.0;21.0;61.0;;;;;;8.0;39.0;46.0;4.0;3.0;25.0;66.0;6.0;2.0;1.0;11.0;35.0;42.0;7.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.0;26.0;6.0;7.0;3.0;10.0;9.0;4.0;3.0;9.0;74.0
28;Mannen;2010;;;;;;;69.0;11.0;15.0;5.0;;;;;;92.0;7.0;2.0;3.0;5.0;92.0;94.0;4.0;2.0;87.0;10.0;2.0;69.0;5.0;26.0;18.0;19.0;63.0;;;;;;9.0;42.0;43.0;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Mannen;2011;;;;;;;69.0;10.0;15.0;7.0;;;;;;92.0;6.0;2.0;3.0;5.0;92.0;93.0;5.0;2.0;87.0;10.0;3.0;71.0;5.0;23.0;19.0;21.0;60.0;;;;;;7.0;44.0;43.0;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Vrouwen;1997;86.0;7.0;3.0;2.0;1.0;5.0;68.0;11.0;14.0;7.0;78.0;11.0;6.0;3.0;3.0;92.0;6.0;2.0;3.0;10.0;87.0;94.0;4.0;2.0;89.0;8.0;3.0;71.0;6.0;23.0;17.0;16.0;67.0;;;;;;12.0;35.0;43.0;8.0;2.0;21.0;67.0;9.0;3.0;0.0;8.0;32.0;46.0;10.0;4.0;;;;;;59.0;44.0;4.0;13.0;7.0;8.0;3.0;5.0;10.0;2.0;1.0;8.0;33.0;;;;;;;;;;;;;;;;;;;;;37.0;32.0;;15.0;8.0;8.0;15.0;6.0;5.0;11.0;63.0
31;Vrouwen;1998;86.0;7.0;4.0;2.0;1.0;;66.0;9.0;16.0;8.0;79.0;11.0;6.0;2.0;2.0;93.0;6.0;2.0;3.0;9.0;88.0;95.0;3.0;2.0;90.0;8.0;2.0;70.0;5.0;25.0;17.0;15.0;69.0;;;;;;12.0;38.0;42.0;7.0;2.0;22.0;67.0;9.0;3.0;1.0;10.0;33.0;45.0;9.0;3.0;9.0;8.0;8.0;7.0;7.0;58.0;43.0;4.0;13.0;8.0;10.0;4.0;4.0;10.0;2.0;1.0;8.0;32.0;;;;;;;;;;;;;;;;;;;;;38.0;32.0;;15.0;7.0;8.0;14.0;6.0;6.0;10.0;64.0
32;Vrouwen;1999;87.0;7.0;3.0;2.0;1.0;;66.0;11.0;16.0;7.0;79.0;10.0;6.0;2.0;2.0;92.0;6.0;2.0;3.0;10.0;87.0;95.0;4.0;2.0;89.0;8.0;2.0;72.0;5.0;23.0;16.0;15.0;69.0;;;;;;12.0;39.0;39.0;8.0;2.0;21.0;67.0;9.0;3.0;0.0;9.0;32.0;47.0;9.0;4.0;9.0;8.0;8.0;7.0;7.0;61.0;45.0;4.0;14.0;11.0;10.0;4.0;5.0;8.0;2.0;1.0;7.0;35.0;61.0;32.0;5.0;1.0;2.0;16.0;45.0;3.0;36.0;;18.0;46.0;8.0;27.0;;7.0;56.0;32.0;6.0;;39.0;32.0;;14.0;7.0;8.0;13.0;6.0;6.0;10.0;65.0
33;Vrouwen;2000;88.0;6.0;3.0;2.0;1.0;;67.0;11.0;14.0;8.0;80.0;10.0;5.0;2.0;2.0;95.0;4.0;1.0;3.0;11.0;87.0;96.0;2.0;1.0;91.0;6.0;2.0;73.0;6.0;22.0;15.0;17.0;68.0;;;;;;13.0;38.0;40.0;6.0;2.0;21.0;67.0;9.0;2.0;0.0;9.0;33.0;46.0;9.0;3.0;9.0;8.0;8.0;7.0;7.0;61.0;44.0;3.0;13.0;10.0;10.0;4.0;4.0;10.0;2.0;1.0;6.0;37.0;59.0;33.0;6.0;1.0;1.0;16.0;47.0;4.0;34.0;;29.0;46.0;6.0;20.0;;7.0;57.0;30.0;6.0;;38.0;32.0;;14.0;7.0;8.0;13.0;6.0;6.0;10.0;65.0
