ID;Gebieden;AantalWoningen_1;AantalBewoners_2;AantalWoningen_3;AantalBewoners_4;AantalWoningen_5;AantalBewoners_6;AantalWoningen_7;AantalVertrekken_8;AantalBewoners_9;AantalWoningen_10;AantalBewoners_11;AantalWoningen_12;AantalBewoners_13;AantalWoningen_14;AantalBewoners_15;AantalWoningen_16;AantalVertrekken_17;AantalBewoners_18;AantalWoningen_19;AantalBewoners_20;AantalWoningen_21;AantalBewoners_22;AantalWoningen_23;AantalBewoners_24;AantalWoningen_25;AantalBewoners_26;Pagina_27
11;Limburg;4313;12048;3;3;4310;12045;11855;23710;48718;2;9;521;2123;11332;46586;2;10;80;391;978;4624;10861;51901;11921;35763;56926;WS 50
12;"Nederland;     500 of minder inwoners";819;2826;0;0;819;2826;1266;2532;5481;1;3;32;136;1233;5342;1;2;1;8;56;277;792;4026;850;2550;4313;WS 52
13;"Nederland;     501 -   1.000 inwoners";7887;29215;6;24;7881;29191;9503;19006;42019;0;0;387;1945;9116;40074;0;0;21;120;490;2564;5486;27874;5997;17991;30558;WS 52
14;"Nederland;   1.001 -   2.000 inwoners";29388;113035;49;132;29339;112903;30028;60056;135613;14;63;1533;7569;28481;127981;3;18;110;575;1505;7647;15645;79093;17263;51789;87333;WS 52
15;"Nederland;   2.001 -   5.000 inwoners";77869;311124;521;2200;77348;308924;73458;146916;342462;42;213;3695;17215;69721;325034;9;40;361;1868;4021;20188;34031;175389;38422;115266;197485;WS 52
16;"Nederland;   5.001 -  10.000 inwoners";64253;258254;495;1999;63758;256255;53742;107484;251433;41;224;3335;15852;50366;235357;11;55;358;1832;3441;17219;24779;128347;28589;85767;147453;WS 52
17;"Nederland;  10.001 -  20.000 inwoners";48767;197419;146;627;48621;196792;38720;77440;178384;44;219;3204;13695;35472;164470;9;43;362;1668;3747;17989;14556;71941;18674;56022;91641;WS 52
18;"Nederland;  20.001 -  50.000 inwoners";20360;71367;115;438;20245;70929;34699;69398;150675;26;99;3814;14738;30859;135838;15;73;518;2324;5088;23447;14672;69543;20293;60879;95387;WS 52
19;"Nederland;  50.001 - 100.000 inwoners";9446;32501;6;20;9440;32481;16678;33356;69197;7;29;1669;6230;15002;62938;5;22;246;1044;2496;11242;8149;37959;10896;32688;50267;WS 52
20;"Nederland; 100.001 of meer   inwoners";49148;156273;83;222;49065;156051;76261;152522;322089;76;308;11238;41213;64947;280568;12;58;1199;5434;25321;111859;23867;110233;50399;151197;227584;WS 52
21;"Groningen;   1.001 -   2.000 inwoners";1958;7235;25;51;1933;7184;763;1526;3442;7;38;49;259;707;3145;2;13;4;25;40;227;280;1461;326;978;1726;WS 46
22;"Groningen;   2.001 -   5.000 inwoners";14311;56137;124;437;14187;55700;5059;10118;23183;21;108;349;1611;4689;21464;4;18;32;176;196;1010;2124;10719;2356;7068;11923;WS 46
23;"Groningen;   5.001 -  10.000 inwoners";9287;38745;237;978;9050;37767;3790;7580;18682;27;142;339;1686;3424;16854;8;38;22;111;166;901;1152;5997;1348;4044;7047;WS 46
24;"Groningen;  10.001 -  20.000 inwoners";4398;18349;20;81;4378;18268;1579;3158;7912;7;34;252;1333;1320;6545;0;0;21;117;60;322;480;2493;561;1683;2932;WS 46
25;"Groningen;  50.001 - 100.000 inwoners";4903;18784;1;2;4902;18782;4459;8918;19355;3;13;456;1823;4000;17519;2;10;71;325;389;1786;1226;5686;1688;5064;7807;WS 46
26;"Friesland;     501 -   1.000 inwoners";172;599;0;0;172;599;219;438;959;0;0;11;49;208;910;0;0;1;1;18;73;75;325;94;282;399;WS 40
27;"Friesland;   1.001 -   2.000 inwoners";327;1222;0;0;327;1222;139;278;660;0;0;9;43;130;617;0;0;0;0;5;21;51;207;56;168;228;WS 40
28;"Friesland;   2.001 -   5.000 inwoners";2710;10424;5;16;2705;10408;1246;2492;5855;0;0;114;449;1132;5406;1;3;6;30;81;358;437;2199;525;1575;2590;WS 40
29;"Friesland;   5.001 -  10.000 inwoners";19578;74962;209;815;19369;74147;6038;12076;27104;9;59;598;2884;5431;24161;1;7;47;206;323;1720;2409;12205;2780;8340;14138;WS 40
30;"Friesland;  10.001 -  20.000 inwoners";21898;88338;105;487;21793;87851;6589;13178;31321;21;112;487;2226;6081;28983;5;19;41;185;274;1384;2271;11360;2591;7773;12948;WS 40
31;"Friesland;  20.001 -  50.000 inwoners";3552;13468;65;249;3487;13219;1746;3492;6853;4;16;271;1021;1471;5816;3;17;17;65;173;773;459;1905;652;1956;2760;WS 40
32;"Drenthe;   1.001 -   2.000 inwoners";1298;5914;0;0;1298;5914;465;930;2668;0;0;24;153;441;2515;0;0;1;2;6;36;113;653;120;360;691;WS 50
33;"Drenthe;   2.001 -   5.000 inwoners";8746;39818;258;1162;8488;38656;2504;5008;13748;9;40;163;885;2332;12823;1;11;18;96;88;462;814;4802;921;2763;5371;WS 50
34;"Drenthe;   5.001 -  10.000 inwoners";2476;11975;11;56;2465;11919;681;1362;3825;1;3;30;169;650;3653;0;0;0;0;10;73;159;990;169;507;1063;WS 50
35;"Drenthe;  10.001 -  20.000 inwoners";6333;29310;3;10;6330;29300;2196;4392;10409;3;12;176;841;2017;9556;2;11;18;86;130;603;621;3165;771;2313;3865;WS 50
36;"Overijssel;     501 -   1.000 inwoners";492;1925;0;0;492;1925;325;650;1530;0;0;12;49;313;1481;0;0;0;0;8;43;83;449;91;273;492;WS 42
37;"Overijssel;   1.001 -   2.000 inwoners";1260;5044;2;10;1258;5034;855;1710;3795;1;1;76;316;778;3478;0;0;11;55;66;302;350;1756;427;1281;2113;WS 42
38;"Overijssel;   2.001 -   5.000 inwoners";5782;23662;65;293;5717;23369;4439;8878;21708;3;15;386;1882;4050;19811;0;0;69;342;316;1611;1860;10133;2245;6735;12086;WS 42
39;"Overijssel;   5.001 -  10.000 inwoners";7833;33451;2;7;7831;33444;6433;12866;31944;1;8;562;2661;5870;29275;0;0;128;701;500;2688;2813;15556;3441;10323;18945;WS 42
40;"Overijssel;  10.001 -  20.000 inwoners";2326;9602;4;19;2322;9583;4357;8714;20677;2;11;346;1268;4009;19398;0;0;42;213;337;1597;1459;7463;1838;5514;9273;WS 42
41;"Overijssel;  20.001 -  50.000 inwoners";2854;10628;20;83;2834;10545;6326;12652;29282;9;31;739;2908;5578;26343;7;28;136;630;1104;5232;1760;8895;3007;9021;14785;WS 42
42;"Gelderland;     500 of minder inwoners";22;82;0;0;22;82;65;130;279;0;0;5;25;60;254;0;0;0;0;13;72;73;392;86;258;464;WS 12
43;"Gelderland;     501 -   1.000 inwoners";339;1340;0;0;339;1340;311;622;1510;0;0;24;150;287;1360;0;0;0;0;15;80;201;1101;216;648;1181;WS 12
44;"Gelderland;   1.001 -   2.000 inwoners";1989;8002;2;11;1987;7991;2464;4928;12147;0;0;134;722;2330;11425;0;0;6;24;161;839;1258;6803;1425;4275;7666;WS 12
45;"Gelderland;   2.001 -   5.000 inwoners";7579;30928;9;40;7570;30888;11359;22718;54489;3;16;706;3179;10650;51294;1;2;83;431;975;5044;5317;28337;6376;19128;33814;WS 12
46;"Gelderland;   5.001 -  10.000 inwoners";9069;38267;35;141;9034;38126;9592;19184;47467;0;0;722;3562;8870;43905;0;0;75;402;688;3549;4107;22204;4870;14610;26155;WS 12
47;"Gelderland;  10.001 -  20.000 inwoners";3705;15266;6;13;3699;15253;5343;10686;25596;3;11;667;3034;4673;22551;0;0;70;356;850;4043;2046;10429;2966;8898;14828;WS 12
48;"Gelderland;  20.001 -  50.000 inwoners";3053;11585;1;3;3052;11582;4510;9020;20650;1;9;446;1840;4063;18801;0;0;61;285;522;2492;1661;7932;2244;6732;10709;WS 12
49;"Gelderland;  50.001 - 100.000 inwoners";1213;4248;3;16;1210;4232;3949;7898;16567;0;0;641;2299;3308;14268;0;0;60;264;1146;5210;1136;5283;2342;7026;10757;WS 12
50;"Utrecht;     500 of minder inwoners";186;603;0;0;186;603;305;610;1414;0;0;5;21;300;1393;0;0;1;8;7;35;163;906;171;513;949;WS 28
51;"Utrecht;     501 -   1.000 inwoners";514;1726;0;0;514;1726;937;1874;3877;0;0;31;144;906;3733;0;0;1;4;22;109;533;2852;556;1668;2965;WS 28
52;"Utrecht;   1.001 -   2.000 inwoners";1760;6401;3;7;1757;6394;2353;4706;10388;0;0;121;563;2232;9825;1;5;5;28;143;749;1080;5571;1229;3687;6353;WS 28
53;"Utrecht;   2.001 -   5.000 inwoners";2733;10670;0;0;2733;10670;4265;8530;19623;0;0;226;1074;4039;18549;0;0;10;45;218;1181;1682;8780;1910;5730;10006;WS 28
54;"Utrecht;   5.001 -  10.000 inwoners";960;4122;0;0;960;4122;2306;4612;10930;0;0;79;416;2227;10514;0;0;12;50;105;472;730;3649;847;2541;4171;WS 28
55;"Utrecht;  10.001 -  20.000 inwoners";636;2076;0;0;636;2076;1851;3702;7571;1;2;99;384;1751;7185;0;0;20;72;150;693;401;1951;571;1714;2716;WS 28
56;"Utrecht; 100.001 of meer   inwoners";3733;12399;5;8;3728;12391;6783;13566;26215;9;30;1001;3490;5773;22695;0;0;126;625;1176;5266;3246;15369;4548;13644;21260;WS 28
57;"Noordholland;     500 of minder inwoners";177;616;0;0;177;616;199;398;734;0;0;12;42;187;692;1;2;0;0;3;11;82;345;86;258;358;WS 24
58;"Noordholland;     501 -   1.000 inwoners";1330;4521;4;16;1326;4505;1869;3738;7692;0;0;28;93;1841;7599;0;0;0;0;23;105;776;3755;799;2397;3860;WS 24
59;"Noordholland;   1.001 -   2.000 inwoners";6034;21486;10;40;6024;21446;5841;11682;24566;5;15;187;751;5649;23800;0;0;9;48;90;378;2138;10241;2237;6711;10667;WS 24
60;"Noordholland;   2.001 -   5.000 inwoners";7655;29142;48;217;7607;28925;10759;21518;49253;1;2;362;1735;10396;47516;0;0;19;104;403;1904;3748;18143;4170;12510;20151;WS 24
61;"Noordholland;   5.001 -  10.000 inwoners";2727;10396;0;0;2727;10396;5564;11128;24111;0;0;281;1154;5283;22957;0;0;24;129;489;2210;2742;13349;3255;9765;15688;WS 24
62;"Noordholland;  10.001 -  20.000 inwoners";2612;9880;1;5;2611;9875;5561;11122;24714;3;13;319;1157;5239;23544;2;13;46;207;597;2738;3304;15532;3949;11847;18490;WS 24
63;"Noordholland;  20.001 -  50.000 inwoners";1977;7092;0;0;1977;7092;3890;7780;15653;0;0;152;607;3738;15046;0;0;18;111;382;1625;2340;9943;2740;8220;11679;WS 24
64;"Noordholland;  50.001 - 100.000 inwoners";1469;4100;1;1;1468;4099;3984;7968;16794;3;15;276;1078;3705;15701;1;1;72;282;528;2425;3363;15539;3964;11892;18247;WS 24
65;"Noordholland; 100.001 of meer   inwoners";22359;67214;44;113;22315;67101;30085;60170;122587;25;100;5021;17246;25039;105241;4;12;4996;2248;14633;63405;11000;50925;26133;78399;116590;WS 24
66;"Zuidholland;     500 of minder inwoners";162;604;0;0;162;604;142;284;695;0;0;3;10;139;685;0;0;0;0;3;17;106;633;109;327;650;WS 16
67;"Zuidholland;     501 -   1.000 inwoners";2260;8875;2;8;2258;8867;1918;3836;9303;0;0;132;696;1786;8607;0;0;7;41;100;540;813;4593;920;2760;5174;WS 16
68;"Zuidholland;   1.001 -   2.000 inwoners";7617;30714;1;2;7616;30712;5815;11630;27663;0;0;409;2192;5406;25471;0;0;19;113;246;1322;2393;12667;2658;7974;14102;WS 16
69;"Zuidholland;   2.001 -   5.000 inwoners";13512;52975;10;32;13502;52943;13179;26358;61034;4;25;632;2863;12543;58146;1;3;38;188;698;3411;5770;30170;6507;19521;33772;WS 16
70;"Zuidholland;   5.001 -  10.000 inwoners";5921;23056;0;0;5921;23056;7596;15192;36209;0;0;258;1289;7338;34920;0;0;5;21;461;2288;2856;15444;3322;9966;17753;WS 16
71;"Zuidholland;  10.001 -  20.000 inwoners";2667;10024;3;7;2664;10017;3036;6072;14467;1;5;341;1477;2694;12985;0;0;39;170;459;2386;743;3829;1241;3723;6385;WS 16
72;"Zuidholland;  20.001 -  50.000 inwoners";4058;12726;22;68;4036;12658;8810;17620;36784;6;20;1315;4713;7489;32051;2;11;191;829;1944;8608;4064;19170;6201;18603;28618;WS 16
73;"Zuidholland;  50.001 - 100.000 inwoners";1861;5369;1;1;1860;5368;4286;8572;16481;1;1;296;1030;3989;15450;2;11;43;173;433;1821;2424;11451;2902;8706;13456;WS 16
74;"Zuidholland; 100.001 of meer   inwoners";23056;76660;34;101;23022;76559;39393;78786;173287;42;178;5216;20477;34135;152632;8;46;577;2561;9512;43188;9621;43939;19718;59154;89734;WS 16
75;"Zeeland;     500 of minder inwoners";119;434;0;0;119;434;155;310;706;0;0;2;9;153;697;0;0;0;0;6;34;70;359;76;228;393;WS 26
76;"Zeeland;     501 -   1.000 inwoners";2147;8214;0;0;2147;8214;1681;3362;7809;0;0;95;548;1586;7261;0;0;3;18;112;648;643;3392;758;2274;4058;WS 26
77;"Zeeland;   1.001 -   2.000 inwoners";4920;19700;0;0;4920;19700;3643;7286;17513;0;0;229;1373;3414;16140;0;0;8;41;165;935;1291;6724;1464;4392;7700;WS 26
78;"Zeeland;   2.001 -   5.000 inwoners";5745;22460;0;0;5745;22460;5051;10102;24190;1;7;253;1365;4797;22818;1;3;13;71;232;1174;1884;9960;2130;6390;11208;WS 26
79;"Zeeland;   5.001 -  10.000 inwoners";1396;4921;1;2;1395;4919;2378;4756;10780;0;0;185;830;2193;9950;0;0;13;65;205;1018;762;3792;980;2940;4875;WS 26
80;"Zeeland;  10.001 -  20.000 inwoners";1913;6394;0;0;1913;6394;2815;5630;11934;0;0;284;1037;2531;10897;0;0;37;151;526;2342;812;3620;1375;4125;6113;WS 26
81;"Noordbrabant;     500 of minder inwoners";133;455;0;0;133;455;290;580;1254;1;3;3;21;286;1230;0;0;0;0;12;58;190;905;202;606;963;WS  6
82;"Noordbrabant;     501 -   1.000 inwoners";518;1729;0;0;518;1729;1419;2838;6067;0;0;24;92;1395;5975;0;0;4;25;108;570;1298;6443;1410;4230;7038;WS  6
83;"Noordbrabant;   1.001 -   2.000 inwoners";1715;5885;6;11;1709;5874;5124;10248;22098;1;9;167;654;4956;21435;0;0;26;116;335;1613;4136;20631;4497;13491;22360;WS  6
84;"Noordbrabant;   2.001 -   5.000 inwoners";8679;33929;1;2;8678;33927;13466;26932;61073;0;0;438;1916;13028;59157;0;0;57;296;644;3210;7740;39548;8441;25323;43054;WS  6
85;"Noordbrabant;   5.001 -  10.000 inwoners";4376;16935;0;0;4376;16935;6489;12978;28929;1;3;184;850;6304;28076;0;0;12;59;297;1371;4257;21406;4566;13698;22836;WS  6
86;"Noordbrabant;  10.001 -  20.000 inwoners";1975;7487;2;3;1973;7484;4464;8928;20469;3;19;181;767;4280;19683;0;0;17;70;235;1308;1507;8142;1759;5277;9520;WS  6
87;"Noordbrabant;  20.001 -  50.000 inwoners";2549;8666;7;35;2542;8631;6997;13994;30151;6;23;745;2979;6246;27149;3;17;88;385;825;4089;3613;17936;4529;13587;22427;WS  6
88;"Limburg;     500 of minder inwoners";20;32;0;0;20;32;110;220;399;0;0;2;8;108;391;0;0;0;0;12;50;108;486;120;360;536;WS 50
89;"Limburg;     501 -   1.000 inwoners";115;286;0;0;115;286;824;1648;3272;0;0;30;124;794;3148;0;0;5;31;84;396;1064;4964;1153;3459;5391;WS 50
90;"Limburg;   1.001 -   2.000 inwoners";510;1432;0;0;510;1432;2566;5132;10673;0;0;128;543;2438;10130;0;0;21;123;248;1225;2555;12379;2824;8472;13727;WS 50
91;"Limburg;   2.001 -   5.000 inwoners";417;979;1;1;416;978;2131;4262;8306;0;0;66;256;2065;8050;0;0;16;89;170;823;2655;12598;2841;8523;13510;WS 50
92;"Limburg;   5.001 -  10.000 inwoners";630;1424;0;0;630;1424;2875;5750;11452;2;9;97;351;2776;11092;2;10;20;88;197;929;2792;13755;3011;9033;14782;WS 50
93;"Limburg;  10.001 -  20.000 inwoners";304;693;2;2;302;691;929;1858;3314;0;0;52;171;877;3143;0;0;11;41;129;573;912;3957;1052;3156;4571;WS 50
94;"Limburg;  20.001 -  50.000 inwoners";2317;7202;0;0;2317;7202;2420;4840;11302;0;0;146;670;2274;10632;0;0;7;19;138;628;775;3762;920;2760;4409;WS 50
95;Achtkarspelen, Totaal;1937;8080;32;161;1905;7919;444;888;2239;0;0;21;108;423;2131;0;0;0;0;10;60;151;731;161;483;791;WS 30
96;Achtkarspelen, Wijk Twijzel;247;1035;0;0;247;1035;55;110;272;0;0;1;7;54;265;0;0;0;0;2;11;19;84;21;63;95;WS 30
97;Achtkarspelen, Wijk H. Opeinde;217;944;30;153;187;791;22;44;95;0;0;3;13;19;82;0;0;0;0;1;5;2;8;3;9;13;WS 30
98;Achtkarspelen, Wijk Lutjepost;4;16;0;0;4;16;1;2;7;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;WS 30
99;Achtkarspelen, Wijk Surhuisterveen;405;1743;0;0;405;1743;77;154;369;0;0;8;47;69;322;0;0;0;0;0;0;25;137;25;75;137;WS 30
100;Achtkarspelen, Wijk Rottevalle;70;302;0;0;70;302;19;38;109;0;0;0;0;19;109;0;0;0;0;0;0;7;32;7;21;32;WS 30
101;Achtkarspelen, Wijk Kooten;169;714;0;0;169;714;45;90;234;0;0;1;6;44;228;0;0;0;0;1;4;20;95;21;63;99;WS 30
102;Achtkarspelen, Wijk Gerkeskl. Stroobos;125;490;0;0;125;490;32;64;180;0;0;0;0;32;180;0;0;0;0;3;21;11;52;14;42;73;WS 30
103;Achtkarspelen, Wijk Drogeham;123;488;2;8;121;480;42;84;212;0;0;6;25;36;187;0;0;0;0;2;14;2;10;4;12;24;WS 30
104;Achtkarspelen, Wijk Buitenpost;169;615;0;0;169;615;70;140;311;0;0;2;10;68;301;0;0;0;0;0;0;38;165;38;114;165;WS 30
105;Achtkarspelen, Wijk Augustinusga;134;533;0;0;134;533;30;60;160;0;0;0;0;30;160;0;0;0;0;1;5;16;89;17;51;94;WS 30
106;Achtkarspelen, Wijk Surhuizum;274;1200;0;0;274;1200;51;102;290;0;0;0;0;51;290;0;0;0;0;0;0;11;59;11;33;59;WS 30
107;Alkmaar, Totaal;397;1209;1;5;396;1204;1060;2120;4252;0;0;98;327;962;3925;0;0;13;54;203;884;854;3711;1070;3210;4649;WS 20
108;Alkmaar, Wijk A;56;122;0;0;56;122;115;230;386;0;0;21;62;94;324;0;0;3;12;31;161;136;563;170;510;736;WS 20
109;Alkmaar, Wijk B;55;140;1;5;54;135;147;294;502;0;0;14;37;133;465;0;0;4;18;31;112;95;395;130;390;525;WS 20
110;Alkmaar, Wijk C;37;88;0;0;37;88;119;238;424;0;0;18;46;101;378;0;0;4;15;43;171;115;512;162;486;698;WS 20
111;Alkmaar, Wijk D;157;522;0;0;157;522;216;432;903;0;0;25;91;191;812;0;0;1;6;45;218;141;653;187;561;877;WS 20
112;Alkmaar, Wijk E;43;160;0;0;43;160;294;588;1262;0;0;8;28;286;1234;0;0;1;3;27;114;250;1044;278;834;1161;WS 20
113;Alkmaar, Wijk F;49;177;0;0;49;177;169;338;775;0;0;12;63;157;712;0;0;0;0;26;108;117;544;143;429;652;WS 20
114;Almelo (Stad-), Totaal;202;723;0;0;202;723;936;1872;4151;0;0;32;103;904;4048;0;0;6;30;71;319;293;1341;370;1110;1690;WS 42
115;Almelo (Stad-), Wijk A;1;8;0;0;1;8;42;84;196;0;0;1;6;41;190;0;0;0;0;1;6;29;131;30;90;137;WS 42
116;Almelo (Stad-), Wijk B;11;37;0;0;11;37;82;164;375;0;0;3;3;79;372;0;0;1;5;2;8;12;44;15;45;57;WS 42
117;Almelo (Stad-), Wijk C;17;62;0;0;17;62;190;380;906;0;0;2;2;188;904;0;0;0;0;9;39;38;173;47;141;212;WS 42
118;Almelo (Stad-), Wijk D;23;91;0;0;23;91;49;98;219;0;0;0;0;49;219;0;0;1;4;7;35;24;110;32;96;149;WS 42
119;Almelo (Stad-), Wijk E;11;37;0;0;11;37;47;94;182;0;0;0;0;47;182;0;0;0;0;4;14;9;25;13;39;39;WS 42
120;Almelo (Stad-), Wijk F;29;96;0;0;29;96;55;110;227;0;0;4;13;51;214;0;0;1;8;14;48;21;89;36;108;145;WS 42
121;Almelo (Stad-), Wijk G;23;76;0;0;23;76;56;112;157;0;0;6;21;50;136;0;0;1;2;5;29;17;88;23;69;119;WS 42
122;Almelo (Stad-), Wijk H;10;35;0;0;10;35;16;32;71;0;0;0;0;16;71;0;0;0;0;0;0;12;45;12;36;45;WS 42
123;Almelo (Stad-), Wijk I;30;102;0;0;30;102;62;124;244;0;0;6;20;56;224;0;0;1;6;11;45;30;122;42;126;173;WS 42
124;Almelo (Stad-), Wijk K;4;12;0;0;4;12;73;146;333;0;0;2;9;71;324;0;0;0;0;8;45;15;65;23;69;110;WS 42
125;Almelo (Stad-), Wijk L;6;16;0;0;6;16;71;142;306;0;0;5;24;66;282;0;0;0;0;7;33;59;324;66;198;357;WS 42
126;Almelo (Stad-), Wijk M;20;72;0;0;20;72;119;238;603;0;0;2;4;117;599;0;0;1;5;1;6;2;9;4;12;20;WS 42
127;Almelo (Stad-), Wijk N;17;79;0;0;17;79;74;148;332;0;0;1;1;73;331;0;0;0;0;2;11;25;116;27;81;127;WS 42
128;Amersfoort, Totaal;636;2076;0;0;636;2076;1851;3702;7571;1;2;99;384;1751;7185;0;0;20;72;150;693;401;1951;571;1713;2716;WS 26
129;Amersfoort, Wijk A;74;234;0;0;74;234;176;352;560;0;0;10;37;166;523;0;0;4;14;28;86;20;89;52;156;189;WS 26
130;Amersfoort, Wijk B;40;101;0;0;40;101;92;184;328;0;0;4;22;88;306;0;0;1;5;5;10;22;91;28;84;106;WS 26
131;Amersfoort, Wijk C;72;182;0;0;72;182;195;390;760;0;0;15;47;180;713;0;0;0;0;16;83;37;220;53;159;303;WS 26
132;Amersfoort, Wijk D;113;380;0;0;113;380;223;446;1058;0;0;16;66;207;992;0;0;2;3;10;58;38;163;50;150;224;WS 26
133;Amersfoort, Wijk E;118;395;0;0;118;395;223;446;770;0;0;8;30;215;740;0;0;1;3;8;42;28;126;37;111;171;WS 26
134;Amersfoort, Wijk F;76;224;0;0;76;224;197;394;658;1;2;25;93;171;563;0;0;11;45;17;93;69;289;97;291;427;WS 26
135;Amersfoort, Wijk G;98;392;0;0;98;392;426;852;1959;0;0;10;39;416;1920;0;0;0;0;21;97;125;649;146;438;746;WS 26
136;Amersfoort, Wijk H;20;85;0;0;20;85;97;194;535;0;0;4;21;93;514;0;0;1;2;9;43;21;104;31;93;149;WS 26
137;Amersfoort, Wijk I;25;83;0;0;25;83;222;444;943;0;0;7;29;215;914;0;0;0;0;36;181;41;220;77;231;401;WS 26
138;Amsterdam, Totaal;22359;67214;44;113;22315;67101;30085;60170;122587;25;100;5021;17246;25039;105241;4;12;496;2248;14633;63405;11000;50925;26133;78399;116590;WS 20
139;Amsterdam, Wijk A;282;710;0;0;282;710;183;366;665;0;0;23;69;160;596;0;0;6;28;22;107;65;278;93;279;413;WS 18
140;Amsterdam, Wijk B;115;297;0;0;115;297;161;322;536;0;0;34;113;127;423;0;0;7;31;30;128;47;168;84;252;327;WS 18
141;Amsterdam, Wijk C;296;980;0;0;296;980;383;766;1774;0;0;77;336;306;1438;0;0;19;94;92;471;145;779;256;768;1344;WS 18
142;Amsterdam, Wijk D;153;435;0;0;153;435;152;304;538;0;0;21;63;131;475;0;0;1;6;25;104;43;185;69;207;295;WS 18
143;Amsterdam, Wijk E;203;333;3;5;200;328;187;374;487;0;0;31;84;156;403;1;2;1;3;28;75;53;189;83;249;269;WS 18
144;Amsterdam, Wijk F;161;361;0;0;161;361;200;400;636;0;0;51;155;149;481;0;0;6;32;44;171;60;242;110;330;445;WS 18
145;Amsterdam, Wijk G;140;296;2;7;138;289;219;438;734;0;0;62;167;157;567;0;0;2;8;37;139;55;225;94;282;372;WS 18
146;Amsterdam, Wijk H;366;1142;0;0;366;1142;269;538;1165;0;0;53;182;216;983;0;0;8;45;39;200;42;188;89;267;433;WS 18
147;Amsterdam, Wijk I;316;978;0;0;316;978;247;494;944;1;4;39;143;207;797;0;0;10;48;42;196;77;340;129;387;584;WS 18
148;Amsterdam, Wijk K;316;895;2;2;314;893;446;892;1769;1;5;94;316;351;1448;0;0;17;74;92;387;99;464;208;624;925;WS 18
149;Amsterdam, Wijk L;493;1431;1;1;492;1430;492;984;2051;1;8;105;341;386;1702;2;8;13;59;72;329;111;552;198;594;948;WS 18
150;Amsterdam, Wijk M;372;1030;0;0;372;1030;350;700;1469;0;0;67;262;283;1207;0;0;4;12;53;218;89;410;146;438;640;WS 18
151;Amsterdam, Wijk N;372;1264;5;8;367;1256;446;892;1994;0;0;75;314;371;1680;0;0;11;63;79;396;109;576;199;597;1035;WS 18
152;Amsterdam, Wijk O;583;2059;2;7;581;2052;428;856;2055;5;15;95;463;328;1577;0;0;13;76;72;337;97;506;182;546;919;WS 18
153;Amsterdam, Wijk P;327;1342;0;0;327;1342;372;744;1897;0;0;66;352;306;1545;0;0;11;70;36;199;106;605;153;459;874;WS 18
154;Amsterdam, Wijk Q;289;1232;0;0;289;1232;314;628;1708;0;0;73;384;241;1324;0;0;10;49;80;504;93;558;183;549;1111;WS 18
155;Amsterdam, Wijk R;309;1345;1;7;308;1338;414;828;2340;0;0;94;525;320;1815;0;0;4;21;42;241;79;483;125;375;745;WS 18
