ID;Perioden;TotaalOprichtingen_1;Nijverheid_2;Handel_3;Dienstverlening_4;TotaalWerkzamePersonen_5;Nijverheid_6;Handel_7;Dienstverlening_8
52;2005 3e kwartaal;9.1;2.4;2.3;4.5;13.0;3.1;3.1;6.8
53;2005 4e kwartaal;9.0;2.3;2.2;4.5;12.6;2.8;3.1;6.7
54;2005;40.1;10.3;10.2;19.7;56.6;13.0;14.7;28.9
55;2006 1e kwartaal;12.2;3.1;2.9;6.3;16.6;3.7;4.0;8.8
56;2006 2e kwartaal;11.7;3.5;2.8;5.4;16.9;4.7;4.3;7.9
57;2006 3e kwartaal;10.5;2.7;2.4;5.4;14.8;3.5;3.5;7.8
58;2006 4e kwartaal;8.4;2.3;1.8;4.3;10.9;2.7;2.6;5.6
59;2006;42.8;11.6;9.8;21.4;59.2;14.7;14.4;30.1
60;2007 1e kwartaal;15.0;4.3;3.1;7.6;18.9;5.0;4.0;9.8
61;2007 2e kwartaal;10.2;3.2;2.0;5.1;13.5;3.9;2.7;6.9
62;2007 3e kwartaal;9.5;2.7;1.8;5.0;12.5;3.2;2.7;6.5
63;2007 4e kwartaal;8.0;2.2;1.6;4.3;11.1;2.7;2.4;5.9
64;2007;42.7;12.3;8.4;22.0;56.0;14.9;12.0;29.2
65;2008 1e kwartaal;14.6;3.9;2.7;8.1;19.3;4.8;4.1;10.4
66;2008 2e kwartaal;9.6;2.7;1.7;5.1;12.9;3.5;2.5;6.9
67;2008 3e kwartaal;6.5;1.5;1.2;3.8;9.0;1.9;1.8;5.3
68;2008 4e kwartaal;8.0;1.7;1.4;4.9;10.5;2.0;2.1;6.4
69;2008;38.7;9.8;7.0;21.9;51.7;12.2;10.4;29.0
70;2009 1e kwartaal;11.0;2.0;2.2;6.8;14.6;2.6;2.9;9.2
71;2009 2e kwartaal;8.0;1.6;1.6;4.8;11.2;2.1;2.4;6.7
72;2009 3e kwartaal;8.6;1.5;2.0;5.0;11.0;1.9;2.8;6.3
73;2009 4e kwartaal;7.8;1.3;1.8;4.6;9.7;1.5;2.5;5.7
74;2009;35.4;6.5;7.6;21.3;46.5;8.1;10.5;27.8
75;2010 1e kwartaal;10.2;1.6;2.3;6.2;13.0;2.0;3.2;7.8
76;2010 2e kwartaal;9.2;1.8;2.1;5.3;12.7;2.5;2.9;7.3
77;2010 3e kwartaal;10.1;2.0;2.2;5.8;12.6;2.4;2.9;7.3
78;2010 4e kwartaal;8.4;1.5;1.9;5.0;11.5;1.8;2.7;7.0
79;2010;37.9;7.0;8.5;22.4;49.8;8.7;11.7;29.4
