ID;Vervoerstromen;Goederensoort;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometer_2;VervoerdeContainers_3
298;Totaal;19 Niet identificeerbare goederen: go...;2020;50365.0;6226.0;3665.0
299;Totaal;19 Niet identificeerbare goederen: go...;2021;51413.0;6201.0;3871.0
300;Totaal;20 Overige goederen, n.e.g.;2007;0.0;0.0;
301;Totaal;20 Overige goederen, n.e.g.;2008;0.0;0.0;
302;Totaal;20 Overige goederen, n.e.g.;2009;0.0;0.0;
303;Totaal;20 Overige goederen, n.e.g.;2010;0.0;0.0;
304;Totaal;20 Overige goederen, n.e.g.;2011;0.0;0.0;
305;Totaal;20 Overige goederen, n.e.g.;2012;0.0;0.0;
306;Totaal;20 Overige goederen, n.e.g.;2013;0.0;0.0;
307;Totaal;20 Overige goederen, n.e.g.;2014;0.0;0.0;
308;Totaal;20 Overige goederen, n.e.g.;2015;0.0;0.0;
309;Totaal;20 Overige goederen, n.e.g.;2016;0.0;0.0;
310;Totaal;20 Overige goederen, n.e.g.;2017;0.0;0.0;
311;Totaal;20 Overige goederen, n.e.g.;2018;0.0;0.0;
312;Totaal;20 Overige goederen, n.e.g.;2019;0.0;0.0;
313;Totaal;20 Overige goederen, n.e.g.;2020;0.0;0.0;
314;Totaal;20 Overige goederen, n.e.g.;2021;0.0;0.0;
315;Binnenlands;Totaal;2007;102354.0;10752.0;1105.0
316;Binnenlands;Totaal;2008;97649.0;10971.0;1214.0
317;Binnenlands;Totaal;2009;94384.0;10303.0;1405.0
318;Binnenlands;Totaal;2010;103328.0;11791.0;1520.0
319;Binnenlands;Totaal;2011;105603.0;12225.0;1583.0
320;Binnenlands;Totaal;2012;101670.0;11970.0;1664.0
321;Binnenlands;Totaal;2013;103715.0;12410.0;1749.0
322;Binnenlands;Totaal;2014;111807.0;12814.0;1902.0
323;Binnenlands;Totaal;2015;112368.0;13034.0;1952.0
324;Binnenlands;Totaal;2016;114129.0;13355.0;2002.0
325;Binnenlands;Totaal;2017;113542.0;13097.0;2104.0
326;Binnenlands;Totaal;2018;120984.0;13445.0;2185.0
327;Binnenlands;Totaal;2019;119026.0;13324.0;2371.0
328;Binnenlands;Totaal;2020;120772.0;13154.0;2524.0
329;Binnenlands;Totaal;2021;123970.0;13376.0;2685.0
330;Binnenlands;01 Producten van de landbouw, jacht e...;2007;1899.0;283.0;
331;Binnenlands;01 Producten van de landbouw, jacht e...;2008;2111.0;281.0;
332;Binnenlands;01 Producten van de landbouw, jacht e...;2009;1871.0;247.0;
333;Binnenlands;01 Producten van de landbouw, jacht e...;2010;2406.0;265.0;
334;Binnenlands;01 Producten van de landbouw, jacht e...;2011;2889.0;359.0;
335;Binnenlands;01 Producten van de landbouw, jacht e...;2012;2855.0;344.0;
336;Binnenlands;01 Producten van de landbouw, jacht e...;2013;3555.0;438.0;
337;Binnenlands;01 Producten van de landbouw, jacht e...;2014;4582.0;549.0;
338;Binnenlands;01 Producten van de landbouw, jacht e...;2015;4265.0;507.0;
339;Binnenlands;01 Producten van de landbouw, jacht e...;2016;4621.0;561.0;
340;Binnenlands;01 Producten van de landbouw, jacht e...;2017;4634.0;563.0;
341;Binnenlands;01 Producten van de landbouw, jacht e...;2018;4424.0;552.0;
342;Binnenlands;01 Producten van de landbouw, jacht e...;2019;4613.0;603.0;
343;Binnenlands;01 Producten van de landbouw, jacht e...;2020;4097.0;504.0;
344;Binnenlands;01 Producten van de landbouw, jacht e...;2021;3275.0;407.0;
345;Binnenlands;"02 Steenkool en bruinkool; ruwe aardo...";2007;3687.0;515.0;
346;Binnenlands;"02 Steenkool en bruinkool; ruwe aardo...";2008;3059.0;438.0;
347;Binnenlands;"02 Steenkool en bruinkool; ruwe aardo...";2009;2745.0;360.0;
348;Binnenlands;"02 Steenkool en bruinkool; ruwe aardo...";2010;3151.0;454.0;
349;Binnenlands;"02 Steenkool en bruinkool; ruwe aardo...";2011;2764.0;413.0;
350;Binnenlands;"02 Steenkool en bruinkool; ruwe aardo...";2012;2958.0;418.0;
351;Binnenlands;"02 Steenkool en bruinkool; ruwe aardo...";2013;3246.0;456.0;
