ID;Sex;Age;Nationality;Periods;UnaccompaniedForeignMinor_1
113;Total male and female;10000;Gambian;2009;0
114;Total male and female;10000;Gambian;2010;5
115;Total male and female;10000;Gambian;2011;0
116;Total male and female;10000;Gambian;2012;0
117;Total male and female;10000;Gambian;2013;0
118;Total male and female;10000;Gambian;2014;0
119;Total male and female;10000;Gambian;2015;0
120;Total male and female;10000;Gambian;2016;20
121;Total male and female;10000;Gambian;2017;20
122;Total male and female;10000;Gambian;2018;30
123;Total male and female;10000;Gambian;2019;25
124;Total male and female;10000;Gambian;2020;15
125;Total male and female;10000;Gambian;2021;10
126;Total male and female;10000;Gambian;2022;5
127;Total male and female;10000;Gambian;2023;90
128;Total male and female;10000;Guinean;2008;35
129;Total male and female;10000;Guinean;2009;45
130;Total male and female;10000;Guinean;2010;35
131;Total male and female;10000;Guinean;2011;10
132;Total male and female;10000;Guinean;2012;40
133;Total male and female;10000;Guinean;2013;30
134;Total male and female;10000;Guinean;2014;10
135;Total male and female;10000;Guinean;2015;25
136;Total male and female;10000;Guinean;2016;35
137;Total male and female;10000;Guinean;2017;45
138;Total male and female;10000;Guinean;2018;55
139;Total male and female;10000;Guinean;2019;25
140;Total male and female;10000;Guinean;2020;10
141;Total male and female;10000;Guinean;2021;0
142;Total male and female;10000;Guinean;2022;10
143;Total male and female;10000;Guinean;2023;35
144;Total male and female;10000;Iraqi;2008;185
145;Total male and female;10000;Iraqi;2009;65
146;Total male and female;10000;Iraqi;2010;30
147;Total male and female;10000;Iraqi;2011;25
148;Total male and female;10000;Iraqi;2012;15
149;Total male and female;10000;Iraqi;2013;10
150;Total male and female;10000;Iraqi;2014;15
151;Total male and female;10000;Iraqi;2015;135
152;Total male and female;10000;Iraqi;2016;35
153;Total male and female;10000;Iraqi;2017;20
154;Total male and female;10000;Iraqi;2018;70
155;Total male and female;10000;Iraqi;2019;65
156;Total male and female;10000;Iraqi;2020;20
157;Total male and female;10000;Iraqi;2021;165
158;Total male and female;10000;Iraqi;2022;95
159;Total male and female;10000;Iraqi;2023;335
160;Total male and female;10000;Iranian;2008;5
161;Total male and female;10000;Iranian;2009;20
162;Total male and female;10000;Iranian;2010;15
163;Total male and female;10000;Iranian;2011;10
164;Total male and female;10000;Iranian;2012;10
165;Total male and female;10000;Iranian;2013;10
166;Total male and female;10000;Iranian;2014;5
167;Total male and female;10000;Iranian;2015;25
168;Total male and female;10000;Iranian;2016;20
169;Total male and female;10000;Iranian;2017;5
170;Total male and female;10000;Iranian;2018;25
171;Total male and female;10000;Iranian;2019;20
172;Total male and female;10000;Iranian;2020;5
173;Total male and female;10000;Iranian;2021;5
174;Total male and female;10000;Iranian;2022;10
175;Total male and female;10000;Iranian;2023;15
176;Total male and female;10000;Yemeni;2008;0
177;Total male and female;10000;Yemeni;2009;0
178;Total male and female;10000;Yemeni;2010;0
179;Total male and female;10000;Yemeni;2011;0
180;Total male and female;10000;Yemeni;2012;0
181;Total male and female;10000;Yemeni;2013;5
182;Total male and female;10000;Yemeni;2014;0
183;Total male and female;10000;Yemeni;2015;5
184;Total male and female;10000;Yemeni;2016;0
185;Total male and female;10000;Yemeni;2017;5
186;Total male and female;10000;Yemeni;2018;10
187;Total male and female;10000;Yemeni;2019;25
188;Total male and female;10000;Yemeni;2020;20
189;Total male and female;10000;Yemeni;2021;70
190;Total male and female;10000;Yemeni;2022;190
191;Total male and female;10000;Yemeni;2023;170
192;Total male and female;10000;Moroccan;2008;0
193;Total male and female;10000;Moroccan;2009;0
194;Total male and female;10000;Moroccan;2010;0
195;Total male and female;10000;Moroccan;2011;0
196;Total male and female;10000;Moroccan;2012;5
197;Total male and female;10000;Moroccan;2013;5
198;Total male and female;10000;Moroccan;2014;10
199;Total male and female;10000;Moroccan;2015;10
200;Total male and female;10000;Moroccan;2016;70
201;Total male and female;10000;Moroccan;2017;75
202;Total male and female;10000;Moroccan;2018;145
203;Total male and female;10000;Moroccan;2019;165
204;Total male and female;10000;Moroccan;2020;145
205;Total male and female;10000;Moroccan;2021;135
206;Total male and female;10000;Moroccan;2022;70
207;Total male and female;10000;Moroccan;2023;45
208;Total male and female;10000;Turkish;2008;0
209;Total male and female;10000;Turkish;2009;0
210;Total male and female;10000;Turkish;2010;5
211;Total male and female;10000;Turkish;2011;5
212;Total male and female;10000;Turkish;2012;0
213;Total male and female;10000;Turkish;2013;0
214;Total male and female;10000;Turkish;2014;0
215;Total male and female;10000;Turkish;2015;5
216;Total male and female;10000;Turkish;2016;5
217;Total male and female;10000;Turkish;2017;0
218;Total male and female;10000;Turkish;2018;5
219;Total male and female;10000;Turkish;2019;5
220;Total male and female;10000;Turkish;2020;5
221;Total male and female;10000;Turkish;2021;5
222;Total male and female;10000;Turkish;2022;50
223;Total male and female;10000;Turkish;2023;55
224;Total male and female;10000;Sudanese;2008;5
225;Total male and female;10000;Sudanese;2009;10
226;Total male and female;10000;Sudanese;2010;10
227;Total male and female;10000;Sudanese;2011;0
228;Total male and female;10000;Sudanese;2012;0
229;Total male and female;10000;Sudanese;2013;0
230;Total male and female;10000;Sudanese;2014;0
231;Total male and female;10000;Sudanese;2015;20
232;Total male and female;10000;Sudanese;2016;25
233;Total male and female;10000;Sudanese;2017;60
234;Total male and female;10000;Sudanese;2018;25
235;Total male and female;10000;Sudanese;2019;10
236;Total male and female;10000;Sudanese;2020;20
237;Total male and female;10000;Sudanese;2021;15
238;Total male and female;10000;Sudanese;2022;20
239;Total male and female;10000;Sudanese;2023;240
240;Total male and female;10000;Somali;2008;200
241;Total male and female;10000;Somali;2009;355
242;Total male and female;10000;Somali;2010;120
243;Total male and female;10000;Somali;2011;40
244;Total male and female;10000;Somali;2012;40
245;Total male and female;10000;Somali;2013;10
246;Total male and female;10000;Somali;2014;35
247;Total male and female;10000;Somali;2015;40
248;Total male and female;10000;Somali;2016;25
249;Total male and female;10000;Somali;2017;20
250;Total male and female;10000;Somali;2018;15
251;Total male and female;10000;Somali;2019;25
252;Total male and female;10000;Somali;2020;25
253;Total male and female;10000;Somali;2021;185
254;Total male and female;10000;Somali;2022;320
255;Total male and female;10000;Somali;2023;480
256;Total male and female;10000;Syrian;2008;0
257;Total male and female;10000;Syrian;2009;0
258;Total male and female;10000;Syrian;2010;5
259;Total male and female;10000;Syrian;2011;5
260;Total male and female;10000;Syrian;2012;10
261;Total male and female;10000;Syrian;2013;25
262;Total male and female;10000;Syrian;2014;155
263;Total male and female;10000;Syrian;2015;1455
264;Total male and female;10000;Syrian;2016;180
265;Total male and female;10000;Syrian;2017;135
266;Total male and female;10000;Syrian;2018;170
267;Total male and female;10000;Syrian;2019;310
268;Total male and female;10000;Syrian;2020;445
269;Total male and female;10000;Syrian;2021;1080
270;Total male and female;10000;Syrian;2022;2425
271;Total male and female;10000;Syrian;2023;2795
272;Total male and female;10000;Unknown;2008;10
273;Total male and female;10000;Unknown;2009;25
274;Total male and female;10000;Unknown;2010;15
275;Total male and female;10000;Unknown;2011;15
276;Total male and female;10000;Unknown;2012;0
277;Total male and female;10000;Unknown;2013;0
278;Total male and female;10000;Unknown;2014;10
279;Total male and female;10000;Unknown;2015;15
280;Total male and female;10000;Unknown;2016;35
281;Total male and female;10000;Unknown;2017;25
282;Total male and female;10000;Unknown;2018;25
283;Total male and female;10000;Unknown;2019;35
284;Total male and female;10000;Unknown;2020;30
285;Total male and female;10000;Unknown;2021;70
286;Total male and female;10000;Unknown;2022;70
287;Total male and female;10000;Unknown;2023;70
288;Total male and female;10000;Stateless;2008;5
289;Total male and female;10000;Stateless;2009;0
290;Total male and female;10000;Stateless;2010;5
291;Total male and female;10000;Stateless;2011;5
292;Total male and female;10000;Stateless;2012;5
293;Total male and female;10000;Stateless;2013;0
294;Total male and female;10000;Stateless;2014;50
295;Total male and female;10000;Stateless;2015;220
296;Total male and female;10000;Stateless;2016;30
297;Total male and female;10000;Stateless;2017;5
298;Total male and female;10000;Stateless;2018;0
299;Total male and female;10000;Stateless;2019;0
300;Total male and female;10000;Stateless;2020;0
301;Total male and female;10000;Stateless;2021;0
302;Total male and female;10000;Stateless;2022;0
303;Total male and female;10000;Stateless;2023;0
304;Total male and female;Younger than 14 years;Total;2008;30
305;Total male and female;Younger than 14 years;Total;2009;55
306;Total male and female;Younger than 14 years;Total;2010;45
307;Total male and female;Younger than 14 years;Total;2011;30
308;Total male and female;Younger than 14 years;Total;2012;35
309;Total male and female;Younger than 14 years;Total;2013;35
310;Total male and female;Younger than 14 years;Total;2014;75
311;Total male and female;Younger than 14 years;Total;2015;450
312;Total male and female;Younger than 14 years;Total;2016;155
313;Total male and female;Younger than 14 years;Total;2017;85
314;Total male and female;Younger than 14 years;Total;2018;130
315;Total male and female;Younger than 14 years;Total;2019;180
316;Total male and female;Younger than 14 years;Total;2020;165
317;Total male and female;Younger than 14 years;Total;2021;370
318;Total male and female;Younger than 14 years;Total;2022;500
319;Total male and female;Younger than 14 years;Total;2023;710
320;Total male and female;Younger than 14 years;Afghan;2008;5
321;Total male and female;Younger than 14 years;Afghan;2009;0
322;Total male and female;Younger than 14 years;Afghan;2010;0
323;Total male and female;Younger than 14 years;Afghan;2011;15
324;Total male and female;Younger than 14 years;Afghan;2012;20
325;Total male and female;Younger than 14 years;Afghan;2013;5
326;Total male and female;Younger than 14 years;Afghan;2014;0
327;Total male and female;Younger than 14 years;Afghan;2015;50
328;Total male and female;Younger than 14 years;Afghan;2016;30
329;Total male and female;Younger than 14 years;Afghan;2017;10
330;Total male and female;Younger than 14 years;Afghan;2018;10
331;Total male and female;Younger than 14 years;Afghan;2019;10
332;Total male and female;Younger than 14 years;Afghan;2020;5
333;Total male and female;Younger than 14 years;Afghan;2021;10
334;Total male and female;Younger than 14 years;Afghan;2022;10
335;Total male and female;Younger than 14 years;Afghan;2023;5
336;Total male and female;Younger than 14 years;Albanian;2008;0
337;Total male and female;Younger than 14 years;Albanian;2009;0
338;Total male and female;Younger than 14 years;Albanian;2010;0
339;Total male and female;Younger than 14 years;Albanian;2011;0
340;Total male and female;Younger than 14 years;Albanian;2012;0
341;Total male and female;Younger than 14 years;Albanian;2013;0
342;Total male and female;Younger than 14 years;Albanian;2014;0
343;Total male and female;Younger than 14 years;Albanian;2015;0
344;Total male and female;Younger than 14 years;Albanian;2016;0
345;Total male and female;Younger than 14 years;Albanian;2017;0
346;Total male and female;Younger than 14 years;Albanian;2018;0
347;Total male and female;Younger than 14 years;Albanian;2019;0
348;Total male and female;Younger than 14 years;Albanian;2020;0
349;Total male and female;Younger than 14 years;Albanian;2021;0
350;Total male and female;Younger than 14 years;Albanian;2022;0
351;Total male and female;Younger than 14 years;Albanian;2023;0
352;Total male and female;Younger than 14 years;Algerian;2008;0
353;Total male and female;Younger than 14 years;Algerian;2009;0
354;Total male and female;Younger than 14 years;Algerian;2010;0
355;Total male and female;Younger than 14 years;Algerian;2011;0
356;Total male and female;Younger than 14 years;Algerian;2012;0
357;Total male and female;Younger than 14 years;Algerian;2013;0
358;Total male and female;Younger than 14 years;Algerian;2014;0
359;Total male and female;Younger than 14 years;Algerian;2015;0
360;Total male and female;Younger than 14 years;Algerian;2016;0
361;Total male and female;Younger than 14 years;Algerian;2017;0
362;Total male and female;Younger than 14 years;Algerian;2018;0
363;Total male and female;Younger than 14 years;Algerian;2019;0
364;Total male and female;Younger than 14 years;Algerian;2020;0
365;Total male and female;Younger than 14 years;Algerian;2021;0
366;Total male and female;Younger than 14 years;Algerian;2022;0
367;Total male and female;Younger than 14 years;Algerian;2023;0
368;Total male and female;Younger than 14 years;Chinese;2008;0
369;Total male and female;Younger than 14 years;Chinese;2009;0
370;Total male and female;Younger than 14 years;Chinese;2010;0
371;Total male and female;Younger than 14 years;Chinese;2011;0
372;Total male and female;Younger than 14 years;Chinese;2012;0
373;Total male and female;Younger than 14 years;Chinese;2013;0
374;Total male and female;Younger than 14 years;Chinese;2014;0
375;Total male and female;Younger than 14 years;Chinese;2015;0
376;Total male and female;Younger than 14 years;Chinese;2016;0
377;Total male and female;Younger than 14 years;Chinese;2017;0
378;Total male and female;Younger than 14 years;Chinese;2018;0
379;Total male and female;Younger than 14 years;Chinese;2019;0
380;Total male and female;Younger than 14 years;Chinese;2020;0
381;Total male and female;Younger than 14 years;Chinese;2021;0
382;Total male and female;Younger than 14 years;Chinese;2022;0
383;Total male and female;Younger than 14 years;Chinese;2023;0
384;Total male and female;Younger than 14 years;Eritrean;2008;0
385;Total male and female;Younger than 14 years;Eritrean;2009;0
386;Total male and female;Younger than 14 years;Eritrean;2010;0
387;Total male and female;Younger than 14 years;Eritrean;2011;0
388;Total male and female;Younger than 14 years;Eritrean;2012;0
389;Total male and female;Younger than 14 years;Eritrean;2013;0
390;Total male and female;Younger than 14 years;Eritrean;2014;20
391;Total male and female;Younger than 14 years;Eritrean;2015;40
392;Total male and female;Younger than 14 years;Eritrean;2016;25
393;Total male and female;Younger than 14 years;Eritrean;2017;15
394;Total male and female;Younger than 14 years;Eritrean;2018;20
395;Total male and female;Younger than 14 years;Eritrean;2019;10
396;Total male and female;Younger than 14 years;Eritrean;2020;5
397;Total male and female;Younger than 14 years;Eritrean;2021;5
398;Total male and female;Younger than 14 years;Eritrean;2022;5
399;Total male and female;Younger than 14 years;Eritrean;2023;5
400;Total male and female;Younger than 14 years;Ethiopian;2008;0
401;Total male and female;Younger than 14 years;Ethiopian;2009;0
402;Total male and female;Younger than 14 years;Ethiopian;2010;0
403;Total male and female;Younger than 14 years;Ethiopian;2011;0
404;Total male and female;Younger than 14 years;Ethiopian;2012;0
405;Total male and female;Younger than 14 years;Ethiopian;2013;5
406;Total male and female;Younger than 14 years;Ethiopian;2014;0
407;Total male and female;Younger than 14 years;Ethiopian;2015;0
408;Total male and female;Younger than 14 years;Ethiopian;2016;0
409;Total male and female;Younger than 14 years;Ethiopian;2017;0
410;Total male and female;Younger than 14 years;Ethiopian;2018;0
411;Total male and female;Younger than 14 years;Ethiopian;2019;0
412;Total male and female;Younger than 14 years;Ethiopian;2020;0
413;Total male and female;Younger than 14 years;Ethiopian;2021;0
414;Total male and female;Younger than 14 years;Ethiopian;2022;0
415;Total male and female;Younger than 14 years;Ethiopian;2023;0
416;Total male and female;Younger than 14 years;Gambian;2008;0
417;Total male and female;Younger than 14 years;Gambian;2009;0
418;Total male and female;Younger than 14 years;Gambian;2010;0
419;Total male and female;Younger than 14 years;Gambian;2011;0
420;Total male and female;Younger than 14 years;Gambian;2012;0
421;Total male and female;Younger than 14 years;Gambian;2013;0
422;Total male and female;Younger than 14 years;Gambian;2014;0
423;Total male and female;Younger than 14 years;Gambian;2015;0
424;Total male and female;Younger than 14 years;Gambian;2016;0
425;Total male and female;Younger than 14 years;Gambian;2017;0
426;Total male and female;Younger than 14 years;Gambian;2018;0
427;Total male and female;Younger than 14 years;Gambian;2019;0
428;Total male and female;Younger than 14 years;Gambian;2020;0
429;Total male and female;Younger than 14 years;Gambian;2021;0
430;Total male and female;Younger than 14 years;Gambian;2022;0
431;Total male and female;Younger than 14 years;Gambian;2023;0
432;Total male and female;Younger than 14 years;Guinean;2008;0
433;Total male and female;Younger than 14 years;Guinean;2009;0
434;Total male and female;Younger than 14 years;Guinean;2010;0
435;Total male and female;Younger than 14 years;Guinean;2011;0
436;Total male and female;Younger than 14 years;Guinean;2012;0
437;Total male and female;Younger than 14 years;Guinean;2013;0
438;Total male and female;Younger than 14 years;Guinean;2014;0
439;Total male and female;Younger than 14 years;Guinean;2015;5
440;Total male and female;Younger than 14 years;Guinean;2016;0
441;Total male and female;Younger than 14 years;Guinean;2017;0
442;Total male and female;Younger than 14 years;Guinean;2018;0
443;Total male and female;Younger than 14 years;Guinean;2019;5
444;Total male and female;Younger than 14 years;Guinean;2020;0
445;Total male and female;Younger than 14 years;Guinean;2021;0
446;Total male and female;Younger than 14 years;Guinean;2022;0
447;Total male and female;Younger than 14 years;Guinean;2023;0
448;Total male and female;Younger than 14 years;Iraqi;2008;5
449;Total male and female;Younger than 14 years;Iraqi;2009;0
450;Total male and female;Younger than 14 years;Iraqi;2010;0
451;Total male and female;Younger than 14 years;Iraqi;2011;0
452;Total male and female;Younger than 14 years;Iraqi;2012;0
453;Total male and female;Younger than 14 years;Iraqi;2013;0
454;Total male and female;Younger than 14 years;Iraqi;2014;0
455;Total male and female;Younger than 14 years;Iraqi;2015;15
456;Total male and female;Younger than 14 years;Iraqi;2016;10
457;Total male and female;Younger than 14 years;Iraqi;2017;0
458;Total male and female;Younger than 14 years;Iraqi;2018;25
459;Total male and female;Younger than 14 years;Iraqi;2019;20
460;Total male and female;Younger than 14 years;Iraqi;2020;5
461;Total male and female;Younger than 14 years;Iraqi;2021;80
462;Total male and female;Younger than 14 years;Iraqi;2022;35
463;Total male and female;Younger than 14 years;Iraqi;2023;160
464;Total male and female;Younger than 14 years;Iranian;2008;0
465;Total male and female;Younger than 14 years;Iranian;2009;0
466;Total male and female;Younger than 14 years;Iranian;2010;0
467;Total male and female;Younger than 14 years;Iranian;2011;0
468;Total male and female;Younger than 14 years;Iranian;2012;0
469;Total male and female;Younger than 14 years;Iranian;2013;0
470;Total male and female;Younger than 14 years;Iranian;2014;0
471;Total male and female;Younger than 14 years;Iranian;2015;0
472;Total male and female;Younger than 14 years;Iranian;2016;0
473;Total male and female;Younger than 14 years;Iranian;2017;0
474;Total male and female;Younger than 14 years;Iranian;2018;5
475;Total male and female;Younger than 14 years;Iranian;2019;5
476;Total male and female;Younger than 14 years;Iranian;2020;0
477;Total male and female;Younger than 14 years;Iranian;2021;0
478;Total male and female;Younger than 14 years;Iranian;2022;0
479;Total male and female;Younger than 14 years;Iranian;2023;0
480;Total male and female;Younger than 14 years;Yemeni;2008;0
481;Total male and female;Younger than 14 years;Yemeni;2009;0
482;Total male and female;Younger than 14 years;Yemeni;2010;0
483;Total male and female;Younger than 14 years;Yemeni;2011;0
484;Total male and female;Younger than 14 years;Yemeni;2012;0
485;Total male and female;Younger than 14 years;Yemeni;2013;0
486;Total male and female;Younger than 14 years;Yemeni;2014;0
487;Total male and female;Younger than 14 years;Yemeni;2015;0
488;Total male and female;Younger than 14 years;Yemeni;2016;0
489;Total male and female;Younger than 14 years;Yemeni;2017;0
490;Total male and female;Younger than 14 years;Yemeni;2018;0
491;Total male and female;Younger than 14 years;Yemeni;2019;5
492;Total male and female;Younger than 14 years;Yemeni;2020;0
493;Total male and female;Younger than 14 years;Yemeni;2021;5
494;Total male and female;Younger than 14 years;Yemeni;2022;5
495;Total male and female;Younger than 14 years;Yemeni;2023;5
496;Total male and female;Younger than 14 years;Moroccan;2008;0
497;Total male and female;Younger than 14 years;Moroccan;2009;0
498;Total male and female;Younger than 14 years;Moroccan;2010;0
499;Total male and female;Younger than 14 years;Moroccan;2011;0
500;Total male and female;Younger than 14 years;Moroccan;2012;0
501;Total male and female;Younger than 14 years;Moroccan;2013;0
502;Total male and female;Younger than 14 years;Moroccan;2014;0
503;Total male and female;Younger than 14 years;Moroccan;2015;0
504;Total male and female;Younger than 14 years;Moroccan;2016;0
505;Total male and female;Younger than 14 years;Moroccan;2017;5
506;Total male and female;Younger than 14 years;Moroccan;2018;5
507;Total male and female;Younger than 14 years;Moroccan;2019;5
508;Total male and female;Younger than 14 years;Moroccan;2020;10
509;Total male and female;Younger than 14 years;Moroccan;2021;10
510;Total male and female;Younger than 14 years;Moroccan;2022;5
511;Total male and female;Younger than 14 years;Moroccan;2023;5
512;Total male and female;Younger than 14 years;Turkish;2008;0
513;Total male and female;Younger than 14 years;Turkish;2009;0
514;Total male and female;Younger than 14 years;Turkish;2010;0
515;Total male and female;Younger than 14 years;Turkish;2011;0
516;Total male and female;Younger than 14 years;Turkish;2012;0
517;Total male and female;Younger than 14 years;Turkish;2013;0
518;Total male and female;Younger than 14 years;Turkish;2014;0
519;Total male and female;Younger than 14 years;Turkish;2015;0
520;Total male and female;Younger than 14 years;Turkish;2016;0
521;Total male and female;Younger than 14 years;Turkish;2017;0
522;Total male and female;Younger than 14 years;Turkish;2018;0
523;Total male and female;Younger than 14 years;Turkish;2019;0
524;Total male and female;Younger than 14 years;Turkish;2020;0
525;Total male and female;Younger than 14 years;Turkish;2021;0
526;Total male and female;Younger than 14 years;Turkish;2022;0
527;Total male and female;Younger than 14 years;Turkish;2023;5
528;Total male and female;Younger than 14 years;Sudanese;2008;0
529;Total male and female;Younger than 14 years;Sudanese;2009;0
530;Total male and female;Younger than 14 years;Sudanese;2010;0
531;Total male and female;Younger than 14 years;Sudanese;2011;0
532;Total male and female;Younger than 14 years;Sudanese;2012;0
533;Total male and female;Younger than 14 years;Sudanese;2013;0
534;Total male and female;Younger than 14 years;Sudanese;2014;0
535;Total male and female;Younger than 14 years;Sudanese;2015;0
536;Total male and female;Younger than 14 years;Sudanese;2016;0
537;Total male and female;Younger than 14 years;Sudanese;2017;0
538;Total male and female;Younger than 14 years;Sudanese;2018;0
539;Total male and female;Younger than 14 years;Sudanese;2019;0
540;Total male and female;Younger than 14 years;Sudanese;2020;0
541;Total male and female;Younger than 14 years;Sudanese;2021;0
542;Total male and female;Younger than 14 years;Sudanese;2022;0
543;Total male and female;Younger than 14 years;Sudanese;2023;0
544;Total male and female;Younger than 14 years;Somali;2008;10
545;Total male and female;Younger than 14 years;Somali;2009;15
546;Total male and female;Younger than 14 years;Somali;2010;15
547;Total male and female;Younger than 14 years;Somali;2011;5
548;Total male and female;Younger than 14 years;Somali;2012;5
549;Total male and female;Younger than 14 years;Somali;2013;0
550;Total male and female;Younger than 14 years;Somali;2014;5
551;Total male and female;Younger than 14 years;Somali;2015;5
552;Total male and female;Younger than 14 years;Somali;2016;10
553;Total male and female;Younger than 14 years;Somali;2017;0
554;Total male and female;Younger than 14 years;Somali;2018;0
555;Total male and female;Younger than 14 years;Somali;2019;0
556;Total male and female;Younger than 14 years;Somali;2020;5
557;Total male and female;Younger than 14 years;Somali;2021;20
558;Total male and female;Younger than 14 years;Somali;2022;15
559;Total male and female;Younger than 14 years;Somali;2023;25
560;Total male and female;Younger than 14 years;Syrian;2008;0
561;Total male and female;Younger than 14 years;Syrian;2009;0
562;Total male and female;Younger than 14 years;Syrian;2010;0
563;Total male and female;Younger than 14 years;Syrian;2011;0
564;Total male and female;Younger than 14 years;Syrian;2012;0
565;Total male and female;Younger than 14 years;Syrian;2013;0
566;Total male and female;Younger than 14 years;Syrian;2014;25
567;Total male and female;Younger than 14 years;Syrian;2015;265
568;Total male and female;Younger than 14 years;Syrian;2016;45
569;Total male and female;Younger than 14 years;Syrian;2017;30
570;Total male and female;Younger than 14 years;Syrian;2018;50
571;Total male and female;Younger than 14 years;Syrian;2019;95
572;Total male and female;Younger than 14 years;Syrian;2020;120
573;Total male and female;Younger than 14 years;Syrian;2021;215
574;Total male and female;Younger than 14 years;Syrian;2022;400
575;Total male and female;Younger than 14 years;Syrian;2023;465
576;Total male and female;Younger than 14 years;Unknown;2008;0
577;Total male and female;Younger than 14 years;Unknown;2009;0
