ID;Waterusers;Periods;TotalUseOfTapWater_1;UseOfDrinkingWater_2;UseOfIndustrialWater_3;UseOfIndustrialWaterForCooling_4;OtherUseOfIndustrialWater_5;TotalUseOfGroundwater_6;UseOfGroundwaterForCooling_7;OtherUseOfGroundwater_8;TotalUseOfSurfaceWater_9;TotalUseOfFreshSurfaceWater_10;UseOfFreshSurfaceWaterForCooling_11;OtherUseOfFreshSurfaceWater_12;TotalUseOfSaltSurfaceWater_13;UseOfSaltSurfaceWaterForCooling_14;OtherUseOfSaltSurfaceWater_15
89;B Mining and quarrying;2008;3.8;3.8;0.0;;;0.1;0.0;0.0;35.5;0.8;;;34.7;;
90;B Mining and quarrying;2009;3.6;3.6;0.0;;;0.1;0.0;0.0;36.4;0.8;;;35.7;;
91;B Mining and quarrying;2010;3.6;3.6;0.0;;;0.1;0.0;0.0;28.0;0.7;;;27.3;;
92;B Mining and quarrying;2011;3.7;3.7;0.0;;;0.1;0.0;0.0;36.6;0.8;;;35.9;;
93;B Mining and quarrying;2012;3.2;3.2;0.0;;;0.1;0.0;0.0;30.4;0.7;;;29.7;;
94;B Mining and quarrying;2013;3.0;3.0;0.0;;;0.1;0.0;0.0;25.1;0.7;;;24.4;;
95;B Mining and quarrying;2014;2.7;2.7;0.0;;;0.1;0.0;0.0;31.9;0.7;;;31.2;;
96;B Mining and quarrying;2015;2.5;2.5;0.0;;;0.1;0.0;0.0;34.0;0.7;;;33.3;;
97;B Mining and quarrying;2016;2.5;2.5;0.0;;;0.1;0.0;0.0;33.2;0.7;;;32.5;;
98;B Mining and quarrying;2017;2.6;2.6;0.0;;;0.0;0.0;0.0;35.3;0.7;;;34.6;;
99;B Mining and quarrying;2018;2.9;2.9;0.0;;;0.1;0.0;0.0;36.2;0.8;;;35.4;;
100;B Mining and quarrying;2019;2.2;2.2;0.0;;;0.1;0.0;0.1;27.7;0.0;;;27.7;;
101;B Mining and quarrying;2020;2.3;2.3;0.0;;;0.3;0.0;0.3;29.1;2.4;;;26.7;;
102;B Mining and quarrying;2021;2.4;2.4;0.0;;;0.1;0.0;0.1;32.3;2.7;;;29.6;;
103;B Mining and quarrying;2022;;;;;;0.1;0.0;0.1;33.5;2.8;0.0;2.8;30.7;29.4;1.3
104;B Mining and quarrying;2023;;;;;;0.1;0.0;0.1;36.3;2.1;0.0;2.1;34.2;32.9;1.3
105;C Manufacturing;2003;219.4;149.7;69.7;;;215.0;103.5;111.5;3716.0;2911.4;;;804.5;;
106;C Manufacturing;2004;216.8;147.3;69.5;;;216.2;115.3;100.9;3653.7;2857.2;;;796.4;;
107;C Manufacturing;2005;213.5;142.8;70.7;;;181.0;98.4;82.6;3188.9;2479.6;;;709.4;;
108;C Manufacturing;2006;213.8;143.2;70.6;;;179.3;99.4;79.9;3229.1;2528.9;;;700.2;;
109;C Manufacturing;2007;213.8;142.9;70.9;;;173.3;90.9;82.4;3212.5;2527.8;;;684.7;;
110;C Manufacturing;2008;213.5;144.2;69.3;;;172.1;92.7;79.4;3347.9;2745.5;;;602.5;;
111;C Manufacturing;2009;208.0;140.2;67.8;;;176.3;88.4;87.9;3669.5;3073.1;;;596.5;;
112;C Manufacturing;2010;209.4;138.0;71.4;;;135.7;64.7;71.0;3368.6;2738.9;;;629.7;;
113;C Manufacturing;2011;206.1;133.6;72.5;;;138.4;64.3;74.1;3407.8;2787.1;;;620.7;;
114;C Manufacturing;2012;200.8;131.2;69.6;;;134.1;64.5;69.6;3452.5;2837.1;;;615.4;;
115;C Manufacturing;2013;207.5;135.4;72.1;;;140.2;74.3;65.9;3312.8;2696.5;;;616.3;;
116;C Manufacturing;2014;201.8;129.6;72.2;;;141.0;71.2;69.8;3012.7;2381.2;;;631.5;;
117;C Manufacturing;2015;196.3;128.3;68.0;;;143.3;71.8;71.5;2697.6;2082.4;;;615.2;;
118;C Manufacturing;2016;200.5;128.1;72.4;;;143.8;74.2;69.6;3007.3;2396.9;;;610.4;;
119;C Manufacturing;2017;205.9;136.2;69.7;;;130.2;60.1;70.1;2999.1;2390.7;;;608.4;;
120;C Manufacturing;2018;202.4;132.0;70.4;;;132.3;62.7;69.5;2980.0;2326.1;;;653.9;;
121;C Manufacturing;2019;213.0;144.6;68.4;;;127.6;61.3;66.4;2906.3;2285.2;;;621.1;;
122;C Manufacturing;2020;208.9;140.1;68.9;;;113.2;50.0;63.2;2976.5;2307.6;;;669.0;;
123;C Manufacturing;2021;218.6;150.2;68.4;;;108.5;46.2;62.4;3266.8;2506.7;;;760.1;;
124;C Manufacturing;2022;;;;;;127.9;58.3;69.6;2922.8;2223.6;;;699.2;698.6;0.6
125;C Manufacturing;2023;;;;;;98.5;38.5;60.0;2722.4;2006.8;;;715.6;715.0;0.6
126;10 Manufacture of food products;2003;46.8;46.8;0.0;;;68.6;26.8;41.8;157.2;157.2;;;0.0;;
127;10 Manufacture of food products;2004;43.8;43.8;0.0;;;51.9;23.6;28.3;171.5;171.5;;;0.0;;
128;10 Manufacture of food products;2005;43.9;43.9;0.0;;;47.1;21.7;25.4;150.1;150.1;;;0.0;;
129;10 Manufacture of food products;2006;45.5;44.0;1.5;;;45.3;20.3;25.0;153.5;153.5;;;0.0;;
130;10 Manufacture of food products;2007;44.6;43.1;1.5;;;44.0;21.2;22.7;156.3;156.3;;;0.0;;
131;10 Manufacture of food products;2008;48.8;47.2;1.6;;;47.9;21.7;26.2;173.3;173.3;;;0.0;;
132;10 Manufacture of food products;2009;56.5;54.9;1.6;;;48.3;21.8;26.5;170.6;164.0;;;6.6;;
133;10 Manufacture of food products;2010;52.2;50.7;1.5;;;40.2;17.4;22.7;178.3;169.1;;;9.1;;
134;10 Manufacture of food products;2011;55.9;54.3;1.6;;;42.5;18.4;24.1;182.3;169.6;;;12.7;;
135;10 Manufacture of food products;2012;55.7;54.0;1.7;;;46.3;22.4;23.9;210.1;200.4;;;9.8;;
136;10 Manufacture of food products;2013;54.0;52.3;1.7;;;39.5;19.6;19.9;211.1;202.0;;;9.1;;
137;10 Manufacture of food products;2014;51.8;50.1;1.7;;;43.2;22.1;21.2;173.3;163.6;;;9.7;;
138;10 Manufacture of food products;2015;48.4;46.6;1.8;;;42.8;21.4;21.4;158.6;149.0;;;9.6;;
139;10 Manufacture of food products;2016;47.9;46.1;1.8;;;40.9;20.9;20.0;153.6;144.4;;;9.1;;
140;10 Manufacture of food products;2017;50.1;48.4;1.7;;;30.3;9.3;21.1;157.6;147.9;;;9.7;;
141;10 Manufacture of food products;2018;51.1;49.7;1.4;;;27.1;7.6;19.5;179.9;169.9;;;10.0;;
142;10 Manufacture of food products;2019;54.7;52.6;2.1;;;34.7;16.0;18.7;170.8;161.1;;;9.7;;
143;10 Manufacture of food products;2020;56.0;54.4;1.7;;;25.5;6.4;19.0;159.0;148.5;;;10.5;;
144;10 Manufacture of food products;2021;60.4;58.5;1.9;;;25.0;6.8;18.1;179.6;168.4;;;11.2;;
145;10 Manufacture of food products;2022;;;;;;23.7;5.1;18.6;164.9;155.7;83.7;72.1;9.2;9.2;0.0
146;10 Manufacture of food products;2023;;;;;;18.6;4.1;14.5;124.7;117.4;71.8;45.6;7.3;7.3;0.0
147;11 Manufacture of beverages;2003;18.1;18.1;0.0;;;10.0;1.0;9.1;0.0;0.0;;;0.0;;
148;11 Manufacture of beverages;2004;16.0;16.0;0.0;;;11.9;1.0;10.9;0.0;0.0;;;0.0;;
149;11 Manufacture of beverages;2005;15.8;15.8;0.0;;;11.4;0.4;11.0;0.0;0.0;;;0.0;;
150;11 Manufacture of beverages;2006;18.3;18.3;0.0;;;13.3;2.0;11.3;0.0;0.0;;;0.0;;
151;11 Manufacture of beverages;2007;17.8;17.8;0.0;;;10.1;0.5;9.7;0.0;0.0;;;0.0;;
152;11 Manufacture of beverages;2008;15.4;15.4;0.0;;;8.2;1.0;7.2;0.0;0.0;;;0.0;;
153;11 Manufacture of beverages;2009;9.4;9.4;0.0;;;15.6;1.2;14.5;0.0;0.0;;;0.0;;
154;11 Manufacture of beverages;2010;9.0;9.0;0.0;;;19.8;5.9;13.9;0.0;0.0;;;0.0;;
155;11 Manufacture of beverages;2011;8.3;8.3;0.0;;;19.0;5.2;13.8;0.0;0.0;;;0.0;;
156;11 Manufacture of beverages;2012;8.4;8.4;0.0;;;10.2;0.8;9.4;0.0;0.0;;;0.0;;
157;11 Manufacture of beverages;2013;9.8;9.8;0.0;;;13.9;4.2;9.7;0.0;0.0;;;0.0;;
158;11 Manufacture of beverages;2014;8.2;8.2;0.0;;;16.2;3.1;13.1;0.0;0.0;;;0.0;;
159;11 Manufacture of beverages;2015;6.8;6.8;0.0;;;16.9;3.3;13.7;0.0;0.0;;;0.0;;
160;11 Manufacture of beverages;2016;7.2;7.2;0.0;;;15.5;2.6;12.9;0.0;0.0;;;0.0;;
161;11 Manufacture of beverages;2017;5.8;5.8;0.0;;;14.6;1.2;13.4;0.0;0.0;;;0.0;;
162;11 Manufacture of beverages;2018;6.7;6.7;0.0;;;16.4;1.4;15.0;0.0;0.0;;;0.0;;
163;11 Manufacture of beverages;2019;6.1;6.1;0.0;;;13.8;0.9;12.9;0.0;0.0;;;0.0;;
164;11 Manufacture of beverages;2020;6.0;6.0;0.0;;;13.8;1.2;12.6;0.0;0.0;;;0.0;;
165;11 Manufacture of beverages;2021;6.4;6.4;0.0;;;14.6;1.1;13.5;0.0;0.0;;;0.0;;
166;11 Manufacture of beverages;2022;;;;;;16.4;1.1;15.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0
167;11 Manufacture of beverages;2023;;;;;;17.0;1.2;15.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
168;12 Manufacture of tobacco products;2003;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
169;12 Manufacture of tobacco products;2004;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
170;12 Manufacture of tobacco products;2005;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
171;12 Manufacture of tobacco products;2006;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
172;12 Manufacture of tobacco products;2007;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
173;12 Manufacture of tobacco products;2008;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
174;12 Manufacture of tobacco products;2009;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
175;12 Manufacture of tobacco products;2010;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
176;12 Manufacture of tobacco products;2011;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
177;12 Manufacture of tobacco products;2012;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
178;12 Manufacture of tobacco products;2013;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
179;12 Manufacture of tobacco products;2014;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
180;12 Manufacture of tobacco products;2015;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
181;12 Manufacture of tobacco products;2016;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
182;12 Manufacture of tobacco products;2017;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
183;12 Manufacture of tobacco products;2018;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
184;12 Manufacture of tobacco products;2019;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
185;12 Manufacture of tobacco products;2020;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
186;12 Manufacture of tobacco products;2021;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
187;12 Manufacture of tobacco products;2022;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
188;12 Manufacture of tobacco products;2023;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
189;13 Manufacture of textiles;2003;3.4;3.4;0.0;;;6.0;0.5;5.4;4.3;4.3;;;0.0;;
190;13 Manufacture of textiles;2004;2.7;2.7;0.0;;;5.4;0.5;4.9;5.1;5.1;;;0.0;;
191;13 Manufacture of textiles;2005;2.5;2.5;0.0;;;5.4;0.5;4.9;5.9;5.9;;;0.0;;
192;13 Manufacture of textiles;2006;2.6;2.6;0.0;;;4.1;0.5;3.6;4.3;4.3;;;0.0;;
193;13 Manufacture of textiles;2007;2.9;2.9;0.0;;;4.4;0.6;3.8;5.5;5.5;;;0.0;;
194;13 Manufacture of textiles;2008;3.3;3.3;0.0;;;4.5;0.6;4.0;8.0;8.0;;;0.0;;
195;13 Manufacture of textiles;2009;2.1;2.1;0.0;;;2.1;0.3;1.8;0.0;0.0;;;0.0;;
196;13 Manufacture of textiles;2010;2.5;2.5;0.0;;;2.3;0.4;1.9;0.0;0.0;;;0.0;;
197;13 Manufacture of textiles;2011;2.5;2.5;0.0;;;2.5;0.5;2.0;4.5;4.5;;;0.0;;
198;13 Manufacture of textiles;2012;1.6;1.6;0.0;;;2.1;0.3;1.8;4.9;4.9;;;0.0;;
199;13 Manufacture of textiles;2013;1.8;1.8;0.0;;;2.1;0.3;1.8;4.8;4.8;;;0.0;;
200;13 Manufacture of textiles;2014;1.7;1.7;0.0;;;2.1;0.3;1.8;4.9;4.9;;;0.0;;
201;13 Manufacture of textiles;2015;1.4;1.4;0.0;;;2.2;0.4;1.8;4.5;4.5;;;0.0;;
202;13 Manufacture of textiles;2016;1.3;1.3;0.0;;;2.4;0.4;2.0;4.6;4.6;;;0.0;;
203;13 Manufacture of textiles;2017;1.4;1.4;0.0;;;1.8;0.4;1.4;6.1;6.1;;;0.0;;
204;13 Manufacture of textiles;2018;0.8;0.8;0.0;;;3.2;0.6;2.5;3.3;3.3;;;0.0;;
205;13 Manufacture of textiles;2019;0.7;0.7;0.0;;;2.1;0.3;1.8;0.9;0.9;;;0.0;;
206;13 Manufacture of textiles;2020;1.3;1.3;0.0;;;0.9;0.1;0.8;5.1;5.1;;;0.0;;
207;13 Manufacture of textiles;2021;1.6;1.6;0.0;;;1.4;0.1;1.3;4.5;4.5;;;0.0;;
208;13 Manufacture of textiles;2022;;;;;;1.3;0.1;1.2;4.4;4.4;0.0;4.4;0.0;0.0;0.0
209;13 Manufacture of textiles;2023;;;;;;1.2;0.1;1.1;4.1;4.1;0.0;4.1;0.0;0.0;0.0
210;14 Manufacture of wearing apparel;2003;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
211;14 Manufacture of wearing apparel;2004;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
212;14 Manufacture of wearing apparel;2005;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
213;14 Manufacture of wearing apparel;2006;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
214;14 Manufacture of wearing apparel;2007;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
215;14 Manufacture of wearing apparel;2008;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
216;14 Manufacture of wearing apparel;2009;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
217;14 Manufacture of wearing apparel;2010;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
218;14 Manufacture of wearing apparel;2011;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
219;14 Manufacture of wearing apparel;2012;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
220;14 Manufacture of wearing apparel;2013;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
221;14 Manufacture of wearing apparel;2014;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
222;14 Manufacture of wearing apparel;2015;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
223;14 Manufacture of wearing apparel;2016;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
224;14 Manufacture of wearing apparel;2017;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
225;14 Manufacture of wearing apparel;2018;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
226;14 Manufacture of wearing apparel;2019;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
227;14 Manufacture of wearing apparel;2020;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
228;14 Manufacture of wearing apparel;2021;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
229;14 Manufacture of wearing apparel;2022;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
230;14 Manufacture of wearing apparel;2023;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
231;15 Manufacture of leather and footwear;2003;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
232;15 Manufacture of leather and footwear;2004;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
233;15 Manufacture of leather and footwear;2005;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
