ID;BedrijfstakBranchesSBI2008;Perioden;Werknemer_1;WerkzamePersoon_2;Werknemer_3;WerkzamePersoon_4;Totaal_5;NettoOmzet_6;OverigeBedrijfsopbrengsten_7;Totaal_8;InkoopwaardeOmzet_9;Totaal_10;Brutolonen_11;Totaal_12;SocialeVerzekeringspremiesWerkgever_13;PremiesPensioenVutInkoopsommen_14;OverigeSocialeLasten_15;OverigePersoneleKosten_16;Totaal_17;KostenEnergieverbruik_18;Huisvestingskosten_19;KostenApparatuurEnInventaris_20;KostenVervoermiddelen_21;Verkoopkosten_22;Communicatiekosten_23;KostenVanOverigeDiensten_24;NietEerderGenoemdeBedrijfskosten_25;AfschrijvingenOpVasteActiva_26;Bedrijfsresultaat_27;SaldoFinancieleBatenEnLasten_28;SaldoVoorzieningen_29;SaldoBuitengewoneBatenEnLasten_30;ResultaatVoorBelastingen_31
28;494 Goederenvervoer over de weg;2012;113.8;134.7;100.1;118.0;19725.0;19604.0;121.0;18829.0;6000.0;5729.0;4014.0;1015.0;590.0;425.0;38.0;663.0;6012.0;73.0;446.0;117.0;4140.0;106.0;84.0;540.0;507.0;1088.0;896.0;-57.0;-4.0;67.0;902.0
29;494 Goederenvervoer over de weg;2013;111.0;133.8;97.0;116.4;19369.0;19247.0;122.0;18382.0;6060.0;5657.0;3906.0;1013.0;587.0;426.0;36.0;703.0;5705.0;73.0;429.0;124.0;3914.0;101.0;77.0;524.0;464.0;960.0;987.0;-33.0;-11.0;46.0;988.0
30;4941 Goederenwegvervoer (geen verhuis-);2009;113.3;134.8;97.7;113.0;17136.0;17016.0;120.0;16601.0;5053.0;5285.0;3783.0;905.0;517.0;388.0;43.0;554.0;5180.0;79.0;387.0;120.0;3289.0;93.0;102.0;610.0;500.0;1084.0;535.0;-168.0;-9.0;66.0;424.0
31;4941 Goederenwegvervoer (geen verhuis-);2010;108.0;129.2;94.4;111.3;17902.0;17767.0;135.0;17158.0;5490.0;5304.0;3738.0;917.0;525.0;392.0;35.0;614.0;5287.0;79.0;374.0;113.0;3506.0;97.0;86.0;528.0;505.0;1078.0;744.0;-114.0;-10.0;88.0;707.0
32;4941 Goederenwegvervoer (geen verhuis-);2011;113.9;134.3;99.7;116.8;19349.0;19210.0;139.0;18432.0;5785.0;5652.0;3968.0;977.0;572.0;405.0;33.0;673.0;5910.0;76.0;423.0;112.0;4090.0;100.0;88.0;524.0;498.0;1085.0;917.0;-123.0;-9.0;59.0;845.0
33;4941 Goederenwegvervoer (geen verhuis-);2012;109.9;129.6;96.8;114.0;19299.0;19183.0;115.0;18439.0;5899.0;5555.0;3895.0;984.0;573.0;412.0;37.0;639.0;5917.0;70.0;422.0;116.0;4100.0;100.0;81.0;531.0;496.0;1068.0;860.0;-50.0;-4.0;69.0;875.0
34;4941 Goederenwegvervoer (geen verhuis-);2013;107.1;128.7;93.8;112.4;18943.0;18826.0;118.0;17992.0;5972.0;5482.0;3790.0;981.0;570.0;412.0;35.0;676.0;5597.0;70.0;401.0;121.0;3877.0;95.0;74.0;515.0;445.0;941.0;951.0;-29.0;-11.0;46.0;958.0
35;4942 Verhuisvervoer;2009;4.3;5.5;3.7;4.4;452.0;448.0;4.0;425.0;115.0;184.0;126.0;32.0;18.0;14.0;1.0;24.0;106.0;3.0;22.0;5.0;34.0;10.0;4.0;9.0;19.0;21.0;27.0;-4.0;-1.0;3.0;24.0
36;4942 Verhuisvervoer;2010;4.2;5.0;3.5;4.0;423.0;419.0;4.0;409.0;121.0;180.0;130.0;31.0;18.0;13.0;1.0;18.0;89.0;3.0;20.0;2.0;30.0;7.0;3.0;8.0;16.0;20.0;14.0;-4.0;0.0;1.0;10.0
37;4942 Verhuisvervoer;2011;4.3;5.3;3.6;4.3;461.0;459.0;2.0;437.0;120.0;186.0;131.0;33.0;19.0;14.0;1.0;21.0;107.0;4.0;26.0;6.0;36.0;8.0;3.0;8.0;16.0;24.0;23.0;-6.0;0.0;-1.0;16.0
38;4942 Verhuisvervoer;2012;4.0;5.1;3.3;4.0;427.0;421.0;6.0;390.0;101.0;174.0;119.0;30.0;17.0;14.0;1.0;24.0;95.0;3.0;24.0;2.0;39.0;5.0;3.0;8.0;11.0;20.0;36.0;-8.0;0.0;-2.0;27.0
39;4942 Verhuisvervoer;2013;3.9;5.1;3.2;4.0;426.0;421.0;5.0;390.0;88.0;175.0;116.0;32.0;17.0;15.0;1.0;27.0;108.0;3.0;28.0;3.0;38.0;7.0;3.0;9.0;19.0;19.0;35.0;-4.0;0.0;0.0;31.0
40;50 Vervoer over water;2009;17.2;31.4;15.5;27.7;7293.0;7224.0;69.0;6542.0;1217.0;1231.0;631.0;125.0;70.0;55.0;6.0;469.0;3136.0;17.0;48.0;105.0;1759.0;132.0;31.0;520.0;524.0;957.0;751.0;-285.0;-22.0;39.0;483.0
41;50 Vervoer over water;2010;17.6;34.8;15.1;28.8;7205.0;7133.0;72.0;6776.0;1448.0;1246.0;676.0;136.0;72.0;64.0;7.0;427.0;3212.0;9.0;47.0;76.0;1877.0;143.0;29.0;565.0;467.0;870.0;429.0;-322.0;-12.0;72.0;167.0
42;50 Vervoer over water;2011;18.3;34.5;16.4;30.8;7608.0;7514.0;94.0;7198.0;1418.0;1338.0;713.0;143.0;76.0;67.0;6.0;476.0;3580.0;8.0;54.0;94.0;2224.0;133.0;32.0;572.0;463.0;862.0;410.0;-97.0;-12.0;-42.0;259.0
43;50 Vervoer over water;2012;19.0;36.6;16.9;32.6;8334.0;8261.0;73.0;8076.0;1615.0;1494.0;771.0;154.0;83.0;72.0;7.0;561.0;3952.0;9.0;47.0;97.0;2479.0;155.0;33.0;653.0;480.0;1016.0;258.0;-381.0;-7.0;15.0;-115.0
44;50 Vervoer over water;2013;19.4;35.9;17.0;32.0;8574.0;8493.0;81.0;7974.0;1700.0;1536.0;827.0;161.0;92.0;69.0;7.0;540.0;3765.0;9.0;49.0;84.0;2298.0;168.0;31.0;648.0;478.0;974.0;600.0;-321.0;-12.0;-30.0;238.0
45;501-502 Zee- en kustvaart;2009;8.3;15.3;7.9;14.3;5249.0;5231.0;18.0;4892.0;908.0;833.0;359.0;70.0;38.0;33.0;4.0;400.0;2439.0;11.0;26.0;45.0;1426.0;110.0;14.0;394.0;412.0;712.0;357.0;-216.0;-17.0;24.0;149.0
46;501-502 Zee- en kustvaart;2010;;;;;4960.0;4917.0;43.0;4846.0;1006.0;818.0;;;;;;;2419.0;4.0;25.0;32.0;1471.0;113.0;14.0;443.0;318.0;603.0;114.0;-193.0;-9.0;57.0;-31.0
47;501-502 Zee- en kustvaart;2011;;;;;5047.0;4977.0;70.0;5043.0;895.0;883.0;;;;;;;2684.0;3.0;31.0;36.0;1698.0;106.0;19.0;455.0;336.0;582.0;4.0;13.0;-18.0;-45.0;-46.0
48;501-502 Zee- en kustvaart;2012;;;;;5607.0;5561.0;46.0;5702.0;1066.0;969.0;;;;;;;2990.0;3.0;29.0;33.0;1931.0;122.0;20.0;533.0;320.0;677.0;-96.0;-214.0;-11.0;1.0;-320.0
49;501-502 Zee- en kustvaart;2013;9.7;18.3;8.7;16.8;5899.0;5847.0;52.0;5681.0;1147.0;1019.0;;;;;;;2835.0;3.0;31.0;31.0;1764.0;136.0;19.0;536.0;316.0;681.0;218.0;-234.0;-14.0;-35.0;-66.0
50;503-504 Binnenvaart;2009;8.9;16.2;7.6;13.5;2044.0;1994.0;51.0;1650.0;309.0;398.0;272.0;55.0;33.0;22.0;2.0;69.0;697.0;6.0;22.0;60.0;334.0;22.0;17.0;126.0;111.0;246.0;394.0;-70.0;-5.0;15.0;334.0
51;503-504 Binnenvaart;2010;9.2;18.4;7.2;14.1;2245.0;2216.0;29.0;1930.0;442.0;428.0;285.0;61.0;35.0;26.0;3.0;79.0;794.0;6.0;23.0;44.0;406.0;30.0;15.0;121.0;149.0;266.0;315.0;-129.0;-3.0;16.0;199.0
52;503-504 Binnenvaart;2011;9.1;17.6;7.6;15.1;2561.0;2537.0;24.0;2155.0;523.0;455.0;299.0;65.0;39.0;27.0;4.0;88.0;896.0;5.0;23.0;58.0;525.0;27.0;13.0;117.0;127.0;281.0;406.0;-110.0;6.0;3.0;305.0
53;503-504 Binnenvaart;2012;9.6;18.0;8.4;15.9;2727.0;2700.0;27.0;2374.0;549.0;525.0;333.0;71.0;43.0;28.0;4.0;117.0;962.0;5.0;18.0;65.0;548.0;32.0;14.0;120.0;160.0;339.0;353.0;-167.0;4.0;15.0;205.0
54;503-504 Binnenvaart;2013;9.7;17.5;8.3;15.2;2675.0;2646.0;29.0;2292.0;553.0;517.0;341.0;73.0;45.0;28.0;3.0;99.0;930.0;6.0;18.0;53.0;534.0;32.0;12.0;113.0;162.0;293.0;382.0;-87.0;2.0;6.0;304.0
55;51 Vervoer door de lucht;2009;29.0;30.3;24.8;25.9;8109.0;8103.0;5.0;8552.0;290.0;1991.0;1436.0;372.0;143.0;230.0;71.0;112.0;5794.0;1.0;44.0;78.0;3294.0;372.0;13.0;1643.0;350.0;476.0;-443.0;-106.0;18.0;-6.0;-537.0
56;51 Vervoer door de lucht;2010;27.7;29.4;23.7;25.0;9402.0;9385.0;17.0;9290.0;293.0;2001.0;1466.0;366.0;143.0;223.0;26.0;143.0;6518.0;2.0;52.0;72.0;3893.0;376.0;4.0;1798.0;321.0;479.0;112.0;-94.0;40.0;-3.0;55.0
57;51 Vervoer door de lucht;2011;28.0;29.5;22.1;23.3;9694.0;9687.0;7.0;9585.0;326.0;2056.0;1491.0;392.0;145.0;247.0;26.0;146.0;6728.0;2.0;51.0;59.0;4147.0;376.0;10.0;1858.0;225.0;476.0;109.0;-127.0;-18.0;9.0;-27.0
58;51 Vervoer door de lucht;2012;25.6;27.1;21.0;22.0;10336.0;10330.0;6.0;10254.0;365.0;2143.0;1530.0;442.0;155.0;287.0;26.0;145.0;7291.0;5.0;54.0;38.0;4626.0;366.0;14.0;1928.0;261.0;455.0;82.0;-127.0;-107.0;9.0;-143.0
59;51 Vervoer door de lucht;2013;28.5;30.2;21.2;22.4;10926.0;10919.0;7.0;10607.0;675.0;2125.0;1550.0;452.0;159.0;293.0;20.0;103.0;7358.0;5.0;68.0;49.0;4532.0;416.0;15.0;1214.0;1060.0;448.0;319.0;-95.0;-78.0;3.0;149.0
60;52 Opslag, dienstverlening voor vervoer;2009;81.2;105.1;72.9;89.5;22001.0;20429.0;1572.0;20289.0;10341.0;4856.0;3294.0;669.0;390.0;279.0;34.0;859.0;3588.0;226.0;1102.0;300.0;399.0;172.0;111.0;425.0;855.0;1504.0;1712.0;-301.0;231.0;-54.0;1588.0
61;52 Opslag, dienstverlening voor vervoer;2010;76.0;97.8;68.7;86.2;23131.0;21427.0;1704.0;20879.0;10896.0;4772.0;3228.0;650.0;384.0;265.0;34.0;861.0;3643.0;229.0;1085.0;358.0;379.0;186.0;107.0;409.0;889.0;1568.0;2252.0;-310.0;12.0;-115.0;1839.0
62;52 Opslag, dienstverlening voor vervoer;2011;79.2;103.3;72.3;90.1;25188.0;23542.0;1647.0;22940.0;12330.0;5117.0;3453.0;714.0;417.0;298.0;33.0;916.0;3825.0;221.0;1182.0;376.0;460.0;184.0;113.0;372.0;918.0;1668.0;2249.0;-208.0;200.0;-187.0;2055.0
63;52 Opslag, dienstverlening voor vervoer;2012;81.8;105.5;74.2;91.9;25446.0;23785.0;1661.0;23350.0;12189.0;5301.0;3561.0;785.0;471.0;314.0;39.0;917.0;4073.0;241.0;1295.0;386.0;520.0;213.0;115.0;434.0;870.0;1788.0;2096.0;-78.0;203.0;-219.0;2002.0
64;52 Opslag, dienstverlening voor vervoer;2013;82.7;106.0;74.7;94.6;26362.0;24606.0;1756.0;24228.0;12807.0;5360.0;3608.0;801.0;473.0;328.0;38.0;913.0;4165.0;251.0;1323.0;355.0;559.0;216.0;107.0;453.0;899.0;1897.0;2134.0;-222.0;217.0;-232.0;1897.0
65;521 Opslag;2009;16.5;24.2;14.1;18.9;3994.0;3871.0;123.0;3539.0;1381.0;1038.0;656.0;143.0;88.0;56.0;8.0;232.0;893.0;92.0;251.0;111.0;52.0;19.0;21.0;131.0;214.0;227.0;454.0;-7.0;-9.0;17.0;455.0
66;521 Opslag;2010;14.5;20.9;12.8;17.5;3556.0;3528.0;29.0;3116.0;1108.0;950.0;602.0;120.0;76.0;43.0;8.0;220.0;823.0;96.0;240.0;111.0;48.0;34.0;16.0;95.0;183.0;236.0;440.0;-40.0;-2.0;22.0;421.0
67;521 Opslag;2011;14.6;23.3;13.4;18.6;3701.0;3677.0;25.0;3270.0;1155.0;1002.0;606.0;130.0;79.0;51.0;9.0;257.0;854.0;93.0;295.0;94.0;67.0;27.0;16.0;68.0;195.0;260.0;431.0;-37.0;-5.0;25.0;414.0
68;521 Opslag;2012;14.1;22.3;12.9;17.9;3874.0;3769.0;105.0;3426.0;1180.0;1006.0;610.0;139.0;85.0;54.0;9.0;248.0;952.0;107.0;355.0;95.0;64.0;32.0;15.0;93.0;190.0;288.0;448.0;-21.0;-22.0;-47.0;358.0
69;521 Opslag;2013;15.1;20.7;13.5;18.7;4135.0;4004.0;131.0;3675.0;1230.0;1094.0;659.0;161.0;90.0;71.0;7.0;267.0;1015.0;114.0;383.0;103.0;75.0;31.0;14.0;108.0;187.0;336.0;461.0;6.0;-18.0;0.0;449.0
70;522 Dienstverlening voor vervoer;2009;64.8;80.9;58.8;70.6;18007.0;16558.0;1450.0;16750.0;8959.0;3818.0;2639.0;526.0;302.0;224.0;27.0;627.0;2696.0;133.0;850.0;189.0;347.0;153.0;90.0;294.0;641.0;1277.0;1258.0;-295.0;240.0;-71.0;1132.0
71;522 Dienstverlening voor vervoer;2010;61.6;76.9;55.9;68.7;19575.0;17899.0;1675.0;17763.0;9788.0;3823.0;2626.0;530.0;308.0;222.0;26.0;641.0;2820.0;132.0;846.0;247.0;331.0;152.0;91.0;314.0;706.0;1332.0;1812.0;-270.0;14.0;-137.0;1418.0
72;522 Dienstverlening voor vervoer;2011;64.6;80.1;58.9;71.5;21487.0;19865.0;1622.0;19670.0;11175.0;4115.0;2847.0;584.0;337.0;247.0;25.0;660.0;2971.0;127.0;887.0;282.0;393.0;158.0;97.0;304.0;723.0;1408.0;1818.0;-170.0;205.0;-212.0;1641.0
73;522 Dienstverlening voor vervoer;2012;67.7;83.2;61.3;74.0;21572.0;20016.0;1556.0;19924.0;11008.0;4295.0;2951.0;646.0;386.0;260.0;29.0;669.0;3121.0;134.0;940.0;290.0;456.0;181.0;100.0;340.0;680.0;1500.0;1648.0;-57.0;225.0;-172.0;1644.0
74;522 Dienstverlening voor vervoer;2013;67.6;85.3;61.2;75.8;22227.0;20602.0;1625.0;20553.0;11577.0;4265.0;2949.0;640.0;383.0;257.0;31.0;645.0;3150.0;137.0;940.0;253.0;484.0;186.0;93.0;345.0;713.0;1561.0;1673.0;-229.0;235.0;-232.0;1448.0
75;5221 Dienstverlening voor landvervoer;2009;6.9;9.1;5.9;7.4;2000.0;701.0;1299.0;1938.0;663.0;443.0;261.0;40.0;33.0;8.0;1.0;141.0;230.0;7.0;105.0;10.0;10.0;6.0;6.0;45.0;40.0;603.0;62.0;-112.0;251.0;-79.0;122.0
76;5221 Dienstverlening voor landvervoer;2010;6.8;8.6;6.1;7.7;2208.0;739.0;1468.0;2038.0;707.0;467.0;288.0;45.0;36.0;9.0;0.0;133.0;247.0;8.0;111.0;10.0;11.0;9.0;6.0;44.0;48.0;618.0;169.0;-140.0;22.0;-150.0;-99.0
77;5221 Dienstverlening voor landvervoer;2011;7.6;9.4;6.8;7.8;2188.0;799.0;1389.0;2082.0;710.0;476.0;314.0;52.0;39.0;13.0;1.0;109.0;255.0;6.0;116.0;7.0;17.0;5.0;8.0;41.0;55.0;641.0;107.0;-33.0;211.0;-154.0;130.0
78;5221 Dienstverlening voor landvervoer;2012;8.0;9.8;7.2;8.5;2216.0;839.0;1376.0;2142.0;732.0;484.0;336.0;60.0;46.0;14.0;0.0;88.0;249.0;8.0;111.0;8.0;23.0;7.0;7.0;48.0;38.0;677.0;73.0;-26.0;221.0;-152.0;116.0
79;5221 Dienstverlening voor landvervoer;2013;7.9;10.1;6.9;8.4;2297.0;866.0;1431.0;2173.0;726.0;470.0;332.0;60.0;45.0;15.0;2.0;77.0;265.0;9.0;124.0;6.0;21.0;7.0;7.0;61.0;31.0;711.0;124.0;-36.0;221.0;-204.0;105.0
80;5222 Dienstverlening voor de scheepvaart;2009;3.1;4.7;3.0;4.1;1151.0;1145.0;6.0;807.0;138.0;290.0;216.0;41.0;15.0;25.0;2.0;32.0;239.0;3.0;34.0;5.0;26.0;22.0;10.0;29.0;111.0;139.0;344.0;-90.0;-3.0;7.0;258.0
81;5222 Dienstverlening voor de scheepvaart;2010;3.1;4.7;2.9;4.2;1267.0;1259.0;8.0;849.0;172.0;293.0;220.0;46.0;15.0;31.0;2.0;26.0;235.0;3.0;36.0;3.0;26.0;17.0;9.0;39.0;102.0;149.0;417.0;-75.0;3.0;5.0;351.0
82;5222 Dienstverlening voor de scheepvaart;2011;3.2;4.7;3.0;4.3;1330.0;1312.0;18.0;862.0;198.0;280.0;207.0;44.0;16.0;28.0;1.0;28.0;209.0;5.0;40.0;4.0;30.0;16.0;10.0;31.0;74.0;175.0;469.0;-92.0;1.0;-6.0;372.0
83;5222 Dienstverlening voor de scheepvaart;2012;3.3;4.8;3.2;4.4;1453.0;1422.0;31.0;954.0;251.0;297.0;211.0;55.0;23.0;32.0;2.0;29.0;209.0;5.0;46.0;5.0;33.0;23.0;8.0;39.0;52.0;198.0;499.0;-123.0;11.0;2.0;389.0
84;5222 Dienstverlening voor de scheepvaart;2013;3.4;5.5;3.1;4.9;1474.0;1451.0;23.0;959.0;221.0;296.0;208.0;56.0;23.0;33.0;2.0;30.0;241.0;5.0;37.0;7.0;35.0;23.0;8.0;45.0;83.0;200.0;515.0;-108.0;12.0;-4.0;415.0
85;5223 Dienstverlening voor de luchtvaart;2009;5.9;6.8;4.9;5.7;1308.0;1282.0;26.0;1188.0;261.0;416.0;301.0;69.0;31.0;37.0;0.0;47.0;309.0;27.0;136.0;14.0;5.0;24.0;20.0;35.0;50.0;201.0;120.0;-52.0;0.0;0.0;68.0
86;5223 Dienstverlening voor de luchtvaart;2010;5.3;6.1;4.6;5.4;1338.0;1312.0;26.0;1148.0;267.0;395.0;276.0;68.0;30.0;37.0;1.0;51.0;291.0;24.0;135.0;13.0;5.0;25.0;20.0;36.0;33.0;195.0;190.0;-12.0;0.0;1.0;179.0
