ID;SalesAndConsumption;SBI93;Periods;WeightFactor_1;IndexNumbers_2;MonthOnMonthDevelopment_3;YearOnYearDevelopment_4;WeightFactor_5;IndexNumbers_6;MonthOnMonthDevelopment_7;YearOnYearDevelopment_8
20;Total sales;C MINING AND QUARRYING;2001 August;11442;113.2;-3.7;6.1;11442;113.2;-3.7;6.1
21;Total sales;C MINING AND QUARRYING;2001 September;11442;110.8;-2.1;2.0;11442;110.8;-2.1;2.0
22;Total sales;C MINING AND QUARRYING;2001 October;11442;107.2;-3.2;-4.7;11442;107.2;-3.2;-4.7
23;Total sales;C MINING AND QUARRYING;2001 November;11442;105.2;-1.9;-7.1;11442;105.2;-1.9;-7.1
24;Total sales;C MINING AND QUARRYING;2001 December;11442;103.8;-1.3;-8.7;11442;103.8;-1.3;-8.7
25;Total sales;C MINING AND QUARRYING;2001;11442;114.7;;14.7;11442;114.7;;14.7
26;Total sales;C MINING AND QUARRYING;2002 January;11442;101.1;-2.6;-14.9;11442;101.1;-2.6;-14.9
27;Total sales;C MINING AND QUARRYING;2002 February;11442;103.1;1.9;-16.0;11442;103.1;1.9;-16.0
28;Total sales;C MINING AND QUARRYING;2002 March;11442;102.4;-0.6;-16.4;11442;102.4;-0.6;-16.4
29;Total sales;C MINING AND QUARRYING;2002 April;11442;103.5;1.1;-11.7;11442;103.5;1.1;-11.7
30;Total sales;C MINING AND QUARRYING;2002 May;11442;102.4;-1.1;-13.5;11442;102.4;-1.1;-13.5
31;Total sales;C MINING AND QUARRYING;2002 June;11442;99.8;-2.5;-16.8;11442;99.8;-2.5;-16.8
32;Total sales;C MINING AND QUARRYING;2002 July;11442;104.4;4.6;-11.1;11442;104.4;4.6;-11.1
33;Total sales;C MINING AND QUARRYING;2002 August;11442;104.1;-0.3;-8.0;11442;104.1;-0.3;-8.0
34;Total sales;C MINING AND QUARRYING;2002 September;11442;103.7;-0.4;-6.4;11442;103.7;-0.4;-6.4
35;Total sales;C MINING AND QUARRYING;2002 October;11442;108.2;4.4;1.0;11442;108.2;4.4;1.0
36;Total sales;C MINING AND QUARRYING;2002 November;11442;109.7;1.4;4.3;11442;109.7;1.4;4.3
37;Total sales;C MINING AND QUARRYING;2002 December;11442;113.1;3.1;9.0;11442;113.1;3.1;9.0
38;Total sales;C MINING AND QUARRYING;2002;11442;104.6;;-8.8;11442;104.6;;-8.8
39;Total sales;C MINING AND QUARRYING;2003 January;11442;117.5;3.9;16.2;11442;117.5;3.9;16.2
40;Total sales;C MINING AND QUARRYING;2003 February;11442;117.5;0.1;14.1;11442;117.5;0.1;14.1
41;Total sales;C MINING AND QUARRYING;2003 March;11442;116.4;-0.9;13.7;11442;116.4;-0.9;13.7
42;Total sales;C MINING AND QUARRYING;2003 April;11442;116.9;0.4;12.9;11442;116.9;0.4;12.9
43;Total sales;C MINING AND QUARRYING;2003 May;11442;117.6;0.6;14.9;11442;117.6;0.6;14.9
44;Total sales;C MINING AND QUARRYING;2003 June;11442;118.2;0.5;18.4;11442;118.2;0.5;18.4
45;Total sales;C MINING AND QUARRYING;2003 July;11442;106.7;-9.7;2.2;11442;106.7;-9.7;2.2
46;Total sales;C MINING AND QUARRYING;2003 August;11442;105.9;-0.8;1.7;11442;105.9;-0.8;1.7
47;Total sales;C MINING AND QUARRYING;2003 September;11442;104.1;-1.7;0.4;11442;104.1;-1.7;0.4
48;Total sales;C MINING AND QUARRYING;2003 October;11442;104.6;0.5;-3.4;11442;104.6;0.5;-3.4
49;Total sales;C MINING AND QUARRYING;2003 November;11442;105.8;1.2;-3.5;11442;105.8;1.2;-3.5
50;Total sales;C MINING AND QUARRYING;2003 December;11442;109.5;3.5;-3.1;11442;109.5;3.5;-3.1
51;Total sales;C MINING AND QUARRYING;2003;11442;111.7;;6.8;11442;111.7;;6.8
52;Total sales;C MINING AND QUARRYING;2004 January;11442;107.7;-1.7;-8.3;11442;107.7;-1.7;-8.3
53;Total sales;C MINING AND QUARRYING;2004 February;11442;108.2;0.5;-8.0;11442;108.2;0.5;-8.0
54;Total sales;C MINING AND QUARRYING;2004 March;11442;107.8;-0.4;-7.4;11442;107.8;-0.4;-7.4
55;Total sales;C MINING AND QUARRYING;2004 April;11442;106.0;-1.6;-9.3;11442;106.0;-1.6;-9.3
56;Total sales;C MINING AND QUARRYING;2004 May;11442;105.4;-0.6;-10.4;11442;105.4;-0.6;-10.4
57;Total sales;C MINING AND QUARRYING;2004 June;11442;105.9;0.5;-10.4;11442;105.9;0.5;-10.4
58;Total sales;C MINING AND QUARRYING;2004 July;11442;107.8;1.7;1.0;11442;107.8;1.7;1.0
59;Total sales;C MINING AND QUARRYING;2004 August;11442;107.9;0.1;1.9;11442;107.9;0.1;1.9
60;Total sales;C MINING AND QUARRYING;2004 September;11442;109.7;1.7;5.4;11442;109.7;1.7;5.4
61;Total sales;C MINING AND QUARRYING;2004 October;11442;118.1;7.6;12.9;11442;118.1;7.6;12.9
62;Total sales;C MINING AND QUARRYING;2004 November;11442;119.5;1.2;12.9;11442;119.5;1.2;12.9
63;Total sales;C MINING AND QUARRYING;2004 December;11442;118.9;-0.5;8.6;11442;118.9;-0.5;8.6
64;Total sales;C MINING AND QUARRYING;2004;11442;110.2;;-1.3;11442;110.2;;-1.3
65;Total sales;C MINING AND QUARRYING;2005 January;11442;127.3;7.1;18.2;11442;127.3;7.1;18.2
66;Total sales;C MINING AND QUARRYING;2005 February;11442;128.1;0.6;18.4;11442;128.1;0.6;18.4
67;Total sales;C MINING AND QUARRYING;2005 March;11442;129.7;1.3;20.3;11442;129.7;1.3;20.3
68;Total sales;C MINING AND QUARRYING;2005 April;11442;135.4;4.4;27.7;11442;135.4;4.4;27.7
69;Total sales;C MINING AND QUARRYING;2005 May;11442;134.2;-0.9;27.4;11442;134.2;-0.9;27.4
70;Total sales;C MINING AND QUARRYING;2005 June;11442;138.0;2.8;30.3;11442;138.0;2.8;30.3
71;Total sales;C MINING AND QUARRYING;2005 July;11442;144.2;4.5;33.8;11442;144.2;4.5;33.8
72;Total sales;C MINING AND QUARRYING;2005 August;11442;148.7;3.1;37.8;11442;148.7;3.1;37.8
73;Total sales;C MINING AND QUARRYING;2005 September;11442;152.0;2.2;38.5;11442;152.0;2.2;38.5
74;Total sales;C MINING AND QUARRYING;2005 October;11442;162.6;7.0;37.7;11442;162.6;7.0;37.7
75;Total sales;C MINING AND QUARRYING;2005 November;11442;162.5;0.0;36.0;11442;162.5;0.0;36.0
76;Total sales;C MINING AND QUARRYING;2005 December;11442;171.5;5.5;44.2;11442;171.5;5.5;44.2
77;Total sales;C MINING AND QUARRYING;2005;11442;144.5;;31.1;11442;144.5;;31.1
78;Total sales;C MINING AND QUARRYING;2006 January;11442;178.5;4.1;40.2;11442;178.5;4.1;40.2
79;Total sales;C MINING AND QUARRYING;2006 February;11442;178.5;0.0;39.4;11442;178.5;0.0;39.4
80;Total sales;C MINING AND QUARRYING;2006 March;11442;180.5;1.1;39.2;11442;180.5;1.1;39.2
81;Total sales;C MINING AND QUARRYING;2006 April;11442;186.2;3.1;37.5;11442;186.2;3.1;37.5
82;Total sales;C MINING AND QUARRYING;2006 May;11442;193.0;3.7;43.8;11442;193.0;3.7;43.8
83;Total sales;C MINING AND QUARRYING;2006 June;11442;192.9;-0.1;39.7;11442;192.9;-0.1;39.7
84;Total sales;C MINING AND QUARRYING;2006 July;11442;192.2;-0.3;33.3;11442;192.2;-0.3;33.3
85;Total sales;C MINING AND QUARRYING;2006 August;11442;192.0;-0.1;29.1;11442;192.0;-0.1;29.1
86;Total sales;C MINING AND QUARRYING;2006 September;11442;192.6;0.3;26.7;11442;192.6;0.3;26.7
87;Total sales;C MINING AND QUARRYING;2006 October;11442;190.9;-0.9;17.4;11442;190.9;-0.9;17.4
88;Total sales;C MINING AND QUARRYING;2006 November;11442;189.4;-0.8;16.5;11442;189.4;-0.8;16.5
89;Total sales;C MINING AND QUARRYING;2006 December;11442;190.1;0.4;10.8;11442;190.1;0.4;10.8
90;Total sales;C MINING AND QUARRYING;2006;11442;188.1;;30.1;11442;188.1;;30.1
91;Total sales;C MINING AND QUARRYING;2007 January;11442;192.2;1.1;7.7;11442;192.2;1.1;7.7
92;Total sales;C MINING AND QUARRYING;2007 February;11442;189.6;-1.4;6.2;11442;189.6;-1.4;6.2
93;Total sales;C MINING AND QUARRYING;2007 March;11442;191.1;0.8;5.9;11442;191.1;0.8;5.9
94;Total sales;C MINING AND QUARRYING;2007 April;11442;190.7;-0.2;2.5;11442;190.7;-0.2;2.5
95;Total sales;C MINING AND QUARRYING;2007 May;11442;188.6;-1.1;-2.3;11442;188.6;-1.1;-2.3
96;Total sales;C MINING AND QUARRYING;2007 June;11442;185.1;-1.8;-4.0;11442;185.1;-1.8;-4.0
97;Total sales;C MINING AND QUARRYING;2007 July;11442;194.0;4.8;1.0;11442;194.0;4.8;1.0
98;Total sales;C MINING AND QUARRYING;2007 August;11442;191.6;-1.3;-0.2;11442;191.6;-1.3;-0.2
99;Total sales;C MINING AND QUARRYING;2007 September;11442;188.9;-1.4;-1.9;11442;188.9;-1.4;-1.9
100;Total sales;C MINING AND QUARRYING;2007 October;11442;192.5;1.9;0.9;11442;192.5;1.9;0.9
101;Total sales;C MINING AND QUARRYING;2007 November;11442;193.5;0.5;2.2;11442;193.5;0.5;2.2
102;Total sales;C MINING AND QUARRYING;2007 December;11442;195.2;0.9;2.7;11442;195.2;0.9;2.7
103;Total sales;C MINING AND QUARRYING;2007;11442;191.1;;1.6;11442;191.1;;1.6
104;Total sales;C MINING AND QUARRYING;2008 January;11442;203.1;4.0;5.7;11442;203.1;4.0;5.7
105;Total sales;C MINING AND QUARRYING;2008 February;11442;208.3;2.6;9.8;11442;208.3;2.6;9.8
106;Total sales;C MINING AND QUARRYING;2008 March;11442;213.1;2.3;11.5;11442;213.1;2.3;11.5
107;Total sales;C MINING AND QUARRYING;2008 April;11442;222.6;4.4;16.7;11442;222.6;4.4;16.7
108;Total sales;C MINING AND QUARRYING;2008 May;11442;237.0;6.5;25.7;11442;237.0;6.5;25.7
109;Total sales;C MINING AND QUARRYING;2008 June;11442;250.3;5.6;35.2;11442;250.3;5.6;35.2
110;Total sales;C MINING AND QUARRYING;2008 July;11442;271.0;8.3;39.7;11442;271.0;8.3;39.7
111;Total sales;C MINING AND QUARRYING;2008 August;11442;273.9;1.1;43.0;11442;273.9;1.1;43.0
112;Total sales;C MINING AND QUARRYING;2008 September;11442;265.1;-3.2;40.3;11442;265.1;-3.2;40.3
113;Total sales;C MINING AND QUARRYING;2008 October;11442;268.2;1.2;39.3;11442;268.2;1.2;39.3
114;Total sales;C MINING AND QUARRYING;2008 November;11442;256.0;-4.6;32.3;11442;256.0;-4.6;32.3
115;Total sales;C MINING AND QUARRYING;2008 December;11442;255.1;-0.4;30.7;11442;255.1;-0.4;30.7
116;Total sales;C MINING AND QUARRYING;2008;11442;243.6;;27.5;11442;243.6;;27.5
117;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 January;10542;81.0;;;10542;81.0;;
118;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 February;10542;82.0;2.2;;10542;82.0;2.2;
119;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 March;10542;84.0;1.4;;10542;84.0;1.4;
120;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 April;10542;93.0;11.5;;10542;93.0;11.5;
121;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 May;10542;97.0;4.4;;10542;97.0;4.4;
122;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 June;10542;98.0;0.9;;10542;98.0;0.9;
123;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 July;10542;106.0;7.7;;10542;106.0;7.7;
124;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 August;10542;107.0;1.5;;10542;107.0;1.5;
125;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 September;10542;109.0;2.0;;10542;109.0;2.0;
126;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 October;10542;114.0;3.8;;10542;114.0;3.8;
127;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 November;10542;114.0;0.6;;10542;114.0;0.6;
128;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 December;10542;115.0;0.5;;10542;115.0;0.5;
129;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000;10542;100.0;;;10542;100.0;;
130;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 January;10542;120.0;4.6;49.1;10542;120.0;4.6;49.1
131;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 February;10542;124.0;3.5;51.0;10542;124.0;3.5;51.0
132;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 March;10542;124.0;-0.1;48.7;10542;124.0;-0.1;48.7
133;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 April;10542;118.0;-4.7;27.2;10542;118.0;-4.7;27.2
134;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 May;10542;119.0;0.7;22.6;10542;119.0;0.7;22.6
135;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 June;10542;121.0;1.4;23.2;10542;121.0;1.4;23.2
136;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 July;10542;118.0;-2.2;11.8;10542;118.0;-2.2;11.8
137;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 August;10542;114.0;-3.7;6.0;10542;114.0;-3.7;6.0
138;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 September;10542;111.0;-2.3;1.6;10542;111.0;-2.3;1.6
139;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 October;10542;107.0;-3.5;-5.6;10542;107.0;-3.5;-5.6
140;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 November;10542;105.0;-2.2;-8.2;10542;105.0;-2.2;-8.2
141;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 December;10542;103.0;-1.4;-9.9;10542;103.0;-1.4;-9.9
142;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001;10542;115.0;;15.5;10542;115.0;;15.5
143;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 January;10542;100.0;-2.9;-16.4;10542;100.0;-2.9;-16.4
144;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 February;10542;102.0;1.6;-17.9;10542;102.0;1.6;-17.9
145;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 March;10542;101.0;-0.7;-18.4;10542;101.0;-0.7;-18.4
146;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 April;10542;102.0;1.0;-13.5;10542;102.0;1.0;-13.5
147;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 May;10542;102.0;-0.7;-14.7;10542;102.0;-0.7;-14.7
148;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 June;10542;99.0;-2.7;-18.2;10542;99.0;-2.7;-18.2
149;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 July;10542;104.0;5.1;-12.0;10542;104.0;5.1;-12.0
150;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 August;10542;104.0;-0.3;-8.9;10542;104.0;-0.3;-8.9
151;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 September;10542;103.0;-0.4;-7.2;10542;103.0;-0.4;-7.2
152;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 October;10542;108.0;4.7;0.8;10542;108.0;4.7;0.8
153;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 November;10542;109.0;0.7;3.7;10542;109.0;0.7;3.7
154;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 December;10542;112.0;3.4;8.8;10542;112.0;3.4;8.8
155;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002;10542;104.0;;-10.0;10542;104.0;;-10.0
156;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 January;10542;117.0;4.1;16.6;10542;117.0;4.1;16.6
157;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 February;10542;118.0;0.7;15.5;10542;118.0;0.7;15.5
158;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 March;10542;117.0;-1.0;15.1;10542;117.0;-1.0;15.1
159;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 April;10542;117.0;0.4;14.4;10542;117.0;0.4;14.4
160;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 May;10542;118.0;0.9;16.3;10542;118.0;0.9;16.3
161;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 June;10542;119.0;0.5;20.2;10542;119.0;0.5;20.2
162;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 July;10542;106.0;-10.5;2.3;10542;106.0;-10.5;2.3
163;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 August;10542;106.0;-0.7;1.9;10542;106.0;-0.7;1.9
164;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 September;10542;104.0;-1.8;0.5;10542;104.0;-1.8;0.5
165;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 October;10542;104.0;0.5;-3.5;10542;104.0;0.5;-3.5
166;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 November;10542;106.0;1.4;-2.8;10542;106.0;1.4;-2.8
167;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 December;10542;110.0;3.8;-2.4;10542;110.0;3.8;-2.4
168;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003;10542;112.0;;7.6;10542;112.0;;7.6
169;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 January;10542;108.0;-1.9;-8.0;10542;108.0;-1.9;-8.0
170;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 February;10542;108.0;0.5;-8.2;10542;108.0;0.5;-8.2
171;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 March;10542;108.0;-0.4;-7.6;10542;108.0;-0.4;-7.6
172;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 April;10542;106.0;-1.7;-9.6;10542;106.0;-1.7;-9.6
173;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 May;10542;105.0;-0.7;-11.0;10542;105.0;-0.7;-11.0
174;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 June;10542;106.0;0.6;-11.0;10542;106.0;0.6;-11.0
175;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 July;10542;108.0;1.9;1.3;10542;108.0;1.9;1.3
176;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 August;10542;108.0;0.1;2.1;10542;108.0;0.1;2.1
177;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 September;10542;110.0;1.9;6.0;10542;110.0;1.9;6.0
178;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 October;10542;119.0;8.3;14.1;10542;119.0;8.3;14.1
179;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 November;10542;120.0;1.2;13.9;10542;120.0;1.2;13.9
180;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 December;10542;120.0;-0.4;9.2;10542;120.0;-0.4;9.2
181;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004;10542;110.0;;-1.2;10542;110.0;;-1.2
182;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 January;10542;129.0;7.5;19.7;10542;129.0;7.5;19.7
183;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 February;10542;130.0;0.6;19.8;10542;130.0;0.6;19.8
184;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 March;10542;131.0;1.4;21.9;10542;131.0;1.4;21.9
185;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 April;10542;138.0;4.7;29.9;10542;138.0;4.7;29.9
186;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 May;10542;136.0;-0.9;29.7;10542;136.0;-0.9;29.7
187;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 June;10542;141.0;3.0;32.9;10542;141.0;3.0;32.9
188;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 July;10542;147.0;4.7;36.6;10542;147.0;4.7;36.6
189;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 August;10542;152.0;3.3;40.9;10542;152.0;3.3;40.9
190;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 September;10542;156.0;2.4;41.6;10542;156.0;2.4;41.6
191;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 October;10542;167.0;7.3;40.4;10542;167.0;7.3;40.4
192;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 November;10542;167.0;-0.1;38.6;10542;167.0;-0.1;38.6
193;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 December;10542;177.0;5.8;47.4;10542;177.0;5.8;47.4
194;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005;10542;148.0;;33.6;10542;148.0;;33.6
195;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 January;10542;184.0;4.4;43.1;10542;184.0;4.4;43.1
196;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 February;10542;184.0;0.0;42.2;10542;184.0;0.0;42.2
197;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 March;10542;187.0;1.2;42.0;10542;187.0;1.2;42.0
198;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 April;10542;193.0;3.3;40.0;10542;193.0;3.3;40.0
199;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 May;10542;200.0;3.9;46.7;10542;200.0;3.9;46.7
200;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 June;10542;200.0;-0.1;42.2;10542;200.0;-0.1;42.2
201;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 July;10542;199.0;-0.3;35.4;10542;199.0;-0.3;35.4
202;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 August;10542;199.0;-0.2;30.8;10542;199.0;-0.2;30.8
203;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 September;10542;200.0;0.3;28.2;10542;200.0;0.3;28.2
204;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 October;10542;198.0;-0.9;18.3;10542;198.0;-0.9;18.3
205;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 November;10542;196.0;-0.8;17.5;10542;196.0;-0.8;17.5
206;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 December;10542;197.0;0.3;11.4;10542;197.0;0.3;11.4
207;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006;10542;195.0;;32.0;10542;195.0;;32.0
208;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 January;10542;199.0;1.1;7.9;10542;199.0;1.1;7.9
209;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 February;10542;196.0;-1.5;6.3;10542;196.0;-1.5;6.3
210;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 March;10542;198.0;0.8;6.0;10542;198.0;0.8;6.0
211;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 April;10542;197.0;-0.2;2.4;10542;197.0;-0.2;2.4
212;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 May;10542;195.0;-1.2;-2.6;10542;195.0;-1.2;-2.6
213;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 June;10542;191.0;-1.9;-4.3;10542;191.0;-1.9;-4.3
214;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 July;10542;201.0;5.0;0.8;10542;201.0;5.0;0.8
215;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 August;10542;198.0;-1.3;-0.4;10542;198.0;-1.3;-0.4
216;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 September;10542;195.0;-1.5;-2.1;10542;195.0;-1.5;-2.1
217;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 October;10542;199.0;2.0;0.8;10542;199.0;2.0;0.8
218;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 November;10542;200.0;0.4;2.0;10542;200.0;0.4;2.0
219;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 December;10542;202.0;0.9;2.6;10542;202.0;0.9;2.6
220;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007;10542;198.0;;1.5;10542;198.0;;1.5
221;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 January;10542;210.0;4.0;5.6;10542;210.0;4.0;5.6
222;Total sales;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 February;10542;216.0;2.6;10.0;10542;216.0;2.6;10.0
