ID;Perioden;OutputBasisprijzen_1;Totaal_2;Totaal_3;ZaaiEnPantgoedGeleverdDoorAnder_4;ZaaiEnPlantgoedGekochtBuitenDe_5;Totaal_6;Elektriciteit_7;Gas_8;AndereBrandstoffen_9;Andere_10;Totaal_11;MeststoffenGeleverdDoorAndereLand_12;MeststoffenGekochtBuitenDeBedrijf_13;FytosanitaireProductenEnPesticiden_14;UitgavenVoorVeeartsen_15;Totaal_16;VeevoederGeleverdDoorAndereLandbo_17;VeevoederGekochtBuitenDeBedrijfst_18;VeevoederGeproduceerdEnVerbruiktO_19;OnderhoudVanMateriaal_20;OnderhoudVanGebouwen_21;Landbouwdiensten_22;IndirectGemetenDienstenVanFinanci_23;AndereGoederenEnDiensten_24;BrutoToegevoegdeWaardeBasisprijzen_25;Totaal_26;Werktuigen_27;Bouwwerken_28;Aanplantingen_29;Andere_30;NettoToegevoegdeWaardeBasisprijzen_31;OutputBasisprijzen_32;Totaal_33;Totaal_34;ZaaiEnPantgoedGeleverdDoorAnder_35;ZaaiEnPlantgoedGekochtBuitenDe_36;Totaal_37;Elektriciteit_38;Gas_39;AndereBrandstoffen_40;Andere_41;Totaal_42;MeststoffenGeleverdDoorAndereLand_43;MeststoffenGekochtBuitenDeBedrijf_44;FytosanitaireProductenEnPesticiden_45;UitgavenVoorVeeartsen_46;Totaal_47;VeevoederGeleverdDoorAndereLandbo_48;VeevoederGekochtBuitenDeBedrijfst_49;VeevoederGeproduceerdEnVerbruiktO_50;OnderhoudVanMateriaal_51;OnderhoudVanGebouwen_52;Landbouwdiensten_53;IndirectGemetenDienstenVanFinanci_54;AndereGoederenEnDiensten_55;BrutoToegevoegdeWaardeBasisprijzen_56;Totaal_57;Werktuigen_58;Bouwwerken_59;Aanplantingen_60;Andere_61;NettoToegevoegdeWaardeBasisprijzen_62;OutputBasisprijzen_63;Totaal_64;Totaal_65;ZaaiEnPantgoedGeleverdDoorAnder_66;ZaaiEnPlantgoedGekochtBuitenDe_67;Totaal_68;Elektriciteit_69;Gas_70;AndereBrandstoffen_71;Andere_72;Totaal_73;MeststoffenGeleverdDoorAndereLand_74;MeststoffenGekochtBuitenDeBedrijf_75;FytosanitaireProductenEnPesticiden_76;UitgavenVoorVeeartsen_77;Totaal_78;VeevoederGeleverdDoorAndereLandbo_79;VeevoederGekochtBuitenDeBedrijfst_80;VeevoederGeproduceerdEnVerbruiktO_81;OnderhoudVanMateriaal_82;OnderhoudVanGebouwen_83;Landbouwdiensten_84;IndirectGemetenDienstenVanFinanci_85;AndereGoederenEnDiensten_86;BrutoToegevoegdeWaardeBasisprijzen_87;Totaal_88;Werktuigen_89;Bouwwerken_90;Aanplantingen_91;Andere_92;NettoToegevoegdeWaardeBasisprijzen_93;OutputBasisprijzen_94;Totaal_95;Totaal_96;ZaaiEnPantgoedGeleverdDoorAnder_97;ZaaiEnPlantgoedGekochtBuitenDe_98;Totaal_99;Elektriciteit_100;Gas_101;AndereBrandstoffen_102;Andere_103;Totaal_104;MeststoffenGeleverdDoorAndereLand_105;MeststoffenGekochtBuitenDeBedrijf_106;FytosanitaireProductenEnPesticiden_107;UitgavenVoorVeeartsen_108;Totaal_109;VeevoederGeleverdDoorAndereLandbo_110;VeevoederGekochtBuitenDeBedrijfst_111;VeevoederGeproduceerdEnVerbruiktO_112;OnderhoudVanMateriaal_113;OnderhoudVanGebouwen_114;Landbouwdiensten_115;IndirectGemetenDienstenVanFinanci_116;AndereGoederenEnDiensten_117;BrutoToegevoegdeWaardeBasisprijzen_118;Totaal_119;Werktuigen_120;Bouwwerken_121;Aanplantingen_122;Andere_123;NettoToegevoegdeWaardeBasisprijzen_124;NettoToegevoegdeWaardeBasisprijzen_125;NietProductgebondenBelastingen_126;NietProductgebondenSubsidies_127;Landbouwinkomen_128;BeloningVanWerknemers_129;ExploitatieoverschotGemengdInkomen_130;NettoToegevoegdeWaardeBasisprijzen_131;NietProductgebondenBelastingen_132;NietProductgebondenSubsidies_133;Landbouwinkomen_134;BeloningVanWerknemers_135;ExploitatieoverschotGemengdInkomen_136;NettoToegevoegdeWaardeBasisprijzen_137;NietProductgebondenBelastingen_138;NietProductgebondenSubsidies_139;Landbouwinkomen_140;BeloningVanWerknemers_141;ExploitatieoverschotGemengdInkomen_142;NettoToegevoegdeWaardeBasisprijzen_143;NietProductgebondenBelastingen_144;NietProductgebondenSubsidies_145;Landbouwinkomen_146;BeloningVanWerknemers_147;ExploitatieoverschotGemengdInkomen_148;ExploitatieoverschotGemengdInkomen_149;BetaaldePachtED_150;BetaaldeRente_151;OntvangenRente_152;InkomenUitBedrijfsuitoefening_153;Totaal_154;Werknemers_155;Zelfstandigen_156;Inkomensindex2021100_157;MutatieTOVVoorafgaandJaar_158
10;2005;23145;14707;1349;632.0;717.0;1749;518.0;862.0;331.0;37.0;301;;301;474;273;4353;1091.0;2874.0;388.0;734;238;1827;78;3331;8438;2716;1118.0;1127.0;98.0;372.0;5722;28875;20152;1754;952.0;819.0;2323.0;659.0;1064.0;514.0;71.0;496;;496;506;364;7011;1499.0;4896.0;584.0;1018;286;2225;78;4199;8742;3458;1414.0;1499.0;104.0;438.0;5315;0.6;0.9;-3.4;4.0;-9.1;0.1;1.9;-0.4;-1.4;0.8;1.9;;1.9;1.2;-0.9;0.4;2.7;1.4;-11.9;0.5;1.3;-0.4;0.9;4.5;0.1;-0.2;-0.3;0.9;-1.1;-2.7;0.2;80.2;73.0;76.9;66.5;87.5;75.3;78.7;81.0;64.5;52.1;60.5;;60.5;93.8;75.0;62.1;72.8;58.7;66.5;72.2;83.2;82.1;100.2;79.3;96.5;78.5;79.1;75.2;94.5;85.1;107.7;5722;323;486;5885;1988;3897;5315;391.0;1499.0;6247.0;;;0.2;9.5;-4.9;-0.7;;;107.7;82.6;32.4;94.2;;;3897;473;1036;103;2491;166;66;100;85.7;2.2
11;2006;25192;15760;1426;671.0;755.0;2014;612.0;961.0;382.0;58.0;323;;323;478;282;4469;1072.0;3068.0;329.0;750;244;2006;78;3690;9433;2770;1132.0;1167.0;96.0;374.0;6663;29337;20723;1917;956.0;959.0;2252.0;646.0;993.0;516.0;95.0;510;;510;512;372;6993;1482.0;4996.0;498.0;1011;289;2386;86;4446;8693;3448;1418.0;1498.0;102.0;428.0;5279;1.6;2.8;9.3;0.4;17.1;-3.1;-1.9;-6.6;0.4;33.3;2.8;;2.8;1.3;2.3;-0.3;-1.2;2.0;-14.8;-0.6;1.2;7.3;10.3;5.9;-0.6;-0.3;0.3;0.0;-1.4;-2.3;-0.7;85.9;76.1;74.4;70.2;78.8;89.4;94.8;96.7;74.1;61.6;63.3;;63.3;93.3;75.6;63.9;72.3;61.4;66.1;74.2;84.3;84.0;90.4;83.0;108.5;80.3;79.9;77.9;94.5;87.5;126.2;6663;317;769;7114;2029;5085;5279;384.0;2394.0;6519.0;;;-0.7;-1.7;59.6;4.4;;;126.2;82.6;32.1;109.1;;;5085;483;1131;120;3590;162;67;96;103.1;20.4
12;2007;26644;17450;1605;778.0;828.0;2094;668.0;983.0;386.0;57.0;340;;340;535;291;5435;1221.0;3830.0;384.0;796;256;2060;79;3958;9194;2869;1187.0;1208.0;100.0;375.0;6325;30190;21438;1997;991.0;1003.0;2359.0;691.0;1047.0;522.0;89.0;519;;519;549;377;7142;1507.0;5111.0;507.0;1052;297;2464;95;4615;8867;3488;1460.0;1512.0;100.0;415.0;5403;2.9;3.5;4.2;3.7;4.7;4.8;6.9;5.4;1.2;-5.8;1.7;;1.7;7.2;1.3;2.1;1.7;2.3;1.9;4.0;2.6;3.3;10.7;3.8;2.0;1.2;3.0;0.9;-1.5;-2.8;2.3;88.3;81.4;80.4;78.5;82.5;88.8;96.8;93.9;73.9;63.6;65.6;;65.6;97.5;77.1;76.1;81.0;74.9;75.7;75.7;86.2;83.6;82.7;85.8;103.7;82.2;81.3;79.9;99.3;90.2;117.1;6325;300;953;6978;2129;4849;5403;365.0;1314.0;6360.0;;;2.3;-5.1;-45.1;-2.4;;;117.1;82.2;72.5;109.7;;;4849;592;1354;185;3088;160;67;93;100.4;-2.6
13;2008;27832;19371;1608;760.0;848.0;2519;674.0;1290.0;486.0;69.0;544;;544;583;306;5968;1238.0;4339.0;391.0;849;266;2245;88;4394;8461;3013;1278.0;1263.0;101.0;373.0;5448;31422;22480;1978;971.0;1003.0;2390.0;619.0;1141.0;530.0;95.0;542;;542;584;383;7492;1586.0;5354.0;534.0;1085;306;2592;96;5053;9097;3554;1534.0;1523.0;99.0;401.0;5561;4.1;4.9;-1.0;-2.0;0.0;1.3;-10.3;9.0;1.4;6.2;4.5;;4.5;6.3;1.5;4.9;5.2;4.7;5.4;3.2;3.1;5.2;0.3;9.5;2.6;1.9;5.0;0.7;-1.9;-3.4;2.9;88.6;86.2;81.3;78.2;84.6;105.4;108.9;113.0;91.9;73.1;100.4;;100.4;99.8;79.8;79.7;78.1;81.0;73.2;78.3;86.9;86.6;92.1;87.0;93.0;84.8;83.3;82.9;102.0;92.9;98.0;5448;306;1051;6193;2234;3959;5561;370.0;1477.0;6632.0;;;2.9;1.5;12.4;4.3;;;98.0;82.8;71.2;93.4;;;3959;535;1549;205;2080;158;67;91;88.3;-12.1
14;2009;26086;18481;1617;831.0;785.0;2339;658.0;1275.0;346.0;60.0;420;;420;628;323;5289;1217.0;3697.0;374.0;887;281;2273;82;4343;7605;3148;1352.0;1337.0;102.0;357.0;4457;31986;22674;2026;1068.0;959.0;2432.0;618.0;1182.0;528.0;96.0;537;;537;627;393;7381;1596.0;5234.0;536.0;1110;318;2614;97;5142;9455;3616;1592.0;1549.0;96.0;385.0;5847;1.8;0.9;2.4;10.0;-4.4;1.8;-0.2;3.6;-0.3;0.9;-0.9;;-0.9;7.3;2.7;-1.5;0.6;-2.2;0.3;2.3;3.9;0.9;0.8;1.8;3.9;1.8;3.8;1.7;-2.6;-4.0;5.1;81.6;81.5;79.8;77.8;81.8;96.2;106.4;107.8;65.6;62.8;78.2;;78.2;100.3;82.0;71.7;76.3;70.6;69.8;80.0;88.4;87.0;84.5;84.5;80.4;87.1;84.9;86.3;106.5;92.7;76.2;4457;349;1057;5165;2250;2915;5847;379.0;1372.0;6844.0;;;5.1;2.3;-7.1;3.2;;;76.2;92.2;77.0;75.5;;;2915;596;1506;193;1006;155;66;90;74.5;-15.6
15;2010;28597;19416;1580;850.0;730.0;2590;724.0;1370.0;429.0;67.0;461;;461;557;337;5626;1350.0;3862.0;415.0;912;288;2338;89;4638;9181;3253;1413.0;1389.0;102.0;349.0;5929;32223;22983;1901;1050.0;855.0;2712.0;716.0;1310.0;557.0;107.0;645;;645;547;403;7354;1570.0;5254.0;517.0;1118;322;2687;95;5161;9382;3666;1635.0;1574.0;94.0;371.0;5713;0.7;1.4;-6.1;-1.7;-10.8;11.5;15.9;10.8;5.5;12.5;20.1;;20.1;-12.8;2.4;-0.4;-1.6;0.4;-3.6;0.8;1.3;2.8;-1.9;0.4;-0.8;1.4;2.7;1.6;-2.3;-3.5;-2.3;88.7;84.5;83.1;81.0;85.3;95.5;101.2;104.6;77.0;61.9;71.4;;71.4;101.8;83.7;76.5;86.0;73.5;80.3;81.6;89.4;87.0;94.4;89.9;97.9;88.7;86.4;88.3;108.9;93.9;103.8;5929;353;1086;6662;2302;4360;5713;381.0;1353.0;6687.0;;;-2.3;0.6;-1.4;-2.3;;;103.8;92.6;80.2;99.6;;;4360;546;1405;199;2608;154;65;89;96.5;29.6
16;2011;29327;21175;1649;880.0;770.0;2740;734.0;1404.0;534.0;68.0;574;;574;541;342;7202;1884.0;4739.0;580.0;950;294;2460;90;4332;8152;3320;1492.0;1406.0;103.0;319.0;4832;31887;22623;1864;1072.0;798.0;2603.0;712.0;1221.0;556.0;98.0;642;;642;538;397;7297;1557.0;5210.0;516.0;1148;324;2778;97;4920;9388;3750;1718.0;1588.0;92.0;364.0;5647;-1.0;-1.6;-1.9;2.1;-6.7;-4.0;-0.6;-6.8;-0.1;-9.2;-0.4;;-0.4;-1.6;-1.4;-0.8;-0.8;-0.8;-0.1;2.7;0.7;3.4;2.0;-4.7;0.1;2.3;5.1;0.9;-2.4;-2.0;-1.2;92.0;93.6;88.5;82.0;96.5;105.3;103.1;115.0;96.1;69.4;89.3;;89.3;100.5;86.1;98.7;121.0;91.0;112.3;82.8;90.9;88.6;93.2;88.1;86.8;88.5;86.8;88.5;112.0;87.8;85.6;4832;360;1219;5691;2368;3323;5647;371.0;1602.0;6827.0;;;-1.2;-2.5;18.4;2.1;;;85.6;97.0;76.1;83.4;;;3323;579;1478;184;1450;153;64;88;82.8;-14.2
17;2012;30339;21459;1546;805.0;741.0;2754;731.0;1403.0;556.0;65.0;575;;575;540;353;7452;1749.0;5153.0;550.0;960;297;2419;85;4477;8880;3442;1611.0;1450.0;84.0;297.0;5438;31934;22563;1818;1048.0;776.0;2610.0;741.0;1216.0;543.0;92.0;635;;635;541;402;7390;1558.0;5309.0;517.0;1140;319;2713;93;4870;9503;3884;1806.0;1640.0;89.0;363.0;5625;0.1;-0.3;-2.5;-2.3;-2.7;0.3;4.0;-0.4;-2.4;-5.7;-1.2;;-1.2;0.5;1.4;1.3;0.0;1.9;0.1;-0.7;-1.5;-2.3;-3.4;-1.0;1.2;3.6;5.1;3.3;-2.7;-0.2;-0.4;95.0;95.1;85.0;76.9;95.4;105.5;98.7;115.3;102.4;70.4;90.5;;90.5;99.9;87.8;100.8;112.3;97.1;106.5;84.1;93.1;89.2;90.9;91.9;93.4;88.6;89.2;88.4;93.8;81.7;96.7;5438;346;1173;6265;2449;3816;5625;362.0;1596.0;6810.0;;;-0.4;-2.4;-0.3;-0.3;;;96.7;95.6;73.5;92.0;;;3816;573;1365;182;2061;150;64;86;91.2;10.1
18;2013;31718;21649;1682;898.0;784.0;2806;730.0;1425.0;585.0;66.0;545;;545;609;371;7291;1431.0;5400.0;460.0;989;299;2450;82;4524;10068;3594;1679.0;1535.0;84.0;296.0;6474;32478;22891;1846;1048.0;801.0;2671.0;763.0;1228.0;571.0;92.0;642;;642;608;415;7527;1565.0;5449.0;510.0;1162;316;2698;86;4878;9722;4010;1865.0;1707.0;87.0;363.0;5721;1.7;1.5;1.5;0.0;3.2;2.4;3.0;1.0;5.2;0.0;1.0;;1.0;12.5;3.1;1.8;0.5;2.6;-1.2;1.9;-1.0;-0.6;-8.3;0.2;2.3;3.2;3.3;4.1;-1.8;0.1;1.7;97.7;94.6;91.1;85.8;97.8;105.1;95.7;116.0;102.5;71.4;84.9;;84.9;100.2;89.3;96.9;91.4;99.1;90.0;85.2;94.7;90.8;96.2;92.7;103.6;89.6;90.0;89.9;96.3;81.6;113.2;6474;306;1213;7381;2497;4884;5721;340.0;1655.0;6981.0;;;1.7;-6.3;3.7;2.5;;;113.2;90.2;73.3;105.7;;;4884;641;1358;141;3026;152;65;87;104.9;15.0
19;2014;30571;20654;1550;852.0;698.0;2497;685.0;1103.0;649.0;60.0;563;;563;621;378;6574;1436.0;4670.0;468.0;1013;303;2500;83;4573;9917;3687;1748.0;1555.0;85.0;300.0;6230;32818;22651;1799;1040.0;765.0;2619.0;793.0;1081.0;654.0;94.0;660;;660;621;420;7365;1597.0;5251.0;523.0;1152;318;2733;81;4850;10262;4087;1925.0;1723.0;87.0;365.0;6154;1.0;-1.1;-2.5;-0.8;-4.5;-2.0;3.9;-12.0;14.5;2.7;2.8;;2.8;2.1;1.4;-2.2;2.0;-3.6;2.4;-0.8;0.6;1.3;-5.6;-0.6;5.6;1.9;3.2;0.9;0.1;0.5;7.6;93.2;91.2;86.1;82.0;91.2;95.4;86.4;102.0;99.4;63.7;85.4;;85.4;100.0;89.8;89.3;89.9;88.9;89.5;88.0;95.3;91.5;102.3;94.3;96.6;90.2;90.8;90.2;97.1;82.1;101.2;6230;288;1099;7041;2472;4569;6154;323.0;1477.0;7335.0;;;7.6;-4.9;-10.8;5.1;;;101.2;89.1;74.4;96.0;;;4569;611;1299;125;2784;150;64;86;101.4;-3.4
20;2015;30143;19853;1641;876.0;765.0;2306;635.0;1042.0;575.0;54.0;563;;563;630;381;6312;1333.0;4568.0;411.0;1063;316;2381;79;4182;10290;3774;1850.0;1533.0;90.0;300.0;6516;33104;22507;1900;1036.0;863.0;2708.0;811.0;1135.0;671.0;90.0;646;;646;635;415;7410;1523.0;5415.0;478.0;1189;330;2660;77;4517;10673;4151;1983.0;1729.0;92.0;361.0;6489;0.9;-0.6;5.6;-0.3;12.8;3.4;2.3;5.0;2.7;-4.5;-2.1;;-2.1;2.3;-1.4;0.6;-4.6;3.1;-8.5;3.2;3.7;-2.6;-4.6;-6.9;4.0;1.6;3.0;0.3;5.3;-1.2;5.4;91.1;88.2;86.4;84.5;88.7;85.2;78.3;91.8;85.7;59.6;87.1;;87.1;99.3;91.9;85.2;87.5;84.4;86.0;89.4;95.7;89.5;102.7;92.6;96.4;90.9;93.3;88.7;98.2;83.2;100.4;6516;313;1076;7279;2481;4798;6489;338.0;1448.0;7652.0;;;5.4;4.7;-1.9;4.3;;;100.4;92.6;74.3;95.1;;;4798;644;1186;156;3122;149;63;85;104.7;3.3
21;2016;30488;19547;1729;954.0;775.0;1935;595.0;763.0;534.0;44.0;473;;473;632;394;6467;1417.0;4618.0;433.0;1092;314;2386;76;4047;10941;3855;1910.0;1542.0;100.0;305.0;7086;33801;22882;1901;1070.0;832.0;2765.0;846.0;1150.0;680.0;89.0;645;;645;630;430;7727;1539.0;5712.0;485.0;1204;326;2662;73;4512;10989;4221;2026.0;1745.0;101.0;359.0;6729;2.1;1.7;0.0;3.3;-3.6;2.1;4.4;1.3;1.3;-1.3;-0.1;;-0.1;-0.7;3.6;4.3;1.0;5.5;1.4;1.3;-1.0;0.1;-4.8;-0.1;3.0;1.7;2.2;0.9;10.1;-0.3;3.7;90.2;85.4;91.0;89.2;93.1;70.0;70.2;66.3;78.5;49.5;73.4;;73.4;100.2;91.8;83.7;92.1;80.8;89.3;90.7;96.3;89.7;103.7;89.7;99.6;91.3;94.2;88.4;98.2;84.7;105.3;7086;336;907;7657;2546;5111;6729;339.0;1192.0;7706.0;;;3.7;0.2;-17.7;0.7;;;105.3;99.2;76.1;99.4;;;5111;702;1083;108;3433;152;64;88;107.2;2.3
22;2017;32032;19869;1945;1079.0;866.0;2099;611.0;856.0;579.0;53.0;485;;485;669;396;6422;1307.0;4700.0;415.0;1095;319;2474;75;3889;12163;3905;1956.0;1522.0;111.0;316.0;8258;34018;22991;2002;1080.0;921.0;2782.0;853.0;1160.0;682.0;89.0;683;;683;672;428;7697;1563.0;5631.0;506.0;1195;330;2690;67;4436;11091;4253;2073.0;1715.0;110.0;362.0;6798;0.6;0.5;5.3;1.0;10.7;0.6;0.7;0.8;0.3;-0.1;5.8;;5.8;6.6;-0.3;-0.4;1.6;-1.4;4.3;-0.7;1.0;1.1;-8.8;-1.7;0.9;0.8;2.3;-1.7;8.8;0.7;1.0;94.2;86.4;97.1;99.9;94.0;75.4;71.7;73.8;84.9;59.5;71.0;;71.0;99.6;92.6;83.4;83.6;83.5;82.0;91.6;96.9;92.0;111.6;87.7;109.7;91.8;94.3;88.7;100.9;87.4;121.5;8258;356;913;8815;2642;6173;6798;344.0;1186.0;7769.0;;;1.0;1.7;-0.5;0.8;;;121.5;103.5;77.0;113.5;;;6173;759;960;103;4557;155;66;89;119.1;11.1
23;2018;31421;20320;1864;969.0;895.0;2224;633.0;915.0;615.0;60.0;483;;483;620;395;6808;1477.0;4875.0;457.0;1073;331;2490;69;3963;11101;4041;2050.0;1538.0;116.0;337.0;7061;33284;22483;2016;1078.0;937.0;2674.0;813.0;1116.0;660.0;85.0;655;;655;621;418;7628;1482.0;5681.0;467.0;1162;336;2666;63;4227;10862;4335;2149.0;1705.0;116.0;370.0;6529;-2.2;-2.2;0.7;-0.2;1.7;-3.9;-4.7;-3.8;-3.2;-4.5;-4.1;;-4.1;-7.6;-2.3;-0.9;-5.2;0.9;-7.7;-2.8;1.8;-0.9;-6.1;-4.7;-2.1;1.9;3.7;-0.6;5.4;2.2;-4.0;94.4;90.4;92.5;89.8;95.6;83.2;77.9;82.0;93.1;71.0;73.8;;73.8;99.8;94.4;89.2;99.6;85.8;97.8;92.3;98.5;93.4;110.2;93.8;102.2;93.2;95.4;90.2;99.6;91.2;108.1;7061;362;986;7685;2807;4878;6529;350.0;1273.0;7534.0;;;-4.0;1.6;7.3;-3.0;;;108.1;103.3;77.5;102.0;;;4878;713;883;100;3382;160;68;92;98.3;-17.4
24;2019;32755;20949;1877;943.0;933.0;2292;670.0;943.0;628.0;50.0;480;;480;635;425;6988;1488.0;5032.0;468.0;1120;332;2546;62;4192;11807;4249;2193.0;1578.0;123.0;355.0;7558;33906;22681;2002;1053.0;948.0;2750.0;828.0;1170.0;666.0;88.0;627;;627;639;445;7696;1453.0;5788.0;465.0;1173;343;2648;61;4277;11261;4439;2238.0;1702.0;121.0;381.0;6816;1.9;0.9;-0.6;-2.4;1.2;2.9;1.9;4.8;0.9;3.3;-4.3;;-4.3;2.9;6.4;0.9;-2.0;1.9;-0.5;0.9;2.2;-0.7;-2.1;1.2;3.7;2.4;4.2;-0.1;3.8;3.0;4.4;96.6;92.4;93.7;89.6;98.4;83.3;80.9;80.6;94.3;57.5;76.6;;76.6;99.3;95.5;90.8;102.4;86.9;100.8;95.5;96.8;96.1;101.3;98.0;104.8;95.7;98.0;92.7;101.6;93.2;110.9;7558;368;1021;8212;2980;5232;6816;359.0;1315.0;7862.0;;;4.4;2.5;3.3;4.3;;;110.9;102.4;77.7;104.5;;;5232;690;795;88;3834;161;70;91;101.1;2.8
25;2020;31724;20428;1875;993.0;882.0;1957;598.0;765.0;561.0;33.0;441;;441;662;435;6869;1432.0;4971.0;466.0;1120;343;2583;57;4086;11296;4442;2304.0;1639.0;127.0;371.0;6854;33964;22566;1991;1061.0;930.0;2773.0;842.0;1176.0;673.0;81.0;640;;640;667;448;7682;1481.0;5729.0;474.0;1156;349;2648;57;4147;11415;4550;2331.0;1706.0;125.0;389.0;6867;0.2;-0.5;-0.6;0.7;-1.9;0.8;1.7;0.6;1.0;-8.1;2.0;;2.0;4.4;0.7;-0.2;2.0;-1.0;2.0;-1.4;1.8;0.0;-7.1;-3.0;1.4;2.5;4.1;0.2;3.1;2.3;0.7;93.4;90.5;94.2;93.6;94.9;70.6;71.1;65.0;83.4;40.5;69.0;;69.0;99.2;97.0;89.4;96.7;86.8;98.3;96.9;98.0;97.5;99.3;98.5;99.0;97.6;98.8;96.1;102.4;95.4;99.8;6854;370;1490;7974;3104;4870;6867;366.0;1702.0;8197.0;;;0.7;2.0;29.5;4.3;;;99.8;101.1;87.5;97.3;;;4870;693;769;89;3497;161;72;89;96.3;-4.7
26;2021;34406;22647;2065;1119.0;946.0;2851;856.0;1232.0;685.0;78.0;664;;664;661;428;7490;1458.0;5564.0;468.0;1156;359;2695;52;4227;11758;4624;2400.0;1697.0;129.0;398.0;7134;34406;22647;2065;1119.0;946.0;2851.0;856.0;1232.0;685.0;78.0;664;;664;661;428;7490;1458.0;5564.0;468.0;1156;359;2695;52;4227;11758;4624;2400.0;1697.0;129.0;398.0;7134;1.3;0.4;3.7;5.5;1.7;2.8;1.6;4.7;1.9;-2.9;3.7;;3.7;-0.9;-4.5;-2.5;-1.6;-2.9;-1.2;0.0;2.6;1.8;-9.2;1.9;3.0;1.6;3.0;-0.5;3.4;2.3;3.9;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;7134;330;1722;8527;3214;5313;7134;330.0;1722.0;8527.0;;;3.9;-10.0;1.2;4.0;;;100.0;100.0;100.0;100.0;;;5313;729;724;85;3945;161;72;89;100.0;3.8
27;2022;40556;27254;2040;1153.0;887.0;4817;1689.0;2097.0;936.0;95.0;1262;;1262;655;469;9010;1493.0;7025.0;491.0;1188;397;2759;169;4487;13303;5026;2701.0;1720.0;137.0;469.0;8276;33438;21755;1887;1085.0;803.0;2405.0;746.0;914.0;679.0;66.0;651;;651;637;437;7442;1447.0;5531.0;464.0;1113;364;2595;52;4174;11682;4666;2458.0;1672.0;134.0;402.0;7017;-2.8;-3.9;-8.6;-3.1;-15.1;-15.7;-12.9;-25.8;-1.0;-15.3;-1.9;;-1.9;-3.6;2.1;-0.6;-0.7;-0.6;-1.0;-3.8;1.4;-3.7;-0.1;-1.3;-0.6;0.9;2.4;-1.5;4.2;0.8;-1.6;121.3;125.3;108.1;106.3;110.5;200.3;226.5;229.4;137.9;143.2;193.9;;193.9;102.8;107.4;121.1;103.1;127.0;106.0;106.8;109.3;106.3;326.9;107.5;113.9;107.7;109.9;102.9;101.7;116.7;118.0;8276;309;1219;9186;3364;5823;7017;315.0;1657.0;8359.0;;;-1.6;-4.4;-3.8;-2.0;;;118.0;98.0;73.6;109.9;;;5823;769;579;101;4576;162;72;90;101.2;1.2
28;2023;41462;26105;2028;1135.0;893.0;4162;1264.0;1999.0;815.0;84.0;760;;760;658;502;8570;1742.0;6247.0;581.0;1278;394;2846;283;4625;15357;5315;2929.0;1796.0;146.0;444.0;10042;32966;21419;1811;1037.0;774.0;2377.0;713.0;922.0;679.0;67.0;637;;637;632;441;7397;1505.0;5425.0;483.0;1120;335;2543;49;4065;11550;4729;2537.0;1651.0;139.0;400.0;6831;-1.4;-1.5;-4.0;-4.4;-3.5;-1.1;-4.5;0.9;0.1;1.0;-2.1;;-2.1;-0.8;1.1;-0.6;4.0;-1.9;4.3;0.7;-7.9;-2.0;-4.7;-2.6;-1.1;1.4;3.2;-1.2;3.4;-0.5;-2.6;125.8;121.9;112.0;109.5;115.3;175.1;177.3;216.8;120.1;125.4;119.3;;119.3;104.1;113.7;115.9;115.7;115.1;120.2;114.1;117.8;111.9;572.8;113.8;133.0;112.4;115.4;108.7;104.8;111.2;147.0;10042;331;1149;10861;3575;7285;6831;329.0;1691.0;8169.0;;;-2.6;4.5;2.0;-2.3;;;147.0;100.4;68.0;132.9;;;7285;807;460;284;6302;162;70;91;111.2;9.9
29;2024;41039;24799;2097;;;3416;;;;;615;;615;650;523;7772;;;;1315;420;2919;242;4830;16240;5607;;;;;10633;32561;21491;1806;;;;;;;;624;;624;664;446;7322;;;;1113;333;2525;48;4064;11101;4813;;;;;6360;-1.2;0.3;-0.3;;;4.8;;;;;-2.0;;-2.0;5.0;1.0;-1.0;;;;-0.6;-0.5;-0.7;-3.3;0.0;-3.9;1.8;;;;;-6.9;126.0;115.4;116.1;;;137.1;;;;;98.6;;98.6;97.9;117.4;106.2;;;;118.1;126.0;115.6;506.4;118.8;146.3;116.5;;;;;167.2;10633;340;1120;11414;3754;7660;6360;;;;;;-6.9;;;;;;167.2;;;;;;7660;861;518;290;6570;162;70;92;110.8;-0.3
