ID;CostComponents;Periods;InputPriceIndices_1;ChangesComparedToOneYearEarlier_2
103;Wages;2018 November;93.7;
104;Wages;2018 December;93.7;
105;Wages;2018;92.6;
106;Wages;2019 January;93.8;2.4
107;Wages;2019 February;93.8;2.4
108;Wages;2019 March;93.8;2.4
109;Wages;2019 April;93.9;2.4
110;Wages;2019 May;93.9;2.4
111;Wages;2019 June;94.1;2.7
112;Wages;2019 July;95.8;3.5
113;Wages;2019 August;95.8;2.4
114;Wages;2019 September;95.8;2.4
115;Wages;2019 October;95.8;2.3
116;Wages;2019 November;95.8;2.3
117;Wages;2019 December;97.3;3.9
118;Wages;2019;95.0;2.6
119;Wages;2020 January;97.8;4.2
120;Wages;2020 February;97.8;4.2
121;Wages;2020 March;97.8;4.2
122;Wages;2020 April;97.8;4.1
123;Wages;2020 May;97.9;4.3
124;Wages;2020 June;98.0;4.1
125;Wages;2020 July;99.6;3.9
126;Wages;2020 August;99.6;3.9
127;Wages;2020 September;99.6;3.9
128;Wages;2020 October;99.6;3.9
129;Wages;2020 November;99.6;3.9
130;Wages;2020 December;100.5;3.2
131;Wages;2020;98.8;4.0
132;Wages;2021 January;100.0;2.2
133;Wages;2021 February;100.0;2.2
134;Wages;2021 March;100.4;2.6
135;Wages;2021 April;100.5;2.7
136;Wages;2021 May;100.5;2.6
137;Wages;2021 June;100.5;2.5
138;Wages;2021 July;100.5;0.9
139;Wages;2021 August;99.4;-0.2
140;Wages;2021 September;99.4;-0.2
141;Wages;2021 October;99.7;0.1
142;Wages;2021 November;99.7;0.1
143;Wages;2021 December;99.7;-0.8
144;Wages;2021;100.0;1.2
145;Wages;2022 January;102.0;2.1
146;Wages;2022 February;102.0;2.1
147;Wages;2022 March;102.1;1.8
148;Wages;2022 April;102.6;2.2
149;Wages;2022 May;102.6;2.2
150;Wages;2022 June;102.6;2.2
151;Wages;2022 July;102.6;2.2
152;Wages;2022 August;102.6;3.3
153;Wages;2022 September;103.9;4.6
154;Wages;2022 October;103.9;4.3
155;Wages;2022 November;103.9;4.3
156;Wages;2022 December;103.9;4.3
157;Wages;2022;102.9;2.9
158;Wages;2023 January;105.4;3.3
159;Wages;2023 February;105.4;3.3
160;Wages;2023 March;107.0;4.7
161;Wages;2023 April;107.1;4.3
162;Wages;2023 May;107.1;4.3
163;Wages;2023 June;107.1;4.3
164;Wages;2023 July;108.4;5.6
165;Wages;2023 August;108.4;5.6
166;Wages;2023 September;108.4;4.3
167;Wages;2023 October;108.4;4.3
168;Wages;2023 November;108.4;4.3
169;Wages;2023 December;108.4;4.3
170;Wages;2023;107.5;4.4
171;Wages;2024 January;111.4;5.7
172;Wages;2024 February;111.4;5.7
173;Wages;2024 March;111.5;4.2
174;Wages;2024 April;111.7;4.3
175;Wages;2024 May;111.7;4.3
176;Wages;2024 June;111.7;4.3
177;Wages;2024 July;117.8;8.7
178;Wages;2024 August;117.8;8.7
179;Wages;2024 September;118.0;8.8
180;Wages;2024 October;117.9;8.8
181;Wages;2024 November;117.9;8.8
182;Wages;2024 December;117.9;8.8
183;Wages;2024;114.7;6.8
184;Wages;2025 January;118.3;6.1
185;Wages;2025 February;118.4;6.2
186;Building materials;2018 January;89.6;
187;Building materials;2018 February;89.8;
188;Building materials;2018 March;89.3;
189;Building materials;2018 April;89.8;
190;Building materials;2018 May;90.0;
191;Building materials;2018 June;90.4;
192;Building materials;2018 July;90.6;
193;Building materials;2018 August;90.7;
194;Building materials;2018 September;91.3;
195;Building materials;2018 October;90.9;
196;Building materials;2018 November;90.7;
197;Building materials;2018 December;91.2;
198;Building materials;2018;90.4;
199;Building materials;2019 January;92.6;3.3
200;Building materials;2019 February;92.6;3.1
201;Building materials;2019 March;92.8;3.9
202;Building materials;2019 April;92.8;3.4
203;Building materials;2019 May;92.9;3.2
204;Building materials;2019 June;92.9;2.8
205;Building materials;2019 July;93.3;3.0
206;Building materials;2019 August;92.9;2.4
207;Building materials;2019 September;93.0;1.9
208;Building materials;2019 October;92.9;2.2
209;Building materials;2019 November;92.8;2.3
210;Building materials;2019 December;92.8;1.8
211;Building materials;2019;92.9;2.8
212;Building materials;2020 January;93.7;1.1
213;Building materials;2020 February;93.6;1.1
214;Building materials;2020 March;93.6;0.8
215;Building materials;2020 April;92.9;0.1
216;Building materials;2020 May;92.5;-0.4
217;Building materials;2020 June;92.5;-0.4
218;Building materials;2020 July;92.7;-0.6
219;Building materials;2020 August;93.1;0.3
220;Building materials;2020 September;92.9;-0.2
221;Building materials;2020 October;92.7;-0.2
222;Building materials;2020 November;92.8;0.1
223;Building materials;2020 December;93.5;0.8
224;Building materials;2020;93.0;0.2
225;Building materials;2021 January;95.2;1.7
226;Building materials;2021 February;95.4;1.9
227;Building materials;2021 March;95.5;2.1
228;Building materials;2021 April;96.9;4.4
229;Building materials;2021 May;98.1;6.0
230;Building materials;2021 June;99.5;7.6
231;Building materials;2021 July;101.8;9.8
232;Building materials;2021 August;102.3;9.9
233;Building materials;2021 September;102.7;10.5
234;Building materials;2021 October;103.9;12.1
235;Building materials;2021 November;104.2;12.2
236;Building materials;2021 December;104.6;11.8
237;Building materials;2021;100.0;7.5
238;Building materials;2022 January;107.4;12.8
239;Building materials;2022 February;108.4;13.6
240;Building materials;2022 March;111.5;16.8
241;Building materials;2022 April;114.7;18.3
242;Building materials;2022 May;115.8;18.1
243;Building materials;2022 June;115.0;15.5
244;Building materials;2022 July;117.1;15.0
245;Building materials;2022 August;117.3;14.6
246;Building materials;2022 September;117.6;14.6
247;Building materials;2022 October;118.6;14.2
248;Building materials;2022 November;118.2;13.5
249;Building materials;2022 December;117.8;12.7
250;Building materials;2022;115.0;14.9
251;Building materials;2023 January;122.2;13.8
252;Building materials;2023 February;122.8;13.3
253;Building materials;2023 March;122.9;10.2
254;Building materials;2023 April;123.7;7.8
255;Building materials;2023 May;123.8;6.9
256;Building materials;2023 June;123.7;7.6
257;Building materials;2023 July;122.9;4.9
258;Building materials;2023 August;122.2;4.2
259;Building materials;2023 September;122.3;4.0
260;Building materials;2023 October;122.2;3.0
261;Building materials;2023 November;121.8;3.1
262;Building materials;2023 December;122.0;3.6
263;Building materials;2023;122.7;6.7
264;Building materials;2024 January;122.6;0.3
265;Building materials;2024 February;122.4;-0.3
266;Building materials;2024 March;122.5;-0.4
267;Building materials;2024 April;121.9;-1.4
268;Building materials;2024 May;121.3;-2.0
269;Building materials;2024 June;121.7;-1.6
270;Building materials;2024 July;122.1;-0.6
271;Building materials;2024 August;122.1;-0.1
272;Building materials;2024 September;121.7;-0.5
273;Building materials;2024 October;121.4;-0.7
274;Building materials;2024 November;121.6;-0.2
275;Building materials;2024 December;121.7;-0.3
276;Building materials;2024;121.9;-0.6
277;Building materials;2025 January;122.7;0.0
278;Building materials;2025 February;123.0;0.5
