ID;RegioS;Perioden;TotaalWegvoertuigen_1;Personenauto_2;TotaalBedrijfsvoertuigen_3;TotaalBedrijfsmotorvoertuigen_4;Bestelauto_5;VrachtautoExclTrekkerVoorOplegger_6;TrekkerVoorOplegger_7;SpeciaalVoertuig_8;Bus_9;TotaalAanhangwagensEnOpleggers_10;Aanhangwagen_11;Oplegger_12;Motorfiets_13;AlleVoertuigenMetBromfietskenteken_14;Snorfiets_15;Bromfiets_16;Brommobiel_17;OverigeVoertuigenMetBromfietskenteken_18;LandsdeelCode_19;ProvincieCode_20;CoropgebiedCode_21;Gemeentecode_22;Naam_23;GemeenteGrootteklasseCode_24;StedelijkheidVanGemeentenCode_25
13;Fryslân (PV);2022;546025;343211;127400;59069;48340;2789;3398;3234;1308;68331;63167;5164;31278;44136;23452;19365;1047;272;     1;    21;      ;      ;Fryslân                                 ;;
14;Fryslân (PV);2023;555220;347242;130185;60027;49150;2816;3521;3230;1310;70158;64727;5431;32125;45668;23726;20598;1050;294;      ;    21;      ;      ;FryslÃ¢n                                ;;
15;Drenthe (PV);2019;406450;262055;89018;36110;29778;1607;2369;2212;144;52908;49453;3455;25776;29601;18122;10763;600;116;  01  ;  22  ;      ;      ;Drenthe                                 ;;
16;Drenthe (PV);2020;414508;267060;90662;36906;30533;1632;2400;2200;141;53756;50228;3528;26075;30711;19217;10766;610;118;  01  ;  22  ;      ;      ;Drenthe                                 ;;
17;Drenthe (PV);2021;422939;271922;91850;37653;31341;1601;2411;2206;94;54197;50604;3593;26717;32450;20881;10855;594;120;      ;  22  ;01    ;      ;      Drenthe                           ;;
18;Drenthe (PV);2022;431814;276555;93940;38515;32180;1632;2435;2168;100;55425;51631;3794;27258;34061;22130;11195;606;130;     1;    22;      ;      ;Drenthe                                 ;;
19;Drenthe (PV);2023;437152;279019;95462;38897;32412;1639;2591;2167;88;56565;52587;3978;27854;34817;21991;12064;622;140;     1;    22;      ;      ;Drenthe                                 ;;
20;Overijssel (PV);2019;877982;570844;186249;79651;63481;4321;6430;4286;1133;106598;93527;13071;49139;71750;46137;24242;1138;233;  02  ;  23  ;      ;      ;Overijssel                              ;;
21;Overijssel (PV);2020;893965;580429;190535;81616;65343;4327;6591;4231;1124;108919;95249;13670;49666;73335;47361;24593;1130;251;  02  ;  23  ;      ;      ;Overijssel                              ;;
22;Overijssel (PV);2021;911709;589338;195449;85411;69029;4270;6675;4215;1222;110038;95742;14296;50756;76166;49631;25177;1103;255;      ;  23  ;02    ;      ;      Overijssel                        ;;
23;Overijssel (PV);2022;932162;601455;200593;87810;71319;4316;6880;4227;1068;112783;97753;15030;51899;78215;50868;25993;1111;243;     2;    23;      ;      ;Overijssel                              ;;
24;Overijssel (PV);2023;944329;607154;204523;88972;72482;4276;7184;4174;856;115551;99758;15793;53095;79557;50104;28099;1106;248;     2;    23;      ;      ;Overijssel                              ;;
25;Flevoland (PV);2019;487365;372423;74261;50092;46378;1162;1414;1079;59;24169;21810;2359;15091;25590;18262;6967;288;73;  02  ;  24  ;      ;      ;Flevoland                               ;;
26;Flevoland (PV);2020;492747;377715;73559;48867;45089;1170;1482;1071;55;24692;22132;2560;15131;26342;19266;6735;285;56;  02  ;  24  ;      ;      ;Flevoland                               ;;
27;Flevoland (PV);2021;480251;364462;72697;47920;44131;1175;1505;1058;51;24777;22186;2591;15579;27513;20451;6695;304;63;      ;  24  ;02    ;      ;      Flevoland                         ;;
28;Flevoland (PV);2022;481245;363232;73579;48016;44157;1165;1611;1030;53;25563;22753;2810;15847;28587;21409;6793;310;75;     2;    24;      ;      ;Flevoland                               ;;
29;Flevoland (PV);2023;484522;364785;74277;48099;44186;1156;1664;1032;61;26178;23239;2939;16169;29291;21649;7247;312;83;     2;    24;      ;      ;Flevoland                               ;;
30;Gelderland (PV);2019;1547300;1017700;312477;141127;110322;9969;12071;8320;445;171350;151595;19755;83721;133402;87765;42727;2437;473;  02  ;  25  ;      ;      ;Gelderland                              ;;
31;Gelderland (PV);2020;1575344;1034942;319105;144252;113057;10038;12449;8268;440;174853;154339;20514;85059;136238;89987;43436;2343;472;  02  ;  25  ;      ;      ;Gelderland                              ;;
32;Gelderland (PV);2021;1607672;1053395;323407;146250;115466;9885;12374;8132;393;177157;156162;20995;86742;144128;97002;44297;2323;506;      ;  25  ;02    ;      ;      Gelderland                        ;;
33;Gelderland (PV);2022;1641991;1071822;331169;150978;119724;9891;12834;8147;382;180191;160447;19744;88418;150582;100795;46852;2418;517;     2;    25;      ;      ;Gelderland                              ;;
34;Gelderland (PV);2023;1661080;1081124;335963;152591;120868;10014;13118;8183;408;183372;163451;19921;90232;153761;97492;53279;2472;518;     2;    25;      ;      ;Gelderland                              ;;
35;Utrecht (PV);2019;969143;689980;161269;89826;75931;4671;4384;3812;1028;71443;64368;7075;44287;73607;45292;26858;1128;329;  03  ;  26  ;      ;      ;Utrecht                                 ;;
36;Utrecht (PV);2020;997282;710795;166869;94323;80107;4808;4545;3803;1060;72546;65324;7222;44899;74719;46096;27138;1149;336;  03  ;  26  ;      ;      ;Utrecht                                 ;;
37;Utrecht (PV);2021;1013697;721967;168474;95778;81859;4780;4494;3735;910;72696;65287;7409;45788;77468;47920;28033;1179;336;      ;  26  ;03    ;      ;      Utrecht                           ;;
38;Utrecht (PV);2022;1033895;735995;173265;99309;85083;4825;4737;3737;927;73956;66355;7601;46281;78354;47883;28860;1277;334;     3;    26;      ;      ;Utrecht                                 ;;
39;Utrecht (PV);2023;1052896;752271;176548;101717;87647;4656;4825;3680;909;74831;66960;7871;46870;77207;43964;31589;1314;340;     3;    26;      ;      ;Utrecht                                 ;;
40;Noord-Holland (PV);2019;1776403;1202573;276513;151204;124815;7703;8581;7665;2440;125309;112075;13234;101280;196037;119560;73300;2380;797;  03  ;  27  ;      ;      ;Noord-Holland                           ;;
41;Noord-Holland (PV);2020;1795210;1221149;280654;154169;127615;7779;8724;7488;2563;126485;112729;13756;102560;190847;113041;74519;2490;797;  03  ;  27  ;      ;      ;Noord-Holland                           ;;
42;Noord-Holland (PV);2021;1814917;1237006;281558;155234;129138;7546;8679;7324;2547;126324;112322;14002;103465;192888;112033;76904;3135;816;      ;  27  ;03    ;      ;      Noord-Holland                     ;;
43;Noord-Holland (PV);2022;1851071;1263783;288158;158597;132595;7326;8962;7278;2436;129561;113142;16419;103604;195526;111590;79720;3386;830;     3;    27;      ;      ;NoordHolland                            ;;
44;Noord-Holland (PV);2023;1875913;1281070;293426;161450;134313;7433;9692;7271;2741;131976;114502;17474;104179;197238;107258;85336;3814;830;     3;    27;      ;      ;Noord-Holland                           ;;
45;Zuid-Holland (PV);2019;2305508;1570914;372264;187811;152580;10347;15113;8384;1387;184453;142294;42159;110042;252288;163847;85020;2695;726;  03  ;  28  ;      ;      ;Zuid-Holland                            ;;
46;Zuid-Holland (PV);2020;2341322;1593041;379485;192279;157076;10148;15361;8371;1323;187206;144001;43205;112158;256638;169663;83608;2613;754;  03  ;  28  ;      ;      ;Zuid-Holland                            ;;
47;Zuid-Holland (PV);2021;2373708;1615218;380539;193890;159041;9943;15468;8296;1142;186649;143534;43115;114726;263225;177327;82524;2609;765;      ;  28  ;03    ;      ;      Zuid-Holland                      ;;
48;Zuid-Holland (PV);2022;2414287;1639854;391122;199304;164114;9973;15901;8288;1028;191818;146077;45741;117128;266183;180283;82413;2684;803;     3;    28;      ;      ;ZuidHolland                             ;;
49;Zuid-Holland (PV);2023;2432593;1645748;398783;202799;166919;9983;16545;8299;1053;195984;147803;48181;119696;268366;176921;87853;2765;827;     3;    28;      ;      ;Zuid-Holland                            ;;
50;Zeeland (PV);2019;308134;201301;63923;29222;23618;1371;2103;1719;411;34701;29833;4868;17246;25664;13976;11032;517;139;  03  ;  29  ;      ;      ;Zeeland                                 ;;
51;Zeeland (PV);2020;312212;203273;64663;29704;24188;1337;2096;1662;421;34959;30359;4600;17438;26838;15000;11174;526;138;  03  ;  29  ;      ;      ;Zeeland                                 ;;
52;Zeeland (PV);2021;317869;206026;65167;29740;24551;1341;2048;1656;144;35427;30799;4628;17776;28900;16868;11388;498;146;      ;  29  ;03    ;      ;      Zeeland                           ;;
53;Zeeland (PV);2022;324885;208967;66881;30572;25387;1343;2097;1646;99;36309;31556;4753;18211;30826;18474;11675;524;153;     3;    29;      ;      ;Zeeland                                 ;;
54;Zeeland (PV);2023;330228;210917;68332;31182;25946;1321;2141;1664;110;37150;32276;4874;18665;32314;18909;12701;550;154;     3;    29;      ;      ;Zeeland                                 ;;
55;Noord-Brabant (PV);2019;2032833;1374772;392577;188453;150244;12069;15483;10108;549;204124;171250;32874;99290;166194;113442;49401;2878;473;  04  ;  30  ;      ;      ;Noord-Brabant                           ;;
56;Noord-Brabant (PV);2020;2069702;1398457;402159;193705;155430;12055;15712;9984;524;208454;174093;34361;100513;168573;116076;49141;2842;514;  04  ;  30  ;      ;      ;Noord-Brabant                           ;;
57;Noord-Brabant (PV);2021;2099134;1413174;407060;196822;158850;11958;15603;9920;491;210238;175552;34686;102541;176359;122686;49883;2858;932;      ;  30  ;04    ;      ;      Noord-Brabant                     ;;
58;Noord-Brabant (PV);2022;2136806;1433498;417697;202409;164076;12090;15971;9819;453;215288;179765;35523;104680;180931;125864;51058;2917;1092;     4;    30;      ;      ;NoordBrabant                            ;;
59;Noord-Brabant (PV);2023;2166615;1452605;425501;205647;166842;11985;16638;9695;487;219854;182822;37032;106727;181782;122444;55230;2937;1171;     4;    30;      ;      ;Noord-Brabant                           ;;
60;Limburg (PV);2019;857915;580501;150603;64659;50462;4041;5689;4115;352;85944;68354;17590;45420;81391;52682;26747;1700;262;  04  ;  31  ;      ;      ;Limburg                                 ;;
61;Limburg (PV);2020;867121;586924;152366;65244;51261;4022;5518;4081;362;87122;69833;17289;45604;82227;53791;26516;1668;252;  04  ;  31  ;      ;      ;Limburg                                 ;;
62;Limburg (PV);2021;876990;593043;153018;66018;52209;3972;5446;4040;351;87000;70317;16683;46140;84789;56358;26491;1691;249;      ;  31  ;04    ;      ;      Limburg                           ;;
63;Limburg (PV);2022;889849;599801;157260;67585;53705;3906;5602;4040;332;89675;72178;17497;46906;85882;57146;26774;1712;250;     4;    31;      ;      ;Limburg                                 ;;
64;Limburg (PV);2023;897208;602590;160766;68298;54396;3872;5655;4014;361;92468;74049;18419;48135;85717;55574;28186;1696;261;     4;    31;      ;      ;Limburg                                 ;;
65;Noord-Nederland (LD);2019;1335495;861974;292901;128606;105174;5998;7520;8205;1709;164295;153306;10989;80530;100090;55954;41037;2530;569;  01  ;      ;      ;      ;Noord-Nederland                         ;;
66;Noord-Nederland (LD);2020;1361032;877666;299030;131784;108085;6062;7640;8170;1827;167246;155921;11325;81359;102977;58363;41485;2544;585;  01  ;      ;      ;      ;Noord-Nederland                         ;;
67;Noord-Nederland (LD);2021;1388674;892790;304021;134677;111159;5961;7640;8118;1799;169344;157735;11609;83084;108779;63066;42599;2493;621;      ;      ;01    ;      ;      Noord-Nederland                   ;;
68;Noord-Nederland (LD);2022;1420467;909302;311913;138277;114632;6032;7841;8018;1754;173636;161460;12176;84813;114439;67041;44144;2538;716;     1;      ;      ;      ;NoordNederland                          ;;
69;Noord-Nederland (LD);2023;1441541;918843;318031;140306;116242;6115;8217;7962;1770;177725;164967;12758;86956;117711;66904;47476;2582;749;     1;      ;      ;      ;Noord-Nederland                         ;;
70;Oost-Nederland (LD);2019;2912647;1960967;572987;270870;220181;15452;19915;13685;1637;302117;266932;35185;147951;230742;152164;73936;3863;779;  02  ;      ;      ;      ;Oost-Nederland                          ;;
71;Oost-Nederland (LD);2020;2962056;1993086;583199;274735;223489;15535;20522;13570;1619;308464;271720;36744;149856;235915;156614;74764;3758;779;  02  ;      ;      ;      ;Oost-Nederland                          ;;
72;Oost-Nederland (LD);2021;2999632;2007195;591553;279581;228626;15330;20554;13405;1666;311972;274090;37882;153077;247807;167084;76169;3730;824;      ;      ;02    ;      ;      Oost-Nederland                    ;;
73;Oost-Nederland (LD);2022;3055398;2036509;605341;286804;235200;15372;21325;13404;1503;318537;280953;37584;156164;257384;173072;79638;3839;835;     2;      ;      ;      ;OostNederland                           ;;
74;Oost-Nederland (LD);2023;3089931;2053063;614763;289662;237536;15446;21966;13389;1325;325101;286448;38653;159496;262609;169245;88625;3890;849;     2;      ;      ;      ;Oost-Nederland                          ;;
75;West-Nederland (LD);2019;5359188;3664768;873969;458063;376944;24092;30181;21580;5266;415906;348570;67336;272855;547596;342675;196210;6720;1991;  03  ;      ;      ;      ;West-Nederland                          ;;
76;West-Nederland (LD);2020;5446026;3728258;891671;470475;388986;24072;30726;21324;5367;421196;352413;68783;277055;549042;343800;196439;6778;2025;  03  ;      ;      ;      ;West-Nederland                          ;;
77;West-Nederland (LD);2021;5520191;3780217;895738;474642;394589;23610;30689;21011;4743;421096;351942;69154;281755;562481;354148;198849;7421;2063;      ;      ;03    ;      ;      West-Nederland                    ;;
78;West-Nederland (LD);2022;5624138;3848599;919426;487782;407179;23467;31697;20949;4490;431644;357130;74514;285224;570889;358230;202668;7871;2120;     3;      ;      ;      ;WestNederland                           ;;
79;West-Nederland (LD);2023;5691630;3890006;937089;497148;414825;23393;33203;20914;4813;439941;361541;78400;289410;575125;347052;217479;8443;2151;     3;      ;      ;      ;West-Nederland                          ;;
80;Zuid-Nederland (LD);2019;2890748;1955273;543180;253112;200706;16110;21172;14223;901;290068;239604;50464;144710;247585;166124;76148;4578;735;  04  ;      ;      ;      ;Zuid-Nederland                          ;;
81;Zuid-Nederland (LD);2020;2936823;1985381;554525;258949;206691;16077;21230;14065;886;295576;243926;51650;146117;250800;169867;75657;4510;766;  04  ;      ;      ;      ;Zuid-Nederland                          ;;
82;Zuid-Nederland (LD);2021;2976124;2006217;560078;262840;211059;15930;21049;13960;842;297238;245869;51369;148681;261148;179044;76374;4549;1181;      ;      ;04    ;      ;      Zuid-Nederland                    ;;
83;Zuid-Nederland (LD);2022;3026655;2033299;574957;269994;217781;15996;21573;13859;785;304963;251943;53020;151586;266813;183010;77832;4629;1342;     4;      ;      ;      ;ZuidNederland                           ;;
84;Zuid-Nederland (LD);2023;3063823;2055195;586267;273945;221238;15857;22293;13709;848;312322;256871;55451;154862;267499;178018;83416;4633;1432;     4;      ;      ;      ;Zuid-Nederland                          ;;
85;Oost-Groningen (CR);2019;110727;71732;24858;9803;8034;414;712;622;21;15055;14159;896;7266;6871;3514;3020;310;27;  01  ;  20  ;  01  ;      ;Oost-Groningen                          ;;
86;Oost-Groningen (CR);2020;112791;72908;25322;10004;8236;406;717;623;22;15318;14428;890;7345;7216;3772;3073;339;32;  01  ;  20  ;  01  ;      ;Oost-Groningen                          ;;
87;Oost-Groningen (CR);2021;115449;74438;25786;10228;8459;400;732;617;20;15558;14678;880;7590;7635;4115;3133;347;40;      ;  20  ;01    ;      ;      Oost-Groningen                    ;;
88;Oost-Groningen (CR);2022;118357;75806;26584;10570;8798;427;728;603;14;16014;15090;924;7811;8156;4512;3254;347;43;     1;    20;     1;      ;OostGroningen                           ;;
89;Oost-Groningen (CR);2023;120398;76641;27090;10684;8909;430;735;591;19;16406;15464;942;8070;8597;4715;3487;348;47;     1;    20;     1;      ;Oost-Groningen                          ;;
90;Delfzijl en omgeving (CR);2019;34479;22932;6598;2661;2284;70;124;181;2;3937;3755;182;2515;2434;1189;1135;95;15;  01  ;  20  ;  02  ;      ;Delfzijl en omgeving                    ;;
91;Delfzijl en omgeving (CR);2020;34981;23171;6779;2733;2360;68;120;183;2;4046;3854;192;2543;2488;1245;1131;94;18;  01  ;  20  ;  02  ;      ;Delfzijl en omgeving                    ;;
92;Delfzijl en omgeving (CR);2021;35543;23480;6883;2760;2391;68;126;173;2;4123;3926;197;2596;2584;1347;1119;96;22;      ;  20  ;01    ;      ;      Delfzijl en omgeving              ;;
93;Delfzijl en omgeving (CR);2022;36168;23797;7089;2856;2464;70;142;179;1;4233;4023;210;2667;2615;1376;1115;98;26;     1;    20;     2;      ;Delfzijl en omgeving                    ;;
94;Delfzijl en omgeving (CR);2023;36828;24085;7189;2873;2476;79;137;181;0;4316;4088;228;2775;2779;1399;1249;106;25;     1;    20;     2;      ;Delfzijl en omgeving                    ;;
95;Overig Groningen (CR);2019;271719;180113;53492;25146;21041;1104;1104;1821;76;28346;26440;1906;15080;23034;14104;8278;413;239;  01  ;  20  ;  03  ;      ;Overig Groningen                        ;;
96;Overig Groningen (CR);2020;276427;183202;54656;25919;21583;1108;1133;1828;267;28737;26730;2007;15167;23402;14319;8432;416;235;  01  ;  20  ;  03  ;      ;Overig Groningen                        ;;
97;Overig Groningen (CR);2021;282011;186132;55883;26773;22375;1123;1119;1835;321;29110;27073;2037;15479;24517;15022;8848;409;238;      ;  20  ;01    ;      ;      Overig Groningen                  ;;
98;Overig Groningen (CR);2022;288103;189933;56900;27267;22850;1114;1138;1834;331;29633;27549;2084;15799;25471;15571;9215;440;245;     1;    20;     3;      ;Overig Groningen                        ;;
99;Overig Groningen (CR);2023;291943;191856;58105;27825;23295;1151;1233;1793;353;30280;28101;2179;16132;25850;15073;10078;456;243;     1;    20;     3;      ;Overig Groningen                        ;;
100;Noord-Friesland (CR);2019;239594;152437;52977;24221;19882;1326;1274;1653;86;28756;26974;1782;13440;20740;10788;9302;562;88;  01  ;  21  ;  04  ;      ;Noord-Friesland                         ;;
101;Noord-Friesland (CR);2020;244507;155594;54197;24887;20530;1355;1272;1645;85;29310;27502;1808;13677;21039;11097;9306;541;95;  01  ;  21  ;  04  ;      ;Noord-Friesland                         ;;
102;Noord-Friesland (CR);2021;249643;158570;55128;25376;21173;1299;1219;1605;80;29752;27910;1842;13953;21992;11907;9459;519;107;      ;  21  ;01    ;      ;      Noord-Friesland                   ;;
103;Noord-Friesland (CR);2022;255818;161625;56807;26163;21945;1316;1256;1584;62;30644;28698;1946;14290;23096;12595;9801;528;172;     1;    21;     4;      ;NoordFriesland                          ;;
104;Noord-Friesland (CR);2023;260346;163429;58398;26792;22366;1367;1391;1594;74;31606;29383;2223;14666;23853;12796;10358;535;164;     1;    21;     4;      ;Noord-Friesland                         ;;
105;Zuidwest-Friesland (CR);2019;112490;71370;27276;12435;10424;603;726;653;29;14841;13866;975;6812;7032;3345;3404;245;38;  01  ;  21  ;  05  ;      ;Zuidwest-Friesland                      ;;
106;Zuidwest-Friesland (CR);2020;114454;72418;27858;12720;10688;611;720;672;29;15138;14154;984;6912;7266;3504;3487;239;36;  01  ;  21  ;  05  ;      ;Zuidwest-Friesland                      ;;
107;Zuidwest-Friesland (CR);2021;116716;73492;28434;12997;10936;593;751;689;28;15437;14392;1045;7010;7780;3841;3673;228;38;      ;  21  ;01    ;      ;      Zuidwest-Friesland                ;;
108;Zuidwest-Friesland (CR);2022;119398;74679;29220;13410;11364;588;767;667;24;15810;14745;1065;7092;8407;4342;3806;222;37;     1;    21;     5;      ;ZuidwestFriesland                       ;;
109;Zuidwest-Friesland (CR);2023;121042;75291;29712;13487;11427;566;790;678;26;16225;15125;1100;7330;8709;4371;4076;226;36;     1;    21;     5;      ;Zuidwest-Friesland                      ;;
110;Zuidoost-Friesland (CR);2019;160036;101335;38682;18230;13731;874;1211;1063;1351;20452;18659;1793;9641;10378;4892;5135;305;46;  01  ;  21  ;  06  ;      ;Zuidoost-Friesland                      ;;
111;Zuidoost-Friesland (CR);2020;163364;103313;39556;18615;14155;882;1278;1019;1281;20941;19025;1916;9640;10855;5209;5290;305;51;  01  ;  21  ;  06  ;      ;Zuidoost-Friesland                      ;;
112;Zuidoost-Friesland (CR);2021;166373;104756;40057;18890;14484;877;1282;993;1254;21167;19152;2015;9739;11821;5953;5512;300;56;      ;  21  ;01    ;      ;      Zuidoost-Friesland                ;;
113;Zuidoost-Friesland (CR);2022;170809;106907;41373;19496;15031;885;1375;983;1222;21877;19724;2153;9896;12633;6515;5758;297;63;     1;    21;     6;      ;ZuidoostFriesland                       ;;
114;Zuidoost-Friesland (CR);2023;173832;108522;42075;19748;15357;883;1340;958;1210;22327;20219;2108;10129;13106;6559;6164;289;94;     1;    21;     6;      ;Zuidoost-Friesland                      ;;
115;Noord-Drenthe (CR);2019;156585;103935;31766;12338;10197;504;677;899;61;19428;18448;980;10181;10703;6200;4261;193;49;  01  ;  22  ;  07  ;      ;Noord-Drenthe                           ;;
116;Noord-Drenthe (CR);2020;159946;106245;32457;12741;10532;534;714;902;59;19716;18724;992;10252;10992;6518;4231;195;48;  01  ;  22  ;  07  ;      ;Noord-Drenthe                           ;;
117;Noord-Drenthe (CR);2021;163572;108687;32919;13054;10875;527;704;898;50;19865;18817;1048;10454;11512;7000;4278;185;49;      ;  22  ;01    ;      ;      Noord-Drenthe                     ;;
118;Noord-Drenthe (CR);2022;166660;110540;33697;13416;11253;529;726;855;53;20281;19170;1111;10625;11798;7093;4477;177;51;     1;    22;     7;      ;NoordDrenthe                            ;;
119;Noord-Drenthe (CR);2023;168320;111333;34043;13527;11388;527;729;836;47;20516;19391;1125;10837;12107;6936;4916;195;60;     1;    22;     7;      ;Noord-Drenthe                           ;;
120;Zuidoost-Drenthe (CR);2019;141096;89363;31935;12972;10599;622;978;768;5;18963;17345;1618;8836;10962;6841;3847;224;50;  01  ;  22  ;  08  ;      ;Zuidoost-Drenthe                        ;;
121;Zuidoost-Drenthe (CR);2020;143703;90738;32479;13273;10954;608;970;735;6;19206;17537;1669;8996;11490;7340;3859;237;54;  01  ;  22  ;  08  ;      ;Zuidoost-Drenthe                        ;;
122;Zuidoost-Drenthe (CR);2021;146351;92091;32765;13473;11183;600;953;733;4;19292;17677;1615;9301;12194;8070;3838;234;52;      ;  22  ;01    ;      ;      Zuidoost-Drenthe                  ;;
123;Zuidoost-Drenthe (CR);2022;149561;93448;33499;13728;11410;611;952;750;5;19771;18063;1708;9605;13009;8821;3890;241;57;     1;    22;     8;      ;ZuidoostDrenthe                         ;;
124;Zuidoost-Drenthe (CR);2023;151833;94449;34148;13867;11410;626;1078;748;5;20281;18443;1838;9881;13355;8955;4108;240;52;     1;    22;     8;      ;Zuidoost-Drenthe                        ;;
125;Zuidwest-Drenthe (CR);2019;108769;68757;25317;10800;8982;481;714;545;78;14517;13660;857;6759;7936;5081;2655;183;17;  01  ;  22  ;  09  ;      ;Zuidwest-Drenthe                        ;;
126;Zuidwest-Drenthe (CR);2020;110859;70077;25726;10892;9047;490;716;563;76;14834;13967;867;6827;8229;5359;2676;178;16;  01  ;  22  ;  09  ;      ;Zuidwest-Drenthe                        ;;
127;Zuidwest-Drenthe (CR);2021;113016;71144;26166;11126;9283;474;754;575;40;15040;14110;930;6962;8744;5811;2739;175;19;      ;  22  ;01    ;      ;      Zuidwest-Drenthe                  ;;
128;Zuidwest-Drenthe (CR);2022;115593;72567;26744;11371;9517;492;757;563;42;15373;14398;975;7028;9254;6216;2828;188;22;     1;    22;     9;      ;ZuidwestDrenthe                         ;;
129;Zuidwest-Drenthe (CR);2023;116999;73237;27271;11503;9614;486;784;583;36;15768;14753;1015;7136;9355;6100;3040;187;28;     1;    22;     9;      ;Zuidwest-Drenthe                        ;;
130;Noord-Overijssel (CR);2019;283528;177110;66955;28758;23088;1517;2460;1556;137;38197;33323;4874;17239;22224;13243;8505;394;82;  02  ;  23  ;  10  ;      ;Noord-Overijssel                        ;;
131;Noord-Overijssel (CR);2020;289280;180342;68752;29659;23879;1532;2536;1550;162;39093;34279;4814;17506;22680;13538;8665;384;93;  02  ;  23  ;  10  ;      ;Noord-Overijssel                        ;;
132;Noord-Overijssel (CR);2021;295562;183952;70068;30408;24602;1516;2596;1548;146;39660;34632;5028;17952;23590;14126;8991;384;89;      ;  23  ;02    ;      ;      Noord-Overijssel                  ;;
133;Noord-Overijssel (CR);2022;302417;187713;72114;31382;25515;1520;2646;1569;132;40732;35533;5199;18313;24277;14502;9310;378;87;     2;    23;    10;      ;NoordOverijssel                         ;;
134;Noord-Overijssel (CR);2023;307832;190584;73588;31881;25929;1492;2757;1560;143;41707;36367;5340;18779;24881;14303;10105;382;91;     2;    23;    10;      ;Noord-Overijssel                        ;;
135;Zuidwest-Overijssel (CR);2019;110278;73077;20377;8663;6443;428;543;510;739;11714;10647;1067;6427;10397;7437;2778;150;32;  02  ;  23  ;  11  ;      ;Zuidwest-Overijssel                     ;;
136;Zuidwest-Overijssel (CR);2020;112092;74436;20724;8859;6637;420;545;488;769;11865;10778;1087;6431;10501;7498;2824;144;35;  02  ;  23  ;  11  ;      ;Zuidwest-Overijssel                     ;;
137;Zuidwest-Overijssel (CR);2021;114086;75680;21165;9197;6829;400;530;503;935;11968;10776;1192;6544;10697;7712;2820;128;37;      ;  23  ;02    ;      ;      Zuidwest-Overijssel               ;;
