ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersInternetomzet_1;OmzetontwikkelingTOVEenJaarEerder_2
129;Detailhandel (geen webwinkels);2017 augustus;169.8;18.6
130;Detailhandel (geen webwinkels);2017 september;203.6;30.3
131;Detailhandel (geen webwinkels);2017 3e kwartaal;184.8;23.6
132;Detailhandel (geen webwinkels);2017 oktober;206.5;10.4
133;Detailhandel (geen webwinkels);2017 november;256.5;23.3
134;Detailhandel (geen webwinkels);2017 december;271.5;28.8
135;Detailhandel (geen webwinkels);2017 4e kwartaal;244.9;21.2
136;Detailhandel (geen webwinkels);2017;201.7;21.6
137;Detailhandel (geen webwinkels);2018 januari;247.1;26.4
138;Webwinkels;2014 januari;101.8;3.8
139;Webwinkels;2014 februari;92.3;4.0
140;Webwinkels;2014 maart;99.8;9.1
141;Webwinkels;2014 1e kwartaal;98.0;5.6
142;Webwinkels;2014 april;102.6;13.0
143;Webwinkels;2014 mei;106.2;5.9
144;Webwinkels;2014 juni;106.6;8.6
145;Webwinkels;2014 2e kwartaal;105.1;9.1
146;Webwinkels;2014 juli;104.5;2.7
147;Webwinkels;2014 augustus;102.5;7.8
148;Webwinkels;2014 september;108.2;4.2
149;Webwinkels;2014 3e kwartaal;105.1;4.8
150;Webwinkels;2014 oktober;109.3;8.8
151;Webwinkels;2014 november;120.9;11.8
152;Webwinkels;2014 december;146.0;18.4
153;Webwinkels;2014 4e kwartaal;125.4;13.3
154;Webwinkels;2014;108.4;8.4
155;Webwinkels;2015 januari;114.7;12.7
156;Webwinkels;2015 februari;104.4;13.1
157;Webwinkels;2015 maart;119.1;19.3
158;Webwinkels;2015 1e kwartaal;112.7;15.1
159;Webwinkels;2015 april;121.8;18.7
160;Webwinkels;2015 mei;119.7;12.8
161;Webwinkels;2015 juni;133.8;25.5
162;Webwinkels;2015 2e kwartaal;125.1;19.0
163;Webwinkels;2015 juli;130.7;25.1
164;Webwinkels;2015 augustus;127.0;23.9
165;Webwinkels;2015 september;140.8;30.2
166;Webwinkels;2015 3e kwartaal;132.8;26.4
167;Webwinkels;2015 oktober;133.3;21.9
168;Webwinkels;2015 november;158.2;30.9
169;Webwinkels;2015 december;189.1;29.5
170;Webwinkels;2015 4e kwartaal;160.2;27.8
171;Webwinkels;2015;132.7;22.4
172;Webwinkels;2016 januari;149.7;30.5
173;Webwinkels;2016 februari;134.5;28.9
174;Webwinkels;2016 maart;150.8;26.6
175;Webwinkels;2016 1e kwartaal;145.0;28.6
176;Webwinkels;2016 april;146.9;20.7
177;Webwinkels;2016 mei;153.7;28.4
178;Webwinkels;2016 juni;165.2;23.5
179;Webwinkels;2016 2e kwartaal;155.3;24.1
180;Webwinkels;2016 juli;155.4;18.9
181;Webwinkels;2016 augustus;155.1;22.1
182;Webwinkels;2016 september;161.0;14.4
183;Webwinkels;2016 3e kwartaal;157.2;18.3
184;Webwinkels;2016 oktober;165.4;24.1
185;Webwinkels;2016 november;195.3;23.4
186;Webwinkels;2016 december;211.9;12.0
187;Webwinkels;2016 4e kwartaal;190.8;19.1
188;Webwinkels;2016;162.1;22.1
189;Webwinkels;2017 januari;172.8;15.4
190;Webwinkels;2017 februari;155.4;15.5
191;Webwinkels;2017 maart;166.4;10.4
192;Webwinkels;2017 1e kwartaal;164.9;13.7
193;Webwinkels;2017 april;165.3;12.5
194;Webwinkels;2017 mei;184.2;19.8
195;Webwinkels;2017 juni;186.8;13.1
196;Webwinkels;2017 2e kwartaal;178.8;15.1
197;Webwinkels;2017 juli;184.1;18.4
198;Webwinkels;2017 augustus;179.0;15.4
199;Webwinkels;2017 september;189.3;17.5
200;Webwinkels;2017 3e kwartaal;184.1;17.1
201;Webwinkels;2017 oktober;192.9;16.6
202;Webwinkels;2017 november;233.8;19.7
203;Webwinkels;2017 december;252.2;19.0
204;Webwinkels;2017 4e kwartaal;226.3;18.6
205;Webwinkels;2017;188.5;16.3
206;Webwinkels;2018 januari;206.1;19.3
