ID;OriginOfExports;Periods;ExportsOfGoodsAndServices_1;ExportsOfGoods_2;ExportsOfServices_3;ExportsOfGoodsAndServices_4;ExportsOfGoods_5;ExportsOfServices_6;ExportsOfGoodsAndServices_7;ExportsOfGoods_8;ExportsOfServices_9;ExportsOfGoodsAndServices_10;ExportsOfGoods_11;ExportsOfServices_12
39;11 Manufacture of beverages;2021;5545;5426;119;5545.0;5426.0;119.0;;;;100.0;100.0;100.0
40;11 Manufacture of beverages;2022;6683;6528;155;5654.0;5508.0;146.0;2.0;1.5;22.7;118.2;118.5;106.2
41;11 Manufacture of beverages;2023;6927;6751;176;5492.0;5342.0;151.0;-2.9;-3.0;3.2;126.1;126.4;116.8
42;12 Manufacture of tobacco products;2021;912;821;91;912.0;821.0;91.0;;;;100.0;100.0;100.0
43;12 Manufacture of tobacco products;2022;819;660;159;793.0;635.0;158.0;-13.0;-22.7;73.6;103.3;103.9;100.6
44;12 Manufacture of tobacco products;2023;811;661;150;785.0;641.0;144.0;-1.0;0.9;-8.8;103.3;103.2;104.1
45;13-15 Man. of textile-, leatherproducts;2021;2554;2534;20;2554.0;2534.0;20.0;;;;100.0;100.0;100.0
46;13-15 Man. of textile-, leatherproducts;2022;2244;2213;31;2086.0;2060.0;26.0;-18.3;-18.7;30.0;107.6;107.4;119.2
47;13-15 Man. of textile-, leatherproducts;2023;2334;2298;36;2000.0;1969.0;30.0;-4.1;-4.4;16.1;116.7;116.7;119.2
48;16-18 Man. wood en paperprod., printing;2021;6619;6434;185;6619.0;6434.0;185.0;;;;100.0;100.0;100.0
49;16-18 Man. wood en paperprod., printing;2022;7414;7173;241;6039.0;5801.0;238.0;-8.8;-9.8;28.6;122.8;123.7;101.3
50;16-18 Man. wood en paperprod., printing;2023;6275;6055;220;5274.0;5063.0;212.0;-12.7;-12.7;-10.8;119.0;119.6;103.6
51;16 Manufacture of wood products;2021;853;831;22;853.0;831.0;22.0;;;;100.0;100.0;100.0
52;16 Manufacture of wood products;2022;933;907;26;737.0;709.0;28.0;-13.6;-14.7;27.3;126.6;127.9;92.9
53;16 Manufacture of wood products;2023;989;967;22;758.0;732.0;24.0;2.8;3.3;-15.4;130.6;132.0;92.9
54;17 Manufacture of paper;2021;5368;5235;133;5368.0;5235.0;133.0;;;;100.0;100.0;100.0
55;17 Manufacture of paper;2022;6042;5862;180;4899.0;4725.0;174.0;-8.7;-9.7;30.8;123.3;124.1;103.4
56;17 Manufacture of paper;2023;4775;4612;163;4082.0;3931.0;152.0;-16.7;-16.8;-12.8;117.0;117.3;107.4
57;18 Printing and reproduction;2021;398;368;30;398.0;368.0;30.0;;;;100.0;100.0;100.0
58;18 Printing and reproduction;2022;439;404;35;403.0;367.0;36.0;1.3;-0.3;20.0;108.9;110.1;97.2
59;18 Printing and reproduction;2023;511;476;35;442.0;405.0;37.0;9.8;10.4;2.9;115.5;117.5;94.5
60;19 Manufacture of coke and petroleum;2021;23808;23269;539;23808.0;23269.0;539.0;;;;100.0;100.0;100.0
61;19 Manufacture of coke and petroleum;2022;39356;38639;717;23489.0;22838.0;651.0;-1.3;-1.9;20.8;167.6;169.2;110.1
62;19 Manufacture of coke and petroleum;2023;35933;35327;606;25365.0;24682.0;674.0;8.0;8.1;3.5;141.7;143.1;90.0
63;20-21 Chemistry and pharmaceuticals;2021;58208;51742;6466;58208.0;51742.0;6466.0;;;;100.0;100.0;100.0
64;20-21 Chemistry and pharmaceuticals;2022;70192;61206;8986;58890.0;50271.0;8619.0;1.2;-2.8;33.3;119.2;121.8;104.3
65;20-21 Chemistry and pharmaceuticals;2023;59253;50691;8562;51978.0;44287.0;7706.0;-11.7;-11.9;-10.6;114.0;114.5;111.1
66;20 Manufacture of chemicals;2021;45540;42511;3029;45540.0;42511.0;3029.0;;;;100.0;100.0;100.0
67;20 Manufacture of chemicals;2022;55105;51089;4016;44369.0;40481.0;3888.0;-2.6;-4.8;28.4;124.2;126.2;103.3
68;20 Manufacture of chemicals;2023;44328;40848;3480;38364.0;35224.0;3091.0;-13.5;-13.0;-20.5;115.5;116.0;112.6
69;21 Manufacture of pharmaceuticals;2021;12668;9231;3437;12668.0;9231.0;3437.0;;;;100.0;100.0;100.0
70;21 Manufacture of pharmaceuticals;2022;15087;10117;4970;14521.0;9790.0;4731.0;14.6;6.1;37.6;103.9;103.3;105.1
71;21 Manufacture of pharmaceuticals;2023;14925;9843;5082;13770.0;9160.0;4608.0;-5.2;-6.4;-2.6;108.4;107.5;110.3
72;22-23 Man. plastics and constructionprod;2021;7035;6962;73;7035.0;6962.0;73.0;;;;100.0;100.0;100.0
73;22-23 Man. plastics and constructionprod;2022;7544;7475;69;6578.0;6509.0;69.0;-6.5;-6.5;-5.5;114.7;114.8;100.0
74;22-23 Man. plastics and constructionprod;2023;6970;6901;69;5974.0;5908.0;66.0;-9.2;-9.2;-4.3;116.7;116.8;104.5
75;22 Manufacture rubber, plastic products;2021;5370;5333;37;5370.0;5333.0;37.0;;;;100.0;100.0;100.0
76;22 Manufacture rubber, plastic products;2022;5671;5633;38;4857.0;4821.0;36.0;-9.6;-9.6;-2.7;116.8;116.8;105.6
77;22 Manufacture rubber, plastic products;2023;5198;5161;37;4460.0;4428.0;31.0;-8.2;-8.1;-13.2;116.6;116.5;118.4
78;23 Manufacture of building materials;2021;1665;1629;36;1665.0;1629.0;36.0;;;;100.0;100.0;100.0
79;23 Manufacture of building materials;2022;1873;1842;31;1721.0;1688.0;33.0;3.4;3.6;-8.3;108.8;109.1;93.9
80;23 Manufacture of building materials;2023;1772;1740;32;1511.0;1476.0;35.0;-12.2;-12.5;6.5;117.3;117.9;91.1
81;24-25 Man. of basic metals and -products;2021;13909;13108;801;13909.0;13108.0;801.0;;;;100.0;100.0;100.0
82;24-25 Man. of basic metals and -products;2022;16169;15118;1051;13510.0;12565.0;945.0;-2.9;-4.1;18.0;119.7;120.3;111.2
83;24-25 Man. of basic metals and -products;2023;14699;13728;971;12968.0;12095.0;870.0;-4.0;-3.7;-7.9;113.4;113.5;111.6
84;24 Manufacture of basic metals;2021;7791;7595;196;7791.0;7595.0;196.0;;;;100.0;100.0;100.0
85;24 Manufacture of basic metals;2022;9317;9046;271;7540.0;7296.0;244.0;-3.2;-3.9;24.5;123.6;124.0;111.1
86;24 Manufacture of basic metals;2023;7848;7610;238;6966.0;6740.0;226.0;-7.6;-7.6;-7.4;112.7;112.9;105.3
87;25 Manufacture of metal products;2021;6118;5513;605;6118.0;5513.0;605.0;;;;100.0;100.0;100.0
88;25 Manufacture of metal products;2022;6852;6072;780;5970.0;5269.0;701.0;-2.4;-4.4;15.9;114.8;115.2;111.3
89;25 Manufacture of metal products;2023;6851;6118;733;6022.0;5376.0;644.0;0.9;2.0;-8.1;113.8;113.8;113.8
90;26-27 Elektrical and electron. Industry;2021;20382;19626;756;20382.0;19626.0;756.0;;;;100.0;100.0;100.0
91;26-27 Elektrical and electron. Industry;2022;22043;21067;976;20364.0;19423.0;941.0;-0.1;-1.0;24.5;108.2;108.5;103.7
92;26-27 Elektrical and electron. Industry;2023;22252;21327;925;19641.0;18769.0;870.0;-3.6;-3.4;-7.6;113.3;113.6;106.4
93;26 Manufacture of electronic products;2021;12838;12249;589;12838.0;12249.0;589.0;;;;100.0;100.0;100.0
94;26 Manufacture of electronic products;2022;13906;13149;757;12733.0;12002.0;731.0;-0.8;-2.0;24.1;109.2;109.6;103.6
95;26 Manufacture of electronic products;2023;13441;12728;713;11900.0;11219.0;681.0;-6.5;-6.5;-6.9;113.0;113.5;104.7
96;27 Manufacture of electric equipment;2021;7544;7377;167;7544.0;7377.0;167.0;;;;100.0;100.0;100.0
97;27 Manufacture of electric equipment;2022;8137;7918;219;7631.0;7421.0;210.0;1.2;0.6;25.7;106.6;106.7;104.3
98;27 Manufacture of electric equipment;2023;8811;8599;212;7750.0;7561.0;189.0;1.6;1.9;-10.0;113.7;113.7;112.2
99;28 Manufacture of machinery n.e.c.;2021;28158;26950;1208;28158.0;26950.0;1208.0;;;;100.0;100.0;100.0
100;28 Manufacture of machinery n.e.c.;2022;31131;29312;1819;30097.0;28365.0;1732.0;6.9;5.3;43.4;103.4;103.3;105.0
101;28 Manufacture of machinery n.e.c.;2023;37668;35475;2193;34865.0;32901.0;1965.0;15.8;16.0;13.5;108.0;107.8;111.6
102;29-30 Transport equipment;2021;16445;15636;809;16445.0;15636.0;809.0;;;;100.0;100.0;100.0
103;29-30 Transport equipment;2022;18511;17269;1242;17626.0;16435.0;1191.0;7.2;5.1;47.2;105.0;105.1;104.3
104;29-30 Transport equipment;2023;20777;19610;1167;18942.0;17886.0;1054.0;7.5;8.8;-11.5;109.7;109.6;110.7
105;29 Manufacture of cars and trailers;2021;10485;10165;320;10485.0;10165.0;320.0;;;;100.0;100.0;100.0
106;29 Manufacture of cars and trailers;2022;12049;11631;418;11399.0;10992.0;407.0;8.7;8.1;27.2;105.7;105.8;102.7
107;29 Manufacture of cars and trailers;2023;13751;13393;358;12470.0;12143.0;323.0;9.4;10.5;-20.6;110.3;110.3;110.7
108;30 Manufacture of other transport;2021;5960;5471;489;5960.0;5471.0;489.0;;;;100.0;100.0;100.0
109;30 Manufacture of other transport;2022;6462;5638;824;6227.0;5443.0;784.0;4.5;-0.5;60.3;103.8;103.6;105.1
110;30 Manufacture of other transport;2023;7026;6217;809;6468.0;5739.0;730.0;3.9;5.4;-6.9;108.6;108.3;110.9
111;31-33 Other manufacturing and repair;2021;6780;4062;2718;6780.0;4062.0;2718.0;;;;100.0;100.0;100.0
112;31-33 Other manufacturing and repair;2022;8503;4204;4299;8085.0;4048.0;4037.0;19.2;-0.3;48.5;105.2;103.9;106.5
113;31-33 Other manufacturing and repair;2023;9807;4477;5330;8886.0;4177.0;4702.0;9.9;3.2;16.5;110.4;107.2;113.4
114;31-32 Man. of furniture and other prods.;2021;3969;3819;150;3969.0;3819.0;150.0;;;;100.0;100.0;100.0
115;31-32 Man. of furniture and other prods.;2022;4171;3930;241;4018.0;3791.0;227.0;1.2;-0.7;51.3;103.8;103.7;106.2
116;31-32 Man. of furniture and other prods.;2023;4402;4179;223;4113.0;3911.0;203.0;2.4;3.2;-10.4;107.0;106.9;109.6
117;31 Manufacture of furniture;2021;1343;1315;28;1343.0;1315.0;28.0;;;;100.0;100.0;100.0
118;31 Manufacture of furniture;2022;1428;1420;8;1286.0;1279.0;7.0;-4.2;-2.7;-75.0;111.0;111.0;114.3
119;31 Manufacture of furniture;2023;1273;1264;9;1128.0;1120.0;7.0;-12.3;-12.4;0.0;112.9;112.8;128.6
120;32 Manufacture of other products;2021;2626;2504;122;2626.0;2504.0;122.0;;;;100.0;100.0;100.0
121;32 Manufacture of other products;2022;2743;2510;233;2732.0;2512.0;220.0;4.0;0.3;80.3;100.4;99.9;105.9
122;32 Manufacture of other products;2023;3129;2915;214;3006.0;2812.0;196.0;10.0;12.0;-10.7;104.1;103.7;109.0
123;33 Repair and installation of machinery;2021;2811;243;2568;2811.0;243.0;2568.0;;;;100.0;100.0;100.0
124;33 Repair and installation of machinery;2022;4332;274;4058;4067.0;257.0;3810.0;44.7;5.8;48.4;106.5;106.6;106.5
125;33 Repair and installation of machinery;2023;5405;298;5107;4765.0;266.0;4498.0;17.2;3.6;18.1;113.4;111.9;113.5
126;D Energy supply;2021;1696;1568;128;1696.0;1568.0;128.0;;;;100.0;100.0;100.0
127;D Energy supply;2022;3997;3805;192;1820.0;1670.0;150.0;7.3;6.5;17.2;219.6;227.8;128.0
128;D Energy supply;2023;3644;3404;240;1998.0;1846.0;144.0;9.8;10.5;-4.2;182.3;184.4;167.0
129;35 Energy supply;2021;1696;1568;128;1696.0;1568.0;128.0;;;;100.0;100.0;100.0
130;35 Energy supply;2022;3997;3805;192;1820.0;1670.0;150.0;7.3;6.5;17.2;219.6;227.8;128.0
131;35 Energy supply;2023;3644;3404;240;1998.0;1846.0;144.0;9.8;10.5;-4.2;182.3;184.4;167.0
132;E Water supply and waste management;2021;1906;1431;475;1906.0;1431.0;475.0;;;;100.0;100.0;100.0
133;E Water supply and waste management;2022;2044;1520;524;1695.0;1185.0;510.0;-11.1;-17.2;7.4;120.6;128.3;102.7
134;E Water supply and waste management;2023;1780;1293;487;1533.0;1087.0;443.0;-9.5;-8.3;-13.2;116.1;119.0;110.0
135;36 Water collection and distribution;2021;33;0;33;33.0;0.0;33.0;;;;100.0;;100.0
136;36 Water collection and distribution;2022;39;0;39;38.0;;38.0;15.2;;15.2;102.6;;102.6
137;36 Water collection and distribution;2023;48;0;48;40.0;;40.0;5.1;;5.1;120.2;;120.2
138;37-39 Sewerage and waste treatment;2021;1873;1431;442;1873.0;1431.0;442.0;;;;100.0;100.0;100.0
139;37-39 Sewerage and waste treatment;2022;2005;1520;485;1657.0;1185.0;472.0;-11.5;-17.2;6.8;121.0;128.3;102.8
140;37-39 Sewerage and waste treatment;2023;1732;1293;439;1494.0;1087.0;403.0;-9.8;-8.3;-14.6;115.9;119.0;109.0
141;F Construction;2021;3363;400;2963;3363.0;400.0;2963.0;;;;100.0;100.0;100.0
142;F Construction;2022;3798;456;3342;3468.0;421.0;3047.0;3.1;5.3;2.8;109.5;108.3;109.7
143;F Construction;2023;4207;474;3733;3687.0;430.0;3257.0;6.3;2.2;6.9;114.1;110.2;114.6
144;41 Construction buildings, development;2021;678;206;472;678.0;206.0;472.0;;;;100.0;100.0;100.0
145;41 Construction buildings, development;2022;819;296;523;771.0;269.0;502.0;13.7;30.6;6.4;106.2;110.0;104.2
146;41 Construction buildings, development;2023;880;299;581;794.0;268.0;526.0;2.9;-0.3;4.8;110.9;111.5;110.5
147;42 Civil engineering;2021;1690;75;1615;1690.0;75.0;1615.0;;;;100.0;100.0;100.0
148;42 Civil engineering;2022;1890;51;1839;1692.0;49.0;1643.0;0.1;-34.7;1.7;111.7;104.1;111.9
149;42 Civil engineering;2023;2064;55;2009;1790.0;52.0;1738.0;5.8;5.9;5.8;115.3;106.0;115.6
150;43 Specialised construction activities;2021;995;119;876;995.0;119.0;876.0;;;;100.0;100.0;100.0
151;43 Specialised construction activities;2022;1089;109;980;1005.0;103.0;902.0;1.0;-13.4;3.0;108.4;105.8;108.6
152;43 Specialised construction activities;2023;1263;120;1143;1104.0;111.0;993.0;9.8;7.3;10.1;114.4;108.5;115.1
153;G-I Trade, transport, hotels, catering;2021;72355;24715;47640;72355.0;24715.0;47640.0;;;;100.0;100.0;100.0
154;G-I Trade, transport, hotels, catering;2022;88824;26305;62519;76787.0;22015.0;54772.0;6.1;-10.9;15.0;115.7;119.5;114.1
155;G-I Trade, transport, hotels, catering;2023;86732;27298;59434;73194.0;22141.0;50999.0;-4.7;0.6;-6.9;118.5;123.3;116.5
156;G Wholesale and retail trade;2021;34689;24715;9974;34689.0;24715.0;9974.0;;;;100.0;100.0;100.0
157;G Wholesale and retail trade;2022;36587;26305;10282;31749.0;22015.0;9734.0;-8.5;-10.9;-2.4;115.2;119.5;105.6
158;G Wholesale and retail trade;2023;38222;27298;10924;31932.0;22141.0;9791.0;0.6;0.6;0.6;119.7;123.3;111.6
159;45 Sale and repair of motor vehicles;2021;1148;692;456;1148.0;692.0;456.0;;;;100.0;100.0;100.0
160;45 Sale and repair of motor vehicles;2022;1189;749;440;1103.0;679.0;424.0;-3.9;-1.9;-7.0;107.8;110.3;103.8
161;45 Sale and repair of motor vehicles;2023;1243;784;459;1115.0;700.0;414.0;1.1;3.1;-2.3;111.5;112.0;110.8
162;46 Wholesale trade (no motor vehicles);2021;31086;23914;7172;31086.0;23914.0;7172.0;;;;100.0;100.0;100.0
163;46 Wholesale trade (no motor vehicles);2022;32601;25453;7148;27992.0;21242.0;6750.0;-10.0;-11.2;-5.9;116.5;119.8;105.9
164;46 Wholesale trade (no motor vehicles);2023;34046;26379;7667;28187.0;21329.0;6866.0;0.7;0.4;1.7;120.8;123.7;111.7
165;47 Retail trade (not in motor vehicles);2021;2455;109;2346;2455.0;109.0;2346.0;;;;100.0;100.0;100.0
166;47 Retail trade (not in motor vehicles);2022;2797;103;2694;2654.0;94.0;2560.0;8.1;-13.8;9.1;105.4;109.6;105.2
167;47 Retail trade (not in motor vehicles);2023;2933;135;2798;2626.0;116.0;2510.0;-1.0;23.3;-2.0;111.7;116.5;111.5
168;H Transportation and storage;2021;35254;0;35254;35254.0;0.0;35254.0;;;;100.0;;100.0
169;H Transportation and storage;2022;47626;0;47626;40891.0;;40891.0;16.0;;16.0;116.5;;116.5
170;H Transportation and storage;2023;42932;0;42932;36626.0;;36626.0;-10.4;;-10.4;117.2;;117.2
171;49 Land transport;2021;10521;0;10521;10521.0;0.0;10521.0;;;;100.0;;100.0
172;49 Land transport;2022;12055;0;12055;10862.0;;10862.0;3.2;;3.2;111.0;;111.0
173;49 Land transport;2023;11094;0;11094;9461.0;;9461.0;-12.9;;-12.9;117.3;;117.3
174;50 Water transport;2021;8336;0;8336;8336.0;0.0;8336.0;;;;100.0;;100.0
175;50 Water transport;2022;12022;0;12022;9199.0;;9199.0;10.4;;10.4;130.7;;130.7
176;50 Water transport;2023;10227;0;10227;8300.0;;8300.0;-9.8;;-9.8;123.2;;123.2
177;51 Air transport;2021;5147;0;5147;5147.0;0.0;5147.0;;;;100.0;;100.0
178;51 Air transport;2022;8687;0;8687;7433.0;;7433.0;44.4;;44.4;116.9;;116.9
179;51 Air transport;2023;9530;0;9530;8153.0;;8153.0;9.7;;9.7;116.9;;116.9
180;52 Warehousing, services for transport;2021;9857;0;9857;9857.0;0.0;9857.0;;;;100.0;;100.0
181;52 Warehousing, services for transport;2022;13638;0;13638;12242.0;;12242.0;24.2;;24.2;111.4;;111.4
182;52 Warehousing, services for transport;2023;10943;0;10943;9605.0;;9605.0;-21.5;;-21.5;113.9;;113.9
183;53 Postal and courier activities;2021;1393;0;1393;1393.0;0.0;1393.0;;;;100.0;;100.0
184;53 Postal and courier activities;2022;1224;0;1224;1155.0;;1155.0;-17.1;;-17.1;106.0;;106.0
185;53 Postal and courier activities;2023;1138;0;1138;1022.0;;1022.0;-11.5;;-11.5;111.4;;111.4
186;I Accommodation and food serving;2021;2412;0;2412;2412.0;0.0;2412.0;;;;100.0;;100.0
187;I Accommodation and food serving;2022;4611;0;4611;4147.0;;4147.0;71.9;;71.9;111.2;;111.2
188;I Accommodation and food serving;2023;5578;0;5578;4688.0;;4688.0;13.0;;13.0;119.0;;119.0
189;55 Accommodation;2021;850;0;850;850.0;0.0;850.0;;;;100.0;;100.0
190;55 Accommodation;2022;2283;0;2283;1982.0;;1982.0;133.2;;133.2;115.2;;115.2
191;55 Accommodation;2023;2847;0;2847;2347.0;;2347.0;18.4;;18.4;121.3;;121.3
192;56 Food and beverage service activities;2021;1562;0;1562;1562.0;0.0;1562.0;;;;100.0;;100.0
193;56 Food and beverage service activities;2022;2328;0;2328;2165.0;;2165.0;38.6;;38.6;107.5;;107.5
194;56 Food and beverage service activities;2023;2731;0;2731;2333.0;;2333.0;7.8;;7.8;117.0;;117.0
195;J Information and communication;2021;26969;610;26359;26969.0;610.0;26359.0;;;;100.0;100.0;100.0
196;J Information and communication;2022;30875;634;30241;30071.0;570.0;29501.0;11.5;-6.6;11.9;102.7;111.2;102.5
197;J Information and communication;2023;31704;754;30950;29489.0;649.0;28832.0;-1.9;13.9;-2.3;107.5;116.2;107.3
198;58-60 Publishing, movie, radio and  TV;2021;8361;397;7964;8361.0;397.0;7964.0;;;;100.0;100.0;100.0
199;58-60 Publishing, movie, radio and  TV;2022;7130;362;6768;6793.0;311.0;6482.0;-18.8;-21.7;-18.6;105.0;116.4;104.4
200;58-60 Publishing, movie, radio and  TV;2023;7628;441;7187;6903.0;364.0;6533.0;1.6;17.1;0.8;110.5;121.1;110.0
201;58 Publishing;2021;1331;378;953;1331.0;378.0;953.0;;;;100.0;100.0;100.0
202;58 Publishing;2022;2799;335;2464;2612.0;287.0;2325.0;96.2;-24.1;144.0;107.2;116.7;106.0
203;58 Publishing;2023;3027;411;2616;2683.0;338.0;2341.0;2.7;17.6;0.7;112.8;121.8;111.7
204;59-60 Movies, TV and radio;2021;7030;19;7011;7030.0;19.0;7011.0;;;;100.0;100.0;100.0
205;59-60 Movies, TV and radio;2022;4331;27;4304;4181.0;24.0;4157.0;-40.5;26.3;-40.7;103.6;112.5;103.5
206;59-60 Movies, TV and radio;2023;4601;30;4571;4219.0;27.0;4192.0;0.9;11.1;0.8;109.1;112.5;109.0
207;59 Film, TV and music production etc;2021;6818;19;6799;6818.0;19.0;6799.0;;;;100.0;100.0;100.0
208;59 Film, TV and music production etc;2022;4177;27;4150;4031.0;24.0;4007.0;-40.9;26.3;-41.1;103.6;112.5;103.6
209;59 Film, TV and music production etc;2023;4456;30;4426;4083.0;27.0;4056.0;1.3;11.1;1.2;109.1;112.5;109.1
210;60 Programming and broadcasting;2021;212;0;212;212.0;0.0;212.0;;;;100.0;;100.0
211;60 Programming and broadcasting;2022;154;0;154;150.0;;150.0;-29.2;;-29.2;102.7;;102.7
212;60 Programming and broadcasting;2023;145;0;145;135.0;;135.0;-9.7;;-9.7;107.1;;107.1
213;61 Telecommunications;2021;4117;0;4117;4117.0;0.0;4117.0;;;;100.0;;100.0
214;61 Telecommunications;2022;4853;0;4853;4928.0;;4928.0;19.7;;19.7;98.5;;98.5
215;61 Telecommunications;2023;4853;0;4853;4840.0;;4840.0;-1.8;;-1.8;100.3;;100.3
216;62-63 IT- and information services;2021;14491;213;14278;14491.0;213.0;14278.0;;;;100.0;100.0;100.0
217;62-63 IT- and information services;2022;18892;272;18620;18350.0;259.0;18091.0;26.6;21.6;26.7;103.0;105.0;102.9
218;62-63 IT- and information services;2023;19223;313;18910;17742.0;284.0;17458.0;-3.3;9.6;-3.5;108.3;110.3;108.3
219;62 Support activities in the field of IT;2021;11077;213;10864;11077.0;213.0;10864.0;;;;100.0;100.0;100.0
220;62 Support activities in the field of IT;2022;14284;272;14012;13850.0;259.0;13591.0;25.0;21.6;25.1;103.1;105.0;103.1
221;62 Support activities in the field of IT;2023;14922;313;14609;13776.0;284.0;13492.0;-0.5;9.6;-0.7;108.3;110.3;108.3
222;63 Information service activities;2021;3414;0;3414;3414.0;0.0;3414.0;;;;100.0;;100.0
223;63 Information service activities;2022;4608;0;4608;4500.0;;4500.0;31.8;;31.8;102.4;;102.4
224;63 Information service activities;2023;4301;0;4301;3963.0;;3963.0;-11.9;;-11.9;108.5;;108.5
225;K Financial institutions;2021;15932;0;15932;15932.0;0.0;15932.0;;;;100.0;;100.0
226;K Financial institutions;2022;17641;0;17641;15333.0;;15333.0;-3.8;;-3.8;115.1;;115.1
227;K Financial institutions;2023;22290;0;22290;15968.0;;15968.0;4.1;;4.1;139.6;;139.6
