ID;Geslacht;Leeftijd;Migratieachtergrond;Perioden;TotaalReIntegratievoorzieningen_1;TijdelijkeLoonkostensubsidie_2;WIWIDBaan_3;Participatieplaats_4;LoonkostensubsidieParticipatiewet_5;ForfaitaireLoonkostensubsidie_6;BeschutWerk_7;BegeleidingOpWerkkringJobCoach_8;VervoersvoorzieningWoonWerk_9;AndereVoorzieningVoorArbeidsbeperkten_10;OverigeReIntegratievoorzieningen_11
51;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015 april;76920;2660;710;5830;170;;10;200;10;0;69620
52;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015 mei;77180;2670;700;5810;190;;10;190;10;0;69920
53;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015 juni;76950;2620;690;5760;220;;10;200;10;0;69690
54;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015 juli;76270;2550;650;5820;270;;0;190;10;0;69130
55;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015 augustus;75920;2520;650;5720;330;;10;80;0;10;68880
56;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015 september;76030;2450;630;5720;400;;10;90;0;10;69060
57;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015 oktober;76600;2430;590;5550;470;;10;40;0;10;69700
58;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015 november;76790;2280;560;5600;590;;10;90;0;30;69910
59;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015 december;76260;2220;550;5610;670;;10;110;0;30;69370
60;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016 januari;77340;2220;550;5660;730;;20;120;0;30;70350
61;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016 februari;77890;2060;540;5710;840;;40;140;0;30;70990
62;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016 maart;78230;2020;540;5850;980;;40;160;0;30;71220
63;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016 april;77540;2000;530;5810;1060;;50;190;0;20;70530
64;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016 mei;77600;2020;530;5560;1160;;50;200;0;30;70690
65;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016 juni;77860;2010;520;5570;1320;;70;230;0;30;70810
66;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016 juli;77920;2070;510;5640;1580;;70;260;0;30;70480
67;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016 augustus;76190;2060;530;5620;1740;;70;300;0;30;68580
68;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016 september;76320;2050;510;5490;1920;;80;350;0;40;68750
69;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016 oktober;77080;2010;530;5690;2230;;90;390;0;50;69130
70;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016 november;77360;1980;510;5740;2530;;100;450;0;60;69140
71;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016 december;77580;1970;510;5630;2860;;110;550;0;60;69190
72;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017 januari;77650;1850;540;5440;3040;70.0;120;600;0;90;69180
73;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017 februari;78450;1810;530;5440;3290;110.0;130;640;10;90;69810
74;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017 maart;79600;1780;530;5460;3480;150.0;140;710;10;100;70800
75;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017 april;79470;1820;520;5440;3740;250.0;150;790;10;100;70380
76;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017 mei;79920;1820;520;5320;3960;360.0;170;920;10;110;70670
77;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017 juni;79970;1840;510;5250;4190;540.0;190;1010;10;110;70490
78;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017 juli;79990;1830;490;5090;4590;610.0;210;1080;10;120;70310
79;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017 augustus;79260;1800;480;5010;4910;650.0;240;1150;10;120;69400
80;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017 september;79100;1730;440;5000;5400;640.0;270;1220;10;140;69000
81;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017 oktober;78920;1700;440;5140;5830;640.0;330;1300;10;150;68250
82;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017 november;79800;1670;430;5180;6200;650.0;360;1400;10;150;68820
83;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017 december;79830;1640;420;5090;6440;690.0;420;1460;20;160;68710
84;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018 januari;80900;1540;410;4960;6710;730.0;470;1600;20;190;69710
85;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018 februari;81920;1500;410;4960;6940;780.0;500;1690;20;230;70530
86;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018 maart;83130;1470;410;4890;7190;830.0;570;1810;20;250;71500
87;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018 april;83420;1380;390;4880;7520;900.0;690;1950;20;310;71500
88;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018 mei;83980;1370;370;4850;7810;950.0;770;2020;20;300;71810
89;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018 juni;83440;1360;360;4780;8140;1020.0;820;2140;30;280;71040
90;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018 juli;83100;1320;360;4700;8530;1140.0;870;2220;30;290;70410
91;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018 augustus;82890;1290;350;4580;8790;1160.0;900;2340;30;280;70160
92;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018 september;82880;1290;340;4550;9110;1250.0;970;2440;40;260;69840
93;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018 oktober;83460;1270;340;4480;9470;1360.0;1070;2610;40;270;70130
94;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018 november;83230;1260;330;4360;9730;1440.0;1140;2740;40;270;69760
95;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018 december;82510;1250;330;4230;10040;1450.0;1240;2810;110;270;68920
96;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2015 januari;86310;2830;590;7470;140;;10;140;10;0;77340
97;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2015 februari;87140;2750;570;7490;150;;10;130;10;0;78280
98;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2015 maart;88240;2690;510;7130;180;;10;140;0;0;79750
99;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2015 april;88820;2560;500;6910;230;;10;120;0;0;80700
100;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2015 mei;88530;2550;490;6600;280;;10;120;0;0;80690
101;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2015 juni;89220;2490;480;6580;290;;10;130;0;0;81410
102;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2015 juli;88680;2380;450;6370;320;;0;130;0;0;81210
103;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2015 augustus;88400;2300;440;6210;340;;0;50;0;0;81130
104;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2015 september;88610;2250;420;6150;410;;0;60;0;0;81520
105;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2015 oktober;89620;2260;360;6020;450;;0;20;0;0;82690
106;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2015 november;90250;2220;340;6060;510;;0;50;10;10;83320
107;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2015 december;89370;2070;350;5980;560;;0;60;10;10;82610
108;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2016 januari;90340;2070;330;5980;570;;10;70;10;10;83580
109;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2016 februari;90790;1900;330;5960;600;;20;80;0;10;84230
110;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2016 maart;91110;1860;330;6100;800;;20;90;0;10;84350
111;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2016 april;91120;1820;330;6100;830;;20;90;0;10;84360
112;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2016 mei;91810;1800;330;5990;900;;20;100;0;10;85090
113;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2016 juni;92350;1770;320;5910;960;;40;100;0;10;85650
114;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2016 juli;92570;1830;320;5870;1120;;30;120;0;10;85760
115;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2016 augustus;92160;1830;320;5770;1200;;30;130;0;10;85310
116;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2016 september;92730;1850;270;5710;1240;;70;180;0;10;85900
117;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2016 oktober;94150;1820;270;5890;1380;;70;210;0;20;87110
118;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2016 november;95990;1840;280;6000;1470;;80;230;0;20;88780
119;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2016 december;96360;1890;280;5970;1590;;90;270;0;20;89070
120;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2017 januari;97270;1790;300;5990;1660;50.0;100;290;0;40;89920
121;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2017 februari;98470;1800;300;6060;1780;70.0;100;330;0;40;91020
122;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2017 maart;100230;1800;290;6170;1900;70.0;110;350;0;50;92640
123;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2017 april;101430;1820;290;6190;2000;110.0;130;390;0;60;93690
124;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2017 mei;103470;1780;290;6090;2150;170.0;140;450;0;50;95670
125;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2017 juni;104720;1810;280;5990;2240;260.0;160;470;0;60;96910
126;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2017 juli;105780;1760;280;5890;2380;310.0;190;520;0;60;97940
127;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2017 augustus;105280;1730;270;5810;2530;310.0;210;540;0;60;97360
128;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2017 september;107690;1660;260;5760;2770;240.0;220;580;0;60;99790
129;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2017 oktober;108580;1630;260;5720;2930;260.0;260;630;0;70;100470
130;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2017 november;110590;1610;260;5800;3100;300.0;290;680;0;60;102350
131;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2017 december;110530;1590;250;5760;3230;360.0;310;720;10;70;102200
132;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2018 januari;112660;1520;250;5580;3370;390.0;340;760;10;70;104420
133;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2018 februari;114360;1500;260;5590;3500;420.0;360;800;20;70;106030
134;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2018 maart;116330;1440;260;5510;3640;420.0;400;860;30;80;107990
135;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2018 april;117210;1410;240;5540;3900;460.0;440;910;30;110;108620
136;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2018 mei;118170;1410;230;5470;4080;470.0;480;940;30;100;109540
137;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2018 juni;116460;1400;230;5370;4240;480.0;530;980;30;100;107790
138;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2018 juli;116000;1360;220;5330;4440;500.0;560;1020;20;110;107220
139;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2018 augustus;115550;1390;220;5210;4550;520.0;570;1080;20;110;106810
140;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2018 september;115340;1390;220;5190;4630;570.0;600;1100;30;100;106570
141;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2018 oktober;116300;1360;220;5110;4790;570.0;650;1160;30;100;107530
142;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2018 november;116260;1370;220;4910;4890;580.0;690;1180;30;100;107580
143;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2018 december;114980;1360;210;4560;4980;590.0;730;1200;90;120;106510
144;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2015 januari;17190;580;130;1450;20;;0;40;0;0;15480
145;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2015 februari;17300;560;120;1430;20;;0;40;0;0;15620
146;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2015 maart;17470;550;110;1410;20;;0;40;0;0;15820
147;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2015 april;17470;530;110;1390;30;;0;40;0;0;15870
148;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2015 mei;17440;530;110;1360;40;;0;30;0;0;15860
149;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2015 juni;17380;520;110;1360;50;;0;30;0;0;15820
150;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2015 juli;17230;510;100;1350;50;;0;30;0;0;15720
151;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2015 augustus;17100;520;100;1310;60;;0;10;0;0;15620
152;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2015 september;17130;510;100;1320;60;;0;10;0;0;15640
153;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2015 oktober;17270;510;90;1270;80;;0;0;0;0;15830
154;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2015 november;17310;480;90;1300;90;;0;10;0;0;15860
155;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2015 december;17240;480;90;1280;110;;0;10;0;0;15800
156;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2016 januari;17440;480;90;1290;110;;0;20;0;0;16000
157;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2016 februari;17500;430;90;1280;110;;0;20;0;0;16100
158;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2016 maart;17510;420;90;1300;150;;0;20;0;0;16080
159;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2016 april;17420;420;80;1300;150;;0;20;0;0;15990
160;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2016 mei;17370;400;90;1270;170;;0;20;0;0;15950
161;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2016 juni;17390;400;90;1250;200;;10;20;0;0;15970
162;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2016 juli;17410;410;90;1230;230;;10;30;0;0;15970
163;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2016 augustus;17000;400;90;1210;250;;10;30;0;0;15540
164;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2016 september;17040;410;80;1190;270;;20;40;0;0;15570
165;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2016 oktober;17140;410;80;1210;310;;20;50;0;10;15620
166;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2016 november;17270;410;80;1250;350;;20;50;0;10;15680
167;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2016 december;17260;410;80;1230;390;;20;60;0;10;15640
168;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2017 januari;17210;380;90;1210;400;10.0;20;70;0;10;15610
169;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2017 februari;17330;380;90;1210;440;10.0;20;70;0;10;15700
170;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2017 maart;17510;370;90;1210;470;10.0;20;80;0;10;15860
171;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2017 april;17420;370;90;1200;490;20.0;30;90;0;10;15730
172;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2017 mei;17450;360;80;1180;510;30.0;30;100;0;10;15770
173;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2017 juni;17490;360;80;1170;540;50.0;30;110;0;10;15780
174;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2017 juli;17400;350;80;1160;590;60.0;40;110;0;10;15670
175;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2017 augustus;17190;350;70;1120;620;70.0;40;120;0;10;15470
176;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2017 september;17400;340;70;1120;670;60.0;40;130;0;10;15660
177;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2017 oktober;17330;330;70;1100;710;60.0;50;140;0;20;15560
178;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2017 november;17410;330;70;1100;750;70.0;60;140;0;20;15620
179;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2017 december;17330;310;70;1110;780;70.0;60;160;0;20;15530
180;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2018 januari;17550;300;70;1090;800;80.0;70;170;0;10;15770
181;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2018 februari;17780;300;70;1090;840;80.0;70;170;0;20;15970
182;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2018 maart;18040;280;70;1060;850;80.0;80;180;0;20;16240
183;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2018 april;18000;270;60;1060;910;80.0;100;210;10;40;16150
184;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2018 mei;18140;260;60;1040;960;80.0;110;220;10;30;16290
185;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2018 juni;17830;260;60;1010;990;100.0;120;230;10;30;15980
186;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2018 juli;17670;250;60;990;1030;110.0;130;240;10;30;15780
187;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2018 augustus;17590;250;60;980;1060;120.0;120;250;10;30;15690
188;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2018 september;17490;240;60;980;1080;140.0;130;260;0;20;15600
189;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2018 oktober;17560;230;60;980;1100;140.0;140;270;0;20;15650
190;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2018 november;17430;220;60;940;1130;140.0;140;280;10;20;15540
191;Totaal mannen en vrouwen;Totaal leeftijd;Westerse migratieachtergrond;2018 december;17160;220;60;910;1150;140.0;150;280;10;30;15280
192;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2015 januari;69110;2250;460;6020;120;;10;100;10;0;61860
193;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2015 februari;69840;2190;450;6060;140;;10;90;10;0;62660
194;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse migratieachtergrond;2015 maart;70770;2130;400;5720;160;;10;100;0;0;63940
