ID;EducationLevel;FieldsOfEducation;CaribbeanNetherlands;Periods;MBOstudents_1
75;Total MBO;Sector Economics;Caribbean Netherlands;2020/'21;183.0
76;Total MBO;Sector Economics;Caribbean Netherlands;2021/'22;241.0
77;Total MBO;Sector Economics;Caribbean Netherlands;2022/'23;253.0
78;Total MBO;Sector Economics;Caribbean Netherlands;2023/'24;286.0
79;Total MBO;Sector Economics;Caribbean Netherlands;2024/'25;366.0
80;Total MBO;Sector Economics;Bonaire;2009/'10;127.0
81;Total MBO;Sector Economics;Bonaire;2010/'11;123.0
82;Total MBO;Sector Economics;Bonaire;2011/'12;152.0
83;Total MBO;Sector Economics;Bonaire;2012/'13;
84;Total MBO;Sector Economics;Bonaire;2013/'14;203.0
85;Total MBO;Sector Economics;Bonaire;2014/'15;225.0
86;Total MBO;Sector Economics;Bonaire;2015/'16;240.0
87;Total MBO;Sector Economics;Bonaire;2016/'17;176.0
88;Total MBO;Sector Economics;Bonaire;2017/'18;153.0
89;Total MBO;Sector Economics;Bonaire;2018/'19;162.0
90;Total MBO;Sector Economics;Bonaire;2019/'20;163.0
91;Total MBO;Sector Economics;Bonaire;2020/'21;180.0
92;Total MBO;Sector Economics;Bonaire;2021/'22;241.0
93;Total MBO;Sector Economics;Bonaire;2022/'23;253.0
94;Total MBO;Sector Economics;Bonaire;2023/'24;286.0
95;Total MBO;Sector Economics;Bonaire;2024/'25;366.0
96;Total MBO;Sector Economics;St Eustatius;2009/'10;
97;Total MBO;Sector Economics;St Eustatius;2010/'11;
98;Total MBO;Sector Economics;St Eustatius;2011/'12;
99;Total MBO;Sector Economics;St Eustatius;2012/'13;24.0
100;Total MBO;Sector Economics;St Eustatius;2013/'14;20.0
101;Total MBO;Sector Economics;St Eustatius;2014/'15;17.0
102;Total MBO;Sector Economics;St Eustatius;2015/'16;14.0
103;Total MBO;Sector Economics;St Eustatius;2016/'17;2.0
104;Total MBO;Sector Economics;St Eustatius;2017/'18;0.0
105;Total MBO;Sector Economics;St Eustatius;2018/'19;0.0
106;Total MBO;Sector Economics;St Eustatius;2019/'20;0.0
107;Total MBO;Sector Economics;St Eustatius;2020/'21;0.0
108;Total MBO;Sector Economics;St Eustatius;2021/'22;
109;Total MBO;Sector Economics;St Eustatius;2022/'23;
110;Total MBO;Sector Economics;St Eustatius;2023/'24;
111;Total MBO;Sector Economics;St Eustatius;2024/'25;
112;Total MBO;Sector Economics;Saba;2009/'10;
113;Total MBO;Sector Economics;Saba;2010/'11;
114;Total MBO;Sector Economics;Saba;2011/'12;
115;Total MBO;Sector Economics;Saba;2012/'13;5.0
116;Total MBO;Sector Economics;Saba;2013/'14;8.0
117;Total MBO;Sector Economics;Saba;2014/'15;5.0
118;Total MBO;Sector Economics;Saba;2015/'16;3.0
119;Total MBO;Sector Economics;Saba;2016/'17;3.0
120;Total MBO;Sector Economics;Saba;2017/'18;2.0
121;Total MBO;Sector Economics;Saba;2018/'19;0.0
122;Total MBO;Sector Economics;Saba;2019/'20;0.0
123;Total MBO;Sector Economics;Saba;2020/'21;3.0
124;Total MBO;Sector Economics;Saba;2021/'22;
125;Total MBO;Sector Economics;Saba;2022/'23;
126;Total MBO;Sector Economics;Saba;2023/'24;
127;Total MBO;Sector Economics;Saba;2024/'25;
128;Total MBO;Sector Technology;Caribbean Netherlands;2009/'10;25.0
129;Total MBO;Sector Technology;Caribbean Netherlands;2010/'11;36.0
130;Total MBO;Sector Technology;Caribbean Netherlands;2011/'12;74.0
131;Total MBO;Sector Technology;Caribbean Netherlands;2012/'13;
132;Total MBO;Sector Technology;Caribbean Netherlands;2013/'14;118.0
133;Total MBO;Sector Technology;Caribbean Netherlands;2014/'15;166.0
134;Total MBO;Sector Technology;Caribbean Netherlands;2015/'16;179.0
135;Total MBO;Sector Technology;Caribbean Netherlands;2016/'17;163.0
136;Total MBO;Sector Technology;Caribbean Netherlands;2017/'18;141.0
137;Total MBO;Sector Technology;Caribbean Netherlands;2018/'19;95.0
138;Total MBO;Sector Technology;Caribbean Netherlands;2019/'20;103.0
139;Total MBO;Sector Technology;Caribbean Netherlands;2020/'21;107.0
140;Total MBO;Sector Technology;Caribbean Netherlands;2021/'22;135.0
141;Total MBO;Sector Technology;Caribbean Netherlands;2022/'23;120.0
142;Total MBO;Sector Technology;Caribbean Netherlands;2023/'24;86.0
143;Total MBO;Sector Technology;Caribbean Netherlands;2024/'25;42.0
144;Total MBO;Sector Technology;Bonaire;2009/'10;25.0
145;Total MBO;Sector Technology;Bonaire;2010/'11;36.0
146;Total MBO;Sector Technology;Bonaire;2011/'12;74.0
147;Total MBO;Sector Technology;Bonaire;2012/'13;
148;Total MBO;Sector Technology;Bonaire;2013/'14;106.0
149;Total MBO;Sector Technology;Bonaire;2014/'15;157.0
150;Total MBO;Sector Technology;Bonaire;2015/'16;176.0
151;Total MBO;Sector Technology;Bonaire;2016/'17;159.0
152;Total MBO;Sector Technology;Bonaire;2017/'18;137.0
153;Total MBO;Sector Technology;Bonaire;2018/'19;92.0
154;Total MBO;Sector Technology;Bonaire;2019/'20;102.0
155;Total MBO;Sector Technology;Bonaire;2020/'21;107.0
156;Total MBO;Sector Technology;Bonaire;2021/'22;135.0
157;Total MBO;Sector Technology;Bonaire;2022/'23;120.0
158;Total MBO;Sector Technology;Bonaire;2023/'24;86.0
159;Total MBO;Sector Technology;Bonaire;2024/'25;42.0
160;Total MBO;Sector Technology;St Eustatius;2009/'10;
161;Total MBO;Sector Technology;St Eustatius;2010/'11;
162;Total MBO;Sector Technology;St Eustatius;2011/'12;
163;Total MBO;Sector Technology;St Eustatius;2012/'13;0.0
164;Total MBO;Sector Technology;St Eustatius;2013/'14;0.0
165;Total MBO;Sector Technology;St Eustatius;2014/'15;0.0
166;Total MBO;Sector Technology;St Eustatius;2015/'16;0.0
167;Total MBO;Sector Technology;St Eustatius;2016/'17;0.0
168;Total MBO;Sector Technology;St Eustatius;2017/'18;0.0
169;Total MBO;Sector Technology;St Eustatius;2018/'19;0.0
170;Total MBO;Sector Technology;St Eustatius;2019/'20;0.0
171;Total MBO;Sector Technology;St Eustatius;2020/'21;0.0
172;Total MBO;Sector Technology;St Eustatius;2021/'22;
173;Total MBO;Sector Technology;St Eustatius;2022/'23;
174;Total MBO;Sector Technology;St Eustatius;2023/'24;
175;Total MBO;Sector Technology;St Eustatius;2024/'25;
176;Total MBO;Sector Technology;Saba;2009/'10;
177;Total MBO;Sector Technology;Saba;2010/'11;
178;Total MBO;Sector Technology;Saba;2011/'12;
179;Total MBO;Sector Technology;Saba;2012/'13;7.0
180;Total MBO;Sector Technology;Saba;2013/'14;12.0
181;Total MBO;Sector Technology;Saba;2014/'15;9.0
182;Total MBO;Sector Technology;Saba;2015/'16;3.0
183;Total MBO;Sector Technology;Saba;2016/'17;4.0
184;Total MBO;Sector Technology;Saba;2017/'18;4.0
185;Total MBO;Sector Technology;Saba;2018/'19;3.0
186;Total MBO;Sector Technology;Saba;2019/'20;1.0
187;Total MBO;Sector Technology;Saba;2020/'21;0.0
188;Total MBO;Sector Technology;Saba;2021/'22;
189;Total MBO;Sector Technology;Saba;2022/'23;
190;Total MBO;Sector Technology;Saba;2023/'24;
191;Total MBO;Sector Technology;Saba;2024/'25;
192;Total MBO;Sector Health and welfare;Caribbean Netherlands;2009/'10;57.0
193;Total MBO;Sector Health and welfare;Caribbean Netherlands;2010/'11;57.0
194;Total MBO;Sector Health and welfare;Caribbean Netherlands;2011/'12;70.0
195;Total MBO;Sector Health and welfare;Caribbean Netherlands;2012/'13;
196;Total MBO;Sector Health and welfare;Caribbean Netherlands;2013/'14;142.0
197;Total MBO;Sector Health and welfare;Caribbean Netherlands;2014/'15;177.0
198;Total MBO;Sector Health and welfare;Caribbean Netherlands;2015/'16;163.0
199;Total MBO;Sector Health and welfare;Caribbean Netherlands;2016/'17;140.0
200;Total MBO;Sector Health and welfare;Caribbean Netherlands;2017/'18;136.0
201;Total MBO;Sector Health and welfare;Caribbean Netherlands;2018/'19;156.0
202;Total MBO;Sector Health and welfare;Caribbean Netherlands;2019/'20;172.0
203;Total MBO;Sector Health and welfare;Caribbean Netherlands;2020/'21;300.0
204;Total MBO;Sector Health and welfare;Caribbean Netherlands;2021/'22;248.0
205;Total MBO;Sector Health and welfare;Caribbean Netherlands;2022/'23;255.0
206;Total MBO;Sector Health and welfare;Caribbean Netherlands;2023/'24;289.0
207;Total MBO;Sector Health and welfare;Caribbean Netherlands;2024/'25;338.0
208;Total MBO;Sector Health and welfare;Bonaire;2009/'10;57.0
209;Total MBO;Sector Health and welfare;Bonaire;2010/'11;57.0
210;Total MBO;Sector Health and welfare;Bonaire;2011/'12;70.0
211;Total MBO;Sector Health and welfare;Bonaire;2012/'13;
212;Total MBO;Sector Health and welfare;Bonaire;2013/'14;135.0
213;Total MBO;Sector Health and welfare;Bonaire;2014/'15;172.0
214;Total MBO;Sector Health and welfare;Bonaire;2015/'16;156.0
215;Total MBO;Sector Health and welfare;Bonaire;2016/'17;135.0
216;Total MBO;Sector Health and welfare;Bonaire;2017/'18;126.0
217;Total MBO;Sector Health and welfare;Bonaire;2018/'19;146.0
218;Total MBO;Sector Health and welfare;Bonaire;2019/'20;150.0
219;Total MBO;Sector Health and welfare;Bonaire;2020/'21;249.0
220;Total MBO;Sector Health and welfare;Bonaire;2021/'22;248.0
221;Total MBO;Sector Health and welfare;Bonaire;2022/'23;255.0
222;Total MBO;Sector Health and welfare;Bonaire;2023/'24;289.0
223;Total MBO;Sector Health and welfare;Bonaire;2024/'25;338.0
224;Total MBO;Sector Health and welfare;St Eustatius;2009/'10;
225;Total MBO;Sector Health and welfare;St Eustatius;2010/'11;
226;Total MBO;Sector Health and welfare;St Eustatius;2011/'12;
227;Total MBO;Sector Health and welfare;St Eustatius;2012/'13;0.0
228;Total MBO;Sector Health and welfare;St Eustatius;2013/'14;7.0
229;Total MBO;Sector Health and welfare;St Eustatius;2014/'15;5.0
230;Total MBO;Sector Health and welfare;St Eustatius;2015/'16;7.0
231;Total MBO;Sector Health and welfare;St Eustatius;2016/'17;5.0
232;Total MBO;Sector Health and welfare;St Eustatius;2017/'18;10.0
233;Total MBO;Sector Health and welfare;St Eustatius;2018/'19;10.0
234;Total MBO;Sector Health and welfare;St Eustatius;2019/'20;8.0
235;Total MBO;Sector Health and welfare;St Eustatius;2020/'21;25.0
236;Total MBO;Sector Health and welfare;St Eustatius;2021/'22;
237;Total MBO;Sector Health and welfare;St Eustatius;2022/'23;
238;Total MBO;Sector Health and welfare;St Eustatius;2023/'24;
239;Total MBO;Sector Health and welfare;St Eustatius;2024/'25;
240;Total MBO;Sector Health and welfare;Saba;2009/'10;
241;Total MBO;Sector Health and welfare;Saba;2010/'11;
242;Total MBO;Sector Health and welfare;Saba;2011/'12;
243;Total MBO;Sector Health and welfare;Saba;2012/'13;0.0
244;Total MBO;Sector Health and welfare;Saba;2013/'14;0.0
245;Total MBO;Sector Health and welfare;Saba;2014/'15;0.0
246;Total MBO;Sector Health and welfare;Saba;2015/'16;0.0
247;Total MBO;Sector Health and welfare;Saba;2016/'17;0.0
248;Total MBO;Sector Health and welfare;Saba;2017/'18;0.0
249;Total MBO;Sector Health and welfare;Saba;2018/'19;0.0
250;Total MBO;Sector Health and welfare;Saba;2019/'20;14.0
251;Total MBO;Sector Health and welfare;Saba;2020/'21;26.0
252;Total MBO;Sector Health and welfare;Saba;2021/'22;
253;Total MBO;Sector Health and welfare;Saba;2022/'23;
254;Total MBO;Sector Health and welfare;Saba;2023/'24;
255;Total MBO;Sector Health and welfare;Saba;2024/'25;
256;Total MBO;Combination of sectors;Caribbean Netherlands;2009/'10;0.0
257;Total MBO;Combination of sectors;Caribbean Netherlands;2010/'11;0.0
258;Total MBO;Combination of sectors;Caribbean Netherlands;2011/'12;44.0
259;Total MBO;Combination of sectors;Caribbean Netherlands;2012/'13;
260;Total MBO;Combination of sectors;Caribbean Netherlands;2013/'14;73.0
261;Total MBO;Combination of sectors;Caribbean Netherlands;2014/'15;77.0
262;Total MBO;Combination of sectors;Caribbean Netherlands;2015/'16;66.0
263;Total MBO;Combination of sectors;Caribbean Netherlands;2016/'17;104.0
264;Total MBO;Combination of sectors;Caribbean Netherlands;2017/'18;117.0
265;Total MBO;Combination of sectors;Caribbean Netherlands;2018/'19;93.0
266;Total MBO;Combination of sectors;Caribbean Netherlands;2019/'20;127.0
267;Total MBO;Combination of sectors;Caribbean Netherlands;2020/'21;110.0
268;Total MBO;Combination of sectors;Caribbean Netherlands;2021/'22;101.0
269;Total MBO;Combination of sectors;Caribbean Netherlands;2022/'23;120.0
270;Total MBO;Combination of sectors;Caribbean Netherlands;2023/'24;95.0
271;Total MBO;Combination of sectors;Caribbean Netherlands;2024/'25;109.0
272;Total MBO;Combination of sectors;Bonaire;2009/'10;0.0
273;Total MBO;Combination of sectors;Bonaire;2010/'11;0.0
274;Total MBO;Combination of sectors;Bonaire;2011/'12;44.0
275;Total MBO;Combination of sectors;Bonaire;2012/'13;
276;Total MBO;Combination of sectors;Bonaire;2013/'14;61.0
277;Total MBO;Combination of sectors;Bonaire;2014/'15;56.0
278;Total MBO;Combination of sectors;Bonaire;2015/'16;52.0
279;Total MBO;Combination of sectors;Bonaire;2016/'17;100.0
280;Total MBO;Combination of sectors;Bonaire;2017/'18;104.0
281;Total MBO;Combination of sectors;Bonaire;2018/'19;93.0
282;Total MBO;Combination of sectors;Bonaire;2019/'20;127.0
283;Total MBO;Combination of sectors;Bonaire;2020/'21;110.0
284;Total MBO;Combination of sectors;Bonaire;2021/'22;101.0
285;Total MBO;Combination of sectors;Bonaire;2022/'23;120.0
286;Total MBO;Combination of sectors;Bonaire;2023/'24;95.0
287;Total MBO;Combination of sectors;Bonaire;2024/'25;109.0
288;Total MBO;Combination of sectors;St Eustatius;2009/'10;
289;Total MBO;Combination of sectors;St Eustatius;2010/'11;
290;Total MBO;Combination of sectors;St Eustatius;2011/'12;
291;Total MBO;Combination of sectors;St Eustatius;2012/'13;7.0
292;Total MBO;Combination of sectors;St Eustatius;2013/'14;12.0
293;Total MBO;Combination of sectors;St Eustatius;2014/'15;21.0
294;Total MBO;Combination of sectors;St Eustatius;2015/'16;14.0
295;Total MBO;Combination of sectors;St Eustatius;2016/'17;4.0
296;Total MBO;Combination of sectors;St Eustatius;2017/'18;13.0
297;Total MBO;Combination of sectors;St Eustatius;2018/'19;0.0
298;Total MBO;Combination of sectors;St Eustatius;2019/'20;0.0
299;Total MBO;Combination of sectors;St Eustatius;2020/'21;0.0
300;Total MBO;Combination of sectors;St Eustatius;2021/'22;
301;Total MBO;Combination of sectors;St Eustatius;2022/'23;
302;Total MBO;Combination of sectors;St Eustatius;2023/'24;
303;Total MBO;Combination of sectors;St Eustatius;2024/'25;
304;Total MBO;Combination of sectors;Saba;2009/'10;
305;Total MBO;Combination of sectors;Saba;2010/'11;
306;Total MBO;Combination of sectors;Saba;2011/'12;
307;Total MBO;Combination of sectors;Saba;2012/'13;0.0
308;Total MBO;Combination of sectors;Saba;2013/'14;0.0
309;Total MBO;Combination of sectors;Saba;2014/'15;0.0
310;Total MBO;Combination of sectors;Saba;2015/'16;0.0
311;Total MBO;Combination of sectors;Saba;2016/'17;0.0
312;Total MBO;Combination of sectors;Saba;2017/'18;0.0
313;Total MBO;Combination of sectors;Saba;2018/'19;0.0
314;Total MBO;Combination of sectors;Saba;2019/'20;0.0
315;Total MBO;Combination of sectors;Saba;2020/'21;0.0
316;Total MBO;Combination of sectors;Saba;2021/'22;
317;Total MBO;Combination of sectors;Saba;2022/'23;
318;Total MBO;Combination of sectors;Saba;2023/'24;
319;Total MBO;Combination of sectors;Saba;2024/'25;
320;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2009/'10;0.0
321;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2010/'11;0.0
322;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2011/'12;13.0
323;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2012/'13;
324;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2013/'14;6.0
325;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2014/'15;26.0
326;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2015/'16;34.0
327;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2016/'17;25.0
328;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2017/'18;30.0
329;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2018/'19;8.0
330;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2019/'20;2.0
331;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2020/'21;0.0
332;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2021/'22;0.0
333;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2022/'23;0.0
334;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2023/'24;0.0
335;Total MBO;Domain Construction and infrastructure;Caribbean Netherlands;2024/'25;0.0
336;Total MBO;Domain Construction and infrastructure;Bonaire;2009/'10;0.0
337;Total MBO;Domain Construction and infrastructure;Bonaire;2010/'11;0.0
338;Total MBO;Domain Construction and infrastructure;Bonaire;2011/'12;13.0
339;Total MBO;Domain Construction and infrastructure;Bonaire;2012/'13;
340;Total MBO;Domain Construction and infrastructure;Bonaire;2013/'14;2.0
341;Total MBO;Domain Construction and infrastructure;Bonaire;2014/'15;23.0
342;Total MBO;Domain Construction and infrastructure;Bonaire;2015/'16;34.0
343;Total MBO;Domain Construction and infrastructure;Bonaire;2016/'17;25.0
344;Total MBO;Domain Construction and infrastructure;Bonaire;2017/'18;30.0
345;Total MBO;Domain Construction and infrastructure;Bonaire;2018/'19;8.0
346;Total MBO;Domain Construction and infrastructure;Bonaire;2019/'20;2.0
347;Total MBO;Domain Construction and infrastructure;Bonaire;2020/'21;0.0
348;Total MBO;Domain Construction and infrastructure;Bonaire;2021/'22;0.0
349;Total MBO;Domain Construction and infrastructure;Bonaire;2022/'23;0.0
350;Total MBO;Domain Construction and infrastructure;Bonaire;2023/'24;0.0
351;Total MBO;Domain Construction and infrastructure;Bonaire;2024/'25;0.0
352;Total MBO;Domain Construction and infrastructure;St Eustatius;2009/'10;
353;Total MBO;Domain Construction and infrastructure;St Eustatius;2010/'11;
354;Total MBO;Domain Construction and infrastructure;St Eustatius;2011/'12;
355;Total MBO;Domain Construction and infrastructure;St Eustatius;2012/'13;0.0
356;Total MBO;Domain Construction and infrastructure;St Eustatius;2013/'14;0.0
357;Total MBO;Domain Construction and infrastructure;St Eustatius;2014/'15;0.0
358;Total MBO;Domain Construction and infrastructure;St Eustatius;2015/'16;0.0
359;Total MBO;Domain Construction and infrastructure;St Eustatius;2016/'17;0.0
360;Total MBO;Domain Construction and infrastructure;St Eustatius;2017/'18;0.0
361;Total MBO;Domain Construction and infrastructure;St Eustatius;2018/'19;0.0
362;Total MBO;Domain Construction and infrastructure;St Eustatius;2019/'20;0.0
363;Total MBO;Domain Construction and infrastructure;St Eustatius;2020/'21;0.0
364;Total MBO;Domain Construction and infrastructure;St Eustatius;2021/'22;
365;Total MBO;Domain Construction and infrastructure;St Eustatius;2022/'23;
366;Total MBO;Domain Construction and infrastructure;St Eustatius;2023/'24;
367;Total MBO;Domain Construction and infrastructure;St Eustatius;2024/'25;
368;Total MBO;Domain Construction and infrastructure;Saba;2009/'10;
369;Total MBO;Domain Construction and infrastructure;Saba;2010/'11;
370;Total MBO;Domain Construction and infrastructure;Saba;2011/'12;
371;Total MBO;Domain Construction and infrastructure;Saba;2012/'13;0.0
372;Total MBO;Domain Construction and infrastructure;Saba;2013/'14;4.0
373;Total MBO;Domain Construction and infrastructure;Saba;2014/'15;3.0
374;Total MBO;Domain Construction and infrastructure;Saba;2015/'16;0.0
375;Total MBO;Domain Construction and infrastructure;Saba;2016/'17;0.0
376;Total MBO;Domain Construction and infrastructure;Saba;2017/'18;0.0
377;Total MBO;Domain Construction and infrastructure;Saba;2018/'19;0.0
378;Total MBO;Domain Construction and infrastructure;Saba;2019/'20;0.0
379;Total MBO;Domain Construction and infrastructure;Saba;2020/'21;0.0
380;Total MBO;Domain Construction and infrastructure;Saba;2021/'22;
381;Total MBO;Domain Construction and infrastructure;Saba;2022/'23;
382;Total MBO;Domain Construction and infrastructure;Saba;2023/'24;
383;Total MBO;Domain Construction and infrastructure;Saba;2024/'25;
384;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2009/'10;0.0
385;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2010/'11;31.0
386;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2011/'12;49.0
387;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2012/'13;
388;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2013/'14;50.0
389;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2014/'15;6.0
390;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2015/'16;24.0
391;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2016/'17;21.0
392;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2017/'18;4.0
393;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2018/'19;11.0
394;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2019/'20;28.0
395;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2020/'21;35.0
396;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2021/'22;53.0
397;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2022/'23;49.0
398;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2023/'24;36.0
399;Total MBO;Domain Final constr, timber, maintenance;Caribbean Netherlands;2024/'25;23.0
400;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2009/'10;0.0
401;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2010/'11;31.0
402;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2011/'12;49.0
403;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2012/'13;
404;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2013/'14;42.0
405;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2014/'15;0.0
406;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2015/'16;21.0
407;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2016/'17;17.0
408;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2017/'18;0.0
409;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2018/'19;8.0
410;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2019/'20;27.0
411;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2020/'21;35.0
412;Total MBO;Domain Final constr, timber, maintenance;Bonaire;2021/'22;53.0
