ID;Sex;Regions;Periods;PopulationOn1January_1;PopulationDensity_2;LiveBornChildren_3;LiveBornChildrenRatio_4;Deaths_5;DeathsRatio_6;NaturalIncrease_7;TotalArrivals_8;TotalArrivalsRatio_9;DueToImmigration_10;DueToIntermunicipalMoves_11;TotalDeparturesIncludingAdministra_12;TotalDeparturesIncludingAdmRatio_13;DueToEmigrationIncludingAdministr_14;NetAdministrativeCorrections_15;DueToIntermunicipalMoves_16;NetMigrationIncludingAdministrative_17;PopulationGrowth_18;PopulationGrowthRatio_19;PopulationOn31December_20
12;Total male and female;The Netherlands;1954;10550737.0;;228892.0;21.6;79295.0;7.5;149597.0;502015.0;47.3;;;521252.0;49.1;;;;-19237.0;129286.0;12.3;10680023.0
13;Total male and female;The Netherlands;1955;10680023.0;;229911.0;21.4;81364.0;7.6;148547.0;507440.0;47.2;;;512969.0;47.7;;;;-5529.0;141638.0;13.3;10821661.0
14;Total male and female;The Netherlands;1956;10821661.0;;231204.0;21.2;84521.0;7.8;146683.0;518983.0;47.7;;;530261.0;48.7;;;;-11278.0;135379.0;12.5;10957040.0
15;Total male and female;The Netherlands;1957;10957040.0;;233608.0;21.2;82677.0;7.5;150931.0;537243.0;48.7;;;549893.0;49.9;;;;-12650.0;138686.0;12.7;11095726.0
16;Total male and female;The Netherlands;1958;11095726.0;;236543.0;21.1;84175.0;7.5;152368.0;558936.0;50.0;;;547274.0;48.9;;;;11662.0;182298.0;16.4;11278024.0
17;Total male and female;The Netherlands;1959;11278024.0;;242198.0;21.3;85752.0;7.6;156446.0;525706.0;46.3;;;542882.0;47.8;;;;-17176.0;139230.0;12.3;11417254.0
18;Total male and female;The Netherlands;1960;11417254.0;;238789.0;20.8;87486.0;7.6;151303.0;551116.0;48.0;45407.0;505709.0;564209.0;49.1;58226.0;;505983.0;-13093.0;138754.0;12.2;11556008.0
19;Total male and female;The Netherlands;1961;11556008.0;;247009.0;21.2;87923.0;7.6;159086.0;559761.0;48.1;55082.0;504679.0;553626.0;47.6;48670.0;;504956.0;6135.0;165408.0;14.3;11721416.0
20;Total male and female;The Netherlands;1962;11721416.0;;245739.0;20.8;93558.0;7.9;152181.0;571502.0;48.4;66035.0;505467.0;554824.0;47.0;49082.0;;505742.0;16678.0;168546.0;14.4;11889962.0
21;Total male and female;The Netherlands;1963;11889962.0;;249879.0;20.9;95734.0;8.0;154145.0;560269.0;46.8;55127.0;505142.0;552052.0;46.1;46691.0;;505361.0;8217.0;152008.0;12.8;12041970.0
22;Total male and female;The Netherlands;1964;12041970.0;;250914.0;20.7;93437.0;7.7;157477.0;597746.0;49.3;67079.0;530667.0;584268.0;48.2;53419.0;;530849.0;13478.0;170299.0;14.1;12212269.0
23;Total male and female;The Netherlands;1965;12212269.0;;245216.0;19.9;98026.0;8.0;147190.0;624019.0;50.8;76572.0;547447.0;605494.0;49.2;57808.0;;547686.0;18525.0;164925.0;13.5;12377194.0
24;Total male and female;The Netherlands;1966;12377194.0;;239611.0;19.2;100516.0;8.1;139095.0;657584.0;52.8;81842.0;575742.0;637919.0;51.2;61892.0;;576027.0;19665.0;158113.0;12.8;12535307.0
25;Total male and female;The Netherlands;1967;12535307.0;;238678.0;18.9;99792.0;7.9;138886.0;642568.0;51.0;55784.0;586784.0;654247.0;51.9;67292.0;;586955.0;-11679.0;125788.0;10.0;12661095.0
26;Total male and female;The Netherlands;1968;12661095.0;;237112.0;18.6;104989.0;8.2;132123.0;683229.0;53.7;64486.0;618743.0;677352.0;53.2;58479.0;;618873.0;5877.0;137251.0;10.8;12798346.0
27;Total male and female;The Netherlands;1969;12798346.0;;247588.0;19.2;107615.0;8.4;139973.0;721991.0;56.1;76359.0;645632.0;702141.0;54.5;56176.0;;645965.0;19850.0;159275.0;12.4;12957621.0
28;Total male and female;The Netherlands;1970;12957621.0;;238912.0;18.3;109619.0;8.4;129293.0;735040.0;56.4;90829.0;644211.0;701773.0;53.8;57375.0;;644398.0;33267.0;161809.0;12.5;13119430.0
29;Total male and female;The Netherlands;1971;13119430.0;;227180.0;17.2;110243.0;8.4;116937.0;781299.0;59.2;95054.0;686245.0;748622.0;56.7;62040.0;;686582.0;32677.0;150133.0;11.4;13269563.0
30;Total male and female;The Netherlands;1972;13269563.0;;214133.0;16.1;113576.0;8.5;100557.0;776546.0;58.3;81329.0;695217.0;757704.0;56.8;62200.0;;695504.0;18842.0;118060.0;8.9;13387623.0
31;Total male and female;The Netherlands;1973;13387623.0;;194993.0;14.5;110682.0;8.2;84311.0;800906.0;59.6;84691.0;716215.0;780132.0;58.0;63623.0;;716509.0;20774.0;103397.0;7.7;13491020.0
32;Total male and female;The Netherlands;1974;13491020.0;;185982.0;13.7;109250.0;8.1;76732.0;808049.0;59.7;93796.0;714253.0;775325.0;57.2;60655.0;;714670.0;32724.0;108072.0;8.0;13599092.0
33;Total male and female;The Netherlands;1975;13599092.0;;177876.0;13.0;113737.0;8.3;64139.0;805196.0;58.9;127264.0;677932.0;733467.0;53.7;55209.0;;678258.0;71729.0;134486.0;9.9;13733578.0
34;Total male and female;The Netherlands;1976;13733578.0;;177090.0;12.9;114454.0;8.3;62636.0;740605.0;53.8;82953.0;657652.0;719538.0;52.2;61530.0;;658008.0;21067.0;80917.0;5.9;13814495.0
35;Total male and female;The Netherlands;1977;13814495.0;;173296.0;12.5;110093.0;7.9;63203.0;710171.0;51.3;83899.0;626272.0;690307.0;49.8;63555.0;-2504.0;626752.0;19864.0;83379.0;6.0;13897874.0
36;Total male and female;The Netherlands;1978;13897874.0;;175550.0;12.6;114415.0;8.2;61135.0;679858.0;48.8;89184.0;590674.0;653586.0;46.9;62579.0;-1462.0;591007.0;26272.0;87652.0;6.3;13985526.0
37;Total male and female;The Netherlands;1979;13985526.0;;174979.0;12.5;112565.0;8.0;62414.0;635088.0;45.2;104553.0;530535.0;592269.0;42.2;61517.0;-1738.0;530752.0;42819.0;105488.0;7.5;14091014.0
38;Total male and female;The Netherlands;1980;14091014.0;;181294.0;12.8;114279.0;8.1;67015.0;665926.0;47.1;112504.0;553422.0;615706.0;43.5;61948.0;-2478.0;553758.0;50220.0;117572.0;8.3;14208586.0
39;Total male and female;The Netherlands;1981;14208586.0;;178569.0;12.5;115515.0;8.1;63054.0;622152.0;43.7;80183.0;541969.0;608185.0;42.7;65814.0;-2619.0;542371.0;13967.0;77243.0;5.4;14285829.0
40;Total male and female;The Netherlands;1982;14285829.0;;172071.0;12.0;117264.0;8.2;54807.0;629063.0;44.0;70740.0;558323.0;630687.0;44.1;72024.0;-4517.0;558663.0;-1624.0;53722.0;3.8;14339551.0
41;Total male and female;The Netherlands;1983;14339551.0;;170246.0;11.8;117761.0;8.2;52485.0;622064.0;43.3;66762.0;555302.0;620086.0;43.2;64431.0;-3647.0;555655.0;1978.0;55038.0;3.8;14394589.0
42;Total male and female;The Netherlands;1984;14394589.0;;174436.0;12.1;119812.0;8.3;54624.0;619740.0;43.0;66907.0;552833.0;615275.0;42.7;61774.0;-2920.0;553501.0;4465.0;59244.0;4.1;14453833.0
43;Total male and female;The Netherlands;1985;14453833.0;;178136.0;12.3;122704.0;8.5;55432.0;645347.0;44.5;79362.0;565985.0;625620.0;43.2;59475.0;-4260.0;566145.0;19727.0;75597.0;5.2;14529430.0
44;Total male and female;The Netherlands;1986;14529430.0;;184513.0;12.7;125307.0;8.6;59206.0;681779.0;46.8;87387.0;594392.0;655678.0;45.0;60607.0;-5889.0;595071.0;26101.0;85695.0;5.9;14615125.0
45;Total male and female;The Netherlands;1987;14615125.0;;186667.0;12.7;122199.0;8.3;64468.0;690897.0;47.1;95935.0;594962.0;655811.0;44.7;60844.0;-8833.0;594967.0;35086.0;99823.0;6.8;14714948.0
46;Total male and female;The Netherlands;1988;14714948.0;;186647.0;12.6;124163.0;8.4;62484.0;680541.0;46.1;91238.0;589303.0;653299.0;44.3;63996.0;-8205.0;589303.0;27242.0;90232.0;6.1;14805180.0
47;Total male and female;The Netherlands;1989;14805240.0;;188979.0;12.7;128905.0;8.7;60074.0;695247.0;46.8;98914.0;596333.0;668396.0;45.0;72063.0;-12356.0;596333.0;26851.0;87070.0;5.9;14892310.0
48;Total male and female;The Netherlands;1990;14892574.0;;197965.0;13.2;128824.0;8.6;69141.0;683680.0;45.7;117350.0;566330.0;635269.0;42.5;68939.0;-11595.0;566330.0;48411.0;117868.0;7.9;15010442.0
49;Total male and female;The Netherlands;1991;15010445.0;;198665.0;13.2;129958.0;8.6;68707.0;682348.0;45.3;120249.0;562099.0;632738.0;42.0;70639.0;-13311.0;562099.0;49610.0;118317.0;7.9;15128762.0
50;Total male and female;The Netherlands;1992;15129150.0;;196734.0;13.0;129887.0;8.6;66847.0;694029.0;45.7;116926.0;577103.0;650911.0;42.9;73808.0;-14974.0;577103.0;43118.0;109969.0;7.3;15239119.0
51;Total male and female;The Netherlands;1993;15239182.0;;195748.0;12.8;137795.0;9.0;57953.0;707120.0;46.2;119154.0;587966.0;662754.0;43.3;74788.0;-15566.0;587966.0;44366.0;102324.0;6.7;15341506.0
52;Total male and female;The Netherlands;1994;15341553.0;;195611.0;12.7;133471.0;8.7;62140.0;693060.0;45.1;99311.0;593749.0;672977.0;43.7;79228.0;-17073.0;593749.0;20083.0;82569.0;5.4;15424122.0
53;Total male and female;The Netherlands;1995;15424122.0;455.0;190513.0;12.3;135675.0;8.8;54838.0;702102.0;45.4;96099.0;606003.0;688198.0;44.5;82195.0;-18874.0;606003.0;13904.0;69767.0;4.5;15493889.0
54;Total male and female;The Netherlands;1996;15493889.0;457.0;189521.0;12.2;137561.0;8.9;51960.0;738523.0;47.6;108749.0;629774.0;721719.0;46.5;91945.0;-26620.0;629774.0;16804.0;73218.0;4.7;15567107.0
55;Total male and female;The Netherlands;1997;15567107.0;459.0;192443.0;12.3;135783.0;8.7;56660.0;743216.0;47.6;109860.0;633356.0;715329.0;45.8;81973.0;-19755.0;633356.0;27887.0;87085.0;5.6;15654192.0
56;Total male and female;The Netherlands;1998;15654192.0;462.0;199408.0;12.7;137482.0;8.8;61926.0;788202.0;50.2;122407.0;665795.0;745084.0;47.4;79289.0;-18848.0;665795.0;43118.0;106033.0;6.8;15760225.0
57;Total male and female;The Netherlands;1999;15760225.0;465.0;200445.0;12.7;140487.0;8.9;59958.0;756545.0;47.8;119151.0;637394.0;716173.0;45.3;78779.0;-19756.0;637394.0;40372.0;103725.0;6.6;15863950.0
58;Total male and female;The Netherlands;2000;15863950.0;468.0;206619.0;13.0;140527.0;8.8;66092.0;746947.0;46.9;132850.0;614097.0;693074.0;43.5;78977.0;-17776.0;614097.0;53873.0;123125.0;7.8;15987075.0
59;Total male and female;The Netherlands;2001;15987075.0;472.0;202603.0;12.6;140377.0;8.7;62226.0;743567.0;46.3;133404.0;610163.0;692729.0;43.2;82566.0;-19248.0;610163.0;50838.0;118210.0;7.4;16105285.0
60;Total male and female;The Netherlands;2002;16105285.0;475.0;202083.0;12.5;142355.0;8.8;59728.0;750197.0;46.5;121250.0;628947.0;725865.0;44.9;96918.0;-30190.0;628947.0;24332.0;87287.0;5.4;16192572.0
61;Total male and female;The Netherlands;2003;16192572.0;479.0;200297.0;12.3;141936.0;8.7;58361.0;720704.0;44.4;104514.0;616190.0;721021.0;44.4;104831.0;-35946.0;616190.0;-317.0;65460.0;4.0;16258032.0
62;Total male and female;The Netherlands;2004;16258032.0;481.0;194007.0;11.9;136553.0;8.4;57454.0;711944.0;43.7;94019.0;617925.0;728160.0;44.7;110235.0;-35186.0;617925.0;-16216.0;47494.0;2.9;16305526.0
63;Total male and female;The Netherlands;2005;16305526.0;483.0;187910.0;11.5;136402.0;8.4;51508.0;734386.0;45.0;92297.0;642089.0;761814.0;46.7;119725.0;-36326.0;642089.0;-27428.0;28684.0;1.8;16334210.0
64;Total male and female;The Netherlands;2006;16334210.0;484.0;185057.0;11.3;135372.0;8.3;49685.0;753452.0;46.1;101150.0;652302.0;784772.0;48.0;132470.0;-41442.0;652302.0;-31320.0;23782.0;1.5;16357992.0
65;Total male and female;The Netherlands;2007;16357992.0;485.0;181336.0;11.1;133022.0;8.1;48314.0;763383.0;46.6;116819.0;646564.0;769140.0;47.0;122576.0;-31289.0;646564.0;-5757.0;47407.0;2.9;16405399.0
66;Total male and female;The Netherlands;2008;16405399.0;486.0;184634.0;11.2;135136.0;8.2;49498.0;792769.0;48.2;143516.0;649253.0;767032.0;46.6;117779.0;-27712.0;649253.0;25737.0;80388.0;4.9;16485787.0
67;Total male and female;The Netherlands;2009;16485787.0;489.0;184915.0;11.2;134235.0;8.1;50680.0;743878.0;45.0;146378.0;597500.0;709397.0;42.9;111897.0;-26540.0;597500.0;34481.0;89202.0;5.4;16574989.0
68;Total male and female;The Netherlands;2010;16574989.0;491.0;184397.0;11.1;136058.0;8.2;48339.0;744302.0;44.8;154432.0;589870.0;711221.0;42.8;121351.0;-29901.0;589870.0;33081.0;80810.0;4.9;16655799.0
69;Total male and female;The Netherlands;2011;16655799.0;494.0;180060.0;10.8;135741.0;8.1;44319.0;756683.0;45.3;162962.0;593721.0;726915.0;43.5;133194.0;-27009.0;593721.0;29768.0;74549.0;4.5;16730348.0
70;Total male and female;The Netherlands;2012;16730348.0;496.0;175959.0;10.5;140813.0;8.4;35146.0;768233.0;45.9;158374.0;609859.0;754350.0;45.0;144491.0;-34135.0;609859.0;13883.0;49227.0;2.9;16779575.0
71;Total male and female;The Netherlands;2013;16779575.0;498.0;171341.0;10.2;141245.0;8.4;30096.0;778922.0;46.4;164772.0;614150.0;759819.0;45.2;145669.0;-28489.0;614150.0;19103.0;49714.0;3.0;16829289.0
72;Total male and female;The Netherlands;2014;16829289.0;500.0;175181.0;10.4;139223.0;8.3;35958.0;837416.0;49.7;182949.0;654467.0;802329.0;47.6;147862.0;-25614.0;654467.0;35087.0;71437.0;4.2;16900726.0
73;Total male and female;The Netherlands;2015;16900726.0;502.0;170510.0;10.1;147134.0;8.7;23376.0;902220.0;53.3;204615.0;697605.0;847114.0;50.0;149509.0;-22625.0;697605.0;55106.0;78394.0;4.6;16979120.0
74;Total male and female;The Netherlands;2016;16979120.0;504.0;172520.0;10.1;148997.0;8.7;23523.0;998227.0;58.6;230739.0;767488.0;919033.0;54.0;151545.0;-24225.0;767488.0;79194.0;102387.0;6.0;17081507.0
75;Total male and female;The Netherlands;2017;17081507.0;507.0;169836.0;9.9;150214.0;8.8;19622.0;1031566.0;60.2;234957.0;796609.0;950901.0;55.5;154292.0;-26840.0;796609.0;80665.0;99577.0;5.8;17181084.0
76;Total male and female;The Netherlands;2018;17181084.0;510.0;168525.0;9.8;153363.0;8.9;15162.0;1002022.0;58.2;243737.0;758285.0;915651.0;53.1;157366.0;-22569.0;758285.0;86371.0;101079.0;5.9;17282163.0
77;Total male and female;The Netherlands;2019;17282163.0;513.0;169680.0;9.8;151885.0;8.8;17795.0;1026586.0;59.2;269064.0;757522.0;918551.0;53.0;161029.0;-21873.0;757522.0;108035.0;125422.0;7.3;17407585.0
78;Total male and female;The Netherlands;2020;17407585.0;517.0;168681.0;9.7;168678.0;9.7;3.0;1014246.0;58.2;220853.0;793393.0;945887.0;54.2;152494.0;-19333.0;793393.0;68359.0;67830.0;3.9;17475415.0
79;Total male and female;The Netherlands;2021;17475415.0;519.0;179441.0;10.2;170972.0;9.8;8469.0;1055038.0;60.2;252528.0;802510.0;947840.0;54.1;145330.0;-17236.0;802510.0;107198.0;115257.0;6.6;17590672.0
80;Total male and female;The Netherlands;2022;17590672.0;523.0;167504.0;9.5;170112.0;9.6;-2608.0;1189995.0;67.2;403108.0;786887.0;966197.0;54.6;179310.0;-23090.0;786887.0;223798.0;220619.0;12.5;17811291.0
81;Total male and female;The Netherlands;2023;17811291.0;529.0;164487.0;9.2;169521.0;9.5;-5034.0;1154151.0;64.6;335668.0;818483.0;1016785.0;56.9;198302.0;-32318.0;818483.0;137366.0;131651.0;7.4;17942942.0
82;Total male and female;Noord-Nederland (LD);1942;1116179.0;;24257.0;21.6;10496.0;9.3;13761.0;59758.0;53.2;;;59085.0;52.6;;;;673.0;14375.0;12.9;1130554.0
83;Total male and female;Noord-Nederland (LD);1943;1130554.0;;26630.0;23.4;11241.0;9.9;15389.0;66062.0;57.9;;;61768.0;54.2;;;;4294.0;19683.0;17.4;1150237.0
84;Total male and female;Noord-Nederland (LD);1944;1150237.0;;27467.0;23.8;12312.0;10.7;15155.0;48790.0;42.3;;;56107.0;48.6;;;;-7317.0;7838.0;6.8;1158075.0
85;Total male and female;Noord-Nederland (LD);1945;1158075.0;;27832.0;24.0;15189.0;13.1;12643.0;69434.0;59.9;;;78057.0;67.3;;;;-8623.0;4020.0;3.5;1162095.0
86;Total male and female;Noord-Nederland (LD);1946;1162095.0;;33854.0;29.0;10633.0;9.1;23221.0;81571.0;69.8;;;93068.0;79.7;;;;-11497.0;11724.0;10.1;1173819.0
87;Total male and female;Noord-Nederland (LD);1947;1173819.0;;31537.0;26.7;9933.0;8.4;21604.0;67451.0;57.1;;;75498.0;63.9;;;;-8047.0;13557.0;11.5;1187376.0
88;Total male and female;Noord-Nederland (LD);1948;1187376.0;;28881.0;24.2;9365.0;7.9;19516.0;58126.0;48.7;;;67657.0;56.7;;;;-9531.0;10935.0;9.2;1198311.0
89;Total male and female;Noord-Nederland (LD);1949;1198311.0;;27174.0;22.6;10477.0;8.7;16697.0;51656.0;43.0;;;60780.0;50.6;;;;-9124.0;7573.0;6.3;1205884.0
90;Total male and female;Noord-Nederland (LD);1950;1205884.0;;26207.0;21.7;9731.0;8.0;16476.0;55102.0;45.5;;;62850.0;51.9;;;;-7748.0;8728.0;7.2;1214612.0
91;Total male and female;Noord-Nederland (LD);1951;1214612.0;;26540.0;21.8;9483.0;7.8;17057.0;56710.0;46.6;;;70551.0;58.0;;;;-13841.0;3216.0;2.6;1217828.0
92;Total male and female;Noord-Nederland (LD);1952;1217828.0;;27124.0;22.2;9611.0;7.9;17513.0;52869.0;43.3;;;65261.0;53.5;;;;-12392.0;5121.0;4.2;1222949.0
93;Total male and female;Noord-Nederland (LD);1953;1222949.0;;26750.0;21.8;9723.0;7.9;17027.0;55400.0;45.2;;;65978.0;53.8;;;;-10578.0;6164.0;5.0;1229113.0
94;Total male and female;Noord-Nederland (LD);1954;1229113.0;;26359.0;21.4;9834.0;8.0;16525.0;53713.0;43.7;;;67150.0;54.6;;;;-13437.0;2818.0;2.3;1231931.0
95;Total male and female;Noord-Nederland (LD);1955;1231931.0;;26243.0;21.3;10016.0;8.1;16227.0;54708.0;44.4;;;69227.0;56.2;;;;-14519.0;1402.0;1.1;1233333.0
96;Total male and female;Noord-Nederland (LD);1956;1233333.0;;25825.0;20.9;10208.0;8.3;15617.0;57199.0;46.3;;;70980.0;57.5;;;;-13781.0;1834.0;1.5;1235167.0
97;Total male and female;Noord-Nederland (LD);1957;1235177.0;;25710.0;20.8;10053.0;8.1;15657.0;61865.0;50.0;;;72670.0;58.7;;;;-10805.0;5502.0;4.5;1240679.0
98;Total male and female;Noord-Nederland (LD);1958;1240679.0;;25639.0;20.6;10072.0;8.1;15567.0;60276.0;48.3;;;66063.0;53.0;;;;-5787.0;13838.0;11.2;1254517.0
99;Total male and female;Noord-Nederland (LD);1959;1254517.0;;26066.0;20.7;10397.0;8.3;15669.0;57952.0;46.0;;;64128.0;50.9;;;;-6176.0;9542.0;7.6;1264059.0
100;Total male and female;Noord-Nederland (LD);1960;1264059.0;;25914.0;20.4;10583.0;8.3;15331.0;60976.0;48.1;2366.0;58610.0;68465.0;54.0;3030.0;;65435.0;-7489.0;7943.0;6.3;1272002.0
101;Total male and female;Noord-Nederland (LD);1961;1272002.0;;26345.0;20.6;10113.0;7.9;16232.0;63597.0;49.8;2531.0;61066.0;68053.0;53.2;2250.0;;65803.0;-4456.0;12519.0;9.8;1284521.0
102;Total male and female;Noord-Nederland (LD);1962;1284521.0;;26254.0;20.3;11092.0;8.6;15162.0;65098.0;50.4;3415.0;61683.0;67252.0;52.1;2349.0;;64903.0;-2154.0;13035.0;10.1;1297556.0
103;Total male and female;Noord-Nederland (LD);1963;1297556.0;;26948.0;20.6;11336.0;8.7;15612.0;65650.0;50.3;2238.0;63412.0;66238.0;50.8;2223.0;;64015.0;-588.0;15100.0;11.6;1312656.0
104;Total male and female;Noord-Nederland (LD);1964;1312656.0;;27402.0;20.7;10884.0;8.2;16518.0;71542.0;54.2;2513.0;69029.0;71307.0;54.0;2381.0;;68926.0;235.0;16743.0;12.8;1329399.0
105;Total male and female;Noord-Nederland (LD);1965;1329399.0;;27473.0;20.5;11431.0;8.5;16042.0;72063.0;53.9;3070.0;68993.0;71738.0;53.6;2462.0;;69276.0;325.0;16376.0;12.3;1345775.0
106;Total male and female;Noord-Nederland (LD);1966;1345775.0;;27349.0;20.2;11879.0;8.8;15470.0;73976.0;54.6;2694.0;71282.0;72725.0;53.7;2273.0;;70452.0;1251.0;16710.0;12.4;1362485.0
107;Total male and female;Noord-Nederland (LD);1967;1362485.0;;27410.0;20.0;11685.0;8.5;15725.0;70186.0;51.2;2228.0;67958.0;71179.0;52.0;2559.0;;68620.0;-993.0;14722.0;10.8;1377207.0
108;Total male and female;Noord-Nederland (LD);1968;1377207.0;;27316.0;19.7;12479.0;9.0;14837.0;73171.0;52.9;2363.0;70808.0;74862.0;54.1;2823.0;;72039.0;-1691.0;13106.0;9.5;1390313.0
109;Total male and female;Noord-Nederland (LD);1969;1390313.0;;28694.0;20.5;12766.0;9.1;15928.0;77221.0;55.2;3026.0;74195.0;77800.0;55.7;2573.0;;75227.0;-579.0;15333.0;11.0;1405646.0
110;Total male and female;Noord-Nederland (LD);1970;1405646.0;;27868.0;19.7;12875.0;9.1;14993.0;77690.0;55.0;3510.0;74180.0;76550.0;54.1;2762.0;;73788.0;1140.0;16108.0;11.5;1421754.0
111;Total male and female;Noord-Nederland (LD);1971;1421754.0;;26566.0;18.6;13046.0;9.1;13520.0;84326.0;59.0;3692.0;80634.0;81012.0;56.6;2915.0;;78097.0;3314.0;16920.0;11.9;1438674.0
112;Total male and female;Noord-Nederland (LD);1972;1438674.0;;25474.0;17.6;13322.0;9.2;12152.0;83251.0;57.5;3521.0;79730.0;78090.0;54.0;2742.0;;75348.0;5161.0;17309.0;12.0;1455983.0
113;Total male and female;Noord-Nederland (LD);1973;1455983.0;;22880.0;15.6;13232.0;9.0;9648.0;90912.0;62.1;3415.0;87497.0;82888.0;56.6;2803.0;;80085.0;8024.0;17628.0;12.1;1473611.0
114;Total male and female;Noord-Nederland (LD);1974;1473611.0;;21555.0;14.5;13096.0;8.8;8459.0;93932.0;63.4;4240.0;89692.0;85277.0;57.5;2987.0;;82290.0;8655.0;17057.0;11.6;1490668.0
115;Total male and female;Noord-Nederland (LD);1975;1490668.0;;20484.0;13.7;13673.0;9.1;6811.0;89719.0;59.9;6426.0;83293.0;80574.0;53.8;2644.0;;77930.0;9145.0;15932.0;10.7;1506600.0
116;Total male and female;Noord-Nederland (LD);1976;1506600.0;;20319.0;13.4;13711.0;9.1;6608.0;87133.0;57.6;4233.0;82900.0;80147.0;53.0;3024.0;;77123.0;6986.0;13580.0;9.0;1520180.0
117;Total male and female;Noord-Nederland (LD);1977;1520180.0;;19405.0;12.7;13171.0;8.6;6234.0;87198.0;57.1;4231.0;82967.0;80050.0;52.4;3347.0;-82.0;76703.0;7148.0;13438.0;8.8;1533618.0
118;Total male and female;Noord-Nederland (LD);1978;1533607.0;;19654.0;12.8;13856.0;9.0;5798.0;79642.0;51.7;4734.0;74908.0;73694.0;47.9;3533.0;-68.0;70161.0;5948.0;11889.0;7.8;1545496.0
119;Total male and female;Noord-Nederland (LD);1979;1545496.0;;19616.0;12.6;13330.0;8.6;6286.0;73057.0;47.1;5541.0;67516.0;68694.0;44.3;3419.0;-67.0;65275.0;4363.0;10681.0;6.9;1556177.0
120;Total male and female;Noord-Nederland (LD);1980;1556177.0;;20634.0;13.2;13692.0;8.8;6942.0;74994.0;48.0;5907.0;69087.0;70506.0;45.1;3503.0;-56.0;67003.0;4488.0;11472.0;7.4;1567649.0
121;Total male and female;Noord-Nederland (LD);1981;1567649.0;;20186.0;12.8;13695.0;8.7;6491.0;69246.0;44.1;4295.0;64951.0;68253.0;43.4;3878.0;-71.0;64375.0;993.0;7487.0;4.8;1575136.0
122;Total male and female;Noord-Nederland (LD);1982;1575136.0;;19504.0;12.4;14032.0;8.9;5472.0;70141.0;44.5;3671.0;66470.0;70165.0;44.5;3748.0;-42.0;66417.0;-24.0;5540.0;3.5;1580676.0
123;Total male and female;Noord-Nederland (LD);1983;1580676.0;;19183.0;12.1;13896.0;8.8;5287.0;69819.0;44.1;3600.0;66219.0;69854.0;44.1;3189.0;-93.0;66665.0;-35.0;5428.0;3.4;1586104.0
124;Total male and female;Noord-Nederland (LD);1984;1586104.0;;19107.0;12.0;14255.0;9.0;4852.0;67920.0;42.8;3448.0;64472.0;70659.0;44.5;3589.0;-99.0;67070.0;-2739.0;2126.0;1.3;1588230.0
