ID;Opleidingsniveau;Geslacht;Leeftijd;Perioden;TotaalAantalBanen_1;Voltijdbanen_2;BrutoUurloonAlleBanen_3;BrutoMaandloonAlleBanen_4;BrutoJaarloonAlleBanen_5;BrutoJaarloonVoltijdbanen_6
87;Havo/Vwo;Vrouwen;35 tot 45 jaar;2002;58.6;14.1;17.09;1697.0;23.1;37.2
88;Havo/Vwo;Vrouwen;45 tot 55 jaar;2002;25.8;4.2;15.26;1384.0;18.5;33.4
89;Havo/Vwo;Vrouwen;55 tot 65 jaar;2002;;1.5;;;;
90;Mbo;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2002;2528.7;1500.8;16.21;1910.0;25.6;32.5
91;Mbo;Totaal mannen en vrouwen;Jonger dan 25 jaar;2002;270.6;148.2;11.1;1275.0;16.0;20.8
92;Mbo;Totaal mannen en vrouwen;25 tot 35 jaar;2002;733.7;439.3;14.34;1723.0;22.9;28.0
93;Mbo;Totaal mannen en vrouwen;35 tot 45 jaar;2002;762.5;435.9;16.97;1974.0;26.8;34.8
94;Mbo;Totaal mannen en vrouwen;45 tot 55 jaar;2002;543.2;327.3;18.59;2182.0;29.3;37.6
95;Mbo;Totaal mannen en vrouwen;55 tot 65 jaar;2002;218.7;150.1;20.11;2431.0;32.7;39.9
96;Mbo;Mannen;Totaal 15 tot 65 jaar;2002;1390.1;1198.6;17.51;2379.0;32.0;34.4
97;Mbo;Mannen;Jonger dan 25 jaar;2002;141.0;94.3;11.45;1398.0;17.7;21.8
98;Mbo;Mannen;25 tot 35 jaar;2002;353.0;311.0;15.04;2072.0;27.6;29.3
99;Mbo;Mannen;35 tot 45 jaar;2002;425.3;375.4;18.06;2506.0;34.1;35.9
100;Mbo;Mannen;45 tot 55 jaar;2002;317.4;284.1;19.99;2739.0;36.9;38.6
101;Mbo;Mannen;55 tot 65 jaar;2002;153.3;133.8;21.67;2894.0;39.2;41.6
102;Mbo;Vrouwen;Totaal 15 tot 65 jaar;2002;1138.6;302.2;13.95;1338.0;17.7;25.2
103;Mbo;Vrouwen;Jonger dan 25 jaar;2002;129.6;53.9;;1142.0;14.2;19.1
104;Mbo;Vrouwen;25 tot 35 jaar;2002;380.6;128.4;13.49;1398.0;18.6;24.9
105;Mbo;Vrouwen;35 tot 45 jaar;2002;337.2;60.5;14.81;1304.0;17.5;27.6
106;Mbo;Vrouwen;45 tot 55 jaar;2002;225.8;43.3;15.6;1399.0;18.7;30.4
107;Mbo;Vrouwen;55 tot 65 jaar;2002;65.4;16.2;14.76;1345.0;17.5;25.9
108;Hbo;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2002;1211.4;708.6;21.38;2554.0;34.4;43.8
109;Hbo;Totaal mannen en vrouwen;Jonger dan 25 jaar;2002;68.3;29.1;14.64;1506.0;17.5;25.9
110;Hbo;Totaal mannen en vrouwen;25 tot 35 jaar;2002;382.4;247.5;17.49;2205.0;29.6;34.7
111;Hbo;Totaal mannen en vrouwen;35 tot 45 jaar;2002;354.1;185.2;22.52;2596.0;35.5;47.6
112;Hbo;Totaal mannen en vrouwen;45 tot 55 jaar;2002;294.3;177.6;24.22;2943.0;39.9;50.4
113;Hbo;Totaal mannen en vrouwen;55 tot 65 jaar;2002;112.3;69.2;28.15;3228.0;43.8;57.0
114;Hbo;Mannen;Totaal 15 tot 65 jaar;2002;624.0;506.0;23.72;3168.0;43.2;47.9
115;Hbo;Mannen;Jonger dan 25 jaar;2002;23.1;6.3;14.26;1331.0;15.6;24.4
116;Hbo;Mannen;25 tot 35 jaar;2002;175.8;150.3;18.42;2556.0;34.7;37.2
117;Hbo;Mannen;35 tot 45 jaar;2002;181.0;147.2;24.6;3320.0;45.9;50.0
118;Hbo;Mannen;45 tot 55 jaar;2002;175.6;147.4;26.34;3548.0;48.0;52.8
119;Hbo;Mannen;55 tot 65 jaar;2002;68.5;54.9;31.39;3979.0;54.4;61.4
120;Hbo;Vrouwen;Totaal 15 tot 65 jaar;2002;587.4;202.6;18.21;1902.0;25.2;33.6
121;Hbo;Vrouwen;Jonger dan 25 jaar;2002;45.2;22.9;;1596.0;18.5;26.3
122;Hbo;Vrouwen;25 tot 35 jaar;2002;206.6;97.1;16.55;1907.0;25.2;30.8
123;Hbo;Vrouwen;35 tot 45 jaar;2002;173.0;38.0;19.41;1837.0;24.6;38.5
124;Hbo;Vrouwen;45 tot 55 jaar;2002;118.7;30.2;20.07;2047.0;27.9;39.0
125;Hbo;Vrouwen;55 tot 65 jaar;2002;43.9;14.3;21.47;2057.0;27.2;40.0
126;Wo;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2002;581.0;374.3;27.85;3505.0;47.0;56.1
127;Wo;Totaal mannen en vrouwen;Jonger dan 25 jaar;2002;;;;;;
128;Wo;Totaal mannen en vrouwen;25 tot 35 jaar;2002;179.3;131.8;20.53;2790.0;37.3;41.0
129;Wo;Totaal mannen en vrouwen;35 tot 45 jaar;2002;180.0;115.4;28.82;3653.0;49.3;59.6
130;Wo;Totaal mannen en vrouwen;45 tot 55 jaar;2002;164.0;91.9;33.01;3877.0;52.2;68.1
131;Wo;Totaal mannen en vrouwen;55 tot 65 jaar;2002;55.3;33.4;37.47;4313.0;57.1;72.6
132;Wo;Mannen;Totaal 15 tot 65 jaar;2002;365.3;279.7;29.71;3935.0;53.2;59.8
133;Wo;Mannen;Jonger dan 25 jaar;2002;;;;;;
134;Wo;Mannen;25 tot 35 jaar;2002;97.4;79.5;20.74;2936.0;39.1;42.4
135;Wo;Mannen;35 tot 45 jaar;2002;112.3;92.0;31.0;4182.0;56.9;62.5
136;Wo;Mannen;45 tot 55 jaar;2002;115.1;76.6;34.03;4189.0;57.3;70.0
137;Wo;Mannen;55 tot 65 jaar;2002;39.4;30.7;38.46;5013.0;66.1;72.3
138;Wo;Vrouwen;Totaal 15 tot 65 jaar;2002;215.7;94.6;24.23;2777.0;36.6;45.4
139;Wo;Vrouwen;Jonger dan 25 jaar;2002;;;;;;
140;Wo;Vrouwen;25 tot 35 jaar;2002;81.9;52.2;20.26;2617.0;35.2;39.0
141;Wo;Vrouwen;35 tot 45 jaar;2002;67.7;23.4;24.51;2775.0;36.6;48.1
142;Wo;Vrouwen;45 tot 55 jaar;2002;48.9;15.3;30.19;3143.0;40.3;58.7
143;Wo;Vrouwen;55 tot 65 jaar;2002;15.9;2.7;33.34;2582.0;34.7;75.8
