ID;OutputPrices;SIC2008;Periods;IndexNumbers_1;YearOnYearDevelopment_2;MonthOnMonthDevelopment_3;WeightFactor_4
60;Total output prices;B Mining and quarrying ;1985 September;67.1;2.4;0.7;0
61;Total output prices;B Mining and quarrying ;1985 October;62.7;-4.0;-6.5;0
62;Total output prices;B Mining and quarrying ;1985 November;60.9;-6.6;-3.0;0
63;Total output prices;B Mining and quarrying ;1985 December;59.7;-7.9;-2.0;0
64;Total output prices;B Mining and quarrying ;1985;65.5;-0.9;;0
65;Total output prices;B Mining and quarrying ;1986 January;57.4;-12.0;-3.8;0
66;Total output prices;B Mining and quarrying ;1986 February;56.2;-14.4;-2.1;0
67;Total output prices;B Mining and quarrying ;1986 March ;55.4;-15.9;-1.4;0
68;Total output prices;B Mining and quarrying ;1986 April;52.2;-23.6;-5.8;0
69;Total output prices;B Mining and quarrying ;1986 May;53.2;-22.6;2.0;0
70;Total output prices;B Mining and quarrying ;1986 June;51.8;-23.2;-2.6;0
71;Total output prices;B Mining and quarrying ;1986 July;45.7;-32.7;-11.9;0
72;Total output prices;B Mining and quarrying ;1986 August;46.0;-31.0;0.6;0
73;Total output prices;B Mining and quarrying ;1986 September;41.9;-37.6;-8.9;0
74;Total output prices;B Mining and quarrying ;1986 October;38.1;-39.2;-9.0;0
75;Total output prices;B Mining and quarrying ;1986 November;36.7;-39.7;-3.7;0
76;Total output prices;B Mining and quarrying ;1986 December;36.2;-39.4;-1.5;0
77;Total output prices;B Mining and quarrying ;1986;47.6;-27.4;;0
78;Total output prices;B Mining and quarrying ;1987 January;31.3;-45.5;-13.5;0
79;Total output prices;B Mining and quarrying ;1987 February;31.0;-44.9;-1.0;0
80;Total output prices;B Mining and quarrying ;1987 March ;31.0;-44.0;0.1;0
81;Total output prices;B Mining and quarrying ;1987 April;33.0;-36.8;6.3;0
82;Total output prices;B Mining and quarrying ;1987 May;33.3;-37.5;0.9;0
83;Total output prices;B Mining and quarrying ;1987 June;35.0;-32.4;5.3;0
84;Total output prices;B Mining and quarrying ;1987 July;35.9;-21.4;2.5;0
85;Total output prices;B Mining and quarrying ;1987 August;36.4;-20.9;1.2;0
86;Total output prices;B Mining and quarrying ;1987 September;35.5;-15.3;-2.5;0
87;Total output prices;B Mining and quarrying ;1987 October;34.4;-9.8;-3.1;0
88;Total output prices;B Mining and quarrying ;1987 November;33.7;-8.2;-1.9;0
89;Total output prices;B Mining and quarrying ;1987 December;33.4;-7.6;-0.8;0
90;Total output prices;B Mining and quarrying ;1987;33.7;-29.2;;0
91;Total output prices;B Mining and quarrying ;1988 January;32.0;2.4;-4.1;0
92;Total output prices;B Mining and quarrying ;1988 February;31.9;2.8;-0.6;0
93;Total output prices;B Mining and quarrying ;1988 March ;32.0;3.0;0.3;0
94;Total output prices;B Mining and quarrying ;1988 April;31.5;-4.5;-1.4;0
95;Total output prices;B Mining and quarrying ;1988 May;32.3;-3.0;2.4;0
96;Total output prices;B Mining and quarrying ;1988 June;31.5;-10.1;-2.3;0
97;Total output prices;B Mining and quarrying ;1988 July;32.4;-9.7;2.9;0
98;Total output prices;B Mining and quarrying ;1988 August;32.8;-9.8;1.2;0
99;Total output prices;B Mining and quarrying ;1988 September;30.2;-15.0;-8.1;0
100;Total output prices;B Mining and quarrying ;1988 October;30.2;-12.1;0.1;0
101;Total output prices;B Mining and quarrying ;1988 November;29.6;-12.0;-1.8;0
102;Total output prices;B Mining and quarrying ;1988 December;29.6;-11.4;-0.1;0
103;Total output prices;B Mining and quarrying ;1988;31.3;-6.9;;0
104;Total output prices;B Mining and quarrying ;1989 January;29.9;-6.8;0.9;0
105;Total output prices;B Mining and quarrying ;1989 February;30.2;-5.3;1.0;0
106;Total output prices;B Mining and quarrying ;1989 March ;30.5;-4.5;1.1;0
107;Total output prices;B Mining and quarrying ;1989 April;31.5;0.0;3.3;0
108;Total output prices;B Mining and quarrying ;1989 May;32.5;0.7;3.1;0
109;Total output prices;B Mining and quarrying ;1989 June;34.2;8.4;5.1;0
110;Total output prices;B Mining and quarrying ;1989 July;34.7;7.0;1.6;0
111;Total output prices;B Mining and quarrying ;1989 August;34.3;4.5;-1.2;0
112;Total output prices;B Mining and quarrying ;1989 September;33.5;11.1;-2.3;0
113;Total output prices;B Mining and quarrying ;1989 October;33.2;9.8;-1.1;0
114;Total output prices;B Mining and quarrying ;1989 November;33.0;11.2;-0.6;0
115;Total output prices;B Mining and quarrying ;1989 December;32.5;9.8;-1.4;0
116;Total output prices;B Mining and quarrying ;1989;32.5;3.7;;0
117;Total output prices;B Mining and quarrying ;1990 January;34.8;16.6;7.1;0
118;Total output prices;B Mining and quarrying ;1990 February;35.0;16.1;0.6;0
119;Total output prices;B Mining and quarrying ;1990 March ;35.0;14.6;-0.3;0
120;Total output prices;B Mining and quarrying ;1990 April;35.4;12.3;1.3;0
121;Total output prices;B Mining and quarrying ;1990 May;35.6;9.5;0.5;0
122;Total output prices;B Mining and quarrying ;1990 June;36.1;5.7;1.5;0
123;Total output prices;B Mining and quarrying ;1990 July;34.7;-0.1;-4.0;0
124;Total output prices;B Mining and quarrying ;1990 August;35.1;2.4;1.4;0
125;Total output prices;B Mining and quarrying ;1990 September;33.8;1.0;-3.7;0
126;Total output prices;B Mining and quarrying ;1990 October;33.9;2.1;0.0;0
127;Total output prices;B Mining and quarrying ;1990 November;33.8;2.4;-0.3;0
128;Total output prices;B Mining and quarrying ;1990 December;33.9;4.4;0.5;0
129;Total output prices;B Mining and quarrying ;1990;34.8;7.0;;0
130;Total output prices;B Mining and quarrying ;1991 January;37.5;7.7;10.6;0
131;Total output prices;B Mining and quarrying ;1991 February;38.0;8.3;1.2;0
132;Total output prices;B Mining and quarrying ;1991 March ;38.4;9.9;1.1;0
133;Total output prices;B Mining and quarrying ;1991 April;39.1;10.4;1.8;0
134;Total output prices;B Mining and quarrying ;1991 May;39.5;11.0;1.1;0
135;Total output prices;B Mining and quarrying ;1991 June;39.7;9.8;0.4;0
136;Total output prices;B Mining and quarrying ;1991 July;37.6;8.5;-5.1;0
137;Total output prices;B Mining and quarrying ;1991 August;37.9;8.0;0.9;0
138;Total output prices;B Mining and quarrying ;1991 September;38.2;12.8;0.6;0
139;Total output prices;B Mining and quarrying ;1991 October;35.8;5.9;-6.1;0
140;Total output prices;B Mining and quarrying ;1991 November;34.7;2.7;-3.2;0
141;Total output prices;B Mining and quarrying ;1991 December;34.2;0.8;-1.4;0
142;Total output prices;B Mining and quarrying ;1991;37.5;8.0;;0
143;Total output prices;B Mining and quarrying ;1992 January;34.5;-8.0;0.9;0
144;Total output prices;B Mining and quarrying ;1992 February;34.6;-8.9;0.2;0
145;Total output prices;B Mining and quarrying ;1992 March ;34.5;-10.2;-0.3;0
146;Total output prices;B Mining and quarrying ;1992 April;34.4;-11.8;-0.1;0
147;Total output prices;B Mining and quarrying ;1992 May;34.7;-12.1;0.8;0
148;Total output prices;B Mining and quarrying ;1992 June;35.8;-9.8;3.0;0
149;Total output prices;B Mining and quarrying ;1992 July;35.7;-5.1;-0.2;0
150;Total output prices;B Mining and quarrying ;1992 August;36.0;-5.2;0.7;0
151;Total output prices;B Mining and quarrying ;1992 September;34.8;-8.7;-3.1;0
152;Total output prices;B Mining and quarrying ;1992 October;33.5;-6.4;-3.8;0
153;Total output prices;B Mining and quarrying ;1992 November;33.4;-3.8;-0.5;0
154;Total output prices;B Mining and quarrying ;1992 December;33.4;-2.2;0.2;0
155;Total output prices;B Mining and quarrying ;1992;34.6;-7.8;;0
156;Total output prices;B Mining and quarrying ;1993 January;31.9;-7.5;-4.5;0
157;Total output prices;B Mining and quarrying ;1993 February;32.0;-7.4;0.3;0
158;Total output prices;B Mining and quarrying ;1993 March ;32.6;-5.3;1.9;0
159;Total output prices;B Mining and quarrying ;1993 April;32.8;-4.9;0.4;0
160;Total output prices;B Mining and quarrying ;1993 May;33.6;-3.2;2.6;0
161;Total output prices;B Mining and quarrying ;1993 June;34.4;-3.9;2.3;0
162;Total output prices;B Mining and quarrying ;1993 July;35.1;-1.6;2.2;0
163;Total output prices;B Mining and quarrying ;1993 August;34.9;-2.9;-0.6;0
164;Total output prices;B Mining and quarrying ;1993 September;32.9;-5.5;-5.8;0
165;Total output prices;B Mining and quarrying ;1993 October;32.2;-4.1;-2.3;0
166;Total output prices;B Mining and quarrying ;1993 November;31.6;-5.4;-1.9;0
167;Total output prices;B Mining and quarrying ;1993 December;31.3;-6.3;-0.7;0
168;Total output prices;B Mining and quarrying ;1993;32.9;-4.8;;0
169;Total output prices;B Mining and quarrying ;1994 January;31.3;-2.1;-0.2;0
170;Total output prices;B Mining and quarrying ;1994 February;31.3;-2.2;0.1;0
171;Total output prices;B Mining and quarrying ;1994 March ;31.6;-3.1;1.0;0
172;Total output prices;B Mining and quarrying ;1994 April;31.8;-3.1;0.5;0
173;Total output prices;B Mining and quarrying ;1994 May;32.9;-2.2;3.5;0
174;Total output prices;B Mining and quarrying ;1994 June;33.7;-1.9;2.7;0
175;Total output prices;B Mining and quarrying ;1994 July;34.5;-1.9;2.2;0
176;Total output prices;B Mining and quarrying ;1994 August;34.3;-1.6;-0.4;0
177;Total output prices;B Mining and quarrying ;1994 September;32.7;-0.6;-4.7;0
178;Total output prices;B Mining and quarrying ;1994 October;31.7;-1.4;-3.1;0
179;Total output prices;B Mining and quarrying ;1994 November;32.2;2.0;1.5;0
180;Total output prices;B Mining and quarrying ;1994 December;31.8;1.4;-1.3;0
181;Total output prices;B Mining and quarrying ;1994;32.5;-1.4;;0
182;Total output prices;B Mining and quarrying ;1995 January;33.0;5.5;3.8;0
183;Total output prices;B Mining and quarrying ;1995 February;33.5;6.9;1.4;0
184;Total output prices;B Mining and quarrying ;1995 March ;33.3;5.4;-0.4;0
185;Total output prices;B Mining and quarrying ;1995 April;34.4;8.4;3.3;0
186;Total output prices;B Mining and quarrying ;1995 May;34.1;3.9;-0.8;0
187;Total output prices;B Mining and quarrying ;1995 June;34.1;1.1;0.0;0
188;Total output prices;B Mining and quarrying ;1995 July;35.7;3.6;4.7;0
189;Total output prices;B Mining and quarrying ;1995 August;35.0;2.0;-2.0;0
190;Total output prices;B Mining and quarrying ;1995 September;34.2;4.5;-2.4;0
191;Total output prices;B Mining and quarrying ;1995 October;32.3;1.8;-5.6;0
192;Total output prices;B Mining and quarrying ;1995 November;32.3;0.4;0.2;0
193;Total output prices;B Mining and quarrying ;1995 December;32.2;1.5;-0.3;0
194;Total output prices;B Mining and quarrying ;1995;33.7;3.7;;0
195;Total output prices;B Mining and quarrying ;1996 January;32.9;-0.2;2.2;0
196;Total output prices;B Mining and quarrying ;1996 February;32.9;-1.6;0.0;0
197;Total output prices;B Mining and quarrying ;1996 March ;33.4;0.3;1.5;0
198;Total output prices;B Mining and quarrying ;1996 April;35.1;1.9;5.0;0
199;Total output prices;B Mining and quarrying ;1996 May;35.1;2.8;0.0;0
200;Total output prices;B Mining and quarrying ;1996 June;35.4;3.8;1.0;0
201;Total output prices;B Mining and quarrying ;1996 July;36.7;2.7;3.6;0
202;Total output prices;B Mining and quarrying ;1996 August;37.4;6.9;1.9;0
203;Total output prices;B Mining and quarrying ;1996 September;37.6;9.9;0.4;0
204;Total output prices;B Mining and quarrying ;1996 October;37.2;15.2;-1.0;0
205;Total output prices;B Mining and quarrying ;1996 November;37.3;15.3;0.3;0
206;Total output prices;B Mining and quarrying ;1996 December;37.7;17.1;1.2;0
207;Total output prices;B Mining and quarrying ;1996;35.7;6.1;;0
208;Total output prices;B Mining and quarrying ;1997 January;39.2;19.1;3.9;0
209;Total output prices;B Mining and quarrying ;1997 February;39.4;19.5;0.3;0
210;Total output prices;B Mining and quarrying ;1997 March ;39.2;17.4;-0.3;0
211;Total output prices;B Mining and quarrying ;1997 April;39.9;13.6;1.6;0
212;Total output prices;B Mining and quarrying ;1997 May;40.1;14.3;0.6;0
213;Total output prices;B Mining and quarrying ;1997 June;39.8;12.3;-0.7;0
214;Total output prices;B Mining and quarrying ;1997 July;38.9;6.0;-2.2;0
215;Total output prices;B Mining and quarrying ;1997 August;38.8;3.6;-0.4;0
216;Total output prices;B Mining and quarrying ;1997 September;38.4;2.4;-0.9;0
217;Total output prices;B Mining and quarrying ;1997 October;38.4;3.3;-0.1;0
218;Total output prices;B Mining and quarrying ;1997 November;38.2;2.5;-0.5;0
219;Total output prices;B Mining and quarrying ;1997 December;37.9;0.4;-0.8;0
220;Total output prices;B Mining and quarrying ;1997;39.0;9.2;;0
221;Total output prices;B Mining and quarrying ;1998 January;38.6;-1.7;1.7;0
222;Total output prices;B Mining and quarrying ;1998 February;38.4;-2.5;-0.4;0
223;Total output prices;B Mining and quarrying ;1998 March ;38.2;-2.7;-0.5;0
224;Total output prices;B Mining and quarrying ;1998 April;37.1;-6.9;-2.8;0
225;Total output prices;B Mining and quarrying ;1998 May;37.1;-7.5;-0.1;0
226;Total output prices;B Mining and quarrying ;1998 June;36.3;-8.8;-2.1;0
227;Total output prices;B Mining and quarrying ;1998 July;34.4;-11.5;-5.2;0
228;Total output prices;B Mining and quarrying ;1998 August;34.0;-12.4;-1.4;0
229;Total output prices;B Mining and quarrying ;1998 September;33.5;-12.9;-1.4;0
230;Total output prices;B Mining and quarrying ;1998 October;32.2;-16.2;-3.9;0
231;Total output prices;B Mining and quarrying ;1998 November;31.8;-16.9;-1.3;0
232;Total output prices;B Mining and quarrying ;1998 December;31.4;-17.2;-1.3;0
233;Total output prices;B Mining and quarrying ;1998;35.2;-9.7;;0
234;Total output prices;B Mining and quarrying ;1999 January;30.4;-21.2;-3.1;0
235;Total output prices;B Mining and quarrying ;1999 February;30.5;-20.5;0.4;0
236;Total output prices;B Mining and quarrying ;1999 March ;30.5;-20.3;-0.2;0
237;Total output prices;B Mining and quarrying ;1999 April;30.7;-17.3;0.8;0
238;Total output prices;B Mining and quarrying ;1999 May;30.8;-17.0;0.3;0
239;Total output prices;B Mining and quarrying ;1999 June;31.0;-14.7;0.6;0
240;Total output prices;B Mining and quarrying ;1999 July;32.6;-5.3;5.2;0
241;Total output prices;B Mining and quarrying ;1999 August;33.1;-2.5;1.6;0
242;Total output prices;B Mining and quarrying ;1999 September;33.8;1.0;2.1;0
243;Total output prices;B Mining and quarrying ;1999 October;37.2;15.7;10.1;0
244;Total output prices;B Mining and quarrying ;1999 November;38.3;20.4;2.8;0
245;Total output prices;B Mining and quarrying ;1999 December;39.2;24.9;2.4;0
246;Total output prices;B Mining and quarrying ;1999;33.2;-5.9;;0
247;Total output prices;B Mining and quarrying ;2000 January;42.9;41.1;9.4;0
248;Total output prices;B Mining and quarrying ;2000 February;43.7;43.3;2.0;0
249;Total output prices;B Mining and quarrying ;2000 March;44.5;46.1;1.8;0
250;Total output prices;B Mining and quarrying ;2000 April;49.7;61.7;11.6;0
251;Total output prices;B Mining and quarrying ;2000 May;51.7;68.0;4.2;0
252;Total output prices;B Mining and quarrying ;2000 June;52.3;68.7;1.0;0
253;Total output prices;B Mining and quarrying ;2000 July;56.2;72.4;7.5;0
254;Total output prices;B Mining and quarrying ;2000 August;57.0;72.1;1.4;0
255;Total output prices;B Mining and quarrying ;2000 September;57.7;70.5;1.2;0
256;Total output prices;B Mining and quarrying ;2000 October;60.0;61.1;4.0;0
257;Total output prices;B Mining and quarrying ;2000 November;60.3;57.5;0.5;0
258;Total output prices;B Mining and quarrying ;2000 December;61.1;56.0;1.4;0
259;Total output prices;B Mining and quarrying ;2000;53.1;60.0;;0
260;Total output prices;B Mining and quarrying ;2001 January;64.0;49.2;4.7;0
261;Total output prices;B Mining and quarrying ;2001 February;65.9;50.7;3.0;0
262;Total output prices;B Mining and quarrying ;2001 March;66.0;48.3;0.1;0
263;Total output prices;B Mining and quarrying ;2001 April;63.1;27.0;-4.4;0
264;Total output prices;B Mining and quarrying ;2001 May;63.6;22.9;0.9;0
265;Total output prices;B Mining and quarrying ;2001 June;64.2;22.8;1.0;0
266;Total output prices;B Mining and quarrying ;2001 July;63.0;12.1;-1.9;0
267;Total output prices;B Mining and quarrying ;2001 August;60.7;6.5;-3.7;0
268;Total output prices;B Mining and quarrying ;2001 September;59.3;2.8;-2.3;0
269;Total output prices;B Mining and quarrying ;2001 October;57.6;-4.0;-2.9;0
270;Total output prices;B Mining and quarrying ;2001 November;56.5;-6.3;-1.9;0
271;Total output prices;B Mining and quarrying ;2001 December;55.8;-8.7;-1.2;0
272;Total output prices;B Mining and quarrying ;2001;61.6;16.1;;0
273;Total output prices;B Mining and quarrying ;2002 January;54.2;-15.3;-2.9;0
274;Total output prices;B Mining and quarrying ;2002 February;54.9;-16.7;1.3;0
275;Total output prices;B Mining and quarrying ;2002 March;54.4;-17.6;-1.0;0
276;Total output prices;B Mining and quarrying ;2002 April;54.7;-13.3;0.6;0
277;Total output prices;B Mining and quarrying ;2002 May;54.4;-14.5;-0.6;0
278;Total output prices;B Mining and quarrying ;2002 June;53.1;-17.3;-2.3;0
279;Total output prices;B Mining and quarrying ;2002 July;55.4;-12.1;4.2;0
280;Total output prices;B Mining and quarrying ;2002 August;55.2;-9.0;-0.3;0
281;Total output prices;B Mining and quarrying ;2002 September;54.9;-7.4;-0.6;0
282;Total output prices;B Mining and quarrying ;2002 October;57.3;-0.5;4.3;0
283;Total output prices;B Mining and quarrying ;2002 November;58.0;2.7;1.3;0
284;Total output prices;B Mining and quarrying ;2002 December;59.7;6.9;2.8;0
285;Total output prices;B Mining and quarrying ;2002;55.5;-9.9;;0
286;Total output prices;B Mining and quarrying ;2003 January;61.7;13.8;3.4;0
287;Total output prices;B Mining and quarrying ;2003 February;61.9;12.8;0.4;0
288;Total output prices;B Mining and quarrying ;2003 March;61.5;13.2;-0.6;0
289;Total output prices;B Mining and quarrying ;2003 April;62.4;14.1;1.4;0
290;Total output prices;B Mining and quarrying ;2003 May;63.2;16.3;1.4;0
291;Total output prices;B Mining and quarrying ;2003 June;63.4;19.4;0.4;0
292;Total output prices;B Mining and quarrying ;2003 July;57.1;3.2;-9.9;0
293;Total output prices;B Mining and quarrying ;2003 August;56.6;2.5;-0.9;0
294;Total output prices;B Mining and quarrying ;2003 September;55.7;1.4;-1.6;0
295;Total output prices;B Mining and quarrying ;2003 October;55.9;-2.4;0.4;0
296;Total output prices;B Mining and quarrying ;2003 November;56.4;-2.9;0.8;0
297;Total output prices;B Mining and quarrying ;2003 December;58.3;-2.3;3.4;0
298;Total output prices;B Mining and quarrying ;2003;59.5;7.2;;0
299;Total output prices;B Mining and quarrying ;2004 January;57.1;-7.3;-2.0;0
300;Total output prices;B Mining and quarrying ;2004 February;57.5;-7.1;0.7;0
301;Total output prices;B Mining and quarrying ;2004 March;57.2;-7.0;-0.5;0
302;Total output prices;B Mining and quarrying ;2004 April;56.3;-9.7;-1.6;0
303;Total output prices;B Mining and quarrying ;2004 May;55.8;-11.8;-1.0;0
304;Total output prices;B Mining and quarrying ;2004 June;56.1;-11.5;0.7;0
305;Total output prices;B Mining and quarrying ;2004 July;57.1;0.0;1.8;0
306;Total output prices;B Mining and quarrying ;2004 August;56.8;0.4;-0.5;0
307;Total output prices;B Mining and quarrying ;2004 September;57.7;3.7;1.6;0
308;Total output prices;B Mining and quarrying ;2004 October;62.2;11.3;7.7;0
309;Total output prices;B Mining and quarrying ;2004 November;63.3;12.2;1.7;0
310;Total output prices;B Mining and quarrying ;2004 December;63.6;9.0;0.5;0
311;Total output prices;B Mining and quarrying ;2004;58.4;-1.9;;0
312;Total output prices;B Mining and quarrying ;2005 January;68.0;;;19825
313;Total output prices;B Mining and quarrying ;2005 February;68.3;;0.4;19825
314;Total output prices;B Mining and quarrying ;2005 March;68.8;;0.7;19825
315;Total output prices;B Mining and quarrying ;2005 April;71.9;;4.6;19825
316;Total output prices;B Mining and quarrying ;2005 May;71.7;;-0.4;19825
317;Total output prices;B Mining and quarrying ;2005 June;73.4;;2.4;19825
318;Total output prices;B Mining and quarrying ;2005 July;76.6;;4.4;19825
319;Total output prices;B Mining and quarrying ;2005 August;78.9;;3.0;19825
320;Total output prices;B Mining and quarrying ;2005 September;80.5;;2.1;19825
321;Total output prices;B Mining and quarrying ;2005 October;86.7;;7.6;19825
322;Total output prices;B Mining and quarrying ;2005 November;87.0;;0.4;19825
323;Total output prices;B Mining and quarrying ;2005 December;92.2;;6.0;19825
324;Total output prices;B Mining and quarrying ;2005;77.0;;;19825
325;Total output prices;B Mining and quarrying ;2006 January;96.0;41.1;4.1;19825
326;Total output prices;B Mining and quarrying ;2006 February;96.2;40.8;0.2;19825
327;Total output prices;B Mining and quarrying ;2006 March;97.3;41.4;1.1;19825
328;Total output prices;B Mining and quarrying ;2006 April;100.3;39.4;3.1;19825
329;Total output prices;B Mining and quarrying ;2006 May;104.5;45.9;4.2;19825
330;Total output prices;B Mining and quarrying ;2006 June;104.2;42.1;-0.3;19825
331;Total output prices;B Mining and quarrying ;2006 July;103.5;35.1;-0.7;19825
332;Total output prices;B Mining and quarrying ;2006 August;103.5;31.2;0.0;19825
333;Total output prices;B Mining and quarrying ;2006 September;104.5;29.7;0.9;19825
334;Total output prices;B Mining and quarrying ;2006 October;103.9;19.8;-0.6;19825
335;Total output prices;B Mining and quarrying ;2006 November;102.9;18.2;-0.9;19825
336;Total output prices;B Mining and quarrying ;2006 December;103.2;11.8;0.2;19825
337;Total output prices;B Mining and quarrying ;2006;101.7;32.0;;19825
338;Total output prices;B Mining and quarrying ;2007 January;104.3;8.6;1.1;19825
339;Total output prices;B Mining and quarrying ;2007 February;102.5;6.6;-1.7;19825
340;Total output prices;B Mining and quarrying ;2007 March;103.0;5.9;0.5;19825
341;Total output prices;B Mining and quarrying ;2007 April;102.4;2.1;-0.6;19825
342;Total output prices;B Mining and quarrying ;2007 May;101.0;-3.4;-1.4;19825
343;Total output prices;B Mining and quarrying ;2007 June;99.1;-4.9;-1.8;19825
344;Total output prices;B Mining and quarrying ;2007 July;103.9;0.3;4.8;19825
345;Total output prices;B Mining and quarrying ;2007 August;103.0;-0.5;-0.8;19825
346;Total output prices;B Mining and quarrying ;2007 September;101.1;-3.2;-1.8;19825
347;Total output prices;B Mining and quarrying ;2007 October;103.0;-0.9;1.8;19825
348;Total output prices;B Mining and quarrying ;2007 November;103.2;0.3;0.2;19825
349;Total output prices;B Mining and quarrying ;2007 December;104.3;1.2;1.1;19825
350;Total output prices;B Mining and quarrying ;2007;102.6;0.9;;19825
351;Total output prices;B Mining and quarrying ;2008 January;109.1;4.6;4.5;19825
352;Total output prices;B Mining and quarrying ;2008 February;112.2;9.4;2.8;19825
353;Total output prices;B Mining and quarrying ;2008 March;114.9;11.5;2.5;19825
354;Total output prices;B Mining and quarrying ;2008 April;120.2;17.3;4.6;19825
355;Total output prices;B Mining and quarrying ;2008 May;128.1;26.9;6.6;19825
356;Total output prices;B Mining and quarrying ;2008 June;135.0;36.2;5.3;19825
357;Total output prices;B Mining and quarrying ;2008 July;147.3;41.8;9.1;19825
358;Total output prices;B Mining and quarrying ;2008 August;150.1;45.7;1.9;19825
359;Total output prices;B Mining and quarrying ;2008 September;145.9;44.3;-2.8;19825
360;Total output prices;B Mining and quarrying ;2008 October;149.1;44.7;2.2;19825
