ID;RegioS;Perioden;TariefOpcentenMotorrijtuigenbelasting_1
263;Noord-Brabant (PV);2003;66.3
264;Noord-Brabant (PV);2004;68.1
265;Noord-Brabant (PV);2005;68.3
266;Noord-Brabant (PV);2006;69.7
267;Noord-Brabant (PV);2007;71.6
268;Noord-Brabant (PV);2008;71.6
269;Noord-Brabant (PV);2009;71.6
270;Noord-Brabant (PV);2010;71.6
271;Noord-Brabant (PV);2011;71.6
272;Noord-Brabant (PV);2012;72.9
273;Noord-Brabant (PV);2013;74.2
274;Noord-Brabant (PV);2014;75.8
275;Noord-Brabant (PV);2015;76.1
276;Noord-Brabant (PV);2016;76.1
277;Noord-Brabant (PV);2017;76.1
278;Noord-Brabant (PV);2018;76.1
279;Noord-Brabant (PV);2019;76.1
280;Noord-Brabant (PV);2020;78.0
281;Noord-Brabant (PV);2021;78.4
282;Noord-Brabant (PV);2022;79.6
283;Noord-Brabant (PV);2023;80.8
284;Noord-Brabant (PV);2024;82.8
285;Noord-Brabant (PV);2025;84.9
286;Limburg (PV);2000;56.1
287;Limburg (PV);2001;60.4
288;Limburg (PV);2002;60.4
289;Limburg (PV);2003;62.6
290;Limburg (PV);2004;67.0
291;Limburg (PV);2005;71.1
292;Limburg (PV);2006;75.3
293;Limburg (PV);2007;78.8
294;Limburg (PV);2008;79.6
295;Limburg (PV);2009;82.0
296;Limburg (PV);2010;83.6
297;Limburg (PV);2011;85.1
298;Limburg (PV);2012;78.3
299;Limburg (PV);2013;79.7
300;Limburg (PV);2014;76.6
301;Limburg (PV);2015;77.9
302;Limburg (PV);2016;77.9
303;Limburg (PV);2017;77.9
304;Limburg (PV);2018;77.9
305;Limburg (PV);2019;77.9
306;Limburg (PV);2020;77.9
307;Limburg (PV);2021;77.9
308;Limburg (PV);2022;79.1
309;Limburg (PV);2023;80.6
310;Limburg (PV);2024;83.1
311;Limburg (PV);2025;85.8
