ID;Perioden;TotaalGoederenvervoer_1;TotaalGoederenvervoer_2;NoordNederland_3;OostNederland_4;ZuidNederland_5;TotaleLadingWestNederland_6;Rijnmond_7;NoordzeeKanaalgebied_8;OverigWestNederland_9;TotaalGoederenvervoer_10;NoordNederland_11;OostNederland_12;ZuidNederland_13;TotaleLossingWestNederland_14;Rijnmond_15;NoordzeeKanaalgebied_16;OverigWestNederland_17;TotaalGoederenvervoer_18;LandbouwproductenDieren_19;VoedingsproductenVeevoeder_20;VasteBrandstoffen_21;AardolieEnAardolieproducten_22;ErtsenEnMetaalresiduen_23;MetalenEnMetalenHalffabricaten_24;RuweMineralenBouwmaterialen_25;Meststoffen_26;ChemischeProducten_27;OverigeGoederenEnFabricaten_28;TotaalLadingtonkilometers_29;TotaalLadingtonkilometers_30;NoordNederland_31;OostNederland_32;ZuidNederland_33;TotaleLadingWestNederland_34;Rijnmond_35;NoordzeeKanaalgebied_36;OverigWestNederland_37;TotaalLadingtonkilometers_38;NoordNederland_39;OostNederland_40;ZuidNederland_41;TotaleLossingWestNederland_42;Rijnmond_43;NoordzeeKanaalgebied_44;OverigWestNederland_45;TotaalLadingtonkilometers_46;LandbouwproductenDieren_47;VoedingsproductenVeevoeder_48;VasteBrandstoffen_49;AardolieEnAardolieproducten_50;ErtsenEnMetaalresiduen_51;MetalenEnMetalenHalffabricaten_52;RuweMineralenBouwmaterialen_53;Meststoffen_54;ChemischeProducten_55;OverigeGoederenEnFabricaten_56
25;1997 juli;431;431;105;46;129;151;87;16;48;431;72;33;86;241;180;31;30;431;0;31;0;11;0;0;0;15;130;245;72;72;29;3;20;19;13;1;5;72;13;2;14;42;36;3;3;72;0;3;0;3;0;0;0;3;22;41
26;1997 augustus;416;416;97;43;115;161;93;18;50;416;68;37;82;229;171;27;31;416;1;28;0;9;0;3;0;12;113;251;65;65;26;3;17;19;12;2;5;65;12;3;13;38;32;3;3;65;0;2;0;3;0;0;0;2;18;39
27;1997 september;486;486;109;60;134;183;106;21;56;486;75;53;123;234;156;37;41;486;0;47;0;10;0;3;0;2;122;301;72;72;29;4;18;21;14;2;5;72;13;4;16;39;32;4;3;72;0;4;0;3;0;0;0;0;20;44
28;1997 3e kwartaal;1334;1334;311;150;378;496;286;56;154;1334;214;123;292;704;507;95;102;1334;1;106;0;30;0;6;0;28;365;797;209;209;84;10;55;59;39;5;15;209;38;9;43;119;100;10;9;209;0;9;0;9;0;0;0;5;60;124
29;1997 oktober;496;496;115;64;139;179;93;21;65;496;70;61;123;242;157;39;46;496;0;42;0;12;0;2;0;1;123;315;75;75;31;3;20;21;14;1;6;75;13;4;17;41;34;4;3;75;0;3;0;4;0;0;0;0;20;47
30;1997 november;461;461;106;51;122;183;104;32;47;461;60;51;120;230;152;41;37;461;0;43;0;12;0;2;0;0;110;293;69;69;29;3;16;20;14;1;5;69;11;4;16;37;32;2;3;69;0;4;0;4;0;0;0;0;18;43
31;1997 december;377;377;114;28;102;133;81;10;42;377;61;24;96;195;144;21;30;377;0;38;0;15;0;1;0;1;114;207;66;66;31;2;15;18;13;1;4;66;11;2;15;38;33;2;3;66;0;3;0;5;0;0;0;0;19;39
32;1997 4e kwartaal;1334;1334;334;143;362;494;278;63;153;1334;191;136;340;666;454;100;112;1334;0;124;0;39;0;5;0;3;348;815;210;210;91;8;51;59;41;3;15;210;35;10;48;116;99;8;9;210;0;10;0;13;0;0;0;0;57;129
33;1997;5004;5004;1300;503;1318;1882;1027;254;601;5004;891;439;1119;2554;1800;374;380;5004;1;384;2;135;0;13;0;87;1366;3016;814;814;345;33;206;230;154;17;59;814;152;35;174;453;389;29;35;814;0;37;1;43;0;2;0;19;224;489
34;1998 januari;318;318;105;23;85;105;62;7;35;318;58;16;84;160;110;20;29;318;0;27;0;13;0;2;0;4;113;159;59;59;28;2;13;16;12;1;3;59;11;1;14;32;27;2;3;59;0;2;0;4;0;0;0;1;18;34
35;1998 februari;345;345;101;22;111;109;58;13;38;345;62;17;104;162;110;27;26;345;0;36;0;13;0;1;0;0;109;184;59;59;27;2;15;16;11;1;4;59;12;1;14;32;27;2;3;59;0;3;0;4;0;0;0;0;18;35
36;1998 maart;410;410;124;35;121;131;73;15;43;410;90;33;105;181;118;28;35;410;0;39;0;15;0;3;0;1;125;228;70;70;29;3;19;18;13;1;4;70;15;3;16;36;28;4;4;70;0;3;0;5;0;0;0;0;22;40
37;1998 1e kwartaal;1073;1073;330;80;317;345;193;35;116;1073;210;66;293;503;338;75;90;1073;0;102;0;41;0;6;0;5;347;571;188;188;84;7;47;50;36;3;11;188;38;5;44;100;82;8;10;188;0;8;0;13;0;0;0;1;58;109
38;1998 april;418;418;123;54;102;139;73;20;46;418;86;52;86;194;135;23;36;418;0;36;0;12;0;2;0;3;115;250;67;67;30;3;15;19;12;2;5;67;15;3;13;37;31;2;4;67;0;3;0;4;0;0;0;1;18;41
39;1998 mei;390;390;114;43;89;144;83;12;49;390;85;41;69;195;143;16;36;390;0;25;0;11;0;1;0;8;103;243;64;64;28;2;15;19;13;1;5;64;14;3;12;34;31;0;3;64;0;2;0;3;0;0;0;2;16;40
40;1998 juni;411;411;98;55;97;161;75;31;54;411;73;60;74;203;131;32;40;411;0;25;0;9;0;2;0;6;100;270;62;62;27;2;15;19;13;1;5;62;13;4;12;34;30;1;3;62;0;2;0;3;0;0;0;1;15;40
41;1998 2e kwartaal;1219;1219;335;152;288;444;231;63;149;1219;244;153;229;592;409;71;112;1219;0;86;0;32;0;5;0;17;318;763;193;193;85;7;45;57;38;4;15;193;42;10;37;105;92;3;10;193;0;7;0;10;0;0;0;4;49;121
42;1998 juli;374;374;104;35;94;141;81;12;48;374;74;26;106;168;128;14;27;374;0;37;0;9;0;1;0;2;108;215;64;64;29;2;12;21;15;1;5;64;13;2;15;33;30;0;3;64;0;3;0;3;0;0;0;1;17;41
43;1998 augustus;338;338;100;38;84;116;58;10;48;338;69;29;78;162;112;15;36;338;0;32;0;9;0;1;0;1;101;192;58;58;27;2;12;16;11;1;4;58;12;2;12;32;28;1;3;58;0;3;0;3;0;0;0;0;16;36
44;1998 september;417;417;100;48;116;154;65;24;65;417;74;42;96;205;123;32;50;417;0;35;0;10;0;5;0;0;106;261;65;65;27;3;17;19;11;2;6;65;13;4;14;36;28;4;4;65;0;3;0;3;0;1;0;0;17;42
45;1998 3e kwartaal;1129;1129;304;121;294;411;204;46;161;1129;217;97;280;535;363;61;113;1129;0;104;0;28;0;7;0;3;315;668;187;187;83;7;41;56;37;4;15;187;38;8;41;101;86;5;10;187;0;9;0;9;0;1;0;1;50;119
46;1998 oktober;439;439;92;49;139;159;71;17;72;439;66;50;105;218;124;35;59;439;0;37;0;11;0;6;0;0;116;268;67;67;25;3;21;18;12;1;5;67;11;4;15;37;28;5;4;67;0;3;0;4;0;1;0;0;19;41
47;1998 november;370;370;89;32;108;141;69;25;47;370;63;28;90;189;125;44;21;370;0;28;0;11;0;6;0;0;100;226;63;63;25;2;18;19;13;1;5;63;11;2;16;35;29;4;2;63;0;2;0;4;0;1;0;0;16;40
48;1998 december;336;336;96;21;106;113;69;6;37;336;61;10;90;176;121;29;25;336;0;32;0;11;0;2;0;0;119;172;64;64;27;2;18;18;13;1;4;64;10;1;16;36;30;4;2;64;0;2;0;4;0;0;0;0;19;38
49;1998 4e kwartaal;1145;1145;277;102;353;413;209;48;156;1145;190;88;285;583;370;108;105;1145;0;97;0;33;0;14;0;0;335;666;194;194;77;7;57;55;38;3;14;194;32;7;47;108;87;13;8;194;0;7;0;12;0;2;0;0;54;119
50;1998;4566;4566;1247;455;1252;1613;838;192;583;4566;862;403;1088;2214;1480;313;421;4566;0;388;0;136;0;32;0;26;1314;2669;763;763;329;28;190;216;147;14;55;763;149;32;168;415;348;29;38;763;0;30;0;43;0;5;0;6;211;467
51;1999 januari;410;410;163;25;96;127;77;10;40;410;67;16;90;238;185;31;22;410;0;34;0;10;0;6;0;0;120;240;85;85;47;2;16;20;15;1;4;85;12;2;15;55;49;4;2;85;0;2;0;3;0;1;0;0;19;59
52;1999 februari;411;411;166;20;102;122;74;12;37;411;60;12;86;253;202;25;26;411;0;33;0;10;0;3;0;1;108;256;84;84;47;2;16;19;14;1;4;84;11;1;14;56;52;2;2;84;0;2;0;3;0;0;0;0;17;60
53;1999 maart;481;481;164;22;133;162;92;17;53;481;70;22;97;292;219;43;31;481;0;24;0;13;0;6;0;0;134;305;94;94;46;2;23;22;16;1;5;94;13;3;17;60;53;5;2;94;0;2;0;4;0;1;0;0;22;64
54;1999 1e kwartaal;1302;1302;493;67;331;411;243;39;130;1302;197;50;273;783;606;99;79;1302;0;91;0;33;0;15;0;1;362;801;263;263;140;6;55;61;45;3;13;263;36;6;46;171;154;11;6;263;0;6;0;10;0;2;0;0;58;183
55;1999 april;346;346;112;26;86;123;71;7;45;346;59;15;74;199;148;18;33;346;0;21;0;10;0;3;0;0;107;204;65;65;32;2;15;17;12;1;4;65;9;1;14;40;36;1;3;65;0;2;0;4;0;0;0;0;16;44
56;1999 mei;318;318;110;13;76;119;68;10;42;318;42;11;69;196;149;18;29;318;2;15;0;10;0;2;0;1;92;196;63;63;32;1;13;16;11;1;4;63;7;1;13;42;37;2;3;63;0;2;0;3;0;0;0;0;15;42
57;1999 juni;382;382;112;23;124;123;68;7;48;382;62;14;103;202;147;31;24;382;1;36;0;12;0;3;0;1;127;202;71;71;32;2;19;18;12;1;5;71;10;1;17;43;36;5;2;71;0;3;0;4;0;0;0;0;21;43
58;1999 2e kwartaal;1046;1046;334;62;286;365;207;24;135;1046;163;40;246;597;444;67;86;1046;3;72;0;32;0;8;0;2;326;602;199;199;96;5;47;51;35;3;13;199;26;3;44;125;109;8;8;199;0;7;0;11;0;0;0;0;52;129
59;1999 juli;378;378;108;22;131;117;66;5;46;378;56;8;105;209;149;31;29;378;0;42;0;8;0;3;0;0;130;195;70;70;31;2;20;17;11;1;5;70;9;1;16;45;37;5;3;70;0;3;0;3;0;0;0;0;21;43
60;1999 augustus;357;357;108;23;113;114;66;6;42;357;54;11;105;187;132;32;24;357;0;35;0;11;0;2;0;0;126;184;67;67;31;2;18;16;11;1;4;67;9;1;17;41;34;5;2;67;0;3;0;3;0;0;0;0;21;40
61;1999 september;374;374;108;27;121;119;60;13;45;374;54;20;105;195;145;34;17;374;0;29;0;12;0;4;0;0;115;215;70;70;31;2;20;18;11;2;5;70;9;2;17;43;36;5;2;70;0;2;0;4;0;1;0;0;19;45
62;1999 3e kwartaal;1109;1109;324;72;365;350;192;24;133;1109;164;39;315;591;426;97;70;1109;0;106;0;31;0;9;0;0;371;594;207;207;93;6;58;51;33;4;14;207;27;4;50;129;107;15;7;207;0;8;0;10;0;1;0;0;61;128
63;1999 oktober;361;361;107;26;110;118;69;6;42;361;53;20;92;195;141;29;25;361;0;32;0;10;0;4;0;0;116;198;66;66;31;2;18;17;11;1;5;66;8;2;16;41;35;4;2;66;0;2;0;4;0;1;0;0;18;42
64;1999 november;418;418;114;42;121;142;76;11;55;418;61;42;116;200;154;17;29;418;0;36;0;13;0;4;0;0;115;250;73;73;32;2;19;20;13;1;6;73;9;4;19;42;38;1;3;73;0;3;0;4;0;1;0;0;18;48
65;1999 december;395;395;116;28;114;137;70;18;49;395;55;14;116;210;147;24;39;395;0;34;0;15;0;2;0;1;112;230;70;70;34;2;17;18;12;1;5;70;9;1;19;41;37;1;3;70;0;3;0;5;0;0;0;0;17;45
66;1999 4e kwartaal;1174;1174;337;96;345;397;215;35;146;1174;169;76;324;605;442;70;93;1174;0;102;0;38;0;10;0;1;343;678;209;209;97;6;54;55;36;3;16;209;26;7;54;124;110;6;8;209;0;8;0;13;0;2;0;0;53;135
67;1999;4633;4633;1488;296;1326;1523;857;122;543;4633;694;204;1157;2577;1917;332;328;4633;3;371;0;133;0;42;0;3;1404;2677;878;878;427;22;214;216;149;11;56;878;116;20;195;547;479;40;28;878;0;29;0;44;0;5;0;1;222;576
68;2000 januari;395;395;145;26;85;140;79;20;41;395;58;9;91;237;185;30;22;395;0;30;0;13;0;2;0;0;98;252;77;77;41;2;14;19;13;2;4;77;9;1;16;51;46;3;2;77;0;2;0;4;0;0;0;0;15;55
69;2000 februari;426;426;146;25;98;157;87;32;38;426;59;12;100;255;188;42;25;426;0;27;0;14;0;2;0;0;104;278;79;79;41;2;15;21;15;2;4;79;9;1;17;51;47;2;2;79;0;2;0;5;0;0;0;0;16;57
70;2000 maart;451;451;147;29;106;167;95;24;48;451;68;13;114;255;193;35;27;451;0;33;0;15;0;4;0;0;116;283;84;84;41;2;17;24;16;3;5;84;11;1;20;53;48;3;2;84;0;2;0;5;0;0;0;0;17;59
71;2000 1e kwartaal;1272;1272;438;80;289;464;261;76;127;1272;185;34;305;747;566;107;74;1272;0;90;0;42;0;8;0;0;318;813;240;240;123;6;46;64;44;7;13;240;29;3;53;155;141;8;6;240;0;6;0;14;0;0;0;0;48;171
72;2000 april;410;410;142;27;95;147;87;23;37;410;65;19;87;239;179;36;24;410;0;25;0;11;0;4;0;0;105;266;79;79;40;2;17;21;14;3;4;79;10;2;16;51;45;4;2;79;0;2;0;4;0;1;0;0;16;57
73;2000 mei;476;476;148;37;113;178;99;30;49;476;81;25;94;276;204;41;31;476;0;23;0;11;0;5;0;1;120;316;86;86;41;2;19;24;15;3;6;86;13;2;17;54;47;4;3;86;0;2;0;4;0;1;0;0;18;61
74;2000 juni;448;448;145;43;102;158;83;33;42;448;68;31;81;268;187;56;25;448;0;22;0;8;0;2;0;0;109;306;79;79;40;2;17;20;13;2;5;79;10;2;14;53;45;6;2;79;0;2;0;3;0;0;0;0;16;57
75;2000 2e kwartaal;1334;1334;435;107;310;483;269;86;128;1334;214;75;262;783;570;133;80;1334;0;70;0;30;0;11;0;1;334;888;244;244;121;6;53;65;42;8;15;244;33;6;47;158;137;14;7;244;0;6;0;11;0;2;0;0;50;175
76;2000 juli;421;421;143;43;93;142;73;24;45;421;65;27;73;256;172;49;35;421;0;27;0;7;0;3;0;0;101;283;75;75;40;2;15;17;11;2;4;75;10;2;11;52;43;6;3;75;0;2;0;2;0;0;0;0;15;55
77;2000 augustus;428;428;144;41;102;141;74;22;45;428;73;25;86;243;175;40;28;428;0;36;0;9;0;2;0;0;102;280;79;79;40;2;17;20;12;3;5;79;11;2;14;51;44;5;2;79;0;3;0;3;0;0;0;0;16;57
78;2000 september;443;443;141;46;108;148;70;32;46;443;69;34;96;245;176;40;29;443;0;30;0;6;0;4;0;0;88;315;75;75;38;3;15;18;11;3;4;75;10;3;13;50;44;4;2;75;0;2;0;2;0;1;0;0;13;58
79;2000 3e kwartaal;1292;1292;428;130;303;431;217;78;136;1292;207;86;255;744;523;129;92;1292;0;93;0;22;0;9;0;0;291;878;229;229;118;7;47;55;34;8;13;229;31;7;38;153;131;15;7;229;0;7;0;7;0;1;0;0;44;170
80;2000 oktober;469;469;143;50;105;170;82;41;47;469;74;54;85;256;177;45;34;469;0;31;0;7;0;3;0;0;96;331;80;80;39;2;17;22;12;5;5;80;11;5;12;52;44;5;3;80;0;2;0;2;0;0;0;0;14;61
81;2000 november;451;451;151;37;100;163;72;33;58;451;79;28;73;270;184;43;43;451;0;32;0;11;0;4;0;0;92;312;79;79;41;2;16;20;11;4;5;79;12;3;10;54;47;4;3;79;0;2;0;4;0;1;0;0;14;59
82;2000 december;402;402;150;48;77;127;62;23;42;402;72;39;58;232;170;33;29;402;0;24;0;10;0;3;0;2;83;280;72;72;40;2;13;17;10;3;4;72;11;3;9;49;44;3;2;72;0;2;0;3;0;0;0;1;12;54
83;2000 4e kwartaal;1322;1322;444;135;282;460;216;97;147;1322;225;121;216;758;531;121;106;1322;0;87;0;28;0;10;0;2;271;923;231;231;120;6;46;59;33;12;14;231;34;11;31;155;135;12;8;231;0;6;0;9;0;1;0;1;40;174
84;2000;5219;5219;1745;452;1183;1838;963;338;537;5219;832;318;1038;3032;2190;491;351;5219;0;339;0;123;0;40;0;3;1212;3502;945;945;482;26;194;244;154;34;56;945;127;27;171;620;543;49;28;945;0;26;0;41;0;5;0;1;181;690
85;2001 januari;376;376;145;30;81;120;54;24;42;376;56;21;71;227;152;49;26;376;0;26;0;11;0;7;0;0;111;222;77;77;47;2;14;14;7;3;4;77;8;2;12;56;47;7;2;77;0;2;0;4;0;1;0;0;17;54
86;2001 februari;378;378;148;38;76;116;48;32;36;378;58;28;73;219;151;39;29;378;0;21;0;11;0;11;0;0;92;242;75;75;47;2;12;14;7;3;4;75;7;2;12;53;46;4;3;75;0;2;0;4;0;1;0;0;14;55
87;2001 maart;389;389;147;43;75;124;54;23;47;389;61;36;74;219;157;30;32;389;0;17;0;12;0;7;0;0;96;257;75;75;47;2;11;16;8;3;5;75;8;2;13;52;47;3;2;75;0;1;0;4;0;1;0;0;13;56
88;2001 1e kwartaal;1143;1143;440;111;232;360;156;78;126;1143;175;85;218;664;460;117;87;1143;0;63;0;34;0;26;0;0;298;721;228;228;140;6;38;44;22;9;13;228;23;6;38;161;140;14;7;228;0;5;0;11;0;3;0;0;44;164
89;2001 april;378;378;141;38;67;132;59;29;44;378;64;31;58;225;161;41;23;378;0;18;0;10;0;5;0;0;92;254;74;74;44;2;11;16;8;3;5;74;9;2;9;53;47;4;2;74;0;2;0;3;0;1;0;0;13;56
90;2001 mei;406;406;145;45;88;128;52;22;54;406;69;43;71;223;159;37;27;406;0;32;0;11;0;5;0;1;102;254;77;77;46;2;14;16;7;3;6;77;9;4;10;55;48;5;2;77;0;3;0;3;0;1;0;0;14;56
91;2001 juni;381;381;148;55;71;108;27;26;55;381;65;55;37;223;142;41;40;381;0;28;0;9;0;4;0;0;89;250;69;69;46;2;11;11;3;3;5;69;8;4;4;53;45;5;3;69;0;2;0;3;0;1;0;0;12;50
92;2001 2e kwartaal;1164;1164;434;138;226;366;138;76;152;1164;199;128;166;672;462;120;90;1164;0;78;0;30;0;14;0;1;283;758;220;220;135;7;35;42;18;8;16;220;26;10;22;162;141;14;7;220;0;7;0;9;0;2;0;0;39;162
93;2001 juli;342;342;153;30;57;103;29;19;55;342;63;23;39;216;139;40;37;342;0;28;0;7;0;2;0;0;102;202;68;68;47;2;8;11;3;2;6;68;8;2;4;54;45;5;4;68;0;2;0;2;0;0;0;0;15;49
94;2001 augustus;366;366;161;39;63;104;30;22;52;366;94;28;41;203;136;33;34;366;0;28;0;7;0;5;0;0;91;235;70;70;46;2;11;11;3;3;5;70;13;2;4;50;45;3;2;70;0;2;0;2;0;1;0;0;12;52
95;2001 september;327;327;158;37;44;87;20;26;41;327;78;39;26;183;138;30;15;327;0;14;0;8;0;4;0;1;65;234;65;65;46;2;7;10;2;3;5;65;10;3;3;48;45;2;1;65;0;1;0;3;0;0;0;0;9;51
96;2001 3e kwartaal;1035;1035;472;106;164;294;79;67;148;1035;235;90;107;604;414;104;86;1035;0;71;0;22;0;11;0;1;259;671;203;203;140;7;26;31;8;8;15;203;31;8;12;153;135;11;7;203;0;6;0;7;0;1;0;0;36;153
97;2001 oktober;330;330;142;44;45;98;15;33;50;330;65;43;38;184;130;29;25;330;0;19;0;9;0;8;0;0;87;206;62;62;45;2;6;9;1;3;5;62;8;3;4;47;44;1;2;62;0;2;0;3;0;1;0;0;11;45
98;2001 november;371;371;141;36;60;134;18;53;63;371;59;31;50;231;134;64;33;371;0;28;0;10;0;12;3;0;92;227;65;65;45;2;8;9;1;2;6;65;8;3;5;50;44;4;2;65;0;2;0;3;0;1;0;0;13;46
99;2001 december;321;321;141;28;46;105;17;44;44;321;58;19;37;206;133;49;24;321;0;26;0;9;0;5;0;0;76;205;61;61;45;2;6;7;1;2;4;61;8;2;3;48;44;2;2;61;0;2;0;3;0;1;0;0;10;45
100;2001 4e kwartaal;1022;1022;425;107;152;337;50;130;157;1022;182;93;125;621;397;142;82;1022;0;73;0;28;0;25;3;0;255;638;188;188;135;6;20;27;4;7;16;188;24;8;12;143;132;6;5;188;0;6;0;8;0;3;0;0;34;136
101;2001;4364;4364;1771;462;774;1357;423;351;583;4364;790;396;615;2561;1733;483;345;4364;0;285;0;115;0;76;3;2;1094;2788;839;839;550;26;120;143;51;32;60;839;104;32;84;618;547;45;26;839;0;24;0;36;0;9;0;1;154;616
