ID;Broedvogels;Trendklasse1990TotHeden_1;TrendklasseLaatste12Jaar_2
125;Ransuil;Sterke afname                           ;Matige afname                           
126;Rietgors;Matige toename                          ;Matige toename                          
127;Rietzanger;Matige toename                          ;Sterke toename                          
128;Ringmus;Matige afname                           ;Sterke afname                           
129;Roek;Matige afname                           ;Matige afname                           
130;Roerdomp;Matige toename                          ;Sterke toename                          
131;Rode Wouw;Sterke toename                          ;Sterke toename                          
132;Roodborst;Matige toename                          ;Matige toename                          
133;Roodborsttapuit;Sterke toename                          ;Matige toename                          
134;Roodhalsfuut;Matige toename                          ;Onzeker                                 
135;Scholekster;Matige afname                           ;Matige afname                           
136;Sijs;Stabiel                                 ;Stabiel                                 
137;Slechtvalk;Sterke toename                          ;Matige toename                          
138;Slobeend;Matige afname                           ;Stabiel                                 
139;Smient;Matige toename                          ;Onzeker                                 
140;Snor;Matige toename                          ;Sterke toename                          
141;Sperwer;Matige afname                           ;Matige afname                           
142;Spotvogel;Matige afname                           ;Matige toename                          
143;Spreeuw;Matige afname                           ;Matige toename                          
144;Sprinkhaanzanger;Matige toename                          ;Matige afname                           
145;Staartmees;Matige afname                           ;Matige afname                           
146;Steenuil;Matige afname                           ;Matige toename                          
147;Steltkluut;Sterke toename                          ;Sterke toename                          
148;Stormmeeuw;Matige afname                           ;Matige afname                           
149;Strandplevier;Matige afname                           ;Matige toename                          
150;Tafeleend;Matige afname                           ;Stabiel                                 
151;Tapuit;Matige afname                           ;Matige toename                          
152;Tjiftjaf;Matige toename                          ;Matige toename                          
153;Torenvalk;Matige afname                           ;Matige toename                          
154;Tuinfluiter;Matige afname                           ;Matige toename                          
155;Tureluur;Matige afname                           ;Matige afname                           
156;Turkse Tortel;Matige afname                           ;Matige afname                           
157;Veldleeuwerik;Matige afname                           ;Matige toename                          
158;Velduil;Matige afname                           ;Matige afname                           
159;Vink;Matige toename                          ;Stabiel                                 
160;Visdief;Matige afname                           ;Matige afname                           
161;Vuurgoudhaan;Matige toename                          ;Sterke toename                          
162;Waterhoen;Matige afname                           ;Matige toename                          
163;Waterral;Matige toename                          ;Matige toename                          
164;Watersnip;Matige afname                           ;Stabiel                                 
165;Wielewaal;Matige toename                          ;Stabiel                                 
166;Wespendief;Matige afname                           ;Matige toename                          
167;Wilde Eend;Matige afname                           ;Matige afname                           
168;Winterkoning;Matige toename                          ;Matige toename                          
169;Wintertaling;Matige afname                           ;Stabiel                                 
170;Witte Kwikstaart;Matige afname                           ;Stabiel                                 
171;Witwangstern;Sterke toename                          ;Sterke toename                          
172;Woudaap;Stabiel                                 ;Matige toename                          
173;Wulp;Matige afname                           ;Matige afname                           
174;Zanglijster;Matige toename                          ;Matige toename                          
175;Zeearend;Sterke toename                          ;Sterke toename                          
176;Zilvermeeuw;Matige afname                           ;Matige afname                           
177;Zomertaling;Matige afname                           ;Stabiel                                 
178;Zomertortel;Sterke afname                           ;Sterke afname                           
179;Zwarte Kraai;Matige afname                           ;Stabiel                                 
180;Zwarte Mees;Matige afname                           ;Matige afname                           
181;Zwarte Roodstaart;Stabiel                                 ;Matige toename                          
182;Zwarte Specht;Matige afname                           ;Matige toename                          
183;Zwarte Stern;Matige toename                          ;Matige afname                           
184;Zwartkop;Matige toename                          ;Matige toename                          
185;Zwartkopmeeuw;Sterke toename                          ;Sterke toename                          
