ID;BedrijfstakBranchesSBI2008;Perioden;IndexcijfersOmzet_1;Waarde_2;CumulatieveWaarde_3
26;46 Groothandel en handelsbemiddeling;2010 2e kwartaal;124.8;9.4;6.7
27;46 Groothandel en handelsbemiddeling;2010 3e kwartaal;122.8;9.6;7.7
28;46 Groothandel en handelsbemiddeling;2010 4e kwartaal;130.8;11.8;8.8
29;46 Groothandel en handelsbemiddeling;2010;123.6;8.8;8.8
30;46 Groothandel en handelsbemiddeling;2011 1e kwartaal;131.3;13.0;13.0
31;46 Groothandel en handelsbemiddeling;2011 2e kwartaal;134.1;7.5;10.2
32;46 Groothandel en handelsbemiddeling;2011 3e kwartaal;133.1;8.4;9.5
33;46 Groothandel en handelsbemiddeling;2011 4e kwartaal;131.5;0.6;7.2
34;46 Groothandel en handelsbemiddeling;2011;132.5;7.2;7.2
35;46 Groothandel en handelsbemiddeling;2012 1e kwartaal;131.7;0.3;0.3
36;46 Groothandel en handelsbemiddeling;2012 2e kwartaal;135.7;1.1;0.7
37;46 Groothandel en handelsbemiddeling;2012 3e kwartaal;136.2;2.4;1.3
38;46 Groothandel en handelsbemiddeling;2012 4e kwartaal;132.9;1.1;1.2
39;46 Groothandel en handelsbemiddeling;2012;134.1;1.2;1.2
40;462-469 Groothandel;2005 1e kwartaal;96.3;;
41;462-469 Groothandel;2005 2e kwartaal;99.3;;
42;462-469 Groothandel;2005 3e kwartaal;98.5;;
43;462-469 Groothandel;2005 4e kwartaal;105.9;;
44;462-469 Groothandel;2005;100.0;;
45;462-469 Groothandel;2006 1e kwartaal;102.2;6.2;6.2
46;462-469 Groothandel;2006 2e kwartaal;105.7;6.4;6.3
47;462-469 Groothandel;2006 3e kwartaal;103.7;5.3;6.0
48;462-469 Groothandel;2006 4e kwartaal;110.3;4.2;5.5
49;462-469 Groothandel;2006;105.5;5.5;5.5
50;462-469 Groothandel;2007 1e kwartaal;110.7;8.3;8.3
51;462-469 Groothandel;2007 2e kwartaal;115.5;9.3;8.8
52;462-469 Groothandel;2007 3e kwartaal;114.2;10.1;9.2
53;462-469 Groothandel;2007 4e kwartaal;124.3;12.7;10.1
54;462-469 Groothandel;2007;116.2;10.1;10.1
55;462-469 Groothandel;2008 1e kwartaal;122.8;10.9;10.9
56;462-469 Groothandel;2008 2e kwartaal;129.2;11.9;11.4
57;462-469 Groothandel;2008 3e kwartaal;127.5;11.6;11.5
58;462-469 Groothandel;2008 4e kwartaal;122.3;-1.7;8.0
59;462-469 Groothandel;2008;125.5;8.0;8.0
60;462-469 Groothandel;2009 1e kwartaal;111.3;-9.3;-9.3
61;462-469 Groothandel;2009 2e kwartaal;113.8;-12.0;-10.7
62;462-469 Groothandel;2009 3e kwartaal;111.9;-12.3;-11.2
63;462-469 Groothandel;2009 4e kwartaal;116.7;-4.5;-9.6
64;462-469 Groothandel;2009;113.4;-9.6;-9.6
65;462-469 Groothandel;2010 1e kwartaal;116.1;4.3;4.3
66;462-469 Groothandel;2010 2e kwartaal;124.7;9.6;7.0
67;462-469 Groothandel;2010 3e kwartaal;122.8;9.7;7.9
68;462-469 Groothandel;2010 4e kwartaal;130.6;11.9;8.9
69;462-469 Groothandel;2010;123.5;8.9;8.9
70;462-469 Groothandel;2011 1e kwartaal;131.1;12.9;12.9
71;462-469 Groothandel;2011 2e kwartaal;133.9;7.4;10.1
72;462-469 Groothandel;2011 3e kwartaal;133.1;8.4;9.5
73;462-469 Groothandel;2011 4e kwartaal;131.3;0.5;7.1
74;462-469 Groothandel;2011;132.3;7.1;7.1
75;462-469 Groothandel;2012 1e kwartaal;131.5;0.3;0.3
76;462-469 Groothandel;2012 2e kwartaal;135.6;1.2;0.8
77;462-469 Groothandel;2012 3e kwartaal;136.3;2.4;1.3
78;462-469 Groothandel;2012 4e kwartaal;132.7;1.1;1.3
79;462-469 Groothandel;2012;134.0;1.3;1.3
80;462 Groothandel in landbouwproducten;2005 1e kwartaal;101.3;;
81;462 Groothandel in landbouwproducten;2005 2e kwartaal;101.2;;
82;462 Groothandel in landbouwproducten;2005 3e kwartaal;92.6;;
83;462 Groothandel in landbouwproducten;2005 4e kwartaal;104.9;;
84;462 Groothandel in landbouwproducten;2005;100.0;;
85;462 Groothandel in landbouwproducten;2006 1e kwartaal;110.5;9.0;9.0
86;462 Groothandel in landbouwproducten;2006 2e kwartaal;106.7;5.5;7.3
87;462 Groothandel in landbouwproducten;2006 3e kwartaal;94.8;2.4;5.7
88;462 Groothandel in landbouwproducten;2006 4e kwartaal;102.8;-2.0;3.7
89;462 Groothandel in landbouwproducten;2006;103.7;3.7;3.7
90;462 Groothandel in landbouwproducten;2007 1e kwartaal;132.9;20.3;20.3
91;462 Groothandel in landbouwproducten;2007 2e kwartaal;133.7;25.3;22.8
92;462 Groothandel in landbouwproducten;2007 3e kwartaal;133.8;41.1;28.3
93;462 Groothandel in landbouwproducten;2007 4e kwartaal;168.0;63.4;37.0
94;462 Groothandel in landbouwproducten;2007;142.1;37.0;37.0
95;462 Groothandel in landbouwproducten;2008 1e kwartaal;175.3;31.9;31.9
96;462 Groothandel in landbouwproducten;2008 2e kwartaal;176.6;32.1;32.0
97;462 Groothandel in landbouwproducten;2008 3e kwartaal;189.8;41.8;35.3
98;462 Groothandel in landbouwproducten;2008 4e kwartaal;147.8;-12.0;21.3
99;462 Groothandel in landbouwproducten;2008;172.4;21.3;21.3
100;462 Groothandel in landbouwproducten;2009 1e kwartaal;164.6;-6.1;-6.1
101;462 Groothandel in landbouwproducten;2009 2e kwartaal;162.8;-7.9;-7.0
102;462 Groothandel in landbouwproducten;2009 3e kwartaal;143.9;-24.2;-13.0
103;462 Groothandel in landbouwproducten;2009 4e kwartaal;148.0;0.2;-10.2
104;462 Groothandel in landbouwproducten;2009;154.8;-10.2;-10.2
105;462 Groothandel in landbouwproducten;2010 1e kwartaal;160.5;-2.5;-2.5
106;462 Groothandel in landbouwproducten;2010 2e kwartaal;174.5;7.2;2.4
107;462 Groothandel in landbouwproducten;2010 3e kwartaal;161.8;12.4;5.4
108;462 Groothandel in landbouwproducten;2010 4e kwartaal;175.3;18.4;8.5
109;462 Groothandel in landbouwproducten;2010;168.0;8.5;8.5
110;462 Groothandel in landbouwproducten;2011 1e kwartaal;195.0;21.4;21.4
111;462 Groothandel in landbouwproducten;2011 2e kwartaal;199.2;14.1;17.6
112;462 Groothandel in landbouwproducten;2011 3e kwartaal;176.1;8.9;14.8
113;462 Groothandel in landbouwproducten;2011 4e kwartaal;180.0;2.7;11.6
114;462 Groothandel in landbouwproducten;2011;187.6;11.6;11.6
115;462 Groothandel in landbouwproducten;2012 1e kwartaal;203.6;4.4;4.4
116;462 Groothandel in landbouwproducten;2012 2e kwartaal;229.4;15.2;9.9
117;462 Groothandel in landbouwproducten;2012 3e kwartaal;209.9;19.2;12.7
118;462 Groothandel in landbouwproducten;2012 4e kwartaal;194.5;8.0;11.6
119;462 Groothandel in landbouwproducten;2012;209.3;11.6;11.6
120;4621 Groothandel in akkerbouwproducten;2005 1e kwartaal;;;
121;4621 Groothandel in akkerbouwproducten;2005 2e kwartaal;;;
122;4621 Groothandel in akkerbouwproducten;2005 3e kwartaal;;;
123;4621 Groothandel in akkerbouwproducten;2005 4e kwartaal;;;
124;4621 Groothandel in akkerbouwproducten;2005;;;
125;4621 Groothandel in akkerbouwproducten;2006 1e kwartaal;;;
126;4621 Groothandel in akkerbouwproducten;2006 2e kwartaal;;;
127;4621 Groothandel in akkerbouwproducten;2006 3e kwartaal;;;
128;4621 Groothandel in akkerbouwproducten;2006 4e kwartaal;;;
129;4621 Groothandel in akkerbouwproducten;2006;;;
130;4621 Groothandel in akkerbouwproducten;2007 1e kwartaal;166.1;;
131;4621 Groothandel in akkerbouwproducten;2007 2e kwartaal;174.8;;
132;4621 Groothandel in akkerbouwproducten;2007 3e kwartaal;187.3;;
133;4621 Groothandel in akkerbouwproducten;2007 4e kwartaal;255.3;;
134;4621 Groothandel in akkerbouwproducten;2007;195.9;;
135;4621 Groothandel in akkerbouwproducten;2008 1e kwartaal;250.0;50.5;50.5
136;4621 Groothandel in akkerbouwproducten;2008 2e kwartaal;270.9;55.0;52.8
137;4621 Groothandel in akkerbouwproducten;2008 3e kwartaal;320.7;71.2;59.3
138;4621 Groothandel in akkerbouwproducten;2008 4e kwartaal;196.8;-22.9;32.5
139;4621 Groothandel in akkerbouwproducten;2008;259.6;32.5;32.5
140;4621 Groothandel in akkerbouwproducten;2009 1e kwartaal;226.0;-9.6;-9.6
141;4621 Groothandel in akkerbouwproducten;2009 2e kwartaal;223.9;-17.3;-13.6
142;4621 Groothandel in akkerbouwproducten;2009 3e kwartaal;209.1;-34.8;-21.7
143;4621 Groothandel in akkerbouwproducten;2009 4e kwartaal;206.7;5.0;-16.6
144;4621 Groothandel in akkerbouwproducten;2009;216.4;-16.6;-16.6
145;4621 Groothandel in akkerbouwproducten;2010 1e kwartaal;221.1;-2.2;-2.2
146;4621 Groothandel in akkerbouwproducten;2010 2e kwartaal;257.4;14.9;6.3
147;4621 Groothandel in akkerbouwproducten;2010 3e kwartaal;255.9;22.4;11.4
148;4621 Groothandel in akkerbouwproducten;2010 4e kwartaal;279.8;35.4;17.2
149;4621 Groothandel in akkerbouwproducten;2010;253.6;17.2;17.2
150;4621 Groothandel in akkerbouwproducten;2011 1e kwartaal;306.5;38.7;38.7
151;4621 Groothandel in akkerbouwproducten;2011 2e kwartaal;317.2;23.3;30.4
152;4621 Groothandel in akkerbouwproducten;2011 3e kwartaal;285.4;11.5;23.8
153;4621 Groothandel in akkerbouwproducten;2011 4e kwartaal;280.7;0.3;17.3
154;4621 Groothandel in akkerbouwproducten;2011;297.5;17.3;17.3
155;4621 Groothandel in akkerbouwproducten;2012 1e kwartaal;320.9;4.7;4.7
156;4621 Groothandel in akkerbouwproducten;2012 2e kwartaal;389.6;22.8;13.9
157;4621 Groothandel in akkerbouwproducten;2012 3e kwartaal;369.1;29.3;18.7
158;4621 Groothandel in akkerbouwproducten;2012 4e kwartaal;316.1;12.6;17.3
159;4621 Groothandel in akkerbouwproducten;2012;348.9;17.3;17.3
160;4622 Groothandel in bloemen en planten;2005 1e kwartaal;;;
161;4622 Groothandel in bloemen en planten;2005 2e kwartaal;;;
162;4622 Groothandel in bloemen en planten;2005 3e kwartaal;;;
163;4622 Groothandel in bloemen en planten;2005 4e kwartaal;;;
164;4622 Groothandel in bloemen en planten;2005;;;
165;4622 Groothandel in bloemen en planten;2006 1e kwartaal;;;
166;4622 Groothandel in bloemen en planten;2006 2e kwartaal;;;
167;4622 Groothandel in bloemen en planten;2006 3e kwartaal;;;
168;4622 Groothandel in bloemen en planten;2006 4e kwartaal;;;
169;4622 Groothandel in bloemen en planten;2006;;;
170;4622 Groothandel in bloemen en planten;2007 1e kwartaal;121.1;;
171;4622 Groothandel in bloemen en planten;2007 2e kwartaal;113.4;;
172;4622 Groothandel in bloemen en planten;2007 3e kwartaal;103.3;;
173;4622 Groothandel in bloemen en planten;2007 4e kwartaal;117.0;;
174;4622 Groothandel in bloemen en planten;2007;113.7;;
175;4622 Groothandel in bloemen en planten;2008 1e kwartaal;143.0;18.0;18.0
176;4622 Groothandel in bloemen en planten;2008 2e kwartaal;125.2;10.4;14.3
177;4622 Groothandel in bloemen en planten;2008 3e kwartaal;105.3;1.9;10.5
178;4622 Groothandel in bloemen en planten;2008 4e kwartaal;119.8;2.4;8.5
179;4622 Groothandel in bloemen en planten;2008;123.3;8.5;8.5
180;4622 Groothandel in bloemen en planten;2009 1e kwartaal;135.3;-5.4;-5.4
181;4622 Groothandel in bloemen en planten;2009 2e kwartaal;131.6;5.1;-0.5
182;4622 Groothandel in bloemen en planten;2009 3e kwartaal;101.0;-4.1;-1.5
183;4622 Groothandel in bloemen en planten;2009 4e kwartaal;113.6;-5.2;-2.4
184;4622 Groothandel in bloemen en planten;2009;120.4;-2.4;-2.4
185;4622 Groothandel in bloemen en planten;2010 1e kwartaal;132.2;-2.2;-2.2
186;4622 Groothandel in bloemen en planten;2010 2e kwartaal;128.7;-2.2;-2.2
187;4622 Groothandel in bloemen en planten;2010 3e kwartaal;101.6;0.6;-1.5
188;4622 Groothandel in bloemen en planten;2010 4e kwartaal;105.7;-6.9;-2.7
189;4622 Groothandel in bloemen en planten;2010;117.1;-2.7;-2.7
190;4622 Groothandel in bloemen en planten;2011 1e kwartaal;129.1;-2.4;-2.4
191;4622 Groothandel in bloemen en planten;2011 2e kwartaal;129.1;0.3;-1.0
192;4622 Groothandel in bloemen en planten;2011 3e kwartaal;108.4;6.7;1.1
193;4622 Groothandel in bloemen en planten;2011 4e kwartaal;113.0;6.9;2.4
194;4622 Groothandel in bloemen en planten;2011;119.9;2.4;2.4
195;4622 Groothandel in bloemen en planten;2012 1e kwartaal;134.4;4.1;4.1
196;4622 Groothandel in bloemen en planten;2012 2e kwartaal;130.2;0.9;2.5
197;4622 Groothandel in bloemen en planten;2012 3e kwartaal;107.2;-1.2;1.4
198;4622 Groothandel in bloemen en planten;2012 4e kwartaal;111.2;-1.6;0.7
199;4622 Groothandel in bloemen en planten;2012;120.7;0.7;0.7
200;463 Groothandel in voedingsmiddelen;2005 1e kwartaal;92.9;;
201;463 Groothandel in voedingsmiddelen;2005 2e kwartaal;102.8;;
202;463 Groothandel in voedingsmiddelen;2005 3e kwartaal;98.2;;
203;463 Groothandel in voedingsmiddelen;2005 4e kwartaal;106.2;;
204;463 Groothandel in voedingsmiddelen;2005;100.0;;
205;463 Groothandel in voedingsmiddelen;2006 1e kwartaal;98.6;6.2;6.2
206;463 Groothandel in voedingsmiddelen;2006 2e kwartaal;109.5;6.5;6.4
207;463 Groothandel in voedingsmiddelen;2006 3e kwartaal;100.3;2.2;5.0
208;463 Groothandel in voedingsmiddelen;2006 4e kwartaal;107.8;1.5;4.1
209;463 Groothandel in voedingsmiddelen;2006;104.1;4.1;4.1
210;463 Groothandel in voedingsmiddelen;2007 1e kwartaal;101.5;2.9;2.9
211;463 Groothandel in voedingsmiddelen;2007 2e kwartaal;114.7;4.7;3.8
212;463 Groothandel in voedingsmiddelen;2007 3e kwartaal;110.0;9.6;5.7
213;463 Groothandel in voedingsmiddelen;2007 4e kwartaal;117.6;9.1;6.6
214;463 Groothandel in voedingsmiddelen;2007;111.0;6.6;6.6
215;463 Groothandel in voedingsmiddelen;2008 1e kwartaal;110.0;8.4;8.4
216;463 Groothandel in voedingsmiddelen;2008 2e kwartaal;121.8;6.2;7.3
217;463 Groothandel in voedingsmiddelen;2008 3e kwartaal;115.0;4.5;6.3
218;463 Groothandel in voedingsmiddelen;2008 4e kwartaal;121.5;3.3;5.5
219;463 Groothandel in voedingsmiddelen;2008;117.1;5.5;5.5
220;463 Groothandel in voedingsmiddelen;2009 1e kwartaal;109.7;-0.3;-0.3
221;463 Groothandel in voedingsmiddelen;2009 2e kwartaal;119.9;-1.6;-1.0
222;463 Groothandel in voedingsmiddelen;2009 3e kwartaal;113.8;-1.1;-1.0
223;463 Groothandel in voedingsmiddelen;2009 4e kwartaal;122.1;0.5;-0.6
224;463 Groothandel in voedingsmiddelen;2009;116.4;-0.6;-0.6
225;463 Groothandel in voedingsmiddelen;2010 1e kwartaal;113.6;3.5;3.5
226;463 Groothandel in voedingsmiddelen;2010 2e kwartaal;128.4;7.0;5.3
227;463 Groothandel in voedingsmiddelen;2010 3e kwartaal;120.2;5.7;5.5
228;463 Groothandel in voedingsmiddelen;2010 4e kwartaal;126.2;3.4;4.9
229;463 Groothandel in voedingsmiddelen;2010;122.1;4.9;4.9
230;463 Groothandel in voedingsmiddelen;2011 1e kwartaal;118.7;4.6;4.6
231;463 Groothandel in voedingsmiddelen;2011 2e kwartaal;130.5;1.7;3.0
232;463 Groothandel in voedingsmiddelen;2011 3e kwartaal;122.0;1.5;2.5
233;463 Groothandel in voedingsmiddelen;2011 4e kwartaal;123.8;-1.9;1.4
234;463 Groothandel in voedingsmiddelen;2011;123.8;1.4;1.4
235;463 Groothandel in voedingsmiddelen;2012 1e kwartaal;124.3;4.7;4.7
236;463 Groothandel in voedingsmiddelen;2012 2e kwartaal;134.6;3.1;3.9
237;463 Groothandel in voedingsmiddelen;2012 3e kwartaal;128.2;5.1;4.3
238;463 Groothandel in voedingsmiddelen;2012 4e kwartaal;131.8;6.5;4.8
239;463 Groothandel in voedingsmiddelen;2012;129.7;4.8;4.8
240;4631 Groothandel in groenten, fruit e.d.;2005 1e kwartaal;;;
241;4631 Groothandel in groenten, fruit e.d.;2005 2e kwartaal;;;
242;4631 Groothandel in groenten, fruit e.d.;2005 3e kwartaal;;;
243;4631 Groothandel in groenten, fruit e.d.;2005 4e kwartaal;;;
244;4631 Groothandel in groenten, fruit e.d.;2005;;;
245;4631 Groothandel in groenten, fruit e.d.;2006 1e kwartaal;;;
246;4631 Groothandel in groenten, fruit e.d.;2006 2e kwartaal;;;
247;4631 Groothandel in groenten, fruit e.d.;2006 3e kwartaal;;;
248;4631 Groothandel in groenten, fruit e.d.;2006 4e kwartaal;;;
249;4631 Groothandel in groenten, fruit e.d.;2006;;;
250;4631 Groothandel in groenten, fruit e.d.;2007 1e kwartaal;110.3;;
251;4631 Groothandel in groenten, fruit e.d.;2007 2e kwartaal;135.8;;
252;4631 Groothandel in groenten, fruit e.d.;2007 3e kwartaal;114.7;;
253;4631 Groothandel in groenten, fruit e.d.;2007 4e kwartaal;110.5;;
254;4631 Groothandel in groenten, fruit e.d.;2007;117.8;;
255;4631 Groothandel in groenten, fruit e.d.;2008 1e kwartaal;117.6;6.6;6.6
256;4631 Groothandel in groenten, fruit e.d.;2008 2e kwartaal;145.1;6.8;6.7
257;4631 Groothandel in groenten, fruit e.d.;2008 3e kwartaal;121.3;5.7;6.4
258;4631 Groothandel in groenten, fruit e.d.;2008 4e kwartaal;112.4;1.7;5.3
259;4631 Groothandel in groenten, fruit e.d.;2008;124.1;5.3;5.3
260;4631 Groothandel in groenten, fruit e.d.;2009 1e kwartaal;117.3;-0.3;-0.3
261;4631 Groothandel in groenten, fruit e.d.;2009 2e kwartaal;140.9;-2.9;-1.7
262;4631 Groothandel in groenten, fruit e.d.;2009 3e kwartaal;113.2;-6.7;-3.3
263;4631 Groothandel in groenten, fruit e.d.;2009 4e kwartaal;105.7;-5.9;-3.9
264;4631 Groothandel in groenten, fruit e.d.;2009;119.3;-3.9;-3.9
265;4631 Groothandel in groenten, fruit e.d.;2010 1e kwartaal;115.2;-1.8;-1.8
266;4631 Groothandel in groenten, fruit e.d.;2010 2e kwartaal;153.4;8.9;4.1
267;4631 Groothandel in groenten, fruit e.d.;2010 3e kwartaal;129.4;14.4;7.2
268;4631 Groothandel in groenten, fruit e.d.;2010 4e kwartaal;122.3;15.7;9.1
269;4631 Groothandel in groenten, fruit e.d.;2010;130.1;9.1;9.1
270;4631 Groothandel in groenten, fruit e.d.;2011 1e kwartaal;114.0;-1.0;-1.0
271;4631 Groothandel in groenten, fruit e.d.;2011 2e kwartaal;135.2;-11.9;-7.2
272;4631 Groothandel in groenten, fruit e.d.;2011 3e kwartaal;116.9;-9.7;-8.0
273;4631 Groothandel in groenten, fruit e.d.;2011 4e kwartaal;104.1;-14.9;-9.6
274;4631 Groothandel in groenten, fruit e.d.;2011;117.5;-9.6;-9.6
275;4631 Groothandel in groenten, fruit e.d.;2012 1e kwartaal;109.7;-3.8;-3.8
276;4631 Groothandel in groenten, fruit e.d.;2012 2e kwartaal;139.8;3.4;0.1
277;4631 Groothandel in groenten, fruit e.d.;2012 3e kwartaal;134.0;14.7;4.8
278;4631 Groothandel in groenten, fruit e.d.;2012 4e kwartaal;122.2;17.4;7.6
279;4631 Groothandel in groenten, fruit e.d.;2012;126.5;7.6;7.6
280;4634 Groothandel in dranken, geen zuivel;2005 1e kwartaal;;;
281;4634 Groothandel in dranken, geen zuivel;2005 2e kwartaal;;;
282;4634 Groothandel in dranken, geen zuivel;2005 3e kwartaal;;;
283;4634 Groothandel in dranken, geen zuivel;2005 4e kwartaal;;;
284;4634 Groothandel in dranken, geen zuivel;2005;;;
285;4634 Groothandel in dranken, geen zuivel;2006 1e kwartaal;;;
286;4634 Groothandel in dranken, geen zuivel;2006 2e kwartaal;;;
287;4634 Groothandel in dranken, geen zuivel;2006 3e kwartaal;;;
288;4634 Groothandel in dranken, geen zuivel;2006 4e kwartaal;;;
289;4634 Groothandel in dranken, geen zuivel;2006;;;
290;4634 Groothandel in dranken, geen zuivel;2007 1e kwartaal;91.7;;
291;4634 Groothandel in dranken, geen zuivel;2007 2e kwartaal;112.1;;
292;4634 Groothandel in dranken, geen zuivel;2007 3e kwartaal;112.2;;
293;4634 Groothandel in dranken, geen zuivel;2007 4e kwartaal;135.7;;
294;4634 Groothandel in dranken, geen zuivel;2007;112.9;;
295;4634 Groothandel in dranken, geen zuivel;2008 1e kwartaal;92.6;1.0;1.0
296;4634 Groothandel in dranken, geen zuivel;2008 2e kwartaal;106.9;-4.6;-2.1
297;4634 Groothandel in dranken, geen zuivel;2008 3e kwartaal;120.3;7.2;1.2
298;4634 Groothandel in dranken, geen zuivel;2008 4e kwartaal;127.9;-5.8;-0.9
299;4634 Groothandel in dranken, geen zuivel;2008;111.9;-0.9;-0.9
300;4634 Groothandel in dranken, geen zuivel;2009 1e kwartaal;81.9;-11.5;-11.5
301;4634 Groothandel in dranken, geen zuivel;2009 2e kwartaal;106.2;-0.7;-5.7
302;4634 Groothandel in dranken, geen zuivel;2009 3e kwartaal;103.9;-13.6;-8.7
303;4634 Groothandel in dranken, geen zuivel;2009 4e kwartaal;121.6;-4.9;-7.6
304;4634 Groothandel in dranken, geen zuivel;2009;103.4;-7.6;-7.6
305;4634 Groothandel in dranken, geen zuivel;2010 1e kwartaal;84.7;3.4;3.4
306;4634 Groothandel in dranken, geen zuivel;2010 2e kwartaal;109.5;3.1;3.2
307;4634 Groothandel in dranken, geen zuivel;2010 3e kwartaal;101.0;-2.8;1.1
308;4634 Groothandel in dranken, geen zuivel;2010 4e kwartaal;120.5;-0.9;0.5
309;4634 Groothandel in dranken, geen zuivel;2010;103.9;0.5;0.5
310;4634 Groothandel in dranken, geen zuivel;2011 1e kwartaal;87.9;3.8;3.8
311;4634 Groothandel in dranken, geen zuivel;2011 2e kwartaal;108.9;-0.5;1.3
312;4634 Groothandel in dranken, geen zuivel;2011 3e kwartaal;112.4;11.2;4.7
313;4634 Groothandel in dranken, geen zuivel;2011 4e kwartaal;125.4;4.1;4.5
314;4634 Groothandel in dranken, geen zuivel;2011;108.6;4.5;4.5
315;4634 Groothandel in dranken, geen zuivel;2012 1e kwartaal;92.7;5.4;5.4
316;4634 Groothandel in dranken, geen zuivel;2012 2e kwartaal;118.6;8.9;7.3
317;4634 Groothandel in dranken, geen zuivel;2012 3e kwartaal;115.2;2.5;5.6
318;4634 Groothandel in dranken, geen zuivel;2012 4e kwartaal;128.7;2.6;4.7
319;4634 Groothandel in dranken, geen zuivel;2012;113.8;4.7;4.7
320;4639 Groothandel in voeding algemeen;2005 1e kwartaal;;;
321;4639 Groothandel in voeding algemeen;2005 2e kwartaal;;;
322;4639 Groothandel in voeding algemeen;2005 3e kwartaal;;;
323;4639 Groothandel in voeding algemeen;2005 4e kwartaal;;;
324;4639 Groothandel in voeding algemeen;2005;;;
325;4639 Groothandel in voeding algemeen;2006 1e kwartaal;;;
326;4639 Groothandel in voeding algemeen;2006 2e kwartaal;;;
327;4639 Groothandel in voeding algemeen;2006 3e kwartaal;;;
328;4639 Groothandel in voeding algemeen;2006 4e kwartaal;;;
329;4639 Groothandel in voeding algemeen;2006;;;
330;4639 Groothandel in voeding algemeen;2007 1e kwartaal;114.6;;
331;4639 Groothandel in voeding algemeen;2007 2e kwartaal;115.1;;
332;4639 Groothandel in voeding algemeen;2007 3e kwartaal;109.1;;
333;4639 Groothandel in voeding algemeen;2007 4e kwartaal;124.0;;
334;4639 Groothandel in voeding algemeen;2007;115.7;;
335;4639 Groothandel in voeding algemeen;2008 1e kwartaal;122.5;7.0;7.0
336;4639 Groothandel in voeding algemeen;2008 2e kwartaal;118.6;3.1;5.0
337;4639 Groothandel in voeding algemeen;2008 3e kwartaal;111.5;2.2;4.1
338;4639 Groothandel in voeding algemeen;2008 4e kwartaal;121.6;-2.0;2.5
339;4639 Groothandel in voeding algemeen;2008;118.6;2.5;2.5
340;4639 Groothandel in voeding algemeen;2009 1e kwartaal;109.0;-11.1;-11.1
341;4639 Groothandel in voeding algemeen;2009 2e kwartaal;102.6;-13.5;-12.2
342;4639 Groothandel in voeding algemeen;2009 3e kwartaal;101.7;-8.8;-11.2
343;4639 Groothandel in voeding algemeen;2009 4e kwartaal;123.3;1.5;-7.9
344;4639 Groothandel in voeding algemeen;2009;109.2;-7.9;-7.9
345;4639 Groothandel in voeding algemeen;2010 1e kwartaal;112.0;2.7;2.7
346;4639 Groothandel in voeding algemeen;2010 2e kwartaal;112.0;9.1;5.8
347;4639 Groothandel in voeding algemeen;2010 3e kwartaal;107.1;5.4;5.7
348;4639 Groothandel in voeding algemeen;2010 4e kwartaal;120.5;-2.3;3.4
349;4639 Groothandel in voeding algemeen;2010;112.9;3.4;3.4
350;4639 Groothandel in voeding algemeen;2011 1e kwartaal;117.9;5.3;5.3
351;4639 Groothandel in voeding algemeen;2011 2e kwartaal;109.6;-2.2;1.6
352;4639 Groothandel in voeding algemeen;2011 3e kwartaal;113.6;6.0;3.0
353;4639 Groothandel in voeding algemeen;2011 4e kwartaal;118.7;-1.5;1.8
354;4639 Groothandel in voeding algemeen;2011;114.9;1.8;1.8
