ID;BedrijfstakkenBranchesSBI2008;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaalOpbouwArbeidskosten_6;Lonen_7;WettelijkeSocialePremies_8;ContractueleSocialePremies_9;ToegerekendeSocialePremies_10;OverigeKosten_11
90;Q Gezondheids- en welzijnszorg;44.6;50.3;32.57;26.4;1545;100;75.7;9.5;7.4;4.3;3.1
91;86 Gezondheidszorg;22.1;58.3;36.6;30.2;1594;100;76.0;9.0;7.9;3.8;3.2
92;87 Verpleging en zorg met overnachting;13.0;44.9;29.7;23.74;1510;100;75.5;10.1;6.5;4.8;3.1
93;88 Welzijnszorg zonder overnachting;9.5;43.6;28.97;23.15;1506;100;75.1;9.9;7.2;4.6;3.1
94;R Cultuur, sport en recreatie;3.7;49.5;29.34;24.72;1687;100;78.2;10.0;6.4;2.8;2.6
95;90 Kunst;0.8;53.8;30.97;26.1;1738;100;78.1;9.8;7.3;2.5;2.3
96;91 Bibliotheken, musea en natuurbehoud;0.8;52.4;32.58;27.4;1609;100;75.5;10.7;8.3;2.9;2.5
97;92 Loterijen en kansspelen;0.4;61.0;36.18;30.23;1687;100;76.1;11.0;6.7;3.3;2.9
98;93 Sport en recreatie;1.6;44.3;26.05;21.99;1699;100;80.2;9.6;4.8;2.7;2.7
99;S Overige dienstverlening;4.9;49.6;30.28;25.3;1637;100;76.2;10.0;8.1;3.1;2.6
100;94 Ideële, belangen-, hobbyverenigingen;3.4;60.7;37.19;30.94;1632;100;75.1;9.8;9.2;3.2;2.7
101;95 Reparatie van consumentenartikelen;0.2;40.7;23.2;19.82;1756;100;79.5;10.4;5.1;2.3;2.7
102;96 Overige persoonlijke dienstverlening;1.3;34.4;21.06;17.66;1632;100;78.6;10.4;5.5;3.0;2.5
