ID;Versie;Voertuigcategorie;Wegtype;Bouwjaar;CO_1;VOS_2;NOx_3;PM10_4
132;Nieuwe emissiefactoren;Bestelauto-benzine;Buitenwegen;1998;1.64;0.06;0.19;0.005
133;Nieuwe emissiefactoren;Bestelauto-benzine;Buitenwegen;1999;1.76;0.06;0.19;0.005
134;Nieuwe emissiefactoren;Bestelauto-benzine;Buitenwegen;2000;1.35;0.04;0.1;0.003
135;Nieuwe emissiefactoren;Bestelauto-benzine;Buitenwegen;2001;0.83;0.02;0.02;0.001
136;Nieuwe emissiefactoren;Bestelauto-benzine;Buitenwegen;2002;0.8;0.01;0.02;0.001
137;Nieuwe emissiefactoren;Bestelauto-benzine;Buitenwegen;2003;0.49;0.01;0.03;0.001
138;Nieuwe emissiefactoren;Bestelauto-benzine;Buitenwegen;2004;0.35;0.01;0.03;0.001
139;Nieuwe emissiefactoren;Bestelauto-benzine;Buitenwegen;2005;0.21;0.01;0.03;0.001
140;Nieuwe emissiefactoren;Bestelauto-benzine;Autosnelwegen;Bouwjaar groep 1996 en ouder;6.74;0.7;2.93;0.022
141;Nieuwe emissiefactoren;Bestelauto-benzine;Autosnelwegen;1997;1.87;0.06;0.08;0.005
142;Nieuwe emissiefactoren;Bestelauto-benzine;Autosnelwegen;1998;1.81;0.05;0.07;0.005
143;Nieuwe emissiefactoren;Bestelauto-benzine;Autosnelwegen;1999;1.8;0.05;0.07;0.005
144;Nieuwe emissiefactoren;Bestelauto-benzine;Autosnelwegen;2000;1.17;0.03;0.05;0.006
145;Nieuwe emissiefactoren;Bestelauto-benzine;Autosnelwegen;2001;0.55;0.01;0.04;0.008
146;Nieuwe emissiefactoren;Bestelauto-benzine;Autosnelwegen;2002;0.53;0.01;0.04;0.008
147;Nieuwe emissiefactoren;Bestelauto-benzine;Autosnelwegen;2003;0.48;0.01;0.03;0.008
148;Nieuwe emissiefactoren;Bestelauto-benzine;Autosnelwegen;2004;0.46;0.01;0.03;0.008
149;Nieuwe emissiefactoren;Bestelauto-benzine;Autosnelwegen;2005;0.43;0.01;0.02;0.008
150;Nieuwe emissiefactoren;Bestelauto-diesel;Bebouwde kom;Bouwjaar groep 1996 en ouder;1.62;0.24;1.15;0.265
151;Nieuwe emissiefactoren;Bestelauto-diesel;Bebouwde kom;1997;1.1;0.21;1.4;0.146
152;Nieuwe emissiefactoren;Bestelauto-diesel;Bebouwde kom;1998;0.96;0.19;1.47;0.152
153;Nieuwe emissiefactoren;Bestelauto-diesel;Bebouwde kom;1999;0.72;0.16;1.59;0.162
154;Nieuwe emissiefactoren;Bestelauto-diesel;Bebouwde kom;2000;0.64;0.11;1.42;0.128
155;Nieuwe emissiefactoren;Bestelauto-diesel;Bebouwde kom;2001;0.51;0.05;1.24;0.093
156;Nieuwe emissiefactoren;Bestelauto-diesel;Bebouwde kom;2002;0.51;0.05;1.24;0.093
157;Nieuwe emissiefactoren;Bestelauto-diesel;Bebouwde kom;2003;0.51;0.05;1.24;0.093
158;Nieuwe emissiefactoren;Bestelauto-diesel;Bebouwde kom;2004;0.51;0.05;1.24;0.093
159;Nieuwe emissiefactoren;Bestelauto-diesel;Bebouwde kom;2005;0.15;0.02;0.65;0.067
160;Nieuwe emissiefactoren;Bestelauto-diesel;Buitenwegen;Bouwjaar groep 1996 en ouder;0.4;0.16;0.8;0.142
161;Nieuwe emissiefactoren;Bestelauto-diesel;Buitenwegen;1997;0.17;0.07;0.67;0.093
162;Nieuwe emissiefactoren;Bestelauto-diesel;Buitenwegen;1998;0.13;0.07;0.73;0.086
163;Nieuwe emissiefactoren;Bestelauto-diesel;Buitenwegen;1999;0.08;0.06;0.82;0.074
164;Nieuwe emissiefactoren;Bestelauto-diesel;Buitenwegen;2000;0.05;0.04;0.78;0.062
165;Nieuwe emissiefactoren;Bestelauto-diesel;Buitenwegen;2001;0.02;0.01;0.73;0.049
166;Nieuwe emissiefactoren;Bestelauto-diesel;Buitenwegen;2002;0.02;0.01;0.73;0.049
167;Nieuwe emissiefactoren;Bestelauto-diesel;Buitenwegen;2003;0.02;0.01;0.73;0.049
168;Nieuwe emissiefactoren;Bestelauto-diesel;Buitenwegen;2004;0.02;0.01;0.73;0.049
169;Nieuwe emissiefactoren;Bestelauto-diesel;Buitenwegen;2005;0.02;0.0;0.36;0.035
170;Nieuwe emissiefactoren;Bestelauto-diesel;Autosnelwegen;Bouwjaar groep 1996 en ouder;0.38;0.16;1.12;0.166
171;Nieuwe emissiefactoren;Bestelauto-diesel;Autosnelwegen;1997;0.13;0.04;0.96;0.11
172;Nieuwe emissiefactoren;Bestelauto-diesel;Autosnelwegen;1998;0.12;0.04;0.99;0.12
173;Nieuwe emissiefactoren;Bestelauto-diesel;Autosnelwegen;1999;0.1;0.04;1.05;0.14
174;Nieuwe emissiefactoren;Bestelauto-diesel;Autosnelwegen;2000;0.07;0.03;0.95;0.118
175;Nieuwe emissiefactoren;Bestelauto-diesel;Autosnelwegen;2001;0.05;0.02;0.84;0.093
176;Nieuwe emissiefactoren;Bestelauto-diesel;Autosnelwegen;2002;0.05;0.02;0.84;0.093
177;Nieuwe emissiefactoren;Bestelauto-diesel;Autosnelwegen;2003;0.05;0.02;0.84;0.093
178;Nieuwe emissiefactoren;Bestelauto-diesel;Autosnelwegen;2004;0.05;0.02;0.84;0.093
179;Nieuwe emissiefactoren;Bestelauto-diesel;Autosnelwegen;2005;0.07;0.01;0.33;0.073
180;Nieuwe emissiefactoren;Bestelauto-LPG;Bebouwde kom;Bouwjaar groep 1996 en ouder;13.12;3.05;3.52;0.02
181;Nieuwe emissiefactoren;Bestelauto-LPG;Bebouwde kom;1997;9.84;0.5;0.56;0.007
182;Nieuwe emissiefactoren;Bestelauto-LPG;Bebouwde kom;1998;9.73;0.49;0.54;0.007
183;Nieuwe emissiefactoren;Bestelauto-LPG;Bebouwde kom;1999;10.01;0.49;0.53;0.007
184;Nieuwe emissiefactoren;Bestelauto-LPG;Bebouwde kom;2000;5.86;0.38;0.43;0.005
185;Nieuwe emissiefactoren;Bestelauto-LPG;Bebouwde kom;2001;1.54;0.26;0.33;0.003
186;Nieuwe emissiefactoren;Bestelauto-LPG;Bebouwde kom;2002;1.5;0.25;0.32;0.003
187;Nieuwe emissiefactoren;Bestelauto-LPG;Bebouwde kom;2003;1.2;0.22;0.23;0.003
188;Nieuwe emissiefactoren;Bestelauto-LPG;Bebouwde kom;2004;1.05;0.21;0.19;0.003
189;Nieuwe emissiefactoren;Bestelauto-LPG;Bebouwde kom;2005;0.92;0.19;0.15;0.003
190;Nieuwe emissiefactoren;Bestelauto-LPG;Buitenwegen;Bouwjaar groep 1996 en ouder;9.3;2.04;3.52;0.012
191;Nieuwe emissiefactoren;Bestelauto-LPG;Buitenwegen;1997;10.13;0.05;0.49;0.005
192;Nieuwe emissiefactoren;Bestelauto-LPG;Buitenwegen;1998;10.23;0.05;0.48;0.005
193;Nieuwe emissiefactoren;Bestelauto-LPG;Buitenwegen;1999;11.01;0.05;0.46;0.005
194;Nieuwe emissiefactoren;Bestelauto-LPG;Buitenwegen;2000;6.3;0.05;0.36;0.003
195;Nieuwe emissiefactoren;Bestelauto-LPG;Buitenwegen;2001;1.03;0.06;0.26;0.002
196;Nieuwe emissiefactoren;Bestelauto-LPG;Buitenwegen;2002;0.99;0.05;0.26;0.002
197;Nieuwe emissiefactoren;Bestelauto-LPG;Buitenwegen;2003;0.68;0.04;0.19;0.002
198;Nieuwe emissiefactoren;Bestelauto-LPG;Buitenwegen;2004;0.52;0.03;0.16;0.002
199;Nieuwe emissiefactoren;Bestelauto-LPG;Buitenwegen;2005;0.39;0.03;0.13;0.002
200;Nieuwe emissiefactoren;Bestelauto-LPG;Autosnelwegen;Bouwjaar groep 1996 en ouder;4.11;1.46;5.52;0.016
201;Nieuwe emissiefactoren;Bestelauto-LPG;Autosnelwegen;1997;3.28;0.09;0.71;0.005
202;Nieuwe emissiefactoren;Bestelauto-LPG;Autosnelwegen;1998;3.18;0.09;0.69;0.005
203;Nieuwe emissiefactoren;Bestelauto-LPG;Autosnelwegen;1999;3.15;0.09;0.67;0.005
204;Nieuwe emissiefactoren;Bestelauto-LPG;Autosnelwegen;2000;2.46;0.06;0.41;0.007
205;Nieuwe emissiefactoren;Bestelauto-LPG;Autosnelwegen;2001;1.77;0.03;0.17;0.01
206;Nieuwe emissiefactoren;Bestelauto-LPG;Autosnelwegen;2002;1.7;0.02;0.17;0.01
207;Nieuwe emissiefactoren;Bestelauto-LPG;Autosnelwegen;2003;1.16;0.02;0.12;0.01
208;Nieuwe emissiefactoren;Bestelauto-LPG;Autosnelwegen;2004;0.89;0.02;0.1;0.01
209;Nieuwe emissiefactoren;Bestelauto-LPG;Autosnelwegen;2005;0.65;0.01;0.08;0.01
210;Nieuwe emissiefactoren;Vrachtauto-diesel;Bebouwde kom;Bouwjaar groep 1996 en ouder;3.44;1.54;13.78;0.701
211;Nieuwe emissiefactoren;Vrachtauto-diesel;Bebouwde kom;1997;1.97;0.66;12.68;0.243
212;Nieuwe emissiefactoren;Vrachtauto-diesel;Bebouwde kom;1998;1.96;0.66;12.63;0.239
213;Nieuwe emissiefactoren;Vrachtauto-diesel;Bebouwde kom;1999;1.96;0.66;12.67;0.239
214;Nieuwe emissiefactoren;Vrachtauto-diesel;Bebouwde kom;2000;2.01;0.66;12.58;0.249
215;Nieuwe emissiefactoren;Vrachtauto-diesel;Bebouwde kom;2001;2.04;0.64;11.27;0.263
216;Nieuwe emissiefactoren;Vrachtauto-diesel;Bebouwde kom;2002;2.07;0.62;10.45;0.275
217;Nieuwe emissiefactoren;Vrachtauto-diesel;Bebouwde kom;2003;2.07;0.62;10.45;0.275
218;Nieuwe emissiefactoren;Vrachtauto-diesel;Bebouwde kom;2004;2.07;0.62;10.45;0.275
219;Nieuwe emissiefactoren;Vrachtauto-diesel;Bebouwde kom;2005;1.6;0.47;9.35;0.218
220;Nieuwe emissiefactoren;Vrachtauto-diesel;Buitenwegen;Bouwjaar groep 1996 en ouder;1.96;0.76;10.18;0.399
221;Nieuwe emissiefactoren;Vrachtauto-diesel;Buitenwegen;1997;1.24;0.36;8.99;0.156
222;Nieuwe emissiefactoren;Vrachtauto-diesel;Buitenwegen;1998;1.23;0.36;8.96;0.154
223;Nieuwe emissiefactoren;Vrachtauto-diesel;Buitenwegen;1999;1.23;0.36;8.98;0.154
224;Nieuwe emissiefactoren;Vrachtauto-diesel;Buitenwegen;2000;1.25;0.36;8.87;0.157
225;Nieuwe emissiefactoren;Vrachtauto-diesel;Buitenwegen;2001;1.22;0.34;7.81;0.157
226;Nieuwe emissiefactoren;Vrachtauto-diesel;Buitenwegen;2002;1.2;0.33;7.14;0.158
227;Nieuwe emissiefactoren;Vrachtauto-diesel;Buitenwegen;2003;1.2;0.33;7.14;0.158
228;Nieuwe emissiefactoren;Vrachtauto-diesel;Buitenwegen;2004;1.2;0.33;7.14;0.158
229;Nieuwe emissiefactoren;Vrachtauto-diesel;Buitenwegen;2005;0.93;0.25;6.44;0.125
230;Nieuwe emissiefactoren;Vrachtauto-diesel;Autosnelwegen;Bouwjaar groep 1996 en ouder;1.42;0.55;8.9;0.3
231;Nieuwe emissiefactoren;Vrachtauto-diesel;Autosnelwegen;1997;0.88;0.28;7.57;0.128
232;Nieuwe emissiefactoren;Vrachtauto-diesel;Autosnelwegen;1998;0.87;0.27;7.54;0.126
233;Nieuwe emissiefactoren;Vrachtauto-diesel;Autosnelwegen;1999;0.87;0.27;7.56;0.126
234;Nieuwe emissiefactoren;Vrachtauto-diesel;Autosnelwegen;2000;0.88;0.27;7.36;0.127
235;Nieuwe emissiefactoren;Vrachtauto-diesel;Autosnelwegen;2001;0.84;0.26;6.18;0.123
236;Nieuwe emissiefactoren;Vrachtauto-diesel;Autosnelwegen;2002;0.82;0.25;5.4;0.12
237;Nieuwe emissiefactoren;Vrachtauto-diesel;Autosnelwegen;2003;0.82;0.25;5.4;0.12
238;Nieuwe emissiefactoren;Vrachtauto-diesel;Autosnelwegen;2004;0.82;0.25;5.4;0.12
239;Nieuwe emissiefactoren;Vrachtauto-diesel;Autosnelwegen;2005;0.64;0.19;4.92;0.095
240;Nieuwe emissiefactoren;Trekker-diesel;Bebouwde kom;Bouwjaar groep 1996 en ouder;3.36;1.38;16.47;0.767
241;Nieuwe emissiefactoren;Trekker-diesel;Bebouwde kom;1997;2.31;0.79;15.57;0.3
242;Nieuwe emissiefactoren;Trekker-diesel;Bebouwde kom;1998;2.3;0.78;15.57;0.296
243;Nieuwe emissiefactoren;Trekker-diesel;Bebouwde kom;1999;2.3;0.78;15.57;0.296
244;Nieuwe emissiefactoren;Trekker-diesel;Bebouwde kom;2000;2.31;0.77;15.2;0.3
245;Nieuwe emissiefactoren;Trekker-diesel;Bebouwde kom;2001;2.35;0.75;13.71;0.315
246;Nieuwe emissiefactoren;Trekker-diesel;Bebouwde kom;2002;2.38;0.73;12.59;0.326
247;Nieuwe emissiefactoren;Trekker-diesel;Bebouwde kom;2003;2.38;0.73;12.59;0.326
248;Nieuwe emissiefactoren;Trekker-diesel;Bebouwde kom;2004;2.38;0.73;12.59;0.326
249;Nieuwe emissiefactoren;Trekker-diesel;Bebouwde kom;2005;1.84;0.56;11.29;0.26
250;Nieuwe emissiefactoren;Trekker-diesel;Buitenwegen;Bouwjaar groep 1996 en ouder;1.84;0.65;11.34;0.42
