ID;Bedrijfsactiviteiten;Perioden;TotaalInvesteringen_1;GrondEnTerreinen_2;Bedrijfsruimten_3;GrondWaterEnWegenbouwkundigeWerken_4;ExterneVervoermiddelen_5;InterneTransportmiddelen_6;ComputersEnRandapparatuur_7;OverigeMachinesInstallatiesED_8;OverigeMaterieleVasteActiva_9
84;17* Spinnerijen en Weverijen;1999;16.0;0.0;0.5;0.0;0.6;0.5;1.0;13.1;0.4
85;173 Textielveredelingsindustrie;1995;7.8;0.5;1.6;0.0;0.2;0.2;0.7;4.0;0.6
86;173 Textielveredelingsindustrie;1996;12.8;0.0;0.6;0.0;0.2;0.0;1.1;9.1;1.7
87;173 Textielveredelingsindustrie;1997;10.0;0.0;0.5;0.0;0.1;0.1;0.8;7.5;1.0
88;173 Textielveredelingsindustrie;1998;14.0;0.0;0.3;0.0;0.6;0.2;0.9;9.5;2.4
89;173 Textielveredelingsindustrie;1999;19.0;0.0;1.9;0.1;0.3;0.4;1.0;14.2;1.1
90;174 Textielwaren industrie;1995;9.6;0.2;0.2;0.0;1.4;0.1;1.2;5.4;1.1
91;174 Textielwaren industrie;1996;8.8;0.0;0.6;0.0;1.1;0.2;0.7;5.4;0.9
92;174 Textielwaren industrie;1997;8.3;0.1;2.6;0.0;0.6;0.0;0.8;3.4;0.6
93;174 Textielwaren industrie;1998;9.3;0.0;0.8;0.2;1.1;0.0;1.5;3.9;1.7
94;174 Textielwaren industrie;1999;9.3;0.0;1.5;0.0;2.0;0.4;1.3;3.5;0.7
95;175 Overige textielprodukten ind.;1995;41.4;0.3;7.5;0.0;1.4;0.7;1.9;29.1;0.5
96;175 Overige textielprodukten ind.;1996;28.6;0.2;2.2;0.0;1.5;0.4;1.9;21.5;1.0
97;175 Overige textielprodukten ind.;1997;33.5;0.1;3.9;0.1;1.0;1.1;1.8;24.1;1.3
98;175 Overige textielprodukten ind.;1998;31.2;0.0;3.3;0.0;0.8;0.7;2.5;22.4;1.5
99;175 Overige textielprodukten ind.;1999;77.6;0.0;15.8;0.2;2.0;1.4;3.4;54.2;0.7
100;17** Ind. v . gebreide en gehaakte art.;1995;4.7;0.0;0.1;0.0;0.4;0.0;0.2;3.6;0.3
101;17** Ind. v . gebreide en gehaakte art.;1996;10.0;0.0;0.1;0.0;0.5;0.0;0.3;8.9;0.1
102;17** Ind. v . gebreide en gehaakte art.;1997;6.7;0.0;0.1;0.0;0.5;0.1;0.2;4.8;1.0
103;17** Ind. v . gebreide en gehaakte art.;1998;6.0;0.0;0.1;0.0;0.5;0.0;0.2;5.2;0.1
104;17** Ind. v . gebreide en gehaakte art.;1999;5.9;0.4;1.7;0.0;0.4;0.2;0.2;3.0;0.1
105;18 Kleding en bont ind.;1995;10.8;0.2;2.9;0.1;1.0;0.5;1.5;4.3;0.5
106;18 Kleding en bont ind.;1996;8.3;0.0;2.7;0.0;1.5;0.1;1.1;2.3;0.5
107;18 Kleding en bont ind.;1997;8.8;0.4;1.6;0.1;1.2;0.2;1.0;3.8;0.5
108;18 Kleding en bont ind.;1998;8.7;0.0;0.9;0.0;1.0;0.1;2.2;2.9;1.7
109;18 Kleding en bont ind.;1999;8.7;0.0;1.0;0.0;1.9;0.3;2.0;2.7;0.7
110;19 Leer-,Lederw.-en schoenind.;1995;5.5;0.0;0.3;0.0;0.5;0.0;0.3;3.9;0.5
111;19 Leer-,Lederw.-en schoenind.;1996;4.4;0.0;0.5;0.0;0.5;0.0;0.3;2.3;0.7
112;19 Leer-,Lederw.-en schoenind.;1997;6.7;0.2;0.0;0.0;0.6;0.3;0.4;4.9;0.4
113;19 Leer-,Lederw.-en schoenind.;1998;11.5;0.5;2.9;0.0;0.7;0.2;0.4;6.0;0.9
114;19 Leer-,Lederw.-en schoenind.;1999;6.5;0.2;0.9;0.0;0.6;0.1;1.2;2.5;1.0
115;191 Looien en bewerken van leer;1995;0.6;0.0;0.1;0.0;0.0;0.0;0.0;0.5;0.0
116;191 Looien en bewerken van leer;1996;1.4;0.0;0.4;0.0;0.1;0.0;0.0;0.8;0.1
117;191 Looien en bewerken van leer;1997;3.4;0.0;0.0;0.0;0.1;0.2;0.1;3.0;0.1
118;191 Looien en bewerken van leer;1998;5.8;0.4;2.1;0.0;0.2;0.2;0.1;2.5;0.3
119;191 Looien en bewerken van leer;1999;3.3;0.2;0.8;0.0;0.1;0.0;0.1;1.5;0.6
120;192  Lederw.ind. (excl. kled,sch.);1995;0.5;0.0;0.1;0.0;0.1;0.0;0.1;0.1;0.0
121;192  Lederw.ind. (excl. kled,sch.);1996;0.3;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1
122;192  Lederw.ind. (excl. kled,sch.);1997;0.4;0.0;0.0;0.0;0.2;0.0;0.0;0.1;0.0
123;192  Lederw.ind. (excl. kled,sch.);1998;0.4;0.0;0.0;0.0;0.1;0.0;0.0;0.2;0.0
124;192  Lederw.ind. (excl. kled,sch.);1999;0.4;0.0;0.0;0.0;0.1;0.0;0.2;0.1;0.0
125;193 Schoenindustrie;1995;4.4;0.0;0.1;0.0;0.4;0.0;0.2;3.2;0.4
126;193 Schoenindustrie;1996;2.7;0.0;0.2;0.0;0.4;0.0;0.1;1.4;0.5
127;193 Schoenindustrie;1997;2.9;0.2;0.0;0.0;0.4;0.1;0.1;1.7;0.4
128;193 Schoenindustrie;1998;5.3;0.1;0.7;0.0;0.5;0.0;0.2;3.3;0.6
129;193 Schoenindustrie;1999;2.8;0.0;0.1;0.0;0.4;0.0;0.9;1.0;0.5
130;20 Hout, kurk ind.;1995;46.9;1.8;9.4;0.3;4.1;2.3;2.2;24.3;2.5
131;20 Hout, kurk ind.;1996;53.1;1.0;10.8;0.8;4.3;1.7;2.0;27.8;4.8
132;20 Hout, kurk ind.;1997;63.7;7.1;13.3;0.9;4.1;3.2;3.0;30.1;1.9
133;20 Hout, kurk ind.;1998;56.9;3.4;10.4;0.8;4.9;3.1;3.3;28.2;2.8
134;20 Hout, kurk ind.;1999;73.9;3.5;15.5;0.4;6.2;3.6;3.4;36.7;4.6
135;201 Houtzagerijen;1995;3.4;0.1;1.0;0.1;0.1;0.1;0.0;1.8;0.0
136;201 Houtzagerijen;1996;3.9;0.2;0.1;0.2;0.3;0.4;0.1;2.3;0.1
137;201 Houtzagerijen;1997;2.6;0.0;0.0;0.0;0.0;0.3;0.0;2.2;0.0
138;201 Houtzagerijen;1998;2.8;0.0;0.2;0.5;0.2;0.3;0.0;1.5;0.0
139;201 Houtzagerijen;1999;2.5;0.0;1.0;0.1;0.3;0.0;0.1;1.0;0.0
140;202 Fineer;1995;1.7;0.0;0.0;0.0;0.3;0.2;0.2;0.8;0.3
141;202 Fineer;1996;3.0;0.0;0.3;0.0;0.1;0.0;0.0;1.6;1.0
142;202 Fineer;1997;1.1;0.0;0.1;0.0;0.1;0.0;0.1;0.4;0.2
143;202 Fineer;1998;1.1;0.0;0.0;0.0;0.1;0.1;0.1;0.5;0.3
144;202 Fineer;1999;2.3;0.0;0.1;0.0;0.3;0.1;0.3;1.3;0.2
145;203 Timmer ind.;1995;21.8;0.6;2.5;0.1;2.5;1.0;1.4;12.4;1.5
146;203 Timmer ind.;1996;32.6;0.1;7.9;0.2;2.4;0.8;1.5;16.6;3.2
147;203 Timmer ind.;1997;39.9;5.0;10.3;0.5;2.3;1.5;2.1;16.9;1.4
148;203 Timmer ind.;1998;33.9;1.4;7.9;0.0;2.6;2.0;2.3;15.4;2.1
149;203 Timmer ind.;1999;48.1;1.0;11.1;0.1;4.2;2.4;2.6;23.3;3.4
150;204 Houten emballage ind.;1995;12.3;0.4;3.4;0.0;0.5;0.6;0.3;6.9;0.3
151;204 Houten emballage ind.;1996;8.4;0.2;2.1;0.3;0.8;0.4;0.3;4.0;0.3
152;204 Houten emballage ind.;1997;16.4;2.0;2.5;0.4;1.0;1.0;0.2;9.1;0.2
153;204 Houten emballage ind.;1998;14.2;1.5;0.6;0.3;1.4;0.5;0.5;9.3;0.2
154;204 Houten emballage ind.;1999;12.8;0.5;1.7;0.1;0.9;0.4;0.2;8.1;0.9
155;205 Overige houtind.;1995;7.6;0.7;2.5;0.1;0.7;0.4;0.3;2.5;0.4
156;205 Overige houtind.;1996;5.2;0.4;0.5;0.1;0.7;0.1;0.1;3.3;0.1
157;205 Overige houtind.;1997;3.6;0.0;0.3;0.0;0.7;0.5;0.5;1.5;0.1
158;205 Overige houtind.;1998;5.0;0.5;1.6;0.0;0.7;0.2;0.3;1.5;0.1
159;205 Overige houtind.;1999;8.3;2.0;1.7;0.0;0.5;0.6;0.2;3.0;0.2
160;21    Papier(waren)- en karton(w.)ind.;1995;255.2;1.5;38.3;0.6;8.3;9.7;11.2;180.8;4.8
161;21    Papier(waren)- en karton(w.)ind.;1996;319.6;4.9;34.0;1.9;5.6;5.9;9.8;249.5;8.0
162;21    Papier(waren)- en karton(w.)ind.;1997;269.0;0.6;27.4;0.7;6.2;6.6;10.8;208.7;8.0
163;21    Papier(waren)- en karton(w.)ind.;1998;361.8;1.8;42.1;1.1;6.8;4.5;23.0;271.1;11.3
164;21    Papier(waren)- en karton(w.)ind.;1999;329.3;2.9;34.5;4.3;5.6;6.4;26.1;240.7;8.8
165;211   Pulp-, papier- en kartonindustrie;1995;86.8;0.1;11.8;0.3;1.2;3.6;5.4;63.4;1.0
166;211   Pulp-, papier- en kartonindustrie;1996;186.8;4.7;20.1;1.8;1.0;2.5;3.9;151.3;1.5
167;211   Pulp-, papier- en kartonindustrie;1997;104.6;0.1;9.1;0.5;1.0;2.2;3.9;85.9;1.7
168;211   Pulp-, papier- en kartonindustrie;1998;177.8;0.5;17.7;0.9;0.9;1.7;12.3;140.6;3.2
169;211   Pulp-, papier- en kartonindustrie;1999;107.9;0.2;6.4;4.1;1.1;1.4;10.8;80.3;3.7
170;212   Papier- en kartonwarenindustrie;1995;168.4;1.5;26.5;0.3;7.1;6.1;5.7;117.4;3.8
171;212   Papier- en kartonwarenindustrie;1996;132.8;0.3;14.0;0.1;4.6;3.4;5.9;98.2;6.5
172;212   Papier- en kartonwarenindustrie;1997;164.4;0.5;18.3;0.1;5.2;4.4;6.8;122.8;6.3
173;212   Papier- en kartonwarenindustrie;1998;183.9;1.3;24.4;0.2;5.9;2.9;10.7;130.5;8.1
174;212   Papier- en kartonwarenindustrie;1999;221.4;2.7;28.1;0.2;4.5;5.1;15.4;160.4;5.0
175;22    Uitgeverijen, drukkerijen, repro.;1995;434.4;9.5;44.7;0.3;27.4;2.7;51.1;278.0;20.7
176;22    Uitgeverijen, drukkerijen, repro.;1996;436.4;4.8;41.9;0.2;27.7;2.2;63.9;275.8;20.0
177;22    Uitgeverijen, drukkerijen, repro.;1997;438.9;2.3;52.4;0.3;34.1;4.5;62.0;263.4;19.9
178;22    Uitgeverijen, drukkerijen, repro.;1998;603.3;1.0;130.4;1.3;25.9;3.9;80.9;328.9;31.0
179;22    Uitgeverijen, drukkerijen, repro.;1999;504.7;7.9;74.1;0.1;29.9;5.6;91.8;270.6;24.5
180;221   Uitgeverijen;1995;133.6;8.1;24.1;0.0;16.0;0.3;24.7;52.2;8.3
181;221   Uitgeverijen;1996;88.4;0.1;11.3;0.1;16.3;0.1;38.0;14.3;8.4
182;221   Uitgeverijen;1997;118.8;0.9;18.6;0.0;20.0;0.5;39.8;29.5;9.3
183;221   Uitgeverijen;1998;224.2;0.0;79.6;0.4;15.5;0.9;57.4;53.6;16.7
184;221   Uitgeverijen;1999;133.7;2.0;21.7;0.0;18.7;0.4;62.7;15.0;13.2
185;222   Drukkerijen en aanverwante act.;1995;281.7;1.4;18.8;0.3;11.3;2.4;25.0;211.1;11.4
186;222   Drukkerijen en aanverwante act.;1996;319.8;4.7;28.9;0.1;11.2;1.9;24.1;237.8;11.2
187;222   Drukkerijen en aanverwante act.;1997;300.6;1.4;32.0;0.2;13.6;3.9;20.2;219.4;9.9
188;222   Drukkerijen en aanverwante act.;1998;332.3;1.0;32.3;1.0;9.6;2.4;19.3;253.5;13.3
189;222   Drukkerijen en aanverwante act.;1999;347.4;5.9;47.6;0.1;10.6;5.2;24.7;244.0;9.2
190;223   Reproductie van opgenomen media;1995;19.1;0.0;1.9;0.0;0.1;0.0;1.4;14.7;1.0
191;223   Reproductie van opgenomen media;1996;28.1;0.0;1.8;0.0;0.2;0.2;1.8;23.7;0.4
192;223   Reproductie van opgenomen media;1997;19.5;0.0;1.8;0.0;0.5;0.2;1.9;14.5;0.6
193;223   Reproductie van opgenomen media;1998;46.9;0.0;18.5;0.0;0.8;0.5;4.2;21.9;1.0
194;223   Reproductie van opgenomen media;1999;23.6;0.0;4.8;0.0;0.5;0.1;4.4;11.5;2.2
195;23    Aardolie-, steenkoolverw. industr.;1995;203.0;0.2;16.3;1.2;3.8;0.1;2.9;172.6;5.9
196;23    Aardolie-, steenkoolverw. industr.;1996;220.8;0.0;11.8;2.8;2.0;0.3;5.3;194.0;4.7
197;23    Aardolie-, steenkoolverw. industr.;1997;1619.4;0.0;62.4;21.4;2.9;6.0;6.7;1514.6;5.4
198;23    Aardolie-, steenkoolverw. industr.;1998;362.0;0.2;8.2;6.2;3.2;0.1;7.3;331.5;5.3
199;23    Aardolie-, steenkoolverw. industr.;1999;116.4;0.0;4.7;4.0;2.7;0.9;5.5;94.7;3.8
200;24    Chemische industrie;1995;1136.6;9.0;161.7;10.6;25.4;11.8;57.9;784.3;75.9
201;24    Chemische industrie;1996;1316.4;1.2;128.0;17.7;19.8;14.8;51.7;1027.8;55.5
202;24    Chemische industrie;1997;1306.8;4.3;134.3;26.4;30.9;15.6;46.0;1007.2;42.2
203;24    Chemische industrie;1998;1683.6;17.7;125.1;26.5;27.7;10.1;49.0;1383.3;44.2
204;24    Chemische industrie;1999;1451.9;10.9;264.2;35.3;27.8;13.6;74.7;966.7;58.5
205;"241*   Basischemie; systhetische vezels";1995;743.1;0.5;71.0;6.4;7.8;7.1;32.0;568.5;49.8
206;"241*   Basischemie; systhetische vezels";1996;1027.3;0.9;76.9;16.2;5.0;8.8;28.4;862.5;28.7
207;"241*   Basischemie; systhetische vezels";1997;959.9;2.9;59.5;21.5;9.5;8.0;19.1;818.5;20.9
208;"241*   Basischemie; systhetische vezels";1998;1283.0;0.5;59.4;22.9;12.0;6.2;18.5;1135.7;27.9
209;"241*   Basischemie; systhetische vezels";1999;1098.3;7.9;195.8;32.9;9.0;5.5;29.0;777.7;40.5
210;242   Landbouwchemicali%nindustrie;1995;4.9;0.0;1.8;0.3;0.1;0.0;0.3;2.3;0.1
211;242   Landbouwchemicali%nindustrie;1996;5.4;0.0;0.7;0.0;0.2;0.0;0.3;3.4;0.7
212;242   Landbouwchemicali%nindustrie;1997;5.5;0.0;1.1;0.2;0.3;0.3;0.2;3.1;0.3
213;242   Landbouwchemicali%nindustrie;1998;6.5;0.0;0.5;0.2;0.3;0.0;0.3;4.9;0.2
214;242   Landbouwchemicali%nindustrie;1999;5.0;0.0;0.7;0.0;0.4;0.0;0.5;2.9;0.4
215;243   Verf-, lak-, mast.-, drukinktind.;1995;50.2;1.1;13.3;1.3;5.7;0.9;2.8;22.2;3.1
216;243   Verf-, lak-, mast.-, drukinktind.;1996;42.0;0.1;9.1;0.4;5.3;1.9;2.9;19.0;3.2
217;243   Verf-, lak-, mast.-, drukinktind.;1997;83.6;0.2;32.8;0.4;7.2;2.2;2.5;32.7;5.6
218;243   Verf-, lak-, mast.-, drukinktind.;1998;67.1;2.3;11.7;1.2;5.6;2.0;7.5;32.7;4.1
219;243   Verf-, lak-, mast.-, drukinktind.;1999;46.0;2.3;8.7;0.2;7.2;3.4;4.9;16.7;2.7
220;244   Farmaceutische industrie;1995;212.4;3.0;48.1;1.6;5.9;1.0;12.3;127.4;13.0
221;244   Farmaceutische industrie;1996;147.3;0.1;28.0;1.1;4.2;1.7;11.1;86.9;14.2
222;244   Farmaceutische industrie;1997;127.1;1.1;23.2;1.3;3.8;1.7;12.4;75.6;8.0
223;244   Farmaceutische industrie;1998;198.7;13.6;28.8;0.7;3.5;0.5;9.5;134.0;8.2
224;244   Farmaceutische industrie;1999;130.0;0.3;35.3;1.9;3.3;0.9;14.5;65.2;8.7
225;245   Zeep-, wasm.-, cosmetica-industrie;1995;51.0;3.4;16.2;0.0;3.7;0.6;2.5;21.1;3.3
226;245   Zeep-, wasm.-, cosmetica-industrie;1996;35.3;0.0;3.1;0.0;2.5;0.7;2.5;23.8;2.6
227;245   Zeep-, wasm.-, cosmetica-industrie;1997;34.2;0.0;5.2;0.4;3.8;0.9;3.0;16.2;4.7
228;245   Zeep-, wasm.-, cosmetica-industrie;1998;37.4;0.1;7.3;0.0;2.9;0.4;3.4;21.7;1.6
229;245   Zeep-, wasm.-, cosmetica-industrie;1999;43.5;0.0;5.2;0.0;2.9;2.3;3.4;26.5;3.1
230;246   Overige chemische pr.;1995;75.0;1.0;11.4;1.0;2.2;2.1;7.9;42.9;6.6
231;246   Overige chemische pr.;1996;59.2;0.0;10.2;0.1;2.6;1.6;6.6;32.0;6.0
232;246   Overige chemische pr.;1997;96.5;0.0;12.5;2.6;6.3;2.5;8.8;61.1;2.7
233;246   Overige chemische pr.;1998;90.9;1.3;17.4;1.6;3.4;1.0;9.8;54.2;2.2
234;246   Overige chemische pr.;1999;129.0;0.4;18.5;0.3;5.0;1.5;22.5;77.6;3.2
235;25    Rubber- en kunststofverw. industr.;1995;227.9;1.9;27.3;0.8;8.6;4.5;8.7;157.1;19.1
236;25    Rubber- en kunststofverw. industr.;1996;302.1;2.8;50.3;2.5;10.9;7.8;15.3;196.8;15.7
237;25    Rubber- en kunststofverw. industr.;1997;246.4;2.1;28.5;1.9;9.3;5.3;12.4;169.9;17.0
238;25    Rubber- en kunststofverw. industr.;1998;313.8;3.3;36.5;1.1;10.1;5.1;16.4;220.1;21.2
239;25    Rubber- en kunststofverw. industr.;1999;290.2;0.4;54.1;2.3;8.6;5.6;17.0;181.8;20.5
240;251   Rubberverwerkende industrie;1995;34.1;0.0;8.6;0.5;1.0;0.4;1.0;19.2;3.4
