ID;ExpenditureCategories;Periods;CPI_1;DerivedCPI_2;MonthOnMonthChangeCPI_3;MonthOnMonthChangeDerivedCPI_4;YearOnYearChangeCPI_5;YearOnYearChangeDerivedCPI_6;WeightingCoefficient_7
56;000000 All items;2000 May;75.02;78.69;0.3;0.3;2.2;1.8;100000
57;000000 All items;2000 June;74.94;78.62;-0.1;-0.1;2.5;2.1;100000
58;000000 All items;2000 July;74.75;78.41;-0.3;-0.3;2.3;1.9;100000
59;000000 All items;2000 August;75.08;78.75;0.4;0.4;2.2;1.8;100000
60;000000 All items;2000 September;75.99;79.7;1.2;1.2;3.0;2.6;100000
61;000000 All items;2000 October;76.12;79.84;0.2;0.2;3.1;2.7;100000
62;000000 All items;2000 November;76.11;79.83;0.0;0.0;2.9;2.6;100000
63;000000 All items;2000 December;75.66;79.36;-0.6;-0.6;2.7;2.3;100000
64;000000 All items;2000;75.06;78.73;;;2.4;2.0;100000
65;000000 All items;2001 January;76.31;79.25;0.9;-0.1;3.8;2.7;100000
66;000000 All items;2001 February;76.98;79.91;0.9;0.8;4.0;2.9;100000
67;000000 All items;2001 March;77.7;80.67;0.9;1.0;4.1;3.0;100000
68;000000 All items;2001 April;78.13;81.12;0.6;0.6;4.5;3.4;100000
69;000000 All items;2001 May;78.39;81.39;0.3;0.3;4.5;3.4;100000
70;000000 All items;2001 June;78.09;81.07;-0.4;-0.4;4.2;3.1;100000
71;000000 All items;2001 July;77.98;80.99;-0.1;-0.1;4.3;3.3;100000
72;000000 All items;2001 August;78.27;81.28;0.4;0.4;4.2;3.2;100000
73;000000 All items;2001 September;79.23;82.27;1.2;1.2;4.3;3.2;100000
74;000000 All items;2001 October;79.15;82.18;-0.1;-0.1;4.0;2.9;100000
75;000000 All items;2001 November;79.05;82.08;-0.1;-0.1;3.9;2.8;100000
76;000000 All items;2001 December;78.81;81.84;-0.3;-0.3;4.2;3.1;100000
77;000000 All items;2001;78.17;81.17;;;4.1;3.1;100000
78;000000 All items;2002 January;79.38;82.37;0.7;0.6;4.0;3.9;100000
79;000000 All items;2002 February;79.81;82.82;0.5;0.5;3.7;3.6;100000
80;000000 All items;2002 March;80.52;83.55;0.9;0.9;3.6;3.6;100000
81;000000 All items;2002 April;80.9;83.94;0.5;0.5;3.5;3.5;100000
82;000000 All items;2002 May;80.92;83.96;0.0;0.0;3.2;3.2;100000
83;000000 All items;2002 June;80.65;83.66;-0.3;-0.4;3.3;3.2;100000
84;000000 All items;2002 July;80.54;83.55;-0.1;-0.1;3.3;3.2;100000
85;000000 All items;2002 August;80.81;83.84;0.3;0.3;3.2;3.1;100000
86;000000 All items;2002 September;81.69;84.74;1.1;1.1;3.1;3.0;100000
87;000000 All items;2002 October;81.49;84.59;-0.2;-0.2;3.0;2.9;100000
88;000000 All items;2002 November;81.25;84.34;-0.3;-0.3;2.8;2.8;100000
89;000000 All items;2002 December;80.97;84.05;-0.3;-0.3;2.7;2.7;100000
90;000000 All items;2002;80.74;83.78;;;3.3;3.2;100000
91;000000 All items;2003 January;81.25;84.06;0.3;0.0;2.4;2.1;100000
92;000000 All items;2003 February;81.75;84.58;0.6;0.6;2.4;2.1;100000
93;000000 All items;2003 March;82.53;85.39;1.0;1.0;2.5;2.2;100000
94;000000 All items;2003 April;82.61;85.47;0.1;0.1;2.1;1.8;100000
95;000000 All items;2003 May;82.55;85.42;-0.1;-0.1;2.0;1.7;100000
96;000000 All items;2003 June;82.17;85.02;-0.5;-0.5;1.9;1.6;100000
97;000000 All items;2003 July;82.24;85.19;0.1;0.2;2.1;2.0;100000
98;000000 All items;2003 August;82.5;85.45;0.3;0.3;2.1;1.9;100000
99;000000 All items;2003 September;83.31;86.29;1.0;1.0;2.0;1.8;100000
100;000000 All items;2003 October;83.08;86.06;-0.3;-0.3;2.0;1.7;100000
101;000000 All items;2003 November;82.87;85.84;-0.3;-0.3;2.0;1.8;100000
102;000000 All items;2003 December;82.34;85.29;-0.6;-0.6;1.7;1.5;100000
103;000000 All items;2003;82.43;85.34;;;2.1;1.9;100000
104;000000 All items;2004 January;82.35;85.09;0.0;-0.2;1.4;1.2;100000
105;000000 All items;2004 February;82.72;85.47;0.4;0.4;1.2;1.1;100000
106;000000 All items;2004 March;83.44;86.14;0.9;0.8;1.1;0.9;100000
107;000000 All items;2004 April;83.71;86.31;0.3;0.2;1.3;1.0;100000
108;000000 All items;2004 May;83.85;86.45;0.2;0.2;1.6;1.2;100000
109;000000 All items;2004 June;83.31;85.89;-0.6;-0.6;1.4;1.0;100000
110;000000 All items;2004 July;83.19;85.72;-0.1;-0.2;1.2;0.6;100000
111;000000 All items;2004 August;83.47;86.01;0.3;0.3;1.2;0.7;100000
112;000000 All items;2004 September;84.2;86.76;0.9;0.9;1.1;0.5;100000
113;000000 All items;2004 October;84.23;86.8;0.0;0.0;1.4;0.9;100000
114;000000 All items;2004 November;83.98;86.54;-0.3;-0.3;1.3;0.8;100000
115;000000 All items;2004 December;83.25;85.79;-0.9;-0.9;1.1;0.6;100000
116;000000 All items;2004;83.48;86.08;;;1.3;0.9;100000
117;000000 All items;2005 January;83.58;85.92;0.4;0.2;1.5;1.0;100000
118;000000 All items;2005 February;84.1;86.46;0.6;0.6;1.7;1.2;100000
119;000000 All items;2005 March;84.88;87.28;0.9;0.9;1.7;1.3;100000
120;000000 All items;2005 April;85.03;87.42;0.2;0.2;1.6;1.3;100000
121;000000 All items;2005 May;84.98;87.37;-0.1;-0.1;1.3;1.1;100000
122;000000 All items;2005 June;84.7;87.08;-0.3;-0.3;1.7;1.4;100000
123;000000 All items;2005 July;84.57;86.95;-0.2;-0.1;1.7;1.4;100000
124;000000 All items;2005 August;84.96;87.36;0.5;0.5;1.8;1.6;100000
125;000000 All items;2005 September;85.73;88.15;0.9;0.9;1.8;1.6;100000
126;000000 All items;2005 October;85.66;88.08;-0.1;-0.1;1.7;1.5;100000
127;000000 All items;2005 November;85.44;87.85;-0.3;-0.3;1.7;1.5;100000
128;000000 All items;2005 December;84.98;87.38;-0.5;-0.5;2.1;1.9;100000
129;000000 All items;2005;84.88;87.28;;;1.7;1.4;100000
130;000000 All items;2006 January;84.68;87.44;-0.4;0.1;1.3;1.8;100000
131;000000 All items;2006 February;85.01;87.79;0.4;0.4;1.1;1.5;100000
132;000000 All items;2006 March;85.68;88.49;0.8;0.8;0.9;1.4;100000
133;000000 All items;2006 April;86.07;88.88;0.5;0.4;1.2;1.7;100000
134;000000 All items;2006 May;86.15;88.95;0.1;0.1;1.4;1.8;100000
135;000000 All items;2006 June;85.84;88.62;-0.4;-0.4;1.3;1.8;100000
136;000000 All items;2006 July;85.68;88.46;-0.2;-0.2;1.3;1.7;100000
137;000000 All items;2006 August;86.13;88.89;0.5;0.5;1.4;1.8;100000
138;000000 All items;2006 September;86.46;89.24;0.4;0.4;0.9;1.2;100000
139;000000 All items;2006 October;86.24;89.01;-0.3;-0.3;0.7;1.1;100000
140;000000 All items;2006 November;86.1;88.87;-0.2;-0.2;0.8;1.2;100000
141;000000 All items;2006 December;85.79;88.54;-0.4;-0.4;1.0;1.3;100000
142;000000 All items;2006;85.82;88.6;;;1.1;1.5;100000
143;000000 All items;2007 January;85.89;88.55;0.1;0.0;1.4;1.3;100000
144;000000 All items;2007 February;86.28;88.96;0.5;0.5;1.5;1.3;100000
145;000000 All items;2007 March;87.22;89.92;1.1;1.1;1.8;1.6;100000
146;000000 All items;2007 April;87.64;90.34;0.5;0.5;1.8;1.6;100000
147;000000 All items;2007 May;87.7;90.41;0.1;0.1;1.8;1.6;100000
148;000000 All items;2007 June;87.34;90.04;-0.4;-0.4;1.7;1.6;100000
149;000000 All items;2007 July;86.93;89.61;-0.5;-0.5;1.5;1.3;100000
150;000000 All items;2007 August;87.08;89.77;0.2;0.2;1.1;1.0;100000
151;000000 All items;2007 September;87.59;90.3;0.6;0.6;1.3;1.2;100000
152;000000 All items;2007 October;87.63;90.33;0.0;0.0;1.6;1.5;100000
153;000000 All items;2007 November;87.76;90.47;0.1;0.2;1.9;1.8;100000
154;000000 All items;2007 December;87.39;90.08;-0.4;-0.4;1.9;1.7;100000
155;000000 All items;2007;87.2;89.9;;;1.6;1.5;100000
156;000000 All items;2008 January;87.63;90.24;0.3;0.2;2.0;1.9;100000
157;000000 All items;2008 February;88.22;90.82;0.7;0.6;2.2;2.1;100000
158;000000 All items;2008 March;89.09;91.71;1.0;1.0;2.1;2.0;100000
159;000000 All items;2008 April;89.42;92.02;0.4;0.3;2.0;1.9;100000
160;000000 All items;2008 May;89.74;92.34;0.4;0.3;2.3;2.1;100000
161;000000 All items;2008 June;89.58;92.17;-0.2;-0.2;2.6;2.4;100000
162;000000 All items;2008 July;89.72;92.26;0.2;0.1;3.2;3.0;100000
163;000000 All items;2008 August;89.89;92.44;0.2;0.2;3.2;3.0;100000
164;000000 All items;2008 September;90.28;92.84;0.4;0.4;3.1;2.8;100000
165;000000 All items;2008 October;90.07;92.62;-0.2;-0.2;2.8;2.5;100000
166;000000 All items;2008 November;89.74;92.14;-0.4;-0.5;2.3;1.8;100000
167;000000 All items;2008 December;89.09;91.44;-0.7;-0.8;1.9;1.5;100000
168;000000 All items;2008;89.37;91.92;;;2.5;2.2;100000
169;000000 All items;2009 January;89.32;91.54;0.3;0.1;1.9;1.4;100000
170;000000 All items;2009 February;89.95;92.19;0.7;0.7;2.0;1.5;100000
171;000000 All items;2009 March;90.85;93.11;1.0;1.0;2.0;1.5;100000
172;000000 All items;2009 April;91.05;93.31;0.2;0.2;1.8;1.4;100000
173;000000 All items;2009 May;91.17;93.45;0.1;0.2;1.6;1.2;100000
174;000000 All items;2009 June;90.85;93.14;-0.4;-0.3;1.4;1.1;100000
175;000000 All items;2009 July;89.89;92.16;-1.1;-1.1;0.2;-0.1;100000
176;000000 All items;2009 August;90.14;92.41;0.3;0.3;0.3;0.0;100000
177;000000 All items;2009 September;90.62;92.91;0.5;0.5;0.4;0.1;100000
178;000000 All items;2009 October;90.7;93.0;0.1;0.1;0.7;0.4;100000
179;000000 All items;2009 November;90.61;92.9;-0.1;-0.1;1.0;0.8;100000
180;000000 All items;2009 December;90.08;92.37;-0.6;-0.6;1.1;1.0;100000
181;000000 All items;2009;90.44;92.71;;;1.2;0.9;100000
182;000000 All items;2010 January;90.05;92.15;0.0;-0.2;0.8;0.7;100000
183;000000 All items;2010 February;90.69;92.8;0.7;0.7;0.8;0.7;100000
184;000000 All items;2010 March;91.77;93.9;1.2;1.2;1.0;0.8;100000
185;000000 All items;2010 April;92.08;94.2;0.3;0.3;1.1;1.0;100000
186;000000 All items;2010 May;92.04;94.15;0.0;-0.1;1.0;0.7;100000
187;000000 All items;2010 June;91.6;93.7;-0.5;-0.5;0.8;0.6;100000
188;000000 All items;2010 July;91.34;93.44;-0.3;-0.3;1.6;1.4;100000
189;000000 All items;2010 August;91.48;93.58;0.2;0.1;1.5;1.3;100000
190;000000 All items;2010 September;92.05;94.17;0.6;0.6;1.6;1.4;100000
191;000000 All items;2010 October;92.13;94.27;0.1;0.1;1.6;1.4;100000
192;000000 All items;2010 November;92.02;94.16;-0.1;-0.1;1.6;1.4;100000
193;000000 All items;2010 December;91.82;93.96;-0.2;-0.2;1.9;1.7;100000
194;000000 All items;2010;91.59;93.71;;;1.3;1.1;100000
195;000000 All items;2011 January;91.72;93.8;-0.1;-0.2;1.9;1.8;100000
196;000000 All items;2011 February;92.41;94.5;0.8;0.7;1.9;1.8;100000
197;000000 All items;2011 March;93.46;95.54;1.1;1.1;1.8;1.7;100000
198;000000 All items;2011 April;93.96;96.01;0.5;0.5;2.0;1.9;100000
199;000000 All items;2011 May;94.03;96.05;0.1;0.0;2.2;2.0;100000
200;000000 All items;2011 June;93.57;95.58;-0.5;-0.5;2.2;2.0;100000
201;000000 All items;2011 July;94.04;96.0;0.5;0.4;3.0;2.7;100000
202;000000 All items;2011 August;94.19;96.15;0.2;0.2;3.0;2.7;100000
203;000000 All items;2011 September;94.53;96.48;0.4;0.3;2.7;2.5;100000
204;000000 All items;2011 October;94.57;96.52;0.0;0.0;2.6;2.4;100000
205;000000 All items;2011 November;94.28;96.23;-0.3;-0.3;2.5;2.2;100000
206;000000 All items;2011 December;94.04;95.98;-0.3;-0.3;2.4;2.1;100000
207;000000 All items;2011;93.73;95.74;;;2.3;2.2;100000
208;000000 All items;2012 January;93.99;95.83;-0.1;-0.2;2.5;2.2;100000
209;000000 All items;2012 February;94.7;96.55;0.8;0.8;2.5;2.2;100000
210;000000 All items;2012 March;95.78;97.66;1.1;1.1;2.5;2.2;100000
211;000000 All items;2012 April;96.17;98.06;0.4;0.4;2.4;2.1;100000
212;000000 All items;2012 May;96.03;97.91;-0.1;-0.2;2.1;1.9;100000
213;000000 All items;2012 June;95.57;97.44;-0.5;-0.5;2.1;1.9;100000
214;000000 All items;2012 July;96.2;98.02;0.7;0.6;2.3;2.1;100000
215;000000 All items;2012 August;96.32;98.15;0.1;0.1;2.3;2.1;100000
216;000000 All items;2012 September;96.72;98.55;0.4;0.4;2.3;2.1;100000
217;000000 All items;2012 October;97.29;98.43;0.6;-0.1;2.9;2.0;100000
218;000000 All items;2012 November;96.89;98.03;-0.4;-0.4;2.8;1.9;100000
219;000000 All items;2012 December;96.76;97.9;-0.1;-0.1;2.9;2.0;100000
220;000000 All items;2012;96.04;97.71;;;2.5;2.1;100000
221;000000 All items;2013 January;96.78;97.35;0.0;-0.6;3.0;1.6;100000
222;000000 All items;2013 February;97.54;98.09;0.8;0.8;3.0;1.6;100000
223;000000 All items;2013 March;98.58;99.13;1.1;1.1;2.9;1.5;100000
224;000000 All items;2013 April;98.67;99.18;0.1;0.1;2.6;1.1;100000
225;000000 All items;2013 May;98.69;99.21;0.0;0.0;2.8;1.3;100000
226;000000 All items;2013 June;98.32;98.84;-0.4;-0.4;2.9;1.4;100000
227;000000 All items;2013 July;99.15;99.68;0.8;0.8;3.1;1.7;100000
228;000000 All items;2013 August;99.03;99.55;-0.1;-0.1;2.8;1.4;100000
229;000000 All items;2013 September;99.08;99.61;0.1;0.1;2.4;1.1;100000
230;000000 All items;2013 October;98.8;99.32;-0.3;-0.3;1.6;0.9;100000
231;000000 All items;2013 November;98.31;98.84;-0.5;-0.5;1.5;0.8;100000
232;000000 All items;2013 December;98.36;98.89;0.1;0.1;1.7;1.0;100000
233;000000 All items;2013;98.44;98.97;;;2.5;1.3;100000
234;000000 All items;2014 January;98.15;98.32;-0.2;-0.6;1.4;1.0;100000
235;000000 All items;2014 February;98.57;98.74;0.4;0.4;1.1;0.7;100000
236;000000 All items;2014 March;99.39;99.57;0.8;0.8;0.8;0.4;100000
237;000000 All items;2014 April;99.85;100.03;0.5;0.5;1.2;0.9;100000
238;000000 All items;2014 May;99.51;99.68;-0.3;-0.3;0.8;0.5;100000
239;000000 All items;2014 June;99.24;99.44;-0.3;-0.2;0.9;0.6;100000
240;000000 All items;2014 July;100.05;100.26;0.8;0.8;0.9;0.6;100000
241;000000 All items;2014 August;99.98;100.2;-0.1;-0.1;1.0;0.7;100000
242;000000 All items;2014 September;99.96;100.18;0.0;0.0;0.9;0.6;100000
243;000000 All items;2014 October;99.84;100.06;-0.1;-0.1;1.1;0.7;100000
244;000000 All items;2014 November;99.25;99.47;-0.6;-0.6;1.0;0.6;100000
245;000000 All items;2014 December;99.05;99.27;-0.2;-0.2;0.7;0.4;100000
246;000000 All items;2014;99.4;99.6;;;1.0;0.6;100000
247;000000 All items;2015 January;98.15;98.16;-0.9;-1.1;0.0;-0.2;100000
248;000000 All items;2015 February;98.69;98.7;0.6;0.6;0.1;0.0;100000
249;000000 All items;2015 March;99.75;99.75;1.1;1.1;0.4;0.2;100000
250;000000 All items;2015 April;100.39;100.39;0.6;0.6;0.5;0.4;100000
251;000000 All items;2015 May;100.61;100.62;0.2;0.2;1.1;0.9;100000
252;000000 All items;2015 June;100.23;100.23;-0.4;-0.4;1.0;0.8;100000
253;000000 All items;2015 July;101.0;101.0;0.8;0.8;0.9;0.7;100000
254;000000 All items;2015 August;100.69;100.68;-0.3;-0.3;0.7;0.5;100000
255;000000 All items;2015 September;100.5;100.5;-0.2;-0.2;0.5;0.3;100000
256;000000 All items;2015 October;100.41;100.4;-0.1;-0.1;0.6;0.3;100000
257;000000 All items;2015 November;99.85;99.84;-0.6;-0.6;0.6;0.4;100000
258;000000 All items;2015 December;99.73;99.72;-0.1;-0.1;0.7;0.5;100000
259;000000 All items;2015;100.0;100.0;;;0.6;0.4;100000
260;000000 All items;2016 January;98.71;98.67;-1.0;-1.1;0.6;0.5;100000
261;000000 All items;2016 February;99.3;99.25;0.6;0.6;0.6;0.6;100000
262;000000 All items;2016 March;100.31;100.26;1.0;1.0;0.6;0.5;100000
263;000000 All items;2016 April;100.4;100.32;0.1;0.1;0.0;-0.1;100000
264;000000 All items;2016 May;100.58;100.5;0.2;0.2;0.0;-0.1;100000
265;000000 All items;2016 June;100.26;100.19;-0.3;-0.3;0.0;0.0;100000
266;000000 All items;2016 July;100.76;100.68;0.5;0.5;-0.2;-0.3;100000
267;000000 All items;2016 August;100.88;100.8;0.1;0.1;0.2;0.1;100000
268;000000 All items;2016 September;100.57;100.49;-0.3;-0.3;0.1;0.0;100000
269;000000 All items;2016 October;100.83;100.76;0.3;0.3;0.4;0.4;100000
270;000000 All items;2016 November;100.49;100.43;-0.3;-0.3;0.6;0.6;100000
271;000000 All items;2016 December;100.71;100.65;0.2;0.2;1.0;0.9;100000
272;000000 All items;2016;100.32;100.25;;;0.3;0.3;100000
273;000000 All items;2017 January;100.35;100.24;-0.4;-0.4;1.7;1.6;100000
274;000000 All items;2017 February;101.09;100.98;0.7;0.7;1.8;1.7;100000
275;000000 All items;2017 March;101.44;101.34;0.3;0.4;1.1;1.1;100000
276;000000 All items;2017 April;101.98;101.88;0.5;0.5;1.6;1.6;100000
277;000000 All items;2017 May;101.65;101.54;-0.3;-0.3;1.1;1.0;100000
278;000000 All items;2017 June;101.37;101.31;-0.3;-0.2;1.1;1.1;100000
279;000000 All items;2017 July;102.11;102.05;0.7;0.7;1.3;1.4;100000
280;000000 All items;2017 August;102.27;102.21;0.2;0.2;1.4;1.4;100000
281;000000 All items;2017 September;102.03;101.97;-0.2;-0.2;1.5;1.5;100000
282;000000 All items;2017 October;102.17;102.11;0.1;0.1;1.3;1.3;100000
283;000000 All items;2017 November;102.0;101.94;-0.2;-0.2;1.5;1.5;100000
284;000000 All items;2017 December;101.97;101.9;0.0;0.0;1.3;1.2;100000
285;000000 All items;2017;101.7;101.62;;;1.4;1.4;100000
286;000000 All items;2018 January;101.82;101.51;-0.1;-0.4;1.5;1.3;100000
287;000000 All items;2018 February;102.31;102.01;0.5;0.5;1.2;1.0;100000
288;000000 All items;2018 March;102.47;102.15;0.2;0.1;1.0;0.8;100000
289;000000 All items;2018 April;103.11;102.71;0.6;0.5;1.1;0.8;100000
290;000000 All items;2018 May;103.42;102.99;0.3;0.3;1.7;1.4;100000
291;000000 All items;2018 June;103.1;102.65;-0.3;-0.3;1.7;1.3;100000
292;000000 All items;2018 July;104.28;103.82;1.1;1.1;2.1;1.7;100000
293;000000 All items;2018 August;104.4;103.91;0.1;0.1;2.1;1.7;100000
294;000000 All items;2018 September;103.95;103.47;-0.4;-0.4;1.9;1.5;100000
295;000000 All items;2018 October;104.32;103.83;0.4;0.3;2.1;1.7;100000
296;000000 All items;2018 November;104.07;103.57;-0.2;-0.3;2.0;1.6;100000
297;000000 All items;2018 December;103.97;103.47;-0.1;-0.1;2.0;1.5;100000
298;000000 All items;2018;103.44;103.01;;;1.7;1.4;100000
299;000000 All items;2019 January;104.05;102.56;0.1;-0.9;2.2;1.0;100000
300;000000 All items;2019 February;104.97;103.47;0.9;0.9;2.6;1.4;100000
301;000000 All items;2019 March;105.37;103.86;0.4;0.4;2.8;1.7;100000
302;000000 All items;2019 April;106.08;104.55;0.7;0.7;2.9;1.8;100000
303;000000 All items;2019 May;105.94;104.42;-0.1;-0.1;2.4;1.4;100000
304;000000 All items;2019 June;105.84;104.32;-0.1;-0.1;2.7;1.6;100000
305;000000 All items;2019 July;106.9;105.37;1.0;1.0;2.5;1.5;100000
306;000000 All items;2019 August;107.37;105.83;0.4;0.4;2.8;1.8;100000
307;000000 All items;2019 September;106.7;105.17;-0.6;-0.6;2.6;1.6;100000
308;000000 All items;2019 October;107.16;105.63;0.4;0.4;2.7;1.7;100000
309;000000 All items;2019 November;106.73;105.21;-0.4;-0.4;2.6;1.6;100000
310;000000 All items;2019 December;106.8;105.28;0.1;0.1;2.7;1.7;100000
311;000000 All items;2019;106.16;104.64;;;2.6;1.6;100000
312;000000 All items;2020 January;105.97;104.58;-0.8;-0.7;1.8;2.0;100000
313;000000 All items;2020 February;106.64;105.24;0.6;0.6;1.6;1.7;100000
314;000000 All items;2020 March;106.85;105.44;0.2;0.2;1.4;1.5;100000
315;000000 All items;2020 April;107.34;105.91;0.5;0.4;1.2;1.3;100000
316;000000 All items;2020 May;107.18;105.62;-0.1;-0.3;1.2;1.1;100000
317;000000 All items;2020 June;107.51;105.83;0.3;0.2;1.6;1.4;100000
318;000000 All items;2020 July;108.69;107.01;1.1;1.1;1.7;1.6;100000
319;000000 All items;2020 August;108.13;106.46;-0.5;-0.5;0.7;0.6;100000
320;000000 All items;2020 September;107.88;106.21;-0.2;-0.2;1.1;1.0;100000
321;000000 All items;2020 October;108.47;106.81;0.5;0.6;1.2;1.1;100000
322;000000 All items;2020 November;107.61;105.96;-0.8;-0.8;0.8;0.7;100000
323;000000 All items;2020 December;107.85;106.19;0.2;0.2;1.0;0.9;100000
324;000000 All items;2020;107.51;105.94;;;1.3;1.2;100000
325;000000 All items;2021 January;107.62;105.85;-0.2;-0.3;1.6;1.2;100000
326;000000 All items;2021 February;108.57;106.77;0.9;0.9;1.8;1.5;100000
327;000000 All items;2021 March;108.87;107.05;0.3;0.3;1.9;1.5;100000
328;000000 All items;2021 April;109.36;107.53;0.5;0.4;1.9;1.5;100000
329;000000 All items;2021 May;109.46;107.63;0.1;0.1;2.1;1.9;100000
330;000000 All items;2021 June;109.67;107.84;0.2;0.2;2.0;1.9;100000
331;000000 All items;2021 July;110.23;108.39;0.5;0.5;1.4;1.3;100000
332;000000 All items;2021 August;110.71;108.87;0.4;0.4;2.4;2.3;100000
333;000000 All items;2021 September;110.79;108.94;0.1;0.1;2.7;2.6;100000
334;000000 All items;2021 October;112.18;110.31;1.3;1.3;3.4;3.3;100000
335;000000 All items;2021 November;113.17;111.29;0.9;0.9;5.2;5.0;100000
336;000000 All items;2021 December;114.01;112.12;0.7;0.7;5.7;5.6;100000
337;000000 All items;2021;110.39;108.55;;;2.7;2.5;100000
338;000000 All items;2022 January;114.53;113.64;0.5;1.4;6.4;7.4;100000
339;000000 All items;2022 February;115.27;114.37;0.6;0.6;6.2;7.1;100000
340;000000 All items;2022 March;119.46;118.49;3.6;3.6;9.7;10.7;100000
341;000000 All items;2022 April;119.81;119.21;0.3;0.6;9.6;10.9;100000
342;000000 All items;2022 May;119.05;118.46;-0.6;-0.6;8.8;10.1;100000
343;000000 All items;2022 June;119.05;118.47;0.0;0.0;8.6;9.9;100000
344;000000 All items;2022 July;121.57;121.88;2.1;2.9;10.3;12.4;100000
