ID;Voertuigsoort;KenmerkenVrachtautoSEnTrekkers;BedrijfstakkenBranchesSBI2008;Perioden;AantalVoertuigenInGebruik_1;KilometersNederlandseVoertuigen_2;GemiddeldJaarkilometrage_3
120;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;L Verhuur en handel van onroerend goed;2009;120.0;10.6;87996.0
121;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;L Verhuur en handel van onroerend goed;2010;100.0;8.0;78720.0
122;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;L Verhuur en handel van onroerend goed;2011;120.0;9.8;80862.0
123;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;M-N Zakelijke dienstverlening;2009;3320.0;147.7;44547.0
124;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;M-N Zakelijke dienstverlening;2010;2930.0;143.0;48760.0
125;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;M-N Zakelijke dienstverlening;2011;2500.0;118.7;47484.0
126;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;M Specialistische zakelijke diensten;2009;770.0;41.0;53255.0
127;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;M Specialistische zakelijke diensten;2010;640.0;31.0;48333.0
128;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;M Specialistische zakelijke diensten;2011;540.0;24.4;45653.0
129;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;N Verhuur en overige zakelijke diensten;2009;2550.0;106.7;41914.0
130;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;N Verhuur en overige zakelijke diensten;2010;2290.0;112.0;48880.0
131;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;N Verhuur en overige zakelijke diensten;2011;1970.0;94.3;47982.0
132;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;O-Q Overheid en zorg;2009;670.0;16.8;25219.0
133;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;O-Q Overheid en zorg;2010;680.0;14.3;21029.0
134;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;O-Q Overheid en zorg;2011;750.0;13.6;18186.0
135;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;O Openbaar bestuur en overheidsdiensten;2009;360.0;6.0;16815.0
136;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;O Openbaar bestuur en overheidsdiensten;2010;420.0;6.8;16106.0
137;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;O Openbaar bestuur en overheidsdiensten;2011;510.0;7.0;13877.0
138;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;P Onderwijs;2009;180.0;5.7;31057.0
139;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;P Onderwijs;2010;160.0;4.7;29817.0
140;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;P Onderwijs;2011;160.0;4.2;26000.0
141;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;Q Gezondheids- en welzijnszorg;2009;130.0;5.1;40498.0
142;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;Q Gezondheids- en welzijnszorg;2010;100.0;2.8;27851.0
143;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;Q Gezondheids- en welzijnszorg;2011;80.0;2.4;29615.0
144;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;R-U Cultuur, recreatie, overige diensten;2009;670.0;27.3;40549.0
145;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;R-U Cultuur, recreatie, overige diensten;2010;650.0;28.1;43152.0
146;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;R-U Cultuur, recreatie, overige diensten;2011;650.0;27.1;41968.0
147;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;R Cultuur, sport en recreatie;2009;240.0;7.3;29900.0
148;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;R Cultuur, sport en recreatie;2010;250.0;7.8;31305.0
149;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;R Cultuur, sport en recreatie;2011;210.0;6.3;29705.0
150;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;S Overige dienstverlening;2009;430.0;20.0;46606.0
151;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;S Overige dienstverlening;2010;400.0;20.4;50425.0
152;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;S Overige dienstverlening;2011;430.0;20.7;48015.0
153;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;SBI-code onbekend;2009;0.0;0.0;0.0
154;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;SBI-code onbekend;2010;0.0;0.0;0.0
155;Vrachtauto's en trekkers;Leeftijd: jonger dan 4 jaar;SBI-code onbekend;2011;0.0;0.0;0.0
156;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;A-U Alle economische activiteiten;2009;64270.0;4228.9;65803.0
157;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;A-U Alle economische activiteiten;2010;67040.0;4717.3;70371.0
158;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;A-U Alle economische activiteiten;2011;67880.0;4983.5;73421.0
159;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;A Landbouw, bosbouw en visserij;2009;1580.0;68.8;43670.0
160;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;A Landbouw, bosbouw en visserij;2010;1680.0;78.9;47050.0
161;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;A Landbouw, bosbouw en visserij;2011;1660.0;79.1;47567.0
162;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;B-E Nijverheid (geen bouw) en energie;2009;4970.0;230.2;46346.0
163;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;B-E Nijverheid (geen bouw) en energie;2010;4750.0;222.5;46794.0
164;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;B-E Nijverheid (geen bouw) en energie;2011;4670.0;225.2;48223.0
165;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;B Delfstoffenwinning;2009;60.0;2.2;39594.0
166;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;B Delfstoffenwinning;2010;60.0;2.8;43857.0
167;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;B Delfstoffenwinning;2011;60.0;2.2;39492.0
168;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;C Industrie;2009;3170.0;146.2;46046.0
169;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;C Industrie;2010;3000.0;140.9;47018.0
170;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;C Industrie;2011;3140.0;148.3;47197.0
171;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;D Energievoorziening;2009;30.0;0.5;19450.0
172;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;D Energievoorziening;2010;50.0;1.3;27586.0
173;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;D Energievoorziening;2011;50.0;1.4;28033.0
174;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;E Waterbedrijven en afvalbeheer;2009;1710.0;81.4;47529.0
175;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;E Waterbedrijven en afvalbeheer;2010;1650.0;77.5;47062.0
176;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;E Waterbedrijven en afvalbeheer;2011;1420.0;73.3;51559.0
177;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;F Bouwnijverheid;2009;3400.0;112.1;32989.0
178;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;F Bouwnijverheid;2010;3370.0;111.4;33041.0
179;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;F Bouwnijverheid;2011;3330.0;112.5;33805.0
180;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;G-I Handel, vervoer en horeca;2009;48590.0;3586.4;73817.0
181;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;G-I Handel, vervoer en horeca;2010;51530.0;4064.5;78870.0
182;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;G-I Handel, vervoer en horeca;2011;52330.0;4314.4;82448.0
183;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;G Handel;2009;15460.0;844.1;54594.0
184;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;G Handel;2010;14780.0;760.3;51427.0
185;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;G Handel;2011;13750.0;733.2;53334.0
186;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;H Vervoer en opslag;2009;32960.0;2737.9;83058.0
187;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;H Vervoer en opslag;2010;36580.0;3299.4;90191.0
188;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;H Vervoer en opslag;2011;38420.0;3577.3;93112.0
189;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;I Horeca;2009;160.0;4.3;27315.0
190;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;I Horeca;2010;170.0;4.8;28715.0
191;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;I Horeca;2011;160.0;3.9;24259.0
192;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;J Informatie en communicatie;2009;60.0;1.1;18164.0
193;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;J Informatie en communicatie;2010;100.0;3.4;35379.0
194;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;J Informatie en communicatie;2011;80.0;2.2;28697.0
195;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;K Financiële dienstverlening;2009;660.0;40.0;61014.0
196;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;K Financiële dienstverlening;2010;620.0;41.2;66640.0
197;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;K Financiële dienstverlening;2011;610.0;41.3;67396.0
198;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;L Verhuur en handel van onroerend goed;2009;190.0;10.6;54463.0
199;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;L Verhuur en handel van onroerend goed;2010;190.0;10.8;56481.0
200;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;L Verhuur en handel van onroerend goed;2011;200.0;11.5;58758.0
201;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;M-N Zakelijke dienstverlening;2009;3220.0;135.4;42129.0
202;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;M-N Zakelijke dienstverlening;2010;3130.0;137.5;43947.0
203;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;M-N Zakelijke dienstverlening;2011;3300.0;145.5;44138.0
204;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;M Specialistische zakelijke diensten;2009;940.0;41.9;44808.0
205;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;M Specialistische zakelijke diensten;2010;820.0;37.3;45611.0
206;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;M Specialistische zakelijke diensten;2011;800.0;37.9;47608.0
207;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;N Verhuur en overige zakelijke diensten;2009;2280.0;93.5;41029.0
208;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;N Verhuur en overige zakelijke diensten;2010;2310.0;100.2;43359.0
209;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;N Verhuur en overige zakelijke diensten;2011;2500.0;107.5;43031.0
210;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;O-Q Overheid en zorg;2009;840.0;16.9;20116.0
211;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;O-Q Overheid en zorg;2010;810.0;16.1;19866.0
212;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;O-Q Overheid en zorg;2011;830.0;17.1;20687.0
213;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;O Openbaar bestuur en overheidsdiensten;2009;500.0;8.0;15985.0
214;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;O Openbaar bestuur en overheidsdiensten;2010;520.0;8.7;16722.0
215;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;O Openbaar bestuur en overheidsdiensten;2011;540.0;8.2;15191.0
216;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;P Onderwijs;2009;220.0;5.9;26731.0
217;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;P Onderwijs;2010;190.0;5.0;25842.0
218;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;P Onderwijs;2011;190.0;5.8;31079.0
219;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;Q Gezondheids- en welzijnszorg;2009;120.0;3.0;25333.0
220;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;Q Gezondheids- en welzijnszorg;2010;90.0;2.3;24992.0
221;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;Q Gezondheids- en welzijnszorg;2011;100.0;3.1;30770.0
222;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;R-U Cultuur, recreatie, overige diensten;2009;770.0;27.4;35397.0
223;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;R-U Cultuur, recreatie, overige diensten;2010;850.0;31.1;36376.0
224;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;R-U Cultuur, recreatie, overige diensten;2011;880.0;34.8;39462.0
225;Vrachtauto's en trekkers;Leeftijd: 4 tot 10 jaar;R Cultuur, sport en recreatie;2009;350.0;8.7;25034.0
