ID;EnterprisesByActivitySIC93;Periods;RealisationIncreased_1;RealisationRemainedTheSame_2;RealisationDecreased_3;RealisationBalance_4;ForecastIncrease_5;ForecastRemainTheSame_6;ForecastDecrease_7;ForecastBalance_8;CapacityUtilisation_9;CapacityTooLarge_10;CapacitySatisfactory_11;CapacityTooSmall_12;CapacityBalance_13;NoObstaclesToProduction_14;ObstaclesBecauseOfInsufficientDemand_15;ObstaclesBecauseOfLabourShortage_16;ObstaclesTechnCapAndOrMaterials_17;OtherObstacles_18;OrdersReceivedIncreased_19;OrdersReceivedRemainedTheSame_20;OrdersReceivedDecreased_21;OrdersReceivedBalance_22;DomesticOrdersIncreased_23;DomesticOrdersRemainedTheSame_24;DomesticOrdersDecreased_25;DomesticOrdersBalance_26;ForeignOrdersIncreased_27;ForeignOrdersRemainedTheSame_28;ForeignOrdersDecreased_29;ForeignOrdersBalance_30;OrdersReceivedLarge_31;OrdersReceivedNormal_32;OrdersReceivedSmall_33;OrdersReceivedBalance_34;Index_35;OrderPositionLarge_36;OrderPositionNormal_37;OrderPositionSmall_38;OrderPositionBalance_39;ForeignOrderPositionLarge_40;ForeignOrderPositionNormal_41;ForeignOrderPositionSmall_42;ForeignOrderPositionBalance_43;SalesPricesRise_44;SalesPricesRemainTheSame_45;SalesPricesFall_46;SalesPricesBalance_47;StocksFinalProductsTooLarge_48;StocksFinalProductsSufficient_49;StocksFinalProductsTooSmall_50;StocksFinalProductsBalance_51;CompetitivePositionImproved_52;CompetitivePositionRemainedTheSame_53;CompetitivePositionDeclined_54;CompetitivePositionBalance_55;CompetitivePositionImproved_56;CompetitivePositionRemainedTheSame_57;CompetitivePositionDeclined_58;CompetitivePositionBalance_59;CompetitivePositionImproved_60;CompetitivePositionRemainedTheSame_61;CompetitivePositionDeclined_62;CompetitivePositionBalance_63;ForeignSalesIncrease_64;ForeignSalesRemainTheSame_65;ForeignSalesDecrease_66;ForeignSalesBalance_67;NumberOfEmployeesIncrease_68;NumberOfEmployeesRemainTheSame_69;NumberOfEmployeesDecrease_70;Balance_71;RealisationProduction_72;ForecastProduction_73;OpinionOnProductionCapacity_74;TotalOrdersReceived_75;DomesticOrders_76;ForeignOrders_77;OpinionOnOrdersReceived_78;TotalOrderPosition_79;ForeignOrderPosition_80;SalesPrices_81;StocksFinalProducts_82;DutchMarket_83;InsideTheEU_84;OutsideTheEU_85;ForeignSales_86;NumberOfEmployees_87
755;Sector non-durable consumer goods;2006 July;19.0;68.0;13.0;6.0;13.0;77.0;10.0;3.0;83.4;7.0;89.0;4.0;3.0;89.0;5.0;1.0;1.0;4.0;18.0;70.0;12.0;6.0;15.0;73.0;12.0;3.0;21.0;68.0;11.0;10.0;9.0;84.0;7.0;2.0;100.8;8.0;86.0;6.0;2.0;13.0;79.0;5.0;8.0;6.0;86.0;8.0;-2.0;7.0;88.0;5.0;2.0;15.0;80.0;5.0;10.0;11.0;88.0;1.0;10.0;24.0;74.0;2.0;22.0;19.0;75.0;6.0;13.0;5.0;81.0;14.0;-9.0;6.0;3.0;3.0;6.0;3.0;10.0;2.0;2.0;8.0;-2.0;2.0;10.0;10.0;22.0;13.0;-9.0
756;Sector non-durable consumer goods;2006 August;22.0;56.0;22.0;0.0;23.0;72.0;5.0;18.0;;;;;;;;;;;18.0;68.0;14.0;4.0;22.0;63.0;15.0;7.0;14.0;76.0;10.0;4.0;10.0;79.0;11.0;-1.0;100.3;8.0;83.0;9.0;-1.0;9.0;79.0;9.0;0.0;8.0;89.0;3.0;5.0;7.0;86.0;7.0;0.0;;;;;;;;;;;;;;;;;4.0;86.0;10.0;-6.0;0.0;18.0;;4.0;7.0;4.0;-1.0;-1.0;0.0;5.0;0.0;;;;;-6.0
757;Sector non-durable consumer goods;2006 September;26.0;59.0;15.0;11.0;39.0;54.0;7.0;32.0;;;;;;;;;;;30.0;59.0;11.0;19.0;30.0;55.0;15.0;15.0;27.0;66.0;7.0;20.0;11.0;78.0;11.0;0.0;101.1;9.0;82.0;9.0;0.0;12.0;78.0;7.0;5.0;10.0;83.0;7.0;3.0;6.0;89.0;5.0;1.0;;;;;;;;;;;;;;;;;10.0;77.0;13.0;-3.0;11.0;32.0;;19.0;15.0;20.0;0.0;0.0;5.0;3.0;1.0;;;;;-3.0
758;Sector non-durable consumer goods;2006 October;38.0;53.0;9.0;29.0;36.0;60.0;4.0;32.0;84.5;5.0;90.0;5.0;0.0;87.0;5.0;2.0;3.0;3.0;27.0;68.0;5.0;22.0;30.0;62.0;8.0;22.0;23.0;72.0;5.0;18.0;8.0;85.0;7.0;1.0;102.0;4.0;90.0;6.0;-2.0;9.0;81.0;7.0;2.0;10.0;83.0;7.0;3.0;7.0;86.0;7.0;0.0;11.0;85.0;4.0;7.0;9.0;90.0;1.0;8.0;7.0;89.0;4.0;3.0;19.0;78.0;3.0;16.0;7.0;81.0;12.0;-5.0;29.0;32.0;0.0;22.0;22.0;18.0;1.0;-2.0;2.0;3.0;0.0;7.0;8.0;3.0;16.0;-5.0
759;Sector non-durable consumer goods;2006 November;23.0;69.0;8.0;15.0;23.0;70.0;7.0;16.0;;;;;;;;;;;19.0;71.0;10.0;9.0;24.0;61.0;15.0;9.0;14.0;79.0;7.0;7.0;8.0;85.0;7.0;1.0;101.8;4.0;91.0;5.0;-1.0;10.0;82.0;5.0;5.0;15.0;81.0;4.0;11.0;5.0;89.0;6.0;-1.0;;;;;;;;;;;;;;;;;10.0;79.0;11.0;-1.0;15.0;16.0;;9.0;9.0;7.0;1.0;-1.0;5.0;11.0;-1.0;;;;;-1.0
760;Sector non-durable consumer goods;2006 December;19.0;71.0;10.0;9.0;11.0;71.0;18.0;-7.0;;;;;;;;;;;15.0;78.0;7.0;8.0;16.0;76.0;8.0;8.0;13.0;82.0;5.0;8.0;8.0;85.0;7.0;1.0;103.4;5.0;88.0;7.0;-2.0;10.0;81.0;6.0;4.0;18.0;68.0;14.0;4.0;4.0;91.0;5.0;-1.0;;;;;;;;;;;;;;;;;11.0;75.0;14.0;-3.0;9.0;-7.0;;8.0;8.0;8.0;1.0;-2.0;4.0;4.0;-1.0;;;;;-3.0
761;Sector non-durable consumer goods;2007 January;15.0;72.0;13.0;2.0;13.0;69.0;18.0;-5.0;83.5;6.0;91.0;3.0;3.0;81.0;5.0;1.0;7.0;6.0;18.0;69.0;13.0;5.0;21.0;69.0;10.0;11.0;12.0;76.0;12.0;0.0;11.0;82.0;7.0;4.0;103.3;4.0;87.0;9.0;-5.0;9.0;80.0;8.0;1.0;23.0;63.0;14.0;9.0;4.0;90.0;6.0;-2.0;17.0;81.0;2.0;15.0;6.0;93.0;1.0;5.0;6.0;93.0;1.0;5.0;9.0;83.0;8.0;1.0;15.0;66.0;19.0;-4.0;2.0;-5.0;3.0;5.0;11.0;0.0;4.0;-5.0;1.0;9.0;-2.0;15.0;5.0;5.0;1.0;-4.0
762;Sector non-durable consumer goods;2007 February;14.0;66.0;20.0;-6.0;20.0;71.0;9.0;11.0;;;;;;;;;;;20.0;58.0;22.0;-2.0;18.0;59.0;23.0;-5.0;14.0;71.0;15.0;-1.0;11.0;78.0;11.0;0.0;105.5;4.0;87.0;9.0;-5.0;9.0;81.0;7.0;2.0;15.0;66.0;19.0;-4.0;4.0;89.0;7.0;-3.0;;;;;;;;;;;;;;;;;8.0;73.0;19.0;-11.0;-6.0;11.0;;-2.0;-5.0;-1.0;0.0;-5.0;2.0;-4.0;-3.0;;;;;-11.0
763;Sector non-durable consumer goods;2007 March;14.0;65.0;21.0;-7.0;28.0;66.0;6.0;22.0;;;;;;;;;;;14.0;73.0;13.0;1.0;14.0;73.0;13.0;1.0;10.0;77.0;13.0;-3.0;6.0;82.0;12.0;-6.0;103.5;4.0;82.0;14.0;-10.0;7.0;86.0;4.0;3.0;11.0;75.0;14.0;-3.0;4.0;91.0;5.0;-1.0;;;;;;;;;;;;;;;;;13.0;70.0;17.0;-4.0;-7.0;22.0;;1.0;1.0;-3.0;-6.0;-10.0;3.0;-3.0;-1.0;;;;;-4.0
764;Sector non-durable consumer goods;2007 April;30.0;60.0;10.0;20.0;23.0;70.0;7.0;16.0;83.0;5.0;91.0;4.0;1.0;75.0;5.0;3.0;8.0;9.0;17.0;75.0;8.0;9.0;19.0;73.0;8.0;11.0;12.0;81.0;7.0;5.0;6.0;83.0;11.0;-5.0;107.4;5.0;86.0;9.0;-4.0;6.0;87.0;4.0;2.0;8.0;89.0;3.0;5.0;6.0;90.0;4.0;2.0;21.0;76.0;3.0;18.0;14.0;83.0;3.0;11.0;4.0;93.0;3.0;1.0;12.0;80.0;8.0;4.0;12.0;76.0;12.0;0.0;20.0;16.0;1.0;9.0;11.0;5.0;-5.0;-4.0;2.0;5.0;2.0;18.0;11.0;1.0;4.0;0.0
765;Sector non-durable consumer goods;2007 May;16.0;72.0;12.0;4.0;21.0;70.0;9.0;12.0;;;;;;;;;;;17.0;72.0;11.0;6.0;21.0;68.0;11.0;10.0;8.0;81.0;11.0;-3.0;10.0;83.0;7.0;3.0;108.1;5.0;89.0;6.0;-1.0;4.0;87.0;5.0;-1.0;10.0;85.0;5.0;5.0;5.0;90.0;5.0;0.0;;;;;;;;;;;;;;;;;13.0;74.0;13.0;0.0;4.0;12.0;;6.0;10.0;-3.0;3.0;-1.0;-1.0;5.0;0.0;;;;;0.0
766;Sector non-durable consumer goods;2007 June;20.0;61.0;19.0;1.0;17.0;66.0;17.0;0.0;;;;;;;;;;;15.0;73.0;12.0;3.0;21.0;64.0;15.0;6.0;10.0;80.0;10.0;0.0;7.0;84.0;9.0;-2.0;106.2;6.0;88.0;6.0;0.0;5.0;87.0;4.0;1.0;10.0;88.0;2.0;8.0;4.0;89.0;7.0;-3.0;;;;;;;;;;;;;;;;;10.0;72.0;18.0;-8.0;1.0;0.0;;3.0;6.0;0.0;-2.0;0.0;1.0;8.0;-3.0;;;;;-8.0
767;Sector non-durable consumer goods;2007 July;21.0;58.0;21.0;0.0;16.0;70.0;14.0;2.0;82.5;6.0;91.0;3.0;3.0;81.0;4.0;6.0;5.0;4.0;17.0;69.0;14.0;3.0;19.0;64.0;17.0;2.0;12.0;79.0;9.0;3.0;5.0;88.0;7.0;-2.0;106.7;3.0;90.0;7.0;-4.0;4.0;85.0;7.0;-3.0;12.0;83.0;5.0;7.0;4.0;91.0;5.0;-1.0;10.0;88.0;2.0;8.0;12.0;87.0;1.0;11.0;11.0;88.0;1.0;10.0;15.0;75.0;10.0;5.0;12.0;78.0;10.0;2.0;0.0;2.0;3.0;3.0;2.0;3.0;-2.0;-4.0;-3.0;7.0;-1.0;8.0;11.0;10.0;5.0;2.0
768;Sector non-durable consumer goods;2007 August;15.0;63.0;22.0;-7.0;19.0;72.0;9.0;10.0;;;;;;;;;;;19.0;68.0;13.0;6.0;22.0;61.0;17.0;5.0;14.0;79.0;7.0;7.0;8.0;85.0;7.0;1.0;106.7;3.0;91.0;6.0;-3.0;5.0;86.0;5.0;0.0;13.0;85.0;2.0;11.0;6.0;90.0;4.0;2.0;;;;;;;;;;;;;;;;;15.0;75.0;10.0;5.0;-7.0;10.0;;6.0;5.0;7.0;1.0;-3.0;0.0;11.0;2.0;;;;;5.0
769;Sector non-durable consumer goods;2007 September;21.0;68.0;11.0;10.0;35.0;59.0;6.0;29.0;;;;;;;;;;;20.0;67.0;13.0;7.0;24.0;63.0;13.0;11.0;13.0;75.0;12.0;1.0;7.0;86.0;7.0;0.0;105.9;6.0;90.0;4.0;2.0;4.0;88.0;4.0;0.0;16.0;78.0;6.0;10.0;5.0;89.0;6.0;-1.0;;;;;;;;;;;;;;;;;12.0;73.0;15.0;-3.0;10.0;29.0;;7.0;11.0;1.0;0.0;2.0;0.0;10.0;-1.0;;;;;-3.0
770;Sector non-durable consumer goods;2007 October;38.0;49.0;13.0;25.0;30.0;66.0;4.0;26.0;85.5;7.0;90.0;3.0;4.0;78.0;3.0;4.0;9.0;6.0;30.0;60.0;10.0;20.0;31.0;59.0;10.0;21.0;27.0;61.0;12.0;15.0;10.0;83.0;7.0;3.0;113.4;10.0;86.0;4.0;6.0;10.0;82.0;5.0;5.0;14.0;84.0;2.0;12.0;6.0;90.0;4.0;2.0;8.0;89.0;3.0;5.0;5.0;94.0;1.0;4.0;4.0;94.0;2.0;2.0;25.0;68.0;7.0;18.0;13.0;75.0;12.0;1.0;25.0;26.0;4.0;20.0;21.0;15.0;3.0;6.0;5.0;12.0;2.0;5.0;4.0;2.0;18.0;1.0
771;Sector non-durable consumer goods;2007 November;38.0;56.0;6.0;32.0;28.0;59.0;13.0;15.0;;;;;;;;;;;31.0;60.0;9.0;22.0;26.0;66.0;8.0;18.0;32.0;61.0;7.0;25.0;10.0;86.0;4.0;6.0;112.2;9.0;87.0;4.0;5.0;15.0;76.0;6.0;9.0;20.0;69.0;11.0;9.0;5.0;91.0;4.0;1.0;;;;;;;;;;;;;;;;;8.0;80.0;12.0;-4.0;32.0;15.0;;22.0;18.0;25.0;6.0;5.0;9.0;9.0;1.0;;;;;-4.0
772;Sector non-durable consumer goods;2007 December;24.0;69.0;7.0;17.0;16.0;59.0;25.0;-9.0;;;;;;;;;;;26.0;56.0;18.0;8.0;25.0;56.0;19.0;6.0;27.0;58.0;15.0;12.0;8.0;86.0;6.0;2.0;107.6;10.0;84.0;6.0;4.0;14.0;78.0;5.0;9.0;19.0;66.0;15.0;4.0;5.0;89.0;6.0;-1.0;;;;;;;;;;;;;;;;;10.0;74.0;16.0;-6.0;17.0;-9.0;;8.0;6.0;12.0;2.0;4.0;9.0;4.0;-1.0;;;;;-6.0
773;Sector non-durable consumer goods;2008 January;10.0;78.0;12.0;-2.0;23.0;69.0;8.0;15.0;83.7;7.0;89.0;4.0;3.0;73.0;3.0;13.0;6.0;5.0;17.0;72.0;11.0;6.0;13.0;79.0;8.0;5.0;23.0;68.0;9.0;14.0;11.0;79.0;10.0;1.0;110.2;8.0;83.0;9.0;-1.0;14.0;75.0;8.0;6.0;30.0;67.0;3.0;27.0;7.0;89.0;4.0;3.0;10.0;88.0;2.0;8.0;16.0;82.0;2.0;14.0;3.0;94.0;3.0;0.0;19.0;74.0;7.0;12.0;10.0;80.0;10.0;0.0;-2.0;15.0;3.0;6.0;5.0;14.0;1.0;-1.0;6.0;27.0;3.0;8.0;14.0;0.0;12.0;0.0
774;Sector non-durable consumer goods;2008 February;10.0;69.0;21.0;-11.0;33.0;59.0;8.0;25.0;;;;;;;;;;;23.0;63.0;14.0;9.0;23.0;62.0;15.0;8.0;20.0;69.0;11.0;9.0;7.0;81.0;12.0;-5.0;111.5;6.0;81.0;13.0;-7.0;11.0;76.0;10.0;1.0;17.0;69.0;14.0;3.0;7.0;88.0;5.0;2.0;;;;;;;;;;;;;;;;;9.0;80.0;11.0;-2.0;-11.0;25.0;;9.0;8.0;9.0;-5.0;-7.0;1.0;3.0;2.0;;;;;-2.0
775;Sector non-durable consumer goods;2008 March;27.0;56.0;17.0;10.0;26.0;63.0;11.0;15.0;;;;;;;;;;;21.0;62.0;17.0;4.0;19.0;61.0;20.0;-1.0;26.0;61.0;13.0;13.0;6.0;84.0;10.0;-4.0;112.7;6.0;85.0;9.0;-3.0;8.0;80.0;9.0;-1.0;14.0;77.0;9.0;5.0;13.0;84.0;3.0;10.0;;;;;;;;;;;;;;;;;10.0;77.0;13.0;-3.0;10.0;15.0;;4.0;-1.0;13.0;-4.0;-3.0;-1.0;5.0;10.0;;;;;-3.0
776;Sector non-durable consumer goods;2008 April;26.0;68.0;6.0;20.0;15.0;74.0;11.0;4.0;83.6;8.0;90.0;2.0;6.0;71.0;11.0;8.0;6.0;4.0;17.0;70.0;13.0;4.0;17.0;64.0;19.0;-2.0;24.0;63.0;13.0;11.0;6.0;89.0;5.0;1.0;110.3;7.0;86.0;7.0;0.0;10.0;79.0;8.0;2.0;6.0;89.0;5.0;1.0;9.0;88.0;3.0;6.0;7.0;90.0;3.0;4.0;3.0;93.0;4.0;-1.0;3.0;88.0;9.0;-6.0;27.0;64.0;9.0;18.0;10.0;82.0;8.0;2.0;20.0;4.0;6.0;4.0;-2.0;11.0;1.0;0.0;2.0;1.0;6.0;4.0;-1.0;-6.0;18.0;2.0
777;Sector non-durable consumer goods;2008 May;15.0;78.0;7.0;8.0;20.0;66.0;14.0;6.0;;;;;;;;;;;11.0;75.0;14.0;-3.0;17.0;59.0;24.0;-7.0;12.0;74.0;14.0;-2.0;7.0;88.0;5.0;2.0;109.9;7.0;87.0;6.0;1.0;7.0;83.0;7.0;0.0;6.0;91.0;3.0;3.0;9.0;88.0;3.0;6.0;;;;;;;;;;;;;;;;;11.0;78.0;11.0;0.0;8.0;6.0;;-3.0;-7.0;-2.0;2.0;1.0;0.0;3.0;6.0;;;;;0.0
778;Sector non-durable consumer goods;2008 June;19.0;65.0;16.0;3.0;18.0;68.0;14.0;4.0;;;;;;;;;;;24.0;61.0;15.0;9.0;22.0;66.0;12.0;10.0;21.0;62.0;17.0;4.0;7.0;84.0;9.0;-2.0;109.4;4.0;87.0;9.0;-5.0;1.0;85.0;11.0;-10.0;10.0;87.0;3.0;7.0;8.0;89.0;3.0;5.0;;;;;;;;;;;;;;;;;6.0;82.0;12.0;-6.0;3.0;4.0;;9.0;10.0;4.0;-2.0;-5.0;-10.0;7.0;5.0;;;;;-6.0
779;Sector non-durable consumer goods;2008 July;19.0;66.0;15.0;4.0;13.0;64.0;23.0;-10.0;83.4;6.0;89.0;5.0;1.0;68.0;10.0;10.0;6.0;6.0;16.0;66.0;18.0;-2.0;17.0;60.0;23.0;-6.0;16.0;72.0;12.0;4.0;4.0;86.0;10.0;-6.0;110.4;4.0;88.0;8.0;-4.0;3.0;85.0;9.0;-6.0;17.0;69.0;14.0;3.0;9.0;88.0;3.0;6.0;7.0;89.0;4.0;3.0;4.0;87.0;9.0;-5.0;1.0;97.0;2.0;-1.0;22.0;69.0;9.0;13.0;7.0;82.0;11.0;-4.0;4.0;-10.0;1.0;-2.0;-6.0;4.0;-6.0;-4.0;-6.0;3.0;6.0;3.0;-5.0;-1.0;13.0;-4.0
780;Sector non-durable consumer goods;2008 August;5.0;68.0;27.0;-22.0;28.0;65.0;7.0;21.0;;;;;;;;;;;15.0;67.0;18.0;-3.0;18.0;61.0;21.0;-3.0;14.0;67.0;19.0;-5.0;3.0;87.0;10.0;-7.0;108.8;3.0;88.0;9.0;-6.0;2.0;81.0;12.0;-10.0;8.0;81.0;11.0;-3.0;9.0;86.0;5.0;4.0;;;;;;;;;;;;;;;;;11.0;75.0;14.0;-3.0;-22.0;21.0;;-3.0;-3.0;-5.0;-7.0;-6.0;-10.0;-3.0;4.0;;;;;-3.0
781;Sector non-durable consumer goods;2008 September;9.0;76.0;15.0;-6.0;22.0;67.0;11.0;11.0;;;;;;;;;;;11.0;72.0;17.0;-6.0;14.0;65.0;21.0;-7.0;10.0;78.0;12.0;-2.0;1.0;87.0;12.0;-11.0;105.9;2.0;90.0;8.0;-6.0;1.0;88.0;10.0;-9.0;16.0;80.0;4.0;12.0;7.0;90.0;3.0;4.0;;;;;;;;;;;;;;;;;8.0;80.0;12.0;-4.0;-6.0;11.0;;-6.0;-7.0;-2.0;-11.0;-6.0;-9.0;12.0;4.0;;;;;-4.0
782;Sector non-durable consumer goods;2008 October;19.0;62.0;19.0;0.0;30.0;59.0;11.0;19.0;82.8;8.0;88.0;4.0;4.0;64.0;13.0;9.0;5.0;9.0;13.0;69.0;18.0;-5.0;;;;;;;;;;;;;109.1;3.0;85.0;12.0;-9.0;3.0;88.0;8.0;-5.0;7.0;85.0;8.0;-1.0;9.0;89.0;2.0;7.0;6.0;90.0;4.0;2.0;1.0;94.0;5.0;-4.0;1.0;96.0;3.0;-2.0;13.0;79.0;8.0;5.0;7.0;82.0;11.0;-4.0;0.0;19.0;4.0;-5.0;;;;-9.0;-5.0;-1.0;7.0;2.0;-4.0;-2.0;5.0;-4.0
783;Sector non-durable consumer goods;2008 November;12.0;75.0;13.0;-1.0;30.0;58.0;12.0;18.0;;;;;;;;;;;12.0;73.0;15.0;-3.0;;;;;;;;;;;;;106.2;2.0;84.0;14.0;-12.0;1.0;93.0;13.0;-12.0;12.0;79.0;9.0;3.0;9.0;89.0;2.0;7.0;;;;;;;;;;;;;;;;;6.0;79.0;15.0;-9.0;-1.0;18.0;;-3.0;;;;-12.0;-12.0;3.0;7.0;;;;;-9.0
784;Sector non-durable consumer goods;2008 December;15.0;59.0;26.0;-11.0;6.0;59.0;35.0;-29.0;;;;;;;;;;;12.0;64.0;24.0;-12.0;;;;;;;;;;;;;102.9;2.0;75.0;23.0;-21.0;2.0;90.0;15.0;-13.0;12.0;75.0;13.0;-1.0;11.0;86.0;3.0;8.0;;;;;;;;;;;;;;;;;3.0;72.0;25.0;-22.0;-11.0;-29.0;;-12.0;;;;-21.0;-13.0;-1.0;8.0;;;;;-22.0
785;Sector non-durable consumer goods;2009 January;15.0;66.0;19.0;-4.0;7.0;51.0;42.0;-35.0;81.3;14.0;83.0;3.0;11.0;70.0;22.0;3.0;1.0;4.0;10.0;69.0;21.0;-11.0;;;;;;;;;;;;;99.8;1.0;75.0;24.0;-23.0;1.0;87.0;19.0;-18.0;14.0;72.0;14.0;0.0;8.0;88.0;4.0;4.0;5.0;89.0;6.0;-1.0;2.0;93.0;5.0;-3.0;0.0;94.0;6.0;-6.0;5.0;66.0;29.0;-24.0;9.0;71.0;20.0;-11.0;-4.0;-35.0;11.0;-11.0;;;;-23.0;-18.0;0.0;4.0;-1.0;-3.0;-6.0;-24.0;-11.0
786;Sector non-durable consumer goods;2009 February;9.0;69.0;22.0;-13.0;9.0;65.0;26.0;-17.0;;;;;;;;;;;10.0;65.0;25.0;-15.0;;;;;;;;;;;;;102.6;1.0;74.0;25.0;-24.0;2.0;85.0;18.0;-16.0;5.0;74.0;21.0;-16.0;9.0;87.0;4.0;5.0;;;;;;;;;;;;;;;;;4.0;71.0;25.0;-21.0;-13.0;-17.0;;-15.0;;;;-24.0;-16.0;-16.0;5.0;;;;;-21.0
787;Sector non-durable consumer goods;2009 March;6.0;60.0;34.0;-28.0;15.0;69.0;16.0;-1.0;;;;;;;;;;;8.0;54.0;38.0;-30.0;;;;;;;;;;;;;99.9;2.0;72.0;26.0;-24.0;3.0;81.0;23.0;-20.0;6.0;78.0;16.0;-10.0;11.0;87.0;2.0;9.0;;;;;;;;;;;;;;;;;6.0;74.0;20.0;-14.0;-28.0;-1.0;;-30.0;;;;-24.0;-20.0;-10.0;9.0;;;;;-14.0
788;Sector non-durable consumer goods;2009 April;5.0;51.0;44.0;-39.0;22.0;65.0;13.0;9.0;80.8;13.0;84.0;3.0;10.0;60.0;37.0;1.0;0.0;2.0;8.0;62.0;30.0;-22.0;;;;;;;;;;;;;106.5;2.0;75.0;23.0;-21.0;2.0;85.0;19.0;-17.0;2.0;79.0;19.0;-17.0;10.0;88.0;2.0;8.0;10.0;83.0;7.0;3.0;8.0;87.0;5.0;3.0;8.0;82.0;10.0;-2.0;13.0;77.0;10.0;3.0;5.0;74.0;21.0;-16.0;-39.0;9.0;10.0;-22.0;;;;-21.0;-17.0;-17.0;8.0;3.0;3.0;-2.0;3.0;-16.0
789;Sector non-durable consumer goods;2009 May;9.0;65.0;26.0;-17.0;10.0;71.0;19.0;-9.0;;;;;;;;;;;16.0;60.0;24.0;-8.0;;;;;;;;;;;;;108.2;3.0;77.0;20.0;-17.0;3.0;72.0;20.0;-17.0;9.0;81.0;10.0;-1.0;10.0;86.0;4.0;6.0;;;;;;;;;;;;;;;;;4.0;78.0;18.0;-14.0;-17.0;-9.0;;-8.0;;;;-17.0;-17.0;-1.0;6.0;;;;;-14.0
790;Sector non-durable consumer goods;2009 June;11.0;65.0;24.0;-13.0;9.0;71.0;20.0;-11.0;;;;;;;;;;;10.0;67.0;23.0;-13.0;;;;;;;;;;;;;106.4;3.0;75.0;22.0;-19.0;3.0;87.0;16.0;-13.0;9.0;77.0;14.0;-5.0;9.0;86.0;5.0;4.0;;;;;;;;;;;;;;;;;3.0;77.0;20.0;-17.0;-13.0;-11.0;;-13.0;;;;-19.0;-13.0;-5.0;4.0;;;;;-17.0
791;Sector non-durable consumer goods;2009 July;11.0;61.0;28.0;-17.0;4.0;71.0;25.0;-21.0;79.3;13.0;83.0;4.0;9.0;55.0;34.0;0.0;1.0;10.0;11.0;61.0;28.0;-17.0;;;;;;;;;;;;;104.9;3.0;77.0;20.0;-17.0;4.0;88.0;14.0;-10.0;10.0;76.0;14.0;-4.0;9.0;84.0;7.0;2.0;11.0;81.0;8.0;3.0;4.0;79.0;17.0;-13.0;1.0;96.0;3.0;-2.0;4.0;88.0;8.0;-4.0;6.0;72.0;22.0;-16.0;-17.0;-21.0;9.0;-17.0;;;;-17.0;-10.0;-4.0;2.0;3.0;-13.0;-2.0;-4.0;-16.0
792;Sector non-durable consumer goods;2009 August;8.0;72.0;20.0;-12.0;21.0;61.0;18.0;3.0;;;;;;;;;;;8.0;70.0;22.0;-14.0;;;;;;;;;;;;;103.1;5.0;77.0;18.0;-13.0;3.0;86.0;16.0;-13.0;2.0;90.0;8.0;-6.0;7.0;88.0;5.0;2.0;;;;;;;;;;;;;;;;;6.0;79.0;15.0;-9.0;-12.0;3.0;;-14.0;;;;-13.0;-13.0;-6.0;2.0;;;;;-9.0
793;Sector non-durable consumer goods;2009 September;9.0;59.0;32.0;-23.0;33.0;59.0;8.0;25.0;;;;;;;;;;;9.0;63.0;28.0;-19.0;;;;;;;;;;;;;101.7;4.0;74.0;22.0;-18.0;3.0;79.0;23.0;-20.0;2.0;87.0;11.0;-9.0;4.0;93.0;3.0;1.0;;;;;;;;;;;;;;;;;6.0;77.0;17.0;-11.0;-23.0;25.0;;-19.0;;;;-18.0;-20.0;-9.0;1.0;;;;;-11.0
794;Sector non-durable consumer goods;2009 October;16.0;74.0;10.0;6.0;33.0;55.0;12.0;21.0;80.4;12.0;83.0;5.0;7.0;56.0;33.0;2.0;2.0;7.0;11.0;80.0;9.0;2.0;;;;;;;;;;;;;102.5;6.0;77.0;17.0;-11.0;5.0;87.0;14.0;-9.0;3.0;87.0;10.0;-7.0;7.0;90.0;3.0;4.0;13.0;81.0;6.0;7.0;3.0;91.0;6.0;-3.0;1.0;92.0;7.0;-6.0;13.0;81.0;6.0;7.0;2.0;81.0;17.0;-15.0;6.0;21.0;7.0;2.0;;;;-11.0;-9.0;-7.0;4.0;7.0;-3.0;-6.0;7.0;-15.0
795;Sector non-durable consumer goods;2009 November;25.0;64.0;11.0;14.0;25.0;56.0;19.0;6.0;;;;;;;;;;;14.0;72.0;14.0;0.0;;;;;;;;;;;;;98.3;3.0;78.0;19.0;-16.0;4.0;88.0;15.0;-11.0;5.0;77.0;18.0;-13.0;6.0;90.0;4.0;2.0;;;;;;;;;;;;;;;;;5.0;74.0;21.0;-16.0;14.0;6.0;;0.0;;;;-16.0;-11.0;-13.0;2.0;;;;;-16.0
796;Sector non-durable consumer goods;2009 December;32.0;58.0;10.0;22.0;9.0;60.0;31.0;-22.0;;;;;;;;;;;19.0;66.0;15.0;4.0;;;;;;;;;;;;;97.0;4.0;78.0;18.0;-14.0;4.0;86.0;16.0;-12.0;5.0;77.0;18.0;-13.0;7.0;88.0;5.0;2.0;;;;;;;;;;;;;;;;;4.0;76.0;20.0;-16.0;22.0;-22.0;;4.0;;;;-14.0;-12.0;-13.0;2.0;;;;;-16.0
