ID;RegioS;Perioden;Bevolking15Tot65Jaar_1;TotaalBeroepsbevolking_2;WerkzameBeroepsbevolking_3;WerklozeBeroepsbevolking_4;NietBeroepsbevolking_5;NettoArbeidsparticipatie_6;Werkloosheidspercentage_7
54;Oost-Nederland (LD);2001;2239;1502;1449;53;737;64.7;3.5
55;Oost-Nederland (LD);2002;2259;1508;1450;58;752;64.2;3.9
56;Oost-Nederland (LD);2003;2274;1537;1457;80;737;64.1;5.2
57;Oost-Nederland (LD);2004;2282;1526;1428;98;756;62.6;6.4
58;Oost-Nederland (LD);2005;2288;1539;1437;102;749;62.8;6.6
59;Oost-Nederland (LD);2006;2289;1558;1472;86;730;64.3;5.5
60;West-Nederland (LD);1987;4677;2756;2537;220;1920;54.2;8.0
61;West-Nederland (LD);1988;4717;2810;2590;220;1907;54.9;7.8
62;West-Nederland (LD);1989;4745;2862;2651;211;1883;55.9;7.4
63;West-Nederland (LD);1990;4775;2898;2707;191;1876;56.7;6.6
64;West-Nederland (LD);1991;4811;2974;2790;184;1837;58.0;6.2
65;West-Nederland (LD);1992;4843;3026;2833;192;1817;58.5;6.4
66;West-Nederland (LD);1993;4877;3084;2859;225;1794;58.6;7.3
67;West-Nederland (LD);1994;4901;3102;2840;262;1798;58.0;8.4
68;West-Nederland (LD);1995;4901;3157;2906;251;1744;59.3;7.9
69;West-Nederland (LD);1996;4917;3192;2961;232;1725;60.2;7.3
70;West-Nederland (LD);1997;4934;3263;3050;213;1671;61.8;6.5
71;West-Nederland (LD);1998;4955;3298;3132;166;1657;63.2;5.0
72;West-Nederland (LD);1999;4986;3368;3233;135;1619;64.8;4.0
73;West-Nederland (LD);2000;5020;3434;3304;130;1586;65.8;3.8
74;West-Nederland (LD);2001;5055;3443;3331;112;1612;65.9;3.3
75;West-Nederland (LD);2002;5084;3490;3349;141;1594;65.9;4.0
76;West-Nederland (LD);2003;5108;3518;3331;187;1591;65.2;5.3
77;West-Nederland (LD);2004;5126;3521;3303;218;1605;64.4;6.2
78;West-Nederland (LD);2005;5142;3544;3317;226;1598;64.5;6.4
79;West-Nederland (LD);2006;5157;3579;3381;198;1578;65.6;5.5
80;Zuid-Nederland (LD);1987;2274;1276;1175;100;998;51.7;7.9
81;Zuid-Nederland (LD);1988;2291;1312;1203;109;978;52.5;8.3
82;Zuid-Nederland (LD);1989;2303;1324;1230;94;979;53.4;7.1
83;Zuid-Nederland (LD);1990;2315;1355;1268;87;959;54.8;6.4
84;Zuid-Nederland (LD);1991;2325;1382;1296;85;943;55.8;6.2
85;Zuid-Nederland (LD);1992;2331;1392;1307;85;939;56.1;6.1
86;Zuid-Nederland (LD);1993;2344;1429;1325;104;915;56.5;7.3
87;Zuid-Nederland (LD);1994;2353;1439;1325;114;914;56.3;7.9
88;Zuid-Nederland (LD);1995;2359;1464;1350;114;895;57.2;7.8
89;Zuid-Nederland (LD);1996;2364;1486;1380;106;877;58.4;7.2
90;Zuid-Nederland (LD);1997;2365;1517;1421;96;848;60.1;6.3
91;Zuid-Nederland (LD);1998;2367;1544;1473;71;823;62.2;4.6
92;Zuid-Nederland (LD);1999;2372;1550;1488;61;822;62.8;4.0
93;Zuid-Nederland (LD);2000;2383;1574;1523;51;809;63.9;3.3
94;Zuid-Nederland (LD);2001;2391;1604;1551;53;787;64.9;3.3
95;Zuid-Nederland (LD);2002;2395;1610;1548;62;784;64.7;3.9
96;Zuid-Nederland (LD);2003;2392;1609;1526;83;783;63.8;5.2
97;Zuid-Nederland (LD);2004;2387;1609;1504;105;778;63.0;6.5
98;Zuid-Nederland (LD);2005;2383;1586;1490;95;798;62.5;6.0
99;Zuid-Nederland (LD);2006;2387;1604;1524;80;783;63.8;5.0
100;Groningen (PV);1987;378;208;185;24;170;48.8;11.3
101;Groningen (PV);1988;379;204;179;25;175;47.2;12.2
102;Groningen (PV);1989;379;199;177;22;179;46.9;11.1
103;Groningen (PV);1990;379;211;187;24;168;49.2;11.4
104;Groningen (PV);1991;380;216;197;19;163;51.9;8.8
105;Groningen (PV);1992;380;218;198;20;162;52.0;9.4
106;Groningen (PV);1993;381;213;193;21;167;50.6;9.7
107;Groningen (PV);1994;382;218;194;24;163;50.9;11.1
108;Groningen (PV);1995;382;219;196;24;163;51.2;10.7
109;Groningen (PV);1996;382;229;201;28;154;52.5;12.1
110;Groningen (PV);1997;382;234;212;22;148;55.5;9.4
111;Groningen (PV);1998;381;239;220;19;142;57.7;7.9
112;Groningen (PV);1999;383;239;221;18;145;57.6;7.4
113;Groningen (PV);2000;386;244;231;13;142;60.0;5.2
114;Groningen (PV);2001;388;246;234;13;142;60.2;5.1
115;Groningen (PV);2002;390;248;231;17;142;59.2;6.8
116;Groningen (PV);2003;392;248;227;21;144;58.0;8.4
117;Groningen (PV);2004;393;253;231;22;140;58.8;8.6
118;Groningen (PV);2005;393;252;228;24;141;58.0;9.6
119;Groningen (PV);2006;395;254;239;16;141;60.4;6.2
120;Friesland (PV);1987;391;208;187;21;183;47.8;10.3
121;Friesland (PV);1988;393;214;193;22;179;49.0;10.0
122;Friesland (PV);1989;395;215;194;22;179;49.1;10.0
123;Friesland (PV);1990;396;218;200;17;178;50.7;8.0
124;Friesland (PV);1991;397;224;206;18;173;51.8;8.0
125;Friesland (PV);1992;398;230;210;20;168;52.7;8.7
126;Friesland (PV);1993;400;226;204;22;174;51.0;9.8
127;Friesland (PV);1994;402;227;206;22;175;51.1;9.5
128;Friesland (PV);1995;404;238;216;22;166;53.5;9.1
129;Friesland (PV);1996;407;245;222;23;162;54.5;9.3
130;Friesland (PV);1997;408;253;231;21;156;56.6;8.5
131;Friesland (PV);1998;411;256;238;18;154;58.0;7.1
132;Friesland (PV);1999;412;266;251;15;147;60.8;5.6
133;Friesland (PV);2000;415;261;248;13;154;59.8;5.1
134;Friesland (PV);2001;418;273;261;13;145;62.3;4.6
135;Friesland (PV);2002;422;271;258;13;150;61.2;4.9
136;Friesland (PV);2003;423;277;260;18;146;61.4;6.4
137;Friesland (PV);2004;424;279;259;20;145;61.2;7.0
138;Friesland (PV);2005;423;271;252;19;152;59.5;7.0
139;Friesland (PV);2006;424;277;260;17;147;61.2;6.3
140;Drenthe (PV);1987;292;159;145;14;133;49.5;8.8
141;Drenthe (PV);1988;294;163;148;15;131;50.3;9.4
142;Drenthe (PV);1989;296;165;152;13;131;51.4;7.7
143;Drenthe (PV);1990;297;168;156;12;129;52.5;7.1
144;Drenthe (PV);1991;298;174;162;12;124;54.3;7.1
145;Drenthe (PV);1992;299;177;162;15;121;54.3;8.5
146;Drenthe (PV);1993;301;178;162;16;123;53.9;9.0
147;Drenthe (PV);1994;302;181;163;18;121;53.8;10.2
148;Drenthe (PV);1995;304;188;171;17;115;56.4;9.2
149;Drenthe (PV);1996;304;190;174;16;114;57.3;8.3
150;Drenthe (PV);1997;305;189;176;13;116;57.8;6.7
151;Drenthe (PV);1998;307;198;185;13;109;60.4;6.4
152;Drenthe (PV);1999;307;199;185;14;107;60.4;7.0
153;Drenthe (PV);2000;308;199;190;10;109;61.5;4.9
154;Drenthe (PV);2001;311;205;196;9;106;63.1;4.2
155;Drenthe (PV);2002;313;210;199;11;103;63.6;5.3
156;Drenthe (PV);2003;314;212;200;11;102;63.8;5.4
157;Drenthe (PV);2004;313;210;193;17;103;61.8;8.0
158;Drenthe (PV);2005;313;209;194;16;103;61.9;7.6
159;Drenthe (PV);2006;313;214;199;15;99;63.4;7.1
160;Overijssel (PV);1987;677;372;335;36;305;49.6;9.7
161;Overijssel (PV);1988;682;381;347;34;301;50.8;9.0
162;Overijssel (PV);1989;686;373;344;29;314;50.1;7.7
163;Overijssel (PV);1990;690;386;356;29;305;51.7;7.6
164;Overijssel (PV);1991;694;384;356;28;310;51.4;7.2
165;Overijssel (PV);1992;697;407;382;26;289;54.8;6.3
166;Overijssel (PV);1993;701;409;378;31;292;54.0;7.5
167;Overijssel (PV);1994;704;415;377;37;289;53.6;9.0
168;Overijssel (PV);1995;706;425;389;35;281;55.1;8.4
169;Overijssel (PV);1996;707;425;392;33;282;55.5;7.7
170;Overijssel (PV);1997;708;436;408;28;273;57.5;6.5
171;Overijssel (PV);1998;711;440;418;22;271;58.8;4.9
172;Overijssel (PV);1999;714;458;438;20;256;61.3;4.3
173;Overijssel (PV);2000;718;471;455;16;247;63.4;3.4
174;Overijssel (PV);2001;723;478;463;15;245;64.1;3.1
175;Overijssel (PV);2002;727;477;458;19;251;62.9;4.0
176;Overijssel (PV);2003;730;491;466;24;239;63.9;5.0
177;Overijssel (PV);2004;732;480;448;31;252;61.3;6.5
178;Overijssel (PV);2005;733;495;459;36;238;62.6;7.2
179;Overijssel (PV);2006;732;486;459;28;246;62.6;5.7
180;Flevoland (PV);1987;125;73;66;7;52;52.5;10.1
181;Flevoland (PV);1988;131;79;73;6;52;55.8;7.6
182;Flevoland (PV);1989;136;83;76;7;53;56.1;8.1
183;Flevoland (PV);1990;142;88;81;7;54;57.2;7.7
184;Flevoland (PV);1991;149;95;88;6;55;59.2;6.4
185;Flevoland (PV);1992;156;99;92;7;57;58.8;7.3
186;Flevoland (PV);1993;164;106;98;7;58;60.1;7.1
187;Flevoland (PV);1994;171;110;101;9;61;59.2;8.1
188;Flevoland (PV);1995;176;115;104;11;61;58.9;9.7
189;Flevoland (PV);1996;185;124;115;8;61;62.4;6.8
190;Flevoland (PV);1997;191;126;117;9;65;61.3;7.1
191;Flevoland (PV);1998;200;138;130;8;62;65.1;5.6
192;Flevoland (PV);1999;210;145;141;5;65;67.0;3.2
193;Flevoland (PV);2000;213;148;141;7;65;66.0;5.0
194;Flevoland (PV);2001;222;153;146;7;69;65.8;4.5
195;Flevoland (PV);2002;231;161;153;8;70;66.2;5.0
196;Flevoland (PV);2003;238;170;158;13;68;66.2;7.4
197;Flevoland (PV);2004;244;174;159;14;71;65.3;8.1
198;Flevoland (PV);2005;249;174;159;15;75;63.9;8.8
199;Flevoland (PV);2006;248;179;165;14;70;66.4;7.6
200;Gelderland (PV);1987;1210;691;628;63;519;51.9;9.1
201;Gelderland (PV);1988;1221;704;645;58;517;52.9;8.3
202;Gelderland (PV);1989;1228;708;652;56;520;53.1;7.9
203;Gelderland (PV);1990;1234;739;688;51;495;55.7;6.9
204;Gelderland (PV);1991;1240;741;693;47;500;55.9;6.4
205;Gelderland (PV);1992;1245;747;701;46;498;56.3;6.1
206;Gelderland (PV);1993;1253;762;707;55;491;56.4;7.2
207;Gelderland (PV);1994;1259;774;714;60;485;56.7;7.7
208;Gelderland (PV);1995;1266;790;732;59;475;57.8;7.4
209;Gelderland (PV);1996;1269;796;740;56;474;58.3;7.0
210;Gelderland (PV);1997;1272;814;768;46;458;60.4;5.6
211;Gelderland (PV);1998;1275;828;790;38;447;62.0;4.6
212;Gelderland (PV);1999;1280;845;811;34;435;63.3;4.0
213;Gelderland (PV);2000;1287;856;826;30;431;64.2;3.5
214;Gelderland (PV);2001;1294;871;840;31;423;64.9;3.6
215;Gelderland (PV);2002;1301;870;839;31;431;64.5;3.6
216;Gelderland (PV);2003;1306;876;834;43;430;63.8;4.9
217;Gelderland (PV);2004;1306;873;820;53;434;62.8;6.0
218;Gelderland (PV);2005;1307;870;819;51;437;62.7;5.8
219;Gelderland (PV);2006;1308;893;848;45;415;64.9;5.0
220;Utrecht (PV);1987;684;412;381;31;273;55.6;7.5
221;Utrecht (PV);1988;690;418;387;31;271;56.1;7.5
222;Utrecht (PV);1989;701;431;402;30;269;57.3;6.9
223;Utrecht (PV);1990;709;435;409;26;274;57.7;5.9
224;Utrecht (PV);1991;718;452;428;24;267;59.6;5.3
225;Utrecht (PV);1992;721;453;428;25;268;59.4;5.5
226;Utrecht (PV);1993;728;471;442;29;258;60.7;6.1
227;Utrecht (PV);1994;730;473;439;33;257;60.2;7.1
228;Utrecht (PV);1995;738;484;452;32;254;61.2;6.7
229;Utrecht (PV);1996;743;496;467;29;247;62.9;5.9
230;Utrecht (PV);1997;750;508;483;25;242;64.3;5.0
231;Utrecht (PV);1998;748;501;480;20;248;64.2;4.1
232;Utrecht (PV);1999;763;515;500;15;248;65.5;3.0
233;Utrecht (PV);2000;764;530;518;12;234;67.8;2.3
234;Utrecht (PV);2001;770;540;527;14;229;68.4;2.5
235;Utrecht (PV);2002;776;538;516;22;238;66.6;4.1
236;Utrecht (PV);2003;783;551;526;25;232;67.2;4.5
237;Utrecht (PV);2004;788;552;521;31;236;66.2;5.6
238;Utrecht (PV);2005;793;551;523;28;242;65.9;5.1
239;Utrecht (PV);2006;794;573;549;25;221;69.1;4.3
240;Utrecht;1987;176;100;89;11;76;50.5;10.7
241;Utrecht;1988;178;105;91;14;73;51.2;13.2
242;Utrecht;1989;175;106;95;11;69;54.3;10.2
243;Utrecht;1990;176;104;93;11;72;52.6;10.8
244;Utrecht;1991;177;106;97;9;71;54.6;8.6
245;Utrecht;1992;175;107;98;9;68;55.7;8.6
246;Utrecht;1993;179;110;100;11;69;55.8;9.5
247;Utrecht;1994;174;107;97;10;68;55.4;9.3
248;Utrecht;1995;180;113;102;11;67;56.8;9.4
249;Utrecht;1996;176;116;107;9;60;60.6;7.9
250;Utrecht;1997;175;120;111;9;55;63.6;7.3
251;Utrecht;1998;171;109;104;5;62;60.8;4.7
252;Utrecht;1999;183;122;116;6;61;63.4;4.9
253;Utrecht;2000;183;129;126;3;54;68.6;2.4
254;Utrecht;2001;186;131;127;4;55;68.3;3.3
255;Utrecht;2002;188;127;119;9;61;63.2;6.8
256;Utrecht;2003;192;131;124;8;60;64.5;5.9
257;Utrecht;2004;195;135;126;9;61;64.4;6.5
258;Utrecht;2005;200;137;127;10;63;63.5;7.4
259;Utrecht;2006;200;141;135;6;60;67.1;4.4
260;Noord-Holland (PV);1987;1625;967;880;86;658;54.2;8.9
261;Noord-Holland (PV);1988;1637;995;911;84;642;55.6;8.4
262;Noord-Holland (PV);1989;1645;1002;927;75;643;56.4;7.5
263;Noord-Holland (PV);1990;1651;1022;950;71;630;57.6;7.0
264;Noord-Holland (PV);1991;1666;1052;982;71;614;58.9;6.7
265;Noord-Holland (PV);1992;1681;1065;993;72;617;59.1;6.8
266;Noord-Holland (PV);1993;1693;1074;988;86;618;58.4;8.0
267;Noord-Holland (PV);1994;1702;1086;990;96;616;58.1;8.8
268;Noord-Holland (PV);1995;1695;1106;1011;95;589;59.6;8.6
269;Noord-Holland (PV);1996;1702;1122;1037;85;580;60.9;7.6
270;Noord-Holland (PV);1997;1705;1138;1058;80;567;62.0;7.0
271;Noord-Holland (PV);1998;1718;1144;1083;61;574;63.0;5.3
272;Noord-Holland (PV);1999;1723;1177;1124;52;547;65.3;4.4
273;Noord-Holland (PV);2000;1737;1185;1134;51;552;65.3;4.3
274;Noord-Holland (PV);2001;1748;1203;1166;38;544;66.7;3.1
275;Noord-Holland (PV);2002;1754;1225;1177;48;529;67.1;3.9
276;Noord-Holland (PV);2003;1760;1224;1158;66;537;65.8;5.4
277;Noord-Holland (PV);2004;1767;1230;1151;78;537;65.2;6.4
278;Noord-Holland (PV);2005;1773;1241;1158;83;531;65.3;6.7
279;Noord-Holland (PV);2006;1781;1243;1177;66;538;66.1;5.3
280;Amsterdam;1987;483;280;238;42;203;49.4;14.9
281;Amsterdam;1988;488;295;254;41;193;52.0;14.0
282;Amsterdam;1989;489;298;262;36;191;53.5;12.2
283;Amsterdam;1990;492;304;271;33;188;55.1;10.9
284;Amsterdam;1991;500;305;272;33;195;54.5;10.7
285;Amsterdam;1992;507;321;282;39;186;55.6;12.2
286;Amsterdam;1993;511;320;277;43;191;54.3;13.3
287;Amsterdam;1994;513;321;276;45;192;53.8;14.0
288;Amsterdam;1995;509;335;290;45;173;57.0;13.5
289;Amsterdam;1996;506;336;299;37;170;59.2;10.9
290;Amsterdam;1997;509;332;296;36;178;58.1;10.7
291;Amsterdam;1998;513;330;303;27;183;59.1;8.2
292;Amsterdam;1999;523;348;322;26;176;61.6;7.3
293;Amsterdam;2000;528;354;330;24;174;62.5;6.8
294;Amsterdam;2001;532;366;350;16;166;65.8;4.3
295;Amsterdam;2002;532;372;354;18;160;66.5;4.9
296;Amsterdam;2003;533;370;338;32;163;63.5;8.5
297;Amsterdam;2004;535;372;342;30;163;63.9;8.2
298;Amsterdam;2005;540;376;339;37;164;62.7;9.9
299;Amsterdam;2006;544;376;351;26;168;64.4;6.8
300;Zuid-Holland (PV);1987;2136;1248;1155;93;888;54.1;7.5
301;Zuid-Holland (PV);1988;2158;1265;1170;96;893;54.2;7.6
302;Zuid-Holland (PV);1989;2166;1293;1196;97;874;55.2;7.5
303;Zuid-Holland (PV);1990;2182;1302;1215;88;879;55.7;6.7
304;Zuid-Holland (PV);1991;2193;1329;1246;82;864;56.8;6.2
305;Zuid-Holland (PV);1992;2206;1362;1276;86;844;57.9;6.3
306;Zuid-Holland (PV);1993;2220;1391;1293;98;829;58.2;7.1
307;Zuid-Holland (PV);1994;2230;1399;1277;121;832;57.3;8.7
308;Zuid-Holland (PV);1995;2229;1417;1306;112;812;58.6;7.9
309;Zuid-Holland (PV);1996;2233;1424;1316;108;810;58.9;7.6
310;Zuid-Holland (PV);1997;2239;1461;1364;97;777;60.9;6.6
311;Zuid-Holland (PV);1998;2248;1498;1420;77;750;63.2;5.2
312;Zuid-Holland (PV);1999;2260;1522;1462;60;738;64.7;4.0
313;Zuid-Holland (PV);2000;2278;1557;1498;59;721;65.8;3.8
314;Zuid-Holland (PV);2001;2294;1545;1490;55;749;65.0;3.5
315;Zuid-Holland (PV);2002;2310;1565;1499;66;745;64.9;4.2
316;Zuid-Holland (PV);2003;2320;1585;1495;90;735;64.4;5.7
317;Zuid-Holland (PV);2004;2327;1578;1477;101;749;63.5;6.4
318;Zuid-Holland (PV);2005;2331;1589;1483;105;743;63.6;6.6
319;Zuid-Holland (PV);2006;2336;1599;1499;100;737;64.2;6.2
320;'s-Gravenhage;1987;292;178;160;18;114;54.7;10.3
321;'s-Gravenhage;1988;292;167;150;17;125;51.6;10.0
322;'s-Gravenhage;1989;291;172;155;17;118;53.4;10.0
323;'s-Gravenhage;1990;291;167;149;18;124;51.2;10.6
324;'s-Gravenhage;1991;292;168;152;16;124;52.0;9.7
325;'s-Gravenhage;1992;293;184;173;12;108;59.0;6.3
326;'s-Gravenhage;1993;292;182;166;16;110;57.0;8.6
327;'s-Gravenhage;1994;293;187;171;16;106;58.4;8.7
328;'s-Gravenhage;1995;291;190;171;18;101;58.8;9.7
329;'s-Gravenhage;1996;293;187;171;16;106;58.3;8.6
330;'s-Gravenhage;1997;294;196;180;16;98;61.0;8.3
331;'s-Gravenhage;1998;296;203;192;12;93;64.8;5.7
332;'s-Gravenhage;1999;294;197;188;9;97;64.1;4.5
333;'s-Gravenhage;2000;297;214;206;8;84;69.1;3.9
334;'s-Gravenhage;2001;300;197;191;6;103;63.6;3.2
335;'s-Gravenhage;2002;311;210;199;11;101;64.1;5.2
336;'s-Gravenhage;2003;316;220;206;13;96;65.3;6.0
337;'s-Gravenhage;2004;321;220;206;14;101;64.2;6.4
338;'s-Gravenhage;2005;324;232;213;19;92;65.7;8.2
339;'s-Gravenhage;2006;326;219;205;14;107;62.8;6.5
340;Rotterdam;1987;384;214;189;26;170;49.1;12.1
341;Rotterdam;1988;385;216;187;29;169;48.5;13.6
342;Rotterdam;1989;386;218;189;29;168;48.9;13.3
343;Rotterdam;1990;387;215;190;25;173;49.0;11.7
344;Rotterdam;1991;391;226;200;25;165;51.3;11.2
345;Rotterdam;1992;395;225;200;25;170;50.6;11.0
346;Rotterdam;1993;400;230;201;29;169;50.4;12.5
347;Rotterdam;1994;400;229;196;33;171;49.1;14.2
348;Rotterdam;1995;398;237;205;32;161;51.5;13.6
349;Rotterdam;1996;393;238;209;29;155;53.2;12.2
350;Rotterdam;1997;394;242;214;27;152;54.5;11.4
351;Rotterdam;1998;395;242;217;25;153;55.1;10.2
352;Rotterdam;1999;398;253;235;18;146;58.9;7.1
353;Rotterdam;2000;399;257;240;17;142;60.0;6.8
354;Rotterdam;2001;403;257;241;16;145;59.9;6.2
355;Rotterdam;2002;406;261;242;19;145;59.6;7.2
356;Rotterdam;2003;408;256;229;27;152;56.1;10.5
357;Rotterdam;2004;409;259;231;28;149;56.6;10.8
358;Rotterdam;2005;408;263;235;28;145;57.6;10.7
359;Rotterdam;2006;410;270;240;29;141;58.5;10.9
360;Zeeland (PV);1987;231;130;121;9;101;52.2;7.2
361;Zeeland (PV);1988;232;132;123;9;101;52.9;6.7
362;Zeeland (PV);1989;233;136;127;9;96;54.5;6.8
363;Zeeland (PV);1990;233;139;132;7;94;56.8;5.0
364;Zeeland (PV);1991;234;141;135;7;93;57.5;4.8
365;Zeeland (PV);1992;235;146;136;10;89;58.0;6.7
366;Zeeland (PV);1993;236;147;135;12;89;57.4;8.0
367;Zeeland (PV);1994;238;145;134;11;93;56.2;7.8
368;Zeeland (PV);1995;238;149;138;12;89;57.9;7.7
369;Zeeland (PV);1996;240;151;141;10;89;58.9;6.5
370;Zeeland (PV);1997;240;155;145;10;85;60.4;6.6
371;Zeeland (PV);1998;241;155;148;7;85;61.6;4.6
372;Zeeland (PV);1999;240;154;147;7;86;61.1;4.5
373;Zeeland (PV);2000;242;162;154;8;80;63.8;4.8
374;Zeeland (PV);2001;243;154;148;6;89;60.9;4.0
375;Zeeland (PV);2002;245;162;157;5;83;64.0;3.2
376;Zeeland (PV);2003;245;158;152;6;87;62.1;3.9
377;Zeeland (PV);2004;245;161;153;8;84;62.5;5.0
378;Zeeland (PV);2005;245;163;153;10;82;62.4;6.2
379;Zeeland (PV);2006;245;163;156;7;82;63.6;4.4
380;Noord-Brabant (PV);1987;1502;848;784;64;655;52.2;7.5
381;Noord-Brabant (PV);1988;1518;880;808;72;638;53.2;8.2
382;Noord-Brabant (PV);1989;1529;891;827;63;639;54.1;7.1
383;Noord-Brabant (PV);1990;1540;904;847;57;636;55.0;6.3
384;Noord-Brabant (PV);1991;1549;933;875;57;617;56.5;6.2
385;Noord-Brabant (PV);1992;1555;934;878;56;621;56.4;6.0
386;Noord-Brabant (PV);1993;1567;956;886;70;611;56.6;7.3
387;Noord-Brabant (PV);1994;1575;966;890;77;608;56.5;7.9
388;Noord-Brabant (PV);1995;1581;986;913;73;594;57.8;7.4
389;Noord-Brabant (PV);1996;1588;1009;940;69;579;59.2;6.8
390;Noord-Brabant (PV);1997;1590;1025;965;60;565;60.7;5.8
391;Noord-Brabant (PV);1998;1593;1048;1003;44;546;63.0;4.2
392;Noord-Brabant (PV);1999;1600;1059;1020;38;542;63.8;3.6
393;Noord-Brabant (PV);2000;1609;1072;1041;31;537;64.7;2.9
394;Noord-Brabant (PV);2001;1617;1098;1064;34;520;65.8;3.1
395;Noord-Brabant (PV);2002;1623;1103;1066;37;520;65.6;3.4
396;Noord-Brabant (PV);2003;1624;1108;1053;55;516;64.9;5.0
397;Noord-Brabant (PV);2004;1622;1103;1033;70;520;63.7;6.3
398;Noord-Brabant (PV);2005;1622;1090;1030;59;532;63.5;5.4
399;Noord-Brabant (PV);2006;1623;1106;1053;53;517;64.9;4.8
400;Limburg (PV);1987;772;428;391;37;344;50.7;8.6
401;Limburg (PV);1988;773;433;395;38;340;51.1;8.7
402;Limburg (PV);1989;774;433;402;31;341;52.0;7.1
403;Limburg (PV);1990;775;452;421;30;323;54.4;6.7
404;Limburg (PV);1991;776;449;421;28;326;54.3;6.2
405;Limburg (PV);1992;776;458;429;29;318;55.3;6.2
406;Limburg (PV);1993;776;473;438;35;304;56.4;7.3
407;Limburg (PV);1994;778;472;435;38;305;55.9;8.0
408;Limburg (PV);1995;779;478;437;41;301;56.1;8.6
409;Limburg (PV);1996;776;477;440;38;299;56.7;7.9
410;Limburg (PV);1997;775;492;456;36;283;58.8;7.4
