ID;SizeClassEnterprise;Periods;EnterprisesApplyingForAnEPOPatent_1;PatentApplicationsAtTheEPO_2;EnterprisesApplyingForANLOCPatent_3;PatentApplicationsAtTheNLOC_4
91;9;2003;56.0;133;68.0;118
92;9;2004;64.0;129;60.0;96
93;9;2005;65.0;114;65.0;121
94;9;2006;65.0;190;58.0;106
95;9;2007;64.0;108;52.0;78
96;9;2008;65.0;110;52.0;98
97;9;2009;67.0;140;76.0;110
98;9;2010;58.0;108;66.0;118
99;200 to 500 employed persons;2000;55.0;124;63.0;130
100;200 to 500 employed persons;2001;55.0;143;50.0;99
101;200 to 500 employed persons;2002;53.0;122;60.0;87
102;200 to 500 employed persons;2003;53.0;134;69.0;118
103;200 to 500 employed persons;2004;68.0;130;56.0;113
104;200 to 500 employed persons;2005;65.0;146;51.0;92
105;200 to 500 employed persons;2006;73.0;179;52.0;115
106;200 to 500 employed persons;2007;69.0;289;41.0;90
107;200 to 500 employed persons;2008;67.0;442;39.0;114
108;200 to 500 employed persons;2009;62.0;356;51.0;114
109;200 to 500 employed persons;2010;56.0;294;43.0;98
110;500 employed persons or more;2000;111.0;2666;96.0;421
111;500 employed persons or more;2001;107.0;2985;104.0;376
112;500 employed persons or more;2002;107.0;3595;96.0;383
113;500 employed persons or more;2003;119.0;3786;97.0;351
114;500 employed persons or more;2004;98.0;3587;91.0;295
115;500 employed persons or more;2005;109.0;3621;83.0;271
116;500 employed persons or more;2006;105.0;3825;110.0;330
117;500 employed persons or more;2007;127.0;3793;86.0;270
118;500 employed persons or more;2008;113.0;3111;98.0;344
119;500 employed persons or more;2009;113.0;3199;80.0;473
120;500 employed persons or more;2010;109.0;2291;77.0;409
121;Employed persons unknown;2000;;214;;357
122;Employed persons unknown;2001;;191;;328
123;Employed persons unknown;2002;;204;;351
124;Employed persons unknown;2003;;178;;320
125;Employed persons unknown;2004;;183;;301
126;Employed persons unknown;2005;;213;;337
127;Employed persons unknown;2006;;101;;265
128;Employed persons unknown;2007;;108;;274
129;Employed persons unknown;2008;;254;;435
130;Employed persons unknown;2009;;104;;189
131;Employed persons unknown;2010;;76;;226
