ID;WijkenEnBuurten;Woningkenmerken;Gemeentenaam_1;SoortRegio_2;Codering_3;GemiddeldAardgasverbruik_4;GemiddeldeElektriciteitslevering_5;GemiddeldeNettoElektriciteitslevering_6;Stadsverwarming_7;IndelingswijzigingWijkenEnBuurten_8
117;Wijk 04 Anderen;Vrijstaande woning;Aa en Hunze                             ;Wijk      ;WK168004  ;1950.0;3860.0;2630.0;;1.0
118;Wijk 04 Anderen;Eigen woning;Aa en Hunze                             ;Wijk      ;WK168004  ;1850.0;3560.0;2480.0;;1.0
119;Wijk 04 Anderen;Huurwoning;Aa en Hunze                             ;Wijk      ;WK168004  ;1340.0;3010.0;2200.0;;1.0
120;Anderen;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800400;1810.0;3490.0;2470.0;;1.0
121;Anderen;Appartement;Aa en Hunze                             ;Buurt     ;BU16800400;;;;;1.0
122;Anderen;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800400;;;;;1.0
123;Anderen;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800400;;;;;1.0
124;Anderen;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800400;1320.0;2380.0;1860.0;;1.0
125;Anderen;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800400;1970.0;3840.0;2660.0;;1.0
126;Anderen;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800400;1850.0;3560.0;2480.0;;1.0
127;Anderen;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800400;1460.0;2810.0;2400.0;;1.0
128;Verspreide huizen Anderen;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800409;;;;;1.0
129;Verspreide huizen Anderen;Appartement;Aa en Hunze                             ;Buurt     ;BU16800409;;;;;1.0
130;Verspreide huizen Anderen;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800409;;;;;1.0
131;Verspreide huizen Anderen;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800409;;;;;1.0
132;Verspreide huizen Anderen;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800409;;;;;1.0
133;Verspreide huizen Anderen;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800409;;;;;1.0
134;Verspreide huizen Anderen;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800409;;;;;1.0
135;Verspreide huizen Anderen;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800409;;;;;1.0
136;Wijk 05 Schipborg;Totaal woningen;Aa en Hunze                             ;Wijk      ;WK168005  ;1630.0;3010.0;1890.0;;1.0
137;Wijk 05 Schipborg;Appartement;Aa en Hunze                             ;Wijk      ;WK168005  ;;;;;1.0
138;Wijk 05 Schipborg;Tussenwoning;Aa en Hunze                             ;Wijk      ;WK168005  ;;;;;1.0
139;Wijk 05 Schipborg;Hoekwoning;Aa en Hunze                             ;Wijk      ;WK168005  ;;;;;1.0
140;Wijk 05 Schipborg;Twee-onder-één-kap woning;Aa en Hunze                             ;Wijk      ;WK168005  ;1250.0;1920.0;1220.0;;1.0
141;Wijk 05 Schipborg;Vrijstaande woning;Aa en Hunze                             ;Wijk      ;WK168005  ;1790.0;3460.0;2170.0;;1.0
142;Wijk 05 Schipborg;Eigen woning;Aa en Hunze                             ;Wijk      ;WK168005  ;1680.0;3190.0;1970.0;;1.0
143;Wijk 05 Schipborg;Huurwoning;Aa en Hunze                             ;Wijk      ;WK168005  ;1330.0;1970.0;1430.0;;1.0
144;Schipborg;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800500;1640.0;3000.0;1820.0;;1.0
145;Schipborg;Appartement;Aa en Hunze                             ;Buurt     ;BU16800500;;;;;1.0
146;Schipborg;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800500;;;;;1.0
147;Schipborg;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800500;;;;;1.0
