ID;RegioS;AutochtonenAllochtonen;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
77;Noord-Brabant (PV);Herkomst: Niet-Nederland;201.8;16.2
78;Noord-Brabant (PV);Herkomst: Westers land;124.6;17.4
79;Noord-Brabant (PV);Herkomst: Niet-westers land;77.1;14.3
80;Limburg (PV);Herkomst (land);764.7;16.7
81;Limburg (PV);Herkomst: Nederland;629.3;16.9
82;Limburg (PV);Herkomst: Niet-Nederland;135.4;15.5
83;Limburg (PV);Herkomst: Westers land;111.0;15.9
84;Limburg (PV);Herkomst: Niet-westers land;24.4;13.4
85;Oost-Groningen (CR);Herkomst (land);103.0;15.5
86;Oost-Groningen (CR);Herkomst: Nederland;95.7;15.5
87;Oost-Groningen (CR);Herkomst: Niet-Nederland;7.3;14.9
88;Oost-Groningen (CR);Herkomst: Westers land;5.6;15.6
89;Oost-Groningen (CR);Herkomst: Niet-westers land;1.7;12.8
90;Delfzijl en omgeving (CR);Herkomst (land);34.1;16.2
91;Delfzijl en omgeving (CR);Herkomst: Nederland;30.5;16.4
92;Delfzijl en omgeving (CR);Herkomst: Niet-Nederland;3.6;14.9
93;Delfzijl en omgeving (CR);Herkomst: Westers land;2.3;15.6
94;Delfzijl en omgeving (CR);Herkomst: Niet-westers land;1.3;13.7
95;Overig Groningen (CR);Herkomst (land);243.5;16.5
96;Overig Groningen (CR);Herkomst: Nederland;217.9;16.6
97;Overig Groningen (CR);Herkomst: Niet-Nederland;25.6;15.6
98;Overig Groningen (CR);Herkomst: Westers land;15.9;16.7
99;Overig Groningen (CR);Herkomst: Niet-westers land;9.7;13.8
100;Noord-Friesland (CR);Herkomst (land);216.4;16.0
101;Noord-Friesland (CR);Herkomst: Nederland;202.6;16.1
102;Noord-Friesland (CR);Herkomst: Niet-Nederland;13.8;14.9
103;Noord-Friesland (CR);Herkomst: Westers land;9.3;15.9
104;Noord-Friesland (CR);Herkomst: Niet-westers land;4.5;12.7
105;Zuidwest-Friesland (CR);Herkomst (land);68.4;16.3
106;Zuidwest-Friesland (CR);Herkomst: Nederland;64.2;16.4
107;Zuidwest-Friesland (CR);Herkomst: Niet-Nederland;4.2;15.1
108;Zuidwest-Friesland (CR);Herkomst: Westers land;3.2;16.0
109;Zuidwest-Friesland (CR);Herkomst: Niet-westers land;1.0;12.2
110;Zuidoost-Friesland (CR);Herkomst (land);136.0;16.4
111;Zuidoost-Friesland (CR);Herkomst: Nederland;127.2;16.5
112;Zuidoost-Friesland (CR);Herkomst: Niet-Nederland;8.8;15.2
113;Zuidoost-Friesland (CR);Herkomst: Westers land;6.0;15.9
114;Zuidoost-Friesland (CR);Herkomst: Niet-westers land;2.8;13.7
115;Noord-Drenthe (CR);Herkomst (land);124.2;17.5
116;Noord-Drenthe (CR);Herkomst: Nederland;115.2;17.5
117;Noord-Drenthe (CR);Herkomst: Niet-Nederland;9.1;17.3
118;Noord-Drenthe (CR);Herkomst: Westers land;7.0;18.1
119;Noord-Drenthe (CR);Herkomst: Niet-westers land;2.1;14.4
120;Zuidoost-Drenthe (CR);Herkomst (land);115.2;15.8
121;Zuidoost-Drenthe (CR);Herkomst: Nederland;106.6;15.8
122;Zuidoost-Drenthe (CR);Herkomst: Niet-Nederland;8.6;15.0
123;Zuidoost-Drenthe (CR);Herkomst: Westers land;6.7;15.4
124;Zuidoost-Drenthe (CR);Herkomst: Niet-westers land;1.9;13.5
125;Zuidwest-Drenthe (CR);Herkomst (land);85.1;16.7
126;Zuidwest-Drenthe (CR);Herkomst: Nederland;79.9;16.8
127;Zuidwest-Drenthe (CR);Herkomst: Niet-Nederland;5.2;16.5
128;Zuidwest-Drenthe (CR);Herkomst: Westers land;3.9;17.3
129;Zuidwest-Drenthe (CR);Herkomst: Niet-westers land;1.3;14.4
130;Noord-Overijssel (CR);Herkomst (land);223.2;16.8
131;Noord-Overijssel (CR);Herkomst: Nederland;206.8;16.9
132;Noord-Overijssel (CR);Herkomst: Niet-Nederland;16.4;15.5
133;Noord-Overijssel (CR);Herkomst: Westers land;9.8;16.9
134;Noord-Overijssel (CR);Herkomst: Niet-westers land;6.6;13.5
135;Zuidwest-Overijssel (CR);Herkomst (land);99.4;16.8
136;Zuidwest-Overijssel (CR);Herkomst: Nederland;87.2;17.1
137;Zuidwest-Overijssel (CR);Herkomst: Niet-Nederland;12.2;15.2
138;Zuidwest-Overijssel (CR);Herkomst: Westers land;6.6;16.8
139;Zuidwest-Overijssel (CR);Herkomst: Niet-westers land;5.6;13.2
140;Twente (CR);Herkomst (land);403.4;16.5
141;Twente (CR);Herkomst: Nederland;345.7;16.7
142;Twente (CR);Herkomst: Niet-Nederland;57.7;15.2
143;Twente (CR);Herkomst: Westers land;36.1;16.4
144;Twente (CR);Herkomst: Niet-westers land;21.6;13.2
145;Veluwe (CR);Herkomst (land);419.3;17.6
146;Veluwe (CR);Herkomst: Nederland;378.1;17.7
147;Veluwe (CR);Herkomst: Niet-Nederland;41.2;16.4
148;Veluwe (CR);Herkomst: Westers land;26.5;17.7
149;Veluwe (CR);Herkomst: Niet-westers land;14.8;14.0
150;Achterhoek (CR);Herkomst (land);270.6;16.7
151;Achterhoek (CR);Herkomst: Nederland;245.3;16.8
152;Achterhoek (CR);Herkomst: Niet-Nederland;25.3;15.8
153;Achterhoek (CR);Herkomst: Westers land;18.6;16.5
154;Achterhoek (CR);Herkomst: Niet-westers land;6.7;13.7
155;Arnhem/Nijmegen (CR);Herkomst (land);465.6;17.4
156;Arnhem/Nijmegen (CR);Herkomst: Nederland;393.2;17.6
157;Arnhem/Nijmegen (CR);Herkomst: Niet-Nederland;72.4;16.1
158;Arnhem/Nijmegen (CR);Herkomst: Westers land;47.0;17.3
159;Arnhem/Nijmegen (CR);Herkomst: Niet-westers land;25.4;13.9
160;Zuidwest-Gelderland (CR);Herkomst (land);148.7;17.7
161;Zuidwest-Gelderland (CR);Herkomst: Nederland;134.9;17.8
162;Zuidwest-Gelderland (CR);Herkomst: Niet-Nederland;13.8;16.9
163;Zuidwest-Gelderland (CR);Herkomst: Westers land;8.6;18.3
164;Zuidwest-Gelderland (CR);Herkomst: Niet-westers land;5.1;14.4
165;Utrecht (CR);Herkomst (land);772.4;19.1
166;Utrecht (CR);Herkomst: Nederland;650.5;19.4
167;Utrecht (CR);Herkomst: Niet-Nederland;121.9;17.5
168;Utrecht (CR);Herkomst: Westers land;64.0;19.8
169;Utrecht (CR);Herkomst: Niet-westers land;57.9;15.0
170;Kop van Noord-Holland (CR);Herkomst (land);243.6;17.1
171;Kop van Noord-Holland (CR);Herkomst: Nederland;218.8;17.2
172;Kop van Noord-Holland (CR);Herkomst: Niet-Nederland;24.8;16.3
173;Kop van Noord-Holland (CR);Herkomst: Westers land;15.7;17.3
174;Kop van Noord-Holland (CR);Herkomst: Niet-westers land;9.0;14.5
175;Alkmaar en omgeving (CR);Herkomst (land);153.8;18.1
176;Alkmaar en omgeving (CR);Herkomst: Nederland;133.3;18.3
177;Alkmaar en omgeving (CR);Herkomst: Niet-Nederland;20.5;16.9
178;Alkmaar en omgeving (CR);Herkomst: Westers land;12.0;18.6
179;Alkmaar en omgeving (CR);Herkomst: Niet-westers land;8.5;14.5
180;IJmond (CR);Herkomst (land);128.5;18.4
181;IJmond (CR);Herkomst: Nederland;112.5;18.6
182;IJmond (CR);Herkomst: Niet-Nederland;16.0;17.1
183;IJmond (CR);Herkomst: Westers land;10.7;18.4
184;IJmond (CR);Herkomst: Niet-westers land;5.3;14.6
185;Agglomeratie Haarlem (CR);Herkomst (land);149.7;19.8
186;Agglomeratie Haarlem (CR);Herkomst: Nederland;123.8;20.0
187;Agglomeratie Haarlem (CR);Herkomst: Niet-Nederland;25.9;18.6
188;Agglomeratie Haarlem (CR);Herkomst: Westers land;15.6;21.0
189;Agglomeratie Haarlem (CR);Herkomst: Niet-westers land;10.3;15.0
190;Zaanstreek (CR);Herkomst (land);105.9;17.4
191;Zaanstreek (CR);Herkomst: Nederland;86.0;17.7
192;Zaanstreek (CR);Herkomst: Niet-Nederland;19.8;15.9
193;Zaanstreek (CR);Herkomst: Westers land;9.1;17.2
194;Zaanstreek (CR);Herkomst: Niet-westers land;10.8;14.7
195;Groot-Amsterdam (CR);Herkomst (land);783.8;18.9
196;Groot-Amsterdam (CR);Herkomst: Nederland;549.8;19.5
197;Groot-Amsterdam (CR);Herkomst: Niet-Nederland;234.0;17.6
198;Groot-Amsterdam (CR);Herkomst: Westers land;94.6;20.6
199;Groot-Amsterdam (CR);Herkomst: Niet-westers land;139.4;15.6
200;Het Gooi en Vechtstreek (CR);Herkomst (land);163.6;21.1
201;Het Gooi en Vechtstreek (CR);Herkomst: Nederland;138.1;21.1
202;Het Gooi en Vechtstreek (CR);Herkomst: Niet-Nederland;25.5;21.0
203;Het Gooi en Vechtstreek (CR);Herkomst: Westers land;17.3;23.1
204;Het Gooi en Vechtstreek (CR);Herkomst: Niet-westers land;8.2;16.4
205;Agglomeratie Leiden en Bollenstreek (CR);Herkomst (land);256.3;19.0
206;Agglomeratie Leiden en Bollenstreek (CR);Herkomst: Nederland;223.3;19.0
207;Agglomeratie Leiden en Bollenstreek (CR);Herkomst: Niet-Nederland;33.0;19.1
208;Agglomeratie Leiden en Bollenstreek (CR);Herkomst: Westers land;20.7;21.3
209;Agglomeratie Leiden en Bollenstreek (CR);Herkomst: Niet-westers land;12.4;15.5
210;Agglomeratie 's-Gravenhage (CR);Herkomst (land);503.3;19.2
211;Agglomeratie 's-Gravenhage (CR);Herkomst: Nederland;356.1;19.6
212;Agglomeratie 's-Gravenhage (CR);Herkomst: Niet-Nederland;147.2;18.2
213;Agglomeratie 's-Gravenhage (CR);Herkomst: Westers land;61.7;22.2
214;Agglomeratie 's-Gravenhage (CR);Herkomst: Niet-westers land;85.5;15.3
215;Delft en Westland (CR);Herkomst (land);139.8;17.5
216;Delft en Westland (CR);Herkomst: Nederland;122.0;17.6
217;Delft en Westland (CR);Herkomst: Niet-Nederland;17.8;16.4
218;Delft en Westland (CR);Herkomst: Westers land;9.6;18.2
219;Delft en Westland (CR);Herkomst: Niet-westers land;8.1;14.3
220;Oost-Zuid-Holland (CR);Herkomst (land);211.2;18.7
221;Oost-Zuid-Holland (CR);Herkomst: Nederland;186.4;18.9
222;Oost-Zuid-Holland (CR);Herkomst: Niet-Nederland;24.8;17.3
223;Oost-Zuid-Holland (CR);Herkomst: Westers land;14.1;19.4
224;Oost-Zuid-Holland (CR);Herkomst: Niet-westers land;10.6;14.5
225;Groot-Rijnmond (CR);Herkomst (land);887.5;17.8
226;Groot-Rijnmond (CR);Herkomst: Nederland;680.2;18.3
227;Groot-Rijnmond (CR);Herkomst: Niet-Nederland;207.3;16.1
228;Groot-Rijnmond (CR);Herkomst: Westers land;75.5;18.4
229;Groot-Rijnmond (CR);Herkomst: Niet-westers land;131.7;14.9
230;Zuidoost-Zuid-Holland (CR);Herkomst (land);260.0;17.8
231;Zuidoost-Zuid-Holland (CR);Herkomst: Nederland;223.6;18.1
232;Zuidoost-Zuid-Holland (CR);Herkomst: Niet-Nederland;36.4;16.1
233;Zuidoost-Zuid-Holland (CR);Herkomst: Westers land;19.2;17.7
234;Zuidoost-Zuid-Holland (CR);Herkomst: Niet-westers land;17.2;14.3
235;Zeeuwsch-Vlaanderen (CR);Herkomst (land);71.3;17.2
236;Zeeuwsch-Vlaanderen (CR);Herkomst: Nederland;58.4;17.4
237;Zeeuwsch-Vlaanderen (CR);Herkomst: Niet-Nederland;12.9;16.2
238;Zeeuwsch-Vlaanderen (CR);Herkomst: Westers land;11.3;16.6
239;Zeeuwsch-Vlaanderen (CR);Herkomst: Niet-westers land;1.6;13.4
240;Overig Zeeland (CR);Herkomst (land);180.2;17.3
241;Overig Zeeland (CR);Herkomst: Nederland;162.4;17.5
242;Overig Zeeland (CR);Herkomst: Niet-Nederland;17.8;15.9
243;Overig Zeeland (CR);Herkomst: Westers land;12.6;16.8
244;Overig Zeeland (CR);Herkomst: Niet-westers land;5.2;13.9
245;West-Noord-Brabant (CR);Herkomst (land);406.7;17.6
246;West-Noord-Brabant (CR);Herkomst: Nederland;352.8;17.8
247;West-Noord-Brabant (CR);Herkomst: Niet-Nederland;53.9;16.3
248;West-Noord-Brabant (CR);Herkomst: Westers land;33.1;17.6
249;West-Noord-Brabant (CR);Herkomst: Niet-westers land;20.8;14.3
250;Midden-Noord-Brabant (CR);Herkomst (land);302.7;17.1
251;Midden-Noord-Brabant (CR);Herkomst: Nederland;265.3;17.3
252;Midden-Noord-Brabant (CR);Herkomst: Niet-Nederland;37.4;15.8
253;Midden-Noord-Brabant (CR);Herkomst: Westers land;21.6;16.9
254;Midden-Noord-Brabant (CR);Herkomst: Niet-westers land;15.7;14.3
255;Noordoost-Noord-Brabant (CR);Herkomst (land);420.2;17.5
256;Noordoost-Noord-Brabant (CR);Herkomst: Nederland;375.5;17.7
257;Noordoost-Noord-Brabant (CR);Herkomst: Niet-Nederland;44.7;16.2
258;Noordoost-Noord-Brabant (CR);Herkomst: Westers land;27.9;17.6
259;Noordoost-Noord-Brabant (CR);Herkomst: Niet-westers land;16.9;14.0
260;Zuidoost-Noord-Brabant (CR);Herkomst (land);487.1;17.7
261;Zuidoost-Noord-Brabant (CR);Herkomst: Nederland;421.3;17.8
262;Zuidoost-Noord-Brabant (CR);Herkomst: Niet-Nederland;65.7;16.5
263;Zuidoost-Noord-Brabant (CR);Herkomst: Westers land;42.0;17.5
264;Zuidoost-Noord-Brabant (CR);Herkomst: Niet-westers land;23.7;14.7
265;Noord-Limburg (CR);Herkomst (land);188.0;16.4
266;Noord-Limburg (CR);Herkomst: Nederland;160.7;16.6
267;Noord-Limburg (CR);Herkomst: Niet-Nederland;27.3;15.1
268;Noord-Limburg (CR);Herkomst: Westers land;20.0;15.7
269;Noord-Limburg (CR);Herkomst: Niet-westers land;7.3;13.5
270;Midden-Limburg (CR);Herkomst (land);158.0;17.0
271;Midden-Limburg (CR);Herkomst: Nederland;134.3;17.2
272;Midden-Limburg (CR);Herkomst: Niet-Nederland;23.8;15.6
273;Midden-Limburg (CR);Herkomst: Westers land;18.5;16.2
274;Midden-Limburg (CR);Herkomst: Niet-westers land;5.3;13.7
275;Zuid-Limburg (CR);Herkomst (land);418.7;16.7
276;Zuid-Limburg (CR);Herkomst: Nederland;334.3;17.0
277;Zuid-Limburg (CR);Herkomst: Niet-Nederland;84.4;15.6
278;Zuid-Limburg (CR);Herkomst: Westers land;72.6;16.0
279;Zuid-Limburg (CR);Herkomst: Niet-westers land;11.8;13.3
280;Flevoland (CR);Herkomst (land);225.1;17.2
281;Flevoland (CR);Herkomst: Nederland;179.6;17.4
282;Flevoland (CR);Herkomst: Niet-Nederland;45.5;16.4
283;Flevoland (CR);Herkomst: Westers land;17.9;17.8
284;Flevoland (CR);Herkomst: Niet-westers land;27.6;15.5
285;Groningen (GA);Herkomst (land);134.2;16.6
286;Groningen (GA);Herkomst: Nederland;115.5;16.8
287;Groningen (GA);Herkomst: Niet-Nederland;18.7;15.5
288;Groningen (GA);Herkomst: Westers land;11.4;16.7
289;Groningen (GA);Herkomst: Niet-westers land;7.3;13.6
290;Leeuwarden (GA);Herkomst (land);61.9;16.1
291;Leeuwarden (GA);Herkomst: Nederland;54.3;16.3
292;Leeuwarden (GA);Herkomst: Niet-Nederland;7.6;14.5
293;Leeuwarden (GA);Herkomst: Westers land;4.3;15.8
294;Leeuwarden (GA);Herkomst: Niet-westers land;3.3;12.8
295;Zwolle (GA);Herkomst (land);76.5;17.4
296;Zwolle (GA);Herkomst: Nederland;66.8;17.6
297;Zwolle (GA);Herkomst: Niet-Nederland;9.7;15.5
298;Zwolle (GA);Herkomst: Westers land;5.1;17.2
299;Zwolle (GA);Herkomst: Niet-westers land;4.5;13.6
300;Enschede (GA);Herkomst (land);99.2;15.7
301;Enschede (GA);Herkomst: Nederland;76.9;16.0
302;Enschede (GA);Herkomst: Niet-Nederland;22.4;14.8
303;Enschede (GA);Herkomst: Westers land;12.9;15.8
304;Enschede (GA);Herkomst: Niet-westers land;9.5;13.4
305;Apeldoorn (GA);Herkomst (land);106.8;17.6
306;Apeldoorn (GA);Herkomst: Nederland;92.9;17.7
307;Apeldoorn (GA);Herkomst: Niet-Nederland;13.8;16.4
308;Apeldoorn (GA);Herkomst: Westers land;8.9;17.6
309;Apeldoorn (GA);Herkomst: Niet-westers land;5.0;14.2
310;Arnhem (GA);Herkomst (land);96.3;17.0
311;Arnhem (GA);Herkomst: Nederland;73.5;17.6
312;Arnhem (GA);Herkomst: Niet-Nederland;22.9;15.1
313;Arnhem (GA);Herkomst: Westers land;11.8;16.8
314;Arnhem (GA);Herkomst: Niet-westers land;11.1;13.3
315;Nijmegen (GA);Herkomst (land);107.2;16.8
316;Nijmegen (GA);Herkomst: Nederland;86.5;17.1
317;Nijmegen (GA);Herkomst: Niet-Nederland;20.7;15.8
318;Nijmegen (GA);Herkomst: Westers land;12.3;17.0
319;Nijmegen (GA);Herkomst: Niet-westers land;8.4;14.0
320;Amersfoort (GA);Herkomst (land);107.8;19.2
321;Amersfoort (GA);Herkomst: Nederland;89.1;19.5
322;Amersfoort (GA);Herkomst: Niet-Nederland;18.7;17.8
323;Amersfoort (GA);Herkomst: Westers land;9.8;20.1
324;Amersfoort (GA);Herkomst: Niet-westers land;8.8;15.2
325;Utrecht (GA);Herkomst (land);273.6;18.2
326;Utrecht (GA);Herkomst: Nederland;215.1;18.8
327;Utrecht (GA);Herkomst: Niet-Nederland;58.5;16.3
328;Utrecht (GA);Herkomst: Westers land;25.7;18.4
329;Utrecht (GA);Herkomst: Niet-westers land;32.8;14.6
330;Amsterdam (GA);Herkomst (land);660.9;18.7
331;Amsterdam (GA);Herkomst: Nederland;440.5;19.4
332;Amsterdam (GA);Herkomst: Niet-Nederland;220.4;17.4
333;Amsterdam (GA);Herkomst: Westers land;84.5;20.5
334;Amsterdam (GA);Herkomst: Niet-westers land;135.9;15.5
335;Haarlem (GA);Herkomst (land);130.7;19.8
336;Haarlem (GA);Herkomst: Nederland;107.4;20.0
337;Haarlem (GA);Herkomst: Niet-Nederland;23.3;18.5
338;Haarlem (GA);Herkomst: Westers land;13.6;21.1
339;Haarlem (GA);Herkomst: Niet-westers land;9.7;14.8
340;Leiden (GA);Herkomst (land);166.6;19.2
341;Leiden (GA);Herkomst: Nederland;141.4;19.2
342;Leiden (GA);Herkomst: Niet-Nederland;25.2;19.3
343;Leiden (GA);Herkomst: Westers land;14.9;21.8
344;Leiden (GA);Herkomst: Niet-westers land;10.2;15.7
345;'s-Gravenhage (GA);Herkomst (land);401.0;19.2
346;'s-Gravenhage (GA);Herkomst: Nederland;274.5;19.6
347;'s-Gravenhage (GA);Herkomst: Niet-Nederland;126.5;18.2
348;'s-Gravenhage (GA);Herkomst: Westers land;51.0;22.7
349;'s-Gravenhage (GA);Herkomst: Niet-westers land;75.5;15.2
350;Rotterdam (GA);Herkomst (land);649.6;17.4
351;Rotterdam (GA);Herkomst: Nederland;463.8;18.1
352;Rotterdam (GA);Herkomst: Niet-Nederland;185.8;15.9
353;Rotterdam (GA);Herkomst: Westers land;60.9;18.0
354;Rotterdam (GA);Herkomst: Niet-westers land;124.9;14.8
355;Dordrecht (GA);Herkomst (land);162.0;17.8
356;Dordrecht (GA);Herkomst: Nederland;136.3;18.1
357;Dordrecht (GA);Herkomst: Niet-Nederland;25.7;16.0
358;Dordrecht (GA);Herkomst: Westers land;12.9;17.7
359;Dordrecht (GA);Herkomst: Niet-westers land;12.8;14.2
360;Breda (GA);Herkomst (land);113.7;17.9
361;Breda (GA);Herkomst: Nederland;94.5;18.2
362;Breda (GA);Herkomst: Niet-Nederland;19.2;16.3
363;Breda (GA);Herkomst: Westers land;11.3;17.6
364;Breda (GA);Herkomst: Niet-westers land;7.9;14.5
365;Tilburg (GA);Herkomst (land);150.2;16.7
366;Tilburg (GA);Herkomst: Nederland;125.6;16.9
367;Tilburg (GA);Herkomst: Niet-Nederland;24.6;15.4
368;Tilburg (GA);Herkomst: Westers land;12.4;16.6
369;Tilburg (GA);Herkomst: Niet-westers land;12.2;14.2
370;'s-Hertogenbosch (GA);Herkomst (land);108.5;18.1
371;'s-Hertogenbosch (GA);Herkomst: Nederland;92.6;18.4
372;'s-Hertogenbosch (GA);Herkomst: Niet-Nederland;15.9;16.4
373;'s-Hertogenbosch (GA);Herkomst: Westers land;9.4;17.9
374;'s-Hertogenbosch (GA);Herkomst: Niet-westers land;6.5;14.1
375;Eindhoven (GA);Herkomst (land);217.5;18.0
376;Eindhoven (GA);Herkomst: Nederland;178.3;18.3
377;Eindhoven (GA);Herkomst: Niet-Nederland;39.3;16.6
378;Eindhoven (GA);Herkomst: Westers land;22.5;17.9
379;Eindhoven (GA);Herkomst: Niet-westers land;16.7;14.9
380;Geleen/Sittard (GA);Herkomst (land);95.0;17.2
381;Geleen/Sittard (GA);Herkomst: Nederland;77.5;17.5
382;Geleen/Sittard (GA);Herkomst: Niet-Nederland;17.5;15.8
383;Geleen/Sittard (GA);Herkomst: Westers land;14.8;16.2
384;Geleen/Sittard (GA);Herkomst: Niet-westers land;2.8;13.7
385;Heerlen (GA);Herkomst (land);142.5;15.9
386;Heerlen (GA);Herkomst: Nederland;105.2;16.2
387;Heerlen (GA);Herkomst: Niet-Nederland;37.3;15.1
388;Heerlen (GA);Herkomst: Westers land;32.8;15.4
389;Heerlen (GA);Herkomst: Niet-westers land;4.5;13.1
390;Maastricht (GA);Herkomst (land);81.8;16.6
391;Maastricht (GA);Herkomst: Nederland;66.9;16.8
392;Maastricht (GA);Herkomst: Niet-Nederland;14.9;15.5
393;Maastricht (GA);Herkomst: Westers land;11.4;16.3
394;Maastricht (GA);Herkomst: Niet-westers land;3.4;13.0
395;Groningen (SG);Herkomst (land);228.4;17.0
396;Groningen (SG);Herkomst: Nederland;204.9;17.1
397;Groningen (SG);Herkomst: Niet-Nederland;23.5;16.1
398;Groningen (SG);Herkomst: Westers land;15.4;17.3
399;Groningen (SG);Herkomst: Niet-westers land;8.1;13.9
400;Leeuwarden (SG);Herkomst (land);105.6;16.3
401;Leeuwarden (SG);Herkomst: Nederland;96.2;16.5
402;Leeuwarden (SG);Herkomst: Niet-Nederland;9.3;14.8
403;Leeuwarden (SG);Herkomst: Westers land;5.7;16.1
404;Leeuwarden (SG);Herkomst: Niet-westers land;3.7;12.8
405;Zwolle (SG);Herkomst (land);113.5;17.4
406;Zwolle (SG);Herkomst: Nederland;102.5;17.6
407;Zwolle (SG);Herkomst: Niet-Nederland;11.1;15.9
408;Zwolle (SG);Herkomst: Westers land;6.2;17.7
409;Zwolle (SG);Herkomst: Niet-westers land;4.9;13.8
410;Enschede (SG);Herkomst (land);203.1;16.4
