ID;Perioden;MannenEnVrouwen_1;Mannen_2;Vrouwen_3
195;1966 april;12410806;6196260;6214546
196;1966 mei;12424888;6203691;6221197
197;1966 juni;12440249;6211761;6228488
198;1966 juli;12454000;6219028;6234972
199;1966 augustus;12468532;6226687;6241845
200;1966 september;12483369;6234498;6248871
201;1966 oktober;12498775;6242595;6256180
202;1966 november;12512178;6249692;6262486
203;1966 december;12523046;6255524;6267522
204;1967 januari;12535307;6262052;6273255
205;1967 februari;12542835;6265163;6277672
206;1967 maart;12552190;6269186;6283004
207;1967 april;12562756;6273813;6288943
208;1967 mei;12573782;6278669;6295113
209;1967 juni;12585792;6284014;6301778
210;1967 juli;12596822;6288870;6307952
211;1967 augustus;12607254;6293425;6313829
212;1967 september;12619909;6299089;6320820
213;1967 oktober;12630701;6303822;6326879
214;1967 november;12641266;6308440;6332826
215;1967 december;12651192;6312739;6338453
216;1968 januari;12661095;6317025;6344070
217;1968 februari;12667525;6320023;6347502
218;1968 maart;12675798;6323941;6351857
219;1968 april;12687400;6329519;6357881
220;1968 mei;12698919;6335055;6363864
221;1968 juni;12711894;6341317;6370577
222;1968 juli;12724680;6347485;6377195
223;1968 augustus;12737134;6353486;6383648
224;1968 september;12750353;6359869;6390484
225;1968 oktober;12764162;6366546;6397616
226;1968 november;12775853;6372165;6403688
227;1968 december;12786687;6377357;6409330
228;1969 januari;12798346;6382960;6415386
229;1969 februari;12807537;6387765;6419772
230;1969 maart;12817642;6393026;6424616
231;1969 april;12830399;6399611;6430788
232;1969 mei;12844647;6406939;6437708
233;1969 juni;12859896;6414767;6445129
234;1969 juli;12873211;6421632;6451579
235;1969 augustus;12887534;6428999;6458535
236;1969 september;12903036;6436955;6466081
237;1969 oktober;12918102;6444694;6473408
238;1969 november;12932091;6451896;6480195
239;1969 december;12944541;6458331;6486210
240;1970 januari;12957621;6465081;6492540
241;1970 februari;12965686;6469425;6496261
242;1970 maart;12977008;6475394;6501614
243;1970 april;12990075;6482235;6507840
244;1970 mei;13004512;6489759;6514753
245;1970 juni;13018912;6497267;6521645
246;1970 juli;13032335;6504287;6528048
247;1970 augustus;13046348;6511602;6534746
248;1970 september;13060877;6519176;6541701
249;1970 oktober;13076929;6527511;6549418
250;1970 november;13090750;6534732;6556018
251;1970 december;13103772;6541556;6562216
252;1971 januari;13119430;6549696;6569734
253;1971 februari;13129110;6554493;6574617
254;1971 maart;13140683;6560234;6580449
255;1971 april;13153851;6566772;6587079
256;1971 mei;13167261;6573430;6593831
257;1971 juni;13181148;6580327;6600821
258;1971 juli;13193776;6586595;6607181
259;1971 augustus;13206862;6593091;6613771
260;1971 september;13220692;6599959;6620733
261;1971 oktober;13234060;6606596;6627464
262;1971 november;13245612;6612326;6633286
263;1971 december;13256262;6617607;6638655
264;1972 januari;13269563;6624210;6645353
265;1972 februari;13275807;6626698;6649109
266;1972 maart;13284930;6630622;6654308
267;1972 april;13296353;6635693;6660660
268;1972 mei;13308105;6640927;6667178
269;1972 juni;13319666;6646065;6673601
270;1972 juli;13329874;6650526;6679348
271;1972 augustus;13339443;6654668;6684775
272;1972 september;13351684;6660142;6691542
273;1972 oktober;13361524;6664417;6697107
274;1972 november;13371267;6668643;6702624
275;1972 december;13379052;6671891;6707161
276;1973 januari;13387623;6675531;6712092
277;1973 februari;13392401;6677500;6714901
278;1973 maart;13399599;6680676;6718923
279;1973 april;13409103;6685001;6724102
280;1973 mei;13418647;6689345;6729302
281;1973 juni;13429241;6694213;6735028
282;1973 juli;13438489;6698408;6740081
283;1973 augustus;13447663;6702566;6745097
284;1973 september;13457823;6707215;6750608
285;1973 oktober;13467522;6711634;6755888
286;1973 november;13475735;6715311;6760424
287;1973 december;13483696;6718863;6764833
288;1974 januari;13491020;6722096;6768924
289;1974 februari;13496654;6724545;6772109
290;1974 maart;13503439;6727567;6775872
291;1974 april;13511280;6731115;6780165
292;1974 mei;13520607;6735403;6785204
293;1974 juni;13530981;6740211;6790770
294;1974 juli;13539915;6744302;6795613
295;1974 augustus;13549563;6748748;6800815
296;1974 september;13560829;6754000;6806829
297;1974 oktober;13572537;6759471;6813066
298;1974 november;13582973;6764308;6818665
299;1974 december;13590968;6767928;6823040
300;1975 januari;13599092;6771613;6827479
301;1975 februari;13605778;6774802;6830976
302;1975 maart;13612314;6777915;6834399
303;1975 april;13620648;6781924;6838724
304;1975 mei;13630978;6786926;6844052
305;1975 juni;13642694;6792619;6850075
306;1975 juli;13653438;6797827;6855611
307;1975 augustus;13667722;6804797;6862925
308;1975 september;13681457;6811494;6869963
309;1975 oktober;13697309;6819245;6878064
310;1975 november;13711921;6826377;6885544
311;1975 december;13725333;6832912;6892421
312;1976 januari;13733578;6836875;6896703
313;1976 februari;13739439;6839328;6900111
314;1976 maart;13744949;6841605;6903344
315;1976 april;13750307;6843807;6906500
316;1976 mei;13756084;6846217;6909867
317;1976 juni;13763410;6849397;6914013
318;1976 juli;13769913;6852167;6917746
319;1976 augustus;13777766;6855609;6922157
320;1976 september;13787195;6859834;6927361
321;1976 oktober;13795696;6863597;6932099
322;1976 november;13803316;6866921;6936395
323;1976 december;13809572;6869566;6940006
324;1977 januari;13814495;6871547;6942948
325;1977 februari;13819270;6873441;6945829
326;1977 maart;13824802;6875711;6949091
327;1977 april;13831467;6878545;6952922
328;1977 mei;13837620;6881123;6956497
329;1977 juni;13845253;6884437;6960816
330;1977 juli;13852989;6887801;6965188
331;1977 augustus;13861152;6891378;6969774
332;1977 september;13870764;6895674;6975090
333;1977 oktober;13878833;6899202;6979631
334;1977 november;13885981;6902272;6983709
335;1977 december;13892213;6904886;6987327
336;1978 januari;13897874;6907216;6990658
337;1978 februari;13902011;6908830;6993181
338;1978 maart;13905462;6910103;6995359
339;1978 april;13912778;6913296;6999482
340;1978 mei;13920543;6916712;7003831
341;1978 juni;13929212;6920576;7008636
342;1978 juli;13936754;6923880;7012874
343;1978 augustus;13944929;6927498;7017431
344;1978 september;13954800;6931958;7022842
345;1978 oktober;13963569;6935870;7027699
346;1978 november;13971048;6939141;7031907
347;1978 december;13979176;6942733;7036443
348;1979 januari;13985526;6945442;7040084
349;1979 februari;13991910;6948319;7043591
350;1979 maart;13997992;6951045;7046947
351;1979 april;14005167;6954314;7050853
352;1979 mei;14013271;6958044;7055227
353;1979 juni;14022181;6962174;7060007
354;1979 juli;14030002;6965763;7064239
355;1979 augustus;14039077;6969974;7069103
356;1979 september;14050098;6975150;7074948
357;1979 oktober;14060829;6980183;7080646
358;1979 november;14072974;6985916;7087058
359;1979 december;14083104;6990649;7092455
360;1980 januari;14091014;6994280;7096734
361;1980 februari;14099638;6998216;7101422
362;1980 maart;14107341;7001695;7105646
363;1980 april;14115704;7005501;7110203
364;1980 mei;14125130;7009834;7115296
365;1980 juni;14134904;7014339;7120565
366;1980 juli;14143901;7018458;7125443
367;1980 augustus;14154848;7023545;7131303
368;1980 september;14167407;7029430;7137977
369;1980 oktober;14181171;7035913;7145258
370;1980 november;14191749;7040815;7150934
371;1980 december;14200391;7044756;7155635
372;1981 januari;14208586;7048474;7160112
373;1981 februari;14214119;7050785;7163334
374;1981 maart;14220234;7053385;7166849
375;1981 april;14226577;7056098;7170479
376;1981 mei;14233531;7059113;7174418
377;1981 juni;14240182;7061977;7178205
378;1981 juli;14246049;7064453;7181596
379;1981 augustus;14253357;7067642;7185715
380;1981 september;14261021;7071008;7190013
381;1981 oktober;14268800;7074430;7194370
382;1981 november;14274989;7077063;7197926
383;1981 december;14280665;7079442;7201223
384;1982 januari;14285829;7081566;7204263
385;1982 februari;14289170;7082757;7206413
386;1982 maart;14292446;7083916;7208530
387;1982 april;14296350;7085386;7210964
388;1982 mei;14301131;7087290;7213841
389;1982 juni;14306005;7089240;7216765
390;1982 juli;14310401;7090953;7219448
391;1982 augustus;14315069;7092800;7222269
392;1982 september;14321222;7095383;7225839
393;1982 oktober;14327763;7098158;7229605
394;1982 november;14332240;7099909;7232331
395;1982 december;14335935;7101273;7234662
396;1983 januari;14339551;7102598;7236953
397;1983 februari;14341625;7103151;7238474
398;1983 maart;14344825;7104262;7240563
399;1983 april;14348566;7105641;7242925
400;1983 mei;14353351;7107536;7245815
401;1983 juni;14357555;7109144;7248411
402;1983 juli;14362381;7111059;7251322
403;1983 augustus;14367569;7113153;7254416
404;1983 september;14374559;7116139;7258420
405;1983 oktober;14380642;7118675;7261967
406;1983 november;14385536;7120622;7264914
407;1983 december;14390077;7122394;7267683
408;1984 januari;14394589;7124152;7270437
409;1984 februari;14398359;7125698;7272661
410;1984 maart;14402190;7127274;7274916
411;1984 april;14405748;7128715;7277033
412;1984 mei;14409711;7130356;7279355
413;1984 juni;14414945;7132625;7282320
414;1984 juli;14420334;7134972;7285362
415;1984 augustus;14426527;7137715;7288812
416;1984 september;14433814;7141000;7292814
417;1984 oktober;14440381;7143928;7296453
418;1984 november;14445714;7146246;7299468
419;1984 december;14450520;7148302;7302218
420;1985 januari;14453833;7149620;7304213
421;1985 februari;14457162;7151061;7306101
422;1985 maart;14461627;7153065;7308562
423;1985 april;14466153;7155098;7311055
424;1985 mei;14472104;7157836;7314268
425;1985 juni;14478729;7160907;7317822
426;1985 juli;14484501;7163556;7320945
427;1985 augustus;14492456;7167284;7325172
428;1985 september;14501958;7171777;7330181
429;1985 oktober;14511208;7176146;7335062
430;1985 november;14519197;7179890;7339307
431;1985 december;14524815;7182462;7342353
432;1986 januari;14529430;7184538;7344892
433;1986 februari;14533349;7186261;7347088
434;1986 maart;14536814;7187760;7349054
435;1986 april;14541165;7189697;7351468
436;1986 mei;14549132;7193421;7355711
437;1986 juni;14556916;7197055;7359861
438;1986 juli;14563763;7200225;7363538
439;1986 augustus;14572498;7204328;7368170
440;1986 september;14582333;7208975;7373358
441;1986 oktober;14592176;7213626;7378550
442;1986 november;14601800;7218168;7383632
443;1986 december;14608093;7221063;7387030
444;1987 januari;14615125;7224323;7390802
445;1987 februari;14621748;7227592;7394156
446;1987 maart;14628559;7230954;7397605
447;1987 april;14636607;7234928;7401679
448;1987 mei;14644609;7238879;7405730
449;1987 juni;14653397;7243218;7410179
450;1987 juli;14661755;7247345;7414410
451;1987 augustus;14671336;7252076;7419260
452;1987 september;14682059;7257372;7424687
453;1987 oktober;14693635;7263090;7430545
454;1987 november;14702423;7267429;7434994
455;1987 december;14708811;7270582;7438229
456;1988 januari;14714948;7273611;7441337
457;1988 februari;14722041;7276980;7445061
458;1988 maart;14728961;7280264;7448697
459;1988 april;14736621;7283913;7452708
460;1988 mei;14743801;7287325;7456476
461;1988 juni;14751025;7290758;7460267
462;1988 juli;14758362;7294247;7464115
463;1988 augustus;14765601;7297687;7467914
464;1988 september;14776120;7302749;7473371
465;1988 oktober;14786626;7307804;7478822
466;1988 november;14793264;7310947;7482317
467;1988 december;14799959;7314118;7485841
468;1989 januari;14805240;7316590;7488650
469;1989 februari;14810181;7318927;7491254
470;1989 maart;14814770;7321089;7493681
471;1989 april;14821134;7324129;7497005
472;1989 mei;14828423;7327626;7500797
473;1989 juni;14835716;7331125;7504591
474;1989 juli;14842404;7334324;7508080
475;1989 augustus;14850732;7338334;7512398
476;1989 september;14861804;7343700;7518104
477;1989 oktober;14871876;7348571;7523305
478;1989 november;14880091;7352525;7527566
479;1989 december;14888213;7356433;7531780
480;1990 januari;14892574;7358482;7534092
481;1990 februari;14899048;7361911;7537137
482;1990 maart;14906596;7365870;7540726
483;1990 april;14915695;7370596;7545099
484;1990 mei;14924343;7375100;7549243
485;1990 juni;14934767;7380482;7554285
486;1990 juli;14943920;7385235;7558685
487;1990 augustus;14954531;7390710;7563821
488;1990 september;14967749;7397473;7570276
489;1990 oktober;14980711;7404111;7576600
490;1990 november;14992708;7410271;7582437
491;1990 december;15002737;7415460;7587277
492;1991 januari;15010445;7419501;7590944
493;1991 februari;15019950;7424168;7595782
494;1991 maart;15027731;7428191;7599540
495;1991 april;15036429;7432789;7603640
496;1991 mei;15045516;7437234;7608282
497;1991 juni;15055393;7442263;7613130
498;1991 juli;15064870;7447314;7617556
499;1991 augustus;15075479;7452727;7622752
500;1991 september;15089208;7459611;7629597
501;1991 oktober;15102231;7466251;7635980
502;1991 november;15113509;7472177;7641332
503;1991 december;15122163;7476635;7645528
504;1992 januari;15129150;7480422;7648728
505;1992 februari;15138079;7485033;7653046
506;1992 maart;15145431;7488669;7656762
507;1992 april;15153735;7492766;7660969
508;1992 mei;15161522;7496579;7664943
509;1992 juni;15169837;7500777;7669060
510;1992 juli;15178051;7504798;7673253
511;1992 augustus;15187762;7509683;7678079
512;1992 september;15199066;7515290;7683776
513;1992 oktober;15211824;7521531;7690293
514;1992 november;15222305;7526647;7695658
515;1992 december;15230508;7530625;7699883
516;1993 januari;15239182;7535268;7703914
517;1993 februari;15245996;7538600;7707396
518;1993 maart;15253253;7542228;7711025
519;1993 april;15260744;7545926;7714818
520;1993 mei;15269013;7550077;7718936
521;1993 juni;15277917;7554598;7723319
522;1993 juli;15287134;7558978;7728156
523;1993 augustus;15297884;7564670;7733214
524;1993 september;15310890;7571143;7739747
525;1993 oktober;15323332;7577108;7746224
526;1993 november;15331977;7580944;7751033
527;1993 december;15337472;7583477;7753995
528;1994 januari;15341553;7585887;7755666
529;1994 februari;15346829;7588559;7758270
530;1994 maart;15352068;7591214;7760854
531;1994 april;15360015;7595207;7764808
532;1994 mei;15367889;7599164;7768725
533;1994 juni;15374701;7602596;7772105
534;1994 juli;15381122;7605835;7775287
535;1994 augustus;15385974;7608298;7777676
536;1994 september;15394487;7612572;7781915
537;1994 oktober;15403168;7616928;7786240
538;1994 november;15410040;7620390;7789650
539;1994 december;15418338;7624558;7793780
540;1995 januari;15424122;7627482;7796640
541;1995 februari;15430178;7630502;7799676
542;1995 maart;15436176;7633494;7802682
543;1995 april;15441920;7636360;7805560
544;1995 mei;15446212;7638508;7807704
545;1995 juni;15452370;7641578;7810792
546;1995 juli;15458846;7644806;7814040
547;1995 augustus;15463815;7647289;7816526
548;1995 september;15471535;7651132;7820403
549;1995 oktober;15478799;7654750;7824049
550;1995 november;15485909;7658292;7827617
551;1995 december;15491273;7660970;7830303
552;1996 januari;15493889;7662289;7831600
553;1996 februari;15497600;7663984;7833616
554;1996 maart;15500831;7665441;7835390
555;1996 april;15504470;7667100;7837370
556;1996 mei;15508473;7668938;7839535
557;1996 juni;15514286;7671672;7842614
558;1996 juli;15520466;7674587;7845879
559;1996 augustus;15527856;7678101;7849755
560;1996 september;15537856;7682904;7854952
561;1996 oktober;15546396;7686986;7859410
562;1996 november;15555574;7691383;7864191
563;1996 december;15562870;7694849;7868021
564;1997 januari;15567107;7696803;7870304
565;1997 februari;15572186;7699332;7872854
566;1997 maart;15577358;7701907;7875451
567;1997 april;15582958;7704693;7878265
568;1997 mei;15590188;7708286;7881902
569;1997 juni;15597616;7711976;7885640
570;1997 juli;15605007;7715648;7889359
571;1997 augustus;15613819;7720023;7893796
572;1997 september;15622541;7724353;7898188
573;1997 oktober;15633594;7729836;7903758
574;1997 november;15642072;7734046;7908026
575;1997 december;15648779;7737380;7911399
576;1998 januari;15654192;7740074;7914118
577;1998 februari;15663598;7744788;7918810
578;1998 maart;15670208;7748121;7922087
579;1998 april;15675987;7751042;7924945
580;1998 mei;15681594;7753878;7927716
581;1998 juni;15688771;7757491;7931280
582;1998 juli;15696325;7761290;7935035
583;1998 augustus;15705474;7765877;7939597
584;1998 september;15718624;7772444;7946180
585;1998 oktober;15732690;7779463;7953227
586;1998 november;15744644;7785438;7959206
587;1998 december;15754242;7790248;7963994
588;1999 januari;15760225;7793271;7966954
589;1999 februari;15766968;7796751;7970217
590;1999 maart;15773265;7800010;7973255
591;1999 april;15780138;7803554;7976584
592;1999 mei;15788353;7807762;7980591
593;1999 juni;15796073;7811726;7984347
594;1999 juli;15804576;7816076;7988500
595;1999 augustus;15814266;7821014;7993252
596;1999 september;15826589;7827255;7999334
597;1999 oktober;15839389;7833731;8005658
598;1999 november;15848392;7838330;8010062
599;1999 december;15857134;7842800;8014334
600;2000 januari;15863950;7846317;8017633
601;2000 februari;15869939;7849498;8020441
602;2000 maart;15879679;7854534;8025145
603;2000 april;15889165;7859444;8029721
604;2000 mei;15897401;7863737;8033664
605;2000 juni;15907990;7869194;8038796
606;2000 juli;15917484;7874109;8043375
607;2000 augustus;15928324;7879691;8048633
608;2000 september;15942983;7887162;8055821
609;2000 oktober;15956916;7894275;8062641
610;2000 november;15968671;7900310;8068361
611;2000 december;15980119;7906193;8073926
612;2001 januari;15987075;7909855;8077220
613;2001 februari;15995169;7914160;8081009
614;2001 maart;16003824;7918742;8085082
615;2001 april;16011457;7922820;8088637
616;2001 mei;16019702;7927200;8092502
617;2001 juni;16029662;7932429;8097233
618;2001 juli;16038505;7937106;8101399
619;2001 augustus;16048988;7942595;8106393
620;2001 september;16062264;7949467;8112797
621;2001 oktober;16075342;7956241;8119101
622;2001 november;16086481;7962056;8124425
623;2001 december;16095715;7966928;8128787
624;2002 januari;16105285;7971967;8133318
625;2002 februari;16112900;7975761;8137139
626;2002 maart;16118953;7978782;8140171
627;2002 april;16124125;7981367;8142758
628;2002 mei;16130246;7984421;8145825
629;2002 juni;16136807;7987694;8149113
630;2002 juli;16142509;7990541;8151968
631;2002 augustus;16150395;7994469;8155926
632;2002 september;16161182;7999834;8161348
633;2002 oktober;16172237;8005331;8166906
634;2002 november;16181025;8009706;8171319
635;2002 december;16186463;8012422;8174041
636;2003 januari;16192572;8015471;8177101
637;2003 februari;16197712;8017853;8179859
638;2003 maart;16202461;8020041;8182420
639;2003 april;16206096;8021677;8184419
640;2003 mei;16210401;8023645;8186756
641;2003 juni;16216206;8026355;8189851
642;2003 juli;16220466;8028301;8192165
643;2003 augustus;16224335;8030053;8194282
644;2003 september;16231660;8033515;8198145
645;2003 oktober;16240940;8037945;8202995
646;2003 november;16247162;8040861;8206301
647;2003 december;16250434;8042317;8208117
648;2004 januari;16258032;8045914;8212118
649;2004 februari;16259377;8046294;8213083
650;2004 maart;16261277;8046948;8214329
651;2004 april;16262757;8047395;8215362
652;2004 mei;16264229;8047837;8216392
653;2004 juni;16268052;8049443;8218609
654;2004 juli;16272506;8051361;8221145
655;2004 augustus;16275863;8052736;8223127
656;2004 september;16281256;8055118;8226138
657;2004 oktober;16289585;8058952;8230633
658;2004 november;16293737;8060720;8233017
659;2004 december;16297779;8062433;8235346
660;2005 januari;16305526;8065979;8239547
661;2005 februari;16306977;8066467;8240510
662;2005 maart;16307888;8066688;8241200
663;2005 april;16307482;8066257;8241225
664;2005 mei;16308869;8066714;8242155
665;2005 juni;16311019;8067547;8243472
666;2005 juli;16312596;8068098;8244498
667;2005 augustus;16315238;8069174;8246064
668;2005 september;16319511;8071058;8248453
669;2005 oktober;16327575;8074816;8252759
670;2005 november;16330818;8076190;8254628
671;2005 december;16331930;8076510;8255420
672;2006 januari;16334210;8077407;8256803
673;2006 februari;16334715;8077602;8257113
674;2006 maart;16335459;8077916;8257543
675;2006 april;16334090;8077185;8256905
676;2006 mei;16333559;8076868;8256691
677;2006 juni;16334600;8077328;8257272
678;2006 juli;16336676;8078300;8258376
679;2006 augustus;16337253;8078531;8258722
680;2006 september;16342333;8080989;8261344
681;2006 oktober;16348917;8084190;8264727
682;2006 november;16352678;8085995;8266683
683;2006 december;16352972;8086086;8266886
684;2007 januari;16357992;8088514;8269478
685;2007 februari;16359133;8089088;8270045
686;2007 maart;16362938;8090979;8271959
687;2007 april;16365065;8092041;8273024
688;2007 mei;16367596;8093302;8274294
689;2007 juni;16371278;8095132;8276146
690;2007 juli;16374541;8096756;8277785
691;2007 augustus;16377339;8098149;8279190
692;2007 september;16383275;8101094;8282181
693;2007 oktober;16393843;8106329;8287514
694;2007 november;16399139;8108958;8290181
695;2007 december;16401009;8109892;8291117
696;2008 januari;16405399;8112073;8293326
697;2008 februari;16409106;8114285;8294821
698;2008 maart;16414307;8117237;8297070
699;2008 april;16418055;8119470;8298585
700;2008 mei;16423337;8122461;8300876
701;2008 juni;16428686;8125487;8303199
