ID;RegioS;Periode;AantalGemeenten_1;NieuwGevormdeGemeenten_2;HeringedeeldeGemeenten10Jaarstotaal_3;OverigeGrenscorrecties_4;Totaal_5;JongerDan20Jaar_6;k_20Tot65Jaar_7;k_65JaarOfOuder_8;Totaal_9;JongerDan20Jaar_10;k_20Tot65Jaar_11;k_65JaarOfOuder_12;Totaal_13;JongerDan20Jaar_14;k_20Tot65Jaar_15;k_65JaarOfOuder_16;Bevolkingsdichtheid_17;ZeerSterkStedelijk_18;SterkStedelijk_19;MatigStedelijk_20;WeinigStedelijk_21;NietStedelijk_22;Woningvoorraad_23;Woningdichtheid_24;WoningvooraadToevoegingDoorNieuwbouw_25;SaldoVermeerdering_26;SaldoVermeerderingPer1000Woningen_27;InkomstenUitProvinciefonds_28;OpcentenMotorrijtuigenbelasting_29;OverigeInkomsten_30;UitgavenEconActiviteiten_31;UitgavenEconActiviteitenPerInwoner_32;UitgavenAanWegonderhoud_33;UitgavenAanWegonderhoudPerInwoner_34;BelastingdrukPerMotorvoertuig_35;RegionaleEconomischeGroei_36;GroeiBanenVanWerknemers_37;LengteWegenTotaal_38;ProvincialeWegen_39;OverigeWegen_40;LengteVanSpoorwegen_41;AantalVerkeersdoden_42;VermogenDoorWarmteKoudeopslag_43;Totaal_44;TotaalLand_45;TotaalWater_46;LandEnWaterTotaal_47;LandTotaal_48;Verkeersterrein_49;Totaal_50;Woonterrein_51;Bedrijventerrein_52;OverigBebouwdTerrein_53;BosEnOpenNatuurlijkTerrein_54;OverigeOppervlakteLand_55;Totaal_56;IJsselmeerMarkermeer_57;RijnEnMaas_58;OverigBinnenwater_59;Buitenwater_60;LandEnWaterTotaal_61;LandTotaal_62;Verkeersterrein_63;Totaal_64;Woonterrein_65;Bedrijventerrein_66;OverigBebouwdTerrein_67;BosEnOpenNatuurlijkTerrein_68;OverigeOppervlakteLand_69;Totaal_70;IJsselmeerMarkermeer_71;RijnEnMaas_72;OverigBinnenwater_73;Buitenwater_74
10;Oost-Nederland;2008;87;0;80;0;3482551;884997;2101686;495868;1727265;452896;1061044;213325;1755286;432101;1040642;282543;358;192240;802440;766060;881980;839830;1401571;144;18796;15958;11.4;322652.0;301396.0;1768716.0;126122.0;36.0;213236.0;61.0;146.0;1.6;1.3;36982;2765;34217;884;189.0;;1096967;971488;125480;1096967.0;971488.0;29619.0;73706.0;50079.0;15383.0;8244.0;183550.0;684612.0;125480.0;84768.0;6464.0;34248.0;0.0;;;;;;;;;;;;;;
11;Oost-Nederland;2009;87;0;67;2;3499946;883884;2106881;509181;1736972;452750;1063422;220800;1762974;431134;1043459;288381;360;206400;846900;774450;877800;777000;1416488;146;18824;16032;11.3;;;;;;;;;;;37146;2760;34386;884;;;1096967;971107;125861;;;;;;;;;;;;;;;1096967.0;971107.0;29870.0;76312.0;51521.0;16278.0;8513.0;183048.0;681877.0;125861.0;84770.0;6515.0;34576.0;0.0
12;West-Nederland;2006;188;4;61;6;7625684;1840482;4722001;1063201;3749644;940956;2362446;446242;3876040;899526;2359555;616959;881;2552720;2011620;1181670;1016140;863520;3345812;386;34724;26563;7.9;375240.0;463396.0;1480407.0;230339.0;30.0;45318.0;6.0;123.0;3.4;;42219;2220;39999;1004;309.0;276.0;1189328;865787;323541;1187815.0;865786.0;37648.0;125804.0;85042.0;28020.0;12742.0;84955.0;617379.0;135724.0;52623.0;7119.0;75982.0;186305.0;;;;;;;;;;;;;;
13;West-Nederland;2007;180;5;61;1;7639268;1834242;4727722;1077304;3756269;938235;2362312;455722;3882999;896007;2365410;621582;882;2542840;2017070;1207680;1025050;846630;3370955;389;38790;27923;8.3;398008.0;513457.0;2335132.0;44664.0;6.0;334100.0;44.0;134.0;3.5;2.6;42441;2283;40158;1009;297.0;313.0;1189328;865787;323541;1187815.0;865787.0;37648.0;125804.0;85042.0;28020.0;12742.0;84955.0;617380.0;135724.0;52623.0;7119.0;75982.0;186305.0;;;;;;;;;;;;;;
14;West-Nederland;2008;180;0;61;0;7669533;1830435;4745130;1093968;3771391;935970;2369617;465804;3898142;894465;2375513;628164;886;2559380;2043310;1212910;1022020;831920;3404702;393;37648;30841;9.1;430517.0;594073.0;1695351.0;45821.0;6.0;245132.0;32.0;151.0;2.2;1.1;42640;2226;40414;1016;266.0;;1189328;865787;323541;1187815.0;865787.0;37648.0;125804.0;85042.0;28020.0;12742.0;84955.0;617379.0;135724.0;52623.0;7119.0;75982.0;186305.0;;;;;;;;;;;;;;
15;West-Nederland;2009;178;2;65;5;7719856;1832006;4771703;1116147;3798931;936916;2382745;479270;3920925;895090;2388958;636877;893;2648080;2038930;1187490;994430;800600;3434986;397;40950;34651;10.1;;;;;;;;;;;42898;2213;40685;1023;;;1189328;864600;324727;;;;;;;;;;;;;;;1189328.0;864600.0;38501.0;128887.0;86091.0;29931.0;12865.0;85415.0;611798.0;136746.0;52625.0;7190.0;76932.0;187982.0
16;Zuid-Nederland;2006;115;0;91;3;3547884;835713;2183107;529064;1766313;427281;1111069;227963;1781571;408432;1072038;301101;502;288790;774390;742910;893800;848000;1473987;209;14590;13211;9.0;178662.0;262873.0;968281.0;184780.0;52.0;89420.0;25.0;129.0;3.5;;33323;1085;32238;581;186.0;110.0;729098;706736;22362;729098.0;706737.0;24948.0;84716.0;57136.0;19068.0;8512.0;119508.0;477564.0;22362.0;0.0;4330.0;18032.0;0.0;;;;;;;;;;;;;;
17;Zuid-Nederland;2007;108;4;32;0;3546847;828039;2177772;541036;1765661;423472;1107505;234684;1781186;404567;1070267;306352;502;291310;778690;751900;891270;833680;1486864;210;15914;14238;9.6;185844.0;287852.0;1594162.0;67883.0;19.0;109277.0;31.0;139.0;3.8;3.2;33410;1037;32373;582;215.0;121.0;729098;706736;22362;729098.0;706736.0;24948.0;84716.0;57136.0;19068.0;8512.0;119508.0;477564.0;22362.0;0.0;4330.0;18032.0;0.0;;;;;;;;;;;;;;
18;Zuid-Nederland;2008;108;0;28;0;3548532;820169;2173874;554489;1766428;419493;1104606;242329;1782104;400676;1069268;312160;502;300850;778160;754040;891230;824250;1503731;213;14583;10910;7.3;202331.0;300092.0;1601990.0;68450.0;19.0;123700.0;35.0;142.0;0.9;0.9;33582;1050;32532;570;190.0;;729098;706736;22362;729098.0;706736.0;24948.0;84716.0;57136.0;19068.0;8512.0;119508.0;477564.0;22362.0;0.0;4330.0;18032.0;0.0;;;;;;;;;;;;;;
19;Zuid-Nederland;2009;108;0;26;0;3557164;814167;2173515;569482;1771426;416287;1104380;250759;1785738;397880;1069135;318723;503;335970;820170;747140;871520;773740;1514215;214;16686;15341;10.1;;;;;;;;;;;33761;1052;32709;576;;;729098;706593;22505;;;;;;;;;;;;;;;729098.0;706593.0;25594.0;86337.0;57852.0;19938.0;8547.0;118943.0;475720.0;22505.0;0.0;4333.0;18172.0;0.0
20;Groningen;2006;25;0;0;1;574042;130615;358800;84627;285089;66441;183000;35648;288953;64174;175800;48979;246;96270;55460;83130;127010;212170;247735;106;2166;676;2.7;74460.0;39460.0;277514.0;29022.0;51.0;8923.0;16.0;135.0;1.0;;6564;570;5994;156;31.0;10.0;296003;233328;62675;296790.0;233396.0;6456.0;15078.0;10507.0;3125.0;1446.0;14488.0;197373.0;6982.0;0.0;0.0;6982.0;56413.0;;;;;;;;;;;;;;
21;Groningen;2007;25;0;0;0;573614;129865;358288;85461;284791;65993;182583;36215;288823;63872;175705;49246;246;97890;52620;85540;124670;212890;248371;106;2147;1221;4.9;77306.0;41569.0;322813.0;6779.0;12.0;29041.0;51.0;140.0;-2.0;2.2;6601;618;5983;156;23.0;11.0;296003;233328;62675;296790.0;233395.0;6456.0;15078.0;10507.0;3125.0;1446.0;14488.0;197373.0;6982.0;0.0;0.0;6982.0;56413.0;;;;;;;;;;;;;;
22;Groningen;2008;25;0;0;0;573459;129038;357652;86769;284678;65465;182226;36987;288781;63573;175426;49782;246;98340;53430;86830;123750;211120;250383;107;2984;1851;7.4;82959.0;43374.0;304986.0;7063.0;12.0;26219.0;46.0;144.0;10.2;0.6;6614;619;5996;163;36.0;;296003;233328;62675;296790.0;233395.0;6456.0;15078.0;10507.0;3125.0;1446.0;14488.0;197373.0;6982.0;0.0;0.0;6982.0;56413.0;;;;;;;;;;;;;;
23;Groningen;2009;25;0;0;0;574092;128415;357292;88385;284981;65042;181897;38042;289111;63373;175395;50343;247;105590;55320;88190;121590;202780;252142;108;2709;1801;7.1;;;;;;;;;;;6636;618;6018;163;;;296006;232577;63429;;;;;;;;;;;;;;;296006.0;232577.0;6489.0;15505.0;10632.0;3323.0;1550.0;14229.0;196352.0;7756.0;0.0;0.0;7756.0;55673.0
24;Friesland;2006;31;0;0;0;642230;160840;384000;97390;320611;82562;195986;42063;321619;78278;188014;55327;192;29000;71290;80670;147340;313930;273395;82;2732;2270;8.3;89820.0;38236.0;258528.0;27885.0;43.0;5378.0;8.0;111.0;2.0;;8678;676;8002;151;39.0;6.0;574874;334170;240704;574087.0;334102.0;8736.0;15910.0;11276.0;3213.0;1421.0;38463.0;270994.0;65339.0;45779.0;0.0;19560.0;174645.0;;;;;;;;;;;;;;
25;Friesland;2007;31;0;0;0;642209;159882;383629;98698;320383;81949;195502;42932;321826;77933;188127;55766;192;29520;71290;84090;142880;314430;275221;82;2772;2266;8.2;93098.0;43071.0;353433.0;6852.0;11.0;43556.0;68.0;123.0;4.7;3.9;8715;672;8043;151;34.0;6.0;574874;334170;240704;574087.0;334103.0;8736.0;15910.0;11276.0;3213.0;1421.0;38463.0;270994.0;65339.0;45779.0;0.0;19560.0;174645.0;;;;;;;;;;;;;;
26;Friesland;2008;31;0;0;0;643189;159031;383297;100861;321102;81555;195299;44248;322087;77476;187998;56613;192;30330;72130;85390;143650;311680;277959;83;2865;2502;9.0;98763.0;50502.0;376403.0;3643.0;6.0;28841.0;45.0;141.0;1.5;0.1;8756;671;8084;151;34.0;;574874;334170;240704;574087.0;334103.0;8736.0;15910.0;11276.0;3213.0;1421.0;38463.0;270994.0;65339.0;45779.0;0.0;19560.0;174645.0;;;;;;;;;;;;;;
27;Friesland;2009;31;0;0;0;644811;158567;382665;103579;322015;81318;195037;45660;322796;77249;187628;57919;193;33350;79410;87150;144590;298690;280356;84;1940;1396;5.0;;;;;;;;;;;8790;670;8120;145;;;574874;334094;240781;;;;;;;;;;;;;;;574874.0;334094.0;8666.0;16671.0;11575.0;3566.0;1530.0;38896.0;269860.0;65621.0;45773.0;0.0;19847.0;175160.0
28;Drenthe;2006;12;0;32;0;484481;117588;287445;79448;239540;60130;145007;34403;244941;57458;142438;45045;183;0;36200;95210;116190;236890;200729;76;2266;1941;9.7;63585.0;37795.0;190065.0;17307.0;36.0;7759.0;16.0;135.0;0.3;;7512;438;7074;105;42.0;2.0;268037;264109;3928;268037.0;264108.0;6861.0;13653.0;9852.0;2277.0;1524.0;43127.0;200468.0;3928.0;0.0;0.0;3928.0;0.0;;;;;;;;;;;;;;
29;Drenthe;2007;12;0;32;0;486197;117145;288110;80942;240416;59904;145251;35261;245781;57241;142859;45681;184;0;37330;96000;115600;237270;202599;77;2793;2368;11.7;66920.0;40703.0;190624.0;7045.0;14.0;15358.0;32.0;143.0;4.5;5.2;7533;518;7015;105;40.0;3.0;268037;264109;3928;268037.0;264109.0;6861.0;13653.0;9852.0;2277.0;1524.0;43127.0;200468.0;3928.0;0.0;0.0;3928.0;0.0;;;;;;;;;;;;;;
30;Drenthe;2008;12;0;0;0;488135;116780;288484;82871;241209;59709;145234;36266;246926;57071;143250;46605;185;0;38310;96160;116940;236720;204866;78;2006;1661;8.1;70596.0;43064.0;215555.0;8079.0;17.0;14555.0;30.0;148.0;1.5;-0.3;7560;518;7042;105;35.0;;268037;264109;3928;268037.0;264109.0;6861.0;13653.0;9852.0;2277.0;1524.0;43127.0;200468.0;3928.0;0.0;0.0;3928.0;0.0;;;;;;;;;;;;;;
31;Drenthe;2009;12;0;0;1;489918;116546;288331;85041;242071;59580;145067;37424;247847;56966;143264;47617;186;0;46110;102440;117520;222070;206331;78;1823;1655;8.0;;;;;;;;;;;7595;523;7072;105;;;268034;263894;4140;;;;;;;;;;;;;;;268034.0;263894.0;6836.0;14215.0;10139.0;2512.0;1564.0;43493.0;199353.0;4140.0;0.0;0.0;4140.0;0.0
32;Overijssel;2006;25;0;33;0;1113529;285770;668658;159101;556103;146304;342379;67420;557426;139466;326279;91681;335;78060;242510;218500;289910;284560;446506;134;5486;4138;9.3;88440.0;75534.0;539522.0;47299.0;42.0;45636.0;41.0;127.0;3.0;;13168;836;12332;302;61.0;28.0;342086;332562;9525;342086.0;332562.0;10259.0;23493.0;15942.0;5347.0;2204.0;46394.0;252415.0;9525.0;0.0;686.0;8839.0;0.0;;;;;;;;;;;;;;
33;Overijssel;2007;25;0;33;0;1116374;285447;669584;161343;557539;146096;342508;68935;558835;139351;327076;92408;336;85530;245240;222460;283300;279860;450035;135;6867;5885;13.1;93410.0;83644.0;729785.0;48696.0;44.0;62760.0;56.0;138.0;4.4;3.8;13189;855;12334;302;50.0;27.0;342086;332562;9525;342086.0;332562.0;10259.0;23493.0;15942.0;5347.0;2204.0;46394.0;252416.0;9525.0;0.0;686.0;8839.0;0.0;;;;;;;;;;;;;;
34;Overijssel;2008;25;0;33;0;1119994;284734;670477;164783;559411;145687;342773;70951;560583;139047;327704;93832;337;92230;244680;227320;279370;276400;456193;137;5933;4382;9.6;97705.0;89258.0;575613.0;46068.0;41.0;45003.0;40.0;144.0;1.8;1.2;13279;847;12432;302;53.0;;342086;332562;9525;342086.0;332562.0;10259.0;23493.0;15942.0;5347.0;2204.0;46394.0;252415.0;9525.0;0.0;686.0;8839.0;0.0;;;;;;;;;;;;;;
35;Overijssel;2009;25;0;31;2;1125435;284466;672098;168871;562419;145766;343485;73168;563016;138700;328613;95703;338;101400;263300;220160;279880;255260;460285;138;4819;3603;7.8;;;;;;;;;;;13320;843;12477;302;;;342086;332518;9568;;;;;;;;;;;;;;;342086.0;332518.0;10219.0;24273.0;16297.0;5669.0;2307.0;46463.0;251564.0;9568.0;0.0;690.0;8878.0;0.0
36;Flevoland;2006;6;0;0;0;370656;110346;227683;32627;185120;56758;113981;14381;185536;53588;113702;18246;261;0;140250;102150;84630;43630;141615;100;2095;2059;14.5;50572.0;36134.0;133629.0;28872.0;78.0;32528.0;88.0;119.0;7.5;;3547;518;3029;40;12.0;4.0;241230;141750;99480;241230.0;141750.0;3458.0;7335.0;4896.0;1644.0;795.0;22879.0;108078.0;99480.0;84768.0;0.0;14712.0;0.0;;;;;;;;;;;;;;
37;Flevoland;2007;6;0;0;0;374424;110528;230605;33291;186980;56887;115337;14756;187444;53641;115268;18535;264;1320;137570;109070;82140;44320;143619;101;2260;2209;15.4;47052.0;40200.0;130780.0;34494.0;92.0;23107.0;69.0;125.0;8.8;9.6;3605;516;3089;40;16.0;8.0;241230;141750;99480;241230.0;141750.0;3458.0;7335.0;4896.0;1644.0;795.0;22879.0;108078.0;99480.0;84768.0;0.0;14712.0;0.0;;;;;;;;;;;;;;
38;Flevoland;2008;6;0;0;0;378688;110635;233693;34360;189171;56947;116875;15349;189517;53688;116818;19011;267;2290;144650;105870;82060;43830;145871;103;2785;2768;19.0;48168.0;43745.0;136952.0;25370.0;67.0;27039.0;71.0;128.0;2.3;3.0;3634;516;3118;40;12.0;;241230;141750;99480;241230.0;141750.0;3458.0;7335.0;4896.0;1644.0;795.0;22879.0;108078.0;99480.0;84768.0;0.0;14712.0;0.0;;;;;;;;;;;;;;
39;Flevoland;2009;6;0;0;0;383449;110584;237101;35764;191912;56977;118798;16137;191537;53607;118303;19627;271;2100;149140;108960;79020;39470;148663;105;2677;2665;17.9;;;;;;;;;;;3661;515;3146;40;;;241230;141588;99641;;;;;;;;;;;;;;;241230.0;141588.0;3405.0;7866.0;5209.0;1789.0;868.0;22634.0;107684.0;99641.0;84770.0;0.0;14871.0;0.0
40;Gelderland;2006;56;0;47;1;1975704;494272;1196431;285001;974987;252693;601648;120646;1000717;241579;594783;164355;397;96910;401130;428100;518250;531320;782626;157;8323;7156;9.1;162978.0;154977.0;661876.0;130305.0;66.0;16834.0;9.0;143.0;5.3;;19938;1403;18535;458;131.0;63.0;513651;497176;16475;513651.0;497176.0;15902.0;42878.0;29241.0;8392.0;5245.0;114277.0;324119.0;16475.0;0.0;5778.0;10697.0;0.0;;;;;;;;;;;;;;
41;Gelderland;2007;56;0;47;1;1979059;491955;1196827;290277;976475;251617;601303;123555;1002584;240338;595524;166722;398;95770;410150;427650;519080;526410;789382;159;8650;7587;9.6;166571.0;165725.0;909785.0;14532.0;7.0;135713.0;62.0;150.0;4.1;4.3;19977;1400;18577;457;116.0;76.0;513651;497176;16475;513651.0;497176.0;15902.0;42878.0;29241.0;8392.0;5245.0;114277.0;324119.0;16475.0;0.0;5778.0;10697.0;0.0;;;;;;;;;;;;;;
42;Gelderland;2008;56;0;47;0;1983869;489628;1197516;296725;978683;250262;601396;127025;1005186;239366;596120;169700;399;97730;413120;432860;520560;519600;799507;161;10078;8808;11.0;176779.0;168393.0;1056151.0;54684.0;28.0;141194.0;71.0;153.0;1.4;1.1;20069;1402;18667;542;124.0;;513651;497176;16475;513651.0;497176.0;15902.0;42878.0;29241.0;8392.0;5245.0;114277.0;324119.0;16475.0;0.0;5778.0;10697.0;0.0;;;;;;;;;;;;;;
43;Gelderland;2009;56;0;36;0;1991062;488834;1197682;304546;982641;250007;601139;131495;1008421;238827;596543;173051;401;102910;434450;445330;518900;482280;807540;162;11328;9764;12.1;;;;;;;;;;;20166;1402;18764;542;;;513651;497000;16651;;;;;;;;;;;;;;;513651.0;497000.0;16246.0;44174.0;30015.0;8820.0;5339.0;113951.0;322629.0;16651.0;0.0;5825.0;10828.0;0.0
44;Utrecht;2006;29;1;12;1;1180039;297300;732291;150448;576277;151635;362314;62328;603762;145665;369977;88120;852;254450;321010;229600;243260;131720;482424;348;5652;5088;10.5;55089.0;92648.0;382993.0;76225.0;65.0;7640.0;6.0;140.0;3.9;;6669;380;6289;195;45.0;40.0;144912;138502;6410;144912.0;138501.0;5415.0;21174.0;14623.0;3511.0;3040.0;20632.0;91281.0;6410.0;0.0;807.0;5603.0;0.0;;;;;;;;;;;;;;
45;Utrecht;2007;29;0;12;0;1190604;298815;738744;153045;581749;152424;365332;63993;608855;146391;373412;89052;860;252850;320920;241820;245110;129900;487337;352;6264;6140;12.6;58600.0;96720.0;548769.0;4674.0;4.0;111048.0;93.0;145.0;3.7;3.3;6696;379;6317;195;54.0;33.0;144912;138502;6410;144912.0;138502.0;5415.0;21174.0;14623.0;3511.0;3040.0;20632.0;91281.0;6410.0;0.0;807.0;5603.0;0.0;;;;;;;;;;;;;;
46;Utrecht;2008;29;0;12;0;1201350;300360;744745;156245;587012;153073;368217;65722;614338;147287;376528;90523;867;254030;329480;251290;239320;127230;494230;357;6482;6166;12.5;63042.0;103405.0;408511.0;4021.0;3.0;73846.0;61.0;151.0;2.3;2.1;6728;379;6350;195;51.0;;144912;138502;6410;144912.0;138502.0;5415.0;21174.0;14623.0;3511.0;3040.0;20632.0;91281.0;6410.0;0.0;807.0;5603.0;0.0;;;;;;;;;;;;;;
47;Utrecht;2009;29;0;12;0;1210869;301467;749505;159897;591859;153540;370464;67855;619010;147927;379041;92042;875;266690;335290;245680;236220;117480;500082;361;6438;6270;12.5;;;;;;;;;;;6778;379;6399;195;;;144912;138382;6530;;;;;;;;;;;;;;;144912.0;138382.0;5625.0;21636.0;14888.0;3760.0;2988.0;20533.0;90587.0;6530.0;0.0;810.0;5720.0;0.0
48;Noord-Holland;2006;64;1;10;4;2606584;610912;1636063;359609;1281597;311788;818213;151596;1324987;299124;817850;208013;976;918490;721340;365200;330250;271310;1173826;439;11716;9187;7.8;116973.0;124772.0;389931.0;33237.0;13.0;15083.0;6.0;99.0;3.3;;12971;630;12341;346;105.0;114.0;409176;267103;142073;409176.0;267103.0;11566.0;42319.0;29812.0;8338.0;4169.0;30641.0;182577.0;73478.0;52623.0;0.0;20855.0;68595.0;;;;;;;;;;;;;;
49;Noord-Holland;2007;61;2;15;1;2613070;610293;1638057;364720;1284716;311648;818142;154926;1328354;298645;819915;209794;978;925560;716130;377050;324120;270200;1182501;443;14947;10825;9.2;121955.0;156506.0;625987.0;14159.0;5.0;46514.0;18.0;123.0;2.9;2.4;13052;628;12424;349;109.0;121.0;409176;267103;142073;409176.0;267103.0;11566.0;42319.0;29812.0;8338.0;4169.0;30641.0;182577.0;73478.0;52623.0;0.0;20855.0;68595.0;;;;;;;;;;;;;;
