ID;MechanischeBestrijding;TeeltsectorenEnGewassen;Perioden;AantalBedrijven_1;PercentageBedrijven_2;GrootteOppervlakte_3;PercentageOppervlakte_4;Januari_5;Februari_6;Maart_7;April_8;Mei_9;Juni_10;Juli_11;Augustus_12;September_13;Oktober_14;November_15;December_16
10;Totaal mechanisch–en overige bestrijding;Totaal champignons;2012;113.0;86.2;51;77.1;80.6;54.4;50.8;85.7;67.8;68.7;45.8;45.9;52.4;57.0;53.4;53.9
11;Totaal mechanisch–en overige bestrijding;Totaal champignons;2016;97.0;83.5;54;92.6;75.7;75.7;75.7;86.8;86.8;86.8;63.6;63.6;84.5;84.6;83.0;83.0
12;Totaal mechanisch–en overige bestrijding;Fruit open grond (totaal);2012;;;5268;32.7;0.0;2.0;7.9;21.4;10.6;9.0;11.0;8.0;5.2;8.7;2.1;0.0
13;Totaal mechanisch–en overige bestrijding;Fruit open grond (totaal);2016;;;6151;36.6;7.3;5.9;30.3;22.8;12.8;8.8;4.2;3.1;2.2;2.5;2.4;0.9
14;Totaal mechanisch–en overige bestrijding;Totaal glasgroenten;2012;;;948;24.2;5.6;7.3;10.0;8.8;9.0;5.7;8.1;6.5;3.8;5.7;4.8;3.3
15;Totaal mechanisch–en overige bestrijding;Totaal glasgroenten;2016;;;1668;64.3;24.4;26.8;23.9;23.6;21.7;22.5;15.3;17.5;21.7;18.5;12.9;16.6
16;Totaal mechanisch–en overige bestrijding;Totaal tuinbouwgroenten;2012;;;20669;59.2;0.5;2.1;13.1;12.1;29.8;34.9;31.4;20.1;14.6;8.8;4.2;0.3
17;Totaal mechanisch–en overige bestrijding;Totaal tuinbouwgroenten;2016;;;21028;59.4;2.4;0.2;4.5;12.6;31.0;38.4;27.7;23.5;14.1;4.6;2.3;2.6
18;Totaal mechanisch–en overige bestrijding;Aardbeien, onder glas;2012;51.0;18.2;45;15.8;0.8;10.9;12.3;1.5;6.3;0.0;0.0;4.4;6.3;1.0;1.0;0.0
19;Totaal mechanisch–en overige bestrijding;Aardbeien, onder glas;2016;47.0;18.7;143;42.7;14.1;10.9;27.9;3.4;0.1;0.1;0.0;9.5;13.5;2.1;0.8;6.3
20;Totaal mechanisch–en overige bestrijding;Aardbeien, productie;2012;222.0;52.0;168;11.3;0.8;5.2;3.0;11.5;11.6;0.3;8.3;2.5;2.0;2.0;0.0;0.0
21;Totaal mechanisch–en overige bestrijding;Aardbeien, productie;2016;225.0;67.9;673;49.4;12.7;1.3;13.2;2.3;14.9;4.5;16.5;22.1;21.9;0.3;0.0;0.0
22;Totaal mechanisch–en overige bestrijding;Appels;2012;501.0;35.9;2745;34.5;0.0;4.1;7.8;22.2;15.1;7.5;9.1;9.3;5.0;8.5;4.3;0.0
23;Totaal mechanisch–en overige bestrijding;Appels;2016;339.0;31.3;2071;28.2;13.5;10.4;24.4;12.0;11.2;9.3;4.7;4.0;2.5;3.2;4.2;2.1
24;Totaal mechanisch–en overige bestrijding;Totaal asperges;2012;547.0;76.5;2468;85.3;1.3;13.6;75.7;24.9;57.3;64.3;10.2;18.0;10.3;11.8;13.7;3.2
25;Totaal mechanisch–en overige bestrijding;Totaal asperges;2016;578.0;89.7;3443;90.7;14.6;1.4;19.5;28.2;41.6;52.4;30.2;34.8;23.9;7.9;8.9;14.7
26;Totaal mechanisch–en overige bestrijding;Bladplanten onder glas;2012;206.0;65.1;348;71.8;38.5;36.2;65.5;54.0;58.7;47.4;43.7;55.9;47.3;59.5;73.1;53.4
27;Totaal mechanisch–en overige bestrijding;Bladplanten onder glas;2016;162.0;67.3;319;81.5;56.5;57.5;55.7;49.9;51.7;55.7;50.6;39.7;48.1;55.9;43.0;35.3
28;Totaal mechanisch–en overige bestrijding;Bloemkool;2012;244.0;82.3;2036;90.6;5.1;3.4;21.3;37.0;56.4;50.3;63.7;76.0;26.5;4.7;0.0;0.0
29;Totaal mechanisch–en overige bestrijding;Bloemkool;2016;153.0;76.4;1864;88.2;0.3;0.0;1.0;47.7;64.1;62.7;52.6;50.7;35.7;7.5;0.6;0.1
30;Totaal mechanisch–en overige bestrijding;Totaal bloemkwekerijgewassen;2012;1130.0;84.0;2253;77.4;19.1;6.0;20.1;48.7;44.6;57.5;64.8;52.9;32.0;9.1;14.6;0.0
31;Totaal mechanisch–en overige bestrijding;Totaal bloemkwekerijgewassen;2016;744.0;70.9;1779;64.6;9.7;8.2;18.3;36.6;40.0;38.8;34.2;32.9;27.2;21.1;5.9;2.8
32;Totaal mechanisch–en overige bestrijding;Bos- en haagplantsoen;2012;568.0;85.0;1832;68.6;9.2;9.1;22.8;40.4;61.7;51.3;54.8;48.2;43.2;39.4;14.1;0.0
33;Totaal mechanisch–en overige bestrijding;Bos- en haagplantsoen;2016;528.0;95.9;2755;95.7;4.0;7.7;36.3;52.1;48.1;61.3;62.2;52.9;63.1;25.5;7.6;3.9
34;Totaal mechanisch–en overige bestrijding;Bos- en waspeen;2012;126.0;28.5;758;30.8;0.0;0.0;0.0;4.1;9.6;10.8;19.8;6.5;13.1;0.0;0.0;0.0
35;Totaal mechanisch–en overige bestrijding;Bos- en waspeen;2016;72.0;14.2;103;3.4;0.0;0.0;0.0;3.3;0.1;0.7;0.6;0.6;0.0;0.0;0.0;0.0
36;Totaal mechanisch–en overige bestrijding;Broccoli;2012;136.0;93.1;1401;77.7;0.0;0.0;0.0;10.2;40.8;44.3;43.0;38.0;35.2;60.4;28.7;0.0
37;Totaal mechanisch–en overige bestrijding;Broccoli;2016;96.0;78.2;1481;82.8;0.0;0.0;31.5;54.5;84.0;83.1;48.4;52.4;43.9;7.2;0.0;0.0
38;Totaal mechanisch–en overige bestrijding;Bruine bonen;2012;172.0;61.2;1007;63.1;0.0;0.0;6.6;0.0;20.3;33.2;18.0;8.6;9.8;0.0;0.0;0.0
39;Totaal mechanisch–en overige bestrijding;Bruine bonen;2016;140.0;77.5;647;78.7;0.0;0.0;0.0;14.4;14.4;73.2;19.2;16.0;8.7;0.0;0.0;0.0
40;Totaal mechanisch–en overige bestrijding;Chrysanten onder glas;2012;179.0;92.9;493;97.9;72.9;50.8;60.2;74.3;75.9;78.2;99.1;81.0;85.3;87.8;96.0;73.5
41;Totaal mechanisch–en overige bestrijding;Chrysanten onder glas;2016;90.0;80.0;365;95.4;58.1;70.3;71.6;64.6;65.3;74.5;68.0;53.0;56.8;61.0;38.6;43.1
42;Totaal mechanisch–en overige bestrijding;Cichorei;2012;329.0;76.7;2010;69.0;0.0;0.0;8.6;8.3;40.0;53.5;47.1;28.5;3.7;14.4;0.0;0.0
43;Totaal mechanisch–en overige bestrijding;Cichorei;2016;431.0;80.1;3186;82.0;0.0;0.0;2.2;14.5;52.4;61.2;13.8;19.0;3.3;0.0;0.0;0.0
44;Totaal mechanisch–en overige bestrijding;Totaal consumptieaardappelen;2012;2386.0;38.1;18199;27.0;0.0;0.0;3.8;14.1;21.7;12.6;2.3;0.0;4.3;5.5;0.0;0.0
45;Totaal mechanisch–en overige bestrijding;Totaal consumptieaardappelen;2016;1059.0;15.5;9294;12.7;0.0;0.0;0.6;5.2;8.7;2.7;0.0;0.4;0.4;0.0;0.0;0.0
46;Totaal mechanisch–en overige bestrijding;Doperwten;2012;80.0;19.5;1192;34.5;0.0;0.0;24.1;17.4;32.7;0.6;1.0;1.0;0.0;0.0;0.0;0.0
47;Totaal mechanisch–en overige bestrijding;Doperwten;2016;43.0;9.5;417;12.6;0.0;0.0;0.0;3.7;8.9;7.4;0.0;0.0;0.0;0.0;0.0;0.0
48;Totaal mechanisch–en overige bestrijding;Fresia's onder glas;2012;54.0;65.5;95;92.1;0.0;9.8;74.2;9.7;11.8;0.0;62.8;18.5;74.0;54.9;40.3;3.0
49;Totaal mechanisch–en overige bestrijding;Fresia's onder glas;2016;32.0;64.8;61;78.2;20.8;20.8;45.9;27.5;35.8;35.8;38.8;36.5;55.2;32.1;30.1;21.8
50;Totaal mechanisch–en overige bestrijding;Gerst, zomer;2012;349.0;10.5;4085;15.9;0.0;0.0;29.1;0.0;0.0;0.0;3.4;0.0;0.0;0.0;0.0;0.0
51;Totaal mechanisch–en overige bestrijding;Gerst, zomer;2016;83.0;2.7;419;1.7;0.0;0.0;1.1;0.0;0.3;1.6;0.0;0.0;0.0;0.0;0.0;0.0
52;Totaal mechanisch–en overige bestrijding;Gerbera's onder glas;2012;67.0;98.2;164;96.5;36.8;37.5;34.3;43.0;49.7;49.0;65.1;42.2;44.7;37.9;27.6;31.8
53;Totaal mechanisch–en overige bestrijding;Gerbera's onder glas;2016;55.0;98.3;186;98.7;20.9;9.3;33.6;31.5;12.6;42.8;19.7;5.2;20.4;17.4;0.0;16.6
54;Totaal mechanisch–en overige bestrijding;Gladiolen;2012;126.0;73.5;379;34.0;0.0;0.0;1.0;0.0;20.1;6.7;24.9;17.7;0.0;2.8;0.0;0.0
55;Totaal mechanisch–en overige bestrijding;Gladiolen;2016;42.0;28.4;250;27.0;0.0;0.0;0.0;0.0;0.0;0.0;3.9;8.8;0.0;18.1;0.0;0.0
56;Totaal mechanisch–en overige bestrijding;Graszaden;2012;315.0;21.1;2217;16.2;0.0;0.0;6.2;1.0;7.0;8.5;6.2;0.0;1.6;0.0;0.0;0.0
57;Totaal mechanisch–en overige bestrijding;Graszaden;2016;271.0;24.5;2013;20.2;0.0;0.0;3.8;15.1;9.1;6.9;2.1;2.1;2.1;1.9;1.2;0.0
58;Totaal mechanisch–en overige bestrijding;Hyacinten;2012;72.0;44.8;923;63.7;0.0;0.0;24.6;21.1;13.6;20.0;5.6;0.0;6.9;18.1;0.0;0.0
59;Totaal mechanisch–en overige bestrijding;Hyacinten;2016;70.0;45.1;837;57.2;0.0;0.0;23.3;26.3;9.4;30.7;18.3;11.2;7.8;13.8;2.7;0.0
60;Totaal mechanisch–en overige bestrijding;Irissen;2012;7.0;9.3;27;9.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.7;0.0;0.0;0.0
61;Totaal mechanisch–en overige bestrijding;Irissen;2016;21.0;34.5;108;39.7;4.9;4.9;4.9;2.8;24.9;20.2;1.8;0.0;8.4;12.2;5.5;5.5
62;Totaal mechanisch–en overige bestrijding;Komkommers;2012;54.0;21.5;78;12.5;7.2;5.7;3.0;3.3;3.0;1.5;6.1;5.2;1.8;0.0;0.0;0.0
63;Totaal mechanisch–en overige bestrijding;Komkommers;2016;68.0;32.2;254;45.9;3.5;8.3;1.1;6.9;7.5;14.4;6.9;3.9;2.0;8.7;6.3;8.1
64;Totaal mechanisch–en overige bestrijding;Totaal koolzaad;2012;53.0;17.6;280;13.2;0.0;0.0;9.6;0.6;4.0;4.7;2.2;3.7;3.4;0.0;0.0;0.0
65;Totaal mechanisch–en overige bestrijding;Totaal koolzaad;2016;41.0;19.1;218;12.9;0.0;0.0;8.5;2.1;0.0;0.0;2.2;4.8;2.3;0.0;0.0;0.0
66;Totaal mechanisch–en overige bestrijding;Laan- en parkbomen;2012;445.0;86.0;3848;84.8;0.0;0.0;51.8;20.2;26.0;31.9;40.9;35.8;16.7;3.4;0.5;0.0
67;Totaal mechanisch–en overige bestrijding;Laan- en parkbomen;2016;379.0;79.1;3367;74.2;4.4;4.1;14.4;39.0;47.9;43.9;38.2;42.8;28.8;19.5;2.5;0.4
68;Totaal mechanisch–en overige bestrijding;Lelies (bloem) onder glas;2012;79.0;56.5;122;62.0;18.3;15.6;12.8;17.8;31.4;26.2;42.9;8.8;9.6;10.1;21.5;9.1
69;Totaal mechanisch–en overige bestrijding;Lelies (bloem) onder glas;2016;53.0;61.9;89;64.2;21.8;19.7;28.3;13.7;13.2;7.4;12.8;7.0;34.3;21.0;16.8;21.0
70;Totaal mechanisch–en overige bestrijding;Lelies (bol);2012;115.0;36.5;805;15.8;0.0;1.8;1.8;7.6;1.1;2.7;12.3;8.8;0.0;2.1;0.0;0.0
71;Totaal mechanisch–en overige bestrijding;Lelies (bol);2016;122.0;29.4;2475;40.8;5.6;10.7;9.3;3.7;8.3;7.3;12.2;16.2;28.5;0.0;0.0;3.6
72;Totaal mechanisch–en overige bestrijding;Maïs, snijmaïs;2012;3982.0;15.5;28863;12.5;0.0;0.0;0.0;0.0;3.3;9.3;2.6;0.0;2.6;0.0;0.0;0.0
73;Totaal mechanisch–en overige bestrijding;Maïs, snijmaïs;2016;2607.0;10.7;19062;9.2;0.0;0.0;0.0;2.0;2.7;4.2;1.2;1.1;0.0;0.6;0.0;0.0
74;Totaal mechanisch–en overige bestrijding;Narcissen;2012;96.0;27.6;137;7.7;0.0;0.0;4.0;2.9;1.1;1.6;3.2;4.0;3.2;1.2;0.0;0.0
75;Totaal mechanisch–en overige bestrijding;Narcissen;2016;101.0;40.0;711;44.7;0.0;0.0;15.2;23.4;21.1;18.0;5.6;3.0;4.2;0.5;0.0;0.0
76;Totaal mechanisch–en overige bestrijding;Orchideeën onder glas;2012;96.0;70.9;184;86.5;44.4;20.4;45.9;67.5;48.8;58.4;49.4;61.9;61.9;34.6;39.8;60.9
77;Totaal mechanisch–en overige bestrijding;Orchideeën onder glas;2016;44.0;48.9;89;55.7;33.1;28.9;28.9;22.4;24.0;36.0;21.3;31.2;34.1;33.1;16.3;17.2
78;Totaal mechanisch–en overige bestrijding;Totaal paprika's;2012;68.0;23.6;358;27.2;6.8;4.6;5.6;11.8;4.6;4.2;6.2;4.0;1.1;4.7;6.4;7.9
79;Totaal mechanisch–en overige bestrijding;Totaal paprika's;2016;0.0;;0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
80;Totaal mechanisch–en overige bestrijding;Peren;2012;569.0;37.1;2522;30.9;0.0;0.0;8.1;20.6;6.2;10.4;12.8;6.8;5.3;9.0;0.0;0.0
81;Totaal mechanisch–en overige bestrijding;Peren;2016;480.0;36.9;4080;43.2;2.4;2.4;34.9;31.2;14.0;8.3;3.8;2.4;2.0;1.9;0.9;0.0
82;Totaal mechanisch–en overige bestrijding;Perkplanten onder glas;2012;234.0;55.8;262;58.5;12.7;27.0;22.8;14.1;22.4;8.8;40.3;16.5;2.9;2.0;4.1;0.0
83;Totaal mechanisch–en overige bestrijding;Perkplanten onder glas;2016;109.0;40.9;202;60.9;28.9;16.9;17.4;29.3;25.8;26.7;24.2;26.7;23.5;2.8;0.0;3.1
84;Totaal mechanisch–en overige bestrijding;Totaal pootaardappelen;2012;1241.0;51.8;21941;56.0;1.8;1.8;10.7;19.2;33.1;6.1;15.8;13.1;3.5;1.9;0.0;0.0
85;Totaal mechanisch–en overige bestrijding;Totaal pootaardappelen;2016;984.0;42.9;19532;47.2;0.3;0.3;1.4;5.1;34.9;8.0;4.5;7.5;2.6;0.7;0.7;0.0
86;Totaal mechanisch–en overige bestrijding;Poot- en plantuien;2012;145.0;19.4;1581;27.1;0.0;0.0;23.9;5.3;8.2;3.7;3.6;0.0;0.0;0.0;0.0;0.0
87;Totaal mechanisch–en overige bestrijding;Poot- en plantuien;2016;318.0;30.1;3513;44.1;0.0;0.0;0.0;8.3;40.1;9.3;0.0;0.0;0.0;0.0;0.0;0.0
88;Totaal mechanisch–en overige bestrijding;Potplanten, voor de bloei onder glas;2012;334.0;72.1;716;82.6;31.7;21.5;25.5;45.5;46.6;43.6;53.8;44.2;47.2;35.9;30.6;32.3
89;Totaal mechanisch–en overige bestrijding;Potplanten, voor de bloei onder glas;2016;267.0;67.9;750;80.2;33.3;40.8;29.7;26.2;31.4;46.5;39.7;52.2;44.0;40.0;42.2;37.0
90;Totaal mechanisch–en overige bestrijding;Prei;2012;249.0;57.9;1153;47.5;0.0;0.0;2.8;3.0;24.6;20.7;43.8;30.4;32.2;3.5;0.0;0.0
91;Totaal mechanisch–en overige bestrijding;Prei;2016;211.0;74.4;1769;81.6;5.5;0.0;4.6;3.0;21.3;32.5;56.2;72.8;56.2;17.0;0.0;0.0
92;Totaal mechanisch–en overige bestrijding;Rozenstruiken;2012;115.0;86.2;469;94.8;30.9;24.9;35.6;18.4;35.3;71.3;54.5;55.2;15.2;13.3;0.0;14.0
93;Totaal mechanisch–en overige bestrijding;Rozenstruiken;2016;101.0;76.9;341;80.9;10.6;15.9;16.6;16.2;29.7;20.7;25.6;19.1;2.4;5.7;0.0;4.6
94;Totaal mechanisch–en overige bestrijding;Rozen onder glas;2012;147.0;79.3;365;89.7;45.2;23.7;31.3;24.2;33.8;41.6;44.7;51.1;37.1;25.4;53.4;35.0
95;Totaal mechanisch–en overige bestrijding;Rozen onder glas;2016;75.0;73.4;211;82.2;42.5;50.8;46.4;44.3;41.6;46.5;48.1;41.0;47.4;58.1;41.9;52.9
96;Totaal mechanisch–en overige bestrijding;Schorseneren;2012;96.0;70.8;624;70.9;0.0;0.0;0.0;0.6;62.5;81.1;84.2;75.9;12.9;0.0;0.0;0.0
97;Totaal mechanisch–en overige bestrijding;Schorseneren;2016;38.0;46.3;173;37.5;0.0;0.0;0.0;10.3;9.7;42.1;12.2;29.1;12.2;3.6;0.0;0.0
98;Totaal mechanisch–en overige bestrijding;Sierconiferen;2012;685.0;79.1;1948;63.5;3.3;11.1;41.7;35.6;37.7;48.3;50.6;45.1;36.7;39.7;3.0;20.0
99;Totaal mechanisch–en overige bestrijding;Sierconiferen;2016;561.0;66.9;2031;66.5;4.5;6.7;16.5;28.6;45.1;46.3;40.4;34.6;37.8;17.2;5.0;2.3
100;Totaal mechanisch–en overige bestrijding;Totaal sluitkool;2012;433.0;88.4;2373;90.7;0.0;1.8;6.3;15.2;48.5;49.1;49.6;18.9;6.0;0.0;0.0;0.0
101;Totaal mechanisch–en overige bestrijding;Totaal sluitkool;2016;257.0;67.2;2009;71.8;0.0;0.0;0.0;16.4;29.2;48.1;24.6;19.4;10.1;1.3;2.5;0.0
102;Totaal mechanisch–en overige bestrijding;Spruitkool;2012;200.0;86.4;2121;78.3;0.0;0.0;0.0;16.2;33.5;57.6;19.4;2.8;16.4;9.8;0.0;0.0
103;Totaal mechanisch–en overige bestrijding;Spruitkool;2016;105.0;50.6;1295;49.7;0.0;0.0;0.0;9.0;36.2;43.8;17.6;7.8;8.7;0.0;0.0;0.0
104;Totaal mechanisch–en overige bestrijding;Stamsperziebonen;2012;209.0;58.3;1056;44.2;0.0;0.0;0.0;5.5;6.3;22.7;27.6;11.8;1.5;5.9;0.0;0.0
105;Totaal mechanisch–en overige bestrijding;Stamsperziebonen;2016;267.0;77.9;1706;71.5;0.0;0.0;0.0;0.0;17.3;32.5;25.9;35.9;5.2;0.0;0.0;0.0
106;Totaal mechanisch–en overige bestrijding;Suikerbieten;2012;4031.0;48.1;36635;50.4;20.9;23.5;21.1;3.8;8.3;25.6;6.6;10.0;7.9;20.9;6.6;0.0
107;Totaal mechanisch–en overige bestrijding;Suikerbieten;2016;2257.0;28.9;23792;33.6;0.1;0.0;0.0;2.8;10.4;27.4;5.9;3.7;0.1;0.0;0.0;0.0
108;Totaal mechanisch–en overige bestrijding;Tarwe, winter;2012;752.0;8.7;8273;6.1;0.0;0.7;0.9;3.1;5.7;0.0;0.0;0.0;0.6;0.0;0.0;0.0
109;Totaal mechanisch–en overige bestrijding;Tarwe, winter;2016;361.0;5.0;15158;13.0;0.4;0.0;0.0;0.9;0.0;0.0;0.0;0.6;11.7;11.6;2.6;0.0
110;Totaal mechanisch–en overige bestrijding;Tarwe, zomer;2012;637.0;28.8;4462;29.3;0.0;0.0;38.8;0.0;0.0;3.7;0.0;0.0;3.1;0.0;0.0;0.0
111;Totaal mechanisch–en overige bestrijding;Tarwe, zomer;2016;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
112;Totaal mechanisch–en overige bestrijding;Totaal tomaten;2012;72.0;21.7;468;27.6;5.0;9.3;15.6;9.7;15.2;9.3;11.7;9.3;6.3;9.4;5.9;1.5
113;Totaal mechanisch–en overige bestrijding;Totaal tomaten;2016;186.0;67.8;1271;74.6;33.3;35.9;30.5;33.0;30.6;29.5;21.0;23.5;29.7;24.9;17.5;21.4
114;Totaal mechanisch–en overige bestrijding;Tulpen open grond;2012;167.0;19.0;2157;19.2;0.0;0.0;10.5;6.1;13.5;2.4;3.3;3.3;0.0;6.0;0.0;0.0
115;Totaal mechanisch–en overige bestrijding;Tulpen open grond;2016;210.0;23.8;2789;21.1;1.4;0.0;3.2;9.6;7.8;8.6;6.2;0.0;0.0;1.4;0.1;0.0
116;Totaal mechanisch–en overige bestrijding;Vaste planten;2012;541.0;90.2;1231;88.0;5.6;14.2;24.5;54.1;62.4;45.6;77.1;72.1;64.0;56.2;15.0;5.2
117;Totaal mechanisch–en overige bestrijding;Vaste planten;2016;517.0;98.4;1715;99.1;2.4;3.9;7.8;59.6;69.2;74.8;76.9;74.2;69.1;34.7;1.8;3.4
118;Totaal mechanisch–en overige bestrijding;Vlas;2012;18.0;6.8;109;5.2;0.0;0.0;1.9;1.5;4.7;1.5;1.0;0.0;1.0;0.0;0.0;0.0
119;Totaal mechanisch–en overige bestrijding;Vlas;2016;36.0;10.3;277;11.5;0.0;8.1;14.6;0.0;4.2;0.0;0.0;4.8;0.0;0.0;0.0;0.0
120;Totaal mechanisch–en overige bestrijding;Vruchtbomen;2012;154.0;78.4;1044;73.7;0.0;0.0;20.6;27.6;64.2;55.0;16.8;53.5;7.7;4.8;1.7;0.0
121;Totaal mechanisch–en overige bestrijding;Vruchtbomen;2016;172.0;79.2;1234;75.3;0.3;0.0;14.8;25.0;52.5;36.2;33.3;37.3;35.1;19.1;10.5;1.8
122;Totaal mechanisch–en overige bestrijding;Winterpeen;2012;405.0;45.3;2930;47.4;0.0;0.0;7.3;3.8;19.2;36.0;29.1;11.2;18.6;9.1;9.1;0.0
123;Totaal mechanisch–en overige bestrijding;Winterpeen;2016;459.0;50.2;3494;52.6;0.0;0.0;0.0;0.6;34.9;36.2;28.4;8.7;1.3;6.0;5.7;5.7
124;Totaal mechanisch–en overige bestrijding;Witlofwortel;2012;399.0;86.2;2387;71.1;0.0;4.6;10.3;10.3;16.0;37.7;51.0;27.6;16.4;13.4;0.0;0.0
125;Totaal mechanisch–en overige bestrijding;Witlofwortel;2016;362.0;87.2;2600;89.7;0.0;0.0;0.0;10.8;35.7;65.9;52.6;27.3;8.5;6.9;0.0;0.0
126;Totaal mechanisch–en overige bestrijding;Zaai-uien;2012;770.0;27.8;6712;32.0;0.0;0.0;11.5;6.8;2.1;14.5;23.5;3.1;0.0;3.3;0.0;0.0
127;Totaal mechanisch–en overige bestrijding;Zaai-uien;2016;1353.0;43.9;11849;47.2;2.2;0.0;16.9;6.5;20.6;22.5;11.8;6.0;2.4;1.2;0.0;0.0
128;Totaal mechanisch–en overige bestrijding;Zetmeelaardappelen;2012;993.0;67.3;29551;68.2;0.0;0.0;41.2;4.1;14.7;47.7;4.1;1.8;9.6;20.9;0.0;0.0
129;Totaal mechanisch–en overige bestrijding;Zetmeelaardappelen;2016;1165.0;73.1;30325;70.2;0.0;0.0;1.5;14.7;19.0;43.7;5.0;0.0;5.6;3.3;0.0;0.0
130;Machinale onkruidbestrijding;Totaal gewassen/teeltsectoren;2012;;;170060;21.9;2.1;2.6;8.5;4.3;7.7;8.7;3.5;1.9;2.1;3.9;0.7;0.1
131;Machinale onkruidbestrijding;Totaal gewassen/teeltsectoren;2016;;;115980;15.7;0.2;0.2;1.4;3.4;5.8;5.5;2.2;2.2;3.3;2.7;0.5;0.1
132;Machinale onkruidbestrijding;Totaal akkerbouw;2012;;;141088;20.7;2.3;2.8;8.5;3.8;6.7;7.9;2.3;1.0;1.7;3.8;0.7;0.0
133;Machinale onkruidbestrijding;Totaal akkerbouw;2016;;;87545;13.7;0.1;0.0;1.0;2.4;4.6;3.8;0.8;1.1;2.8;2.7;0.5;0.0
134;Machinale onkruidbestrijding;Totaal bloembollen en -knollen;2012;;;1005;4.8;0.0;0.0;0.8;1.4;0.7;0.1;0.2;0.1;0.5;3.2;0.0;0.0
135;Machinale onkruidbestrijding;Totaal bloembollen en -knollen;2016;;;2627;11.2;1.5;2.8;1.5;1.3;0.6;4.3;2.7;0.6;0.8;0.7;0.0;0.0
136;Machinale onkruidbestrijding;Bloemkw. onder glas (totaal);2012;;;11;0.3;0.0;0.0;0.1;0.3;0.3;0.3;0.0;0.3;0.3;0.0;0.0;0.0
137;Machinale onkruidbestrijding;Bloemkw. onder glas (totaal);2016;;;7;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0
138;Machinale onkruidbestrijding;Totaal boomkwekerij en vaste planten;2012;;;9667;58.6;3.5;3.3;22.1;20.3;26.9;26.4;23.2;26.9;12.1;6.7;3.1;3.3
139;Machinale onkruidbestrijding;Totaal boomkwekerij en vaste planten;2016;;;9567;56.2;3.2;2.8;12.5;27.7;32.6;27.8;26.2;25.2;18.9;9.8;1.7;0.9
140;Machinale onkruidbestrijding;Totaal champignons;2012;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
141;Machinale onkruidbestrijding;Totaal champignons;2016;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
142;Machinale onkruidbestrijding;Fruit open grond (totaal);2012;;;854;5.3;0.0;2.0;5.8;3.0;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.0
143;Machinale onkruidbestrijding;Fruit open grond (totaal);2016;;;1001;6.0;0.0;0.9;4.4;5.9;2.8;1.5;1.6;0.9;0.3;1.0;0.0;0.3
