ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;BusinessTurnoverNet_6;OtherBusinessReturns_7;TotalBusinessCosts_8;PurchaseValueOfTurnover_9;TotalPersonnelCosts_10;GrossWagesAndSalaries_11;EmployerPaidSocialInsurancePremiums_12;PensionAndEarlyRetirementPremiums_13;OtherSocialInsuranceCosts_14;OtherPersonnelCosts_15;TotalOtherBusinessCosts_16;EnergyCosts_17;HousingCosts_18;EquipmentAndInventoryCosts_19;TransportCosts_20;SalesCosts_21;CommunicationCosts_22;ServicesProvidedByThirdParties_23;BusinessCostsNotElsewhereClassified_24;DepreciationFixedAssets_25;ProfitLoss_26;NetFinancialIncome_27;NetProvisions_28;NetExtraordinaryIncome_29;ProfitLossBeforeTax_30
32;612 Inland water transport;2008;16.4;14.2;8.5;7.7;2328.0;2298.0;30.0;1745.0;320.0;396.0;272.0;32.0;19.0;4.0;69.0;802.0;4.0;27.0;28.0;508.0;26.0;16.0;86.0;108.0;227.0;584.0;-108.0;-17.0;94.0;553.0
33;62 Air transport;2006;36.6;31.3;34.0;28.8;9335.0;9320.0;14.0;8781.0;323.0;2153.0;1656.0;162.0;37.0;94.0;204.0;5754.0;21.0;76.0;89.0;3269.0;615.0;45.0;1589.0;51.0;551.0;554.0;37.0;3.0;2.0;595.0
34;62 Air transport;2007;37.7;32.2;35.6;30.2;9525.0;9521.0;4.0;8899.0;442.0;2225.0;1728.0;169.0;56.0;98.0;174.0;5688.0;2.0;115.0;94.0;3194.0;641.0;40.0;1146.0;456.0;543.0;626.0;-80.0;-235.0;2.0;314.0
35;62 Air transport;2008;39.9;34.7;38.0;32.9;10222.0;10218.0;4.0;10078.0;457.0;2360.0;1905.0;202.0;39.0;1.0;213.0;6647.0;9.0;121.0;86.0;4145.0;449.0;38.0;1104.0;695.0;615.0;144.0;-353.0;-37.0;10.0;-236.0
36;63 Supporting and auxiliary transport ..;2006;116.9;100.8;97.3;85.3;27698.0;26382.0;1316.0;25677.0;15807.0;4836.0;3305.0;382.0;270.0;52.0;828.0;4035.0;201.0;1047.0;278.0;420.0;484.0;146.0;547.0;911.0;1000.0;2021.0;31.0;-71.0;44.0;2026.0
37;63 Supporting and auxiliary transport ..;2007;121.6;105.7;99.7;87.5;30699.0;29214.0;1485.0;28534.0;17553.0;5151.0;3436.0;393.0;278.0;48.0;997.0;4272.0;209.0;1071.0;288.0;485.0;500.0;151.0;634.0;934.0;1557.0;2165.0;-126.0;270.0;45.0;2354.0
38;63 Supporting and auxiliary transport ..;2008;128.0;112.0;105.6;92.1;31696.0;30080.0;1616.0;29455.0;17350.0;5682.0;3759.0;443.0;282.0;38.0;1160.0;4959.0;239.0;1300.0;337.0;475.0;611.0;150.0;707.0;1140.0;1463.0;2242.0;-178.0;191.0;-38.0;2217.0
39;631 Cargo handling and storage;2006;28.7;25.9;22.9;21.4;4898.0;4832.0;66.0;4442.0;1404.0;1415.0;923.0;110.0;92.0;16.0;274.0;1309.0;123.0;423.0;193.0;110.0;36.0;22.0;78.0;325.0;314.0;456.0;-57.0;-9.0;19.0;409.0
40;631 Cargo handling and storage;2007;31.4;27.5;24.9;22.6;5583.0;5516.0;67.0;5067.0;1799.0;1549.0;972.0;115.0;90.0;18.0;354.0;1361.0;132.0;448.0;204.0;129.0;40.0;21.0;102.0;285.0;358.0;517.0;-63.0;-4.0;24.0;473.0
41;631 Cargo handling and storage;2008;32.5;29.3;26.3;23.7;6098.0;6019.0;78.0;5459.0;1945.0;1694.0;1058.0;122.0;98.0;19.0;397.0;1484.0;147.0;520.0;233.0;136.0;39.0;24.0;135.0;251.0;335.0;639.0;-66.0;-11.0;65.0;627.0
42;6311 Cargo handling;2006;11.6;10.7;9.7;9.2;2091.0;2069.0;22.0;1904.0;633.0;640.0;424.0;45.0;43.0;9.0;119.0;505.0;45.0;180.0;113.0;61.0;9.0;7.0;27.0;63.0;126.0;188.0;-35.0;1.0;2.0;155.0
43;6311 Cargo handling;2007;12.4;11.7;10.3;9.9;2466.0;2445.0;21.0;2234.0;859.0;693.0;453.0;47.0;43.0;10.0;140.0;540.0;44.0;202.0;107.0;70.0;13.0;7.0;33.0;66.0;142.0;231.0;-41.0;-8.0;2.0;185.0
44;6311 Cargo handling;2008;13.3;12.5;11.3;10.7;2801.0;2774.0;27.0;2503.0;968.0;788.0;514.0;54.0;50.0;14.0;157.0;601.0;51.0;216.0;125.0;75.0;15.0;8.0;46.0;65.0;146.0;298.0;-55.0;-4.0;74.0;313.0
45;6312 Storage and warehousing;2006;17.1;15.2;13.2;12.2;2807.0;2762.0;44.0;2538.0;771.0;775.0;499.0;65.0;48.0;7.0;155.0;804.0;78.0;244.0;80.0;49.0;26.0;15.0;51.0;262.0;188.0;269.0;-22.0;-10.0;17.0;253.0
46;6312 Storage and warehousing;2007;19.1;15.7;14.6;12.6;3118.0;3071.0;46.0;2832.0;940.0;856.0;519.0;69.0;47.0;8.0;214.0;820.0;88.0;246.0;97.0;59.0;27.0;14.0;69.0;218.0;216.0;285.0;-22.0;3.0;22.0;288.0
47;6312 Storage and warehousing;2008;19.2;16.7;15.0;13.0;3297.0;3245.0;52.0;2956.0;977.0;906.0;544.0;68.0;48.0;5.0;240.0;883.0;96.0;304.0;108.0;61.0;23.0;16.0;88.0;186.0;190.0;341.0;-11.0;-7.0;-9.0;314.0
48;632 Other supporting transport act..;2006;19.1;16.9;15.2;13.9;4009.0;2906.0;1103.0;3189.0;960.0;961.0;639.0;67.0;63.0;11.0;182.0;809.0;35.0;253.0;22.0;37.0;44.0;19.0;294.0;103.0;459.0;820.0;95.0;-53.0;0.0;861.0
49;632 Other supporting transport act..;2007;19.7;17.5;15.3;13.6;4312.0;3117.0;1195.0;3759.0;910.0;1047.0;688.0;73.0;75.0;4.0;207.0;836.0;32.0;240.0;22.0;39.0;45.0;25.0;302.0;131.0;966.0;553.0;-48.0;276.0;-13.0;769.0
50;632 Other supporting transport act..;2008;21.4;18.5;16.5;14.2;4548.0;3199.0;1349.0;3995.0;981.0;1133.0;745.0;81.0;64.0;2.0;240.0;991.0;36.0;278.0;26.0;44.0;51.0;32.0;335.0;191.0;889.0;553.0;-146.0;204.0;-87.0;526.0
51;6321 Supporting land transport act..;2006;8.7;7.3;6.8;6.0;1784.0;716.0;1068.0;1513.0;793.0;366.0;220.0;28.0;7.0;8.0;104.0;202.0;7.0;96.0;11.0;6.0;7.0;3.0;42.0;29.0;153.0;271.0;-140.0;-48.0;-2.0;82.0
52;6321 Supporting land transport act..;2007;8.8;7.5;7.1;6.1;1848.0;731.0;1117.0;1877.0;638.0;404.0;244.0;34.0;11.0;2.0;113.0;211.0;7.0;89.0;7.0;11.0;7.0;6.0;45.0;39.0;624.0;-29.0;-104.0;263.0;-20.0;111.0
53;6321 Supporting land transport act..;2008;9.5;8.1;7.6;6.5;2007.0;711.0;1295.0;1943.0;677.0;434.0;273.0;38.0;6.0;1.0;118.0;251.0;8.0;116.0;6.0;13.0;7.0;5.0;46.0;50.0;581.0;64.0;-96.0;211.0;-87.0;91.0
54;6322 Supporting water transport act..;2006;4.2;4.0;3.0;2.9;1001.0;982.0;19.0;635.0;140.0;236.0;175.0;12.0;24.0;0.0;25.0;131.0;4.0;30.0;5.0;24.0;15.0;6.0;10.0;37.0;128.0;366.0;-56.0;-5.0;2.0;307.0
55;6322 Supporting water transport act..;2007;4.3;4.1;2.8;2.7;1185.0;1130.0;54.0;813.0;246.0;256.0;178.0;11.0;31.0;0.0;35.0;141.0;4.0;27.0;3.0;23.0;15.0;5.0;11.0;52.0;170.0;372.0;-59.0;6.0;3.0;321.0
56;6322 Supporting water transport act..;2008;5.2;4.4;3.1;2.8;1236.0;1206.0;30.0;910.0;257.0;300.0;204.0;14.0;24.0;1.0;57.0;225.0;4.0;32.0;4.0;26.0;20.0;9.0;29.0;101.0;127.0;325.0;-89.0;-7.0;-4.0;226.0
57;6323 Airports/supporting air transport..;2006;6.1;5.5;5.4;5.0;1223.0;1207.0;16.0;1042.0;28.0;359.0;244.0;27.0;32.0;2.0;54.0;476.0;24.0;127.0;6.0;7.0;21.0;10.0;242.0;38.0;178.0;182.0;290.0;0.0;0.0;473.0
58;6323 Airports/supporting air transport..;2007;6.6;5.9;5.4;4.8;1280.0;1256.0;24.0;1069.0;26.0;387.0;265.0;28.0;33.0;2.0;60.0;484.0;21.0;123.0;12.0;5.0;23.0;14.0;246.0;40.0;172.0;210.0;116.0;7.0;4.0;337.0
59;6323 Airports/supporting air transport..;2008;6.8;5.9;5.8;4.9;1305.0;1281.0;25.0;1142.0;47.0;398.0;269.0;30.0;35.0;0.0;65.0;515.0;23.0;129.0;16.0;6.0;24.0;17.0;260.0;40.0;181.0;164.0;39.0;1.0;4.0;209.0
60;633 Travel agencies and tour operators;2006;24.7;18.8;22.0;16.7;5711.0;5627.0;84.0;5539.0;4208.0;632.0;483.0;62.0;25.0;5.0;57.0;630.0;10.0;81.0;13.0;22.0;304.0;44.0;49.0;108.0;69.0;173.0;-2.0;1.0;9.0;180.0
61;633 Travel agencies and tour operators;2007;24.7;19.1;22.3;17.1;6271.0;6182.0;89.0;6004.0;4601.0;662.0;494.0;61.0;28.0;5.0;74.0;678.0;10.0;88.0;13.0;20.0;302.0;43.0;73.0;129.0;63.0;267.0;8.0;2.0;8.0;284.0
62;633 Travel agencies and tour operators;2008;24.9;19.4;22.3;17.1;6606.0;6529.0;77.0;6287.0;4756.0;681.0;515.0;65.0;25.0;6.0;70.0;784.0;11.0;84.0;12.0;20.0;404.0;38.0;66.0;150.0;66.0;319.0;18.0;5.0;4.0;346.0
63;634 Forwarding agencies;2006;44.4;39.3;37.1;33.2;13080.0;13017.0;63.0;12508.0;9235.0;1828.0;1260.0;143.0;90.0;21.0;314.0;1288.0;34.0;290.0;51.0;251.0;100.0;61.0;126.0;375.0;158.0;572.0;-4.0;-9.0;17.0;575.0
64;634 Forwarding agencies;2007;45.8;41.6;37.2;34.2;14532.0;14399.0;133.0;13704.0;10243.0;1894.0;1283.0;143.0;85.0;20.0;362.0;1397.0;34.0;295.0;50.0;297.0;113.0;61.0;157.0;390.0;170.0;828.0;-23.0;-4.0;26.0;827.0
65;634 Forwarding agencies;2008;49.2;44.8;40.5;37.0;14444.0;14334.0;111.0;13714.0;9668.0;2173.0;1440.0;176.0;94.0;11.0;452.0;1700.0;46.0;418.0;67.0;275.0;118.0;56.0;172.0;548.0;173.0;730.0;15.0;-7.0;-20.0;718.0
66;64 Post and telecommunications;2006;142.2;97.8;113.1;84.0;23950.0;23662.0;289.0;20590.0;5737.0;4592.0;3243.0;351.0;283.0;20.0;695.0;6732.0;103.0;491.0;363.0;367.0;1110.0;88.0;3284.0;925.0;3530.0;3360.0;563.0;-35.0;157.0;4046.0
67;64 Post and telecommunications;2007;150.8;98.1;113.8;82.9;24731.0;24294.0;437.0;21423.0;5805.0;4948.0;3375.0;373.0;202.0;21.0;978.0;7059.0;133.0;502.0;228.0;421.0;1103.0;85.0;3517.0;1070.0;3611.0;3308.0;-403.0;-235.0;-229.0;2440.0
68;64 Post and telecommunications;2008;147.3;95.8;110.6;80.0;24373.0;24156.0;217.0;20898.0;6091.0;4919.0;3308.0;383.0;229.0;18.0;981.0;6408.0;138.0;597.0;151.0;432.0;955.0;69.0;2746.0;1319.0;3480.0;3475.0;-1233.0;-232.0;143.0;2154.0
69;641 Post and courier activities;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;641 Post and courier activities;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;641 Post and courier activities;2008;96.4;52.7;71.8;44.8;5533.0;5445.0;88.0;4632.0;1201.0;1991.0;1468.0;198.0;39.0;7.0;279.0;1280.0;26.0;187.0;28.0;317.0;59.0;23.0;214.0;425.0;159.0;902.0;127.0;1.0;15.0;1044.0
72;6411 National post activities;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;6411 National post activities;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;6411 National post activities;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;6412 Local post and courier activities;2006;19.4;16.2;15.2;12.3;2087.0;2052.0;35.0;1818.0;642.0;526.0;365.0;50.0;22.0;2.0;85.0;601.0;6.0;50.0;15.0;138.0;25.0;16.0;28.0;322.0;50.0;269.0;-31.0;-2.0;-15.0;221.0
76;6412 Local post and courier activities;2007;21.5;16.7;15.5;12.3;2374.0;2277.0;97.0;2157.0;789.0;566.0;384.0;67.0;17.0;2.0;96.0;758.0;8.0;48.0;20.0;161.0;28.0;16.0;20.0;456.0;43.0;217.0;35.0;-4.0;8.0;256.0
77;6412 Local post and courier activities;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;642 Telecommunications;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;642 Telecommunications;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;642 Telecommunications;2008;50.9;43.2;38.8;35.2;18840.0;18711.0;129.0;16266.0;4890.0;2928.0;1840.0;185.0;190.0;11.0;702.0;5128.0;113.0;410.0;123.0;116.0;896.0;46.0;2532.0;893.0;3320.0;2574.0;-1359.0;-233.0;128.0;1110.0
