ID;BedrijfstakkenBranchesSBI2008;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaalOpbouwArbeidskosten_6;DirectLoon_7;BijzondereBeloningen_8;LoonVoorNietGewerkteTijd_9;LoonInNatura_10;PremieWIA_11;PremieZVW_12;PremieWW_13;Pensioenpremies_14;OverigePremies_15;LoonBijZiekte_16;Ontslagvergoedingen_17;Opleidingskosten_18;OverigeUitgaven_19;Subsidies_20;PotentieleArbeidsduur_21;VerlofurenEnUrenVanFeestdagen_22;ZiekteUrenVerleturenEnKortVerzuim_23;ZwangerschapsEnBevallingsverlof_24;GewerkteUrenExclOverwerkuren_25;BetaaldeEnOnbetaaldeOverwerkuren_26;GewerkteUren_27
10;J Informatie en communicatie;14.4;71.4;40.36;34.36;1768;100;58.2;11.3;6.9;3.3;2.8;4.1;2.9;6.2;0.1;2.2;0.3;0.6;2.0;-0.9;100;11.8;3.3;0.4;84.5;1.0;85.5
11;K Financiële dienstverlening;21.0;91.7;54.73;46.26;1676;100;50.0;14.2;5.4;3.3;2.2;3.2;1.8;14.3;0.1;2.0;0.2;1.5;2.0;-0.2;100;11.9;3.6;0.6;83.9;0.7;84.7
12;L Verhuur en handel van onroerend goed;3.5;62.9;37.8;31.87;1663;100;59.3;8.9;7.9;2.4;2.8;4.1;2.4;6.2;0.1;2.5;0.1;1.2;2.5;-0.3;100;12.0;3.4;0.5;84.0;0.4;84.4
13;M Specialistische zakelijke diensten;29.7;73.4;41.67;35.36;1762;100;59.9;10.8;7.2;2.8;2.4;3.5;1.9;6.6;0.1;1.9;0.1;0.9;2.5;-0.6;100;12.2;2.9;0.6;84.3;0.9;85.2
14;N Verhuur en overige zakelijke diensten;21.3;39.6;22.26;19.4;1781;100;59.2;8.5;9.9;1.3;3.5;4.9;4.3;4.0;0.1;2.0;0.1;0.3;2.5;-0.7;100;11.9;3.7;0.3;84.1;4.0;88.0
15;O Openbaar bestuur en overheidsdiensten;30.6;68.2;42.27;35.11;1613;100;51.6;11.6;6.4;0.4;3.0;3.9;0.6;10.7;0.3;3.5;5.0;1.3;1.9;-0.3;100;11.3;5.5;0.8;82.4;1.1;83.5
16;P Onderwijs;23.4;62.2;40.93;32.36;1520;100;53.6;11.0;9.1;0.2;3.3;4.7;0.5;10.3;0.1;3.8;0.9;1.1;2.0;-0.5;100;14.8;5.1;1.1;78.9;0.2;79.1
17;Q Gezondheids- en welzijnszorg;44.6;50.3;32.57;26.4;1545;100;55.9;9.9;9.7;0.2;3.3;4.8;1.5;7.2;0.1;4.1;0.1;1.5;2.1;-0.4;100;13.3;5.0;1.0;80.7;0.6;81.3
18;R Cultuur, sport en recreatie;3.7;49.5;29.34;24.72;1687;100;58.7;8.4;9.6;1.5;3.2;4.5;2.4;6.2;0.2;2.7;0.1;0.7;2.3;-0.5;100;12.2;3.7;0.4;83.7;0.8;84.5
19;S Overige dienstverlening;4.9;49.6;30.28;25.3;1637;100;56.0;9.0;9.6;1.7;3.2;4.6;2.2;7.9;0.2;3.0;0.1;0.7;2.4;-0.5;100;12.4;3.9;0.7;83.0;1.0;83.9
