ID;Periods;IndexFigures_1;YearOnYearChange_2;IndexFigures_3;YearOnYearChange_4;IndexFigures_5;YearOnYearChange_6
99;1995 December;94.8;-0.2;96.5;0.2;91.5;0.0
100;1995 4th quarter;96.4;0.3;94.4;0.0;91.1;0.3
101;1995;96.0;1.1;93.1;-0.1;89.4;1.0
102;1996 January;94.2;0.2;91.2;-1.9;85.9;-1.7
103;1996 February;95.4;0.5;90.8;-2.1;86.6;-1.6
104;1996 March;96.8;-0.2;92.8;-0.1;89.8;-0.3
105;1996 1st quarter;95.5;0.2;91.6;-1.4;87.5;-1.2
106;1996 April;94.9;0.2;94.5;0.8;89.7;1.0
107;1996 May;98.0;1.2;91.9;-0.1;90.1;1.0
108;1996 June;98.1;0.7;91.0;-0.1;89.3;0.5
109;1996 2nd quarter;97.0;0.7;92.4;0.2;89.7;0.8
110;1996 July;96.4;0.6;92.2;0.3;88.8;0.9
111;1996 August;97.3;0.7;92.6;-0.1;90.1;0.7
112;1996 September;96.3;1.3;94.2;0.7;90.7;2.0
113;1996 3rd quarter;96.7;0.9;93.0;0.3;89.9;1.2
114;1996 October;98.2;0.0;95.0;2.4;93.3;2.4
115;1996 November;96.6;0.3;95.7;1.7;92.4;2.0
116;1996 December;94.9;0.0;98.5;2.1;93.5;2.1
117;1996 4th quarter;96.5;0.1;96.4;2.1;93.0;2.2
118;1996;96.4;0.4;93.4;0.3;90.0;0.7
119;1997 January;94.9;0.7;93.2;2.2;88.4;2.9
120;1997 February;95.7;0.3;92.7;2.1;88.7;2.4
121;1997 March;98.2;1.5;93.2;0.4;91.5;1.9
122;1997 1st quarter;96.3;0.8;93.0;1.5;89.6;2.4
123;1997 April;96.5;1.6;94.4;0.0;91.1;1.6
124;1997 May;99.1;1.1;92.8;1.0;92.0;2.2
125;1997 June;99.0;0.9;92.3;1.4;91.4;2.3
126;1997 2nd quarter;98.2;1.2;93.2;0.8;91.5;2.0
127;1997 July;96.6;0.2;95.0;3.1;91.7;3.3
128;1997 August;98.1;0.8;96.0;3.6;94.1;4.4
129;1997 September;97.2;1.0;95.9;1.8;93.3;2.8
130;1997 3rd quarter;97.3;0.6;95.7;2.8;93.0;3.5
131;1997 October;99.5;1.4;96.5;1.6;96.1;3.0
132;1997 November;98.3;1.8;97.1;1.4;95.4;3.3
133;1997 December;97.1;2.4;98.3;-0.2;95.5;2.2
134;1997 4th quarter;98.3;1.9;97.3;0.9;95.7;2.8
135;1997;97.5;1.2;94.8;1.5;92.5;2.7
136;1998 January;96.2;1.4;93.1;-0.1;89.5;1.3
137;1998 February;97.1;1.4;92.1;-0.6;89.4;0.8
138;1998 March;99.0;0.8;92.9;-0.4;92.0;0.5
139;1998 1st quarter;97.4;1.2;92.7;-0.4;90.3;0.8
140;1998 April;97.0;0.5;93.6;-0.9;90.8;-0.4
141;1998 May;99.0;-0.1;91.2;-1.8;90.3;-1.9
142;1998 June;99.8;0.9;89.6;-2.9;89.5;-2.1
143;1998 2nd quarter;98.6;0.4;91.4;-1.9;90.2;-1.5
144;1998 July;98.6;2.1;90.6;-4.6;89.3;-2.6
145;1998 August;99.0;0.9;90.6;-5.7;89.6;-4.8
146;1998 September;97.7;0.5;90.8;-5.4;88.7;-4.9
147;1998 3rd quarter;98.4;1.2;90.7;-5.2;89.2;-4.1
148;1998 October;99.7;0.2;90.4;-6.3;90.2;-6.1
149;1998 November;98.4;0.1;91.0;-6.3;89.5;-6.2
150;1998 December;97.4;0.3;91.8;-6.6;89.4;-6.4
151;1998 4th quarter;98.5;0.2;91.1;-6.4;89.7;-6.2
152;1998;98.3;0.7;91.4;-3.5;89.9;-2.8
153;1999 January;97.0;0.8;85.7;-7.9;83.1;-7.1
154;1999 February;97.3;0.2;85.6;-7.1;83.2;-7.0
155;1999 March;98.4;-0.6;88.1;-5.2;86.7;-5.8
156;1999 1st quarter;97.6;0.1;86.4;-6.7;84.3;-6.6
157;1999 April;97.0;0.1;89.2;-4.6;86.6;-4.6
158;1999 May;99.4;0.4;87.5;-4.0;87.0;-3.6
159;1999 June;99.7;-0.1;87.8;-2.0;87.6;-2.1
160;1999 2nd quarter;98.7;0.1;88.2;-3.6;87.1;-3.4
161;1999 July;97.9;-0.7;89.5;-1.2;87.6;-2.0
162;1999 August;98.9;0.0;90.3;-0.2;89.4;-0.3
163;1999 September;97.9;0.2;92.0;1.4;90.1;1.6
164;1999 3rd quarter;98.2;-0.2;90.6;0.0;89.0;-0.2
165;1999 October;99.4;-0.3;90.8;0.4;90.2;0.1
166;1999 November;97.5;-0.9;93.8;3.1;91.5;2.2
167;1999 December;96.6;-0.8;96.8;5.5;93.5;4.6
168;1999 4th quarter;97.8;-0.7;93.8;3.0;91.7;2.3
169;1999;98.1;-0.2;89.9;-1.7;88.1;-1.9
170;2000 January;97.1;0.0;90.5;5.6;87.8;5.6
171;2000 February;96.8;-0.5;92.1;7.6;89.1;7.1
172;2000 March;97.6;-0.8;93.5;6.1;91.2;5.2
173;2000 1st quarter;97.2;-0.4;92.0;6.4;89.4;6.0
174;2000 April;98.4;1.4;93.1;4.4;91.6;5.8
175;2000 May;99.4;0.0;93.8;7.3;93.3;7.2
176;2000 June;99.7;0.0;94.0;7.1;93.7;7.1
177;2000 2nd quarter;99.2;0.4;93.7;6.2;92.9;6.7
178;2000 July;98.4;0.5;94.6;5.7;93.0;6.2
179;2000 August;99.0;0.1;96.4;6.7;95.4;6.8
180;2000 September;98.3;0.4;99.5;8.1;97.9;8.6
181;2000 3rd quarter;98.6;0.3;96.8;6.8;95.4;7.2
182;2000 October;98.4;-0.9;99.9;10.1;98.4;9.1
183;2000 November;96.5;-1.0;102.0;8.7;98.5;7.7
184;2000 December;100.1;3.6;98.5;1.8;98.6;5.5
185;2000 4th quarter;98.4;0.5;100.2;6.8;98.5;7.4
186;2000;98.3;0.2;95.8;6.6;94.2;6.8
187;2001 January;99.8;2.8;93.0;2.8;92.8;5.7
188;2001 February;99.2;2.5;94.2;2.3;93.5;4.9
189;2001 March;99.9;2.4;94.3;0.9;94.3;3.3
190;2001 1st quarter;99.6;2.6;93.9;2.0;93.5;4.6
191;2001 April;100.2;1.8;94.3;1.3;94.5;3.1
192;2001 May;100.7;1.3;94.6;0.8;95.3;2.1
193;2001 June;100.1;0.5;95.0;1.0;95.1;1.4
194;2001 2nd quarter;100.4;1.2;94.6;1.0;95.0;2.2
195;2001 July;99.0;0.6;94.6;0.0;93.6;0.6
196;2001 August;99.4;0.3;94.3;-2.2;93.6;-1.9
197;2001 September;100.2;1.9;94.9;-4.6;95.1;-2.8
198;2001 3rd quarter;99.5;0.9;94.6;-2.3;94.1;-1.4
199;2001 October;99.8;1.3;94.2;-5.7;94.0;-4.5
200;2001 November;99.5;3.1;94.7;-7.2;94.2;-4.4
201;2001 December;100.7;0.6;94.0;-4.6;94.6;-4.1
202;2001 4th quarter;100.0;1.6;94.3;-5.9;94.3;-4.3
203;2001;99.9;1.6;94.3;-1.5;94.2;0.1
204;2002 January;101.1;1.3;88.0;-5.4;88.9;-4.2
205;2002 February;100.2;1.0;88.9;-5.7;89.0;-4.8
206;2002 March;99.7;-0.3;90.3;-4.3;90.0;-4.5
207;2002 1st quarter;100.3;0.7;89.1;-5.1;89.3;-4.5
208;2002 April;100.5;0.3;90.9;-3.7;91.3;-3.4
209;2002 May;102.4;1.6;89.4;-5.4;91.6;-3.9
210;2002 June;102.4;2.3;88.8;-6.5;90.9;-4.4
211;2002 2nd quarter;101.7;1.4;89.7;-5.2;91.3;-3.9
212;2002 July;100.7;1.7;89.2;-5.6;89.9;-4.0
213;2002 August;101.7;2.3;89.9;-4.6;91.4;-2.3
214;2002 September;101.8;1.6;91.2;-3.9;92.8;-2.3
215;2002 3rd quarter;101.4;1.9;90.1;-4.7;91.4;-2.9
216;2002 October;102.0;2.3;91.2;-3.2;93.1;-1.0
217;2002 November;101.0;1.6;91.3;-3.5;92.3;-2.0
218;2002 December;102.5;1.8;91.3;-2.9;93.5;-1.2
219;2002 4th quarter;101.8;1.9;91.3;-3.2;93.0;-1.4
220;2002;101.3;1.4;90.1;-4.5;91.2;-3.2
221;2003 January;101.4;0.3;88.2;0.2;89.4;0.6
222;2003 February;101.6;1.3;88.9;0.0;90.3;1.4
223;2003 March;101.8;2.2;88.8;-1.7;90.4;0.5
224;2003 1st quarter;101.6;1.3;88.6;-0.5;90.1;0.8
225;2003 April;101.9;1.4;88.1;-3.0;89.8;-1.6
226;2003 May;103.6;1.1;86.3;-3.5;89.3;-2.4
227;2003 June;102.9;0.5;86.1;-3.0;88.6;-2.5
228;2003 2nd quarter;102.8;1.0;86.8;-3.2;89.3;-2.2
229;2003 July;101.3;0.6;86.7;-2.9;87.8;-2.3
230;2003 August;101.9;0.2;88.0;-2.2;89.6;-2.0
231;2003 September;102.2;0.4;88.2;-3.3;90.2;-2.9
232;2003 3rd quarter;101.8;0.4;87.6;-2.8;89.2;-2.4
233;2003 October;102.7;0.6;87.9;-3.6;90.3;-3.0
234;2003 November;101.3;0.2;89.3;-2.2;90.4;-2.0
235;2003 December;102.5;0.0;88.2;-3.4;90.4;-3.4
236;2003 4th quarter;102.1;0.3;88.5;-3.1;90.4;-2.8
237;2003;102.1;0.8;87.9;-2.4;89.7;-1.6
238;2004 January;101.3;-0.1;85.7;-2.8;86.8;-2.9
239;2004 February;101.8;0.2;85.8;-3.5;87.3;-3.3
240;2004 March;101.1;-0.7;87.7;-1.3;88.6;-2.0
241;2004 1st quarter;101.4;-0.2;86.4;-2.5;87.6;-2.7
242;2004 April;100.7;-1.2;89.0;1.0;89.6;-0.2
243;2004 May;102.2;-1.3;88.3;2.3;90.2;1.0
244;2004 June;102.7;-0.2;88.1;2.3;90.5;2.1
245;2004 2nd quarter;101.9;-0.9;88.5;1.9;90.1;1.0
246;2004 July;100.8;-0.6;88.9;2.6;89.6;2.0
247;2004 August;100.9;-1.0;90.1;2.4;90.9;1.4
248;2004 September;100.9;-1.3;91.2;3.4;92.0;2.0
249;2004 3rd quarter;100.8;-1.0;90.1;2.8;90.8;1.8
250;2004 October;102.0;-0.7;90.8;3.3;92.6;2.6
251;2004 November;101.6;0.3;90.4;1.2;91.8;1.5
252;2004 December;103.7;1.2;88.8;0.7;92.1;1.9
253;2004 4th quarter;102.4;0.3;90.0;1.7;92.2;2.0
254;2004;101.6;-0.4;88.8;1.0;90.2;0.5
255;2005 January;102.6;1.3;87.3;1.8;89.5;3.1
256;2005 February;102.7;0.9;88.5;3.2;90.9;4.2
257;2005 March;101.6;0.5;90.8;3.6;92.3;4.1
258;2005 1st quarter;102.3;0.9;88.9;2.9;90.9;3.8
259;2005 April;102.0;1.4;90.9;2.2;92.8;3.5
260;2005 May;103.3;1.1;89.7;1.7;92.7;2.7
261;2005 June;102.7;0.0;90.5;2.8;93.0;2.7
262;2005 2nd quarter;102.7;0.8;90.4;2.2;92.8;3.0
263;2005 July;100.9;0.2;91.8;3.2;92.6;3.4
264;2005 August;101.4;0.5;92.8;3.0;94.0;3.5
265;2005 September;101.1;0.3;94.0;3.1;95.1;3.4
266;2005 3rd quarter;101.1;0.3;92.9;3.1;93.9;3.4
267;2005 October;102.5;0.5;93.5;2.9;95.8;3.4
268;2005 November;102.0;0.4;94.0;4.0;95.8;4.4
269;2005 December;103.7;0.0;94.1;6.0;97.6;6.0
270;2005 4th quarter;102.7;0.3;93.9;4.3;96.4;4.6
271;2005;102.2;0.5;91.6;3.2;93.6;3.7
272;2006 January;101.6;-1.0;93.5;7.2;95.0;6.1
273;2006 February;102.5;-0.3;93.2;5.3;95.5;5.0
274;2006 March;101.4;-0.2;94.3;3.8;95.6;3.6
275;2006 1st quarter;101.8;-0.5;93.7;5.4;95.3;4.9
276;2006 April;101.4;-0.7;95.1;4.5;96.3;3.8
277;2006 May;102.2;-1.0;94.9;5.7;97.0;4.6
278;2006 June;101.5;-1.1;94.8;4.7;96.2;3.5
279;2006 2nd quarter;101.7;-1.0;94.9;5.0;96.5;4.0
280;2006 July;100.4;-0.5;95.8;4.4;96.2;3.9
281;2006 August;101.7;0.4;95.9;3.3;97.5;3.7
282;2006 September;101.3;0.2;95.2;1.2;96.4;1.4
283;2006 3rd quarter;101.1;0.0;95.6;3.0;96.7;3.0
284;2006 October;102.6;0.2;94.3;0.9;96.8;1.0
285;2006 November;101.8;-0.1;95.5;1.7;97.3;1.5
286;2006 December;103.7;0.0;95.1;1.1;98.6;1.0
287;2006 4th quarter;102.7;0.0;95.0;1.2;97.6;1.2
288;2006;101.8;-0.3;94.8;3.5;96.5;3.2
289;2007 January;102.5;0.9;93.9;0.4;96.3;1.4
290;2007 February;102.6;0.1;94.2;1.1;96.7;1.3
291;2007 March;101.3;-0.2;95.9;1.7;97.1;1.6
292;2007 1st quarter;102.1;0.3;94.7;1.1;96.7;1.4
293;2007 April;101.4;0.0;96.0;1.0;97.3;1.0
294;2007 May;101.8;-0.5;96.5;1.7;98.2;1.2
295;2007 June;101.0;-0.5;96.3;1.6;97.3;1.1
296;2007 2nd quarter;101.4;-0.3;96.2;1.4;97.6;1.1
297;2007 July;100.9;0.5;96.4;0.6;97.3;1.2
298;2007 August;101.9;0.2;95.6;-0.3;97.5;0.0
299;2007 September;100.5;-0.7;97.1;2.0;97.6;1.3
300;2007 3rd quarter;101.1;0.0;96.4;0.8;97.5;0.8
301;2007 October;102.4;-0.2;97.0;2.9;99.4;2.7
302;2007 November;101.3;-0.5;98.9;3.5;100.2;3.0
303;2007 December;102.6;-1.1;99.0;4.1;101.6;3.0
304;2007 4th quarter;102.1;-0.6;98.3;3.5;100.4;2.9
305;2007;101.7;-0.1;96.4;1.7;98.1;1.6
306;2008 January;101.3;-1.2;99.6;6.0;100.9;4.8
307;2008 February;102.0;-0.6;99.6;5.7;101.6;5.1
308;2008 March;101.0;-0.2;101.0;5.3;102.0;5.1
309;2008 1st quarter;101.4;-0.7;100.1;5.7;101.5;5.0
310;2008 April;100.7;-0.7;101.6;5.9;102.3;5.1
311;2008 May;100.4;-1.4;103.9;7.7;104.3;6.2
312;2008 June;99.2;-1.8;105.2;9.2;104.3;7.2
313;2008 2nd quarter;100.1;-1.3;103.6;7.6;103.6;6.2
314;2008 July;99.6;-1.3;104.8;8.7;104.4;7.3
315;2008 August;100.7;-1.2;103.8;8.6;104.6;7.3
316;2008 September;101.1;0.6;102.5;5.6;103.6;6.2
317;2008 3rd quarter;100.5;-0.6;103.7;7.6;104.2;6.9
318;2008 October;103.1;0.7;100.4;3.5;103.5;4.1
319;2008 November;103.8;2.4;97.6;-1.3;101.2;1.0
320;2008 December;104.5;1.9;94.2;-4.8;98.5;-3.0
321;2008 4th quarter;103.8;1.6;97.4;-0.9;101.1;0.7
322;2008;101.4;-0.3;101.2;5.0;102.6;4.7
323;2009 January;103.8;2.5;92.2;-7.5;95.7;-5.1
324;2009 February;102.5;0.5;92.7;-7.0;95.1;-6.4
325;2009 March;102.1;1.1;92.4;-8.5;94.3;-7.5
326;2009 1st quarter;102.8;1.4;92.4;-7.7;95.0;-6.4
327;2009 April;101.5;0.9;91.4;-10.1;92.8;-9.3
328;2009 May;101.0;0.6;92.2;-11.3;93.1;-10.7
329;2009 June;100.3;1.1;93.7;-10.9;94.0;-9.9
330;2009 2nd quarter;100.9;0.9;92.4;-10.8;93.3;-10.0
331;2009 July;101.1;1.4;91.1;-13.0;92.1;-11.8
332;2009 August;100.4;-0.3;92.4;-11.0;92.8;-11.3
333;2009 September;100.5;-0.6;92.2;-10.1;92.7;-10.6
334;2009 3rd quarter;100.7;0.2;91.9;-11.4;92.5;-11.2
335;2009 October;101.4;-1.7;93.2;-7.2;94.5;-8.7
336;2009 November;101.6;-2.1;93.5;-4.1;95.0;-6.1
337;2009 December;101.2;-3.2;94.0;-0.2;95.1;-3.4
338;2009 4th quarter;101.4;-2.3;93.6;-3.9;94.9;-6.1
339;2009;101.4;0.0;92.6;-8.5;93.9;-8.5
340;2010 January;99.7;-4.0;96.3;4.4;96.0;0.3
341;2010 February;100.2;-2.3;96.8;4.4;97.0;2.1
342;2010 March;99.8;-2.3;98.6;6.7;98.4;4.3
343;2010 1st quarter;99.9;-2.9;97.2;5.2;97.1;2.2
344;2010 April;99.5;-2.0;100.2;9.7;99.8;7.5
345;2010 May;100.0;-1.0;101.1;9.7;101.1;8.6
346;2010 June;100.0;-0.3;101.4;8.2;101.4;7.8
347;2010 2nd quarter;99.8;-1.1;100.9;9.2;100.8;8.0
348;2010 July;100.1;-1.0;99.5;9.1;99.6;8.1
349;2010 August;100.3;-0.1;99.9;8.0;100.1;7.9
350;2010 September;100.5;0.0;99.9;8.3;100.4;8.3
351;2010 3rd quarter;100.3;-0.4;99.7;8.5;100.0;8.1
352;2010 October;100.3;-1.1;100.2;7.5;100.5;6.3
353;2010 November;100.3;-1.3;101.4;8.4;101.7;7.0
354;2010 December;99.3;-1.8;103.9;10.5;103.2;8.5
355;2010 4th quarter;100.0;-1.4;101.8;8.8;101.8;7.3
356;2010;100.0;-1.4;100.0;8.0;100.0;6.4
357;2011 January;100.8;1.1;101.2;5.1;102.0;6.3
358;2011 February;99.9;-0.3;104.9;8.3;104.8;8.0
359;2011 March;100.5;0.7;104.3;5.7;104.7;6.5
360;2011 1st quarter;100.4;0.5;103.4;6.4;103.8;6.9
361;2011 April;101.5;2.0;103.3;3.0;104.9;5.1
362;2011 May;100.3;0.3;105.4;4.2;105.7;4.5
363;2011 June;101.4;1.5;102.3;0.8;103.7;2.3
364;2011 2nd quarter;101.1;1.3;103.6;2.7;104.8;4.0
365;2011 July;99.2;-0.9;106.5;7.1;105.7;6.2
366;2011 August;99.6;-0.7;105.6;5.7;105.1;5.0
367;2011 September;98.4;-2.1;107.8;7.9;106.1;5.7
368;2011 3rd quarter;99.1;-1.2;106.6;6.9;105.6;5.6
369;2011 October;99.4;-0.9;107.2;7.0;106.6;6.1
370;2011 November;101.5;1.1;105.6;4.2;107.2;5.4
371;2011 December;99.7;0.4;107.2;3.2;106.9;3.5
372;2011 4th quarter;100.2;0.2;106.7;4.8;106.9;5.0
373;2011;100.2;0.2;105.1;5.1;105.3;5.3
374;2012 January;101.0;0.3;105.1;3.8;106.2;4.1
375;2012 February;99.4;-0.5;108.6;3.5;107.9;3.0
376;2012 March;100.1;-0.4;107.6;3.2;107.7;2.8
377;2012 1st quarter;100.2;-0.2;107.1;3.5;107.2;3.3
378;2012 April;101.0;-0.6;106.3;2.9;107.4;2.4
379;2012 May;99.7;-0.7;108.2;2.6;107.8;2.0
380;2012 June;100.9;-0.6;103.9;1.6;104.8;1.1
381;2012 2nd quarter;100.5;-0.6;106.1;2.4;106.7;1.8
382;2012 July;98.5;-0.8;109.1;2.4;107.4;1.6
383;2012 August;98.5;-1.0;110.4;4.6;108.8;3.5
384;2012 September;98.2;-0.2;110.9;2.9;108.9;2.7
385;2012 3rd quarter;98.4;-0.7;110.1;3.3;108.4;2.6
386;2012 October;99.0;-0.5;109.7;2.3;108.6;1.9
387;2012 November;100.8;-0.7;107.6;1.8;108.4;1.2
388;2012 December;99.6;-0.1;107.9;0.6;107.5;0.6
389;2012 4th quarter;99.8;-0.4;108.4;1.6;108.2;1.2
390;2012;99.7;-0.5;107.9;2.7;107.6;2.2
391;2013 January;101.1;0.0;105.5;0.4;106.6;0.4
392;2013 February;99.6;0.2;108.8;0.2;108.4;0.4
393;2013 March;100.4;0.3;106.3;-1.2;106.7;-0.9
394;2013 1st quarter;100.4;0.2;106.8;-0.2;107.2;0.0
395;2013 April;102.1;1.1;103.6;-2.5;105.8;-1.5
396;2013 May;100.2;0.5;106.5;-1.5;106.7;-1.0
397;2013 June;101.1;0.2;103.2;-0.7;104.3;-0.5
398;2013 2nd quarter;101.1;0.6;104.4;-1.6;105.6;-1.0
399;2013 July;99.0;0.5;107.5;-1.5;106.4;-0.9
400;2013 August;99.9;1.4;106.7;-3.4;106.6;-2.0
401;2013 September;99.1;0.9;107.9;-2.7;106.9;-1.8
402;2013 3rd quarter;99.3;0.9;107.4;-2.5;106.6;-1.6
403;2013 October;99.5;0.5;106.2;-3.2;105.7;-2.7
404;2013 November;100.7;-0.1;105.0;-2.4;105.8;-2.5
405;2013 December;100.4;0.8;105.8;-2.0;106.3;-1.2
406;2013 4th quarter;100.2;0.4;105.7;-2.5;105.9;-2.1
407;2013;100.3;0.5;106.1;-1.7;106.3;-1.2
408;2014 January;101.5;0.4;102.9;-2.4;104.5;-2.0
409;2014 February;100.1;0.4;105.7;-2.8;105.8;-2.4
410;2014 March;100.8;0.3;102.9;-3.2;103.7;-2.9
411;2014 1st quarter;100.8;0.4;103.9;-2.8;104.7;-2.4
412;2014 April;102.1;0.0;101.8;-1.8;103.9;-1.8
413;2014 May;100.2;0.0;104.8;-1.6;105.0;-1.6
414;2014 June;101.0;-0.1;102.4;-0.7;103.5;-0.8
415;2014 2nd quarter;101.1;0.0;103.0;-1.4;104.1;-1.4
