ID;TypeOfDwelling;Periods;PriceIndex_1;ChangesComparedToThePreviousPeriod_2;ChangesComparedToThePreviousYear_3;Number_4;ChangesComparedToThePreviousPeriod_5;ChangesComparedToThePreviousYear_6;AveragePurchasePrice_7;TotalValuePurchasePrices_8
24;Total of own houses;2019;92.6;7.2;7.2;243437;-1.3;-1.3;315523;76810
25;Total of own houses;2020 1st quarter;96.7;2.0;6.9;58082;-12.9;9.2;335341;19477
26;Total of own houses;2020 2nd quarter;99.0;2.4;7.9;62911;8.3;7.0;338037;21266
27;Total of own houses;2020 3rd quarter;101.3;2.4;8.6;69310;10.2;7.0;347113;24058
28;Total of own houses;2020 4th quarter;103.0;1.6;8.7;77516;11.8;16.2;353256;27383
29;Total of own houses;2020;100.0;8.0;8.0;267819;10.0;10.0;344206;92185
30;Total of own houses;2021 1st quarter;106.7;3.6;10.4;73437;-5.3;26.4;385044;28276
31;Total of own houses;2021 2nd quarter;111.4;4.4;12.6;61536;-16.2;-2.2;376357;23160
32;Total of own houses;2021 3rd quarter;117.7;5.6;16.2;61793;0.4;-10.8;409658;25314
33;Total of own houses;2021 4th quarter;122.1;3.7;18.6;63429;2.6;-18.2;415797;26374
34;Total of own houses;2021;114.5;14.5;14.5;260195;-2.8;-2.8;396332;103124
35;Total of own houses;2022 1st quarter;127.0;4.0;19.0;50791;-19.9;-30.8;435139;22101
36;Total of own houses;2022 2nd quarter;130.9;3.1;17.5;54911;8.1;-10.8;440446;24185
37;Total of own houses;2022 3rd quarter;131.9;0.7;12.0;55764;1.6;-9.8;447834;24973
38;Total of own houses;2022 4th quarter;129.0;-2.1;5.7;56667;1.6;-10.7;423326;23989
39;Total of own houses;2022;129.7;13.3;13.3;218133;-16.2;-16.2;436652;95248
40;Total of own houses;2023 1st quarter;127.1;-1.5;0.1;43777;-22.7;-13.8;423598;18544
41;Total of own houses;2023 2nd quarter;125.6;-1.2;-4.1;47832;9.3;-12.9;413201;19764
42;Total of own houses;2023 3rd quarter;127.0;1.1;-3.7;50827;6.3;-8.9;424181;21560
43;Total of own houses;2023 4th quarter;129.2;1.7;0.1;56739;11.6;0.1;431064;24458
44;Total of own houses;2023;127.2;-1.9;-1.9;199175;-8.7;-8.7;423377;84326
45;Total of own houses;2024 1st quarter;131.8;2.0;3.7;49143;-13.4;12.3;438008;21525
46;Total of own houses;2024 2nd quarter;135.2;2.6;7.7;54062;10.0;13.0;445759;24099
47;Total of own houses;2024 3rd quarter;140.2;3.7;10.4;60711;12.3;19.4;465631;28269
48;Total of own houses;2024 4th quarter;143.1;2.1;10.8;68520;12.9;20.8;466439;31960
49;Total of own houses;2024;137.6;8.1;8.1;232436;16.7;16.7;455407;105853
50;New own homes;2015 1st quarter;66.9;;;5029;;;250118;1258
51;New own homes;2015 2nd quarter;68.0;1.5;;6650;32.2;;261338;1738
52;New own homes;2015 3rd quarter;70.3;3.4;;6349;-4.5;;271142;1721
53;New own homes;2015 4th quarter;69.7;-0.7;;8353;31.6;;271207;2265
54;New own homes;2015;68.7;;;26381;;;264683;6983
55;New own homes;2016 1st quarter;69.4;-0.5;3.7;5568;-33.3;10.7;279104;1554
56;New own homes;2016 2nd quarter;70.9;2.2;4.3;6839;22.8;2.8;285405;1952
57;New own homes;2016 3rd quarter;72.0;1.6;2.5;6549;-4.2;3.2;287697;1884
58;New own homes;2016 4th quarter;73.6;2.3;5.6;8779;34.1;5.1;295039;2590
59;New own homes;2016;71.5;4.0;4.0;27735;5.1;5.1;287731;7980
60;New own homes;2017 1st quarter;75.0;1.9;8.1;6787;-22.7;21.9;298194;2024
61;New own homes;2017 2nd quarter;74.5;-0.7;5.1;7532;11.0;10.1;312819;2356
62;New own homes;2017 3rd quarter;77.5;4.0;7.6;6721;-10.8;2.6;321659;2162
63;New own homes;2017 4th quarter;81.6;5.3;10.8;10161;51.2;15.7;334696;3401
64;New own homes;2017;77.2;7.9;7.9;31201;12.5;12.5;318666;9943
65;New own homes;2018 1st quarter;81.8;0.3;9.1;6151;-39.5;-9.4;350520;2156
66;New own homes;2018 2nd quarter;82.8;1.2;11.2;7068;14.9;-6.2;342740;2422
67;New own homes;2018 3rd quarter;87.2;5.2;12.4;6153;-12.9;-8.5;381897;2350
68;New own homes;2018 4th quarter;87.6;0.5;7.3;8756;42.3;-13.8;370405;3243
69;New own homes;2018;84.9;10.0;10.0;28128;-9.8;-9.8;361619;10172
70;New own homes;2019 1st quarter;89.1;1.8;8.9;5746;-34.4;-6.6;365947;2103
71;New own homes;2019 2nd quarter;91.1;2.3;10.0;6305;9.7;-10.8;377484;2380
72;New own homes;2019 3rd quarter;92.7;1.7;6.4;5813;-7.8;-5.5;385147;2239
73;New own homes;2019 4th quarter;94.8;2.2;8.2;6978;20.0;-20.3;396398;2766
74;New own homes;2019;91.9;8.3;8.3;24842;-11.7;-11.7;381921;9488
75;New own homes;2020 1st quarter;95.3;0.6;7.0;6503;-6.8;13.2;410751;2671
76;New own homes;2020 2nd quarter;99.5;4.4;9.2;7988;22.8;26.7;407963;3259
77;New own homes;2020 3rd quarter;102.9;3.3;11.0;7104;-11.1;22.2;413255;2936
78;New own homes;2020 4th quarter;102.3;-0.6;7.9;10713;50.8;53.5;424122;4544
79;New own homes;2020;100.0;8.8;8.8;32308;30.1;30.1;415046;13409
80;New own homes;2021 1st quarter;106.3;3.9;11.5;6810;-36.4;4.7;442495;3013
81;New own homes;2021 2nd quarter;110.4;3.9;10.9;8749;28.5;9.5;440646;3855
82;New own homes;2021 3rd quarter;111.9;1.4;8.8;7918;-9.5;11.5;469009;3714
83;New own homes;2021 4th quarter;115.6;3.3;13.0;10631;34.3;-0.8;480711;5110
84;New own homes;2021;111.1;11.0;11.0;34108;5.6;5.6;460087;15693
85;New own homes;2022 1st quarter;119.7;3.5;12.6;6868;-35.4;0.9;488552;3355
86;New own homes;2022 2nd quarter;125.2;4.6;13.4;7529;9.6;-13.9;512414;3858
87;New own homes;2022 3rd quarter;128.0;2.2;14.4;5311;-29.5;-32.9;493358;2620
88;New own homes;2022 4th quarter;128.6;0.5;11.3;5322;0.2;-49.9;498388;2652
89;New own homes;2022;125.4;12.9;12.9;25030;-26.6;-26.6;498841;12486
90;New own homes;2023 1st quarter;128.2;-0.3;7.1;3340;-37.2;-51.4;506067;1690
91;New own homes;2023 2nd quarter;130.3;1.6;4.1;3332;-0.2;-55.7;502062;1673
92;New own homes;2023 3rd quarter;129.8;-0.4;1.4;3879;16.4;-27.0;503152;1952
93;New own homes;2023 4th quarter;131.9;1.6;2.6;6221;60.4;16.9;498887;3104
94;New own homes;2023;130.1;3.7;3.7;16772;-33.0;-33.0;501934;8418
95;New own homes;2024 1st quarter;130.7;-0.9;2.0;4702;-24.4;40.8;494221;2324
96;New own homes;2024 2nd quarter;130.7;0.0;0.3;6120;30.2;83.7;482895;2955
97;New own homes;2024 3rd quarter;135.7;3.9;4.6;6564;7.3;69.2;484237;3179
98;New own homes;2024 4th quarter;138.2;1.8;4.8;8592;30.9;38.1;498817;4286
99;New own homes;2024;133.8;2.9;2.9;25978;54.9;54.9;490550;12744
100;Existing own homes;2015 1st quarter;68.4;;;34527;;;221589;7651
101;Existing own homes;2015 2nd quarter;69.0;0.8;;40722;17.9;;227389;9260
102;Existing own homes;2015 3rd quarter;70.1;1.6;;50609;24.3;;233301;11807
103;Existing own homes;2015 4th quarter;70.6;0.7;;52435;3.6;;235039;12324
104;Existing own homes;2015;69.5;;;178293;;;230194;41042
105;Existing own homes;2016 1st quarter;71.5;1.3;4.4;42897;-18.2;24.2;236333;10138
106;Existing own homes;2016 2nd quarter;72.4;1.4;5.0;50315;17.3;23.6;239542;12053
107;Existing own homes;2016 3rd quarter;74.3;2.6;6.0;60707;20.7;20.0;249593;15152
108;Existing own homes;2016 4th quarter;75.2;1.2;6.6;60874;0.3;16.1;246934;15032
109;Existing own homes;2016;73.4;5.5;5.5;214793;20.5;20.5;243837;52374
110;Existing own homes;2017 1st quarter;76.7;2.0;7.4;55911;-8.2;30.3;257002;14369
111;Existing own homes;2017 2nd quarter;78.3;2.1;8.1;58370;4.4;16.0;260573;15210
112;Existing own homes;2017 3rd quarter;80.4;2.6;8.2;61391;5.2;1.1;267464;16420
113;Existing own homes;2017 4th quarter;81.7;1.7;8.7;66188;7.8;8.7;267143;17682
114;Existing own homes;2017;79.3;8.1;8.1;241860;12.6;12.6;263295;63680
115;Existing own homes;2018 1st quarter;83.8;2.5;9.2;52105;-21.3;-6.8;278159;14493
116;Existing own homes;2018 2nd quarter;85.5;2.0;9.2;52930;1.6;-9.3;284639;15066
117;Existing own homes;2018 3rd quarter;87.9;2.8;9.3;56921;7.5;-7.3;292146;16629
118;Existing own homes;2018 4th quarter;89.2;1.5;9.1;56535;-0.7;-14.6;293210;16577
119;Existing own homes;2018;86.6;9.2;9.2;218491;-9.7;-9.7;287267;62765
120;Existing own homes;2019 1st quarter;90.7;1.7;8.2;47431;-16.1;-9.0;301279;14290
121;Existing own homes;2019 2nd quarter;91.8;1.2;7.4;52506;10.7;-0.8;302538;15885
122;Existing own homes;2019 3rd quarter;93.5;1.8;6.4;58935;12.2;3.5;313256;18462
123;Existing own homes;2019 4th quarter;94.8;1.4;6.2;59723;1.3;5.6;312871;18686
124;Existing own homes;2019;92.7;7.0;7.0;218595;0.0;0.0;307978;67322
125;Existing own homes;2020 1st quarter;96.9;2.2;6.8;51579;-13.6;8.7;325834;16806
126;Existing own homes;2020 2nd quarter;98.9;2.1;7.7;54923;6.5;4.6;327867;18007
127;Existing own homes;2020 3rd quarter;101.1;2.3;8.2;62206;13.3;5.6;339559;21123
128;Existing own homes;2020 4th quarter;103.1;1.9;8.8;66803;7.4;11.9;341892;22839
129;Existing own homes;2020;100.0;7.9;7.9;235511;7.7;7.7;334488;78776
130;Existing own homes;2021 1st quarter;106.8;3.6;10.2;66627;-0.3;29.2;379172;25263
131;Existing own homes;2021 2nd quarter;111.6;4.5;12.8;52787;-20.8;-3.9;365702;19304
132;Existing own homes;2021 3rd quarter;118.7;6.3;17.3;53875;2.1;-13.4;400935;21600
133;Existing own homes;2021 4th quarter;123.2;3.8;19.5;52798;-2.0;-21.0;402726;21263
134;Existing own homes;2021;115.1;15.1;15.1;226087;-4.0;-4.0;386714;87431
135;Existing own homes;2022 1st quarter;128.2;4.1;20.1;43923;-16.8;-34.1;426787;18746
136;Existing own homes;2022 2nd quarter;131.8;2.8;18.1;47382;7.9;-10.2;429010;20327
137;Existing own homes;2022 3rd quarter;132.4;0.5;11.6;50453;6.5;-6.4;443042;22353
138;Existing own homes;2022 4th quarter;129.0;-2.6;4.7;51345;1.8;-2.8;415546;21336
139;Existing own homes;2022;130.4;13.3;13.3;193103;-14.6;-14.6;428591;82762
140;Existing own homes;2023 1st quarter;126.8;-1.7;-1.1;40437;-21.2;-7.9;416786;16854
141;Existing own homes;2023 2nd quarter;124.7;-1.7;-5.4;44500;10.0;-6.1;406547;18091
142;Existing own homes;2023 3rd quarter;126.4;1.3;-4.5;46948;5.5;-6.9;417656;19608
143;Existing own homes;2023 4th quarter;128.6;1.7;-0.3;50518;7.6;-1.6;422712;21355
144;Existing own homes;2023;126.6;-2.9;-2.9;182403;-5.5;-5.5;416153;75908
145;Existing own homes;2024 1st quarter;131.6;2.4;3.8;44441;-12.0;9.9;432061;19201
146;Existing own homes;2024 2nd quarter;135.4;2.9;8.6;47942;7.9;7.7;441018;21143
147;Existing own homes;2024 3rd quarter;140.4;3.7;11.1;54147;12.9;15.3;463375;25090
148;Existing own homes;2024 4th quarter;143.3;2.1;11.5;59928;10.7;18.6;461797;27675
149;Existing own homes;2024;137.7;8.7;8.7;206458;13.2;13.2;450985;93109
