ID;RegioSSituatie2013;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishoudens_2;Paren_3;Eenouderhuishoudens_4;OverigeHuishoudens_5
138;Groningen (PV);2017;297.5;134.2;142.6;18.5;2.3
139;Groningen (PV);2018;299.9;135.9;143.0;18.6;2.3
140;Groningen (PV);2019;302.4;137.9;143.4;18.7;2.4
141;Groningen (PV);2020;304.4;139.4;143.7;18.8;2.4
142;Groningen (PV);2021;306.4;141.1;144.1;18.9;2.4
143;Groningen (PV);2022;308.3;142.6;144.3;18.9;2.5
144;Groningen (PV);2023;310.1;144.2;144.4;19.0;2.4
145;Groningen (PV);2024;311.6;145.8;144.4;19.0;2.5
146;Groningen (PV);2025;312.8;147.0;144.3;19.0;2.5
147;Groningen (PV);2026;313.4;147.8;144.1;19.0;2.6
148;Groningen (PV);2027;313.9;148.2;144.0;19.0;2.6
149;Groningen (PV);2028;314.1;148.8;143.7;19.0;2.6
150;Groningen (PV);2029;314.1;149.5;143.0;19.1;2.6
151;Groningen (PV);2030;314.1;150.0;142.4;19.2;2.6
152;Groningen (PV);2031;313.8;150.1;142.0;19.2;2.6
153;Groningen (PV);2032;313.4;150.4;141.3;19.2;2.5
154;Groningen (PV);2033;312.9;150.5;140.6;19.2;2.5
155;Groningen (PV);2034;312.2;150.4;140.1;19.3;2.5
156;Groningen (PV);2035;311.6;150.6;139.1;19.4;2.5
157;Groningen (PV);2036;311.1;150.9;138.2;19.4;2.5
158;Groningen (PV);2037;310.4;150.8;137.5;19.5;2.6
159;Groningen (PV);2038;309.8;151.0;136.7;19.6;2.5
160;Groningen (PV);2039;309.4;151.2;136.1;19.6;2.6
161;Groningen (PV);2040;309.1;151.4;135.6;19.6;2.6
162;Friesland (PV);2014;288.9;101.8;167.8;17.6;1.7
163;Friesland (PV);2015;291.0;103.4;168.0;17.7;1.9
164;Friesland (PV);2016;292.7;104.2;168.7;17.8;1.9
165;Friesland (PV);2017;294.4;105.4;169.1;17.9;1.9
166;Friesland (PV);2018;295.8;106.3;169.7;17.9;2.0
167;Friesland (PV);2019;297.0;107.0;170.2;17.9;2.0
168;Friesland (PV);2020;298.5;108.2;170.5;17.8;2.1
169;Friesland (PV);2021;299.8;109.1;170.8;17.8;2.1
170;Friesland (PV);2022;300.8;109.9;171.2;17.6;2.1
171;Friesland (PV);2023;301.8;110.7;171.4;17.6;2.1
172;Friesland (PV);2024;302.6;111.4;171.6;17.5;2.1
173;Friesland (PV);2025;303.4;112.2;171.6;17.4;2.1
174;Friesland (PV);2026;304.1;113.0;171.5;17.4;2.2
175;Friesland (PV);2027;304.4;113.5;171.3;17.3;2.2
176;Friesland (PV);2028;304.8;114.1;171.3;17.2;2.2
177;Friesland (PV);2029;305.2;114.9;171.1;17.1;2.2
178;Friesland (PV);2030;305.6;115.4;170.8;17.0;2.3
179;Friesland (PV);2031;305.8;116.0;170.5;17.1;2.2
180;Friesland (PV);2032;305.8;116.5;170.1;17.0;2.2
181;Friesland (PV);2033;305.7;116.8;169.8;16.9;2.3
182;Friesland (PV);2034;305.7;117.0;169.6;16.9;2.2
183;Friesland (PV);2035;305.5;117.3;169.1;16.8;2.3
184;Friesland (PV);2036;305.2;117.6;168.7;16.7;2.2
185;Friesland (PV);2037;305.1;117.9;168.2;16.7;2.2
186;Friesland (PV);2038;304.8;117.9;168.0;16.7;2.3
187;Friesland (PV);2039;304.5;118.1;167.3;16.7;2.3
188;Friesland (PV);2040;304.3;118.2;167.0;16.8;2.3
189;Drenthe (PV);2014;215.7;69.8;131.4;13.4;1.1
190;Drenthe (PV);2015;217.1;71.5;131.1;13.5;1.1
191;Drenthe (PV);2016;218.3;72.7;131.0;13.4;1.1
192;Drenthe (PV);2017;219.3;73.8;130.9;13.5;1.1
193;Drenthe (PV);2018;220.2;74.9;130.8;13.4;1.1
194;Drenthe (PV);2019;221.0;75.9;130.5;13.4;1.1
195;Drenthe (PV);2020;221.8;76.9;130.5;13.3;1.1
196;Drenthe (PV);2021;222.6;77.9;130.2;13.3;1.2
197;Drenthe (PV);2022;223.3;78.7;130.1;13.3;1.1
198;Drenthe (PV);2023;224.0;79.5;130.0;13.2;1.2
199;Drenthe (PV);2024;224.6;80.4;129.9;13.1;1.1
200;Drenthe (PV);2025;225.4;81.4;129.8;13.0;1.2
201;Drenthe (PV);2026;226.1;82.3;129.7;13.0;1.1
202;Drenthe (PV);2027;226.9;83.4;129.5;12.9;1.1
203;Drenthe (PV);2028;227.6;84.2;129.5;12.8;1.1
204;Drenthe (PV);2029;228.2;84.9;129.5;12.7;1.2
205;Drenthe (PV);2030;229.0;85.8;129.4;12.6;1.2
206;Drenthe (PV);2031;229.3;86.5;129.1;12.6;1.2
207;Drenthe (PV);2032;229.7;87.1;128.8;12.5;1.2
208;Drenthe (PV);2033;230.0;87.8;128.5;12.5;1.2
209;Drenthe (PV);2034;230.2;88.3;128.2;12.5;1.2
210;Drenthe (PV);2035;230.3;88.6;128.0;12.4;1.2
211;Drenthe (PV);2036;230.3;88.9;127.7;12.5;1.2
212;Drenthe (PV);2037;230.2;89.3;127.2;12.4;1.2
213;Drenthe (PV);2038;230.0;89.4;126.9;12.4;1.2
214;Drenthe (PV);2039;229.6;89.6;126.4;12.5;1.2
215;Drenthe (PV);2040;229.6;90.1;125.8;12.5;1.3
216;Overijssel (PV);2014;492.7;166.9;294.2;29.0;2.7
217;Overijssel (PV);2015;496.5;169.3;295.1;29.4;2.7
218;Overijssel (PV);2016;500.1;171.3;296.6;29.5;2.7
219;Overijssel (PV);2017;503.6;173.3;297.9;29.8;2.7
220;Overijssel (PV);2018;506.8;175.1;299.1;29.9;2.7
221;Overijssel (PV);2019;510.1;177.0;300.4;30.1;2.7
222;Overijssel (PV);2020;513.2;178.8;301.5;30.3;2.7
223;Overijssel (PV);2021;516.2;180.8;302.4;30.3;2.7
224;Overijssel (PV);2022;519.2;182.8;303.4;30.3;2.7
225;Overijssel (PV);2023;521.8;184.5;304.2;30.3;2.7
226;Overijssel (PV);2024;524.4;186.5;304.9;30.4;2.7
227;Overijssel (PV);2025;526.8;188.1;305.7;30.3;2.7
228;Overijssel (PV);2026;529.0;189.8;306.3;30.2;2.7
229;Overijssel (PV);2027;531.0;191.4;306.9;30.1;2.7
230;Overijssel (PV);2028;532.9;193.1;307.2;29.9;2.7
231;Overijssel (PV);2029;534.9;194.8;307.6;29.9;2.7
232;Overijssel (PV);2030;536.8;196.6;307.8;29.7;2.7
233;Overijssel (PV);2031;538.2;198.1;307.8;29.6;2.8
234;Overijssel (PV);2032;539.4;199.1;308.0;29.6;2.7
235;Overijssel (PV);2033;540.5;200.2;308.0;29.6;2.7
236;Overijssel (PV);2034;541.3;201.3;307.8;29.5;2.7
237;Overijssel (PV);2035;542.1;202.3;307.5;29.5;2.8
238;Overijssel (PV);2036;542.4;203.2;307.0;29.5;2.8
239;Overijssel (PV);2037;542.8;204.1;306.4;29.5;2.8
240;Overijssel (PV);2038;542.9;204.5;306.2;29.4;2.8
241;Overijssel (PV);2039;543.1;205.3;305.6;29.5;2.7
242;Overijssel (PV);2040;543.2;206.1;304.9;29.4;2.7
243;Flevoland (PV);2014;167.3;53.3;98.1;15.1;0.7
244;Flevoland (PV);2015;170.3;55.6;99.1;14.9;0.7
245;Flevoland (PV);2016;172.9;57.2;100.2;14.7;0.8
246;Flevoland (PV);2017;175.5;58.9;101.3;14.6;0.8
247;Flevoland (PV);2018;178.2;60.7;102.3;14.5;0.8
248;Flevoland (PV);2019;180.8;62.4;103.2;14.4;0.7
249;Flevoland (PV);2020;183.5;64.3;104.1;14.4;0.8
250;Flevoland (PV);2021;186.2;66.1;105.0;14.3;0.8
251;Flevoland (PV);2022;188.8;67.7;106.0;14.3;0.8
252;Flevoland (PV);2023;191.5;69.5;106.8;14.3;0.9
253;Flevoland (PV);2024;194.1;71.4;107.6;14.3;0.8
254;Flevoland (PV);2025;196.9;73.2;108.5;14.3;0.9
255;Flevoland (PV);2026;199.7;75.1;109.4;14.2;0.9
256;Flevoland (PV);2027;202.4;76.8;110.4;14.3;0.9
257;Flevoland (PV);2028;205.0;78.5;111.4;14.3;0.9
258;Flevoland (PV);2029;207.7;80.2;112.3;14.3;0.9
259;Flevoland (PV);2030;210.4;81.9;113.2;14.3;0.9
260;Flevoland (PV);2031;213.2;83.6;114.3;14.3;1.0
261;Flevoland (PV);2032;215.6;84.9;115.3;14.4;1.0
262;Flevoland (PV);2033;218.1;86.3;116.3;14.4;1.0
263;Flevoland (PV);2034;220.5;87.9;117.1;14.5;1.0
264;Flevoland (PV);2035;222.8;89.2;118.2;14.5;1.0
265;Flevoland (PV);2036;225.1;90.2;119.3;14.6;1.0
266;Flevoland (PV);2037;227.3;91.5;120.2;14.7;1.0
267;Flevoland (PV);2038;229.5;92.8;121.0;14.8;1.0
268;Flevoland (PV);2039;231.6;93.8;122.0;14.9;1.0
269;Flevoland (PV);2040;233.8;95.2;122.7;15.0;1.0
270;Gelderland (PV);2014;889.9;315.3;515.2;54.4;5.0
271;Gelderland (PV);2015;898.0;321.8;516.1;55.0;5.1
272;Gelderland (PV);2016;905.1;327.4;517.4;55.1;5.2
273;Gelderland (PV);2017;911.7;332.0;519.2;55.3;5.3
274;Gelderland (PV);2018;917.8;336.4;520.7;55.4;5.4
275;Gelderland (PV);2019;923.8;340.9;522.0;55.4;5.4
276;Gelderland (PV);2020;929.7;345.5;523.3;55.4;5.5
277;Gelderland (PV);2021;934.7;349.8;523.9;55.6;5.5
278;Gelderland (PV);2022;939.5;354.1;524.4;55.5;5.6
279;Gelderland (PV);2023;944.1;358.0;525.1;55.4;5.6
280;Gelderland (PV);2024;948.6;361.8;525.8;55.4;5.7
281;Gelderland (PV);2025;952.1;365.3;525.9;55.3;5.6
282;Gelderland (PV);2026;955.6;368.9;526.0;55.1;5.6
283;Gelderland (PV);2027;958.7;372.5;525.7;54.8;5.6
284;Gelderland (PV);2028;961.2;375.6;525.4;54.6;5.6
285;Gelderland (PV);2029;963.6;378.6;525.1;54.2;5.7
286;Gelderland (PV);2030;965.7;381.2;524.9;53.9;5.7
287;Gelderland (PV);2031;967.3;383.6;524.3;53.7;5.7
288;Gelderland (PV);2032;968.6;385.8;523.8;53.4;5.7
289;Gelderland (PV);2033;969.7;387.7;523.1;53.1;5.7
290;Gelderland (PV);2034;970.6;389.8;522.0;52.9;5.8
291;Gelderland (PV);2035;971.3;391.7;521.0;52.8;5.8
292;Gelderland (PV);2036;972.2;393.2;520.4;52.8;5.8
293;Gelderland (PV);2037;972.6;394.9;519.1;52.8;5.8
294;Gelderland (PV);2038;972.6;396.1;518.0;52.7;5.8
295;Gelderland (PV);2039;972.7;397.2;517.0;52.7;5.8
296;Gelderland (PV);2040;971.9;397.9;515.6;52.6;5.8
297;Utrecht (PV);2014;566.9;223.5;304.2;36.3;3.0
298;Utrecht (PV);2015;573.2;227.8;305.6;36.8;3.0
299;Utrecht (PV);2016;578.6;231.2;307.3;37.2;3.0
300;Utrecht (PV);2017;584.4;234.9;309.1;37.4;3.0
301;Utrecht (PV);2018;590.1;238.3;311.1;37.6;3.0
302;Utrecht (PV);2019;595.7;242.0;312.8;37.8;3.1
303;Utrecht (PV);2020;601.3;245.9;314.2;38.0;3.1
304;Utrecht (PV);2021;607.0;249.9;315.8;38.2;3.1
305;Utrecht (PV);2022;612.7;254.1;317.2;38.3;3.1
306;Utrecht (PV);2023;617.9;257.6;318.8;38.3;3.1
307;Utrecht (PV);2024;623.0;260.8;320.6;38.4;3.2
308;Utrecht (PV);2025;628.0;264.3;322.0;38.5;3.2
309;Utrecht (PV);2026;632.7;267.7;323.2;38.5;3.3
310;Utrecht (PV);2027;637.3;271.1;324.4;38.5;3.3
311;Utrecht (PV);2028;641.6;274.4;325.4;38.5;3.3
312;Utrecht (PV);2029;645.4;277.5;326.2;38.5;3.3
313;Utrecht (PV);2030;648.9;280.1;327.0;38.4;3.4
314;Utrecht (PV);2031;652.0;282.6;327.7;38.4;3.4
315;Utrecht (PV);2032;654.8;285.1;328.1;38.3;3.3
316;Utrecht (PV);2033;657.3;287.1;328.5;38.3;3.3
317;Utrecht (PV);2034;659.5;288.9;329.0;38.3;3.4
318;Utrecht (PV);2035;661.3;290.7;329.0;38.3;3.4
319;Utrecht (PV);2036;663.1;292.2;329.1;38.4;3.4
320;Utrecht (PV);2037;664.9;293.7;329.4;38.4;3.4
321;Utrecht (PV);2038;666.7;295.9;329.0;38.5;3.4
322;Utrecht (PV);2039;668.5;297.6;328.9;38.6;3.4
323;Utrecht (PV);2040;670.3;299.3;328.9;38.7;3.4
324;Noord-Holland (PV);2014;1297.6;545.7;641.4;103.0;7.4
325;Noord-Holland (PV);2015;1307.6;552.5;644.2;103.6;7.3
326;Noord-Holland (PV);2016;1318.2;559.2;648.2;103.6;7.3
327;Noord-Holland (PV);2017;1329.2;566.3;651.9;103.7;7.3
328;Noord-Holland (PV);2018;1340.6;573.7;655.8;103.8;7.3
329;Noord-Holland (PV);2019;1351.7;581.0;659.2;104.1;7.4
330;Noord-Holland (PV);2020;1362.5;589.0;661.9;104.3;7.4
331;Noord-Holland (PV);2021;1372.9;596.3;664.8;104.3;7.5
332;Noord-Holland (PV);2022;1383.3;603.7;667.5;104.4;7.6
333;Noord-Holland (PV);2023;1392.8;611.1;669.6;104.6;7.6
334;Noord-Holland (PV);2024;1402.4;618.5;671.6;104.6;7.7
335;Noord-Holland (PV);2025;1411.4;625.5;673.5;104.7;7.8
336;Noord-Holland (PV);2026;1420.3;633.1;674.7;104.6;7.8
337;Noord-Holland (PV);2027;1428.6;640.5;675.8;104.5;7.9
338;Noord-Holland (PV);2028;1436.8;647.6;676.8;104.6;7.9
339;Noord-Holland (PV);2029;1444.3;654.6;677.3;104.6;7.9
340;Noord-Holland (PV);2030;1451.1;661.3;677.4;104.5;7.9
341;Noord-Holland (PV);2031;1457.7;667.2;677.9;104.6;8.1
342;Noord-Holland (PV);2032;1463.8;673.2;677.9;104.6;8.1
343;Noord-Holland (PV);2033;1469.1;679.1;677.4;104.6;8.1
344;Noord-Holland (PV);2034;1474.2;684.2;677.2;104.5;8.2
345;Noord-Holland (PV);2035;1478.9;689.1;676.9;104.7;8.2
346;Noord-Holland (PV);2036;1483.2;694.1;676.1;104.8;8.2
347;Noord-Holland (PV);2037;1487.4;698.6;675.6;104.9;8.3
348;Noord-Holland (PV);2038;1491.2;702.7;675.0;105.1;8.4
349;Noord-Holland (PV);2039;1494.4;706.9;674.0;105.2;8.4
350;Noord-Holland (PV);2040;1497.5;710.1;673.5;105.4;8.4
351;Zuid-Holland (PV);2014;1641.3;639.5;862.6;129.3;9.8
352;Zuid-Holland (PV);2015;1650.1;643.3;867.7;129.3;9.7
353;Zuid-Holland (PV);2016;1659.9;647.4;873.8;129.0;9.7
354;Zuid-Holland (PV);2017;1671.0;653.0;879.5;128.7;9.7
355;Zuid-Holland (PV);2018;1682.8;660.0;884.4;128.6;9.8
356;Zuid-Holland (PV);2019;1695.0;667.8;888.9;128.5;9.8
357;Zuid-Holland (PV);2020;1706.6;675.0;893.3;128.3;10.0
358;Zuid-Holland (PV);2021;1718.1;682.7;897.3;128.1;9.9
359;Zuid-Holland (PV);2022;1729.2;690.4;900.9;127.9;10.0
360;Zuid-Holland (PV);2023;1739.7;698.0;904.2;127.6;9.9
361;Zuid-Holland (PV);2024;1750.3;705.9;907.1;127.3;10.0
362;Zuid-Holland (PV);2025;1760.5;713.9;909.6;126.9;10.1
363;Zuid-Holland (PV);2026;1770.0;721.0;912.3;126.5;10.1
364;Zuid-Holland (PV);2027;1779.3;728.4;914.4;126.2;10.3
365;Zuid-Holland (PV);2028;1787.9;736.1;915.8;125.7;10.2
366;Zuid-Holland (PV);2029;1795.9;742.8;917.3;125.4;10.3
367;Zuid-Holland (PV);2030;1803.5;749.3;918.8;125.0;10.4
368;Zuid-Holland (PV);2031;1811.0;756.6;919.3;124.8;10.4
369;Zuid-Holland (PV);2032;1817.8;763.1;919.6;124.6;10.5
370;Zuid-Holland (PV);2033;1824.2;769.4;920.2;124.2;10.4
371;Zuid-Holland (PV);2034;1830.3;775.4;920.2;124.2;10.4
372;Zuid-Holland (PV);2035;1835.9;781.3;920.1;124.0;10.5
373;Zuid-Holland (PV);2036;1841.2;786.4;920.2;124.0;10.5
374;Zuid-Holland (PV);2037;1846.5;791.4;920.5;124.1;10.6
375;Zuid-Holland (PV);2038;1851.6;796.4;920.5;124.2;10.5
376;Zuid-Holland (PV);2039;1856.6;800.7;920.9;124.5;10.5
377;Zuid-Holland (PV);2040;1861.2;804.9;921.2;124.6;10.5
378;Zeeland (PV);2014;170.9;58.2;101.2;10.5;1.0
379;Zeeland (PV);2015;171.3;58.6;101.1;10.6;1.1
380;Zeeland (PV);2016;171.8;59.0;101.0;10.6;1.1
381;Zeeland (PV);2017;172.2;59.4;101.0;10.6;1.1
382;Zeeland (PV);2018;172.7;60.1;100.8;10.7;1.1
383;Zeeland (PV);2019;173.2;60.8;100.6;10.7;1.2
384;Zeeland (PV);2020;173.7;61.4;100.5;10.7;1.2
385;Zeeland (PV);2021;174.0;61.7;100.4;10.7;1.2
386;Zeeland (PV);2022;174.4;62.4;100.1;10.7;1.2
387;Zeeland (PV);2023;174.7;62.8;100.0;10.6;1.2
388;Zeeland (PV);2024;175.0;63.4;99.8;10.6;1.3
389;Zeeland (PV);2025;175.2;63.9;99.5;10.5;1.3
