ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenFTEEindSeptember_2;WerknemersFTEOpEigenLoonlijst_3;TotaleBedrijfsopbrengsten_4;TotaleNettoOmzet_5;OmzetHoofdactiviteit_6;OmzetUitNevenactiviteiten_7;OverigeBedrijfsopbrengsten_8;TotaleBedrijfslasten_9;InkoopwaardeOmzet_10;InkoopwaardeHandelsgoederen_11;InkoopwaardeGrondEnHulpstoffen_12;Arbeidskosten_13;BrutoLonenEnSalarissen_14;OverigePersoneelskosten_15;Verkoopkosten_16;KostenVanHuisvesting_17;KostenEnergieverbruik_18;KostenMachinesEnInstallaties_19;KostenVervoermiddelen_20;Communicatiekosten_21;KostenVanDienstverleningDoorDerden_22;OverigeBedrijfslasten_23;AfschrijvingenOpVasteActiva_24;Bedrijfsresultaat_25;SaldoOverigeFinancieleResultaten_26;ResultaatVoorBelastingen_27
17;5010a Handel in en reparatie van ..;2005;1060.0;11.5;10.6;4137.0;4111.0;4032.0;79.0;26.0;3969.0;3157.0;2768.0;316.0;436.0;364.0;45.0;44.0;85.0;12.0;14.0;33.0;13.0;35.0;49.0;47.0;169.0;-26.0;143.0
18;50102 Import van nieuwe personenauto's;2000;60.0;3.1;2.9;12474.0;;;;;12206.0;8841.0;;;159.0;128.0;25.0;;24.0;3.0;;;;;;35.0;269.0;34.0;303.0
19;50102 Import van nieuwe personenauto's;2001;75.0;3.4;3.1;12841.0;12781.0;;;60.0;12570.0;9291.0;;;161.0;132.0;;355.0;;3.0;;;;55.0;;37.0;271.0;21.0;292.0
20;50102 Import van nieuwe personenauto's;2002;75.0;3.3;3.0;13242.0;13181.0;13161.0;21.0;61.0;12998.0;9571.0;9524.0;43.0;179.0;146.0;32.0;379.0;25.0;3.0;6.0;21.0;11.0;55.0;2674.0;42.0;244.0;-40.0;204.0
21;50102 Import van nieuwe personenauto's;2003;35.0;3.1;2.9;13010.0;12965.0;12941.0;24.0;45.0;12785.0;9473.0;9431.0;34.0;174.0;140.0;29.0;404.0;25.0;3.0;9.0;22.0;14.0;47.0;2557.0;28.0;225.0;46.0;271.0
22;50102 Import van nieuwe personenauto's;2004;45.0;3.0;2.8;13222.0;13145.0;13115.0;30.0;77.0;12933.0;9463.0;9407.0;34.0;174.0;135.0;27.0;406.0;27.0;2.0;10.0;20.0;13.0;46.0;2722.0;23.0;290.0;-24.0;266.0
23;50102 Import van nieuwe personenauto's;2005;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;
24;50104 Handel in en reparatie van ..;2000;13760.0;69.7;59.9;28653.0;;;;;27866.0;24350.0;;;1742.0;1435.0;102.0;;336.0;71.0;;;;;;294.0;787.0;-112.0;675.0
25;50104 Handel in en reparatie van ..;2001;13510.0;75.7;63.1;30041.0;29987.0;;;53.0;29221.0;25381.0;;;1878.0;1571.0;;290.0;;78.0;;;;169.0;;343.0;820.0;-167.0;653.0
26;50104 Handel in en reparatie van ..;2002;13400.0;72.7;59.3;29344.0;29280.0;29134.0;146.0;64.0;28435.0;24628.0;22395.0;1873.0;1863.0;1547.0;112.0;279.0;396.0;77.0;75.0;158.0;63.0;167.0;301.0;316.0;908.0;-189.0;719.0
27;50104 Handel in en reparatie van ..;2003;12305.0;71.9;59.7;28971.0;28909.0;28703.0;206.0;61.0;28182.0;24280.0;22728.0;1298.0;1953.0;1621.0;121.0;288.0;409.0;84.0;71.0;152.0;62.0;181.0;284.0;299.0;788.0;-181.0;607.0
28;50104 Handel in en reparatie van ..;2004;12625.0;72.5;60.7;29647.0;29567.0;29298.0;269.0;80.0;28936.0;24886.0;23147.0;1433.0;1963.0;1630.0;121.0;301.0;460.0;86.0;80.0;169.0;63.0;181.0;321.0;304.0;711.0;-159.0;552.0
29;50104 Handel in en reparatie van ..;2005;12695.0;69.8;57.8;28621.0;28566.0;28098.0;468.0;54.0;28002.0;23997.0;22303.0;1524.0;1958.0;1613.0;130.0;300.0;454.0;90.0;69.0;168.0;59.0;190.0;308.0;278.0;623.0;-151.0;472.0
30;502 Handel in en reparatie van auto's ..;2000;3755.0;18.2;15.3;1745.0;;;;;1541.0;684.0;;;438.0;362.0;47.0;;79.0;24.0;;;;;;66.0;204.0;-6.0;198.0
31;502 Handel in en reparatie van auto's ..;2001;3800.0;19.6;15.9;1870.0;1864.0;;;6.0;1660.0;764.0;;;468.0;388.0;;34.0;;30.0;;;;26.0;;72.0;210.0;-7.0;203.0
32;502 Handel in en reparatie van auto's ..;2002;3765.0;20.0;15.7;1877.0;1869.0;1856.0;13.0;8.0;1651.0;738.0;364.0;351.0;477.0;396.0;40.0;35.0;85.0;26.0;21.0;44.0;14.0;27.0;69.0;74.0;226.0;-19.0;207.0
33;502 Handel in en reparatie van auto's ..;2003;3515.0;20.1;16.1;1912.0;1902.0;1884.0;18.0;10.0;1737.0;750.0;376.0;347.0;519.0;429.0;42.0;38.0;99.0;32.0;22.0;36.0;14.0;35.0;71.0;78.0;174.0;-17.0;157.0
34;502 Handel in en reparatie van auto's ..;2004;3660.0;20.4;16.1;1964.0;1947.0;1925.0;22.0;16.0;1758.0;795.0;423.0;340.0;507.0;418.0;48.0;31.0;106.0;28.0;20.0;40.0;12.0;30.0;63.0;78.0;206.0;-22.0;184.0
35;502 Handel in en reparatie van auto's ..;2005;3760.0;20.7;16.3;2021.0;2008.0;1951.0;57.0;13.0;1826.0;809.0;364.0;419.0;527.0;434.0;47.0;43.0;121.0;30.0;18.0;43.0;13.0;36.0;57.0;82.0;195.0;-21.0;174.0
36;503 Handel in auto-onderdelen en ..;2000;2255.0;;;6726.0;;;;;6442.0;5527.0;;;440.0;;43.0;;76.0;14.0;;;;;;57.0;284.0;-41.0;243.0
37;503 Handel in auto-onderdelen en ..;2001;2210.0;16.6;14.3;7171.0;7146.0;;;26.0;6923.0;5895.0;;;471.0;393.0;;114.0;;15.0;;;;47.0;;65.0;248.0;-49.0;199.0
38;503 Handel in auto-onderdelen en ..;2002;2175.0;14.9;13.5;6453.0;6432.0;6315.0;117.0;22.0;6244.0;5276.0;5186.0;74.0;460.0;380.0;43.0;95.0;80.0;13.0;16.0;38.0;19.0;56.0;94.0;53.0;209.0;-29.0;180.0
39;503 Handel in auto-onderdelen en ..;2003;1950.0;14.6;12.7;6358.0;6328.0;6186.0;141.0;30.0;6128.0;5178.0;5087.0;83.0;452.0;367.0;36.0;93.0;79.0;14.0;15.0;43.0;18.0;47.0;94.0;60.0;230.0;-22.0;208.0
40;503 Handel in auto-onderdelen en ..;2004;1970.0;14.1;12.3;6225.0;6179.0;6086.0;92.0;46.0;5983.0;5042.0;5000.0;61.0;443.0;361.0;48.0;82.0;80.0;13.0;15.0;39.0;17.0;53.0;94.0;55.0;242.0;-30.0;212.0
41;503 Handel in auto-onderdelen en ..;2005;2060.0;14.2;12.7;6503.0;6467.0;6271.0;195.0;37.0;6261.0;5260.0;5169.0;92.0;448.0;368.0;42.0;89.0;101.0;15.0;15.0;53.0;21.0;61.0;93.0;63.0;244.0;-27.0;217.0
42;5030a GH auto-onderdelen, accessoires ..;2000;1855.0;13.5;11.8;6458.0;;;;;6197.0;5358.0;;;403.0;;40.0;;63.0;12.0;;;;;;51.0;262.0;-42.0;220.0
43;5030a GH auto-onderdelen, accessoires ..;2001;1810.0;14.3;12.6;6869.0;6846.0;;;25.0;6644.0;5700.0;;;434.0;362.0;;105.0;;13.0;;;;45.0;;58.0;226.0;-45.0;181.0
44;5030a GH auto-onderdelen, accessoires ..;2002;1785.0;12.9;11.9;6200.0;6179.0;6071.0;108.0;21.0;6010.0;5121.0;5034.0;75.0;423.0;347.0;42.0;87.0;66.0;11.0;14.0;36.0;17.0;55.0;89.0;48.0;190.0;-27.0;163.0
45;5030a GH auto-onderdelen, accessoires ..;2003;1585.0;12.7;11.4;6082.0;6052.0;5917.0;135.0;30.0;5874.0;5005.0;4914.0;83.0;414.0;335.0;34.0;85.0;66.0;11.0;13.0;39.0;17.0;44.0;91.0;54.0;207.0;-20.0;187.0
46;5030a GH auto-onderdelen, accessoires ..;2004;1575.0;;;;;;;;;;;;;;;;;;;;;;;;;;
47;5030a GH auto-onderdelen, accessoires ..;2005;1605.0;11.9;10.9;6183.0;6147.0;5957.0;190.0;36.0;5958.0;5055.0;4966.0;90.0;404.0;331.0;39.0;80.0;82.0;12.0;14.0;49.0;19.0;58.0;89.0;56.0;227.0;-24.0;203.0
48;50303 DH auto-onderdelen en ..;2000;405.0;;;267.0;;;;;245.0;168.0;;;36.0;31.0;2.0;;13.0;2.0;;;;;;7.0;22.0;1.0;23.0
49;50303 DH auto-onderdelen en ..;2001;400.0;2.3;1.7;302.0;300.0;;;1.0;279.0;195.0;;;37.0;31.0;;9.0;;2.0;;;;2.0;;7.0;22.0;-4.0;18.0
50;50303 DH auto-onderdelen en ..;2002;390.0;2.0;1.6;253.0;253.0;244.0;9.0;0.0;234.0;155.0;152.0;0.0;37.0;32.0;1.0;8.0;14.0;2.0;2.0;2.0;1.0;2.0;5.0;5.0;19.0;-2.0;17.0
51;50303 DH auto-onderdelen en ..;2003;370.0;1.9;1.3;276.0;276.0;269.0;6.0;1.0;254.0;173.0;173.0;0.0;37.0;32.0;2.0;9.0;12.0;2.0;1.0;3.0;2.0;2.0;3.0;7.0;22.0;-1.0;21.0
52;50303 DH auto-onderdelen en ..;2004;395.0;1.9;1.4;262.0;261.0;260.0;1.0;0.0;245.0;174.0;174.0;0.0;33.0;28.0;2.0;4.0;14.0;2.0;2.0;2.0;1.0;2.0;5.0;4.0;17.0;-2.0;15.0
53;50303 DH auto-onderdelen en ..;2005;450.0;2.3;1.8;320.0;319.0;314.0;5.0;1.0;303.0;204.0;202.0;2.0;44.0;36.0;3.0;9.0;19.0;3.0;1.0;4.0;2.0;2.0;5.0;7.0;17.0;-3.0;14.0
54;504 Handel in en reparatie van ..;2000;800.0;;;;;;;;;;;;;;;;;;;;;;;;;;
55;504 Handel in en reparatie van ..;2001;805.0;;;1284.0;1282.0;;;2.0;1222.0;1051.0;;;64.0;54.0;;24.0;;3.0;;;;6.0;;19.0;63.0;-16.0;47.0
56;504 Handel in en reparatie van ..;2002;820.0;2.9;1.9;1346.0;1344.0;1321.0;23.0;2.0;1276.0;1091.0;1078.0;8.0;65.0;54.0;9.0;20.0;15.0;3.0;4.0;6.0;3.0;9.0;30.0;20.0;70.0;-15.0;55.0
57;504 Handel in en reparatie van ..;2003;775.0;2.8;1.6;1346.0;1338.0;1289.0;50.0;7.0;1264.0;1100.0;1094.0;5.0;57.0;46.0;6.0;21.0;16.0;3.0;4.0;4.0;3.0;8.0;22.0;20.0;82.0;-11.0;71.0
58;504 Handel in en reparatie van ..;2004;845.0;2.6;1.8;1309.0;1308.0;1290.0;18.0;2.0;1272.0;1095.0;1090.0;6.0;65.0;54.0;7.0;22.0;17.0;2.0;3.0;6.0;3.0;9.0;27.0;16.0;37.0;-9.0;28.0
59;504 Handel in en reparatie van ..;2005;900.0;2.9;2.1;1316.0;1314.0;1277.0;37.0;2.0;1261.0;1070.0;1057.0;12.0;71.0;58.0;9.0;22.0;16.0;4.0;3.0;5.0;3.0;7.0;32.0;20.0;55.0;-10.0;45.0
60;505 Benzineservicestations;2000;1670.0;;;7431.0;;;;;7269.0;6709.0;;;238.0;199.0;17.0;;83.0;22.0;;;;;;42.0;163.0;-10.0;153.0
61;505 Benzineservicestations;2001;1595.0;;9.8;7530.0;7517.0;;;13.0;7422.0;6808.0;;;251.0;211.0;;56.0;;22.0;;;;26.0;;55.0;108.0;-16.0;92.0
62;505 Benzineservicestations;2002;1445.0;12.2;10.6;7492.0;7482.0;7333.0;149.0;10.0;7363.0;6698.0;6597.0;64.0;265.0;221.0;29.0;56.0;100.0;22.0;14.0;11.0;8.0;34.0;56.0;70.0;129.0;-14.0;115.0
63;505 Benzineservicestations;2003;1290.0;11.3;10.0;7920.0;7904.0;7766.0;138.0;16.0;7777.0;7115.0;7039.0;66.0;262.0;218.0;26.0;53.0;131.0;24.0;16.0;9.0;7.0;32.0;35.0;67.0;143.0;-16.0;127.0
64;505 Benzineservicestations;2004;1265.0;11.8;10.3;8286.0;8274.0;8032.0;242.0;12.0;8142.0;7468.0;7378.0;86.0;285.0;237.0;25.0;52.0;119.0;25.0;17.0;13.0;7.0;29.0;45.0;58.0;144.0;-20.0;124.0
65;505 Benzineservicestations;2005;1230.0;12.0;10.3;9075.0;9065.0;8943.0;122.0;9.0;8946.0;8262.0;8206.0;46.0;290.0;242.0;23.0;55.0;106.0;27.0;19.0;13.0;7.0;32.0;58.0;54.0;128.0;-8.0;120.0
66;H Horeca;2000;39745.0;;;13538.0;;;;;11723.0;3915.0;;;3328.0;;341.0;;1251.0;336.0;;;;;;;1814.0;-228.0;1586.0
67;H Horeca;2001;38385.0;201.8;156.9;14120.0;13959.0;;;161.0;12200.0;4116.0;;;3503.0;2867.0;;448.0;;362.0;;;;254.0;;853.0;1921.0;-147.0;1774.0
68;H Horeca;2002;37140.0;217.0;162.5;14850.0;14651.0;14068.0;583.0;199.0;13001.0;4158.0;387.0;3647.0;3732.0;3060.0;466.0;466.0;1422.0;369.0;246.0;130.0;88.0;292.0;703.0;930.0;1849.0;-226.0;1623.0
69;H Horeca;2003;37550.0;206.1;157.2;14517.0;14319.0;13790.0;529.0;197.0;13001.0;4146.0;374.0;3675.0;3865.0;3180.0;429.0;441.0;1435.0;381.0;247.0;129.0;84.0;303.0;661.0;879.0;1516.0;-160.0;1356.0
70;H Horeca;2004;36320.0;205.9;153.8;14222.0;14006.0;13513.0;493.0;216.0;12885.0;3969.0;169.0;3703.0;3815.0;3143.0;462.0;432.0;1527.0;379.0;245.0;133.0;82.0;297.0;656.0;888.0;1337.0;-180.0;1157.0
71;H Horeca;2005;36635.0;214.6;160.7;14826.0;14538.0;14093.0;445.0;289.0;13225.0;4058.0;179.0;3822.0;3881.0;3182.0;529.0;456.0;1590.0;402.0;256.0;133.0;80.0;301.0;676.0;863.0;1602.0;-165.0;1437.0
72;HA Horeca;2000;39745.0;;;13538.0;;;;;11723.0;3915.0;;;3328.0;;341.0;;1251.0;336.0;;;;;;;1814.0;-228.0;1586.0
73;HA Horeca;2001;38385.0;201.8;156.9;14120.0;13959.0;;;161.0;12200.0;4116.0;;;3503.0;2867.0;;448.0;;362.0;;;;254.0;;853.0;1921.0;-147.0;1774.0
74;HA Horeca;2002;37140.0;217.0;162.5;14850.0;14651.0;14068.0;583.0;199.0;13001.0;4158.0;387.0;3647.0;3732.0;3060.0;466.0;466.0;1422.0;369.0;246.0;130.0;88.0;292.0;703.0;930.0;1849.0;-226.0;1623.0
75;HA Horeca;2003;37550.0;206.1;157.2;14517.0;14319.0;13790.0;529.0;197.0;13001.0;4146.0;374.0;3675.0;3865.0;3180.0;429.0;441.0;1435.0;381.0;247.0;129.0;84.0;303.0;661.0;879.0;1516.0;-160.0;1356.0
76;HA Horeca;2004;36320.0;205.9;153.8;14222.0;14006.0;13513.0;493.0;216.0;12885.0;3969.0;169.0;3703.0;3815.0;3143.0;462.0;432.0;1527.0;379.0;245.0;133.0;82.0;297.0;656.0;888.0;1337.0;-180.0;1157.0
77;HA Horeca;2005;36635.0;214.6;160.7;14826.0;14538.0;14093.0;445.0;289.0;13225.0;4058.0;179.0;3822.0;3881.0;3182.0;529.0;456.0;1590.0;402.0;256.0;133.0;80.0;301.0;676.0;863.0;1602.0;-165.0;1437.0
78;55 Horeca;2000;39745.0;;;13538.0;;;;;11723.0;3915.0;;;3328.0;;341.0;;1251.0;336.0;;;;;;;1814.0;-228.0;1586.0
79;55 Horeca;2001;38385.0;201.8;156.9;14120.0;13959.0;;;161.0;12200.0;4116.0;;;3503.0;2867.0;;448.0;;362.0;;;;254.0;;853.0;1921.0;-147.0;1774.0
80;55 Horeca;2002;37140.0;217.0;162.5;14850.0;14651.0;14068.0;583.0;199.0;13001.0;4158.0;387.0;3647.0;3732.0;3060.0;466.0;466.0;1422.0;369.0;246.0;130.0;88.0;292.0;703.0;930.0;1849.0;-226.0;1623.0
81;55 Horeca;2003;37550.0;206.1;157.2;14517.0;14319.0;13790.0;529.0;197.0;13001.0;4146.0;374.0;3675.0;3865.0;3180.0;429.0;441.0;1435.0;381.0;247.0;129.0;84.0;303.0;661.0;879.0;1516.0;-160.0;1356.0
82;55 Horeca;2004;36320.0;205.9;153.8;14222.0;14006.0;13513.0;493.0;216.0;12885.0;3969.0;169.0;3703.0;3815.0;3143.0;462.0;432.0;1527.0;379.0;245.0;133.0;82.0;297.0;656.0;888.0;1337.0;-180.0;1157.0
83;55 Horeca;2005;36635.0;214.6;160.7;14826.0;14538.0;14093.0;445.0;289.0;13225.0;4058.0;179.0;3822.0;3881.0;3182.0;529.0;456.0;1590.0;402.0;256.0;133.0;80.0;301.0;676.0;863.0;1602.0;-165.0;1437.0
84;551 Hotels, pensions en ..;2000;2620.0;;;2782.0;;;;;2368.0;468.0;;;783.0;645.0;128.0;;286.0;72.0;;;;;;204.0;414.0;-87.0;327.0
85;551 Hotels, pensions en ..;2001;2480.0;35.0;31.4;2788.0;2770.0;;;18.0;2403.0;482.0;;;812.0;665.0;;110.0;;74.0;;;;61.0;;197.0;385.0;-64.0;321.0
86;551 Hotels, pensions en ..;2002;2430.0;34.6;30.3;2901.0;2887.0;2847.0;40.0;14.0;2572.0;458.0;44.0;392.0;860.0;703.0;133.0;112.0;360.0;75.0;46.0;17.0;16.0;77.0;192.0;226.0;329.0;-35.0;294.0
87;551 Hotels, pensions en ..;2003;2400.0;34.8;30.3;2807.0;2794.0;2755.0;39.0;13.0;2575.0;457.0;55.0;383.0;880.0;728.0;123.0;104.0;351.0;79.0;50.0;17.0;15.0;83.0;192.0;223.0;232.0;-60.0;172.0
88;551 Hotels, pensions en ..;2004;2400.0;35.4;30.7;2856.0;2840.0;2813.0;27.0;16.0;2610.0;436.0;8.0;416.0;890.0;737.0;125.0;104.0;388.0;84.0;51.0;18.0;15.0;80.0;210.0;210.0;247.0;-80.0;167.0
89;551 Hotels, pensions en ..;2005;2385.0;35.1;30.9;3026.0;3010.0;2984.0;26.0;16.0;2710.0;464.0;13.0;440.0;917.0;746.0;149.0;111.0;406.0;87.0;55.0;19.0;14.0;81.0;196.0;210.0;316.0;-50.0;266.0
90;552 Kampeerterreinen en overige ..;2000;2575.0;11.1;8.9;1023.0;;;;;858.0;154.0;;;215.0;175.0;25.0;;127.0;46.0;;;;;;;165.0;-48.0;117.0
91;552 Kampeerterreinen en overige ..;2001;2430.0;11.8;8.8;1121.0;1104.0;;;16.0;961.0;165.0;;;230.0;189.0;;58.0;;57.0;;;;27.0;;121.0;160.0;13.0;173.0
92;552 Kampeerterreinen en overige ..;2002;2540.0;13.3;9.6;1278.0;1245.0;895.0;350.0;33.0;1074.0;184.0;95.0;81.0;275.0;223.0;36.0;60.0;172.0;61.0;29.0;12.0;18.0;35.0;57.0;135.0;204.0;-45.0;159.0
93;552 Kampeerterreinen en overige ..;2003;2435.0;12.7;10.0;1313.0;1287.0;921.0;365.0;26.0;1165.0;266.0;97.0;159.0;287.0;237.0;36.0;64.0;173.0;60.0;27.0;12.0;18.0;31.0;59.0;132.0;148.0;-15.0;133.0
94;552 Kampeerterreinen en overige ..;2004;2440.0;11.4;8.3;1298.0;1260.0;933.0;327.0;39.0;1149.0;304.0;45.0;251.0;271.0;226.0;25.0;64.0;175.0;52.0;33.0;12.0;16.0;30.0;50.0;119.0;149.0;-1.0;148.0
95;552 Kampeerterreinen en overige ..;2005;2380.0;11.5;9.4;1290.0;1254.0;946.0;308.0;35.0;1156.0;297.0;16.0;281.0;287.0;238.0;22.0;62.0;180.0;53.0;27.0;12.0;14.0;34.0;57.0;110.0;134.0;-28.0;106.0
96;553 Restaurants, cafetaria's ..;2000;19880.0;;;5462.0;;;;;4738.0;1788.0;;;1212.0;1000.0;92.0;;540.0;142.0;;;;;;305.0;724.0;-66.0;658.0
97;553 Restaurants, cafetaria's ..;2001;19495.0;90.4;68.0;5687.0;5598.0;;;89.0;4910.0;1864.0;;;1275.0;1058.0;;178.0;;155.0;;;;97.0;;331.0;777.0;-61.0;716.0
98;553 Restaurants, cafetaria's ..;2002;18505.0;98.5;72.2;5896.0;5800.0;5676.0;124.0;96.0;5133.0;1889.0;161.0;1662.0;1337.0;1111.0;95.0;167.0;575.0;154.0;105.0;55.0;30.0;106.0;273.0;348.0;764.0;-83.0;681.0
99;553 Restaurants, cafetaria's ..;2003;19140.0;91.9;68.3;5713.0;5613.0;5543.0;69.0;100.0;5068.0;1819.0;163.0;1615.0;1394.0;1152.0;79.0;167.0;601.0;164.0;105.0;49.0;28.0;112.0;240.0;309.0;645.0;-52.0;593.0
100;553 Restaurants, cafetaria's ..;2004;18215.0;96.5;71.5;5704.0;5562.0;5474.0;88.0;142.0;5210.0;1716.0;106.0;1577.0;1438.0;1187.0;148.0;169.0;653.0;171.0;104.0;53.0;28.0;118.0;250.0;361.0;493.0;-74.0;419.0
101;553 Restaurants, cafetaria's ..;2005;18735.0;100.6;74.9;5985.0;5837.0;5739.0;98.0;148.0;5337.0;1748.0;112.0;1606.0;1454.0;1201.0;168.0;180.0;677.0;177.0;109.0;55.0;28.0;115.0;258.0;366.0;649.0;-48.0;601.0
102;55301 Restaurants;2000;9970.0;51.4;42.5;3401.0;;;;;3004.0;1087.0;;;850.0;700.0;71.0;;325.0;88.0;;;;;;187.0;396.0;-39.0;357.0
103;55301 Restaurants;2001;10075.0;57.5;45.7;3558.0;3542.0;;;16.0;3136.0;1138.0;;;914.0;757.0;;105.0;;96.0;;;;64.0;;198.0;422.0;-36.0;386.0
104;55301 Restaurants;2002;9460.0;61.6;46.2;3678.0;3667.0;3567.0;100.0;11.0;3261.0;1171.0;115.0;1013.0;935.0;776.0;75.0;91.0;349.0;97.0;70.0;30.0;20.0;66.0;152.0;204.0;418.0;-53.0;365.0
105;55301 Restaurants;2003;10085.0;57.3;44.7;3593.0;3566.0;3516.0;50.0;26.0;3232.0;1124.0;125.0;970.0;986.0;814.0;61.0;92.0;355.0;97.0;72.0;28.0;19.0;76.0;136.0;186.0;361.0;-42.0;319.0
106;55301 Restaurants;2004;9585.0;58.8;46.3;3606.0;3559.0;3484.0;75.0;48.0;3335.0;1054.0;81.0;950.0;1020.0;840.0;96.0;91.0;;95.0;67.0;27.0;18.0;78.0;137.0;232.0;271.0;-47.0;224.0
107;55301 Restaurants;2005;10060.0;63.8;50.0;3837.0;3782.0;3713.0;70.0;55.0;3462.0;1127.0;84.0;1023.0;1040.0;859.0;107.0;99.0;442.0;94.0;67.0;27.0;18.0;78.0;138.0;224.0;375.0;-15.0;360.0
108;55302 Cafetaria's, lunchrooms ..;2000;9910.0;;;2061.0;;;;;1734.0;701.0;;;361.0;300.0;21.0;;215.0;54.0;;;;;;118.0;328.0;-27.0;301.0
