ID;Sales;SBI2008;Periods;WeightFactor_1;IndexNumbers_2;MonthOnMonthDevelopment_3;YearOnYearDevelopment_4
59;Total sales;B Mining and quarrying;1985 August;0;86.5;-1.9;0.8
60;Total sales;B Mining and quarrying;1985 September;0;87.1;0.7;2.4
61;Total sales;B Mining and quarrying;1985 October;0;81.5;-6.5;-4.0
62;Total sales;B Mining and quarrying;1985 November;0;79.1;-3.0;-6.6
63;Total sales;B Mining and quarrying;1985 December;0;77.5;-2.0;-7.9
64;Total sales;B Mining and quarrying;1985;0;85.1;;-0.9
65;Total sales;B Mining and quarrying;1986 January;0;74.5;-3.8;-12.0
66;Total sales;B Mining and quarrying;1986 February;0;73.0;-2.1;-14.4
67;Total sales;B Mining and quarrying;1986 March ;0;72.0;-1.4;-15.9
68;Total sales;B Mining and quarrying;1986 April;0;67.8;-5.8;-23.6
69;Total sales;B Mining and quarrying;1986 May;0;69.2;2.0;-22.6
70;Total sales;B Mining and quarrying;1986 June;0;67.3;-2.6;-23.2
71;Total sales;B Mining and quarrying;1986 July;0;59.4;-11.9;-32.7
72;Total sales;B Mining and quarrying;1986 August;0;59.7;0.6;-31.0
73;Total sales;B Mining and quarrying;1986 September;0;54.4;-8.9;-37.6
74;Total sales;B Mining and quarrying;1986 October;0;49.5;-9.0;-39.2
75;Total sales;B Mining and quarrying;1986 November;0;47.7;-3.7;-39.7
76;Total sales;B Mining and quarrying;1986 December;0;47.0;-1.5;-39.4
77;Total sales;B Mining and quarrying;1986;0;61.8;;-27.4
78;Total sales;B Mining and quarrying;1987 January;0;40.6;-13.5;-45.5
79;Total sales;B Mining and quarrying;1987 February;0;40.2;-1.0;-44.9
80;Total sales;B Mining and quarrying;1987 March ;0;40.3;0.1;-44.0
81;Total sales;B Mining and quarrying;1987 April;0;42.8;6.3;-36.8
82;Total sales;B Mining and quarrying;1987 May;0;43.2;0.9;-37.5
83;Total sales;B Mining and quarrying;1987 June;0;45.5;5.3;-32.4
84;Total sales;B Mining and quarrying;1987 July;0;46.7;2.5;-21.4
85;Total sales;B Mining and quarrying;1987 August;0;47.2;1.2;-20.9
86;Total sales;B Mining and quarrying;1987 September;0;46.1;-2.5;-15.3
87;Total sales;B Mining and quarrying;1987 October;0;44.6;-3.1;-9.8
88;Total sales;B Mining and quarrying;1987 November;0;43.8;-1.9;-8.2
89;Total sales;B Mining and quarrying;1987 December;0;43.4;-0.8;-7.6
90;Total sales;B Mining and quarrying;1987;0;43.7;;-29.2
91;Total sales;B Mining and quarrying;1988 January;0;41.6;-4.1;2.4
92;Total sales;B Mining and quarrying;1988 February;0;41.4;-0.6;2.8
93;Total sales;B Mining and quarrying;1988 March ;0;41.5;0.3;3.0
94;Total sales;B Mining and quarrying;1988 April;0;40.9;-1.4;-4.5
95;Total sales;B Mining and quarrying;1988 May;0;41.9;2.4;-3.0
96;Total sales;B Mining and quarrying;1988 June;0;40.9;-2.3;-10.1
97;Total sales;B Mining and quarrying;1988 July;0;42.1;2.9;-9.7
98;Total sales;B Mining and quarrying;1988 August;0;42.6;1.2;-9.8
99;Total sales;B Mining and quarrying;1988 September;0;39.2;-8.1;-15.0
100;Total sales;B Mining and quarrying;1988 October;0;39.2;0.1;-12.1
101;Total sales;B Mining and quarrying;1988 November;0;38.5;-1.8;-12.0
102;Total sales;B Mining and quarrying;1988 December;0;38.5;-0.1;-11.4
103;Total sales;B Mining and quarrying;1988;0;40.7;;-6.9
104;Total sales;B Mining and quarrying;1989 January;0;38.8;0.9;-6.8
105;Total sales;B Mining and quarrying;1989 February;0;39.2;1.0;-5.3
106;Total sales;B Mining and quarrying;1989 March ;0;39.6;1.1;-4.5
107;Total sales;B Mining and quarrying;1989 April;0;40.9;3.3;0.0
108;Total sales;B Mining and quarrying;1989 May;0;42.2;3.1;0.7
109;Total sales;B Mining and quarrying;1989 June;0;44.4;5.1;8.4
110;Total sales;B Mining and quarrying;1989 July;0;45.1;1.6;7.0
111;Total sales;B Mining and quarrying;1989 August;0;44.6;-1.2;4.5
112;Total sales;B Mining and quarrying;1989 September;0;43.5;-2.3;11.1
113;Total sales;B Mining and quarrying;1989 October;0;43.1;-1.1;9.8
114;Total sales;B Mining and quarrying;1989 November;0;42.8;-0.6;11.2
115;Total sales;B Mining and quarrying;1989 December;0;42.2;-1.4;9.8
116;Total sales;B Mining and quarrying;1989;0;42.2;;3.7
117;Total sales;B Mining and quarrying;1990 January;0;45.2;7.1;16.6
118;Total sales;B Mining and quarrying;1990 February;0;45.5;0.6;16.1
119;Total sales;B Mining and quarrying;1990 March ;0;45.4;-0.3;14.6
120;Total sales;B Mining and quarrying;1990 April;0;46.0;1.3;12.3
121;Total sales;B Mining and quarrying;1990 May;0;46.2;0.5;9.5
122;Total sales;B Mining and quarrying;1990 June;0;46.9;1.5;5.7
123;Total sales;B Mining and quarrying;1990 July;0;45.0;-4.0;-0.1
124;Total sales;B Mining and quarrying;1990 August;0;45.6;1.4;2.4
125;Total sales;B Mining and quarrying;1990 September;0;44.0;-3.7;1.0
126;Total sales;B Mining and quarrying;1990 October;0;44.0;0.0;2.1
127;Total sales;B Mining and quarrying;1990 November;0;43.9;-0.3;2.4
128;Total sales;B Mining and quarrying;1990 December;0;44.1;0.5;4.4
129;Total sales;B Mining and quarrying;1990;0;45.2;;7.0
130;Total sales;B Mining and quarrying;1991 January;0;48.7;10.6;7.7
131;Total sales;B Mining and quarrying;1991 February;0;49.3;1.2;8.3
132;Total sales;B Mining and quarrying;1991 March ;0;49.9;1.1;9.9
133;Total sales;B Mining and quarrying;1991 April;0;50.7;1.8;10.4
134;Total sales;B Mining and quarrying;1991 May;0;51.3;1.1;11.0
135;Total sales;B Mining and quarrying;1991 June;0;51.5;0.4;9.8
136;Total sales;B Mining and quarrying;1991 July;0;48.9;-5.1;8.5
137;Total sales;B Mining and quarrying;1991 August;0;49.3;0.9;8.0
138;Total sales;B Mining and quarrying;1991 September;0;49.6;0.6;12.8
139;Total sales;B Mining and quarrying;1991 October;0;46.5;-6.1;5.9
140;Total sales;B Mining and quarrying;1991 November;0;45.1;-3.2;2.7
141;Total sales;B Mining and quarrying;1991 December;0;44.4;-1.4;0.8
142;Total sales;B Mining and quarrying;1991;0;48.8;;8.0
143;Total sales;B Mining and quarrying;1992 January;0;44.8;0.9;-8.0
144;Total sales;B Mining and quarrying;1992 February;0;44.9;0.2;-8.9
145;Total sales;B Mining and quarrying;1992 March ;0;44.8;-0.3;-10.2
146;Total sales;B Mining and quarrying;1992 April;0;44.7;-0.1;-11.8
147;Total sales;B Mining and quarrying;1992 May;0;45.1;0.8;-12.1
148;Total sales;B Mining and quarrying;1992 June;0;46.5;3.0;-9.8
149;Total sales;B Mining and quarrying;1992 July;0;46.4;-0.2;-5.1
150;Total sales;B Mining and quarrying;1992 August;0;46.7;0.7;-5.2
151;Total sales;B Mining and quarrying;1992 September;0;45.2;-3.1;-8.7
152;Total sales;B Mining and quarrying;1992 October;0;43.6;-3.8;-6.4
153;Total sales;B Mining and quarrying;1992 November;0;43.3;-0.5;-3.8
154;Total sales;B Mining and quarrying;1992 December;0;43.4;0.2;-2.2
155;Total sales;B Mining and quarrying;1992;0;45.0;;-7.8
156;Total sales;B Mining and quarrying;1993 January;0;41.5;-4.5;-7.5
157;Total sales;B Mining and quarrying;1993 February;0;41.6;0.3;-7.4
158;Total sales;B Mining and quarrying;1993 March ;0;42.4;1.9;-5.3
159;Total sales;B Mining and quarrying;1993 April;0;42.6;0.4;-4.9
160;Total sales;B Mining and quarrying;1993 May;0;43.7;2.6;-3.2
161;Total sales;B Mining and quarrying;1993 June;0;44.7;2.3;-3.9
162;Total sales;B Mining and quarrying;1993 July;0;45.6;2.2;-1.6
163;Total sales;B Mining and quarrying;1993 August;0;45.4;-0.6;-2.9
164;Total sales;B Mining and quarrying;1993 September;0;42.7;-5.8;-5.5
165;Total sales;B Mining and quarrying;1993 October;0;41.8;-2.3;-4.1
166;Total sales;B Mining and quarrying;1993 November;0;41.0;-1.9;-5.4
167;Total sales;B Mining and quarrying;1993 December;0;40.7;-0.7;-6.3
168;Total sales;B Mining and quarrying;1993;0;42.8;;-4.8
169;Total sales;B Mining and quarrying;1994 January;0;40.6;-0.2;-2.1
170;Total sales;B Mining and quarrying;1994 February;0;40.7;0.1;-2.2
171;Total sales;B Mining and quarrying;1994 March ;0;41.1;1.0;-3.1
172;Total sales;B Mining and quarrying;1994 April;0;41.3;0.5;-3.1
173;Total sales;B Mining and quarrying;1994 May;0;42.7;3.5;-2.2
174;Total sales;B Mining and quarrying;1994 June;0;43.8;2.7;-1.9
175;Total sales;B Mining and quarrying;1994 July;0;44.8;2.2;-1.9
176;Total sales;B Mining and quarrying;1994 August;0;44.6;-0.4;-1.6
177;Total sales;B Mining and quarrying;1994 September;0;42.5;-4.7;-0.6
178;Total sales;B Mining and quarrying;1994 October;0;41.2;-3.1;-1.4
179;Total sales;B Mining and quarrying;1994 November;0;41.8;1.5;2.0
180;Total sales;B Mining and quarrying;1994 December;0;41.3;-1.3;1.4
181;Total sales;B Mining and quarrying;1994;0;42.2;;-1.4
182;Total sales;B Mining and quarrying;1995 January;0;42.9;3.8;5.5
183;Total sales;B Mining and quarrying;1995 February;0;43.5;1.4;6.9
184;Total sales;B Mining and quarrying;1995 March ;0;43.3;-0.4;5.4
185;Total sales;B Mining and quarrying;1995 April;0;44.7;3.3;8.4
186;Total sales;B Mining and quarrying;1995 May;0;44.3;-0.8;3.9
187;Total sales;B Mining and quarrying;1995 June;0;44.3;0.0;1.1
188;Total sales;B Mining and quarrying;1995 July;0;46.4;4.7;3.6
189;Total sales;B Mining and quarrying;1995 August;0;45.5;-2.0;2.0
190;Total sales;B Mining and quarrying;1995 September;0;44.4;-2.4;4.5
191;Total sales;B Mining and quarrying;1995 October;0;41.9;-5.6;1.8
192;Total sales;B Mining and quarrying;1995 November;0;42.0;0.2;0.4
193;Total sales;B Mining and quarrying;1995 December;0;41.9;-0.3;1.5
194;Total sales;B Mining and quarrying;1995;0;43.8;;3.7
195;Total sales;B Mining and quarrying;1996 January;0;42.8;2.2;-0.2
196;Total sales;B Mining and quarrying;1996 February;0;42.8;0.0;-1.6
197;Total sales;B Mining and quarrying;1996 March ;0;43.4;1.5;0.3
198;Total sales;B Mining and quarrying;1996 April;0;45.6;5.0;1.9
199;Total sales;B Mining and quarrying;1996 May;0;45.6;0.0;2.8
200;Total sales;B Mining and quarrying;1996 June;0;46.0;1.0;3.8
201;Total sales;B Mining and quarrying;1996 July;0;47.7;3.6;2.7
202;Total sales;B Mining and quarrying;1996 August;0;48.6;1.9;6.9
203;Total sales;B Mining and quarrying;1996 September;0;48.8;0.4;9.9
204;Total sales;B Mining and quarrying;1996 October;0;48.3;-1.0;15.2
205;Total sales;B Mining and quarrying;1996 November;0;48.4;0.3;15.3
206;Total sales;B Mining and quarrying;1996 December;0;49.0;1.2;17.1
207;Total sales;B Mining and quarrying;1996;0;46.4;;6.1
208;Total sales;B Mining and quarrying;1997 January;0;51.0;3.9;19.1
209;Total sales;B Mining and quarrying;1997 February;0;51.1;0.3;19.5
210;Total sales;B Mining and quarrying;1997 March ;0;51.0;-0.3;17.4
211;Total sales;B Mining and quarrying;1997 April;0;51.8;1.6;13.6
212;Total sales;B Mining and quarrying;1997 May;0;52.1;0.6;14.3
213;Total sales;B Mining and quarrying;1997 June;0;51.7;-0.7;12.3
214;Total sales;B Mining and quarrying;1997 July;0;50.6;-2.2;6.0
215;Total sales;B Mining and quarrying;1997 August;0;50.4;-0.4;3.6
216;Total sales;B Mining and quarrying;1997 September;0;49.9;-0.9;2.4
217;Total sales;B Mining and quarrying;1997 October;0;49.9;-0.1;3.3
218;Total sales;B Mining and quarrying;1997 November;0;49.6;-0.5;2.5
219;Total sales;B Mining and quarrying;1997 December;0;49.2;-0.8;0.4
220;Total sales;B Mining and quarrying;1997;0;50.7;;9.2
221;Total sales;B Mining and quarrying;1998 January;0;50.1;1.7;-1.7
222;Total sales;B Mining and quarrying;1998 February;0;49.9;-0.4;-2.5
223;Total sales;B Mining and quarrying;1998 March ;0;49.6;-0.5;-2.7
224;Total sales;B Mining and quarrying;1998 April;0;48.2;-2.8;-6.9
225;Total sales;B Mining and quarrying;1998 May;0;48.2;-0.1;-7.5
226;Total sales;B Mining and quarrying;1998 June;0;47.2;-2.1;-8.8
227;Total sales;B Mining and quarrying;1998 July;0;44.7;-5.2;-11.5
228;Total sales;B Mining and quarrying;1998 August;0;44.1;-1.4;-12.4
229;Total sales;B Mining and quarrying;1998 September;0;43.5;-1.4;-12.9
230;Total sales;B Mining and quarrying;1998 October;0;41.8;-3.9;-16.2
231;Total sales;B Mining and quarrying;1998 November;0;41.3;-1.3;-16.9
232;Total sales;B Mining and quarrying;1998 December;0;40.7;-1.3;-17.2
233;Total sales;B Mining and quarrying;1998;0;45.8;;-9.7
234;Total sales;B Mining and quarrying;1999 January;0;39.5;-3.1;-21.2
235;Total sales;B Mining and quarrying;1999 February;0;39.6;0.4;-20.5
236;Total sales;B Mining and quarrying;1999 March ;0;39.6;-0.2;-20.3
237;Total sales;B Mining and quarrying;1999 April;0;39.9;0.8;-17.3
238;Total sales;B Mining and quarrying;1999 May;0;40.0;0.3;-17.0
239;Total sales;B Mining and quarrying;1999 June;0;40.2;0.6;-14.7
240;Total sales;B Mining and quarrying;1999 July;0;42.3;5.2;-5.3
241;Total sales;B Mining and quarrying;1999 August;0;43.0;1.6;-2.5
242;Total sales;B Mining and quarrying;1999 September;0;43.9;2.1;1.0
243;Total sales;B Mining and quarrying;1999 October;0;48.4;10.1;15.7
244;Total sales;B Mining and quarrying;1999 November;0;49.7;2.8;20.4
245;Total sales;B Mining and quarrying;1999 December;0;50.9;2.4;24.9
246;Total sales;B Mining and quarrying;1999;0;43.1;;-5.9
247;Total sales;B Mining and quarrying;2000 January;16324;55.7;9.4;41.1
248;Total sales;B Mining and quarrying;2000 February;16324;56.8;1.9;43.3
249;Total sales;B Mining and quarrying;2000 March;16324;57.8;1.7;46.1
250;Total sales;B Mining and quarrying;2000 April;16324;64.5;11.6;61.7
251;Total sales;B Mining and quarrying;2000 May;16324;67.2;4.2;68.0
252;Total sales;B Mining and quarrying;2000 June;16324;67.9;1.1;68.7
253;Total sales;B Mining and quarrying;2000 July;16324;73.0;7.5;72.4
254;Total sales;B Mining and quarrying;2000 August;16324;74.0;1.3;72.1
255;Total sales;B Mining and quarrying;2000 September;16324;74.9;1.3;70.5
256;Total sales;B Mining and quarrying;2000 October;16324;77.9;3.9;61.1
257;Total sales;B Mining and quarrying;2000 November;16324;78.3;0.6;57.5
258;Total sales;B Mining and quarrying;2000 December;16324;79.4;1.4;56.0
259;Total sales;B Mining and quarrying;2000;16324;69.0;;60.0
260;Total sales;B Mining and quarrying;2001 January;16324;83.1;4.6;49.1
261;Total sales;B Mining and quarrying;2001 February;16324;85.6;3.1;50.8
262;Total sales;B Mining and quarrying;2001 March;16324;85.7;0.0;48.3
263;Total sales;B Mining and quarrying;2001 April;16324;81.9;-4.4;27.1
264;Total sales;B Mining and quarrying;2001 May;16324;82.6;0.8;22.8
265;Total sales;B Mining and quarrying;2001 June;16324;83.4;1.0;22.8
266;Total sales;B Mining and quarrying;2001 July;16324;81.8;-1.9;12.0
267;Total sales;B Mining and quarrying;2001 August;16324;78.8;-3.6;6.6
268;Total sales;B Mining and quarrying;2001 September;16324;77.0;-2.4;2.7
269;Total sales;B Mining and quarrying;2001 October;16324;74.8;-2.9;-4.0
270;Total sales;B Mining and quarrying;2001 November;16324;73.4;-1.9;-6.3
271;Total sales;B Mining and quarrying;2001 December;16324;72.5;-1.2;-8.8
272;Total sales;B Mining and quarrying;2001;16324;80.0;;16.1
273;Total sales;B Mining and quarrying;2002 January;16324;70.4;-2.8;-15.2
274;Total sales;B Mining and quarrying;2002 February;16324;71.3;1.3;-16.7
275;Total sales;B Mining and quarrying;2002 March;16324;70.6;-1.0;-17.6
276;Total sales;B Mining and quarrying;2002 April;16324;71.0;0.6;-13.3
277;Total sales;B Mining and quarrying;2002 May;16324;70.6;-0.6;-14.5
278;Total sales;B Mining and quarrying;2002 June;16324;69.0;-2.2;-17.2
279;Total sales;B Mining and quarrying;2002 July;16324;71.9;4.2;-12.0
280;Total sales;B Mining and quarrying;2002 August;16324;71.7;-0.3;-9.0
281;Total sales;B Mining and quarrying;2002 September;16324;71.3;-0.6;-7.4
282;Total sales;B Mining and quarrying;2002 October;16324;74.4;4.4;-0.5
283;Total sales;B Mining and quarrying;2002 November;16324;75.4;1.4;2.8
284;Total sales;B Mining and quarrying;2002 December;16324;77.5;2.8;7.0
285;Total sales;B Mining and quarrying;2002;16324;72.1;;-9.9
286;Total sales;B Mining and quarrying;2003 January;16324;80.1;3.4;13.8
287;Total sales;B Mining and quarrying;2003 February;16324;80.4;0.3;12.7
288;Total sales;B Mining and quarrying;2003 March;16324;79.9;-0.6;13.2
289;Total sales;B Mining and quarrying;2003 April;16324;81.0;1.3;14.0
290;Total sales;B Mining and quarrying;2003 May;16324;82.1;1.4;16.4
291;Total sales;B Mining and quarrying;2003 June;16324;82.4;0.4;19.4
292;Total sales;B Mining and quarrying;2003 July;16324;74.2;-9.9;3.2
293;Total sales;B Mining and quarrying;2003 August;16324;73.5;-1.0;2.5
294;Total sales;B Mining and quarrying;2003 September;16324;72.3;-1.6;1.4
295;Total sales;B Mining and quarrying;2003 October;16324;72.6;0.3;-2.5
296;Total sales;B Mining and quarrying;2003 November;16324;73.2;0.8;-3.0
297;Total sales;B Mining and quarrying;2003 December;16324;75.7;3.5;-2.3
298;Total sales;B Mining and quarrying;2003;16324;77.3;;7.2
299;Total sales;B Mining and quarrying;2004 January;16324;74.2;-2.0;-7.4
300;Total sales;B Mining and quarrying;2004 February;16324;74.7;0.7;-7.1
301;Total sales;B Mining and quarrying;2004 March;16324;74.3;-0.5;-7.0
302;Total sales;B Mining and quarrying;2004 April;16324;73.1;-1.6;-9.7
303;Total sales;B Mining and quarrying;2004 May;16324;72.4;-1.0;-11.9
304;Total sales;B Mining and quarrying;2004 June;16324;72.9;0.7;-11.5
305;Total sales;B Mining and quarrying;2004 July;16324;74.2;1.8;0.0
306;Total sales;B Mining and quarrying;2004 August;16324;73.8;-0.5;0.4
307;Total sales;B Mining and quarrying;2004 September;16324;75.0;1.6;3.7
308;Total sales;B Mining and quarrying;2004 October;16324;80.8;7.7;11.4
309;Total sales;B Mining and quarrying;2004 November;16324;82.2;1.7;12.4
310;Total sales;B Mining and quarrying;2004 December;16324;82.6;0.5;9.1
311;Total sales;B Mining and quarrying;2004;16324;75.9;;-1.9
312;Total sales;B Mining and quarrying;2005 January;16324;88.4;7.0;19.1
313;Total sales;B Mining and quarrying;2005 February;16324;88.8;0.4;18.8
314;Total sales;B Mining and quarrying;2005 March;16324;89.5;0.8;20.4
315;Total sales;B Mining and quarrying;2005 April;16324;93.5;4.5;27.9
316;Total sales;B Mining and quarrying;2005 May;16324;93.1;-0.5;28.5
317;Total sales;B Mining and quarrying;2005 June;16324;95.4;2.5;30.8
318;Total sales;B Mining and quarrying;2005 July;16324;99.7;4.5;34.3
319;Total sales;B Mining and quarrying;2005 August;16324;102.7;3.0;39.1
320;Total sales;B Mining and quarrying;2005 September;16324;104.7;1.9;39.5
321;Total sales;B Mining and quarrying;2005 October;16324;112.4;7.4;39.1
322;Total sales;B Mining and quarrying;2005 November;16324;112.7;0.2;37.0
323;Total sales;B Mining and quarrying;2005 December;16324;119.3;5.9;44.4
324;Total sales;B Mining and quarrying;2005;16324;100.0;;31.8
325;Total sales;B Mining and quarrying;2006 January;16324;124.4;4.2;40.7
326;Total sales;B Mining and quarrying;2006 February;16324;124.4;0.0;40.1
327;Total sales;B Mining and quarrying;2006 March;16324;125.9;1.2;40.7
328;Total sales;B Mining and quarrying;2006 April;16324;129.7;3.1;38.8
329;Total sales;B Mining and quarrying;2006 May;16324;135.1;4.1;45.2
330;Total sales;B Mining and quarrying;2006 June;16324;134.7;-0.3;41.2
331;Total sales;B Mining and quarrying;2006 July;16324;134.0;-0.6;34.4
332;Total sales;B Mining and quarrying;2006 August;16324;133.9;-0.1;30.4
333;Total sales;B Mining and quarrying;2006 September;16324;134.9;0.7;28.9
334;Total sales;B Mining and quarrying;2006 October;16324;134.1;-0.6;19.3
335;Total sales;B Mining and quarrying;2006 November;16324;132.8;-0.9;17.9
336;Total sales;B Mining and quarrying;2006 December;16324;133.2;0.3;11.7
337;Total sales;B Mining and quarrying;2006;16324;131.4;;31.4
338;Total sales;B Mining and quarrying;2007 January;16324;134.4;0.8;8.0
339;Total sales;B Mining and quarrying;2007 February;16324;132.4;-1.5;6.4
340;Total sales;B Mining and quarrying;2007 March;16324;133.2;0.6;5.8
341;Total sales;B Mining and quarrying;2007 April;16324;132.5;-0.5;2.1
342;Total sales;B Mining and quarrying;2007 May;16324;130.6;-1.4;-3.3
343;Total sales;B Mining and quarrying;2007 June;16324;128.4;-1.6;-4.7
344;Total sales;B Mining and quarrying;2007 July;16324;134.6;4.8;0.4
345;Total sales;B Mining and quarrying;2007 August;16324;133.2;-1.0;-0.5
346;Total sales;B Mining and quarrying;2007 September;16324;131.0;-1.6;-2.8
347;Total sales;B Mining and quarrying;2007 October;16324;133.4;1.8;-0.5
348;Total sales;B Mining and quarrying;2007 November;16324;134.1;0.5;1.0
349;Total sales;B Mining and quarrying;2007 December;16324;135.4;1.0;1.6
350;Total sales;B Mining and quarrying;2007;16324;132.8;;1.0
351;Total sales;B Mining and quarrying;2008 January;16324;141.5;4.5;5.3
352;Total sales;B Mining and quarrying;2008 February;16324;145.7;2.9;10.1
353;Total sales;B Mining and quarrying;2008 March;16324;149.0;2.3;11.9
354;Total sales;B Mining and quarrying;2008 April;16324;155.8;4.5;17.6
355;Total sales;B Mining and quarrying;2008 May;16324;166.1;6.6;27.2
356;Total sales;B Mining and quarrying;2008 June;16324;175.2;5.5;36.4
357;Total sales;B Mining and quarrying;2008 July;16324;190.6;8.8;41.6
358;Total sales;B Mining and quarrying;2008 August;16324;193.7;1.6;45.4
359;Total sales;B Mining and quarrying;2008 September;16324;188.1;-2.9;43.6
360;Total sales;B Mining and quarrying;2008 October;16324;191.8;1.9;43.7
361;Total sales;B Mining and quarrying;2008 November;16324;184.5;-3.8;37.6
362;Total sales;B Mining and quarrying;2008 December;16324;183.4;-0.6;35.5
363;Total sales;B Mining and quarrying;2008;16324;172.1;;29.6
364;Total sales;B Mining and quarrying;2009 January;16324;165.4;-9.8;16.9
365;Total sales;B Mining and quarrying;2009 February;16324;160.8;-2.8;10.3
366;Total sales;B Mining and quarrying;2009 March;16324;154.0;-4.2;3.3
367;Total sales;B Mining and quarrying;2009 April;16324;131.0;-14.9;-15.9
368;Total sales;B Mining and quarrying;2009 May;16324;124.0;-5.3;-25.3
369;Total sales;B Mining and quarrying;2009 June;16324;120.2;-3.1;-31.4
370;Total sales;B Mining and quarrying;2009 July;16324;111.2;-7.6;-41.7
371;Total sales;B Mining and quarrying;2009 August;16324;108.7;-2.2;-43.9
372;Total sales;B Mining and quarrying;2009 September;16324;108.4;-0.3;-42.4
373;Total sales;B Mining and quarrying;2009 October;16324;114.1;5.3;-40.5
374;Total sales;B Mining and quarrying;2009 November;16324;117.6;3.1;-36.2
375;Total sales;B Mining and quarrying;2009 December;16324;117.0;-0.5;-36.2
376;Total sales;B Mining and quarrying;2009;16324;127.7;;-25.8
377;Total sales;B Mining and quarrying;2010 January;16324;114.7;-2.0;-30.6
