ID;TypeOfBankruptcy;SectorBranchesSIC2008;Periods;PronouncedBankruptcies_1
36;Total entities with/without legal pers.;A-U All economic activities;2011 March;620
37;Total entities with/without legal pers.;A-U All economic activities;2011 1st quarter;1735
38;Total entities with/without legal pers.;A-U All economic activities;2011 April;499
39;Total entities with/without legal pers.;A-U All economic activities;2011 May;631
40;Total entities with/without legal pers.;A-U All economic activities;2011 June;483
41;Total entities with/without legal pers.;A-U All economic activities;2011 2nd quarter;1613
42;Total entities with/without legal pers.;A-U All economic activities;2011 July;503
43;Total entities with/without legal pers.;A-U All economic activities;2011 August;578
44;Total entities with/without legal pers.;A-U All economic activities;2011 September;582
45;Total entities with/without legal pers.;A-U All economic activities;2011 3rd quarter;1663
46;Total entities with/without legal pers.;A-U All economic activities;2011 October;587
47;Total entities with/without legal pers.;A-U All economic activities;2011 November;718
48;Total entities with/without legal pers.;A-U All economic activities;2011 December;567
49;Total entities with/without legal pers.;A-U All economic activities;2011 4th quarter;1872
50;Total entities with/without legal pers.;A-U All economic activities;2011;6883
51;Total entities with/without legal pers.;A-U All economic activities;2012 January;766
52;Total entities with/without legal pers.;A-U All economic activities;2012 February;671
53;Total entities with/without legal pers.;A-U All economic activities;2012 March;667
54;Total entities with/without legal pers.;A-U All economic activities;2012 1st quarter;2104
55;Total entities with/without legal pers.;A-U All economic activities;2012 April;668
56;Total entities with/without legal pers.;A-U All economic activities;2012 May;761
57;Total entities with/without legal pers.;A-U All economic activities;2012 June;661
58;Total entities with/without legal pers.;A-U All economic activities;2012 2nd quarter;2090
59;Total entities with/without legal pers.;A-U All economic activities;2012 July;809
60;Total entities with/without legal pers.;A-U All economic activities;2012 August;577
61;Total entities with/without legal pers.;A-U All economic activities;2012 September;646
62;Total entities with/without legal pers.;A-U All economic activities;2012 3rd quarter;2032
63;Total entities with/without legal pers.;A-U All economic activities;2012 October;816
64;Total entities with/without legal pers.;A-U All economic activities;2012 November;686
65;Total entities with/without legal pers.;A-U All economic activities;2012 December;618
66;Total entities with/without legal pers.;A-U All economic activities;2012 4th quarter;2120
67;Total entities with/without legal pers.;A-U All economic activities;2012;8346
68;Total entities with/without legal pers.;A-U All economic activities;2013 January;835
69;Total entities with/without legal pers.;A-U All economic activities;2013 February;832
70;Total entities with/without legal pers.;A-U All economic activities;2013 March;813
71;Total entities with/without legal pers.;A-U All economic activities;2013 1st quarter;2480
72;Total entities with/without legal pers.;A-U All economic activities;2013 April;791
73;Total entities with/without legal pers.;A-U All economic activities;2013 May;891
74;Total entities with/without legal pers.;A-U All economic activities;2013 June;797
75;Total entities with/without legal pers.;A-U All economic activities;2013 2nd quarter;2479
76;Total entities with/without legal pers.;A-U All economic activities;2013 July;883
77;Total entities with/without legal pers.;A-U All economic activities;2013 August;682
78;Total entities with/without legal pers.;A-U All economic activities;2013 September;675
79;Total entities with/without legal pers.;A-U All economic activities;2013 3rd quarter;2240
80;Total entities with/without legal pers.;A-U All economic activities;2013 October;840
81;Total entities with/without legal pers.;A-U All economic activities;2013 November;677
82;Total entities with/without legal pers.;A-U All economic activities;2013 December;715
83;Total entities with/without legal pers.;A-U All economic activities;2013 4th quarter;2232
84;Total entities with/without legal pers.;A-U All economic activities;2013;9431
85;Total entities with/without legal pers.;A-U All economic activities;2014 January;700
86;Total entities with/without legal pers.;A-U All economic activities;2014 February;681
87;Total entities with/without legal pers.;A-U All economic activities;2014 March;596
88;Total entities with/without legal pers.;A-U All economic activities;2014 1st quarter;1977
89;Total entities with/without legal pers.;A-U All economic activities;2014 April;829
90;Total entities with/without legal pers.;A-U All economic activities;2014 May;621
91;Total entities with/without legal pers.;A-U All economic activities;2014 June;524
92;Total entities with/without legal pers.;A-U All economic activities;2014 2nd quarter;1974
93;Total entities with/without legal pers.;A-U All economic activities;2014 July;721
94;Total entities with/without legal pers.;A-U All economic activities;2014 August;537
95;Total entities with/without legal pers.;A-U All economic activities;2014 September;630
96;Total entities with/without legal pers.;A-U All economic activities;2014 3rd quarter;1888
97;Total entities with/without legal pers.;A-U All economic activities;2014 October;608
98;Total entities with/without legal pers.;A-U All economic activities;2014 November;558
99;Total entities with/without legal pers.;A-U All economic activities;2014 December;616
100;Total entities with/without legal pers.;A-U All economic activities;2014 4th quarter;1782
101;Total entities with/without legal pers.;A-U All economic activities;2014;7621
102;Total entities with/without legal pers.;A-U All economic activities;2015 January;552
103;Total entities with/without legal pers.;A-U All economic activities;2015 February;538
104;Total entities with/without legal pers.;A-U All economic activities;2015 March;712
105;Total entities with/without legal pers.;A-U All economic activities;2015 1st quarter;1802
106;Total entities with/without legal pers.;A-U All economic activities;2015 April;513
107;Total entities with/without legal pers.;A-U All economic activities;2015 May;433
108;Total entities with/without legal pers.;A-U All economic activities;2015 June;543
109;Total entities with/without legal pers.;A-U All economic activities;2015 2nd quarter;1489
110;Total entities with/without legal pers.;A-U All economic activities;2015 July;479
111;Total entities with/without legal pers.;A-U All economic activities;2015 August;363
112;Total entities with/without legal pers.;A-U All economic activities;2015 September;456
113;Total entities with/without legal pers.;A-U All economic activities;2015 3rd quarter;1298
114;Total entities with/without legal pers.;A-U All economic activities;2015 October;427
115;Total entities with/without legal pers.;A-U All economic activities;2015 November;438
116;Total entities with/without legal pers.;A-U All economic activities;2015 December;552
117;Total entities with/without legal pers.;A-U All economic activities;2015 4th quarter;1417
118;Total entities with/without legal pers.;A-U All economic activities;2015;6006
119;Total entities with/without legal pers.;A-U All economic activities;2016 January;426
120;Total entities with/without legal pers.;A-U All economic activities;2016 February;504
121;Total entities with/without legal pers.;A-U All economic activities;2016 March;515
122;Total entities with/without legal pers.;A-U All economic activities;2016 1st quarter;1445
123;Total entities with/without legal pers.;A-U All economic activities;2016 April;411
124;Total entities with/without legal pers.;A-U All economic activities;2016 May;437
125;Total entities with/without legal pers.;A-U All economic activities;2016 June;421
126;Total entities with/without legal pers.;A-U All economic activities;2016 2nd quarter;1269
127;Total entities with/without legal pers.;A-U All economic activities;2016 July;400
128;Total entities with/without legal pers.;A-U All economic activities;2016 August;372
129;Total entities with/without legal pers.;A-U All economic activities;2016 September;333
130;Total entities with/without legal pers.;A-U All economic activities;2016 3rd quarter;1105
131;Total entities with/without legal pers.;A-U All economic activities;2016 October;332
132;Total entities with/without legal pers.;A-U All economic activities;2016 November;515
133;Total entities with/without legal pers.;A-U All economic activities;2016 December;346
134;Total entities with/without legal pers.;A-U All economic activities;2016 4th quarter;1193
135;Total entities with/without legal pers.;A-U All economic activities;2016;5012
136;Total entities with/without legal pers.;A-U All economic activities;2017 January;444
137;Total entities with/without legal pers.;A-U All economic activities;2017 February;336
138;Total entities with/without legal pers.;A-U All economic activities;2017 March;340
139;Total entities with/without legal pers.;A-U All economic activities;2017 1st quarter;1120
140;Total entities with/without legal pers.;A-U All economic activities;2017 April;296
141;Total entities with/without legal pers.;A-U All economic activities;2017 May;373
142;Total entities with/without legal pers.;A-U All economic activities;2017 June;325
143;Total entities with/without legal pers.;A-U All economic activities;2017 2nd quarter;994
144;Total entities with/without legal pers.;A-U All economic activities;2017 July;289
145;Total entities with/without legal pers.;A-U All economic activities;2017 August;315
146;Total entities with/without legal pers.;A-U All economic activities;2017 September;271
147;Total entities with/without legal pers.;A-U All economic activities;2017 3rd quarter;875
148;Total entities with/without legal pers.;A-U All economic activities;2017 October;334
149;Total entities with/without legal pers.;A-U All economic activities;2017 November;292
150;Total entities with/without legal pers.;A-U All economic activities;2017 December;252
151;Total entities with/without legal pers.;A-U All economic activities;2017 4th quarter;878
152;Total entities with/without legal pers.;A-U All economic activities;2017;3867
153;Total entities with/without legal pers.;A-U All economic activities;2018 January;366
154;Total entities with/without legal pers.;A-U All economic activities;2018 February;269
155;Total entities with/without legal pers.;A-U All economic activities;2018 March;296
156;Total entities with/without legal pers.;A-U All economic activities;2018 1st quarter;931
157;Total entities with/without legal pers.;A-U All economic activities;2018 April;288
158;Total entities with/without legal pers.;A-U All economic activities;2018 May;343
159;Total entities with/without legal pers.;A-U All economic activities;2018 June;271
160;Total entities with/without legal pers.;A-U All economic activities;2018 2nd quarter;902
161;Total entities with/without legal pers.;A-U All economic activities;2018 July;319
162;Total entities with/without legal pers.;A-U All economic activities;2018 August;295
163;Total entities with/without legal pers.;A-U All economic activities;2018 September;265
164;Total entities with/without legal pers.;A-U All economic activities;2018 3rd quarter;879
165;Total entities with/without legal pers.;A-U All economic activities;2018 October;339
166;Total entities with/without legal pers.;A-U All economic activities;2018 November;298
167;Total entities with/without legal pers.;A-U All economic activities;2018 December;284
168;Total entities with/without legal pers.;A-U All economic activities;2018 4th quarter;921
169;Total entities with/without legal pers.;A-U All economic activities;2018;3633
170;Total entities with/without legal pers.;A-U All economic activities;2019 January;329
171;Total entities with/without legal pers.;A-U All economic activities;2019 February;299
172;Total entities with/without legal pers.;A-U All economic activities;2019 March;302
173;Total entities with/without legal pers.;A-U All economic activities;2019 1st quarter;930
174;Total entities with/without legal pers.;A-U All economic activities;2019 April;369
175;Total entities with/without legal pers.;A-U All economic activities;2019 May;295
176;Total entities with/without legal pers.;A-U All economic activities;2019 June;282
177;Total entities with/without legal pers.;A-U All economic activities;2019 2nd quarter;946
178;Total entities with/without legal pers.;A-U All economic activities;2019 July;360
179;Total entities with/without legal pers.;A-U All economic activities;2019 August;286
180;Total entities with/without legal pers.;A-U All economic activities;2019 September;296
181;Total entities with/without legal pers.;A-U All economic activities;2019 3rd quarter;942
182;Total entities with/without legal pers.;A-U All economic activities;2019 October;335
183;Total entities with/without legal pers.;A-U All economic activities;2019 November;317
184;Total entities with/without legal pers.;A-U All economic activities;2019 December;322
185;Total entities with/without legal pers.;A-U All economic activities;2019 4th quarter;974
186;Total entities with/without legal pers.;A-U All economic activities;2019;3792
187;Total entities with/without legal pers.;A-U All economic activities;2020 January;299
188;Total entities with/without legal pers.;A-U All economic activities;2020 February;321
189;Total entities with/without legal pers.;A-U All economic activities;2020 March;327
190;Total entities with/without legal pers.;A-U All economic activities;2020 1st quarter;947
191;Total entities with/without legal pers.;A-U All economic activities;2020 April;366
192;Total entities with/without legal pers.;A-U All economic activities;2020 May;316
193;Total entities with/without legal pers.;A-U All economic activities;2020 June;298
194;Total entities with/without legal pers.;A-U All economic activities;2020 2nd quarter;980
195;Total entities with/without legal pers.;A-U All economic activities;2020 July;223
196;Total entities with/without legal pers.;A-U All economic activities;2020 August;190
197;Total entities with/without legal pers.;A-U All economic activities;2020 September;249
198;Total entities with/without legal pers.;A-U All economic activities;2020 3rd quarter;662
199;Total entities with/without legal pers.;A-U All economic activities;2020 October;184
200;Total entities with/without legal pers.;A-U All economic activities;2020 November;203
201;Total entities with/without legal pers.;A-U All economic activities;2020 December;201
202;Total entities with/without legal pers.;A-U All economic activities;2020 4th quarter;588
203;Total entities with/without legal pers.;A-U All economic activities;2020;3177
204;Total entities with/without legal pers.;A-U All economic activities;2021 January;160
205;Total entities with/without legal pers.;A-U All economic activities;2021 February;136
206;Total entities with/without legal pers.;A-U All economic activities;2021 March;194
207;Total entities with/without legal pers.;A-U All economic activities;2021 1st quarter;490
208;Total entities with/without legal pers.;A-U All economic activities;2021 April;146
209;Total entities with/without legal pers.;A-U All economic activities;2021 May;153
210;Total entities with/without legal pers.;A-U All economic activities;2021 June;162
211;Total entities with/without legal pers.;A-U All economic activities;2021 2nd quarter;461
212;Total entities with/without legal pers.;A-U All economic activities;2021 July;120
213;Total entities with/without legal pers.;A-U All economic activities;2021 August;124
214;Total entities with/without legal pers.;A-U All economic activities;2021 September;137
215;Total entities with/without legal pers.;A-U All economic activities;2021 3rd quarter;381
216;Total entities with/without legal pers.;A-U All economic activities;2021 October;121
217;Total entities with/without legal pers.;A-U All economic activities;2021 November;208
218;Total entities with/without legal pers.;A-U All economic activities;2021 December;157
219;Total entities with/without legal pers.;A-U All economic activities;2021 4th quarter;486
220;Total entities with/without legal pers.;A-U All economic activities;2021;1818
221;Total entities with/without legal pers.;A-U All economic activities;2022 January;130
222;Total entities with/without legal pers.;A-U All economic activities;2022 February;169
223;Total entities with/without legal pers.;A-U All economic activities;2022 March;189
224;Total entities with/without legal pers.;A-U All economic activities;2022 1st quarter;488
225;Total entities with/without legal pers.;A-U All economic activities;2022 April;108
226;Total entities with/without legal pers.;A-U All economic activities;2022 May;210
227;Total entities with/without legal pers.;A-U All economic activities;2022 June;155
228;Total entities with/without legal pers.;A-U All economic activities;2022 2nd quarter;473
229;Total entities with/without legal pers.;A-U All economic activities;2022 July;140
230;Total entities with/without legal pers.;A-U All economic activities;2022 August;171
231;Total entities with/without legal pers.;A-U All economic activities;2022 September;164
232;Total entities with/without legal pers.;A-U All economic activities;2022 3rd quarter;475
233;Total entities with/without legal pers.;A-U All economic activities;2022 October;204
234;Total entities with/without legal pers.;A-U All economic activities;2022 November;258
235;Total entities with/without legal pers.;A-U All economic activities;2022 December;247
236;Total entities with/without legal pers.;A-U All economic activities;2022 4th quarter;709
237;Total entities with/without legal pers.;A-U All economic activities;2022;2145
238;Total entities with/without legal pers.;A-U All economic activities;2023 January;260
239;Total entities with/without legal pers.;A-U All economic activities;2023 February;259
240;Total entities with/without legal pers.;A-U All economic activities;2023 March;208
241;Total entities with/without legal pers.;A-U All economic activities;2023 1st quarter;728
242;Total entities with/without legal pers.;A-U All economic activities;2023 April;219
243;Total entities with/without legal pers.;A-U All economic activities;2023 May;291
244;Total entities with/without legal pers.;A-U All economic activities;2023 June;288
245;Total entities with/without legal pers.;A-U All economic activities;2023 2nd quarter;797
246;Total entities with/without legal pers.;A-U All economic activities;2023 July;242
247;Total entities with/without legal pers.;A-U All economic activities;2023 August;309
248;Total entities with/without legal pers.;A-U All economic activities;2023 September;280
249;Total entities with/without legal pers.;A-U All economic activities;2023 3rd quarter;831
250;Total entities with/without legal pers.;A-U All economic activities;2023 October;332
251;Total entities with/without legal pers.;A-U All economic activities;2023 November;287
252;Total entities with/without legal pers.;A-U All economic activities;2023 December;296
253;Total entities with/without legal pers.;A-U All economic activities;2023 4th quarter;915
254;Total entities with/without legal pers.;A-U All economic activities;2023;3272
255;Total entities with/without legal pers.;A-U All economic activities;2024 January;420
256;Total entities with/without legal pers.;A-U All economic activities;2024 February;320
257;Total entities with/without legal pers.;A-U All economic activities;2024 March;313
258;Total entities with/without legal pers.;A-U All economic activities;2024 1st quarter;1053
259;Total entities with/without legal pers.;A-U All economic activities;2024 April;403
260;Total entities with/without legal pers.;A-U All economic activities;2024 May;316
261;Total entities with/without legal pers.;A-U All economic activities;2024 June;349
262;Total entities with/without legal pers.;A-U All economic activities;2024 2nd quarter;1068
263;Total entities with/without legal pers.;A-U All economic activities;2024 July;454
264;Total entities with/without legal pers.;A-U All economic activities;2024 August;306
265;Total entities with/without legal pers.;A-U All economic activities;2024 September;343
266;Total entities with/without legal pers.;A-U All economic activities;2024 3rd quarter;1103
267;Total entities with/without legal pers.;A-U All economic activities;2024 October;371
268;Total entities with/without legal pers.;A-U All economic activities;2024 November;325
269;Total entities with/without legal pers.;A-U All economic activities;2024 December;350
270;Total entities with/without legal pers.;A-U All economic activities;2024 4th quarter;1046
271;Total entities with/without legal pers.;A-U All economic activities;2024;4270
272;Total entities with/without legal pers.;A-U All economic activities;2025 January;300
273;Total entities with/without legal pers.;A-U All economic activities;2025 February;339
274;Total entities with/without legal pers.;A-U All economic activities;2025 March;254
275;Total entities with/without legal pers.;A-U All economic activities;2025 1st quarter;893
276;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 January;7
277;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 February;4
278;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 March;4
279;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 1st quarter;15
280;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 April;1
281;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 May;12
282;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 June;11
283;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 2nd quarter;24
284;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 July;11
285;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 August;11
286;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 September;15
287;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 3rd quarter;37
288;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 October;17
289;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 November;11
290;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 December;12
291;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009 4th quarter;40
292;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2009;116
293;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 January;10
294;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 February;13
295;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 March;11
296;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 1st quarter;34
297;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 April;14
298;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 May;3
299;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 June;7
300;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 2nd quarter;24
301;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 July;4
302;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 August;9
303;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 September;10
304;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 3rd quarter;23
305;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 October;7
306;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 November;13
307;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 December;12
308;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010 4th quarter;32
309;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2010;113
310;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 January;12
311;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 February;14
312;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 March;12
313;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 1st quarter;38
314;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 April;5
315;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 May;5
316;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 June;5
317;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 2nd quarter;15
318;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 July;7
319;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 August;9
320;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 September;2
321;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 3rd quarter;18
322;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 October;5
323;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 November;20
324;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 December;14
325;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011 4th quarter;39
326;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2011;110
327;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 January;14
328;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 February;12
329;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 March;9
330;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 1st quarter;35
331;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 April;5
332;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 May;18
333;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 June;9
334;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 2nd quarter;32
335;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 July;10
336;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 August;12
337;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 September;11
338;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 3rd quarter;33
339;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 October;15
340;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 November;13
341;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 December;12
342;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012 4th quarter;40
343;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2012;140
344;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 January;9
345;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 February;12
346;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 March;11
347;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 1st quarter;32
348;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 April;24
349;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 May;10
350;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 June;8
351;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 2nd quarter;42
352;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 July;11
353;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 August;18
354;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 September;10
355;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 3rd quarter;39
356;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 October;10
357;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 November;21
358;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 December;9
359;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013 4th quarter;40
360;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2013;153
361;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 January;12
362;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 February;3
363;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 March;5
364;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 1st quarter;20
365;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 April;15
366;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 May;5
367;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 June;5
368;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 2nd quarter;25
369;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 July;11
370;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 August;4
371;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 September;11
372;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 3rd quarter;26
373;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 October;6
374;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 November;4
375;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 December;13
376;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014 4th quarter;23
377;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2014;94
378;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 January;5
379;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 February;6
380;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 March;8
381;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 1st quarter;19
382;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 April;8
383;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 May;4
384;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 June;10
385;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 2nd quarter;22
386;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 July;6
387;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 August;6
388;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 September;7
389;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 3rd quarter;19
390;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 October;3
391;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 November;3
392;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 December;8
393;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015 4th quarter;14
394;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2015;74
395;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2016 January;6
396;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2016 February;5
397;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2016 March;10
398;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2016 1st quarter;21
399;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2016 April;3
400;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2016 May;3
401;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2016 June;3
402;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2016 2nd quarter;9
403;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2016 July;2
404;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2016 August;4
405;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2016 September;3
406;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2016 3rd quarter;9
407;Total entities with/without legal pers.;A Agriculture, forestry and fishing;2016 October;2
