ID;Periods;Value_1;ShiftingAnnualAverageValue_2;Value_3;AggregatedChange_4
103;2001 February;96.5;100.7;-7.2;-4.5
104;2001 March;123.8;100.7;-0.4;-3.0
105;2001 1st quarter;109.2;100.7;-3.0;-3.0
106;2001 April;100.2;98.8;-18.4;-7.1
107;2001 May;113.3;99.6;9.0;-4.1
108;2001 June;106.2;100.3;8.9;-2.2
109;2001 2nd quarter;106.5;100.3;-1.4;-2.2
110;2001 July;100.8;101.2;12.2;-0.5
111;2001 August;81.0;101.1;-2.0;-0.6
112;2001 September;96.5;101.1;0.7;-0.5
113;2001 3rd quarter;92.8;101.1;3.7;-0.5
114;2001 October;107.3;101.9;9.0;0.4
115;2001 November;89.0;101.6;-3.7;0.1
116;2001 December;90.5;101.0;-6.7;-0.5
117;2001 4th quarter;95.6;101.0;-0.4;-0.5
118;2001;101.0;101.0;-0.5;-0.5
119;2002 January;110.4;101.3;2.9;2.9
120;2002 February;97.1;101.3;0.6;1.8
121;2002 March;108.4;100.1;-12.4;-3.6
122;2002 1st quarter;105.3;100.1;-3.6;-3.6
123;2002 April;102.4;100.2;2.2;-2.2
124;2002 May;109.4;99.9;-3.4;-2.5
125;2002 June;110.4;100.3;4.0;-1.4
126;2002 2nd quarter;107.4;100.3;0.8;-1.4
127;2002 July;101.6;100.3;0.8;-1.1
128;2002 August;77.8;100.1;-3.9;-1.4
129;2002 September;103.9;100.7;7.6;-0.4
130;2002 3rd quarter;94.4;100.7;1.8;-0.4
131;2002 October;111.2;101.0;3.6;0.0
132;2002 November;97.7;101.7;9.8;0.8
133;2002 December;98.9;102.4;9.3;1.4
134;2002 4th quarter;102.6;102.4;7.3;1.4
135;2002;102.4;102.4;1.4;1.4
136;2003 January;113.4;102.7;2.7;2.7
137;2003 February;91.3;102.2;-6.0;-1.4
138;2003 March;102.5;101.7;-5.4;-2.8
139;2003 1st quarter;102.4;101.7;-2.8;-2.8
140;2003 April;102.6;101.7;0.2;-2.0
141;2003 May;106.9;101.5;-2.3;-2.1
142;2003 June;107.6;101.3;-2.5;-2.2
143;2003 2nd quarter;105.7;101.3;-1.6;-2.2
144;2003 July;100.8;101.2;-0.8;-2.0
145;2003 August;75.3;101.0;-3.2;-2.1
146;2003 September;100.1;100.7;-3.6;-2.3
147;2003 3rd quarter;92.1;100.7;-2.5;-2.3
148;2003 October;98.1;99.6;-11.8;-3.3
149;2003 November;85.7;98.6;-12.3;-4.1
150;2003 December;115.8;100.0;17.1;-2.4
151;2003 4th quarter;99.9;100.0;-2.7;-2.4
152;2003;100.0;100.0;-2.4;-2.4
153;2004 January;95.9;98.6;-15.4;-15.4
154;2004 February;88.1;98.3;-3.4;-10.1
155;2004 March;113.3;99.2;10.5;-3.2
156;2004 1st quarter;99.1;99.2;-3.2;-3.2
157;2004 April;97.7;98.8;-4.8;-3.6
158;2004 May;93.3;97.6;-12.7;-5.5
159;2004 June;114.5;98.2;6.4;-3.4
160;2004 2nd quarter;101.8;98.2;-3.7;-3.4
161;2004 July;93.6;97.6;-7.2;-4.0
162;2004 August;75.2;97.6;-0.1;-3.6
163;2004 September;99.1;97.5;-1.0;-3.3
164;2004 3rd quarter;89.3;97.5;-3.0;-3.3
165;2004 October;102.8;97.9;4.9;-2.5
166;2004 November;91.1;98.4;6.3;-1.8
167;2004 December;127.8;99.4;10.3;-0.6
168;2004 4th quarter;107.2;99.4;7.4;-0.6
169;2004;99.4;99.4;-0.6;-0.6
170;2005 January;82.0;98.2;-14.5;-14.5
171;2005 February;90.8;98.4;3.0;-6.1
172;2005 March;111.4;98.3;-1.7;-4.4
173;2005 1st quarter;94.7;98.3;-4.4;-4.4
174;2005 April;103.0;98.7;5.5;-2.0
175;2005 May;97.8;99.1;4.8;-0.7
176;2005 June;120.6;99.6;5.3;0.5
177;2005 2nd quarter;107.1;99.6;5.2;0.5
178;2005 July;90.5;99.3;-3.4;-0.1
179;2005 August;76.1;99.4;1.2;0.1
180;2005 September;109.0;100.2;10.0;1.2
181;2005 3rd quarter;91.9;100.2;2.9;1.2
182;2005 October;99.6;100.0;-3.2;0.7
183;2005 November;89.0;99.8;-2.2;0.5
184;2005 December;130.2;100.0;1.8;0.6
185;2005 4th quarter;106.3;100.0;-0.9;0.6
186;2005;100.0;100.0;0.6;0.6
187;2006 January;94.9;101.1;15.7;15.7
188;2006 February;102.7;102.1;13.2;14.4
189;2006 March;112.8;102.2;1.3;9.3
190;2006 1st quarter;103.5;102.2;9.3;9.3
191;2006 April;102.1;102.1;-0.9;6.6
192;2006 May;115.4;103.6;18.1;8.9
193;2006 June;122.6;103.8;1.7;7.4
194;2006 2nd quarter;113.4;103.8;5.8;7.4
195;2006 July;94.1;104.1;4.0;7.0
196;2006 August;84.2;104.7;10.6;7.4
197;2006 September;110.9;104.9;1.7;6.7
198;2006 3rd quarter;96.4;104.9;4.9;6.7
199;2006 October;102.1;105.1;2.5;6.2
200;2006 November;96.2;105.7;8.1;6.4
201;2006 December;129.7;105.7;-0.3;5.7
202;2006 4th quarter;109.3;105.7;2.9;5.7
203;2006;105.7;105.7;5.7;5.7
204;2007 January;97.7;105.9;2.9;2.9
205;2007 February;102.6;105.9;-0.2;1.3
206;2007 March;124.2;106.8;10.1;4.5
207;2007 1st quarter;108.2;106.8;4.5;4.5
208;2007 April;105.2;107.1;3.0;4.1
209;2007 May;115.8;107.1;0.3;3.3
210;2007 June;128.6;107.6;4.9;3.6
211;2007 2nd quarter;116.6;107.6;2.8;3.6
212;2007 July;107.4;108.7;14.1;4.9
213;2007 August;87.3;109.0;3.7;4.8
214;2007 September;107.6;108.7;-3.0;3.9
215;2007 3rd quarter;100.8;108.7;4.5;3.9
216;2007 October;121.9;110.4;19.4;5.4
217;2007 November;103.2;110.9;7.3;5.6
218;2007 December;110.1;109.3;-15.2;3.4
219;2007 4th quarter;111.7;109.3;2.2;3.4
220;2007;109.3;109.3;3.4;3.4
221;2008 January;117.9;111.0;20.7;20.7
222;2008 February;106.3;111.3;3.7;12.0
223;2008 March;111.1;110.2;-10.6;3.3
224;2008 1st quarter;111.8;110.2;3.3;3.3
225;2008 April;103.2;110.0;-1.9;2.1
226;2008 May;107.9;109.4;-6.9;0.2
227;2008 June;115.8;108.3;-9.9;-1.8
228;2008 2nd quarter;109.0;108.3;-6.5;-1.8
229;2008 July;99.2;107.6;-7.7;-2.6
230;2008 August;78.2;106.9;-10.4;-3.4
231;2008 September;106.7;106.8;-0.8;-3.1
232;2008 3rd quarter;94.7;106.8;-6.0;-3.1
233;2008 October;92.3;104.3;-24.3;-5.4
234;2008 November;74.8;102.0;-27.6;-7.3
235;2008 December;92.3;100.5;-16.1;-8.1
236;2008 4th quarter;86.5;100.5;-22.6;-8.1
237;2008;100.5;100.5;-8.1;-8.1
238;2009 January;63.3;95.9;-46.3;-46.3
239;2009 February;80.7;93.8;-24.1;-35.8
240;2009 March;85.2;91.6;-23.3;-31.6
241;2009 1st quarter;76.4;91.6;-31.6;-31.6
242;2009 April;68.9;88.8;-33.2;-32.0
243;2009 May;68.5;85.5;-36.5;-32.9
244;2009 June;81.5;82.6;-29.7;-32.3
245;2009 2nd quarter;73.0;82.6;-33.0;-32.3
246;2009 July;71.0;80.3;-28.4;-31.8
247;2009 August;57.8;78.6;-26.1;-31.3
248;2009 September;77.7;76.2;-27.2;-30.8
249;2009 3rd quarter;68.8;76.2;-27.3;-30.8
250;2009 October;75.1;74.7;-18.7;-29.7
251;2009 November;66.9;74.1;-10.5;-28.5
252;2009 December;84.9;73.5;-8.1;-26.9
253;2009 4th quarter;75.6;73.5;-12.5;-26.9
254;2009;73.5;73.5;-26.9;-26.9
255;2010 January;67.3;73.8;6.4;6.4
256;2010 February;75.1;73.3;-7.0;-1.1
257;2010 March;104.5;74.9;22.7;7.7
258;2010 1st quarter;82.3;74.9;7.7;7.7
259;2010 April;80.2;75.9;16.3;9.7
260;2010 May;83.9;77.2;22.5;12.1
261;2010 June;98.4;78.6;20.8;13.7
262;2010 2nd quarter;87.5;78.6;19.9;13.7
263;2010 July;83.5;79.6;17.6;14.2
264;2010 August;72.6;80.8;25.7;15.4
265;2010 September;97.6;82.5;25.6;16.6
266;2010 3rd quarter;84.6;82.5;22.9;16.6
267;2010 October;94.9;84.1;26.3;17.6
268;2010 November;85.0;85.7;27.1;18.4
269;2010 December;109.1;87.7;28.5;20.4
270;2010 4th quarter;96.3;87.7;27.3;23.4
271;2010;87.7;87.7;19.4;19.4
272;2011 January;87.0;89.3;29.3;29.3
273;2011 February;103.1;91.7;37.4;33.5
274;2011 March;115.3;92.6;10.3;23.7
275;2011 1st quarter;101.8;92.6;23.7;23.7
276;2011 April;100.1;94.2;24.9;24.0
277;2011 May;102.4;95.8;22.0;23.6
278;2011 June;102.1;96.1;3.7;19.8
279;2011 2nd quarter;101.5;96.1;16.0;19.8
280;2011 July;92.4;96.8;10.7;18.5
281;2011 August;78.2;97.3;7.6;17.3
282;2011 September;103.5;97.8;6.0;15.9
283;2011 3rd quarter;90.7;97.6;7.3;15.6
284;2011 October;97.7;98.0;3.0;14.4
285;2011 November;93.3;98.7;9.7;14.0
286;2011 December;113.1;99.0;3.8;12.9
287;2011 4th quarter;101.4;98.9;5.2;12.7
288;2011;99.0;99.0;12.9;12.9
289;2012 January;95.0;99.7;9.1;11.6
290;2012 February;97.9;99.2;-5.1;8.3
291;2012 March;113.9;99.1;-1.2;7.1
292;2012 1st quarter;101.9;98.9;0.0;6.8
293;2012 April;114.4;100.3;14.3;6.5
294;2012 May;125.3;102.2;22.3;6.7
295;2012 June;140.2;105.4;37.3;9.7
296;2012 2nd quarter;126.6;105.1;24.7;9.4
297;2012 July;73.7;103.8;-20.2;7.3
298;2012 August;65.8;102.8;-15.9;5.7
299;2012 September;88.3;101.5;-13.0;3.9
300;2012 3rd quarter;75.9;101.4;-16.3;3.9
301;2012 October;93.6;101.2;-4.2;3.3
302;2012 November;85.4;100.5;-8.5;1.9
303;2012 December;99.0;99.4;-12.0;0.4
304;2012 4th quarter;92.7;99.3;-8.6;0.4
305;2012;99.4;99.4;0.4;0.4
