ID;Periods;MainRefinancingRateECB_1;MarginalLendingRateECB_2;DepositRateECB_3;LevyAndCollectionRate_4;AdvanceRateAgainstSecurities_5;FixedAdvanceRateDutchCentralBank_6;StatutoryInterestRate_7;RateOnStudentLoans_8;OneMonthAiborEuribor_9;ThreeMonthsAiborEuribor_10;SixMonthsAiborEuribor_11;TwelveMonthsAiborEuribor_12;ThreeMonthsLoans_13;ThreeMonthsEuroDollarDeposits_14;CallMoneyInterest_15
41;1960 March;;;;;;;;;;;;;2.93;;1.8
42;1960 April;;;;;;;;;;;;;2.57;;2.17
43;1960 May;;;;;;;;;;;;;2.69;;1.56
44;1960 June;;;;;;;;;;;;;2.97;;2.18
45;1960 July;;;;;;;;;;;;;2.7;;1.75
46;1960 August;;;;;;;;;;;;;2.42;;1.56
47;1960 September;;;;;;;;;;;;;2.32;;1.5
48;1960 October;;;;;;;;;;;;;2.36;;1.84
49;1960 November;;;;;;;;;;;;;2.03;;1.13
50;1960 December;;;;;;;;;;;;;2.06;;1.13
51;1960;;;;;;;;;;;;;2.58;;1.68
52;1961 January;;;;;;;;;;;;;2.04;;1.0
53;1961 February;;;;;;;;;;;;;1.88;;0.75
54;1961 March;;;;;;;;;;;;;1.74;;0.75
55;1961 April;;;;;;;;;;;;;1.41;;0.76
56;1961 May;;;;;;;;;;;;;1.36;;0.75
57;1961 June;;;;;;;;;;;;;1.42;;0.75
58;1961 July;;;;;;;;;;;;;1.38;;0.75
59;1961 August;;;;;;;;;;;;;1.38;;0.75
60;1961 September;;;;;;;;;;;;;1.5;;1.04
61;1961 October;;;;;;;;;;;;;1.86;;2.13
62;1961 November;;;;;;;;;;;;;2.41;;1.43
63;1961 December;;;;;;;;;;;;;2.21;;1.32
64;1961;;;;;;;;;;;;;1.72;;1.02
65;1962 January;;;;;;;;;;;;;2.11;;1.76
66;1962 February;;;;;;;;;;;;;1.73;;0.87
67;1962 March;;;;;;;;;;;;;2.47;;2.59
68;1962 April;;;;;;;;;;;;;2.75;;2.86
69;1962 May;;;;;;;;;;;;;2.85;;2.6
70;1962 June;;;;;;;;;;;;;2.84;;1.77
71;1962 July;;;;;;;;;;;;;2.84;;1.81
72;1962 August;;;;;;;;;;;;;1.95;;1.03
73;1962 September;;;;;;;;;;;;;2.2;;1.14
74;1962 October;;;;;;;;;;;;;2.69;;1.99
75;1962 November;;;;;;;;;;;;;2.56;;1.47
76;1962 December;;;;;;;;;;;;;3.14;;1.88
77;1962;;;;;;;;;;;;;2.51;;1.81
78;1963 January;;;;;;;;;;;;;3.02;;2.6
79;1963 February;;;;;;;;;;;;;2.55;;1.0
80;1963 March;;;;;;;;;;;;;2.52;;1.79
81;1963 April;;;;;;;;;;;;;2.63;;1.67
82;1963 May;;;;;;;;;;;;;2.63;;1.58
83;1963 June;;;;;;;;;;;;;2.68;;1.14
84;1963 July;;;;;;;;;;;;;2.66;;2.09
85;1963 August;;;;;;;;;;;;;2.64;;1.06
86;1963 September;;;;;;;;;;;;;2.76;;1.29
87;1963 October;;;;;;;;;;;;;2.86;;1.11
88;1963 November;;;;;;;;;;;;;3.23;;1.13
89;1963 December;;;;;;;;;;;;;3.65;;1.61
90;1963;;;;;;;;;;;;;2.82;;1.51
91;1964 January;;;;;;;;;;;;;3.31;;1.67
92;1964 February;;;;;;;;;;;;;3.1;;1.92
93;1964 March;;;;;;;;;;;;;3.52;;2.55
94;1964 April;;;;;;;;;;;;;3.63;;2.48
95;1964 May;;;;;;;;;;;;;4.34;;2.98
96;1964 June;;;;;;;;;;;;;4.56;;2.06
97;1964 July;;;;;;;;;;;;;5.01;;3.72
98;1964 August;;;;;;;;;;;;;4.67;;2.06
99;1964 September;;;;;;;;;;;;;4.61;;2.09
100;1964 October;;;;;;;;;;;;;5.21;;3.14
101;1964 November;;;;;;;;;;;;;5.3;;2.88
102;1964 December;;;;;;;;;;;;;4.99;;2.09
103;1964;;;;;;;;;;;;;4.35;;2.47
104;1965 January;;;;;;;;;;;;;4.08;;2.43
105;1965 February;;;;;;;;;;;;;4.22;;3.69
106;1965 March;;;;;;;;;;;;;4.09;;3.05
107;1965 April;;;;;;;;;;;;;4.28;;3.39
108;1965 May;;;;;;;;;;;;;5.27;;3.67
109;1965 June;;;;;;;;;;;;;5.04;;2.69
110;1965 July;;;;;;;;;;;;;5.1;;3.53
111;1965 August;;;;;;;;;;;;;4.62;;2.68
112;1965 September;;;;;;;;;;;;;4.52;;2.66
113;1965 October;;;;;;;;;;;;;4.99;;3.13
114;1965 November;;;;;;;;;;;;;5.24;;3.91
115;1965 December;;;;;;;;;;;;;5.34;;3.47
116;1965;;;;;;;;;;;;;4.73;;3.19
117;1966 January;;;;;;;;;;;;;5.06;;3.72
118;1966 February;;;;;;;;;;;;;5.03;;4.25
119;1966 March;;;;;;;;;;;;;5.46;;4.05
120;1966 April;;;;;;;;;;;;;5.82;;4.33
121;1966 May;;;;;;;;;;;;;6.76;;4.9
122;1966 June;;;;;;;;;;;;;7.14;;4.87
123;1966 July;;;;;;;;;;;;;7.46;;5.11
124;1966 August;;;;;;;;;;;;;6.97;;4.65
125;1966 September;;;;;;;;;;;;;6.58;;3.89
126;1966 October;;;;;;;;;;;;;6.87;;4.7
127;1966 November;;;;;;;;;;;;;7.2;;5.22
128;1966 December;;;;;;;;;;;;;6.75;;3.68
129;1966;;;;;;;;;;;;;6.44;;4.45
130;1967 January;;;;;;;;;;;;;6.16;;4.31
131;1967 February;;;;;;;;;;;;;5.75;;5.04
132;1967 March;;;;;;;;;;;;;5.48;;4.57
133;1967 April;;;;;;;;;;;;;5.5;;4.25
134;1967 May;;;;;;;;;;;;;5.74;;4.36
135;1967 June;;;;;;;;;;;;;5.94;;4.38
136;1967 July;;;;;;;;;;;;;6.07;;4.38
137;1967 August;;;;;;;;;;;;;5.59;;3.83
138;1967 September;;;;;;;;;;;;;5.3;;3.69
139;1967 October;;;;;;;;;;;;;5.64;;4.6
140;1967 November;;;;;;;;;;;;;5.41;;3.23
141;1967 December;;;;;;;;;;;;;5.48;;4.05
142;1967;;;;;;;;;;;;;5.67;;4.22
143;1968 January;;;;;;;;;;;;;5.11;;3.12
144;1968 February;;;;;;;;;;;;;4.76;;3.65
145;1968 March;;;;;;;;;;;;;4.65;;3.1
146;1968 April;;;;;;;;;;;;;4.59;;3.49
147;1968 May;;;;;;;;;;;;;4.96;;4.53
148;1968 June;;;;;;;;;;;;;5.64;;4.69
149;1968 July;;;;;;;;;;;;;5.64;;4.42
150;1968 August;;;;;;;;;;;;;5.07;;3.81
151;1968 September;;;;;;;;;;;;;4.89;;3.74
152;1968 October;;;;;;;;;;;;;5.15;;4.19
153;1968 November;;;;;;;;;;;;;5.57;;4.86
154;1968 December;;;;;;;;;;;;;6.26;;4.96
155;1968;;;;;;;;;;;;;5.19;;4.05
156;1969 January;;;;;;;;;;;;;5.91;;
157;1969 February;;;;;;;;;;;;;6.24;;
158;1969 March;;;;;;;;;;;;;6.83;;
159;1969 April;;;;;;;;;;;;;7.14;;
160;1969 May;;;;;;;;;;;;;7.23;;
161;1969 June;;;;;;;;;;;;;7.61;;
162;1969 July;;;;;;;;;;;;;8.51;;
163;1969 August;;;;;;;;;;;;;9.0;;
164;1969 September;;;;;;;;;;;;;9.41;;
165;1969 October;;;;;;;;;;;;;7.96;;
166;1969 November;;;;;;;;;;;;;8.19;;
167;1969 December;;;;;;;;;;;;;9.03;;
168;1969;;;;;;;;;;;;;7.76;;
169;1970 January;;;;;;;;;;;;;8.39;;
170;1970 February;;;;;;;;;;;;;8.44;;
171;1970 March;;;;;;;;;;;;;8.69;;
172;1970 April;;;;;;;;;;;;;8.01;;
173;1970 May;;;;;;;;;;;;;8.34;;
174;1970 June;;;;;;;;;;;;;8.38;;
175;1970 July;;;;;;;;;;;;;8.07;;7.16
176;1970 August;;;;;;;;;;;;;7.34;;6.05
177;1970 September;;;;;;;;;;;;;7.69;;6.18
178;1970 October;;;;;;;;;;;;;8.0;;6.99
179;1970 November;;;;;;;;;;;;;6.98;;4.35
180;1970 December;;;;;;;;;;;;;7.13;;6.93
181;1970;;;;;;;;;;;;;7.96;;6.28
182;1971 January;;;;;;;;;;;;;6.72;;4.2
183;1971 February;;;;;;;;;;;;;5.78;;5.32
184;1971 March;;;;;;;;;;;;;5.01;;2.6
185;1971 April;;;;;;;;;;;;;4.23;;0.42
186;1971 May;;;;;;;;;;;;;4.43;;1.49
187;1971 June;;;;;;;;;;;;;5.14;;2.11
188;1971 July;;;;;;;;;;;;;4.89;;1.95
189;1971 August;;;;;;;;;;;;;4.94;;5.46
190;1971 September;;;;;;;;;;;;;5.24;;3.48
191;1971 October;;;;;;;;;;;;;5.63;;5.46
192;1971 November;;;;;;;;;;;;;5.52;;3.36
193;1971 December;;;;;;;;;;;;;5.58;;5.05
194;1971;;;;;;;;;;;;;5.26;;3.41
195;1972 January;;;;;;;;;;;;;4.94;;4.34
196;1972 February;;;;;;;;;;;;;4.33;;3.37
197;1972 March;;;;;;;;;;;;;2.83;;0.82
198;1972 April;;;;;;;;;;;;;2.26;;0.46
199;1972 May;;;;;;;;;;;;;2.52;;2.87
200;1972 June;;;;;;;;;;;;;2.56;;1.18
201;1972 July;;;;;;;;;;;;;1.52;;0.36
202;1972 August;;;;;;;;;;;;;0.89;;0.14
203;1972 September;;;;;;;;;;;;;1.63;;0.29
204;1972 October;;;;;;;;;;;;;2.89;;2.8
205;1972 November;;;;;;;;;;;;;4.56;;3.38
206;1972 December;;;;;;;;;;;;;4.63;;3.11
207;1972;;;;;;;;;;;;;2.96;;1.93
208;1973 January;;;;;;;;;;;;;4.53;;2.76
209;1973 February;;;;;;;;;;;;;3.63;;1.36
210;1973 March;;;;;;;;;;;;;2.47;;0.32
211;1973 April;;;;;;;;;;;;;2.11;;0.59
212;1973 May;;;;;;;;;;;;;4.32;;3.74
213;1973 June;;;;;;;;;;;;;4.85;;4.46
214;1973 July;;;;;;;;;;;;;7.62;;8.47
215;1973 August;;;;;;;;;;;;;9.14;;9.03
216;1973 September;;;;;;;;;;;;;10.52;;9.63
217;1973 October;;;;;;;;;;;;;10.6;;11.36
218;1973 November;;;;;;;;;;;;;9.41;;9.39
219;1973 December;;;;;;;;;;;;;13.43;;16.13
220;1973;;;;;;;;;;;;;6.89;;6.44
221;1974 January;;;;;;;;;;;;;12.43;;11.82
222;1974 February;;;;;;;;;;;;;10.66;;10.86
223;1974 March;;;;;;;;;;;;;9.3;;9.07
224;1974 April;;;;;;;;;;;;;9.97;;9.86
225;1974 May;;;;;;;;;;;;;10.57;;9.87
226;1974 June;;;;;;;;;;;;;10.44;;9.7
227;1974 July;;;;;;;;;;;;;11.76;;10.06
228;1974 August;;;;;;;;;;;;;11.54;;8.3
229;1974 September;;;;;;;;;;;;;10.94;;6.04
230;1974 October;;;;;;;;;;;;;9.97;;8.93
231;1974 November;;;;;;;;;;;;;8.33;;7.74
232;1974 December;;;;;;;;;;;;;8.23;;8.2
233;1974;;;;;;;;;;;;;10.35;;9.2
234;1975 January;;;;;;;;;;;;;8.03;;6.97
235;1975 February;;;;;;;;;;;;;7.87;;8.25
236;1975 March;;;;;;;;;;;;;7.27;;6.28
237;1975 April;;;;;;;;;;;;;5.93;;4.05
238;1975 May;;;;;;;;;;;;;4.22;;2.19
239;1975 June;;;;;;;;;;;;;3.36;;2.21
240;1975 July;;;;;;;;;;;;;3.69;;1.9
241;1975 August;;;;;;;;;;;;;3.63;;2.3
242;1975 September;;;;;;;;;;;;;3.48;;1.37
243;1975 October;;;;;;;;;;;;;4.93;;5.15
244;1975 November;;;;;;;;;;;;;5.28;;4.52
245;1975 December;;;;;;;;;;;;;5.5;;4.82
246;1975;;;;;;;;;;;;;5.27;;4.17
247;1976 January;;;;;;;;;;;;;5.15;;3.92
248;1976 February;;;;;;;;;;;;;3.43;;3.3
249;1976 March;;;;;;;;;;;;;2.99;;2.03
250;1976 April;;;;;;;;;;;;;3.27;;2.98
251;1976 May;;;;;;;;;;;;;3.87;;4.39
252;1976 June;;;;;;;;;;;;;6.2;;5.62
253;1976 July;;;;;;;;;;;;;8.44;;7.45
254;1976 August;;;;;;;;;;;;;12.11;;17.16
255;1976 September;;;;;;;;;;;;;12.22;;13.89
256;1976 October;;;;;;;;;;;;;10.4;;11.08
257;1976 November;;;;;;;;;;;;;8.21;;8.66
258;1976 December;;;;;;;;;;;;;6.32;;6.89
259;1976;;;;;;;;;;;;;6.88;;7.28
260;1977 January;;;;;;;;;6.27;6.24;;;5.9;;6.23
261;1977 February;;;;;;;;;6.15;6.12;;;5.98;;6.09
262;1977 March;;;;;;;;;6.06;5.84;;;5.58;;6.18
263;1977 April;;;;;;;;;4.87;4.98;;;4.92;;4.01
264;1977 May;;;;;;;;;2.3;3.13;;;2.99;;1.23
265;1977 June;;;;;;;;;1.97;2.96;;;2.54;;0.75
266;1977 July;;;;;;;;;2.04;3.17;;;3.04;;0.88
267;1977 August;;;;;;;;;2.76;3.6;;;3.4;;2.69
268;1977 September;;;;;;;;;4.19;4.5;;;4.04;;3.02
269;1977 October;;;;;;;;;4.49;4.75;;;4.3;;4.29
270;1977 November;;;;;;;;;5.52;6.1;;;5.59;;4.82
271;1977 December;;;;;;;;;6.49;6.76;;;6.5;;5.34
272;1977;;;;;;;;;4.43;4.85;;;4.57;;3.79
273;1978 January;;;;;8.0;;;;5.12;5.08;;;4.89;;5.11
274;1978 February;;;;;8.0;;;;5.49;5.37;;;5.17;;5.45
275;1978 March;;;;;8.0;;;;5.42;5.44;;;5.4;;5.33
276;1978 April;;;;;7.5;;;;4.72;4.7;;;4.68;;4.56
277;1978 May;;;;;7.5;;;;4.52;4.5;;;4.49;;4.56
278;1978 June;;;;;7.5;;;;4.53;4.68;;;4.61;;3.99
279;1978 July;;;;;8.5;;;;4.98;5.74;;;5.51;;4.1
280;1978 August;;;;;8.5;;;;5.52;6.4;;;6.36;;3.47
281;1978 September;;;;;9.5;;;;6.36;7.03;;;6.91;;5.59
282;1978 October;;;;;12.5;;;;13.52;11.55;;;11.18;;13.56
283;1978 November;;;;;11.5;;;;8.98;9.01;;;8.93;;8.76
284;1978 December;;;;;13.0;;;;10.54;10.37;;;10.38;;10.29
285;1978;;;;;13.0;;;;6.64;6.66;;;6.54;;6.24
286;1979 January;;;;;11.0;;;;8.85;8.78;;;8.78;;8.64
287;1979 February;;;;;11.0;;;;7.6;7.51;;;7.47;;7.73
288;1979 March;;;;;10.5;;;;7.45;7.42;;;7.46;;7.14
289;1979 April;;;;;10.5;;;;7.23;7.3;;;7.27;;7.09
290;1979 May;;;;;11.0;;;;7.76;7.93;;;7.82;;7.1
291;1979 June;;;;;11.0;;;;8.29;8.69;;;8.73;;7.57
292;1979 July;;;;;12.0;;;;9.23;9.6;;;9.62;;8.63
293;1979 August;;;;;12.0;;;;9.19;9.61;;;9.63;;8.73
294;1979 September;;;;;12.0;;;;9.63;9.9;;;9.95;;9.39
295;1979 October;;;;;12.5;;;;9.82;10.21;;;10.2;;9.28
296;1979 November;;;;;15.5;;;;11.48;11.94;;;11.86;;11.18
297;1979 December;;;;;16.5;;;;15.7;14.72;;;14.8;;15.9
298;1979;;;;;16.5;;;;9.35;9.47;;;9.47;;9.03
299;1980 January;;;;;14.5;;;;11.9;11.96;;;11.94;;11.18
300;1980 February;;;;;14.5;;;;11.69;12.07;;;12.07;;10.99
301;1980 March;;;;;14.5;;;;10.83;11.58;;;11.63;;9.5
302;1980 April;;;;;13.5;;;;10.63;10.84;;;10.88;;10.47
303;1980 May;;;;;14.0;;;;11.2;11.23;;;11.23;;11.14
304;1980 June;;;;;13.5;;;;10.85;10.76;;;10.82;;10.97
305;1980 July;;;;;13.0;;;;10.22;10.14;;;10.19;;10.31
306;1980 August;;;;;13.0;;;;10.08;10.05;;;10.04;;10.09
307;1980 September;;;;;12.5;;;;10.33;10.42;;;10.45;;9.86
308;1980 October;;;;;12.0;;;;9.46;9.72;;;9.76;;9.34
309;1980 November;;;;;12.0;;;;9.34;9.67;;;9.65;;9.05
310;1980 December;;;;;12.0;;;;9.39;9.79;;;9.77;;8.6
311;1980;;;;;12.0;;;;10.49;10.69;;;10.7;;10.13
312;1981 January;;;;;12.0;;;;9.17;9.43;;;9.43;;8.97
313;1981 February;;;;;12.0;;;;9.5;9.87;;;9.87;;9.08
314;1981 March;;;;;13.0;;;;10.56;10.71;;;10.81;;9.9
315;1981 April;;;;;13.0;;;;10.2;10.48;;;10.49;;9.61
316;1981 May;;;;;14.5;;;;11.49;11.87;;;11.88;;10.68
317;1981 June;;;;;14.5;;;;11.93;11.9;;;11.99;;11.57
318;1981 July;;;;;15.5;;;;12.43;12.49;;;12.47;;12.33
319;1981 August;;;;;16.0;;;;13.61;13.63;;;13.66;;12.67
320;1981 September;;;;;15.0;;;;12.95;13.05;;;13.06;;11.91
321;1981 October;;;;;15.5;;;;12.74;12.69;;;12.67;;12.76
322;1981 November;;;;;14.5;;;;11.88;11.81;;;11.79;;11.89
323;1981 December;;;;;14.0;;;;11.13;11.12;;;11.1;;10.77
324;1981;;;;;14.0;;;;11.47;11.59;;;11.6;;11.01
325;1982 January;;;;;13.0;;;;10.48;10.56;;;10.56;;10.18
326;1982 February;;;;;13.0;;;;10.07;10.13;;;10.1;;9.98
327;1982 March;;;;;12.0;;;;8.79;8.96;;;8.97;;7.76
328;1982 April;;;;;12.0;;;;8.28;8.28;;;8.27;;8.43
329;1982 May;;;;;11.5;;;;8.8;8.71;;;8.74;;8.87
330;1982 June;;;;;11.5;;;;8.75;8.87;;;8.84;;8.14
331;1982 July;;;;;11.5;;;;8.89;9.03;;;8.99;;8.78
332;1982 August;;;;;10.5;;;;8.66;8.69;;;8.68;;8.51
333;1982 September;;;;;10.5;;;;7.77;7.92;;;7.87;;7.37
334;1982 October;;;;;9.5;;;;7.17;7.17;;;7.2;;7.24
335;1982 November;;;;;9.0;;;;6.38;6.44;;;6.38;;6.29
336;1982 December;;;;;8.5;;;;5.74;5.73;;;5.73;;5.19
337;1982;;;;;8.5;;;;8.32;8.37;;;8.36;;8.06
338;1983 January;;;;;8.0;;;;5.12;5.04;;;5.08;;5.14
339;1983 February;;;;;8.0;;;;4.9;4.88;;;4.91;;4.89
340;1983 March;;;;;7.0;;;;4.28;4.4;;;4.34;;4.44
341;1983 April;;;;;7.5;;;;5.15;5.26;;;5.2;;5.18
342;1983 May;;;;;8.5;;;;5.62;5.72;;;5.72;;5.21
343;1983 June;;;;;8.0;;;;5.59;5.91;;;5.93;;4.94
344;1983 July;;;;;8.0;;;;5.45;5.65;;;5.67;;5.28
345;1983 August;;;;;8.5;;;;5.84;6.1;;;6.1;;5.56
346;1983 September;;;;;8.5;;;;5.9;6.21;;;6.16;;5.67
347;1983 October;;;;;9.0;;;;5.88;6.13;;;6.03;;5.75
348;1983 November;;;;;8.5;;;;5.91;6.23;;;6.1;;5.6
349;1983 December;;;;;9.0;;;;6.13;6.26;;;6.18;;5.75
350;1983;;;;;9.0;;;;5.48;5.65;;;5.62;;5.28
351;1984 January;;;;;8.5;;;;5.89;6.06;;;5.96;;5.71
352;1984 February;;;;;8.5;;;;5.92;6.0;;;5.98;;5.8
353;1984 March;;;;;8.5;;;;6.1;6.13;;;6.11;;6.06
354;1984 April;;;;;8.5;;;;5.96;6.09;;;6.05;;5.78
355;1984 May;;;;;8.5;;;;5.87;6.09;;;6.04;;5.61
356;1984 June;;;;;8.5;;;;5.93;6.13;;;6.12;;5.72
357;1984 July;;;;;9.0;;;;6.14;6.44;;;6.38;;5.97
358;1984 August;;;;;9.0;;;;6.08;6.32;;;6.29;;5.81
359;1984 September;;;;;9.0;;;;6.06;6.28;;;6.27;;5.83
360;1984 October;;;;;8.5;;;;6.0;6.24;;;6.2;;5.9
361;1984 November;;;;;8.5;;;;5.69;5.93;;;5.92;;5.57
362;1984 December;;;;;8.5;;;;5.7;5.82;;;5.8;;5.63
363;1984;;;;;8.5;;;;5.95;6.13;;;6.09;;5.78
364;1985 January;;;;;8.5;;;;5.83;5.92;;;5.87;;5.77
365;1985 February;;;;;9.5;;;;6.83;6.97;;;6.95;;6.48
366;1985 March;;;;;10.0;;;;7.04;7.19;;;7.15;;6.9
367;1985 April;;;;;9.5;;;;6.83;6.87;;;6.85;;6.76
368;1985 May;;;;;9.5;;;;7.03;6.95;;;6.94;;7.12
369;1985 June;;;;;9.0;;;;6.8;6.68;;;6.67;;6.84
370;1985 July;;;;;9.0;;;;6.49;6.35;;;6.35;;6.61
371;1985 August;;;;;8.5;;;;5.91;5.85;;;5.84;;5.98
372;1985 September;;;;;8.5;;;;5.79;5.78;;;5.77;;5.74
373;1985 October;;;;;8.5;;;;5.91;5.92;;;5.91;;5.87
374;1985 November;;;;;8.5;;;;5.91;5.94;;;5.93;;5.81
375;1985 December;;;;;8.5;;;;5.82;5.85;;;5.82;;5.77
376;1985;;;;;8.5;;;;6.35;6.36;;;6.34;;6.3
377;1986 January;;;;;8.5;;;;5.81;5.81;5.82;5.9;5.74;;5.72
378;1986 February;;;;;8.5;;;;5.83;5.83;5.83;5.88;5.76;;5.97
379;1986 March;;;;;8.0;;;;5.65;5.57;5.56;5.56;5.5;;5.71
380;1986 April;;;;;8.0;;;;5.41;5.35;5.34;5.33;5.26;;5.49
381;1986 May;;;;;9.0;;;;6.25;5.88;5.72;5.68;5.79;;6.62
382;1986 June;;;;;9.0;;;;6.24;6.04;5.81;5.79;5.97;;6.17
383;1986 July;;;;;8.5;;;;6.02;5.82;5.67;5.65;5.75;;6.13
384;1986 August;;;;;8.0;;;;5.54;5.4;5.35;5.35;5.33;;5.62
385;1986 September;;;;;8.0;;;;5.39;5.29;5.27;5.27;5.23;;5.31
386;1986 October;;;;;8.0;;;;5.46;5.44;5.43;5.43;5.38;;5.4
387;1986 November;;;;;8.0;;;;5.63;5.6;5.54;5.54;5.53;;5.65
388;1986 December;;;;;9.0;;;;6.38;6.15;5.96;5.9;6.08;;6.17
389;1986;;;;;9.0;;;;5.8;5.68;5.61;5.61;5.61;;5.83
390;1987 January;;;;;8.0;;;;5.92;5.71;5.65;5.63;5.65;;6.01
391;1987 February;;;;;8.0;;;;5.45;5.42;5.38;5.38;5.36;;5.3
392;1987 March;;;;;8.0;;;;5.52;5.5;5.48;5.46;5.46;;5.54
393;1987 April;;;;;8.0;;;;5.42;5.43;5.43;5.43;5.38;;5.24
394;1987 May;;;;;8.0;;;;5.24;5.23;5.23;5.24;5.19;;5.19
395;1987 June;;;;;8.0;;;;5.27;5.27;5.28;5.28;5.21;;5.19
396;1987 July;;;;;8.0;;;;5.28;5.33;5.38;5.4;5.27;;5.19
397;1987 August;;;;;8.0;;;;5.25;5.36;5.45;5.51;5.32;;4.84
398;1987 September;;;;;8.0;;;;5.28;5.41;5.57;5.65;5.38;;4.88
399;1987 October;;;;;8.0;;;;5.38;5.79;5.87;5.99;5.73;;5.32
400;1987 November;;;;;7.5;;;;4.97;5.11;5.15;5.24;5.07;;4.73
401;1987 December;;;;;7.25;;;;4.64;4.75;4.81;4.94;4.72;;4.5
402;1987;;;;;7.25;;;;5.3;5.36;5.39;5.43;5.32;;5.16
403;1988 January;;;;;6.75;3.75;8.0;;4.26;4.36;4.46;4.59;4.32;;4.07
404;1988 February;;;;;6.75;3.75;8.0;;4.05;4.11;4.18;4.32;4.06;;4.08
405;1988 March;;;;;6.75;3.75;8.0;;4.01;4.08;4.16;4.32;4.02;;3.73
406;1988 April;;;;;6.75;3.75;8.0;;4.03;4.07;4.15;4.35;4.01;;3.97
407;1988 May;;;;;6.75;3.75;8.0;;4.07;4.19;4.33;4.53;4.12;;3.94
408;1988 June;;;;;6.75;3.75;8.0;;3.92;4.2;4.42;4.64;4.14;;2.94
409;1988 July;;;;;8.0;4.5;8.0;;4.68;4.97;5.2;5.32;4.88;;4.56
410;1988 August;;;;;8.25;4.75;8.0;;5.43;5.62;5.8;5.9;5.57;;4.97
411;1988 September;;;;;8.25;4.75;8.0;;5.52;5.63;5.7;5.78;5.56;;5.32
412;1988 October;;;;;8.25;4.75;8.0;;5.4;5.47;5.36;5.39;5.4;;5.07
413;1988 November;;;;;8.25;4.75;8.0;;5.34;5.4;5.43;5.47;5.36;;5.04
414;1988 December;;;;;8.75;5.25;8.0;;5.66;5.7;5.74;5.79;5.66;;5.6
415;1988;;;;;8.75;5.25;8.0;;4.7;4.82;4.91;5.03;4.76;;4.44
416;1989 January;;;;;9.25;5.75;8.0;;5.98;6.1;6.16;6.23;6.05;;5.56
417;1989 February;;;;;9.75;5.75;8.0;;6.73;6.86;6.93;6.99;6.81;;6.14
418;1989 March;;;;;9.75;5.75;8.0;;6.78;6.98;7.13;7.26;6.93;;6.36
419;1989 April;;;;;10.25;6.25;8.0;;6.6;6.81;6.94;7.07;6.75;;6.27
420;1989 May;;;;;10.25;6.25;8.0;;7.18;7.41;7.51;7.58;7.36;;6.77
421;1989 June;;;;;10.75;6.75;8.0;;7.07;7.22;7.33;7.41;7.17;;6.76
