ID;Landbouwproductie;Perioden;Hoeveelheid_1;EenheidVanProductie_2
214;Appels;2022;7228.0;1000 kg              
215;Appels;2023;7478.0;1000 kg              
216;Peren;2015;2682.0;1000kg               
217;Peren;2016;4187.0;1000kg               
218;Peren;2017;4987.0;1000kg               
219;Peren;2018;3326.0;1000kg               
220;Peren;2019;3648.0;1000kg               
221;Peren;2020;4075.0;1000kg               
222;Peren;2021;4185.0;1000kg               
223;Peren;2022;4207.0;1000 kg              
224;Peren;2023;4725.0;1000 kg              
225;Vlees, totaal;2015;10451.0;1000kgkarkasgewicht  
226;Vlees, totaal;2016;11135.0;1000kgkarkasgewicht  
227;Vlees, totaal;2017;13130.0;1000kgkarkasgewicht  
228;Vlees, totaal;2018;13749.0;1000kgkarkasgewicht  
229;Vlees, totaal;2019;15038.0;1000kgkarkasgewicht  
230;Vlees, totaal;2020;14941.0;1000kgkarkasgewicht  
231;Vlees, totaal;2021;15469.0;1000kgkarkasgewicht  
232;Vlees, totaal;2022;15018.0;1000 kg karkasgewicht
233;Vlees, totaal;2023;16033.0;1000 kg karkasgewicht
234;Rund- en kalfsvlees;2015;3460.0;1000kgkarkasgewicht  
235;Rund- en kalfsvlees;2016;3728.0;1000kgkarkasgewicht  
236;Rund- en kalfsvlees;2017;3963.0;1000kgkarkasgewicht  
237;Rund- en kalfsvlees;2018;4017.0;1000kgkarkasgewicht  
238;Rund- en kalfsvlees;2019;3974.0;1000kgkarkasgewicht  
239;Rund- en kalfsvlees;2020;4198.0;1000kgkarkasgewicht  
240;Rund- en kalfsvlees;2021;4457.0;1000kgkarkasgewicht  
241;Rund- en kalfsvlees;2022;3568.0;1000 kg karkasgewicht
242;Rund- en kalfsvlees;2023;3698.0;1000 kg karkasgewicht
243;Varkensvlees;2015;6527.0;1000kgkarkasgewicht  
244;Varkensvlees;2016;6957.0;1000kgkarkasgewicht  
245;Varkensvlees;2017;8660.0;1000kgkarkasgewicht  
246;Varkensvlees;2018;9133.0;1000kgkarkasgewicht  
247;Varkensvlees;2019;10247.0;1000kgkarkasgewicht  
248;Varkensvlees;2020;9597.0;1000kgkarkasgewicht  
249;Varkensvlees;2021;10067.0;1000kgkarkasgewicht  
250;Varkensvlees;2022;10512.0;1000 kg karkasgewicht
251;Varkensvlees;2023;11247.0;1000 kg karkasgewicht
252;Vlees van pluimvee;2015;464.0;1000kgkarkasgewicht  
253;Vlees van pluimvee;2016;550.0;1000kgkarkasgewicht  
254;Vlees van pluimvee;2017;507.0;1000kgkarkasgewicht  
255;Vlees van pluimvee;2018;599.0;1000kgkarkasgewicht  
256;Vlees van pluimvee;2019;817.0;1000kgkarkasgewicht  
257;Vlees van pluimvee;2020;1146.0;1000kgkarkasgewicht  
258;Vlees van pluimvee;2021;945.0;1000kgkarkasgewicht  
259;Vlees van pluimvee;2022;938.0;1000 kg karkasgewicht
260;Vlees van pluimvee;2023;1088.0;1000 kg karkasgewicht
261;Rauwe melk, totaal;2015;197956.0;1000kg               
262;Rauwe melk, totaal;2016;218061.0;1000kg               
263;Rauwe melk, totaal;2017;247795.0;1000kg               
264;Rauwe melk, totaal;2018;293681.0;1000kg               
265;Rauwe melk, totaal;2019;301634.0;1000kg               
266;Rauwe melk, totaal;2020;315979.0;1000kg               
267;Rauwe melk, totaal;2021;333838.0;1000kg               
268;Rauwe melk, totaal;2022;346405.0;1000 kg              
269;Rauwe melk, totaal;2023;367919.0;1000 kg              
270;Koemelk;2015;177695.0;1000kg               
271;Koemelk;2016;198576.0;1000kg               
272;Koemelk;2017;223181.0;1000kg               
273;Koemelk;2018;260260.0;1000kg               
274;Koemelk;2019;265314.0;1000kg               
275;Koemelk;2020;280287.0;1000kg               
276;Koemelk;2021;296192.0;1000kg               
277;Koemelk;2022;309403.0;1000 kg              
278;Koemelk;2023;333665.0;1000 kg              
279;Geitenmelk;2015;20261.0;1000kg               
280;Geitenmelk;2016;19485.0;1000kg               
281;Geitenmelk;2017;24614.0;1000kg               
282;Geitenmelk;2018;33421.0;1000kg               
283;Geitenmelk;2019;36320.0;1000kg               
284;Geitenmelk;2020;35692.0;1000kg               
285;Geitenmelk;2021;37646.0;1000kg               
286;Geitenmelk;2022;37002.0;1000 kg              
287;Geitenmelk;2023;34254.0;1000 kg              
288;Slagroom;2015;239.0;1000kg               
289;Slagroom;2016;263.0;1000kg               
290;Slagroom;2017;299.0;1000kg               
291;Slagroom;2018;354.0;1000kg               
292;Slagroom;2019;363.0;1000kg               
293;Slagroom;2020;381.0;1000kg               
294;Slagroom;2021;402.0;1000kg               
295;Slagroom;2022;505.0;1000 kg              
296;Slagroom;2023;638.0;1000 kg              
297;Boter;2015;2426.0;1000kg               
298;Boter;2016;2672.0;1000kg               
299;Boter;2017;3037.0;1000kg               
300;Boter;2018;3599.0;1000kg               
301;Boter;2019;3697.0;1000kg               
302;Boter;2020;3872.0;1000kg               
303;Boter;2021;4091.0;1000kg               
304;Boter;2022;3512.0;1000 kg              
305;Boter;2023;3767.0;1000 kg              
306;Kaas;2015;6384.0;1000kg               
307;Kaas;2016;7033.0;1000kg               
308;Kaas;2017;7992.0;1000kg               
309;Kaas;2018;9471.0;1000kg               
310;Kaas;2019;9728.0;1000kg               
311;Kaas;2020;10191.0;1000kg               
312;Kaas;2021;10766.0;1000kg               
313;Kaas;2022;10645.0;1000 kg              
314;Kaas;2023;13414.0;1000 kg              
315;Yoghurts e.d.;2015;19264.0;1000kg               
316;Yoghurts e.d.;2016;21221.0;1000kg               
317;Yoghurts e.d.;2017;24114.0;1000kg               
318;Yoghurts e.d.;2018;28579.0;1000kg               
319;Yoghurts e.d.;2019;29353.0;1000kg               
320;Yoghurts e.d.;2020;30749.0;1000kg               
321;Yoghurts e.d.;2021;32487.0;1000kg               
322;Yoghurts e.d.;2022;27758.0;1000 kg              
323;Yoghurts e.d.;2023;29496.0;1000 kg              
324;Eieren voor consumptie;2015;708004275.0;stuks                
325;Eieren voor consumptie;2016;773102000.0;stuks                
326;Eieren voor consumptie;2017;882995575.0;stuks                
327;Eieren voor consumptie;2018;996378075.0;stuks                
328;Eieren voor consumptie;2019;1032801000.0;stuks                
329;Eieren voor consumptie;2020;1007555450.0;stuks                
330;Eieren voor consumptie;2021;998847850.0;stuks                
331;Eieren voor consumptie;2022;981338900.0;stuks                
332;Eieren voor consumptie;2023;822732900.0;stuks                
333;Mosselen;2015;;1000kglevendgewicht  
334;Mosselen;2016;5195.0;1000kglevendgewicht  
335;Mosselen;2017;3611.0;1000kglevendgewicht  
336;Mosselen;2018;3751.0;1000kglevendgewicht  
337;Mosselen;2019;8536.0;1000kglevendgewicht  
338;Mosselen;2020;7978.0;1000kglevendgewicht  
339;Mosselen;2021;15277.0;1000kglevendgewicht  
340;Mosselen;2022;13912.0;1000 kg karkasgewicht
341;Mosselen;2023;19406.0;1000kg levendgewicht 
