ID;Watergebruikers;Perioden;GebruikVanLeidingwater_1;TotaalGebruikVanGrondwater_2;GebruikVanGrondwaterVoorKoeling_3;OverigeGebruikVanGrondWater_4;GebruikVanOppervlakteWater_5
202;Totaal zorg en overige dienstverlening;2007;25.6;;;;
203;Totaal zorg en overige dienstverlening;2008;28.4;;;;
204;Gezondheids- en welzijnszorg;2003;19.1;;;;
205;Gezondheids- en welzijnszorg;2004;15.0;;;;
206;Gezondheids- en welzijnszorg;2005;15.5;;;;
207;Gezondheids- en welzijnszorg;2006;15.8;;;;
208;Gezondheids- en welzijnszorg;2007;16.4;;;;
209;Gezondheids- en welzijnszorg;2008;17.7;;;;
210;Milieudienstverlening;2003;3.2;1.9;0.0;1.9;529.7
211;Milieudienstverlening;2004;3.3;2.3;0.0;2.3;531.4
212;Milieudienstverlening;2005;2.6;1.4;0.0;1.4;480.6
213;Milieudienstverlening;2006;3.4;2.5;0.0;2.5;516.4
214;Milieudienstverlening;2007;2.7;2.6;0.0;2.6;481.6
215;Milieudienstverlening;2008;3.7;1.2;0.0;1.2;430.8
216;Overige diensten;2003;7.8;;;;
217;Overige diensten;2004;6.0;;;;
218;Overige diensten;2005;6.2;;;;
219;Overige diensten;2006;6.2;;;;
220;Overige diensten;2007;6.5;;;;
221;Overige diensten;2008;7.1;;;;
