ID;ProvincialeHeffingen;RegioS;Perioden;ProvincialeHeffingenInMlnEuro_1
39;Totaal provinciale heffingen;Noord-Nederland (LD);2003;90.4
40;Totaal provinciale heffingen;Noord-Nederland (LD);2004;97.2
41;Totaal provinciale heffingen;Noord-Nederland (LD);2005;109.8
42;Totaal provinciale heffingen;Noord-Nederland (LD);2006;119.0
43;Totaal provinciale heffingen;Noord-Nederland (LD);2007;126.4
44;Totaal provinciale heffingen;Noord-Nederland (LD);2008;137.7
45;Totaal provinciale heffingen;Noord-Nederland (LD);2009;145.3
46;Totaal provinciale heffingen;Noord-Nederland (LD);2010;147.4
47;Totaal provinciale heffingen;Noord-Nederland (LD);2011;154.4
48;Totaal provinciale heffingen;Noord-Nederland (LD);2012;161.5
49;Totaal provinciale heffingen;Noord-Nederland (LD);2013;161.9
50;Totaal provinciale heffingen;Noord-Nederland (LD);2014;169.7
51;Totaal provinciale heffingen;Noord-Nederland (LD);2015;176.8
52;Totaal provinciale heffingen;Noord-Nederland (LD);2016;161.6
53;Totaal provinciale heffingen;Noord-Nederland (LD);2017;164.6
54;Totaal provinciale heffingen;Noord-Nederland (LD);2018;170.1
55;Totaal provinciale heffingen;Noord-Nederland (LD);2019;173.0
56;Totaal provinciale heffingen;Noord-Nederland (LD);2020;190.8
57;Totaal provinciale heffingen;Noord-Nederland (LD);2021;193.9
58;Totaal provinciale heffingen;Noord-Nederland (LD);2022;198.3
59;Totaal provinciale heffingen;Noord-Nederland (LD);2023;203.2
60;Totaal provinciale heffingen;Noord-Nederland (LD);2024;205.3
61;Totaal provinciale heffingen;Noord-Nederland (LD);2025;211.1
62;Totaal provinciale heffingen;Oost-Nederland (LD);1995;36.2
63;Totaal provinciale heffingen;Oost-Nederland (LD);1996;36.8
64;Totaal provinciale heffingen;Oost-Nederland (LD);1997;112.8
65;Totaal provinciale heffingen;Oost-Nederland (LD);1998;140.6
66;Totaal provinciale heffingen;Oost-Nederland (LD);1999;148.1
67;Totaal provinciale heffingen;Oost-Nederland (LD);2000;162.9
68;Totaal provinciale heffingen;Oost-Nederland (LD);2001;170.3
69;Totaal provinciale heffingen;Oost-Nederland (LD);2002;183.9
70;Totaal provinciale heffingen;Oost-Nederland (LD);2003;199.4
71;Totaal provinciale heffingen;Oost-Nederland (LD);2004;214.0
72;Totaal provinciale heffingen;Oost-Nederland (LD);2005;245.0
73;Totaal provinciale heffingen;Oost-Nederland (LD);2006;269.5
74;Totaal provinciale heffingen;Oost-Nederland (LD);2007;280.7
75;Totaal provinciale heffingen;Oost-Nederland (LD);2008;299.3
76;Totaal provinciale heffingen;Oost-Nederland (LD);2009;312.1
77;Totaal provinciale heffingen;Oost-Nederland (LD);2010;322.8
78;Totaal provinciale heffingen;Oost-Nederland (LD);2011;330.0
79;Totaal provinciale heffingen;Oost-Nederland (LD);2012;331.1
80;Totaal provinciale heffingen;Oost-Nederland (LD);2013;333.2
81;Totaal provinciale heffingen;Oost-Nederland (LD);2014;353.8
82;Totaal provinciale heffingen;Oost-Nederland (LD);2015;360.2
83;Totaal provinciale heffingen;Oost-Nederland (LD);2016;362.6
84;Totaal provinciale heffingen;Oost-Nederland (LD);2017;375.7
85;Totaal provinciale heffingen;Oost-Nederland (LD);2018;395.2
86;Totaal provinciale heffingen;Oost-Nederland (LD);2019;407.2
87;Totaal provinciale heffingen;Oost-Nederland (LD);2020;395.1
88;Totaal provinciale heffingen;Oost-Nederland (LD);2021;403.7
89;Totaal provinciale heffingen;Oost-Nederland (LD);2022;405.4
90;Totaal provinciale heffingen;Oost-Nederland (LD);2023;417.1
91;Totaal provinciale heffingen;Oost-Nederland (LD);2024;424.8
92;Totaal provinciale heffingen;Oost-Nederland (LD);2025;453.5
93;Totaal provinciale heffingen;West-Nederland (LD);1995;153.7
94;Totaal provinciale heffingen;West-Nederland (LD);1996;213.3
95;Totaal provinciale heffingen;West-Nederland (LD);1997;261.5
96;Totaal provinciale heffingen;West-Nederland (LD);1998;290.2
97;Totaal provinciale heffingen;West-Nederland (LD);1999;295.5
98;Totaal provinciale heffingen;West-Nederland (LD);2000;318.0
99;Totaal provinciale heffingen;West-Nederland (LD);2001;327.6
100;Totaal provinciale heffingen;West-Nederland (LD);2002;344.6
101;Totaal provinciale heffingen;West-Nederland (LD);2003;364.7
102;Totaal provinciale heffingen;West-Nederland (LD);2004;423.2
103;Totaal provinciale heffingen;West-Nederland (LD);2005;449.8
104;Totaal provinciale heffingen;West-Nederland (LD);2006;468.8
105;Totaal provinciale heffingen;West-Nederland (LD);2007;512.5
106;Totaal provinciale heffingen;West-Nederland (LD);2008;581.7
107;Totaal provinciale heffingen;West-Nederland (LD);2009;632.9
108;Totaal provinciale heffingen;West-Nederland (LD);2010;649.7
109;Totaal provinciale heffingen;West-Nederland (LD);2011;664.0
110;Totaal provinciale heffingen;West-Nederland (LD);2012;670.3
111;Totaal provinciale heffingen;West-Nederland (LD);2013;643.6
112;Totaal provinciale heffingen;West-Nederland (LD);2014;673.6
113;Totaal provinciale heffingen;West-Nederland (LD);2015;673.5
114;Totaal provinciale heffingen;West-Nederland (LD);2016;673.7
115;Totaal provinciale heffingen;West-Nederland (LD);2017;686.1
116;Totaal provinciale heffingen;West-Nederland (LD);2018;703.3
117;Totaal provinciale heffingen;West-Nederland (LD);2019;718.1
118;Totaal provinciale heffingen;West-Nederland (LD);2020;728.6
119;Totaal provinciale heffingen;West-Nederland (LD);2021;748.9
120;Totaal provinciale heffingen;West-Nederland (LD);2022;769.2
121;Totaal provinciale heffingen;West-Nederland (LD);2023;809.2
122;Totaal provinciale heffingen;West-Nederland (LD);2024;869.0
123;Totaal provinciale heffingen;West-Nederland (LD);2025;932.0
124;Totaal provinciale heffingen;Zuid-Nederland (LD);1995;45.2
125;Totaal provinciale heffingen;Zuid-Nederland (LD);1996;47.4
126;Totaal provinciale heffingen;Zuid-Nederland (LD);1997;134.9
127;Totaal provinciale heffingen;Zuid-Nederland (LD);1998;151.8
128;Totaal provinciale heffingen;Zuid-Nederland (LD);1999;153.3
129;Totaal provinciale heffingen;Zuid-Nederland (LD);2000;178.7
130;Totaal provinciale heffingen;Zuid-Nederland (LD);2001;187.1
131;Totaal provinciale heffingen;Zuid-Nederland (LD);2002;207.9
132;Totaal provinciale heffingen;Zuid-Nederland (LD);2003;230.5
133;Totaal provinciale heffingen;Zuid-Nederland (LD);2004;252.4
134;Totaal provinciale heffingen;Zuid-Nederland (LD);2005;263.9
135;Totaal provinciale heffingen;Zuid-Nederland (LD);2006;278.7
136;Totaal provinciale heffingen;Zuid-Nederland (LD);2007;295.3
137;Totaal provinciale heffingen;Zuid-Nederland (LD);2008;298.9
138;Totaal provinciale heffingen;Zuid-Nederland (LD);2009;308.7
139;Totaal provinciale heffingen;Zuid-Nederland (LD);2010;321.5
140;Totaal provinciale heffingen;Zuid-Nederland (LD);2011;324.2
141;Totaal provinciale heffingen;Zuid-Nederland (LD);2012;323.7
142;Totaal provinciale heffingen;Zuid-Nederland (LD);2013;341.2
143;Totaal provinciale heffingen;Zuid-Nederland (LD);2014;353.1
144;Totaal provinciale heffingen;Zuid-Nederland (LD);2015;357.1
145;Totaal provinciale heffingen;Zuid-Nederland (LD);2016;362.0
146;Totaal provinciale heffingen;Zuid-Nederland (LD);2017;370.1
147;Totaal provinciale heffingen;Zuid-Nederland (LD);2018;363.6
148;Totaal provinciale heffingen;Zuid-Nederland (LD);2019;374.6
149;Totaal provinciale heffingen;Zuid-Nederland (LD);2020;376.1
150;Totaal provinciale heffingen;Zuid-Nederland (LD);2021;387.2
151;Totaal provinciale heffingen;Zuid-Nederland (LD);2022;395.3
152;Totaal provinciale heffingen;Zuid-Nederland (LD);2023;408.4
153;Totaal provinciale heffingen;Zuid-Nederland (LD);2024;424.8
154;Totaal provinciale heffingen;Zuid-Nederland (LD);2025;449.0
155;Totaal provinciale heffingen;Groningen (PV);1995;32.7
156;Totaal provinciale heffingen;Groningen (PV);1996;34.8
157;Totaal provinciale heffingen;Groningen (PV);1997;49.3
158;Totaal provinciale heffingen;Groningen (PV);1998;51.9
159;Totaal provinciale heffingen;Groningen (PV);1999;52.5
160;Totaal provinciale heffingen;Groningen (PV);2000;23.9
161;Totaal provinciale heffingen;Groningen (PV);2001;24.4
162;Totaal provinciale heffingen;Groningen (PV);2002;27.1
163;Totaal provinciale heffingen;Groningen (PV);2003;29.8
164;Totaal provinciale heffingen;Groningen (PV);2004;32.8
165;Totaal provinciale heffingen;Groningen (PV);2005;37.1
166;Totaal provinciale heffingen;Groningen (PV);2006;39.4
167;Totaal provinciale heffingen;Groningen (PV);2007;41.6
168;Totaal provinciale heffingen;Groningen (PV);2008;42.9
169;Totaal provinciale heffingen;Groningen (PV);2009;45.1
170;Totaal provinciale heffingen;Groningen (PV);2010;45.7
171;Totaal provinciale heffingen;Groningen (PV);2011;47.8
172;Totaal provinciale heffingen;Groningen (PV);2012;49.9
173;Totaal provinciale heffingen;Groningen (PV);2013;50.0
174;Totaal provinciale heffingen;Groningen (PV);2014;51.8
175;Totaal provinciale heffingen;Groningen (PV);2015;53.5
176;Totaal provinciale heffingen;Groningen (PV);2016;54.1
177;Totaal provinciale heffingen;Groningen (PV);2017;55.3
178;Totaal provinciale heffingen;Groningen (PV);2018;57.6
179;Totaal provinciale heffingen;Groningen (PV);2019;57.8
180;Totaal provinciale heffingen;Groningen (PV);2020;59.4
181;Totaal provinciale heffingen;Groningen (PV);2021;60.8
182;Totaal provinciale heffingen;Groningen (PV);2022;64.0
183;Totaal provinciale heffingen;Groningen (PV);2023;66.2
184;Totaal provinciale heffingen;Groningen (PV);2024;66.1
185;Totaal provinciale heffingen;Groningen (PV);2025;69.3
186;Totaal provinciale heffingen;Fryslân (PV);1995;8.1
187;Totaal provinciale heffingen;Fryslân (PV);1996;6.4
188;Totaal provinciale heffingen;Fryslân (PV);1997;19.9
189;Totaal provinciale heffingen;Fryslân (PV);1998;21.8
190;Totaal provinciale heffingen;Fryslân (PV);1999;22.5
191;Totaal provinciale heffingen;Fryslân (PV);2000;23.8
192;Totaal provinciale heffingen;Fryslân (PV);2001;23.7
193;Totaal provinciale heffingen;Fryslân (PV);2002;25.6
194;Totaal provinciale heffingen;Fryslân (PV);2003;31.0
195;Totaal provinciale heffingen;Fryslân (PV);2004;33.0
196;Totaal provinciale heffingen;Fryslân (PV);2005;37.8
197;Totaal provinciale heffingen;Fryslân (PV);2006;42.0
198;Totaal provinciale heffingen;Fryslân (PV);2007;45.0
199;Totaal provinciale heffingen;Fryslân (PV);2008;51.3
200;Totaal provinciale heffingen;Fryslân (PV);2009;54.8
201;Totaal provinciale heffingen;Fryslân (PV);2010;55.0
202;Totaal provinciale heffingen;Fryslân (PV);2011;57.8
203;Totaal provinciale heffingen;Fryslân (PV);2012;62.2
204;Totaal provinciale heffingen;Fryslân (PV);2013;61.5
205;Totaal provinciale heffingen;Fryslân (PV);2014;65.2
206;Totaal provinciale heffingen;Fryslân (PV);2015;69.2
207;Totaal provinciale heffingen;Fryslân (PV);2016;51.3
208;Totaal provinciale heffingen;Fryslân (PV);2017;52.5
209;Totaal provinciale heffingen;Fryslân (PV);2018;55.3
210;Totaal provinciale heffingen;Fryslân (PV);2019;56.9
211;Totaal provinciale heffingen;Fryslân (PV);2020;71.2
212;Totaal provinciale heffingen;Fryslân (PV);2021;72.3
213;Totaal provinciale heffingen;Fryslân (PV);2022;72.2
214;Totaal provinciale heffingen;Fryslân (PV);2023;73.9
215;Totaal provinciale heffingen;Fryslân (PV);2024;76.0
216;Totaal provinciale heffingen;Fryslân (PV);2025;78.6
217;Totaal provinciale heffingen;Drenthe (PV);1995;6.0
218;Totaal provinciale heffingen;Drenthe (PV);1996;7.1
219;Totaal provinciale heffingen;Drenthe (PV);1997;18.1
220;Totaal provinciale heffingen;Drenthe (PV);1998;20.7
221;Totaal provinciale heffingen;Drenthe (PV);1999;21.7
222;Totaal provinciale heffingen;Drenthe (PV);2000;23.2
223;Totaal provinciale heffingen;Drenthe (PV);2001;26.1
224;Totaal provinciale heffingen;Drenthe (PV);2002;28.2
225;Totaal provinciale heffingen;Drenthe (PV);2003;29.6
226;Totaal provinciale heffingen;Drenthe (PV);2004;31.4
227;Totaal provinciale heffingen;Drenthe (PV);2005;34.9
228;Totaal provinciale heffingen;Drenthe (PV);2006;37.6
229;Totaal provinciale heffingen;Drenthe (PV);2007;39.8
230;Totaal provinciale heffingen;Drenthe (PV);2008;43.5
231;Totaal provinciale heffingen;Drenthe (PV);2009;45.4
232;Totaal provinciale heffingen;Drenthe (PV);2010;46.7
233;Totaal provinciale heffingen;Drenthe (PV);2011;48.8
234;Totaal provinciale heffingen;Drenthe (PV);2012;49.4
235;Totaal provinciale heffingen;Drenthe (PV);2013;50.4
236;Totaal provinciale heffingen;Drenthe (PV);2014;52.7
237;Totaal provinciale heffingen;Drenthe (PV);2015;54.1
238;Totaal provinciale heffingen;Drenthe (PV);2016;56.2
239;Totaal provinciale heffingen;Drenthe (PV);2017;56.7
240;Totaal provinciale heffingen;Drenthe (PV);2018;57.2
241;Totaal provinciale heffingen;Drenthe (PV);2019;58.3
242;Totaal provinciale heffingen;Drenthe (PV);2020;60.2
243;Totaal provinciale heffingen;Drenthe (PV);2021;60.8
244;Totaal provinciale heffingen;Drenthe (PV);2022;62.0
245;Totaal provinciale heffingen;Drenthe (PV);2023;63.1
246;Totaal provinciale heffingen;Drenthe (PV);2024;63.2
247;Totaal provinciale heffingen;Drenthe (PV);2025;63.2
248;Totaal provinciale heffingen;Overijssel (PV);1995;12.3
249;Totaal provinciale heffingen;Overijssel (PV);1996;12.5
250;Totaal provinciale heffingen;Overijssel (PV);1997;37.1
251;Totaal provinciale heffingen;Overijssel (PV);1998;44.8
252;Totaal provinciale heffingen;Overijssel (PV);1999;48.6
253;Totaal provinciale heffingen;Overijssel (PV);2000;53.1
254;Totaal provinciale heffingen;Overijssel (PV);2001;56.5
255;Totaal provinciale heffingen;Overijssel (PV);2002;60.2
256;Totaal provinciale heffingen;Overijssel (PV);2003;65.5
257;Totaal provinciale heffingen;Overijssel (PV);2004;70.3
258;Totaal provinciale heffingen;Overijssel (PV);2005;74.0
259;Totaal provinciale heffingen;Overijssel (PV);2006;80.1
260;Totaal provinciale heffingen;Overijssel (PV);2007;82.3
261;Totaal provinciale heffingen;Overijssel (PV);2008;83.9
262;Totaal provinciale heffingen;Overijssel (PV);2009;88.2
263;Totaal provinciale heffingen;Overijssel (PV);2010;94.6
264;Totaal provinciale heffingen;Overijssel (PV);2011;97.3
265;Totaal provinciale heffingen;Overijssel (PV);2012;99.7
266;Totaal provinciale heffingen;Overijssel (PV);2013;100.6
267;Totaal provinciale heffingen;Overijssel (PV);2014;104.9
268;Totaal provinciale heffingen;Overijssel (PV);2015;104.7
269;Totaal provinciale heffingen;Overijssel (PV);2016;105.0
270;Totaal provinciale heffingen;Overijssel (PV);2017;107.3
271;Totaal provinciale heffingen;Overijssel (PV);2018;108.5
272;Totaal provinciale heffingen;Overijssel (PV);2019;110.9
273;Totaal provinciale heffingen;Overijssel (PV);2020;113.6
274;Totaal provinciale heffingen;Overijssel (PV);2021;114.1
275;Totaal provinciale heffingen;Overijssel (PV);2022;114.9
276;Totaal provinciale heffingen;Overijssel (PV);2023;117.7
277;Totaal provinciale heffingen;Overijssel (PV);2024;123.7
278;Totaal provinciale heffingen;Overijssel (PV);2025;127.7
279;Totaal provinciale heffingen;Flevoland (PV);1995;2.4
280;Totaal provinciale heffingen;Flevoland (PV);1996;2.4
281;Totaal provinciale heffingen;Flevoland (PV);1997;8.2
282;Totaal provinciale heffingen;Flevoland (PV);1998;10.2
283;Totaal provinciale heffingen;Flevoland (PV);1999;9.6
284;Totaal provinciale heffingen;Flevoland (PV);2000;12.5
285;Totaal provinciale heffingen;Flevoland (PV);2001;14.4
286;Totaal provinciale heffingen;Flevoland (PV);2002;15.7
287;Totaal provinciale heffingen;Flevoland (PV);2003;18.6
288;Totaal provinciale heffingen;Flevoland (PV);2004;21.4
289;Totaal provinciale heffingen;Flevoland (PV);2005;24.1
290;Totaal provinciale heffingen;Flevoland (PV);2006;35.6
291;Totaal provinciale heffingen;Flevoland (PV);2007;37.4
292;Totaal provinciale heffingen;Flevoland (PV);2008;44.1
293;Totaal provinciale heffingen;Flevoland (PV);2009;48.7
294;Totaal provinciale heffingen;Flevoland (PV);2010;51.2
295;Totaal provinciale heffingen;Flevoland (PV);2011;51.3
296;Totaal provinciale heffingen;Flevoland (PV);2012;47.1
297;Totaal provinciale heffingen;Flevoland (PV);2013;45.6
298;Totaal provinciale heffingen;Flevoland (PV);2014;50.6
299;Totaal provinciale heffingen;Flevoland (PV);2015;51.7
300;Totaal provinciale heffingen;Flevoland (PV);2016;52.2
301;Totaal provinciale heffingen;Flevoland (PV);2017;53.7
302;Totaal provinciale heffingen;Flevoland (PV);2018;71.0
303;Totaal provinciale heffingen;Flevoland (PV);2019;74.6
304;Totaal provinciale heffingen;Flevoland (PV);2020;59.9
305;Totaal provinciale heffingen;Flevoland (PV);2021;60.0
306;Totaal provinciale heffingen;Flevoland (PV);2022;58.1
307;Totaal provinciale heffingen;Flevoland (PV);2023;55.0
308;Totaal provinciale heffingen;Flevoland (PV);2024;41.3
309;Totaal provinciale heffingen;Flevoland (PV);2025;43.2
310;Totaal provinciale heffingen;Gelderland (PV);1995;21.5
311;Totaal provinciale heffingen;Gelderland (PV);1996;21.9
312;Totaal provinciale heffingen;Gelderland (PV);1997;67.5
313;Totaal provinciale heffingen;Gelderland (PV);1998;85.6
314;Totaal provinciale heffingen;Gelderland (PV);1999;89.9
315;Totaal provinciale heffingen;Gelderland (PV);2000;97.3
316;Totaal provinciale heffingen;Gelderland (PV);2001;99.4
317;Totaal provinciale heffingen;Gelderland (PV);2002;108.0
318;Totaal provinciale heffingen;Gelderland (PV);2003;115.3
319;Totaal provinciale heffingen;Gelderland (PV);2004;122.3
320;Totaal provinciale heffingen;Gelderland (PV);2005;146.9
321;Totaal provinciale heffingen;Gelderland (PV);2006;153.8
322;Totaal provinciale heffingen;Gelderland (PV);2007;161.0
323;Totaal provinciale heffingen;Gelderland (PV);2008;171.3
324;Totaal provinciale heffingen;Gelderland (PV);2009;175.2
325;Totaal provinciale heffingen;Gelderland (PV);2010;177.0
326;Totaal provinciale heffingen;Gelderland (PV);2011;181.4
327;Totaal provinciale heffingen;Gelderland (PV);2012;184.3
328;Totaal provinciale heffingen;Gelderland (PV);2013;187.0
329;Totaal provinciale heffingen;Gelderland (PV);2014;198.2
330;Totaal provinciale heffingen;Gelderland (PV);2015;203.9
331;Totaal provinciale heffingen;Gelderland (PV);2016;205.4
332;Totaal provinciale heffingen;Gelderland (PV);2017;214.8
333;Totaal provinciale heffingen;Gelderland (PV);2018;215.8
334;Totaal provinciale heffingen;Gelderland (PV);2019;221.8
335;Totaal provinciale heffingen;Gelderland (PV);2020;221.6
336;Totaal provinciale heffingen;Gelderland (PV);2021;229.6
337;Totaal provinciale heffingen;Gelderland (PV);2022;232.4
338;Totaal provinciale heffingen;Gelderland (PV);2023;244.5
339;Totaal provinciale heffingen;Gelderland (PV);2024;259.8
340;Totaal provinciale heffingen;Gelderland (PV);2025;282.6
341;Totaal provinciale heffingen;Utrecht (PV);1995;73.3
342;Totaal provinciale heffingen;Utrecht (PV);1996;75.0
343;Totaal provinciale heffingen;Utrecht (PV);1997;40.4
344;Totaal provinciale heffingen;Utrecht (PV);1998;46.8
345;Totaal provinciale heffingen;Utrecht (PV);1999;50.8
346;Totaal provinciale heffingen;Utrecht (PV);2000;57.1
347;Totaal provinciale heffingen;Utrecht (PV);2001;62.1
348;Totaal provinciale heffingen;Utrecht (PV);2002;66.8
349;Totaal provinciale heffingen;Utrecht (PV);2003;73.8
350;Totaal provinciale heffingen;Utrecht (PV);2004;81.1
351;Totaal provinciale heffingen;Utrecht (PV);2005;84.4
352;Totaal provinciale heffingen;Utrecht (PV);2006;93.8
353;Totaal provinciale heffingen;Utrecht (PV);2007;96.2
354;Totaal provinciale heffingen;Utrecht (PV);2008;101.3
355;Totaal provinciale heffingen;Utrecht (PV);2009;105.5
356;Totaal provinciale heffingen;Utrecht (PV);2010;107.5
357;Totaal provinciale heffingen;Utrecht (PV);2011;110.4
358;Totaal provinciale heffingen;Utrecht (PV);2012;110.3
359;Totaal provinciale heffingen;Utrecht (PV);2013;108.8
360;Totaal provinciale heffingen;Utrecht (PV);2014;115.7
361;Totaal provinciale heffingen;Utrecht (PV);2015;114.1
362;Totaal provinciale heffingen;Utrecht (PV);2016;117.4
363;Totaal provinciale heffingen;Utrecht (PV);2017;119.5
364;Totaal provinciale heffingen;Utrecht (PV);2018;122.6
365;Totaal provinciale heffingen;Utrecht (PV);2019;123.4
366;Totaal provinciale heffingen;Utrecht (PV);2020;129.6
367;Totaal provinciale heffingen;Utrecht (PV);2021;135.0
368;Totaal provinciale heffingen;Utrecht (PV);2022;141.3
369;Totaal provinciale heffingen;Utrecht (PV);2023;147.0
370;Totaal provinciale heffingen;Utrecht (PV);2024;153.4
371;Totaal provinciale heffingen;Utrecht (PV);2025;165.3
372;Totaal provinciale heffingen;Noord-Holland (PV);1995;30.1
373;Totaal provinciale heffingen;Noord-Holland (PV);1996;32.0
374;Totaal provinciale heffingen;Noord-Holland (PV);1997;85.6
375;Totaal provinciale heffingen;Noord-Holland (PV);1998;93.0
376;Totaal provinciale heffingen;Noord-Holland (PV);1999;98.0
377;Totaal provinciale heffingen;Noord-Holland (PV);2000;99.2
378;Totaal provinciale heffingen;Noord-Holland (PV);2001;96.4
379;Totaal provinciale heffingen;Noord-Holland (PV);2002;96.2
380;Totaal provinciale heffingen;Noord-Holland (PV);2003;96.9
381;Totaal provinciale heffingen;Noord-Holland (PV);2004;115.2
382;Totaal provinciale heffingen;Noord-Holland (PV);2005;117.7
383;Totaal provinciale heffingen;Noord-Holland (PV);2006;124.7
384;Totaal provinciale heffingen;Noord-Holland (PV);2007;156.3
385;Totaal provinciale heffingen;Noord-Holland (PV);2008;168.7
386;Totaal provinciale heffingen;Noord-Holland (PV);2009;190.9
387;Totaal provinciale heffingen;Noord-Holland (PV);2010;194.1
388;Totaal provinciale heffingen;Noord-Holland (PV);2011;193.8
389;Totaal provinciale heffingen;Noord-Holland (PV);2012;199.2
390;Totaal provinciale heffingen;Noord-Holland (PV);2013;184.0
391;Totaal provinciale heffingen;Noord-Holland (PV);2014;190.7
392;Totaal provinciale heffingen;Noord-Holland (PV);2015;187.6
393;Totaal provinciale heffingen;Noord-Holland (PV);2016;192.2
394;Totaal provinciale heffingen;Noord-Holland (PV);2017;198.1
395;Totaal provinciale heffingen;Noord-Holland (PV);2018;202.0
396;Totaal provinciale heffingen;Noord-Holland (PV);2019;206.5
397;Totaal provinciale heffingen;Noord-Holland (PV);2020;213.4
398;Totaal provinciale heffingen;Noord-Holland (PV);2021;221.3
399;Totaal provinciale heffingen;Noord-Holland (PV);2022;228.4
400;Totaal provinciale heffingen;Noord-Holland (PV);2023;233.0
401;Totaal provinciale heffingen;Noord-Holland (PV);2024;273.3
402;Totaal provinciale heffingen;Noord-Holland (PV);2025;299.1
403;Totaal provinciale heffingen;Zuid-Holland (PV);1995;45.8
404;Totaal provinciale heffingen;Zuid-Holland (PV);1996;101.3
405;Totaal provinciale heffingen;Zuid-Holland (PV);1997;120.3
406;Totaal provinciale heffingen;Zuid-Holland (PV);1998;133.4
407;Totaal provinciale heffingen;Zuid-Holland (PV);1999;129.3
408;Totaal provinciale heffingen;Zuid-Holland (PV);2000;142.9
409;Totaal provinciale heffingen;Zuid-Holland (PV);2001;149.9
410;Totaal provinciale heffingen;Zuid-Holland (PV);2002;160.8
411;Totaal provinciale heffingen;Zuid-Holland (PV);2003;171.7
412;Totaal provinciale heffingen;Zuid-Holland (PV);2004;203.5
413;Totaal provinciale heffingen;Zuid-Holland (PV);2005;223.0
414;Totaal provinciale heffingen;Zuid-Holland (PV);2006;223.9
415;Totaal provinciale heffingen;Zuid-Holland (PV);2007;233.1
416;Totaal provinciale heffingen;Zuid-Holland (PV);2008;282.9
417;Totaal provinciale heffingen;Zuid-Holland (PV);2009;306.3
418;Totaal provinciale heffingen;Zuid-Holland (PV);2010;317.7
419;Totaal provinciale heffingen;Zuid-Holland (PV);2011;328.8
420;Totaal provinciale heffingen;Zuid-Holland (PV);2012;325.8
421;Totaal provinciale heffingen;Zuid-Holland (PV);2013;315.9
422;Totaal provinciale heffingen;Zuid-Holland (PV);2014;331.4
423;Totaal provinciale heffingen;Zuid-Holland (PV);2015;336.1
424;Totaal provinciale heffingen;Zuid-Holland (PV);2016;327.5
425;Totaal provinciale heffingen;Zuid-Holland (PV);2017;329.6
426;Totaal provinciale heffingen;Zuid-Holland (PV);2018;339.4
427;Totaal provinciale heffingen;Zuid-Holland (PV);2019;344.2
428;Totaal provinciale heffingen;Zuid-Holland (PV);2020;340.2
429;Totaal provinciale heffingen;Zuid-Holland (PV);2021;346.4
430;Totaal provinciale heffingen;Zuid-Holland (PV);2022;356.7
431;Totaal provinciale heffingen;Zuid-Holland (PV);2023;384.6
432;Totaal provinciale heffingen;Zuid-Holland (PV);2024;397.5
433;Totaal provinciale heffingen;Zuid-Holland (PV);2025;422.1
434;Totaal provinciale heffingen;Zeeland (PV);1995;4.5
435;Totaal provinciale heffingen;Zeeland (PV);1996;5.0
