ID;Bedrijfsomvang;BedrijfstakkenBranchesSBI2008;Perioden;AlleStijgers_1;NormaleStijgers_2;SnelleStijgers_3;BedrijvenMetOmzetStabiel_4;AlleDalers_5;NormaleDalers_6;SnelleDalers_7
103;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2019 4e kwartaal;44.0;19.0;25.0;1.0;56.0;24.0;31.0
104;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2019;49.0;21.0;28.0;0.0;50.0;21.0;29.0
105;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2020 1e kwartaal;44.0;18.0;26.0;1.0;55.0;26.0;29.0
106;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2020 2e kwartaal;40.0;15.0;24.0;3.0;58.0;22.0;35.0
107;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2020 3e kwartaal;42.0;18.0;24.0;1.0;57.0;19.0;38.0
108;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2020 4e kwartaal;53.0;25.0;28.0;1.0;46.0;15.0;30.0
109;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2020;46.0;17.0;30.0;3.0;51.0;20.0;31.0
110;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2021 1e kwartaal;53.0;21.0;32.0;3.0;44.0;11.0;33.0
111;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2021 2e kwartaal;64.0;19.0;46.0;1.0;35.0;17.0;19.0
112;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2021 3e kwartaal;55.0;20.0;36.0;0.0;44.0;18.0;26.0
113;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2021 4e kwartaal;65.0;21.0;44.0;0.0;35.0;17.0;18.0
114;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2021;64.0;23.0;41.0;1.0;35.0;18.0;18.0
115;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2022 1e kwartaal;70.0;19.0;52.0;1.0;29.0;12.0;16.0
116;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2022 2e kwartaal;66.0;22.0;44.0;0.0;34.0;17.0;18.0
117;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2022 3e kwartaal;59.0;19.0;41.0;2.0;39.0;15.0;24.0
118;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2022 4e kwartaal;65.0;23.0;42.0;1.0;34.0;14.0;20.0
119;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2022;72.0;25.0;47.0;1.0;27.0;15.0;12.0
120;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2023 1e kwartaal;58.0;21.0;36.0;0.0;42.0;14.0;28.0
121;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2023 2e kwartaal;47.0;19.0;27.0;1.0;52.0;19.0;33.0
122;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2023 3e kwartaal;52.0;17.0;35.0;0.0;48.0;19.0;28.0
123;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2023 4e kwartaal;50.0;18.0;32.0;1.0;49.0;23.0;26.0
124;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2023;53.0;23.0;30.0;2.0;46.0;23.0;23.0
125;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2024 1e kwartaal;47.0;17.0;29.0;1.0;52.0;25.0;28.0
126;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2024 2e kwartaal;60.0;24.0;35.0;2.0;38.0;17.0;22.0
127;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2024 3e kwartaal;56.0;20.0;35.0;1.0;43.0;14.0;29.0
128;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2024 4e kwartaal;51.0;20.0;31.0;1.0;48.0;23.0;25.0
129;Totaal 1 of meer werkzame personen;B Delfstoffenwinning;2024;;;;;;;
130;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2012 1e kwartaal;54.0;23.0;31.0;0.0;46.0;23.0;23.0
131;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2012 2e kwartaal;67.0;20.0;47.0;0.0;33.0;7.0;27.0
132;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2012 3e kwartaal;56.0;25.0;31.0;6.0;38.0;25.0;12.0
133;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2012 4e kwartaal;53.0;40.0;13.0;0.0;47.0;13.0;33.0
134;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2012;56.0;38.0;19.0;0.0;44.0;31.0;12.0
135;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2013 1e kwartaal;79.0;50.0;29.0;0.0;21.0;14.0;7.0
136;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2013 2e kwartaal;77.0;23.0;54.0;0.0;23.0;8.0;15.0
137;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2013 3e kwartaal;60.0;33.0;27.0;7.0;33.0;13.0;20.0
138;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2013 4e kwartaal;65.0;24.0;41.0;0.0;35.0;24.0;12.0
139;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2013;72.0;33.0;39.0;6.0;22.0;11.0;11.0
140;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2014 1e kwartaal;44.0;12.0;31.0;0.0;56.0;25.0;31.0
141;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2014 2e kwartaal;33.0;0.0;33.0;0.0;67.0;28.0;39.0
142;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2014 3e kwartaal;39.0;0.0;39.0;0.0;61.0;17.0;44.0
143;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2014 4e kwartaal;33.0;6.0;28.0;0.0;67.0;44.0;22.0
144;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2014;56.0;22.0;33.0;0.0;44.0;17.0;28.0
145;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2015 1e kwartaal;12.0;0.0;12.0;0.0;88.0;41.0;47.0
146;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2015 2e kwartaal;32.0;11.0;21.0;0.0;68.0;16.0;53.0
147;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2015 3e kwartaal;47.0;16.0;32.0;0.0;53.0;16.0;37.0
148;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2015 4e kwartaal;12.0;0.0;12.0;0.0;88.0;25.0;62.0
149;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2015;20.0;15.0;5.0;0.0;80.0;15.0;65.0
150;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2016 1e kwartaal;18.0;6.0;12.0;0.0;82.0;29.0;53.0
151;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2016 2e kwartaal;11.0;6.0;6.0;0.0;89.0;28.0;61.0
152;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2016 3e kwartaal;29.0;6.0;24.0;0.0;71.0;12.0;59.0
153;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2016 4e kwartaal;36.0;0.0;36.0;0.0;64.0;29.0;36.0
154;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2016;20.0;10.0;10.0;5.0;75.0;10.0;65.0
155;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2017 1e kwartaal;44.0;31.0;12.0;6.0;50.0;25.0;25.0
156;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2017 2e kwartaal;40.0;15.0;25.0;0.0;60.0;40.0;20.0
157;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2017 3e kwartaal;40.0;20.0;20.0;0.0;60.0;30.0;30.0
158;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2017 4e kwartaal;33.0;11.0;22.0;11.0;56.0;22.0;33.0
159;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2017;29.0;14.0;14.0;5.0;67.0;43.0;24.0
160;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2018 1e kwartaal;61.0;22.0;39.0;0.0;39.0;11.0;28.0
161;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2018 2e kwartaal;65.0;12.0;53.0;0.0;35.0;18.0;18.0
162;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2018 3e kwartaal;65.0;6.0;59.0;0.0;35.0;18.0;18.0
163;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2018 4e kwartaal;42.0;0.0;42.0;5.0;53.0;21.0;32.0
164;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2018;67.0;24.0;43.0;5.0;29.0;5.0;24.0
165;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2019 1e kwartaal;44.0;38.0;6.0;0.0;56.0;31.0;25.0
166;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2019 2e kwartaal;38.0;6.0;31.0;0.0;62.0;19.0;44.0
167;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2019 3e kwartaal;29.0;0.0;29.0;6.0;65.0;0.0;65.0
168;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2019 4e kwartaal;33.0;6.0;28.0;0.0;67.0;11.0;56.0
169;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2019;33.0;6.0;28.0;0.0;67.0;17.0;50.0
170;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2020 1e kwartaal;40.0;5.0;35.0;0.0;60.0;10.0;50.0
171;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2020 2e kwartaal;29.0;6.0;24.0;0.0;71.0;6.0;65.0
172;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2020 3e kwartaal;37.0;5.0;32.0;0.0;63.0;0.0;63.0
173;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2020 4e kwartaal;33.0;11.0;22.0;0.0;67.0;33.0;33.0
174;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2020;20.0;5.0;15.0;0.0;80.0;15.0;65.0
175;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2021 1e kwartaal;75.0;20.0;55.0;5.0;20.0;0.0;20.0
176;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2021 2e kwartaal;76.0;0.0;76.0;0.0;24.0;12.0;12.0
177;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2021 3e kwartaal;79.0;16.0;63.0;0.0;21.0;5.0;16.0
178;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2021 4e kwartaal;89.0;0.0;89.0;0.0;11.0;6.0;6.0
179;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2021;68.0;0.0;68.0;9.0;23.0;14.0;9.0
180;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2022 1e kwartaal;81.0;0.0;81.0;6.0;12.0;0.0;12.0
181;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2022 2e kwartaal;87.0;7.0;80.0;0.0;13.0;13.0;0.0
182;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2022 3e kwartaal;81.0;0.0;81.0;6.0;12.0;0.0;12.0
183;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2022 4e kwartaal;62.0;25.0;38.0;6.0;31.0;6.0;25.0
184;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2022;83.0;6.0;78.0;0.0;17.0;6.0;11.0
185;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2023 1e kwartaal;40.0;13.0;27.0;0.0;60.0;7.0;53.0
186;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2023 2e kwartaal;7.0;0.0;7.0;0.0;93.0;13.0;80.0
187;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2023 3e kwartaal;12.0;0.0;12.0;0.0;88.0;6.0;81.0
188;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2023 4e kwartaal;33.0;0.0;33.0;0.0;67.0;7.0;60.0
189;Totaal 1 of meer werkzame personen;06 Winning van aardolie en aardgas;2023;18.0;6.0;12.0;0.0;82.0;12.0;71.0
