ID;ProvincialLevies;Regions;Periods;ProvincialLeviesInMillionOfEuros_1
72;Total provincial levies;Oost-Nederland (LD);2005;245.0
73;Total provincial levies;Oost-Nederland (LD);2006;269.5
74;Total provincial levies;Oost-Nederland (LD);2007;280.7
75;Total provincial levies;Oost-Nederland (LD);2008;299.3
76;Total provincial levies;Oost-Nederland (LD);2009;312.1
77;Total provincial levies;Oost-Nederland (LD);2010;322.8
78;Total provincial levies;Oost-Nederland (LD);2011;330.0
79;Total provincial levies;Oost-Nederland (LD);2012;331.1
80;Total provincial levies;Oost-Nederland (LD);2013;333.2
81;Total provincial levies;Oost-Nederland (LD);2014;353.8
82;Total provincial levies;Oost-Nederland (LD);2015;360.2
83;Total provincial levies;Oost-Nederland (LD);2016;362.6
84;Total provincial levies;Oost-Nederland (LD);2017;375.7
85;Total provincial levies;Oost-Nederland (LD);2018;395.2
86;Total provincial levies;Oost-Nederland (LD);2019;407.2
87;Total provincial levies;Oost-Nederland (LD);2020;395.1
88;Total provincial levies;Oost-Nederland (LD);2021;403.7
89;Total provincial levies;Oost-Nederland (LD);2022;405.4
90;Total provincial levies;Oost-Nederland (LD);2023;417.1
91;Total provincial levies;Oost-Nederland (LD);2024;424.8
92;Total provincial levies;Oost-Nederland (LD);2025;453.5
93;Total provincial levies;West-Nederland (LD);1995;153.7
94;Total provincial levies;West-Nederland (LD);1996;213.3
95;Total provincial levies;West-Nederland (LD);1997;261.5
96;Total provincial levies;West-Nederland (LD);1998;290.2
97;Total provincial levies;West-Nederland (LD);1999;295.5
98;Total provincial levies;West-Nederland (LD);2000;318.0
99;Total provincial levies;West-Nederland (LD);2001;327.6
