ID;ProvincialLevies;Regions;Periods;ProvincialLeviesInMillionOfEuros_1
824;Surcharge motor vehicle tax;Flevoland (PV);2013;45.1
825;Surcharge motor vehicle tax;Flevoland (PV);2014;50.1
826;Surcharge motor vehicle tax;Flevoland (PV);2015;50.8
827;Surcharge motor vehicle tax;Flevoland (PV);2016;51.3
828;Surcharge motor vehicle tax;Flevoland (PV);2017;52.8
829;Surcharge motor vehicle tax;Flevoland (PV);2018;70.1
830;Surcharge motor vehicle tax;Flevoland (PV);2019;73.7
831;Surcharge motor vehicle tax;Flevoland (PV);2020;59.0
832;Surcharge motor vehicle tax;Flevoland (PV);2021;59.1
833;Surcharge motor vehicle tax;Flevoland (PV);2022;57.2
834;Surcharge motor vehicle tax;Flevoland (PV);2023;54.1
835;Surcharge motor vehicle tax;Flevoland (PV);2024;40.4
836;Surcharge motor vehicle tax;Flevoland (PV);2025;42.3
837;Surcharge motor vehicle tax;Gelderland (PV);1995;15.9
838;Surcharge motor vehicle tax;Gelderland (PV);1996;16.2
839;Surcharge motor vehicle tax;Gelderland (PV);1997;61.9
840;Surcharge motor vehicle tax;Gelderland (PV);1998;72.0
841;Surcharge motor vehicle tax;Gelderland (PV);1999;76.7
842;Surcharge motor vehicle tax;Gelderland (PV);2000;83.8
843;Surcharge motor vehicle tax;Gelderland (PV);2001;92.9
844;Surcharge motor vehicle tax;Gelderland (PV);2002;101.5
845;Surcharge motor vehicle tax;Gelderland (PV);2003;111.6
846;Surcharge motor vehicle tax;Gelderland (PV);2004;116.5
847;Surcharge motor vehicle tax;Gelderland (PV);2005;141.2
848;Surcharge motor vehicle tax;Gelderland (PV);2006;148.3
849;Surcharge motor vehicle tax;Gelderland (PV);2007;157.7
850;Surcharge motor vehicle tax;Gelderland (PV);2008;168.0
851;Surcharge motor vehicle tax;Gelderland (PV);2009;172.0
852;Surcharge motor vehicle tax;Gelderland (PV);2010;173.8
853;Surcharge motor vehicle tax;Gelderland (PV);2011;178.1
854;Surcharge motor vehicle tax;Gelderland (PV);2012;181.5
855;Surcharge motor vehicle tax;Gelderland (PV);2013;184.2
856;Surcharge motor vehicle tax;Gelderland (PV);2014;195.5
857;Surcharge motor vehicle tax;Gelderland (PV);2015;200.5
858;Surcharge motor vehicle tax;Gelderland (PV);2016;201.8
859;Surcharge motor vehicle tax;Gelderland (PV);2017;211.9
860;Surcharge motor vehicle tax;Gelderland (PV);2018;212.8
861;Surcharge motor vehicle tax;Gelderland (PV);2019;218.9
862;Surcharge motor vehicle tax;Gelderland (PV);2020;218.6
863;Surcharge motor vehicle tax;Gelderland (PV);2021;226.2
864;Surcharge motor vehicle tax;Gelderland (PV);2022;229.2
865;Surcharge motor vehicle tax;Gelderland (PV);2023;239.4
866;Surcharge motor vehicle tax;Gelderland (PV);2024;254.0
867;Surcharge motor vehicle tax;Gelderland (PV);2025;276.7
868;Surcharge motor vehicle tax;Utrecht (PV);1995;9.8
869;Surcharge motor vehicle tax;Utrecht (PV);1996;10.4
870;Surcharge motor vehicle tax;Utrecht (PV);1997;36.8
871;Surcharge motor vehicle tax;Utrecht (PV);1998;43.1
872;Surcharge motor vehicle tax;Utrecht (PV);1999;47.7
873;Surcharge motor vehicle tax;Utrecht (PV);2000;54.0
874;Surcharge motor vehicle tax;Utrecht (PV);2001;60.1
875;Surcharge motor vehicle tax;Utrecht (PV);2002;64.8
876;Surcharge motor vehicle tax;Utrecht (PV);2003;72.7
877;Surcharge motor vehicle tax;Utrecht (PV);2004;79.8
878;Surcharge motor vehicle tax;Utrecht (PV);2005;83.3
879;Surcharge motor vehicle tax;Utrecht (PV);2006;92.1
880;Surcharge motor vehicle tax;Utrecht (PV);2007;94.4
881;Surcharge motor vehicle tax;Utrecht (PV);2008;99.5
882;Surcharge motor vehicle tax;Utrecht (PV);2009;103.8
883;Surcharge motor vehicle tax;Utrecht (PV);2010;105.9
884;Surcharge motor vehicle tax;Utrecht (PV);2011;108.8
885;Surcharge motor vehicle tax;Utrecht (PV);2012;108.7
886;Surcharge motor vehicle tax;Utrecht (PV);2013;107.3
887;Surcharge motor vehicle tax;Utrecht (PV);2014;114.3
888;Surcharge motor vehicle tax;Utrecht (PV);2015;112.6
889;Surcharge motor vehicle tax;Utrecht (PV);2016;115.9
890;Surcharge motor vehicle tax;Utrecht (PV);2017;118.1
891;Surcharge motor vehicle tax;Utrecht (PV);2018;121.1
892;Surcharge motor vehicle tax;Utrecht (PV);2019;122.0
893;Surcharge motor vehicle tax;Utrecht (PV);2020;128.0
894;Surcharge motor vehicle tax;Utrecht (PV);2021;133.4
895;Surcharge motor vehicle tax;Utrecht (PV);2022;139.4
896;Surcharge motor vehicle tax;Utrecht (PV);2023;145.1
897;Surcharge motor vehicle tax;Utrecht (PV);2024;151.3
898;Surcharge motor vehicle tax;Utrecht (PV);2025;163.5
899;Surcharge motor vehicle tax;Noord-Holland (PV);1995;23.0
900;Surcharge motor vehicle tax;Noord-Holland (PV);1996;24.5
901;Surcharge motor vehicle tax;Noord-Holland (PV);1997;78.6
902;Surcharge motor vehicle tax;Noord-Holland (PV);1998;86.0
903;Surcharge motor vehicle tax;Noord-Holland (PV);1999;87.4
904;Surcharge motor vehicle tax;Noord-Holland (PV);2000;89.0
905;Surcharge motor vehicle tax;Noord-Holland (PV);2001;90.6
906;Surcharge motor vehicle tax;Noord-Holland (PV);2002;90.2
907;Surcharge motor vehicle tax;Noord-Holland (PV);2003;90.9
908;Surcharge motor vehicle tax;Noord-Holland (PV);2004;111.5
909;Surcharge motor vehicle tax;Noord-Holland (PV);2005;114.7
910;Surcharge motor vehicle tax;Noord-Holland (PV);2006;121.7
911;Surcharge motor vehicle tax;Noord-Holland (PV);2007;153.1
912;Surcharge motor vehicle tax;Noord-Holland (PV);2008;165.7
913;Surcharge motor vehicle tax;Noord-Holland (PV);2009;188.0
914;Surcharge motor vehicle tax;Noord-Holland (PV);2010;190.5
915;Surcharge motor vehicle tax;Noord-Holland (PV);2011;189.9
916;Surcharge motor vehicle tax;Noord-Holland (PV);2012;194.8
917;Surcharge motor vehicle tax;Noord-Holland (PV);2013;180.3
918;Surcharge motor vehicle tax;Noord-Holland (PV);2014;188.5
919;Surcharge motor vehicle tax;Noord-Holland (PV);2015;185.4
920;Surcharge motor vehicle tax;Noord-Holland (PV);2016;190.0
921;Surcharge motor vehicle tax;Noord-Holland (PV);2017;195.4
922;Surcharge motor vehicle tax;Noord-Holland (PV);2018;199.4
923;Surcharge motor vehicle tax;Noord-Holland (PV);2019;204.2
924;Surcharge motor vehicle tax;Noord-Holland (PV);2020;210.1
925;Surcharge motor vehicle tax;Noord-Holland (PV);2021;218.1
926;Surcharge motor vehicle tax;Noord-Holland (PV);2022;225.1
927;Surcharge motor vehicle tax;Noord-Holland (PV);2023;229.1
928;Surcharge motor vehicle tax;Noord-Holland (PV);2024;269.2
929;Surcharge motor vehicle tax;Noord-Holland (PV);2025;294.7
930;Surcharge motor vehicle tax;Zuid-Holland (PV);1995;35.0
931;Surcharge motor vehicle tax;Zuid-Holland (PV);1996;88.9
932;Surcharge motor vehicle tax;Zuid-Holland (PV);1997;108.3
933;Surcharge motor vehicle tax;Zuid-Holland (PV);1998;121.2
934;Surcharge motor vehicle tax;Zuid-Holland (PV);1999;122.3
935;Surcharge motor vehicle tax;Zuid-Holland (PV);2000;135.1
936;Surcharge motor vehicle tax;Zuid-Holland (PV);2001;147.0
937;Surcharge motor vehicle tax;Zuid-Holland (PV);2002;158.6
938;Surcharge motor vehicle tax;Zuid-Holland (PV);2003;169.6
939;Surcharge motor vehicle tax;Zuid-Holland (PV);2004;201.9
940;Surcharge motor vehicle tax;Zuid-Holland (PV);2005;220.6
941;Surcharge motor vehicle tax;Zuid-Holland (PV);2006;221.7
942;Surcharge motor vehicle tax;Zuid-Holland (PV);2007;228.1
943;Surcharge motor vehicle tax;Zuid-Holland (PV);2008;280.2
944;Surcharge motor vehicle tax;Zuid-Holland (PV);2009;304.0
945;Surcharge motor vehicle tax;Zuid-Holland (PV);2010;315.0
946;Surcharge motor vehicle tax;Zuid-Holland (PV);2011;322.4
947;Surcharge motor vehicle tax;Zuid-Holland (PV);2012;320.0
948;Surcharge motor vehicle tax;Zuid-Holland (PV);2013;310.0
949;Surcharge motor vehicle tax;Zuid-Holland (PV);2014;325.0
950;Surcharge motor vehicle tax;Zuid-Holland (PV);2015;330.0
951;Surcharge motor vehicle tax;Zuid-Holland (PV);2016;323.0
952;Surcharge motor vehicle tax;Zuid-Holland (PV);2017;323.9
953;Surcharge motor vehicle tax;Zuid-Holland (PV);2018;334.0
954;Surcharge motor vehicle tax;Zuid-Holland (PV);2019;339.0
955;Surcharge motor vehicle tax;Zuid-Holland (PV);2020;335.2
956;Surcharge motor vehicle tax;Zuid-Holland (PV);2021;339.5
957;Surcharge motor vehicle tax;Zuid-Holland (PV);2022;350.9
958;Surcharge motor vehicle tax;Zuid-Holland (PV);2023;378.8
959;Surcharge motor vehicle tax;Zuid-Holland (PV);2024;388.3
960;Surcharge motor vehicle tax;Zuid-Holland (PV);2025;412.8
961;Surcharge motor vehicle tax;Zeeland (PV);1995;3.6
962;Surcharge motor vehicle tax;Zeeland (PV);1996;3.6
963;Surcharge motor vehicle tax;Zeeland (PV);1997;13.7
964;Surcharge motor vehicle tax;Zeeland (PV);1998;14.9
965;Surcharge motor vehicle tax;Zeeland (PV);1999;15.7
966;Surcharge motor vehicle tax;Zeeland (PV);2000;17.1
967;Surcharge motor vehicle tax;Zeeland (PV);2001;18.6
968;Surcharge motor vehicle tax;Zeeland (PV);2002;20.2
969;Surcharge motor vehicle tax;Zeeland (PV);2003;21.8
970;Surcharge motor vehicle tax;Zeeland (PV);2004;23.2
971;Surcharge motor vehicle tax;Zeeland (PV);2005;24.4
972;Surcharge motor vehicle tax;Zeeland (PV);2006;26.1
973;Surcharge motor vehicle tax;Zeeland (PV);2007;26.6
974;Surcharge motor vehicle tax;Zeeland (PV);2008;28.5
975;Surcharge motor vehicle tax;Zeeland (PV);2009;30.0
976;Surcharge motor vehicle tax;Zeeland (PV);2010;30.2
977;Surcharge motor vehicle tax;Zeeland (PV);2011;30.2
978;Surcharge motor vehicle tax;Zeeland (PV);2012;34.7
979;Surcharge motor vehicle tax;Zeeland (PV);2013;34.6
980;Surcharge motor vehicle tax;Zeeland (PV);2014;35.5
981;Surcharge motor vehicle tax;Zeeland (PV);2015;35.5
982;Surcharge motor vehicle tax;Zeeland (PV);2016;36.3
983;Surcharge motor vehicle tax;Zeeland (PV);2017;38.6
984;Surcharge motor vehicle tax;Zeeland (PV);2018;39.0
985;Surcharge motor vehicle tax;Zeeland (PV);2019;43.5
986;Surcharge motor vehicle tax;Zeeland (PV);2020;44.8
987;Surcharge motor vehicle tax;Zeeland (PV);2021;45.6
988;Surcharge motor vehicle tax;Zeeland (PV);2022;41.9
989;Surcharge motor vehicle tax;Zeeland (PV);2023;43.6
990;Surcharge motor vehicle tax;Zeeland (PV);2024;43.8
991;Surcharge motor vehicle tax;Zeeland (PV);2025;44.1
992;Surcharge motor vehicle tax;Noord-Brabant (PV);1995;25.5
993;Surcharge motor vehicle tax;Noord-Brabant (PV);1996;26.8
994;Surcharge motor vehicle tax;Noord-Brabant (PV);1997;85.7
995;Surcharge motor vehicle tax;Noord-Brabant (PV);1998;97.2
996;Surcharge motor vehicle tax;Noord-Brabant (PV);1999;101.7
997;Surcharge motor vehicle tax;Noord-Brabant (PV);2000;111.5
998;Surcharge motor vehicle tax;Noord-Brabant (PV);2001;119.0
999;Surcharge motor vehicle tax;Noord-Brabant (PV);2002;134.7
1000;Surcharge motor vehicle tax;Noord-Brabant (PV);2003;152.8
1001;Surcharge motor vehicle tax;Noord-Brabant (PV);2004;165.4
1002;Surcharge motor vehicle tax;Noord-Brabant (PV);2005;169.5
1003;Surcharge motor vehicle tax;Noord-Brabant (PV);2006;177.3
1004;Surcharge motor vehicle tax;Noord-Brabant (PV);2007;187.4
1005;Surcharge motor vehicle tax;Noord-Brabant (PV);2008;195.5
1006;Surcharge motor vehicle tax;Noord-Brabant (PV);2009;205.1
1007;Surcharge motor vehicle tax;Noord-Brabant (PV);2010;212.4
1008;Surcharge motor vehicle tax;Noord-Brabant (PV);2011;211.0
1009;Surcharge motor vehicle tax;Noord-Brabant (PV);2012;217.0
1010;Surcharge motor vehicle tax;Noord-Brabant (PV);2013;234.0
1011;Surcharge motor vehicle tax;Noord-Brabant (PV);2014;245.0
1012;Surcharge motor vehicle tax;Noord-Brabant (PV);2015;247.0
1013;Surcharge motor vehicle tax;Noord-Brabant (PV);2016;253.0
1014;Surcharge motor vehicle tax;Noord-Brabant (PV);2017;255.7
1015;Surcharge motor vehicle tax;Noord-Brabant (PV);2018;249.5
1016;Surcharge motor vehicle tax;Noord-Brabant (PV);2019;257.0
1017;Surcharge motor vehicle tax;Noord-Brabant (PV);2020;257.0
1018;Surcharge motor vehicle tax;Noord-Brabant (PV);2021;267.4
1019;Surcharge motor vehicle tax;Noord-Brabant (PV);2022;273.9
1020;Surcharge motor vehicle tax;Noord-Brabant (PV);2023;282.1
1021;Surcharge motor vehicle tax;Noord-Brabant (PV);2024;289.2
1022;Surcharge motor vehicle tax;Noord-Brabant (PV);2025;305.3
1023;Surcharge motor vehicle tax;Limburg (PV);1995;8.1
1024;Surcharge motor vehicle tax;Limburg (PV);1996;8.3
1025;Surcharge motor vehicle tax;Limburg (PV);1997;36.3
1026;Surcharge motor vehicle tax;Limburg (PV);1998;39.6
1027;Surcharge motor vehicle tax;Limburg (PV);1999;41.6
1028;Surcharge motor vehicle tax;Limburg (PV);2000;45.5
1029;Surcharge motor vehicle tax;Limburg (PV);2001;50.3
1030;Surcharge motor vehicle tax;Limburg (PV);2002;54.3
1031;Surcharge motor vehicle tax;Limburg (PV);2003;59.4
1032;Surcharge motor vehicle tax;Limburg (PV);2004;66.9
1033;Surcharge motor vehicle tax;Limburg (PV);2005;73.4
1034;Surcharge motor vehicle tax;Limburg (PV);2006;80.4
1035;Surcharge motor vehicle tax;Limburg (PV);2007;87.0
1036;Surcharge motor vehicle tax;Limburg (PV);2008;91.9
1037;Surcharge motor vehicle tax;Limburg (PV);2009;96.5
1038;Surcharge motor vehicle tax;Limburg (PV);2010;99.0
1039;Surcharge motor vehicle tax;Limburg (PV);2011;102.7
1040;Surcharge motor vehicle tax;Limburg (PV);2012;95.7
1041;Surcharge motor vehicle tax;Limburg (PV);2013;96.7
1042;Surcharge motor vehicle tax;Limburg (PV);2014;96.2
1043;Surcharge motor vehicle tax;Limburg (PV);2015;99.2
1044;Surcharge motor vehicle tax;Limburg (PV);2016;100.1
1045;Surcharge motor vehicle tax;Limburg (PV);2017;103.2
1046;Surcharge motor vehicle tax;Limburg (PV);2018;105.2
1047;Surcharge motor vehicle tax;Limburg (PV);2019;106.9
1048;Surcharge motor vehicle tax;Limburg (PV);2020;108.4
1049;Surcharge motor vehicle tax;Limburg (PV);2021;109.4
1050;Surcharge motor vehicle tax;Limburg (PV);2022;110.5
1051;Surcharge motor vehicle tax;Limburg (PV);2023;115.7
1052;Surcharge motor vehicle tax;Limburg (PV);2024;119.0
1053;Surcharge motor vehicle tax;Limburg (PV);2025;126.6
1054;Surcharge broadcasting contribution;The Netherlands;1995;25.4
1055;Surcharge broadcasting contribution;The Netherlands;1996;26.2
1056;Surcharge broadcasting contribution;The Netherlands;1997;26.7
1057;Surcharge broadcasting contribution;The Netherlands;1998;37.6
1058;Surcharge broadcasting contribution;The Netherlands;1999;38.8
1059;Surcharge broadcasting contribution;The Netherlands;2000;39.8
1060;Surcharge broadcasting contribution;The Netherlands;2001;
1061;Surcharge broadcasting contribution;The Netherlands;2002;
1062;Surcharge broadcasting contribution;The Netherlands;2003;
1063;Surcharge broadcasting contribution;The Netherlands;2004;
1064;Surcharge broadcasting contribution;The Netherlands;2005;
1065;Surcharge broadcasting contribution;The Netherlands;2006;
1066;Surcharge broadcasting contribution;The Netherlands;2007;
1067;Surcharge broadcasting contribution;The Netherlands;2008;
1068;Surcharge broadcasting contribution;The Netherlands;2009;
1069;Surcharge broadcasting contribution;The Netherlands;2010;
1070;Surcharge broadcasting contribution;The Netherlands;2011;
1071;Surcharge broadcasting contribution;The Netherlands;2012;
1072;Surcharge broadcasting contribution;The Netherlands;2013;
1073;Surcharge broadcasting contribution;The Netherlands;2014;
1074;Surcharge broadcasting contribution;The Netherlands;2015;
1075;Surcharge broadcasting contribution;The Netherlands;2016;
1076;Surcharge broadcasting contribution;The Netherlands;2017;
1077;Surcharge broadcasting contribution;The Netherlands;2018;
1078;Surcharge broadcasting contribution;The Netherlands;2019;
1079;Surcharge broadcasting contribution;The Netherlands;2020;
1080;Surcharge broadcasting contribution;The Netherlands;2021;
1081;Surcharge broadcasting contribution;The Netherlands;2022;
1082;Surcharge broadcasting contribution;The Netherlands;2023;
1083;Surcharge broadcasting contribution;The Netherlands;2024;
1084;Surcharge broadcasting contribution;The Netherlands;2025;
1085;Surcharge broadcasting contribution;Noord-Nederland (LD);1995;2.8
1086;Surcharge broadcasting contribution;Noord-Nederland (LD);1996;2.9
1087;Surcharge broadcasting contribution;Noord-Nederland (LD);1997;3.0
1088;Surcharge broadcasting contribution;Noord-Nederland (LD);1998;5.1
1089;Surcharge broadcasting contribution;Noord-Nederland (LD);1999;5.9
1090;Surcharge broadcasting contribution;Noord-Nederland (LD);2000;5.9
1091;Surcharge broadcasting contribution;Noord-Nederland (LD);2001;
1092;Surcharge broadcasting contribution;Noord-Nederland (LD);2002;
1093;Surcharge broadcasting contribution;Noord-Nederland (LD);2003;
1094;Surcharge broadcasting contribution;Noord-Nederland (LD);2004;
1095;Surcharge broadcasting contribution;Noord-Nederland (LD);2005;
1096;Surcharge broadcasting contribution;Noord-Nederland (LD);2006;
1097;Surcharge broadcasting contribution;Noord-Nederland (LD);2007;
1098;Surcharge broadcasting contribution;Noord-Nederland (LD);2008;
1099;Surcharge broadcasting contribution;Noord-Nederland (LD);2009;
1100;Surcharge broadcasting contribution;Noord-Nederland (LD);2010;
1101;Surcharge broadcasting contribution;Noord-Nederland (LD);2011;
1102;Surcharge broadcasting contribution;Noord-Nederland (LD);2012;
1103;Surcharge broadcasting contribution;Noord-Nederland (LD);2013;
1104;Surcharge broadcasting contribution;Noord-Nederland (LD);2014;
1105;Surcharge broadcasting contribution;Noord-Nederland (LD);2015;
1106;Surcharge broadcasting contribution;Noord-Nederland (LD);2016;
1107;Surcharge broadcasting contribution;Noord-Nederland (LD);2017;
1108;Surcharge broadcasting contribution;Noord-Nederland (LD);2018;
1109;Surcharge broadcasting contribution;Noord-Nederland (LD);2019;
1110;Surcharge broadcasting contribution;Noord-Nederland (LD);2020;
1111;Surcharge broadcasting contribution;Noord-Nederland (LD);2021;
1112;Surcharge broadcasting contribution;Noord-Nederland (LD);2022;
1113;Surcharge broadcasting contribution;Noord-Nederland (LD);2023;
1114;Surcharge broadcasting contribution;Noord-Nederland (LD);2024;
1115;Surcharge broadcasting contribution;Noord-Nederland (LD);2025;
1116;Surcharge broadcasting contribution;Oost-Nederland (LD);1995;5.5
1117;Surcharge broadcasting contribution;Oost-Nederland (LD);1996;5.6
1118;Surcharge broadcasting contribution;Oost-Nederland (LD);1997;5.7
1119;Surcharge broadcasting contribution;Oost-Nederland (LD);1998;12.5
1120;Surcharge broadcasting contribution;Oost-Nederland (LD);1999;12.5
1121;Surcharge broadcasting contribution;Oost-Nederland (LD);2000;12.7
1122;Surcharge broadcasting contribution;Oost-Nederland (LD);2001;
1123;Surcharge broadcasting contribution;Oost-Nederland (LD);2002;
1124;Surcharge broadcasting contribution;Oost-Nederland (LD);2003;
1125;Surcharge broadcasting contribution;Oost-Nederland (LD);2004;
1126;Surcharge broadcasting contribution;Oost-Nederland (LD);2005;
1127;Surcharge broadcasting contribution;Oost-Nederland (LD);2006;
1128;Surcharge broadcasting contribution;Oost-Nederland (LD);2007;
1129;Surcharge broadcasting contribution;Oost-Nederland (LD);2008;
1130;Surcharge broadcasting contribution;Oost-Nederland (LD);2009;
1131;Surcharge broadcasting contribution;Oost-Nederland (LD);2010;
1132;Surcharge broadcasting contribution;Oost-Nederland (LD);2011;
1133;Surcharge broadcasting contribution;Oost-Nederland (LD);2012;
1134;Surcharge broadcasting contribution;Oost-Nederland (LD);2013;
1135;Surcharge broadcasting contribution;Oost-Nederland (LD);2014;
1136;Surcharge broadcasting contribution;Oost-Nederland (LD);2015;
1137;Surcharge broadcasting contribution;Oost-Nederland (LD);2016;
1138;Surcharge broadcasting contribution;Oost-Nederland (LD);2017;
1139;Surcharge broadcasting contribution;Oost-Nederland (LD);2018;
1140;Surcharge broadcasting contribution;Oost-Nederland (LD);2019;
1141;Surcharge broadcasting contribution;Oost-Nederland (LD);2020;
1142;Surcharge broadcasting contribution;Oost-Nederland (LD);2021;
1143;Surcharge broadcasting contribution;Oost-Nederland (LD);2022;
1144;Surcharge broadcasting contribution;Oost-Nederland (LD);2023;
1145;Surcharge broadcasting contribution;Oost-Nederland (LD);2024;
1146;Surcharge broadcasting contribution;Oost-Nederland (LD);2025;
1147;Surcharge broadcasting contribution;West-Nederland (LD);1995;11.4
1148;Surcharge broadcasting contribution;West-Nederland (LD);1996;11.8
1149;Surcharge broadcasting contribution;West-Nederland (LD);1997;11.9
1150;Surcharge broadcasting contribution;West-Nederland (LD);1998;12.7
1151;Surcharge broadcasting contribution;West-Nederland (LD);1999;12.9
1152;Surcharge broadcasting contribution;West-Nederland (LD);2000;13.8
1153;Surcharge broadcasting contribution;West-Nederland (LD);2001;
1154;Surcharge broadcasting contribution;West-Nederland (LD);2002;
1155;Surcharge broadcasting contribution;West-Nederland (LD);2003;
1156;Surcharge broadcasting contribution;West-Nederland (LD);2004;
1157;Surcharge broadcasting contribution;West-Nederland (LD);2005;
1158;Surcharge broadcasting contribution;West-Nederland (LD);2006;
1159;Surcharge broadcasting contribution;West-Nederland (LD);2007;
1160;Surcharge broadcasting contribution;West-Nederland (LD);2008;
1161;Surcharge broadcasting contribution;West-Nederland (LD);2009;
1162;Surcharge broadcasting contribution;West-Nederland (LD);2010;
1163;Surcharge broadcasting contribution;West-Nederland (LD);2011;
1164;Surcharge broadcasting contribution;West-Nederland (LD);2012;
1165;Surcharge broadcasting contribution;West-Nederland (LD);2013;
1166;Surcharge broadcasting contribution;West-Nederland (LD);2014;
1167;Surcharge broadcasting contribution;West-Nederland (LD);2015;
1168;Surcharge broadcasting contribution;West-Nederland (LD);2016;
1169;Surcharge broadcasting contribution;West-Nederland (LD);2017;
1170;Surcharge broadcasting contribution;West-Nederland (LD);2018;
1171;Surcharge broadcasting contribution;West-Nederland (LD);2019;
1172;Surcharge broadcasting contribution;West-Nederland (LD);2020;
1173;Surcharge broadcasting contribution;West-Nederland (LD);2021;
1174;Surcharge broadcasting contribution;West-Nederland (LD);2022;
1175;Surcharge broadcasting contribution;West-Nederland (LD);2023;
1176;Surcharge broadcasting contribution;West-Nederland (LD);2024;
1177;Surcharge broadcasting contribution;West-Nederland (LD);2025;
1178;Surcharge broadcasting contribution;Zuid-Nederland (LD);1995;5.8
1179;Surcharge broadcasting contribution;Zuid-Nederland (LD);1996;5.9
1180;Surcharge broadcasting contribution;Zuid-Nederland (LD);1997;6.0
1181;Surcharge broadcasting contribution;Zuid-Nederland (LD);1998;7.4
1182;Surcharge broadcasting contribution;Zuid-Nederland (LD);1999;7.4
1183;Surcharge broadcasting contribution;Zuid-Nederland (LD);2000;7.5
1184;Surcharge broadcasting contribution;Zuid-Nederland (LD);2001;
1185;Surcharge broadcasting contribution;Zuid-Nederland (LD);2002;
1186;Surcharge broadcasting contribution;Zuid-Nederland (LD);2003;
1187;Surcharge broadcasting contribution;Zuid-Nederland (LD);2004;
1188;Surcharge broadcasting contribution;Zuid-Nederland (LD);2005;
1189;Surcharge broadcasting contribution;Zuid-Nederland (LD);2006;
1190;Surcharge broadcasting contribution;Zuid-Nederland (LD);2007;
1191;Surcharge broadcasting contribution;Zuid-Nederland (LD);2008;
1192;Surcharge broadcasting contribution;Zuid-Nederland (LD);2009;
1193;Surcharge broadcasting contribution;Zuid-Nederland (LD);2010;
1194;Surcharge broadcasting contribution;Zuid-Nederland (LD);2011;
1195;Surcharge broadcasting contribution;Zuid-Nederland (LD);2012;
1196;Surcharge broadcasting contribution;Zuid-Nederland (LD);2013;
1197;Surcharge broadcasting contribution;Zuid-Nederland (LD);2014;
1198;Surcharge broadcasting contribution;Zuid-Nederland (LD);2015;
1199;Surcharge broadcasting contribution;Zuid-Nederland (LD);2016;
1200;Surcharge broadcasting contribution;Zuid-Nederland (LD);2017;
1201;Surcharge broadcasting contribution;Zuid-Nederland (LD);2018;
1202;Surcharge broadcasting contribution;Zuid-Nederland (LD);2019;
1203;Surcharge broadcasting contribution;Zuid-Nederland (LD);2020;
1204;Surcharge broadcasting contribution;Zuid-Nederland (LD);2021;
1205;Surcharge broadcasting contribution;Zuid-Nederland (LD);2022;
1206;Surcharge broadcasting contribution;Zuid-Nederland (LD);2023;
1207;Surcharge broadcasting contribution;Zuid-Nederland (LD);2024;
1208;Surcharge broadcasting contribution;Zuid-Nederland (LD);2025;
1209;Surcharge broadcasting contribution;Groningen (PV);1995;1.0
1210;Surcharge broadcasting contribution;Groningen (PV);1996;1.0
1211;Surcharge broadcasting contribution;Groningen (PV);1997;1.0
1212;Surcharge broadcasting contribution;Groningen (PV);1998;2.0
1213;Surcharge broadcasting contribution;Groningen (PV);1999;2.0
1214;Surcharge broadcasting contribution;Groningen (PV);2000;2.0
1215;Surcharge broadcasting contribution;Groningen (PV);2001;
1216;Surcharge broadcasting contribution;Groningen (PV);2002;
1217;Surcharge broadcasting contribution;Groningen (PV);2003;
1218;Surcharge broadcasting contribution;Groningen (PV);2004;
1219;Surcharge broadcasting contribution;Groningen (PV);2005;
1220;Surcharge broadcasting contribution;Groningen (PV);2006;
1221;Surcharge broadcasting contribution;Groningen (PV);2007;
1222;Surcharge broadcasting contribution;Groningen (PV);2008;
1223;Surcharge broadcasting contribution;Groningen (PV);2009;
1224;Surcharge broadcasting contribution;Groningen (PV);2010;
1225;Surcharge broadcasting contribution;Groningen (PV);2011;
1226;Surcharge broadcasting contribution;Groningen (PV);2012;
1227;Surcharge broadcasting contribution;Groningen (PV);2013;
1228;Surcharge broadcasting contribution;Groningen (PV);2014;
1229;Surcharge broadcasting contribution;Groningen (PV);2015;
1230;Surcharge broadcasting contribution;Groningen (PV);2016;
1231;Surcharge broadcasting contribution;Groningen (PV);2017;
1232;Surcharge broadcasting contribution;Groningen (PV);2018;
1233;Surcharge broadcasting contribution;Groningen (PV);2019;
1234;Surcharge broadcasting contribution;Groningen (PV);2020;
1235;Surcharge broadcasting contribution;Groningen (PV);2021;
1236;Surcharge broadcasting contribution;Groningen (PV);2022;
1237;Surcharge broadcasting contribution;Groningen (PV);2023;
1238;Surcharge broadcasting contribution;Groningen (PV);2024;
1239;Surcharge broadcasting contribution;Groningen (PV);2025;
1240;Surcharge broadcasting contribution;Fryslân (PV);1995;1.0
1241;Surcharge broadcasting contribution;Fryslân (PV);1996;1.1
1242;Surcharge broadcasting contribution;Fryslân (PV);1997;1.1
1243;Surcharge broadcasting contribution;Fryslân (PV);1998;2.2
1244;Surcharge broadcasting contribution;Fryslân (PV);1999;2.2
1245;Surcharge broadcasting contribution;Fryslân (PV);2000;2.2
1246;Surcharge broadcasting contribution;Fryslân (PV);2001;
1247;Surcharge broadcasting contribution;Fryslân (PV);2002;
1248;Surcharge broadcasting contribution;Fryslân (PV);2003;
1249;Surcharge broadcasting contribution;Fryslân (PV);2004;
1250;Surcharge broadcasting contribution;Fryslân (PV);2005;
1251;Surcharge broadcasting contribution;Fryslân (PV);2006;
