ID;RegioS;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;GeldigeStemmen_4;CDA_5;CU_6;DN_7;D66_8;GL_9;LN_10;LPF_11;NMP_12;PvdA_13;PvdT_14;RVP_15;SGP_16;SP_17;VSP_18;VIPOU_19;VVD_20;CDA_21;CU_22;DN_23;D66_24;GL_25;LN_26;LPF_27;NMP_28;PvdA_29;PvdT_30;RVP_31;SGP_32;SP_33;VSP_34;VIPOU_35;VVD_36;LandsdeelCode_37;ProvincieCode_38;KamerkieskringCode_39;CoropCode_40;GemeenteCode_41
10;Alkemade;10733;86.1;9244;9239;3738;25;2;403;445;177;1558;5.0;853;11.0;;14;351;2.0;18;1637;40.5;0.3;0.0;4.4;4.8;1.9;16.9;0.1;9.2;0.1;;0.2;3.8;0.0;0.2;17.7;3;28;15;25;0483
11;Alkmaar;69192;79.1;54734;54653;11079;676;66;3592;5736;1310;8557;27.0;10041;;;57;4850;74.0;304;8284;20.3;1.2;0.1;6.6;10.5;2.4;15.7;0.0;18.4;;;0.1;8.9;0.1;0.6;15.2;3;27;11;19;0361
12;Almelo;52529;75.9;39894;39852;12259;1050;50;1652;2557;611;6081;3.0;7994;25.0;;132;2118;105.0;200;5015;30.8;2.6;0.1;4.1;6.4;1.5;15.3;0.0;20.1;0.1;;0.3;5.3;0.3;0.5;12.6;2;23;04;12;0141
13;Almere;109764;76.4;83890;83795;13538;1577;58;5081;6830;2374;19340;38.0;13230;;;98;4659;118.0;575;16279;16.2;1.9;0.1;6.1;8.2;2.8;23.1;0.0;15.8;;;0.1;5.6;0.1;0.7;19.4;2;24;05;40;0034
14;Alphen-Chaam;7078;87.0;6156;6156;2676;13;3;255;260;71;1014;2.0;491;6.0;;2;269;2.0;23;1069;43.5;0.2;0.0;4.1;4.2;1.2;16.5;0.0;8.0;0.1;;0.0;4.4;0.0;0.4;17.4;4;30;17;34;1723
15;Alphen aan den Rijn;52995;79.6;42165;42084;11436;1427;32;2587;2854;689;7013;9.0;4912;31.0;;512;2211;37.0;114;8220;27.2;3.4;0.1;6.1;6.8;1.6;16.7;0.0;11.7;0.1;;1.2;5.3;0.1;0.3;19.5;3;28;15;28;0484
16;Ambt Montfort;8550;75.7;6471;6444;2766;19;1;224;341;111;1283;4.0;694;1.0;;2;251;10.0;21;716;42.9;0.3;0.0;3.5;5.3;1.7;19.9;0.1;10.8;0.0;;0.0;3.9;0.2;0.3;11.1;4;31;19;38;1679
17;Ameland;2656;114.0;3046;3046;1107;42;0;118;155;53;443;1.0;502;5.0;;4;103;;14;499;36.3;1.4;0.0;3.9;5.1;1.7;14.5;0.0;16.5;0.2;;0.1;3.4;;0.5;16.4;1;21;02;04;0060
18;Amerongen;5429;85.2;4623;4618;1373;202;2;196;177;52;772;;482;3.0;;415;160;1.0;15;768;29.7;4.4;0.0;4.2;3.8;1.1;16.7;;10.4;0.1;;9.0;3.5;0.0;0.3;16.6;3;26;08;17;0306
19;Amersfoort;94305;80.6;75999;75914;18018;3862;45;4544;7072;1152;9912;;11290;46.0;;697;5353;94.0;204;13625;23.7;5.1;0.1;6.0;9.3;1.5;13.1;;14.9;0.1;;0.9;7.1;0.1;0.3;17.9;3;26;08;17;0307
20;Amstelveen;57505;83.8;48168;48086;10639;521;17;3688;3614;740;7675;8.0;6899;26.0;;95;2657;;294;11213;22.1;1.1;0.0;7.7;7.5;1.5;16.0;0.0;14.3;0.1;;0.2;5.5;;0.6;23.3;3;27;10;23;0362
21;Amsterdam;524756;71.0;372399;369785;38518;3527;523;28349;48707;5052;61185;282.0;86601;243.0;;352;40052;939.0;2212;53243;10.4;1.0;0.1;7.7;13.2;1.4;16.5;0.1;23.4;0.1;;0.1;10.8;0.3;0.6;14.4;3;27;09;23;0363
22;Andijk;4745;85.8;4069;4064;1343;214;2;153;204;76;727;1.0;437;;;49;209;2.0;16;631;33.0;5.3;0.0;3.8;5.0;1.9;17.9;0.0;10.8;;;1.2;5.1;0.0;0.4;15.5;3;27;11;18;0364
23;Angerlo;3762;84.8;3192;3182;1178;12;1;160;183;49;401;1.0;490;3.0;;5;179;4.0;7;509;37.0;0.4;0.0;5.0;5.8;1.5;12.6;0.0;15.4;0.1;;0.2;5.6;0.1;0.2;16.0;2;25;07;15;0199
24;Anna Paulowna;10351;81.6;8446;8443;2556;93;7;391;369;256;1468;7.0;933;;;21;337;10.0;76;1919;30.3;1.1;0.1;4.6;4.4;3.0;17.4;0.1;11.1;;;0.2;4.0;0.1;0.9;22.7;3;27;11;18;0366
25;Apeldoorn;118243;79.9;94451;94366;27139;2686;105;5058;6709;1476;13122;19.0;14673;56.0;;2458;4482;164.0;284;15935;28.8;2.8;0.1;5.4;7.1;1.6;13.9;0.0;15.5;0.1;;2.6;4.7;0.2;0.3;16.9;2;25;07;13;0200
26;Appingedam;9772;74.3;7265;7263;1781;262;1;352;397;136;1020;1.0;2074;5.0;;15;382;12.0;33;792;24.5;3.6;0.0;4.8;5.5;1.9;14.0;0.0;28.6;0.1;;0.2;5.3;0.2;0.5;10.9;1;20;01;02;0003
27;Arcen en Velden;6636;82.3;5463;5455;2786;15;1;186;268;70;761;0.0;462;1.0;;5;193;4.0;21;682;51.1;0.3;0.0;3.4;4.9;1.3;14.0;0.0;8.5;0.0;;0.1;3.5;0.1;0.4;12.5;4;31;19;37;0885
28;Arnhem;106615;73.6;78498;78176;15393;1213;232;5091;9385;1112;12036;11.0;14882;39.0;;113;6804;182.0;267;11416;19.7;1.6;0.3;6.5;12.0;1.4;15.4;0.0;19.0;0.0;;0.1;8.7;0.2;0.3;14.6;2;25;07;15;0202
29;Assen;44929;79.8;35856;35826;7713;2638;26;1943;3052;426;3938;5.0;8394;19.0;;139;2258;43.0;105;5127;21.5;7.4;0.1;5.4;8.5;1.2;11.0;0.0;23.4;0.1;;0.4;6.3;0.1;0.3;14.3;1;22;03;07;0106
30;Asten;11926;83.7;9987;9954;4476;14;0;344;528;166;1536;1.0;908;19.0;;4;533;6.0;39;1380;45.0;0.1;0.0;3.5;5.3;1.7;15.4;0.0;9.1;0.2;;0.0;5.4;0.1;0.4;13.9;4;30;18;36;0743
31;Axel;8975;77.1;6922;6894;2235;550;7;239;315;116;1256;2.0;917;5.0;;94;220;;33;905;32.4;8.0;0.1;3.5;4.6;1.7;18.2;0.0;13.3;0.1;;1.4;3.2;;0.5;13.1;3;29;16;31;0650
32;Baarle-Nassau;4925;80.2;3950;3948;1717;12;3;135;162;47;772;2.0;340;1.0;;3;170;1.0;14;569;43.5;0.3;0.1;3.4;4.1;1.2;19.6;0.1;8.6;0.0;;0.1;4.3;0.0;0.4;14.4;4;30;17;34;0744
33;Baarn;18351;82.4;15117;15096;3921;506;6;876;1033;230;2427;;1976;9.0;;118;836;9.0;61;3088;26.0;3.4;0.0;5.8;6.8;1.5;16.1;;13.1;0.1;;0.8;5.5;0.1;0.4;20.5;3;26;08;17;0308
34;Barendrecht;25285;85.0;21496;21485;5858;740;10;988;842;339;5128;5.0;2065;9.0;;1056;821;13.0;49;3562;27.3;3.4;0.0;4.6;3.9;1.6;23.9;0.0;9.6;0.0;;4.9;3.8;0.1;0.2;16.6;3;28;14;29;0489
35;Barneveld;34124;88.4;30174;30168;11310;2604;6;573;698;327;3734;4.0;1728;8.0;;5489;612;17.0;57;3001;37.5;8.6;0.0;1.9;2.3;1.1;12.4;0.0;5.7;0.0;;18.2;2.0;0.1;0.2;9.9;2;25;07;13;0203
36;Bathmen;4080;88.0;3589;3576;1150;12;0;187;199;50;360;1.0;588;1.0;;1;131;2.0;10;884;32.2;0.3;0.0;5.2;5.6;1.4;10.1;0.0;16.4;0.0;;0.0;3.7;0.1;0.3;24.7;2;23;04;11;0144
37;Bedum;8100;87.4;7076;7072;2659;841;3;328;392;81;621;1.0;1132;2.0;;58;292;2.0;9;651;37.6;11.9;0.0;4.6;5.5;1.1;8.8;0.0;16.0;0.0;;0.8;4.1;0.0;0.1;9.2;1;20;01;03;0005
38;Beek;13101;77.9;10204;10192;4035;33;5;450;615;166;1834;4.0;1134;3.0;;2;431;23.0;29;1428;39.6;0.3;0.0;4.4;6.0;1.6;18.0;0.0;11.1;0.0;;0.0;4.2;0.2;0.3;14.0;4;31;19;39;0888
39;Beemster;6517;85.7;5587;5572;1416;26;0;303;285;103;929;3.0;841;;;3;274;3.0;36;1350;25.4;0.5;0.0;5.4;5.1;1.8;16.7;0.1;15.1;;;0.1;4.9;0.1;0.6;24.2;3;27;11;23;0370
40;Beesel;10104;73.5;7427;7421;2755;16;2;308;431;153;1550;7.0;827;3.0;;6;290;11.0;30;1032;37.1;0.2;0.0;4.2;5.8;2.1;20.9;0.1;11.1;0.0;;0.1;3.9;0.1;0.4;13.9;4;31;19;37;0889
41;Bellingwedde;7548;75.8;5725;5718;895;87;2;218;402;117;1055;0.0;1818;4.0;;16;342;0.0;26;736;15.7;1.5;0.0;3.8;7.0;2.0;18.5;0.0;31.8;0.1;;0.3;6.0;0.0;0.5;12.9;1;20;01;01;0007
42;Bemmel;32110;81.2;26070;26054;9351;123;4;1566;1601;561;3675;6.0;3610;16.0;;22;1257;16.0;87;4159;35.9;0.5;0.0;6.0;6.1;2.2;14.1;0.0;13.9;0.1;;0.1;4.8;0.1;0.3;16.0;2;25;07;15;0206
43;Bennebroek;4165;86.7;3609;3605;1175;26;0;229;183;30;504;1.0;335;0.0;;6;127;;8;981;32.6;0.7;0.0;6.4;5.1;0.8;14.0;0.0;9.3;0.0;;0.2;3.5;;0.2;27.2;3;27;10;21;0372
44;Bergambacht;6863;87.8;6024;6021;1469;277;2;233;158;103;933;2.0;951;2.0;;653;190;0.0;8;1040;24.4;4.6;0.0;3.9;2.6;1.7;15.5;0.0;15.8;0.0;;10.8;3.2;0.0;0.1;17.3;3;28;15;28;0491
45;Bergen (NH.);24490;86.7;21233;21219;4970;100;7;1345;1589;465;3865;4.0;2844;;;17;1292;12.0;119;4590;23.4;0.5;0.0;6.3;7.5;2.2;18.2;0.0;13.4;;;0.1;6.1;0.1;0.6;21.6;3;27;11;19;0373
46;Bergen (L.);10046;75.5;7582;7572;3267;9;2;250;304;118;1350;1.0;957;8.0;;4;343;9.0;33;917;43.1;0.1;0.0;3.3;4.0;1.6;17.8;0.0;12.6;0.1;;0.1;4.5;0.1;0.4;12.1;4;31;19;37;0893
47;Bergen op Zoom;48290;74.1;35760;35726;9311;218;57;1856;2163;615;7501;9.0;4503;30.0;;38;1915;47.0;120;7343;26.1;0.6;0.2;5.2;6.1;1.7;21.0;0.0;12.6;0.1;;0.1;5.4;0.1;0.3;20.6;4;30;17;33;0748
48;Bergeijk;13431;83.6;11226;11219;4907;43;1;334;499;164;1892;4.0;1066;16.0;;6;508;6.0;60;1713;43.7;0.4;0.0;3.0;4.4;1.5;16.9;0.0;9.5;0.1;;0.1;4.5;0.1;0.5;15.3;4;30;18;36;1724
49;Bergh;14062;77.9;10948;10939;4435;29;4;411;498;136;1839;6.0;1510;15.0;;15;421;1.0;38;1581;40.5;0.3;0.0;3.8;4.6;1.2;16.8;0.1;13.8;0.1;;0.1;3.8;0.0;0.3;14.5;2;25;07;14;0207
50;Bergschenhoek;9898;86.4;8553;8549;2657;322;0;377;258;167;2067;0.0;646;1.0;;46;250;3.0;24;1731;31.1;3.8;0.0;4.4;3.0;2.0;24.2;0.0;7.6;0.0;;0.5;2.9;0.0;0.3;20.2;3;28;15;29;0492
51;Berkel en Rodenrijs;12403;87.7;10874;10867;3809;763;1;406;427;141;2251;3.0;852;3.0;;96;359;3.0;25;1728;35.1;7.0;0.0;3.7;3.9;1.3;20.7;0.0;7.8;0.0;;0.9;3.3;0.0;0.2;15.9;3;28;15;29;0493
52;Bernheze;21367;79.8;17061;17035;7480;25;5;669;856;237;2132;0.0;1576;25.0;;11;1654;12.0;29;2324;43.9;0.1;0.0;3.9;5.0;1.4;12.5;0.0;9.3;0.1;;0.1;9.7;0.1;0.2;13.6;4;30;18;35;1721
53;Bernisse;9811;83.3;8169;8156;2311;130;6;403;233;184;1914;0.0;973;2.0;;113;298;2.0;22;1565;28.3;1.6;0.1;4.9;2.9;2.3;23.5;0.0;11.9;0.0;;1.4;3.7;0.0;0.3;19.2;3;28;14;29;0568
54;Best;20339;81.0;16466;16441;5614;226;16;855;938;233;2816;3.0;1783;34.0;;24;895;14.0;60;2930;34.1;1.4;0.1;5.2;5.7;1.4;17.1;0.0;10.8;0.2;;0.1;5.4;0.1;0.4;17.8;4;30;18;36;0753
55;Beuningen;18642;79.9;14898;14860;4485;75;4;807;1122;193;2336;;2141;20.0;;16;953;17.0;72;2619;30.2;0.5;0.0;5.4;7.6;1.3;15.7;;14.4;0.1;;0.1;6.4;0.1;0.5;17.6;2;25;06;15;0209
56;Beverwijk;27225;77.9;21207;21190;5099;140;25;1002;1685;536;4481;18.0;3535;18.0;;29;1433;;175;3014;24.1;0.7;0.1;4.7;8.0;2.5;21.1;0.1;16.7;0.1;;0.1;6.8;;0.8;14.2;3;27;10;20;0375
57;het Bildt;7919;79.9;6326;6321;2386;137;1;174;331;84;858;3.0;1211;5.0;;13;376;;19;723;37.7;2.2;0.0;2.8;5.2;1.3;13.6;0.0;19.2;0.1;;0.2;5.9;;0.3;11.4;1;21;02;04;0063
58;De Bilt;32257;87.4;28199;28170;6809;678;3;2079;2161;347;4052;;3365;11.0;;823;1622;8.0;89;6123;24.2;2.4;0.0;7.4;7.7;1.2;14.4;;11.9;0.0;;2.9;5.8;0.0;0.3;21.7;3;26;08;17;0310
59;Binnenmaas;14998;84.9;12729;12716;3405;219;5;541;436;206;2948;2.0;1624;2.0;;692;460;3.0;38;2135;26.8;1.7;0.0;4.3;3.4;1.6;23.2;0.0;12.8;0.0;;5.4;3.6;0.0;0.3;16.8;3;28;14;29;0585
60;Bladel;14341;80.7;11568;11532;5100;25;4;450;573;280;1736;0.0;1083;40.0;;6;579;10.0;40;1606;44.2;0.2;0.0;3.9;5.0;2.4;15.1;0.0;9.4;0.3;;0.1;5.0;0.1;0.3;13.9;4;30;18;36;1728
61;Blaricum;7242;89.1;6450;6443;1585;55;0;459;338;61;1094;2.0;652;5.0;;11;316;;19;1846;24.6;0.9;0.0;7.1;5.2;0.9;17.0;0.0;10.1;0.1;;0.2;4.9;;0.3;28.7;3;27;10;24;0376
62;Bleiswijk;7360;88.1;6487;6483;2216;266;2;247;198;102;1397;0.0;518;4.0;;102;180;3.0;11;1237;34.2;4.1;0.0;3.8;3.1;1.6;21.5;0.0;8.0;0.1;;1.6;2.8;0.0;0.2;19.1;3;28;15;29;0495
63;Bloemendaal;12736;90.3;11496;11489;2782;76;1;865;691;97;1652;1.0;1158;4.0;;22;410;;39;3691;24.2;0.7;0.0;7.5;6.0;0.8;14.4;0.0;10.1;0.0;;0.2;3.6;;0.3;32.1;3;27;10;21;0377
64;Boarnsterhim;14318;85.8;12283;12271;2765;92;4;705;980;197;1219;1.0;3322;7.0;;37;638;;31;2273;22.5;0.7;0.0;5.7;8.0;1.6;9.9;0.0;27.1;0.1;;0.3;5.2;;0.3;18.5;1;21;02;04;0055
65;Bodegraven;14141;83.9;11860;11852;4099;637;2;435;495;139;2040;2.0;1096;3.0;;655;372;3.0;51;1823;34.6;5.4;0.0;3.7;4.2;1.2;17.2;0.0;9.2;0.0;;5.5;3.1;0.0;0.4;15.4;3;28;15;28;0497
66;Boekel;6860;81.9;5617;5610;2718;10;2;201;231;68;936;1.0;455;10.0;;0;381;0.0;39;558;48.4;0.2;0.0;3.6;4.1;1.2;16.7;0.0;8.1;0.2;;0.0;6.8;0.0;0.7;9.9;4;30;18;35;0755
67;Ten Boer;5270;87.3;4601;4592;1286;584;1;179;285;50;472;0.0;841;1.0;;66;276;6.0;19;526;28.0;12.7;0.0;3.9;6.2;1.1;10.3;0.0;18.3;0.0;;1.4;6.0;0.1;0.4;11.5;1;20;01;03;0009
68;Bolsward;7050;82.4;5808;5799;2329;114;9;199;378;96;701;0.0;897;3.0;;16;335;;19;703;40.2;2.0;0.2;3.4;6.5;1.7;12.1;0.0;15.5;0.1;;0.3;5.8;;0.3;12.1;1;21;02;05;0064
69;Borculo;8006;84.0;6727;6720;1895;52;1;231;332;67;667;4.0;1363;5.0;;7;303;5.0;15;1773;28.2;0.8;0.0;3.4;4.9;1.0;9.9;0.1;20.3;0.1;;0.1;4.5;0.1;0.2;26.4;2;25;07;14;0211
70;Borger-Odoorn;20394;79.8;16281;16263;3578;463;1;866;894;238;2139;2.0;4384;14.0;;33;812;6.0;49;2784;22.0;2.8;0.0;5.3;5.5;1.5;13.2;0.0;27.0;0.1;;0.2;5.0;0.0;0.3;17.1;1;22;03;08;1681
71;Borne;15439;83.5;12896;12890;5474;112;7;609;659;169;1374;1.0;2017;1.0;;16;615;10.0;35;1791;42.5;0.9;0.1;4.7;5.1;1.3;10.7;0.0;15.6;0.0;;0.1;4.8;0.1;0.3;13.9;2;23;04;12;0147
72;Borsele;16443;82.0;13491;13472;4952;347;4;438;593;159;1754;2.0;1307;7.0;;1806;489;;51;1563;36.8;2.6;0.0;3.3;4.4;1.2;13.0;0.0;9.7;0.1;;13.4;3.6;;0.4;11.6;3;29;16;32;0654
73;Boskoop;11212;85.8;9616;9603;3281;333;2;432;532;158;1734;1.0;757;10.0;;335;318;7.0;26;1677;34.2;3.5;0.0;4.5;5.5;1.6;18.1;0.0;7.9;0.1;;3.5;3.3;0.1;0.3;17.5;3;28;15;28;0499
74;Boxmeer;21738;82.8;17996;17979;7189;56;7;776;1016;208;2555;1.0;1935;9.0;;15;1807;18.0;66;2321;40.0;0.3;0.0;4.3;5.7;1.2;14.2;0.0;10.8;0.1;;0.1;10.1;0.1;0.4;12.9;4;30;18;35;0756
75;Boxtel;22336;76.2;17013;16993;5517;73;13;1056;1316;225;2691;1.0;2244;20.0;;11;1369;23.0;71;2363;32.5;0.4;0.1;6.2;7.7;1.3;15.8;0.0;13.2;0.1;;0.1;8.1;0.1;0.4;13.9;4;30;18;35;0757
76;Breda;124467;75.4;93908;93787;25024;516;162;6321;7841;1612;15403;15.0;12283;92.0;;95;6546;134.0;332;17411;26.7;0.6;0.2;6.7;8.4;1.7;16.4;0.0;13.1;0.1;;0.1;7.0;0.1;0.4;18.6;4;30;17;33;0758
77;Breukelen;10650;86.6;9227;9216;2876;339;1;511;526;121;1294;;836;3.0;;489;351;7.0;42;1820;31.2;3.7;0.0;5.5;5.7;1.3;14.0;;9.1;0.0;;5.3;3.8;0.1;0.5;19.7;3;26;08;17;0311
78;Brielle;12373;82.7;10232;10221;2262;86;2;533;423;238;2396;1.0;1414;3.0;;29;519;6.0;54;2255;22.1;0.8;0.0;5.2;4.1;2.3;23.4;0.0;13.8;0.0;;0.3;5.1;0.1;0.5;22.1;3;28;14;29;0501
79;Brummen;16320;82.6;13484;13441;3586;109;3;681;788;220;1917;0.0;3000;12.0;;47;651;15.0;39;2373;26.7;0.8;0.0;5.1;5.9;1.6;14.3;0.0;22.3;0.1;;0.3;4.8;0.1;0.3;17.7;2;25;07;14;0213
80;Brunssum;23417;70.1;16406;16379;5273;198;4;501;916;280;3410;5.0;2508;19.0;;8;1601;39.0;58;1559;32.2;1.2;0.0;3.1;5.6;1.7;20.8;0.0;15.3;0.1;;0.0;9.8;0.2;0.4;9.5;4;31;19;39;0899
81;Bunnik;10461;89.1;9320;9310;3065;101;3;666;850;111;1083;;1110;0.0;;113;489;4.0;17;1698;32.9;1.1;0.0;7.2;9.1;1.2;11.6;;11.9;0.0;;1.2;5.3;0.0;0.2;18.2;3;26;08;17;0312
82;Bunschoten;13693;87.7;12010;12004;5120;3575;13;122;157;89;1511;;347;5.0;;296;163;4.0;10;592;42.7;29.8;0.1;1.0;1.3;0.7;12.6;;2.9;0.0;;2.5;1.4;0.0;0.1;4.9;3;26;08;17;0313
83;Buren;19456;83.6;16256;16243;3698;266;5;723;620;279;3160;;2818;15.0;;693;590;7.0;33;3336;22.8;1.6;0.0;4.5;3.8;1.7;19.5;;17.3;0.1;;4.3;3.6;0.0;0.2;20.5;2;25;06;16;0214
84;Bussum;23627;83.5;19718;19695;4679;260;5;1434;1388;213;2917;4.0;2618;16.0;;77;1096;;145;4843;23.8;1.3;0.0;7.3;7.0;1.1;14.8;0.0;13.3;0.1;;0.4;5.6;;0.7;24.6;3;27;10;24;0381
85;Capelle aan den IJssel;49436;79.2;39136;39091;8074;1240;26;1855;1838;739;10103;9.0;5522;21.0;;1988;1722;32.0;116;5806;20.7;3.2;0.1;4.7;4.7;1.9;25.8;0.0;14.1;0.1;;5.1;4.4;0.1;0.3;14.9;3;28;15;29;0502
86;Castricum;26709;87.6;23406;23391;6581;149;3;1547;1969;522;3343;10.0;3048;;;17;1382;19.0;105;4696;28.1;0.6;0.0;6.6;8.4;2.2;14.3;0.0;13.0;;;0.1;5.9;0.1;0.4;20.1;3;27;11;20;0383
87;Coevorden;27251;81.5;22223;22213;6330;346;3;964;1154;297;2697;4.0;5425;10.0;;74;868;16.0;65;3960;28.5;1.6;0.0;4.3;5.2;1.3;12.1;0.0;24.4;0.0;;0.3;3.9;0.1;0.3;17.8;1;22;03;08;0109
88;Cranendonck;15322;79.1;12124;12113;4947;33;1;426;462;181;2402;6.0;1277;15.0;;7;530;9.0;58;1759;40.8;0.3;0.0;3.5;3.8;1.5;19.8;0.0;10.5;0.1;;0.1;4.4;0.1;0.5;14.5;4;30;18;36;1706
89;Cromstrijen;10018;83.6;8379;8374;2239;151;2;366;263;124;1784;3.0;1138;3.0;;481;359;6.0;40;1415;26.7;1.8;0.0;4.4;3.1;1.5;21.3;0.0;13.6;0.0;;5.7;4.3;0.1;0.5;16.9;3;28;14;29;0611
90;Cuijk;18045;77.9;14053;14034;4708;28;15;753;1064;212;2345;2.0;1859;11.0;;8;986;15.0;72;1956;33.5;0.2;0.1;5.4;7.6;1.5;16.7;0.0;13.2;0.1;;0.1;7.0;0.1;0.5;13.9;4;30;18;35;1684
91;Culemborg;18543;81.1;15037;15018;3520;196;10;804;1262;252;2815;;2364;19.0;;126;1103;7.0;34;2506;23.4;1.3;0.1;5.4;8.4;1.7;18.7;;15.7;0.1;;0.8;7.3;0.0;0.2;16.7;2;25;06;16;0216
92;Dalfsen;19408;86.1;16716;16707;8134;1460;4;527;637;192;1393;3.0;1713;10.0;;293;437;7.0;27;1870;48.7;8.7;0.0;3.2;3.8;1.1;8.3;0.0;10.3;0.1;;1.8;2.6;0.0;0.2;11.2;2;23;04;10;0148
93;Dantumadeel;14692;81.6;11984;11973;5062;953;5;295;495;139;1380;1.0;1853;11.0;;580;433;;20;746;42.3;8.0;0.0;2.5;4.1;1.2;11.5;0.0;15.5;0.1;;4.8;3.6;;0.2;6.2;1;21;02;04;0065
94;Delft;72674;81.1;58947;58806;12253;1103;137;4253;6112;762;10167;9.0;10129;30.0;;343;4136;75.0;154;9143;20.8;1.9;0.2;7.2;10.4;1.3;17.3;0.0;17.2;0.1;;0.6;7.0;0.1;0.3;15.5;3;28;14;27;0503
95;Delfzijl;22248;74.2;16505;16491;4247;629;11;640;870;329;2555;3.0;4199;11.0;;34;825;21.0;82;2035;25.8;3.8;0.1;3.9;5.3;2.0;15.5;0.0;25.5;0.1;;0.2;5.0;0.1;0.5;12.3;1;20;01;02;0010
96;Denekamp;19257;87.6;16876;16864;10697;47;3;461;494;171;1562;2.0;1248;4.0;;6;409;8.0;31;1721;63.4;0.3;0.0;2.7;2.9;1.0;9.3;0.0;7.4;0.0;;0.0;2.4;0.0;0.2;10.2;2;23;04;12;0149
97;Deurne;24071;77.3;18604;18581;7885;40;7;685;1016;309;3204;4.0;1833;25.0;;16;1060;18.0;65;2414;42.4;0.2;0.0;3.7;5.5;1.7;17.2;0.0;9.9;0.1;;0.1;5.7;0.1;0.3;13.0;4;30;18;36;0762
98;Deventer;63833;77.6;49543;49494;11300;844;48;3118;5039;823;5895;11.0;11216;23.0;;77;3318;72.0;154;7556;22.8;1.7;0.1;6.3;10.2;1.7;11.9;0.0;22.7;0.0;;0.2;6.7;0.1;0.3;15.3;2;23;04;11;0150
99;Didam;12781;80.2;10255;10248;4254;20;4;363;504;121;1733;1.0;1514;4.0;;8;416;9.0;28;1269;41.5;0.2;0.0;3.5;4.9;1.2;16.9;0.0;14.8;0.0;;0.1;4.1;0.1;0.3;12.4;2;25;07;15;0218
