ID;Bedrijfsgrootte;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
40;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 juni;;
41;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 2e kwartaal;;
42;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 juli;;
43;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 augustus;;
44;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 september;;
45;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 3e kwartaal;;
46;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 oktober;;
47;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 november;;
48;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 december;;
49;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007 4e kwartaal;;
50;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2007;;
51;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 januari;;
52;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 februari;;
53;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 maart;;
54;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 1e kwartaal;;
55;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 april;;
56;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 mei;;
57;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 juni;;
58;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 2e kwartaal;;
59;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 juli;;
60;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 augustus;;
61;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 september;;
62;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 3e kwartaal;;
63;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 oktober;;
64;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 november;;
65;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 december;;
66;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008 4e kwartaal;;
67;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2008;;
68;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 januari;53.8;
69;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 februari;67.3;
70;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 maart;83.1;
71;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 1e kwartaal;68.1;
72;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 april;79.6;
73;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 mei;75.6;
74;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 juni;83.8;
75;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 2e kwartaal;79.7;
76;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 juli;77.5;
77;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 augustus;51.1;
78;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 september;80.7;
79;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 3e kwartaal;69.8;
80;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 oktober;82.7;
81;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 november;79.0;
82;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 december;89.4;
83;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009 4e kwartaal;83.7;
84;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2009;75.3;
85;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 januari;43.7;-18.6
86;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 februari;52.2;-22.5
87;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 maart;71.6;-13.8
88;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 1e kwartaal;55.8;-18.0
89;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 april;70.7;-11.2
90;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 mei;66.8;-11.7
91;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 juni;79.5;-5.1
92;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 2e kwartaal;72.3;-9.2
93;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 juli;73.0;-5.8
94;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 augustus;47.2;-7.6
95;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 september;73.3;-9.2
96;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 3e kwartaal;64.5;-7.6
97;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 oktober;76.3;-7.8
98;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 november;79.1;0.1
99;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 december;81.7;-8.6
100;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010 4e kwartaal;79.0;-5.6
101;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2010;67.9;-9.8
102;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 januari;48.2;10.2
103;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 februari;61.1;17.2
104;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 maart;74.0;3.3
105;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 1e kwartaal;61.1;9.4
106;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 april;71.5;1.0
107;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 mei;77.5;16.0
108;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 juni;74.1;-6.9
109;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 2e kwartaal;74.3;2.8
110;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 juli;69.7;-4.4
111;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 augustus;49.7;5.1
112;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 september;78.8;7.5
113;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 3e kwartaal;66.1;2.4
114;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 oktober;74.4;-2.4
115;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 november;79.2;0.2
116;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 december;88.9;8.8
117;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011 4e kwartaal;80.8;2.3
118;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2011;70.6;3.9
119;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 januari;45.3;-6.1
120;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 februari;53.6;-12.4
121;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 maart;67.8;-8.3
122;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 1e kwartaal;55.6;-9.1
123;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 april;65.9;-7.9
124;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 mei;68.2;-11.9
125;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 juni;73.4;-0.9
126;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 2e kwartaal;69.2;-6.9
127;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 juli;64.4;-7.7
128;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 augustus;49.6;-0.2
129;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 september;75.7;-4.0
130;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 3e kwartaal;63.2;-4.3
131;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 oktober;69.4;-6.7
132;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 november;74.3;-6.2
133;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 december;76.3;-14.1
134;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012 4e kwartaal;73.4;-9.2
135;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2012;65.3;-7.5
136;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 januari;41.9;-7.5
137;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 februari;48.5;-9.5
138;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 maart;60.7;-10.5
139;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 1e kwartaal;50.4;-9.3
140;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 april;61.2;-7.0
141;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 mei;64.7;-5.2
142;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 juni;67.9;-7.6
143;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 2e kwartaal;64.6;-6.6
144;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 juli;62.8;-2.4
145;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 augustus;48.6;-1.8
146;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 september;68.2;-9.8
147;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 3e kwartaal;59.9;-5.2
148;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 oktober;72.5;4.4
149;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 november;71.2;-4.2
150;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 december;78.6;3.0
151;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013 4e kwartaal;74.1;1.0
152;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2013;62.2;-4.7
153;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 januari;45.4;8.3
154;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 februari;53.5;10.4
155;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 maart;59.5;-2.0
156;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 1e kwartaal;52.8;4.8
157;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 april;63.3;3.3
158;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 mei;62.7;-3.1
159;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 juni;65.2;-4.0
160;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 2e kwartaal;63.7;-1.4
161;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 juli;65.3;4.0
162;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 augustus;43.9;-9.8
163;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 september;68.2;0.0
164;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 3e kwartaal;59.1;-1.3
165;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 oktober;78.5;8.3
166;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 november;75.2;5.6
167;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 december;85.5;8.7
168;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014 4e kwartaal;79.7;7.6
169;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2014;63.8;2.6
170;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 januari;46.4;2.2
171;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 februari;54.1;1.1
172;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 maart;67.2;13.0
173;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 1e kwartaal;55.9;5.9
174;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 april;64.8;2.4
175;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 mei;65.0;3.6
176;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 juni;80.4;23.3
177;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 2e kwartaal;70.0;9.9
178;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 juli;70.0;7.2
179;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 augustus;48.3;10.0
180;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 september;74.0;8.4
181;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 3e kwartaal;64.1;8.4
182;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 oktober;76.2;-3.0
183;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 november;77.6;3.1
184;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 december;86.2;0.8
185;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015 4e kwartaal;80.0;0.3
186;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2015;67.5;5.7
187;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 januari;49.0;5.7
188;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 februari;59.8;10.7
189;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 maart;69.9;4.0
190;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 1e kwartaal;59.6;6.6
191;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 april;69.7;7.6
192;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 mei;69.0;6.2
193;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 juni;79.6;-0.9
194;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 2e kwartaal;72.8;3.9
195;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 juli;77.2;10.2
196;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 augustus;51.4;6.4
197;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 september;78.0;5.5
198;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 3e kwartaal;68.9;7.4
199;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 oktober;79.8;4.8
200;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 november;84.0;8.3
201;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 december;93.9;9.0
202;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016 4e kwartaal;85.9;7.4
203;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2016;71.8;6.3
204;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 januari;49.3;0.6
205;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 februari;61.7;3.1
206;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 maart;78.6;12.5
207;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 1e kwartaal;63.2;6.1
208;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 april;69.9;0.3
209;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 mei;78.4;13.6
210;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 juni;83.8;5.2
211;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 2e kwartaal;77.4;6.3
212;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 juli;80.2;4.0
213;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 augustus;54.7;6.6
214;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 september;79.9;2.4
215;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 3e kwartaal;71.6;4.0
216;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 oktober;86.4;8.2
217;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 november;92.2;9.7
218;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 december;99.0;5.5
219;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017 4e kwartaal;92.5;7.7
220;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2017;76.2;6.1
221;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 januari;55.9;13.4
222;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 februari;67.7;9.7
223;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 maart;80.8;2.8
224;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 1e kwartaal;68.1;7.8
225;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 april;81.7;17.0
226;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 mei;85.3;8.8
227;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 juni;93.1;11.0
228;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 2e kwartaal;86.7;12.1
229;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 juli;89.2;11.2
230;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 augustus;60.5;10.5
231;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 september;86.6;8.4
232;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 3e kwartaal;78.8;10.0
233;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 oktober;97.7;13.2
234;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 november;102.1;10.8
235;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 december;106.4;7.4
236;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018 4e kwartaal;102.1;10.3
237;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2018;83.9;10.2
238;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 januari;61.9;10.6
239;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 februari;78.1;15.3
240;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 maart;89.3;10.5
241;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 1e kwartaal;76.4;12.1
242;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 april;91.6;12.1
243;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 mei;96.4;13.1
244;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 juni;90.7;-2.5
245;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 2e kwartaal;92.9;7.2
246;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 juli ;97.7;9.5
247;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 augustus;64.5;6.6
248;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 september;97.0;12.0
249;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 3e kwartaal;86.4;9.7
250;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 oktober;102.4;4.8
251;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 november;102.9;0.8
252;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 december;109.7;3.1
253;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019 4e kwartaal;105.0;2.9
254;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2019;90.2;7.5
255;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 januari;71.0;14.8
256;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 februari;81.2;4.0
257;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 maart;99.2;11.1
258;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 1e kwartaal ;83.8;9.7
259;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 april;91.9;0.3
260;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 mei;88.6;-8.1
261;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 juni;100.8;11.2
262;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 2e kwartaal ;93.8;0.9
263;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 juli;99.1;1.4
264;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 augustus;64.5;0.1
265;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 september;99.7;2.8
266;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 3e kwartaal ;87.8;1.6
267;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 oktober;103.8;1.4
268;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 november;106.3;3.3
269;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 december;112.7;2.8
270;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 4e kwartaal ;107.6;2.5
271;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2020 ;93.2;3.4
272;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 januari;71.6;0.8
273;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 februari;79.3;-2.3
274;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 maart;105.2;6.1
275;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 1e kwartaal;85.4;1.9
276;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 april;100.2;9.0
277;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 mei;95.2;7.4
278;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 juni;112.0;11.1
279;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 2e kwartaal;102.5;9.3
280;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 juli;111.1;12.1
281;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 augustus;65.5;1.4
282;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 september;105.8;6.0
283;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 3e kwartaal;94.1;7.2
284;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 oktober;106.9;2.9
285;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 november;117.3;10.3
286;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 december;130.0;15.4
287;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021 4e kwartaal;118.0;9.7
288;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2021;100.0;7.3
289;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 januari;71.3;-0.5
290;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 februari;91.8;15.7
291;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 maart;115.7;9.9
292;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 1e kwartaal;92.9;8.8
293;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 april;105.2;5.0
294;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 mei;111.1;16.7
295;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 juni;120.3;7.4
296;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 2e kwartaal;112.2;9.5
297;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 juli;119.0;7.2
298;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 augustus;71.7;9.5
299;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 september;114.2;8.0
300;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 3e kwartaal;101.6;8.0
301;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 oktober;118.8;11.2
302;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 november;128.8;9.9
303;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 december;140.5;8.0
304;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022 4e kwartaal;129.4;9.6
305;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2022;109.0;9.0
306;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2023 januari;80.7;13.3
307;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2023 februari;102.3;11.5
308;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2023 maart;126.4;9.2
309;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2023 1e kwartaal;103.2;11.0
310;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2023 april;108.2;2.9
311;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2023 mei;121.0;8.9
312;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2023 juni;132.6;10.2
313;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2023 2e kwartaal;120.6;7.5
314;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2023 juli;125.1;5.1
315;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2023 augustus;80.7;12.5
316;Totaal 1 of meer werkzame personen;F Bouwnijverheid;2023 september;117.7;3.0
